,LEPREL2,TSPYL5,EMR1,AGAP4,ZNF229,PXDN,LDOC1,PTPN13,ZNF518B,ZYG11A,ZNF347,MFAP2,DPY19L2P1,SH3BP1,MRC2,DUSP23,PCK2,S100A4,SLC43A1,HBQ1,ZNF853,M1AP,MEIOB,PALD1,ADD2,WNT5B,HOXA10,SORBS3,ZBTB47,RN7SL49P
1186,3.0,1.0,4.0,22.0,5.0,0.0,2.0,9.0,10.0,49.0,6.0,7.0,96.0,37.0,45.0,327.0,68.0,56.0,40.0,36.0,15.0,14.0,18.0,25.0,81.0,98.0,17.0,52.0,33.0,97.0
1235,1.0,0.0,3.0,22.0,10.0,9.0,4.0,18.0,12.0,6.0,7.0,8.0,28.0,21.0,106.0,121.0,57.0,40.0,23.0,46.0,13.0,107.0,5.0,536.0,17.0,86.0,16.0,123.0,50.0,35.0
1284,2.0,1.0,4.0,71.0,5.0,0.0,7.0,20.0,17.0,48.0,13.0,9.0,420.0,58.0,40.0,82.0,46.0,85.0,37.0,38.0,6.0,36.0,11.0,18.0,12.0,272.0,3.0,484.0,31.0,270.0
1333,1.0,0.0,3.0,13.0,7.0,2.0,5.0,34.0,10.0,4.0,6.0,12.0,63.0,47.0,19.0,267.0,97.0,38.0,26.0,87.0,15.0,28.0,11.0,43.0,98.0,244.0,9.0,67.0,201.0,118.0
1382,2.0,0.0,4.0,36.0,23.0,3.0,1.0,11.0,5.0,12.0,146.0,41.0,13.0,55.0,7.0,1581.0,124.0,19.0,17.0,228.0,9.0,52.0,14.0,84.0,42.0,241.0,46.0,177.0,168.0,31.0
1431,3.0,0.0,1.0,25.0,6.0,4.0,2.0,8.0,11.0,5.0,22.0,21.0,139.0,41.0,32.0,52.0,50.0,159.0,56.0,47.0,12.0,39.0,28.0,70.0,49.0,158.0,20.0,142.0,24.0,68.0
1480,0.0,5.0,1.0,6.0,14.0,2.0,3.0,12.0,57.0,4.0,22.0,8.0,17.0,24.0,46.0,32.0,122.0,9.0,126.0,28.0,7.0,109.0,18.0,48.0,66.0,15.0,60.0,10.0,65.0,42.0
1529,0.0,2.0,6.0,11.0,7.0,10.0,1.0,14.0,62.0,8.0,19.0,577.0,29.0,30.0,25.0,26.0,53.0,16.0,18.0,31.0,39.0,130.0,63.0,46.0,12.0,72.0,48.0,123.0,99.0,27.0
1578,0.0,1.0,3.0,32.0,6.0,7.0,10.0,8.0,74.0,23.0,2.0,16.0,15.0,37.0,42.0,11.0,130.0,12.0,22.0,34.0,4.0,251.0,28.0,57.0,52.0,9.0,30.0,29.0,62.0,40.0
1627,0.0,1.0,6.0,9.0,5.0,3.0,26.0,13.0,18.0,10.0,2.0,204.0,37.0,34.0,47.0,7.0,31.0,8.0,30.0,15.0,4.0,98.0,14.0,61.0,21.0,29.0,73.0,157.0,100.0,16.0
1676,0.0,11.0,1.0,12.0,10.0,8.0,17.0,14.0,159.0,28.0,19.0,24.0,6.0,13.0,33.0,9.0,51.0,40.0,38.0,4.0,5.0,129.0,37.0,187.0,16.0,45.0,29.0,55.0,101.0,39.0
1725,1.0,2.0,0.0,10.0,4.0,5.0,7.0,6.0,60.0,11.0,13.0,32.0,23.0,15.0,26.0,8.0,59.0,9.0,45.0,14.0,18.0,337.0,250.0,22.0,76.0,34.0,58.0,31.0,49.0,17.0
1774,0.0,5.0,23.0,15.0,1.0,4.0,2.0,32.0,237.0,193.0,6.0,11.0,41.0,9.0,24.0,7.0,42.0,26.0,17.0,18.0,3.0,271.0,30.0,16.0,36.0,227.0,69.0,432.0,94.0,35.0
1823,0.0,8.0,2.0,11.0,17.0,14.0,1.0,109.0,154.0,30.0,4.0,254.0,9.0,36.0,62.0,32.0,76.0,18.0,49.0,35.0,6.0,266.0,44.0,190.0,34.0,7.0,348.0,31.0,39.0,16.0
1872,0.0,1.0,2.0,16.0,8.0,5.0,4.0,9.0,189.0,44.0,11.0,185.0,12.0,14.0,21.0,6.0,213.0,3.0,48.0,13.0,24.0,83.0,18.0,77.0,56.0,32.0,104.0,249.0,53.0,30.0
1921,0.0,4.0,1.0,32.0,3.0,2.0,5.0,54.0,31.0,19.0,17.0,11.0,21.0,13.0,29.0,53.0,164.0,7.0,26.0,10.0,39.0,105.0,38.0,6.0,596.0,18.0,225.0,36.0,226.0,57.0
1970,0.0,5.0,1.0,3.0,32.0,19.0,109.0,2.0,175.0,29.0,50.0,18.0,141.0,84.0,21.0,11.0,17.0,95.0,102.0,312.0,70.0,156.0,23.0,22.0,44.0,8.0,31.0,13.0,7.0,15.0
2019,0.0,4.0,1.0,5.0,10.0,20.0,3.0,7.0,85.0,11.0,13.0,17.0,25.0,29.0,31.0,36.0,26.0,607.0,84.0,99.0,27.0,271.0,2.0,134.0,166.0,12.0,455.0,48.0,120.0,21.0
2068,0.0,1.0,3.0,13.0,43.0,20.0,5.0,2.0,155.0,6.0,19.0,26.0,27.0,84.0,38.0,8.0,4.0,171.0,60.0,36.0,15.0,72.0,11.0,16.0,40.0,39.0,169.0,117.0,21.0,14.0
2117,0.0,3.0,1.0,14.0,115.0,37.0,4.0,6.0,67.0,13.0,41.0,8.0,75.0,100.0,19.0,28.0,25.0,61.0,51.0,121.0,53.0,105.0,2.0,85.0,48.0,84.0,131.0,42.0,16.0,7.0
2166,0.0,2.0,3.0,9.0,19.0,12.0,1.0,6.0,73.0,5.0,34.0,4.0,66.0,27.0,76.0,8.0,10.0,211.0,133.0,292.0,64.0,110.0,7.0,173.0,287.0,63.0,48.0,14.0,41.0,15.0
2215,0.0,3.0,1.0,2.0,34.0,5.0,16.0,14.0,69.0,21.0,59.0,19.0,27.0,24.0,146.0,11.0,12.0,109.0,79.0,168.0,32.0,41.0,7.0,222.0,88.0,15.0,39.0,29.0,22.0,6.0
2264,0.0,2.0,1.0,11.0,58.0,22.0,10.0,3.0,37.0,21.0,31.0,7.0,38.0,12.0,152.0,20.0,5.0,153.0,17.0,398.0,43.0,857.0,18.0,200.0,96.0,28.0,48.0,23.0,8.0,9.0
2313,0.0,2.0,9.0,5.0,89.0,7.0,1.0,19.0,11.0,34.0,38.0,51.0,27.0,243.0,22.0,14.0,23.0,52.0,21.0,220.0,50.0,62.0,20.0,4.0,41.0,39.0,329.0,272.0,8.0,15.0
2362,0.0,5.0,2.0,1.0,150.0,26.0,16.0,11.0,25.0,4.0,41.0,3.0,14.0,104.0,95.0,8.0,9.0,188.0,137.0,93.0,33.0,36.0,10.0,54.0,45.0,12.0,35.0,77.0,7.0,6.0
2411,0.0,1.0,2.0,9.0,20.0,62.0,17.0,22.0,366.0,11.0,530.0,7.0,197.0,154.0,416.0,200.0,5.0,250.0,148.0,156.0,29.0,32.0,3.0,214.0,77.0,27.0,28.0,91.0,10.0,4.0
2460,1.0,3.0,2.0,5.0,4.0,14.0,56.0,0.0,51.0,23.0,262.0,11.0,26.0,8.0,67.0,16.0,18.0,228.0,83.0,31.0,427.0,12.0,71.0,33.0,81.0,19.0,87.0,37.0,97.0,201.0
2509,0.0,26.0,1.0,2.0,4.0,20.0,155.0,54.0,16.0,10.0,64.0,24.0,60.0,47.0,224.0,174.0,17.0,25.0,211.0,18.0,135.0,23.0,254.0,70.0,3.0,68.0,252.0,90.0,186.0,490.0
2558,4.0,1.0,7.0,6.0,9.0,32.0,63.0,5.0,8.0,60.0,24.0,27.0,11.0,39.0,26.0,15.0,43.0,40.0,18.0,29.0,428.0,16.0,182.0,2.0,22.0,52.0,111.0,48.0,67.0,308.0
2607,3.0,0.0,2.0,14.0,11.0,45.0,24.0,10.0,66.0,49.0,15.0,4.0,60.0,7.0,194.0,38.0,18.0,585.0,122.0,5.0,88.0,8.0,445.0,12.0,79.0,337.0,159.0,17.0,383.0,318.0
2656,1.0,0.0,2.0,29.0,5.0,44.0,237.0,19.0,10.0,13.0,4.0,36.0,45.0,89.0,56.0,59.0,14.0,112.0,75.0,37.0,211.0,17.0,557.0,11.0,25.0,48.0,124.0,27.0,118.0,155.0
2705,0.0,22.0,1.0,5.0,2.0,9.0,177.0,6.0,37.0,59.0,14.0,15.0,63.0,8.0,45.0,28.0,16.0,93.0,23.0,34.0,439.0,24.0,387.0,17.0,109.0,61.0,62.0,27.0,80.0,30.0
2754,3.0,1.0,0.0,4.0,33.0,12.0,67.0,22.0,7.0,565.0,20.0,6.0,42.0,21.0,23.0,17.0,5.0,219.0,16.0,27.0,168.0,18.0,1157.0,13.0,35.0,2.0,122.0,25.0,29.0,132.0
2803,1.0,9.0,4.0,3.0,5.0,22.0,28.0,29.0,24.0,34.0,42.0,32.0,71.0,33.0,62.0,52.0,12.0,130.0,19.0,2.0,103.0,6.0,425.0,50.0,193.0,49.0,628.0,51.0,81.0,440.0
2852,0.0,2.0,1.0,17.0,7.0,82.0,191.0,3.0,29.0,19.0,33.0,28.0,8.0,14.0,49.0,6.0,11.0,15.0,12.0,34.0,376.0,23.0,169.0,52.0,48.0,101.0,220.0,22.0,134.0,130.0
2901,0.0,1.0,3.0,6.0,15.0,19.0,16.0,2.0,48.0,11.0,26.0,60.0,38.0,22.0,57.0,34.0,23.0,46.0,13.0,4.0,91.0,73.0,1136.0,79.0,115.0,311.0,1802.0,25.0,59.0,138.0
2950,10.0,1.0,3.0,2.0,13.0,25.0,44.0,4.0,16.0,0.0,12.0,7.0,11.0,49.0,596.0,30.0,45.0,24.0,39.0,32.0,14.0,27.0,159.0,34.0,92.0,62.0,22.0,58.0,17.0,78.0
2999,4.0,0.0,3.0,14.0,8.0,9.0,28.0,7.0,6.0,1.0,46.0,2.0,44.0,90.0,643.0,43.0,88.0,59.0,567.0,80.0,18.0,5.0,15.0,23.0,412.0,79.0,245.0,22.0,49.0,42.0
3048,2.0,1.0,3.0,5.0,4.0,164.0,47.0,16.0,8.0,0.0,91.0,56.0,10.0,37.0,151.0,20.0,120.0,7.0,33.0,70.0,93.0,11.0,12.0,14.0,88.0,225.0,110.0,25.0,36.0,96.0
3097,6.0,0.0,2.0,4.0,5.0,14.0,167.0,17.0,54.0,1.0,24.0,7.0,8.0,38.0,501.0,12.0,44.0,9.0,223.0,10.0,39.0,41.0,36.0,3.0,25.0,52.0,303.0,28.0,33.0,48.0
3146,3.0,0.0,9.0,8.0,1.0,19.0,14.0,61.0,20.0,4.0,16.0,2.0,41.0,25.0,661.0,10.0,513.0,21.0,314.0,67.0,35.0,7.0,160.0,118.0,13.0,377.0,18.0,64.0,27.0,291.0
3195,2.0,0.0,1.0,5.0,7.0,6.0,78.0,8.0,12.0,3.0,108.0,4.0,16.0,89.0,188.0,134.0,168.0,34.0,146.0,92.0,54.0,21.0,38.0,10.0,389.0,28.0,17.0,31.0,53.0,143.0
3244,1.0,2.0,3.0,0.0,10.0,68.0,58.0,86.0,14.0,11.0,84.0,5.0,6.0,50.0,241.0,45.0,103.0,7.0,34.0,368.0,21.0,65.0,30.0,8.0,39.0,147.0,61.0,26.0,37.0,118.0
3293,2.0,0.0,7.0,4.0,6.0,35.0,178.0,36.0,27.0,5.0,12.0,1.0,41.0,91.0,334.0,57.0,42.0,9.0,68.0,22.0,18.0,14.0,8.0,3.0,316.0,92.0,50.0,16.0,19.0,162.0
3342,3.0,0.0,1.0,4.0,6.0,47.0,35.0,64.0,27.0,2.0,17.0,5.0,14.0,78.0,403.0,7.0,74.0,28.0,179.0,37.0,95.0,10.0,31.0,11.0,22.0,40.0,63.0,8.0,9.0,19.0
3391,5.0,0.0,1.0,2.0,4.0,52.0,35.0,13.0,18.0,3.0,19.0,9.0,31.0,32.0,726.0,79.0,192.0,12.0,95.0,81.0,22.0,11.0,158.0,6.0,24.0,122.0,597.0,15.0,103.0,41.0
3440,1.0,0.0,2.0,5.0,45.0,3.0,8.0,12.0,44.0,6.0,22.0,316.0,10.0,23.0,140.0,55.0,4.0,14.0,43.0,34.0,47.0,52.0,362.0,33.0,17.0,99.0,29.0,56.0,39.0,20.0
3489,0.0,2.0,1.0,3.0,6.0,75.0,17.0,135.0,23.0,71.0,4.0,34.0,11.0,38.0,13.0,322.0,10.0,12.0,19.0,9.0,7.0,8.0,67.0,46.0,76.0,88.0,108.0,29.0,14.0,25.0
3538,0.0,1.0,3.0,4.0,79.0,9.0,2.0,16.0,27.0,38.0,53.0,42.0,52.0,49.0,24.0,313.0,13.0,15.0,17.0,8.0,19.0,7.0,111.0,183.0,25.0,21.0,33.0,20.0,10.0,92.0
3587,1.0,17.0,2.0,0.0,35.0,29.0,48.0,5.0,88.0,58.0,14.0,9.0,8.0,40.0,39.0,589.0,3.0,25.0,7.0,4.0,154.0,10.0,110.0,68.0,36.0,151.0,73.0,18.0,27.0,75.0
3636,2.0,1.0,3.0,29.0,34.0,8.0,46.0,6.0,118.0,7.0,28.0,40.0,266.0,10.0,72.0,19.0,4.0,106.0,35.0,38.0,5.0,65.0,50.0,165.0,18.0,32.0,9.0,235.0,49.0,56.0
3685,0.0,32.0,1.0,3.0,8.0,6.0,28.0,9.0,20.0,61.0,158.0,42.0,2.0,13.0,59.0,542.0,4.0,47.0,27.0,33.0,58.0,43.0,31.0,21.0,7.0,19.0,29.0,48.0,30.0,91.0
3734,0.0,3.0,1.0,4.0,21.0,6.0,19.0,5.0,96.0,9.0,27.0,22.0,7.0,23.0,84.0,176.0,26.0,24.0,32.0,15.0,17.0,12.0,390.0,43.0,46.0,72.0,56.0,14.0,175.0,51.0
3783,0.0,2.0,1.0,6.0,15.0,38.0,4.0,12.0,99.0,3.0,150.0,27.0,10.0,28.0,52.0,16.0,8.0,59.0,13.0,5.0,37.0,25.0,80.0,41.0,49.0,17.0,188.0,63.0,21.0,71.0
3832,0.0,1.0,2.0,3.0,36.0,7.0,12.0,22.0,204.0,67.0,33.0,19.0,6.0,13.0,25.0,14.0,8.0,92.0,44.0,4.0,74.0,63.0,162.0,31.0,11.0,10.0,166.0,57.0,37.0,97.0
3881,0.0,17.0,1.0,19.0,33.0,8.0,2.0,196.0,151.0,55.0,26.0,3.0,29.0,42.0,82.0,159.0,6.0,74.0,22.0,15.0,5.0,9.0,59.0,21.0,70.0,110.0,13.0,24.0,10.0,60.0
3930,2.0,0.0,8.0,5.0,27.0,50.0,12.0,4.0,1.0,20.0,95.0,3.0,9.0,14.0,10.0,7.0,98.0,46.0,88.0,18.0,165.0,108.0,15.0,137.0,23.0,74.0,13.0,91.0,143.0,22.0
3979,0.0,3.0,26.0,6.0,46.0,56.0,183.0,34.0,1.0,29.0,141.0,2.0,154.0,19.0,10.0,13.0,54.0,75.0,42.0,117.0,55.0,41.0,11.0,284.0,197.0,21.0,8.0,129.0,400.0,68.0
4028,1.0,0.0,4.0,9.0,31.0,23.0,18.0,3.0,2.0,17.0,20.0,8.0,12.0,33.0,10.0,6.0,5.0,47.0,11.0,34.0,37.0,64.0,67.0,63.0,53.0,66.0,19.0,262.0,152.0,74.0
4077,1.0,0.0,8.0,11.0,12.0,29.0,2.0,13.0,7.0,9.0,21.0,3.0,46.0,40.0,5.0,17.0,39.0,10.0,41.0,19.0,23.0,57.0,4.0,224.0,34.0,30.0,63.0,25.0,20.0,111.0
4126,2.0,0.0,8.0,66.0,26.0,36.0,128.0,1.0,3.0,6.0,154.0,4.0,78.0,15.0,5.0,19.0,21.0,12.0,43.0,93.0,279.0,49.0,53.0,157.0,186.0,11.0,225.0,22.0,975.0,70.0
4175,1.0,0.0,6.0,80.0,23.0,12.0,5.0,7.0,2.0,8.0,54.0,3.0,32.0,11.0,9.0,30.0,146.0,41.0,43.0,39.0,67.0,40.0,10.0,145.0,13.0,22.0,37.0,61.0,249.0,57.0
4224,0.0,1.0,6.0,14.0,5.0,11.0,10.0,9.0,2.0,22.0,67.0,4.0,16.0,17.0,21.0,12.0,46.0,51.0,15.0,77.0,39.0,25.0,41.0,117.0,80.0,8.0,37.0,79.0,113.0,198.0
4273,1.0,0.0,5.0,34.0,64.0,57.0,14.0,9.0,3.0,59.0,11.0,2.0,23.0,123.0,6.0,40.0,275.0,7.0,32.0,55.0,91.0,62.0,21.0,19.0,18.0,69.0,24.0,56.0,28.0,132.0
4322,1.0,0.0,2.0,11.0,14.0,30.0,5.0,4.0,12.0,28.0,17.0,3.0,24.0,9.0,7.0,18.0,47.0,6.0,19.0,37.0,21.0,230.0,51.0,528.0,500.0,50.0,46.0,56.0,33.0,82.0
4371,1.0,0.0,6.0,16.0,48.0,37.0,68.0,7.0,2.0,191.0,22.0,3.0,62.0,61.0,5.0,28.0,21.0,15.0,13.0,18.0,41.0,66.0,12.0,256.0,47.0,130.0,29.0,24.0,27.0,54.0
4420,0.0,26.0,1.0,69.0,5.0,29.0,21.0,60.0,39.0,7.0,13.0,206.0,139.0,51.0,186.0,340.0,138.0,8.0,14.0,169.0,162.0,63.0,184.0,52.0,35.0,34.0,3.0,4.0,102.0,22.0
4469,0.0,10.0,1.0,21.0,23.0,9.0,58.0,64.0,2.0,42.0,55.0,160.0,67.0,139.0,15.0,110.0,24.0,30.0,7.0,39.0,22.0,20.0,288.0,13.0,12.0,26.0,29.0,14.0,132.0,68.0
4518,0.0,3.0,1.0,20.0,2.0,46.0,5.0,47.0,13.0,4.0,262.0,212.0,19.0,83.0,12.0,119.0,40.0,72.0,7.0,63.0,1182.0,30.0,11.0,48.0,42.0,24.0,25.0,8.0,52.0,44.0
4567,0.0,3.0,2.0,6.0,47.0,12.0,4.0,71.0,13.0,5.0,17.0,72.0,8.0,110.0,37.0,131.0,82.0,138.0,15.0,91.0,88.0,10.0,260.0,30.0,28.0,21.0,29.0,7.0,22.0,217.0
4616,0.0,1.0,2.0,4.0,28.0,12.0,3.0,10.0,27.0,67.0,69.0,443.0,38.0,136.0,11.0,430.0,21.0,78.0,7.0,134.0,58.0,14.0,221.0,32.0,8.0,9.0,20.0,5.0,95.0,18.0
4665,0.0,5.0,2.0,78.0,15.0,35.0,1.0,624.0,4.0,21.0,10.0,30.0,122.0,44.0,39.0,512.0,117.0,23.0,13.0,254.0,63.0,49.0,570.0,33.0,47.0,29.0,36.0,3.0,12.0,34.0
4714,0.0,2.0,5.0,7.0,6.0,12.0,24.0,9.0,4.0,14.0,22.0,190.0,17.0,58.0,68.0,160.0,29.0,28.0,55.0,176.0,59.0,33.0,62.0,31.0,3.0,18.0,97.0,34.0,151.0,35.0
4763,0.0,7.0,1.0,2.0,32.0,42.0,4.0,65.0,14.0,12.0,5.0,269.0,21.0,80.0,31.0,90.0,23.0,101.0,6.0,50.0,97.0,39.0,82.0,15.0,13.0,35.0,106.0,8.0,41.0,36.0
4812,0.0,19.0,4.0,11.0,2.0,10.0,6.0,12.0,1.0,15.0,3.0,127.0,49.0,32.0,5.0,540.0,29.0,47.0,20.0,43.0,77.0,9.0,260.0,16.0,25.0,8.0,44.0,7.0,52.0,38.0
4861,0.0,1.0,2.0,11.0,9.0,60.0,13.0,25.0,3.0,27.0,62.0,111.0,15.0,44.0,22.0,1106.0,131.0,12.0,28.0,76.0,90.0,5.0,218.0,26.0,32.0,33.0,31.0,7.0,377.0,71.0
