,ebv-miR-BART8,hsa-miR-548d-3p,hsa-miR-10a,hsa-miR-384,hsa-miR-512-3p,hsa-miR-661,hsa-miR-1183,hsa-miR-22,hcmv-miR-UL148D,hsa-miR-133b,hsa-miR-545,ebv-miR-BART19-5p,hsa-miR-140-5p,hsa-miR-1294,hsa-miR-616,hsa-miR-103,hsa-miR-340,hsa-miR-148a,hsa-miR-1978,hsa-miR-21,hsa-miR-563,hsa-miR-766,hsa-miR-412,ebv-miR-BART18-3p,hsa-miR-1975,hsa-miR-96,hsv2-miR-H4-5p,hsa-miR-1259,hsa-miR-1299,hsa-miR-890
2714,19.0,143.0,10.0,16.0,36.0,309.0,18.0,31.0,49.0,65.0,41.0,149.0,39.0,139.0,51.0,99.0,79.0,9.0,53.0,72.0,11.0,348.0,101.0,71.0,145.0,2.0,364.0,147.0,121.0,141.0
2763,4.0,187.0,13.0,0.0,54.0,87.0,11.0,594.0,72.0,138.0,12.0,52.0,390.0,142.0,80.0,74.0,614.0,381.0,96.0,137.0,232.0,353.0,93.0,112.0,121.0,111.0,123.0,169.0,60.0,120.0
2812,19.0,222.0,458.0,565.0,44.0,104.0,36.0,24.0,39.0,87.0,12.0,86.0,105.0,141.0,18.0,126.0,54.0,387.0,137.0,121.0,47.0,52.0,100.0,58.0,119.0,108.0,179.0,85.0,8.0,111.0
2861,12.0,3.0,457.0,20.0,52.0,37.0,17.0,24.0,30.0,138.0,4.0,109.0,50.0,177.0,111.0,130.0,613.0,18.0,131.0,164.0,75.0,98.0,81.0,146.0,185.0,41.0,274.0,16.0,64.0,92.0
2910,22.0,2.0,29.0,434.0,38.0,218.0,34.0,488.0,98.0,62.0,543.0,124.0,120.0,48.0,20.0,18.0,429.0,596.0,110.0,474.0,13.0,37.0,96.0,70.0,158.0,42.0,329.0,45.0,11.0,46.0
2959,11.0,115.0,15.0,40.0,126.0,22.0,63.0,591.0,32.0,57.0,95.0,24.0,101.0,120.0,186.0,33.0,616.0,73.0,417.0,119.0,80.0,13.0,103.0,128.0,107.0,266.0,69.0,140.0,471.0,53.0
3008,13.0,2.0,5.0,172.0,50.0,80.0,34.0,20.0,181.0,73.0,19.0,64.0,384.0,149.0,16.0,457.0,40.0,21.0,114.0,88.0,247.0,3.0,28.0,12.0,409.0,98.0,92.0,492.0,469.0,106.0
3057,12.0,18.0,8.0,155.0,106.0,122.0,125.0,164.0,84.0,97.0,0.0,158.0,152.0,149.0,13.0,56.0,126.0,39.0,73.0,465.0,253.0,2.0,83.0,162.0,67.0,129.0,61.0,214.0,610.0,369.0
3106,9.0,0.0,344.0,185.0,11.0,49.0,325.0,41.0,28.0,126.0,53.0,25.0,77.0,60.0,62.0,338.0,97.0,618.0,8.0,57.0,102.0,19.0,106.0,91.0,127.0,156.0,22.0,224.0,100.0,360.0
3155,8.0,22.0,456.0,9.0,50.0,3.0,12.0,591.0,304.0,118.0,321.0,156.0,83.0,106.0,95.0,32.0,15.0,37.0,141.0,152.0,243.0,356.0,90.0,133.0,49.0,127.0,97.0,63.0,399.0,340.0
3204,12.0,2.0,10.0,106.0,122.0,19.0,446.0,168.0,127.0,42.0,33.0,21.0,86.0,65.0,26.0,452.0,135.0,367.0,144.0,494.0,137.0,49.0,84.0,269.0,152.0,99.0,156.0,35.0,75.0,296.0
3253,18.0,3.0,177.0,2.0,17.0,23.0,41.0,46.0,47.0,48.0,5.0,131.0,67.0,103.0,96.0,12.0,27.0,422.0,160.0,113.0,15.0,358.0,144.0,81.0,84.0,117.0,4.0,260.0,578.0,164.0
3302,17.0,2.0,18.0,4.0,48.0,35.0,449.0,591.0,44.0,49.0,14.0,36.0,139.0,100.0,183.0,455.0,113.0,66.0,174.0,77.0,0.0,80.0,58.0,249.0,88.0,151.0,60.0,494.0,161.0,342.0
3351,14.0,101.0,7.0,24.0,33.0,6.0,47.0,173.0,66.0,61.0,45.0,1.0,78.0,53.0,28.0,463.0,104.0,29.0,88.0,412.0,272.0,117.0,156.0,191.0,141.0,130.0,36.0,148.0,159.0,52.0
3400,26.0,34.0,5.0,104.0,7.0,44.0,455.0,589.0,18.0,99.0,196.0,66.0,382.0,468.0,59.0,131.0,124.0,374.0,52.0,36.0,237.0,154.0,80.0,288.0,39.0,145.0,206.0,27.0,433.0,169.0
