,beta-alanine,GABA,C56:5 TAG,butyrylcarnitine/isobutyrylcarnitine,C34:4 PC,C22:6 LPE,DHAP/glyceraldehyde 3P,adenosine,leucine,valerylcarnitine,1-methylnicotinamide,2-deoxycytidine,N-carbamoyl-beta-alanine,creatinine,cotinine,palmitoylcarnitine,SDMA/ADMA,putrescine,malondialdehyde,cis/trans-hydroxyproline,alpha-glycerophosphate,3-phosphoglycerate,isocitrate,pantothenate,alpha-hydroxybutyrate,NADP,C36:4 PC-B,UMP,C18:0 LPC,C22:6 LPC
517,0.0,2.0,3.0,7.0,31.0,6.0,1.0,65.0,59.0,5.0,14.0,19.0,61.0,23.0,18.0,20.0,21.0,13.0,55.0,16.0,10.0,4.0,44.0,48.0,11.0,8.0,33.0,50.0,22.0,32.0
566,7.0,14.0,2.0,6.0,13.0,12.0,10.0,17.0,8.0,24.0,3.0,18.0,16.0,65.0,26.0,25.0,15.0,1.0,31.0,23.0,9.0,27.0,11.0,5.0,33.0,29.0,44.0,4.0,38.0,39.0
615,6.0,15.0,2.0,25.0,13.0,9.0,34.0,3.0,8.0,4.0,22.0,27.0,16.0,17.0,19.0,26.0,53.0,23.0,32.0,24.0,11.0,66.0,31.0,1.0,0.0,33.0,42.0,64.0,38.0,7.0
664,14.0,23.0,3.0,8.0,9.0,13.0,1.0,19.0,51.0,15.0,5.0,0.0,22.0,20.0,4.0,35.0,55.0,6.0,28.0,12.0,11.0,25.0,27.0,48.0,30.0,26.0,42.0,29.0,7.0,24.0
713,12.0,13.0,0.0,15.0,27.0,24.0,35.0,1.0,18.0,41.0,7.0,8.0,9.0,46.0,6.0,19.0,4.0,16.0,20.0,17.0,26.0,22.0,33.0,3.0,57.0,30.0,28.0,52.0,44.0,32.0
762,8.0,11.0,1.0,10.0,6.0,5.0,27.0,3.0,13.0,2.0,16.0,12.0,62.0,22.0,17.0,4.0,61.0,15.0,18.0,19.0,23.0,21.0,24.0,49.0,20.0,7.0,31.0,32.0,34.0,33.0
811,31.0,1.0,2.0,5.0,38.0,0.0,32.0,19.0,3.0,17.0,13.0,8.0,63.0,16.0,65.0,20.0,62.0,11.0,14.0,18.0,10.0,44.0,25.0,50.0,57.0,6.0,4.0,27.0,43.0,26.0
860,0.0,5.0,1.0,19.0,25.0,22.0,8.0,20.0,10.0,12.0,14.0,18.0,15.0,2.0,16.0,4.0,63.0,11.0,3.0,60.0,6.0,43.0,7.0,50.0,56.0,28.0,36.0,23.0,42.0,37.0
909,44.0,2.0,0.0,11.0,1.0,41.0,28.0,4.0,9.0,39.0,38.0,19.0,64.0,17.0,31.0,8.0,21.0,14.0,7.0,10.0,24.0,12.0,25.0,53.0,22.0,6.0,45.0,54.0,3.0,37.0
958,12.0,0.0,1.0,16.0,4.0,3.0,28.0,11.0,60.0,19.0,14.0,7.0,62.0,18.0,40.0,38.0,21.0,8.0,20.0,15.0,10.0,43.0,45.0,49.0,56.0,5.0,36.0,51.0,42.0,23.0
1007,6.0,16.0,0.0,4.0,5.0,3.0,8.0,1.0,2.0,19.0,10.0,11.0,61.0,24.0,17.0,20.0,15.0,13.0,22.0,18.0,12.0,42.0,44.0,32.0,14.0,49.0,37.0,30.0,35.0,31.0
1056,0.0,2.0,8.0,10.0,31.0,32.0,26.0,65.0,12.0,19.0,17.0,35.0,14.0,18.0,43.0,5.0,63.0,38.0,57.0,60.0,3.0,44.0,23.0,6.0,20.0,1.0,37.0,52.0,42.0,22.0
1105,0.0,7.0,3.0,15.0,8.0,32.0,1.0,18.0,11.0,5.0,36.0,28.0,61.0,17.0,46.0,6.0,13.0,41.0,20.0,4.0,24.0,12.0,25.0,2.0,22.0,29.0,27.0,33.0,9.0,23.0
1154,10.0,9.0,1.0,20.0,5.0,24.0,8.0,15.0,49.0,21.0,3.0,17.0,60.0,14.0,54.0,22.0,12.0,19.0,0.0,26.0,41.0,16.0,37.0,11.0,32.0,50.0,36.0,29.0,23.0,7.0
1203,0.0,6.0,1.0,2.0,27.0,31.0,23.0,12.0,3.0,25.0,15.0,10.0,5.0,13.0,29.0,34.0,63.0,18.0,26.0,7.0,17.0,4.0,19.0,52.0,28.0,51.0,11.0,33.0,43.0,30.0
1252,0.0,1.0,2.0,15.0,5.0,32.0,11.0,53.0,9.0,19.0,10.0,3.0,14.0,20.0,4.0,13.0,17.0,18.0,56.0,60.0,30.0,33.0,29.0,21.0,16.0,6.0,22.0,49.0,40.0,8.0
