,BRAF.V600E_MUT,BRAF_MUT,ESPNP_DEL,LOC390660_AMP,FLT1_MUT,MCTP1_DEL,DIAPH2_DEL,NRXN3_DEL,TBL1X_DEL,FAM86DP_DEL,ALK_MUT,DPP6_DEL,MLL3_MUT,OR51A2_DEL,PTPRC_MUT,C10orf11_DEL,LOC728875_DEL,ME3_DEL,YY1AP1_AMP,PRH1-PRR4_DEL,PTPRD_DEL,OR2T34_AMP,FAM190A_DEL,LCE3C_DEL,ERBB2_AMP,FGFR1_DEL,KRTAP9-3_AMP,HIST2H2BF_AMP,OR4N4_DEL,ARHGEF5_AMP
1258,16.0,8.0,24.0,11.0,17.0,6121.0,5377.0,27.0,7.0,33.0,96.0,4.0,35.0,64.0,47.0,8587.0,53.0,42.0,119.0,156.0,113.0,88.0,83.0,61.0,13048.0,91.0,30.0,115.0,168.0,19142.0
1307,16.0,2.0,13.0,70.0,25.0,6129.0,63.0,42.0,7200.0,7228.0,15928.0,75.0,16597.0,159.0,11.0,44.0,166.0,4058.0,178.0,137.0,208.0,96.0,65.0,35.0,26.0,34.0,24.0,97.0,45.0,19146.0
1356,3.0,44.0,49.0,42.0,70.0,32.0,41.0,7725.0,11.0,7219.0,15926.0,111.0,16598.0,121.0,17.0,91.0,62.0,80.0,157.0,74.0,110.0,115.0,77.0,158.0,59.0,61.0,84.0,126.0,1273.0,19154.0
1405,35.0,0.0,11.0,13935.0,16179.0,48.0,57.0,62.0,7201.0,56.0,15920.0,125.0,61.0,121.0,17.0,91.0,7443.0,112.0,45.0,24.0,94.0,59.0,79.0,141.0,51.0,65.0,159.0,13997.0,124.0,19132.0
1454,2.0,98.0,17.0,16.0,31.0,6121.0,73.0,58.0,7208.0,41.0,15924.0,70.0,112.0,111.0,38.0,151.0,22.0,50.0,134.0,64.0,11952.0,78.0,61.0,154.0,37.0,142.0,51.0,153.0,185.0,19139.0
1503,16.0,4.0,65.0,28.0,40.0,6122.0,58.0,91.0,9.0,7224.0,19.0,60.0,96.0,67.0,10.0,8589.0,77.0,109.0,43.0,123.0,102.0,79.0,72.0,129.0,13053.0,4883.0,19504.0,156.0,127.0,187.0
1552,4.0,9.0,44.0,81.0,16.0,6125.0,19.0,30.0,70.0,58.0,27.0,86.0,26.0,100.0,62.0,47.0,112.0,17.0,60.0,55.0,186.0,159.0,143.0,96.0,24.0,84.0,19499.0,108.0,56.0,197.0
1601,3.0,4.0,7.0,44.0,18.0,21.0,92.0,40.0,36.0,38.0,22.0,34.0,117.0,71.0,78.0,30.0,7463.0,4062.0,58.0,79.0,84.0,52.0,137.0,75.0,109.0,128.0,114.0,125.0,80.0,19151.0
1650,31.0,4.0,37.0,81.0,22.0,6129.0,25.0,40.0,93.0,69.0,15928.0,104.0,34.0,101.0,83.0,66.0,36.0,4067.0,46.0,78.0,89.0,44.0,141.0,65.0,13048.0,87.0,20.0,162.0,129.0,107.0
1699,24.0,5.0,47.0,20.0,16190.0,6.0,49.0,37.0,58.0,60.0,25.0,110.0,65.0,63.0,78.0,82.0,7465.0,129.0,64.0,108.0,169.0,50.0,143.0,100.0,81.0,53.0,19253.0,135.0,83.0,19154.0
1748,5.0,4.0,39.0,32.0,11.0,19.0,34.0,83.0,38.0,41.0,15927.0,102.0,29.0,80.0,16597.0,37.0,125.0,151.0,67.0,68.0,55.0,149.0,154.0,109.0,13043.0,62.0,58.0,152.0,75.0,101.0
1797,19.0,6.0,56.0,16.0,1.0,6119.0,13.0,45.0,74.0,23.0,90.0,62.0,40.0,73.0,16580.0,8586.0,7459.0,95.0,31.0,94.0,102.0,122.0,132.0,167.0,66.0,67.0,142.0,140.0,44.0,65.0
1846,6.0,2.0,29.0,38.0,8.0,6120.0,16.0,76.0,44.0,39.0,22.0,62.0,46.0,85.0,89.0,61.0,75.0,4055.0,70.0,57.0,129.0,138.0,145.0,100.0,23.0,34.0,41.0,134.0,66.0,162.0
1895,33.0,5.0,65.0,14.0,30.0,17.0,41.0,47.0,7192.0,94.0,38.0,46.0,107.0,100.0,16598.0,124.0,67.0,4062.0,59.0,83.0,73.0,54.0,194.0,86.0,23.0,10.0,19503.0,125.0,117.0,51.0
1944,22.0,8.0,40.0,45.0,20.0,6121.0,35.0,7728.0,71.0,43.0,30.0,88.0,16599.0,64.0,16578.0,65.0,7460.0,4050.0,59.0,99.0,155.0,54.0,1827.0,111.0,49.0,4875.0,32.0,124.0,60.0,92.0
1993,7.0,99.0,17.0,3.0,42.0,10.0,108.0,111.0,84.0,7217.0,15922.0,60.0,44.0,83.0,16598.0,185.0,173.0,75.0,102.0,122.0,165.0,115.0,64.0,152.0,13042.0,4875.0,98.0,79.0,73.0,19137.0
2042,12.0,11.0,10.0,45.0,14.0,6119.0,87.0,38.0,19.0,7222.0,29.0,55.0,85.0,102.0,16597.0,121.0,123.0,4053.0,72.0,129.0,47.0,89.0,97.0,108.0,13048.0,111.0,19501.0,152.0,65.0,90.0
2091,0.0,59.0,18.0,13921.0,16182.0,29.0,23.0,7730.0,37.0,17.0,15923.0,58.0,95.0,78.0,92.0,60.0,68.0,26.0,66.0,108.0,31.0,57.0,25.0,114.0,13044.0,72.0,82.0,152.0,76.0,121.0
2140,4.0,132.0,33.0,11.0,16183.0,0.0,64.0,84.0,55.0,7215.0,15924.0,58.0,56.0,63.0,16618.0,176.0,97.0,4054.0,116.0,112.0,109.0,96.0,125.0,144.0,13041.0,119.0,126.0,133.0,124.0,117.0
2189,3.0,69.0,18.0,51.0,22.0,24.0,58.0,48.0,91.0,10.0,15924.0,68.0,46.0,62.0,16597.0,32.0,7461.0,89.0,84.0,97.0,203.0,149.0,83.0,67.0,55.0,4889.0,19502.0,185.0,98.0,144.0
2238,2.0,57.0,13.0,28.0,16178.0,6111.0,38.0,43.0,27.0,25.0,15919.0,77.0,89.0,51.0,16614.0,128.0,101.0,4.0,124.0,110.0,131.0,62.0,39.0,72.0,13032.0,4880.0,19491.0,95.0,98.0,44.0
2287,0.0,77.0,14.0,38.0,18.0,21.0,55.0,29.0,7.0,30.0,15923.0,57.0,16616.0,152.0,16596.0,46.0,48.0,4046.0,158.0,89.0,45.0,66.0,67.0,68.0,13041.0,13.0,160.0,121.0,126.0,133.0
2336,0.0,46.0,35.0,32.0,16179.0,15.0,71.0,18.0,47.0,36.0,15920.0,43.0,76.0,100.0,16614.0,191.0,146.0,4041.0,108.0,85.0,48.0,79.0,39.0,129.0,13030.0,12.0,19493.0,98.0,84.0,19136.0
2385,1.0,42.0,25.0,7.0,12.0,9.0,34.0,44.0,30.0,7212.0,15926.0,58.0,47.0,62.0,16599.0,72.0,86.0,40.0,142.0,73.0,134.0,115.0,144.0,95.0,13036.0,4875.0,117.0,87.0,169.0,104.0
2434,2.0,16552.0,10.0,4.0,16176.0,6112.0,58.0,75.0,40.0,7208.0,15918.0,51.0,16609.0,86.0,16612.0,8579.0,71.0,110.0,107.0,120.0,166.0,134.0,108.0,142.0,69.0,32.0,19494.0,102.0,133.0,30.0
2483,8.0,11.0,12.0,53.0,17.0,56.0,83.0,58.0,64.0,31.0,16.0,99.0,16597.0,65.0,24.0,179.0,54.0,44.0,52.0,197.0,121.0,9.0,145.0,2662.0,13035.0,149.0,19496.0,118.0,137.0,86.0
2532,7.0,27.0,20.0,18.0,37.0,0.0,39.0,23.0,134.0,54.0,25.0,70.0,50.0,53.0,80.0,62.0,88.0,4061.0,93.0,125.0,51.0,16997.0,176.0,105.0,13055.0,111.0,19505.0,85.0,116.0,19148.0
2581,0.0,18.0,11.0,6.0,16181.0,6126.0,56.0,27.0,80.0,59.0,5.0,61.0,39.0,60.0,22.0,77.0,38.0,100.0,150.0,144.0,178.0,102.0,159.0,63.0,13043.0,124.0,8.0,120.0,103.0,121.0
2630,17.0,6.0,38.0,39.0,24.0,11.0,5409.0,12.0,76.0,27.0,40.0,117.0,70.0,75.0,15.0,112.0,181.0,4061.0,153.0,142.0,144.0,131.0,172.0,104.0,13040.0,135.0,14.0,157.0,1267.0,67.0
2679,6.0,34.0,31.0,10.0,47.0,0.0,9.0,7726.0,40.0,57.0,30.0,150.0,83.0,53.0,90.0,70.0,7464.0,63.0,89.0,126.0,80.0,140.0,105.0,2541.0,13039.0,172.0,19499.0,176.0,42.0,19143.0
2728,16.0,4.0,20.0,24.0,7.0,8.0,5375.0,34.0,75.0,7215.0,31.0,79.0,142.0,65.0,48.0,8583.0,59.0,4049.0,116.0,167.0,92.0,16988.0,1888.0,133.0,15.0,108.0,51.0,171.0,134.0,93.0
2777,4.0,27.0,23.0,13918.0,16182.0,0.0,5376.0,7732.0,112.0,65.0,51.0,119.0,70.0,71.0,86.0,29.0,41.0,56.0,89.0,133.0,81.0,174.0,113.0,192.0,13042.0,100.0,19500.0,126.0,129.0,108.0
2826,3.0,16.0,25.0,13.0,26.0,5.0,90.0,8.0,75.0,7209.0,30.0,78.0,16597.0,52.0,81.0,155.0,62.0,53.0,59.0,104.0,124.0,16988.0,136.0,177.0,13032.0,125.0,27.0,110.0,131.0,91.0
2875,27.0,9.0,28.0,23.0,16180.0,6117.0,67.0,11.0,136.0,14.0,1.0,48.0,69.0,73.0,36.0,46.0,95.0,64.0,72.0,117.0,77.0,85.0,113.0,144.0,13034.0,4874.0,19493.0,91.0,152.0,60.0
2924,12.0,10.0,26.0,13.0,16179.0,0.0,32.0,7725.0,56.0,95.0,15921.0,48.0,97.0,63.0,16596.0,55.0,7454.0,4040.0,94.0,125.0,90.0,136.0,101.0,70.0,13038.0,4870.0,34.0,165.0,111.0,64.0
2973,16.0,2.0,21.0,76.0,14.0,13.0,32.0,69.0,29.0,71.0,15929.0,63.0,51.0,140.0,17.0,40.0,24.0,86.0,145.0,56.0,43.0,117.0,1828.0,90.0,91.0,4868.0,73.0,130.0,191.0,104.0
3022,0.0,107.0,23.0,30.0,34.0,6111.0,77.0,7721.0,49.0,29.0,15922.0,80.0,31.0,63.0,27.0,45.0,7460.0,88.0,110.0,74.0,103.0,75.0,155.0,51.0,94.0,4878.0,19497.0,79.0,1261.0,81.0
3071,2.0,83.0,95.0,13936.0,48.0,6111.0,28.0,19.0,7184.0,31.0,15919.0,124.0,16614.0,146.0,24.0,97.0,96.0,128.0,67.0,68.0,17.0,90.0,179.0,107.0,65.0,20.0,79.0,78.0,116.0,114.0
3120,5.0,29.0,19.0,13939.0,12.0,64.0,44.0,7884.0,3.0,23.0,15922.0,35.0,68.0,91.0,34.0,38.0,57.0,59.0,102.0,89.0,123.0,85.0,143.0,128.0,125.0,108.0,19497.0,67.0,1264.0,104.0
3169,3.0,43.0,22.0,47.0,26.0,27.0,83.0,54.0,28.0,37.0,15921.0,71.0,2.0,99.0,13.0,49.0,74.0,4039.0,121.0,122.0,117.0,137.0,85.0,44.0,13031.0,4861.0,1.0,82.0,162.0,118.0
3218,3.0,35.0,13.0,13919.0,50.0,11.0,58.0,7724.0,7188.0,7215.0,39.0,44.0,15.0,93.0,14.0,145.0,97.0,4046.0,92.0,66.0,132.0,115.0,87.0,69.0,54.0,49.0,88.0,60.0,113.0,24.0
3267,3.0,19.0,24.0,8.0,16.0,10.0,52.0,30.0,31.0,22.0,26.0,45.0,59.0,108.0,27.0,73.0,102.0,55.0,131.0,83.0,49.0,63.0,114.0,66.0,13030.0,109.0,19490.0,65.0,85.0,33.0
3316,2.0,30.0,34.0,10.0,53.0,14.0,55.0,91.0,7181.0,29.0,15920.0,77.0,33.0,145.0,27.0,45.0,7446.0,49.0,76.0,47.0,128.0,65.0,66.0,84.0,71.0,4868.0,1.0,59.0,126.0,8.0
3365,2.0,37.0,15.0,5.0,43.0,3.0,35.0,7725.0,10.0,74.0,30.0,63.0,21.0,112.0,13.0,75.0,16.0,55.0,108.0,64.0,139.0,83.0,106.0,58.0,119.0,4872.0,19495.0,69.0,1260.0,47.0
3414,29.0,0.0,8.0,23.0,1.0,6108.0,5357.0,11.0,92.0,7204.0,15919.0,105.0,10.0,88.0,16592.0,94.0,28.0,43.0,74.0,90.0,62.0,36.0,67.0,114.0,89.0,4857.0,19486.0,56.0,1243.0,19093.0
3463,3.0,17.0,14.0,23.0,6.0,6116.0,48.0,55.0,4.0,49.0,2.0,66.0,26.0,91.0,16615.0,65.0,88.0,93.0,71.0,77.0,56.0,181.0,95.0,112.0,13030.0,145.0,100.0,114.0,172.0,19108.0
3512,15.0,3.0,37.0,27.0,16181.0,4.0,5372.0,7726.0,31.0,13.0,29.0,49.0,59.0,124.0,16597.0,94.0,109.0,81.0,102.0,69.0,76.0,16986.0,61.0,87.0,13034.0,112.0,84.0,60.0,162.0,19143.0
3561,28.0,10.0,23.0,25.0,16180.0,26.0,24.0,7726.0,65.0,14.0,35.0,56.0,67.0,83.0,16597.0,101.0,21.0,103.0,86.0,54.0,85.0,16989.0,128.0,130.0,58.0,20.0,19494.0,135.0,81.0,19137.0
3610,17.0,11.0,41.0,2.0,16177.0,13.0,69.0,26.0,9.0,24.0,10.0,42.0,44.0,167.0,16592.0,148.0,54.0,115.0,87.0,83.0,68.0,16987.0,52.0,61.0,13035.0,98.0,49.0,121.0,1247.0,19.0
3659,5.0,12.0,1345.0,33.0,25.0,0.0,31.0,30.0,19.0,42.0,15.0,51.0,110.0,95.0,16612.0,127.0,59.0,53.0,134.0,64.0,91.0,170.0,47.0,132.0,13033.0,4864.0,19492.0,153.0,144.0,19133.0
3708,18.0,3.0,20.0,34.0,16179.0,5.0,28.0,24.0,7.0,30.0,15920.0,55.0,51.0,94.0,16614.0,41.0,54.0,62.0,78.0,97.0,153.0,132.0,87.0,80.0,13034.0,37.0,82.0,127.0,188.0,19134.0
3757,0.0,33.0,20.0,13936.0,16180.0,2.0,101.0,7722.0,7183.0,47.0,27.0,64.0,62.0,136.0,16593.0,86.0,71.0,73.0,74.0,66.0,24.0,16986.0,58.0,112.0,13033.0,4863.0,19493.0,145.0,129.0,19135.0
3806,1.0,40.0,29.0,16.0,16177.0,6108.0,78.0,7719.0,46.0,7207.0,28.0,63.0,22.0,126.0,16613.0,93.0,96.0,99.0,65.0,61.0,108.0,151.0,120.0,67.0,13029.0,23.0,19493.0,134.0,137.0,160.0
3855,0.0,34.0,61.0,13935.0,16179.0,10.0,23.0,38.0,20.0,25.0,41.0,32.0,66.0,77.0,16614.0,75.0,84.0,96.0,70.0,85.0,9.0,169.0,54.0,52.0,13045.0,49.0,55.0,108.0,136.0,19133.0
3904,2.0,18.0,44.0,13932.0,16178.0,6109.0,5353.0,7716.0,21.0,25.0,71.0,46.0,38.0,124.0,16613.0,141.0,145.0,73.0,60.0,90.0,97.0,154.0,66.0,53.0,62.0,33.0,19489.0,67.0,113.0,19132.0
3953,11.0,2.0,1368.0,21.0,46.0,6121.0,5441.0,35.0,51.0,7223.0,17.0,70.0,66.0,158.0,25.0,180.0,77.0,47.0,150.0,110.0,123.0,184.0,60.0,171.0,57.0,59.0,19254.0,81.0,155.0,65.0
4002,1.0,18.0,1404.0,16.0,11.0,6121.0,72.0,12.0,7194.0,33.0,41.0,71.0,95.0,49.0,28.0,172.0,92.0,118.0,86.0,80.0,164.0,129.0,58.0,3.0,55.0,103.0,73.0,82.0,111.0,176.0
4051,3.0,29.0,74.0,58.0,18.0,6125.0,32.0,7731.0,9.0,7226.0,27.0,67.0,71.0,77.0,23.0,93.0,31.0,91.0,61.0,60.0,96.0,119.0,52.0,189.0,37.0,42.0,4.0,80.0,89.0,47.0
4100,1.0,61.0,1362.0,40.0,16180.0,6121.0,14.0,15.0,7194.0,81.0,15921.0,54.0,8.0,146.0,16615.0,93.0,113.0,82.0,182.0,67.0,11957.0,170.0,132.0,64.0,37.0,162.0,19501.0,104.0,88.0,35.0
4149,38.0,4.0,20.0,72.0,16182.0,49.0,40.0,41.0,28.0,7216.0,30.0,64.0,81.0,86.0,16597.0,62.0,144.0,79.0,140.0,101.0,82.0,132.0,60.0,189.0,119.0,105.0,19501.0,155.0,164.0,27.0
4198,3.0,19.0,80.0,13938.0,41.0,6113.0,34.0,20.0,7187.0,7214.0,32.0,50.0,59.0,61.0,16616.0,117.0,6.0,4047.0,85.0,178.0,63.0,47.0,44.0,159.0,30.0,58.0,19498.0,155.0,150.0,31.0
4247,1.0,38.0,1366.0,14.0,16181.0,7.0,85.0,5.0,22.0,49.0,34.0,77.0,41.0,62.0,83.0,144.0,123.0,4053.0,113.0,114.0,63.0,76.0,88.0,185.0,13037.0,64.0,19502.0,155.0,46.0,132.0
4296,0.0,25.0,33.0,13900.0,16181.0,6118.0,40.0,12.0,117.0,54.0,15923.0,81.0,16613.0,67.0,9.0,83.0,187.0,73.0,80.0,106.0,96.0,113.0,78.0,185.0,37.0,4879.0,36.0,90.0,100.0,95.0
4345,28.0,5.0,1352.0,33.0,12.0,6124.0,32.0,16.0,44.0,22.0,15923.0,51.0,87.0,64.0,39.0,80.0,40.0,4049.0,151.0,159.0,79.0,82.0,52.0,94.0,46.0,132.0,19499.0,48.0,119.0,56.0
4394,1.0,34.0,1333.0,13932.0,16176.0,6111.0,17.0,7719.0,5.0,7221.0,15917.0,73.0,59.0,53.0,16613.0,57.0,94.0,11.0,152.0,86.0,155.0,106.0,28.0,165.0,9.0,130.0,48.0,90.0,47.0,19133.0
4443,4.0,7.0,28.0,13917.0,16180.0,6108.0,38.0,7721.0,31.0,7209.0,26.0,90.0,130.0,94.0,14.0,43.0,48.0,4038.0,111.0,88.0,55.0,110.0,158.0,72.0,13039.0,24.0,13.0,66.0,77.0,19139.0
4492,0.0,16.0,31.0,13915.0,12.0,13.0,58.0,7727.0,9.0,69.0,15923.0,57.0,16615.0,63.0,4.0,27.0,137.0,100.0,116.0,102.0,114.0,82.0,139.0,75.0,28.0,64.0,23.0,131.0,179.0,60.0
4541,10.0,6.0,32.0,86.0,13.0,8.0,53.0,38.0,47.0,7221.0,15925.0,99.0,57.0,71.0,16599.0,50.0,33.0,4061.0,60.0,130.0,138.0,43.0,82.0,110.0,66.0,89.0,19503.0,129.0,72.0,131.0
4590,13.0,4.0,36.0,13920.0,16184.0,6123.0,81.0,7733.0,72.0,7220.0,34.0,23.0,16618.0,95.0,6.0,99.0,134.0,68.0,54.0,88.0,137.0,85.0,118.0,74.0,13043.0,4885.0,19499.0,163.0,66.0,133.0
4639,28.0,3.0,22.0,13905.0,16184.0,7.0,53.0,7729.0,7192.0,7219.0,15926.0,67.0,125.0,65.0,0.0,98.0,76.0,97.0,68.0,124.0,138.0,44.0,63.0,167.0,49.0,111.0,19504.0,110.0,93.0,70.0
4688,40.0,2.0,36.0,13921.0,31.0,17.0,5408.0,16.0,7195.0,7222.0,15926.0,75.0,16618.0,73.0,48.0,37.0,7460.0,112.0,144.0,122.0,150.0,16995.0,1839.0,110.0,13044.0,44.0,19506.0,79.0,108.0,104.0
4737,4.0,0.0,22.0,6.0,27.0,6117.0,36.0,7729.0,7208.0,86.0,31.0,121.0,16618.0,118.0,16598.0,18.0,126.0,111.0,80.0,170.0,164.0,70.0,113.0,104.0,13035.0,19.0,57.0,90.0,53.0,138.0
4786,15.0,8.0,32.0,13912.0,16186.0,2.0,48.0,86.0,7201.0,7228.0,34.0,55.0,16621.0,78.0,50.0,77.0,129.0,76.0,117.0,90.0,85.0,92.0,131.0,115.0,122.0,4872.0,97.0,100.0,82.0,19152.0
4835,8.0,7.0,29.0,13920.0,16183.0,11.0,24.0,15.0,7190.0,7217.0,23.0,147.0,114.0,87.0,4.0,47.0,44.0,106.0,123.0,144.0,70.0,88.0,118.0,152.0,50.0,72.0,110.0,14009.0,68.0,105.0
4884,7.0,5.0,24.0,2.0,27.0,4.0,15.0,83.0,7186.0,72.0,28.0,70.0,26.0,120.0,29.0,53.0,64.0,84.0,126.0,87.0,106.0,79.0,81.0,94.0,20.0,32.0,50.0,141.0,54.0,164.0
