,GABA,C56:5 TAG,niacinamide,beta-alanine,alpha-glycerophosphate,C18:0 LPE,pantothenate,serotonin,adenosine,UMP,DHAP/glyceraldehyde 3P,isocitrate,inositol,putrescine,cystathionine,dCMP,alpha-glycerophosphocholine,C22:6 LPE,oxalate,C34:4 PC,acetylcholine,creatine,C18:0 LPC,C34:2 DAG,creatinine,2-deoxycytidine,valerylcarnitine,N-carbamoyl-beta-alanine,C36:4 PC-B,2-deoxyadenosine
3307,3.0,2.0,0.0,4.0,6.0,8.0,11.0,16.0,1.0,5.0,9.0,38.0,14.0,21.0,7.0,10.0,18.0,15.0,17.0,13.0,26.0,24.0,27.0,31.0,23.0,19.0,22.0,28.0,25.0,20.0
3356,5.0,7.0,1.0,14.0,8.0,10.0,2.0,13.0,3.0,6.0,4.0,30.0,0.0,15.0,31.0,11.0,16.0,9.0,12.0,42.0,18.0,21.0,25.0,17.0,52.0,48.0,47.0,26.0,28.0,22.0
3405,0.0,1.0,3.0,6.0,2.0,10.0,4.0,8.0,7.0,9.0,5.0,14.0,13.0,11.0,47.0,15.0,19.0,12.0,37.0,34.0,20.0,21.0,23.0,26.0,31.0,24.0,29.0,18.0,17.0,16.0
3454,3.0,1.0,0.0,9.0,5.0,4.0,2.0,19.0,13.0,7.0,10.0,16.0,18.0,30.0,8.0,11.0,12.0,34.0,17.0,14.0,31.0,25.0,20.0,29.0,26.0,28.0,27.0,22.0,23.0,44.0
3503,3.0,1.0,0.0,11.0,8.0,6.0,2.0,10.0,4.0,7.0,16.0,12.0,5.0,15.0,42.0,32.0,13.0,31.0,37.0,9.0,27.0,28.0,22.0,26.0,47.0,24.0,20.0,18.0,21.0,23.0
3552,0.0,2.0,1.0,15.0,12.0,6.0,4.0,7.0,3.0,8.0,19.0,18.0,5.0,17.0,13.0,10.0,27.0,33.0,16.0,14.0,26.0,24.0,20.0,37.0,56.0,46.0,28.0,21.0,23.0,32.0
3601,2.0,3.0,0.0,14.0,7.0,4.0,1.0,11.0,5.0,10.0,9.0,8.0,6.0,15.0,20.0,12.0,22.0,43.0,16.0,13.0,23.0,19.0,42.0,18.0,24.0,26.0,30.0,28.0,37.0,25.0
3650,1.0,2.0,0.0,5.0,6.0,4.0,3.0,9.0,16.0,11.0,15.0,8.0,7.0,31.0,43.0,14.0,21.0,22.0,39.0,12.0,45.0,23.0,29.0,13.0,24.0,26.0,18.0,20.0,19.0,25.0
3699,3.0,0.0,1.0,6.0,5.0,4.0,2.0,8.0,7.0,9.0,11.0,15.0,43.0,10.0,32.0,12.0,14.0,22.0,17.0,19.0,25.0,24.0,40.0,39.0,23.0,53.0,26.0,27.0,45.0,20.0
3748,8.0,2.0,0.0,5.0,3.0,6.0,1.0,7.0,4.0,11.0,10.0,12.0,9.0,14.0,30.0,15.0,22.0,18.0,34.0,42.0,21.0,20.0,13.0,35.0,59.0,27.0,23.0,24.0,36.0,17.0
3797,1.0,0.0,2.0,6.0,7.0,5.0,4.0,18.0,3.0,9.0,10.0,13.0,11.0,12.0,32.0,15.0,29.0,35.0,14.0,26.0,23.0,24.0,20.0,17.0,25.0,50.0,19.0,21.0,30.0,27.0
3846,3.0,2.0,0.0,17.0,7.0,9.0,1.0,19.0,4.0,6.0,39.0,11.0,5.0,13.0,35.0,8.0,12.0,22.0,16.0,14.0,21.0,31.0,30.0,15.0,53.0,23.0,28.0,43.0,33.0,24.0
3895,2.0,1.0,0.0,7.0,8.0,5.0,3.0,14.0,6.0,4.0,30.0,13.0,9.0,10.0,17.0,25.0,16.0,26.0,41.0,19.0,48.0,31.0,39.0,15.0,49.0,28.0,22.0,18.0,12.0,29.0
3944,2.0,0.0,1.0,4.0,5.0,3.0,9.0,14.0,16.0,10.0,17.0,12.0,6.0,7.0,32.0,8.0,26.0,28.0,11.0,39.0,24.0,23.0,15.0,38.0,22.0,21.0,20.0,27.0,13.0,55.0
3993,0.0,1.0,3.0,5.0,12.0,2.0,13.0,20.0,16.0,8.0,9.0,35.0,14.0,4.0,7.0,10.0,25.0,18.0,38.0,15.0,17.0,24.0,11.0,30.0,55.0,21.0,28.0,27.0,6.0,23.0
4042,3.0,1.0,0.0,13.0,10.0,2.0,4.0,8.0,15.0,16.0,12.0,5.0,6.0,9.0,17.0,7.0,19.0,14.0,34.0,11.0,18.0,22.0,37.0,42.0,59.0,24.0,20.0,25.0,27.0,23.0
4091,2.0,0.0,3.0,14.0,6.0,1.0,7.0,13.0,27.0,10.0,5.0,15.0,11.0,9.0,8.0,17.0,23.0,12.0,4.0,29.0,31.0,24.0,22.0,41.0,26.0,52.0,25.0,21.0,18.0,28.0
4140,2.0,0.0,1.0,6.0,43.0,3.0,5.0,13.0,31.0,4.0,9.0,8.0,10.0,12.0,14.0,7.0,17.0,11.0,48.0,29.0,16.0,21.0,26.0,15.0,18.0,24.0,22.0,19.0,30.0,23.0
4189,3.0,1.0,0.0,10.0,13.0,2.0,8.0,9.0,11.0,38.0,6.0,14.0,4.0,7.0,5.0,29.0,17.0,37.0,36.0,34.0,18.0,46.0,15.0,31.0,52.0,27.0,12.0,25.0,33.0,23.0
4238,2.0,0.0,1.0,4.0,13.0,3.0,5.0,30.0,29.0,40.0,14.0,7.0,9.0,6.0,11.0,10.0,18.0,15.0,38.0,31.0,8.0,19.0,26.0,12.0,52.0,21.0,23.0,17.0,25.0,50.0
4287,0.0,1.0,2.0,4.0,16.0,3.0,13.0,8.0,18.0,7.0,15.0,6.0,12.0,5.0,9.0,34.0,25.0,14.0,43.0,29.0,11.0,23.0,17.0,20.0,22.0,21.0,28.0,27.0,10.0,48.0
4336,2.0,3.0,1.0,6.0,4.0,0.0,7.0,24.0,22.0,14.0,10.0,11.0,12.0,9.0,5.0,8.0,17.0,39.0,36.0,13.0,18.0,19.0,45.0,40.0,28.0,25.0,21.0,16.0,38.0,23.0
4385,1.0,0.0,2.0,4.0,19.0,3.0,5.0,9.0,24.0,10.0,11.0,7.0,12.0,14.0,6.0,8.0,20.0,46.0,30.0,13.0,21.0,22.0,36.0,34.0,49.0,26.0,23.0,18.0,42.0,25.0
4434,0.0,6.0,8.0,1.0,2.0,19.0,13.0,28.0,7.0,9.0,4.0,3.0,18.0,12.0,42.0,5.0,24.0,15.0,17.0,14.0,23.0,22.0,33.0,16.0,47.0,50.0,26.0,55.0,29.0,48.0
4483,2.0,1.0,0.0,9.0,5.0,8.0,6.0,16.0,15.0,12.0,3.0,11.0,7.0,4.0,10.0,20.0,18.0,28.0,21.0,19.0,29.0,27.0,31.0,13.0,59.0,23.0,50.0,55.0,26.0,24.0
4532,0.0,2.0,1.0,5.0,3.0,12.0,9.0,29.0,13.0,14.0,10.0,7.0,37.0,4.0,15.0,8.0,6.0,31.0,42.0,30.0,17.0,18.0,26.0,21.0,19.0,28.0,45.0,62.0,25.0,50.0
4581,0.0,2.0,1.0,3.0,11.0,4.0,8.0,13.0,10.0,17.0,5.0,7.0,14.0,15.0,23.0,28.0,6.0,46.0,16.0,34.0,26.0,25.0,45.0,9.0,50.0,21.0,24.0,29.0,47.0,22.0
4630,0.0,5.0,2.0,3.0,4.0,6.0,10.0,21.0,9.0,14.0,12.0,1.0,11.0,8.0,19.0,15.0,7.0,13.0,17.0,22.0,24.0,23.0,18.0,16.0,61.0,52.0,48.0,60.0,27.0,20.0
4679,0.0,3.0,6.0,4.0,5.0,7.0,10.0,17.0,13.0,20.0,12.0,1.0,11.0,8.0,34.0,2.0,9.0,15.0,14.0,32.0,24.0,22.0,28.0,16.0,52.0,21.0,23.0,27.0,26.0,50.0
4728,0.0,4.0,1.0,3.0,2.0,7.0,41.0,29.0,6.0,12.0,5.0,10.0,8.0,14.0,32.0,11.0,13.0,16.0,9.0,46.0,19.0,28.0,17.0,39.0,21.0,20.0,25.0,60.0,40.0,22.0
4777,0.0,1.0,3.0,4.0,10.0,9.0,6.0,13.0,5.0,17.0,11.0,2.0,12.0,18.0,20.0,8.0,7.0,27.0,19.0,22.0,51.0,25.0,23.0,14.0,33.0,55.0,30.0,57.0,24.0,26.0
4826,0.0,3.0,1.0,2.0,8.0,4.0,12.0,16.0,5.0,6.0,9.0,11.0,7.0,13.0,30.0,10.0,17.0,14.0,38.0,20.0,51.0,26.0,29.0,15.0,57.0,48.0,23.0,52.0,41.0,19.0
4875,0.0,2.0,1.0,6.0,3.0,8.0,13.0,22.0,10.0,15.0,11.0,4.0,5.0,7.0,16.0,17.0,9.0,20.0,14.0,12.0,56.0,23.0,28.0,19.0,44.0,25.0,46.0,55.0,21.0,48.0
