,DPP6_DEL,MIR548AI_DEL,HERC2P2_AMP,GSTTP1_AMP,HEATR4_DEL,ACOT1_DEL,FAM66A_DEL,GSTM1_DEL,DEFB109P1_DEL,DOCK10_AMP,APBA1_AMP,JAK2_AMP,NF1P2_AMP,POTEB_AMP,CERS6_DEL,LRMP_AMP,FAM86DP_DEL,MYO3B_MUT,PRAMEF2_DEL,CTNND2_DEL,DLC1_MUT,MYH1_MUT,SHROOM2_DEL,OR51A4_DEL,LOC643650_DEL,LOC348120_AMP,CCDC144B_DEL,EP300_MUT,NRXN1_DEL,GUSBP3_DEL
521,0.0,1.0,29.0,15.0,2.0,5.0,16.0,17.0,23.0,46.0,57.0,13.0,7.0,8.0,53.0,24.0,11.0,40.0,52.0,74.0,21.0,87.0,34.0,100.0,26.0,20.0,4.0,27.0,30.0,154.0
570,0.0,7.0,204.0,64.0,3.0,6.0,59.0,168.0,34.0,17.0,56.0,25.0,8.0,9.0,105.0,31.0,21.0,12.0,29.0,71.0,33.0,58.0,70.0,937.0,32.0,16.0,1.0,444.0,27.0,197.0
619,0.0,4.0,121.0,9.0,1.0,2.0,19.0,584.0,38.0,21.0,84.0,25.0,11.0,12.0,96.0,47.0,20.0,54.0,92.0,87.0,16.0,53.0,115.0,1131.0,39.0,31.0,6.0,46.0,30.0,5.0
668,0.0,1.0,67.0,30.0,7.0,18.0,413.0,3.0,537.0,21.0,22.0,13.0,15.0,16.0,26.0,27.0,9.0,101.0,38.0,79.0,12.0,41.0,63.0,10235.0,20.0,25.0,2.0,23.0,19.0,339.0
717,1.0,0.0,193.0,31.0,3.0,4.0,16.0,44.0,5.0,17.0,102.0,18.0,6.0,7.0,49.0,30.0,25.0,52.0,12.0,41.0,37.0,133.0,93.0,51.0,101.0,9.0,22.0,26.0,21.0,72.0
766,0.0,1.0,7.0,121.0,6.0,8.0,11.0,17.0,24.0,13.0,58.0,41.0,30.0,29.0,31.0,120.0,22.0,15.0,25.0,18.0,164.0,75.0,184.0,10278.0,4.0,33.0,14.0,91.0,46.0,2821.0
815,0.0,4.0,388.0,65.0,3.0,8.0,5.0,1.0,14.0,62.0,73.0,12.0,24.0,23.0,150.0,32.0,10.0,18.0,35.0,85.0,28.0,25.0,22.0,37.0,17.0,70.0,6.0,488.0,101.0,2663.0
864,0.0,3.0,47.0,28.0,1.0,2.0,22.0,8.0,14.0,45.0,107.0,19.0,17.0,18.0,64.0,33.0,12.0,34.0,37.0,21.0,35.0,39.0,20.0,48.0,81.0,110.0,7.0,58.0,11.0,16.0
913,0.0,3.0,233.0,14.0,1.0,2.0,563.0,74.0,967.0,61.0,32.0,4.0,20.0,19.0,122.0,9.0,43.0,18.0,41.0,152.0,39.0,49.0,34.0,11.0,37.0,78.0,12.0,21.0,23.0,36.0
962,0.0,3.0,4.0,75.0,2.0,1.0,134.0,28.0,7.0,254.0,222.0,17.0,127.0,126.0,45.0,11.0,13.0,62.0,47.0,49.0,18.0,1921.0,48.0,55.0,43.0,354.0,38.0,6.0,61.0,54.0
1011,0.0,7.0,3.0,8.0,9.0,10.0,38.0,69.0,221.0,89.0,21.0,42.0,5.0,6.0,17.0,28.0,71.0,11.0,35.0,1.0,163.0,48.0,20.0,29.0,13.0,4.0,76.0,1138.0,196.0,46.0
1060,0.0,15.0,30.0,266.0,2.0,3.0,11.0,9.0,24.0,46.0,42.0,14.0,679.0,678.0,16.0,7.0,65.0,20.0,12.0,18.0,66.0,8.0,27.0,172.0,22.0,3297.0,107.0,164.0,171.0,123.0
1109,1.0,2.0,0.0,24.0,7.0,9.0,26.0,4033.0,8.0,116.0,15.0,32.0,84.0,83.0,11.0,46.0,77.0,3.0,30.0,17.0,87.0,14.0,23.0,876.0,6.0,394.0,20.0,25.0,114.0,154.0
1158,0.0,2.0,7.0,15.0,20.0,49.0,32.0,148.0,33.0,63.0,6.0,30.0,42.0,41.0,35.0,26.0,36.0,38.0,22.0,5.0,82.0,14.0,10.0,46.0,60.0,53.0,1083.0,118.0,447.0,29.0
1207,0.0,3.0,16.0,85.0,5.0,2.0,9.0,1.0,11.0,6.0,27.0,35.0,1851.0,1850.0,30.0,38.0,92.0,18.0,67.0,39.0,816.0,41.0,37.0,96.0,28.0,13120.0,44.0,52.0,53.0,3203.0
1256,0.0,26.0,2.0,19.0,9.0,17.0,7.0,1.0,32.0,38.0,63.0,20.0,11.0,10.0,12.0,16.0,54.0,23.0,27.0,22.0,31.0,85.0,4.0,59.0,30.0,57.0,171.0,21.0,574.0,68.0
1305,0.0,4.0,1.0,20.0,5.0,6.0,45.0,59.0,46.0,61.0,23.0,10.0,227.0,226.0,14.0,19.0,83.0,11.0,66.0,8.0,105.0,30.0,24.0,211.0,16.0,920.0,36.0,666.0,134.0,208.0
1354,0.0,1.0,30.0,42.0,2.0,3.0,23.0,7.0,137.0,264.0,14.0,11.0,119.0,120.0,12.0,9.0,83.0,20.0,21.0,15.0,231.0,61.0,54.0,290.0,45.0,618.0,321.0,94.0,118.0,18.0
1403,0.0,2.0,11.0,4.0,18.0,21.0,1.0,389.0,16.0,101.0,44.0,47.0,12.0,13.0,31.0,24.0,29.0,93.0,28.0,32.0,916.0,87.0,14.0,70.0,17.0,80.0,263.0,91.0,52.0,25.0
1452,0.0,6.0,9.0,26.0,3.0,7.0,56.0,412.0,140.0,761.0,20.0,21.0,5.0,4.0,50.0,13.0,142.0,19.0,461.0,51.0,1406.0,12.0,65.0,101.0,22.0,15.0,58.0,43.0,150.0,54.0
1501,0.0,5.0,22.0,1.0,4.0,6.0,78.0,35.0,38.0,9.0,16.0,13.0,15.0,14.0,250.0,23.0,18.0,17.0,21.0,51.0,10.0,117.0,175.0,28.0,433.0,58.0,145.0,49.0,7.0,2.0
1550,0.0,2.0,3.0,1.0,11.0,21.0,8.0,5.0,7.0,14.0,17.0,15.0,12.0,13.0,44.0,42.0,43.0,27.0,19.0,86.0,6.0,41.0,61.0,157.0,607.0,32.0,31.0,24.0,48.0,16.0
1599,0.0,18.0,26.0,4.0,5.0,10.0,3.0,12.0,1.0,6.0,17.0,35.0,55.0,56.0,14.0,50.0,43.0,39.0,29.0,20.0,59.0,11.0,65.0,412.0,602.0,53.0,7.0,104.0,127.0,8.0
1648,0.0,6.0,5.0,33.0,2.0,3.0,45.0,1.0,4.0,60.0,7.0,12.0,22.0,23.0,39.0,21.0,132.0,14.0,107.0,36.0,40.0,8.0,53.0,18.0,547.0,46.0,31.0,20.0,69.0,9.0
1697,1.0,15.0,0.0,7.0,2.0,3.0,16.0,23.0,12.0,71.0,72.0,6.0,4.0,5.0,22.0,20.0,9.0,14.0,35.0,19.0,25.0,51.0,55.0,138.0,11708.0,11.0,21.0,60.0,886.0,10.0
1746,0.0,13.0,3.0,2.0,4.0,5.0,125.0,14.0,17.0,6.0,7.0,25.0,20.0,21.0,38.0,40.0,63.0,8.0,45.0,75.0,35.0,12.0,46.0,18.0,565.0,72.0,174.0,71.0,51.0,37.0
1795,0.0,3.0,1.0,2.0,6.0,12.0,66.0,5.0,20.0,15.0,9.0,13.0,7.0,8.0,18.0,38.0,19.0,56.0,24.0,31.0,43.0,39.0,110.0,131.0,624.0,17.0,22.0,60.0,244.0,14.0
1844,0.0,158.0,5.0,1.0,39.0,66.0,46.0,3.0,14.0,31.0,11.0,6.0,33.0,32.0,19.0,8.0,17.0,24.0,28.0,18.0,70.0,15.0,116.0,232.0,590.0,104.0,20.0,16.0,40.0,2.0
1893,0.0,66.0,11.0,1.0,3.0,2.0,17.0,4.0,8.0,5.0,6.0,10.0,52.0,53.0,69.0,12.0,83.0,337.0,23.0,964.0,41.0,36.0,20.0,7.0,11316.0,199.0,57.0,183.0,26.0,19.0
1942,9.0,8.0,3.0,2.0,0.0,1.0,173.0,10.0,174.0,19.0,6.0,18.0,4.0,5.0,26.0,16.0,40.0,25.0,87.0,32.0,14.0,28.0,157.0,21.0,1815.0,12.0,23.0,33.0,42.0,15.0
1991,0.0,53.0,183.0,2.0,41.0,79.0,18.0,1.0,9.0,10.0,27.0,28.0,60.0,61.0,50.0,24.0,36.0,48.0,92.0,64.0,15.0,5.0,65.0,3.0,1006.0,911.0,26.0,21.0,4.0,52.0
2040,3.0,2.0,25.0,7.0,21.0,51.0,72.0,1.0,19.0,14.0,38.0,6.0,222.0,221.0,31.0,35.0,23.0,10.0,30.0,455.0,63.0,11.0,24.0,0.0,75.0,2321.0,36.0,144.0,15.0,582.0
2089,1.0,5.0,20.0,4.0,280.0,834.0,39.0,0.0,16.0,15.0,3.0,7.0,76.0,75.0,21.0,24.0,14.0,77.0,54.0,27.0,28.0,18.0,9.0,2.0,164.0,2230.0,6.0,123.0,44.0,502.0
2138,6.0,0.0,15.0,14.0,35.0,65.0,13.0,2.0,19.0,21.0,11.0,22.0,355.0,354.0,72.0,125.0,25.0,8.0,87.0,158.0,29.0,32.0,26.0,20.0,60.0,1567.0,4.0,42.0,5.0,821.0
2187,0.0,15.0,4.0,3.0,85.0,230.0,37.0,23.0,44.0,1.0,12.0,27.0,17.0,18.0,22.0,16.0,193.0,36.0,126.0,38.0,571.0,33.0,42.0,52.0,140.0,80.0,299.0,43.0,2.0,259.0
2236,10.0,13.0,8.0,0.0,44.0,67.0,202.0,2.0,111.0,62.0,4.0,19.0,15.0,16.0,17.0,30.0,100.0,7.0,47.0,36.0,22.0,35.0,23.0,3.0,470.0,69.0,33.0,53.0,9.0,31.0
2285,1.0,15.0,9.0,0.0,18.0,34.0,963.0,6.0,236.0,33.0,13.0,16.0,283.0,284.0,22.0,37.0,21.0,8.0,62.0,14.0,56.0,29.0,35.0,2.0,560.0,12935.0,40.0,12.0,3.0,76.0
2334,0.0,1.0,592.0,5.0,12.0,21.0,37.0,3.0,10.0,4.0,16.0,8.0,60.0,59.0,24.0,18.0,65.0,39.0,266.0,48.0,34.0,222.0,36.0,2.0,63.0,1115.0,9.0,44.0,6.0,129.0
2383,0.0,1.0,14.0,9.0,2.0,3.0,20.0,5.0,10.0,61.0,12.0,15.0,7.0,8.0,35.0,36.0,44.0,19.0,57.0,86.0,37.0,180.0,136.0,106.0,286.0,38.0,11.0,154.0,6.0,614.0
2432,2.0,24.0,10.0,3.0,323.0,322.0,64.0,0.0,71.0,29.0,22.0,17.0,67.0,66.0,26.0,13.0,82.0,6.0,25.0,18.0,40.0,15.0,48.0,1.0,161.0,2383.0,60.0,8.0,14.0,200.0
2481,0.0,25.0,32.0,18.0,60.0,67.0,14.0,5.0,119.0,12.0,193.0,49.0,7.0,6.0,68.0,11.0,15.0,45.0,29.0,9.0,266.0,1246.0,13.0,496.0,415.0,37.0,888.0,1.0,178.0,42.0
2530,9.0,16.0,4.0,6.0,7.0,3.0,11.0,304.0,20.0,2.0,215.0,113.0,1.0,0.0,22.0,14.0,39.0,62.0,33.0,26.0,217.0,109.0,21.0,23.0,72.0,8.0,172.0,17.0,212.0,58.0
2579,0.0,19.0,5.0,1.0,149.0,208.0,6.0,389.0,115.0,7.0,55.0,29.0,3.0,4.0,13.0,20.0,23.0,16.0,17.0,8.0,245.0,187.0,52.0,59.0,84.0,15.0,3100.0,14.0,194.0,40.0
2628,0.0,8.0,69.0,9.0,37.0,67.0,2.0,20.0,63.0,1.0,2928.0,38.0,4.0,3.0,27.0,18.0,40.0,270.0,124.0,5.0,115.0,51.0,7.0,30.0,34.0,13.0,753.0,15.0,919.0,251.0
2677,0.0,55.0,37.0,1.0,23.0,46.0,9.0,4.0,27.0,2.0,174.0,45.0,30.0,29.0,51.0,14.0,53.0,167.0,12.0,5.0,25.0,688.0,106.0,48.0,160.0,95.0,3717.0,20.0,426.0,15.0
2726,2.0,7.0,1.0,5.0,1138.0,1643.0,0.0,32.0,8.0,4.0,81.0,83.0,12.0,13.0,6.0,9.0,65.0,215.0,20.0,44.0,114.0,171.0,10.0,1622.0,40.0,25.0,75.0,24.0,8928.0,31.0
2775,1.0,39.0,67.0,25.0,12.0,15.0,9.0,6.0,144.0,3.0,49.0,40.0,4.0,5.0,36.0,19.0,27.0,58.0,28.0,84.0,32.0,87.0,51.0,33.0,110.0,35.0,612.0,11.0,1123.0,302.0
2824,0.0,7.0,10.0,6.0,66.0,87.0,90.0,152.0,254.0,5.0,78.0,34.0,1.0,2.0,20.0,22.0,76.0,16.0,54.0,8.0,28.0,1095.0,18.0,100.0,55.0,13.0,77.0,43.0,29.0,1024.0
2873,6.0,5.0,3.0,0.0,132.0,520.0,13.0,16.0,317.0,2.0,44.0,77.0,38.0,37.0,28.0,34.0,69.0,24.0,11.0,25.0,126.0,1204.0,9.0,4.0,74.0,869.0,108.0,22.0,43.0,146.0
2922,0.0,15.0,19.0,10.0,32.0,37.0,3.0,16.0,8.0,2.0,33.0,29.0,17.0,18.0,98.0,22.0,114.0,30.0,35.0,64.0,122.0,316.0,181.0,46.0,1049.0,79.0,651.0,1085.0,669.0,7.0
2971,0.0,69.0,97.0,13.0,35.0,46.0,210.0,1.0,36.0,52.0,26.0,11.0,20.0,19.0,22.0,8.0,17.0,24.0,131.0,6.0,98.0,55.0,184.0,18.0,23.0,63.0,80.0,75.0,61.0,41.0
3020,1.0,8.0,13.0,9.0,24.0,47.0,27.0,0.0,7.0,10.0,5.0,3.0,40.0,39.0,20.0,12.0,63.0,11.0,25.0,55.0,35.0,169.0,14.0,15.0,2741.0,145.0,400.0,6.0,97.0,19.0
3069,6.0,0.0,16.0,7.0,4.0,5.0,24.0,1.0,33.0,2.0,13.0,14.0,43.0,42.0,65.0,3.0,28.0,52.0,113.0,56.0,29.0,64.0,313.0,137.0,9.0,135.0,187.0,90.0,38.0,12.0
3118,21.0,2.0,16.0,6.0,0.0,1.0,26.0,3.0,12.0,35.0,18.0,13.0,98.0,97.0,10.0,38.0,31.0,9.0,111.0,17.0,49.0,71.0,247.0,70.0,41.0,251.0,11.0,675.0,43.0,81.0
3167,1.0,4.0,13.0,0.0,24.0,11.0,52.0,7.0,34.0,26.0,9.0,53.0,42.0,43.0,5.0,6.0,17.0,8.0,91.0,76.0,116.0,60.0,32.0,45.0,16.0,562.0,56.0,265.0,41.0,79.0
3216,0.0,26.0,7.0,2.0,4.0,10.0,31.0,27.0,25.0,54.0,22.0,28.0,12.0,13.0,41.0,6.0,34.0,24.0,183.0,53.0,23.0,99.0,51.0,42.0,76.0,39.0,8.0,30.0,88.0,141.0
3265,0.0,5.0,7.0,11.0,1.0,3.0,86.0,2.0,226.0,6.0,26.0,18.0,38.0,39.0,21.0,19.0,12.0,14.0,74.0,40.0,434.0,36.0,243.0,312.0,24.0,98.0,151.0,13.0,27.0,29.0
3314,0.0,8.0,2.0,4.0,3.0,7.0,15.0,1.0,42.0,6.0,10.0,13.0,23.0,22.0,28.0,11.0,50.0,29.0,117.0,25.0,360.0,155.0,124.0,269.0,12.0,61.0,597.0,258.0,34.0,842.0
3363,1.0,0.0,12.0,8.0,2.0,7.0,133.0,13.0,43.0,6.0,5.0,20.0,55.0,54.0,21.0,31.0,40.0,53.0,563.0,19.0,49.0,70.0,198.0,27.0,29.0,309.0,57.0,50.0,28.0,11.0
3412,5.0,1.0,16.0,37.0,0.0,7.0,3.0,2.0,12.0,28.0,4.0,20.0,229.0,230.0,43.0,36.0,15.0,9.0,52.0,120.0,10.0,95.0,88.0,421.0,8.0,302.0,85.0,44.0,58.0,76.0
3461,1.0,2.0,0.0,11.0,6.0,17.0,12.0,52.0,16.0,9.0,19.0,22.0,4.0,5.0,26.0,240.0,32.0,3018.0,61.0,147.0,24.0,25.0,31.0,51.0,50.0,14.0,212.0,87.0,8.0,10.0
3510,4.0,1.0,3.0,7.0,67.0,235.0,0.0,13.0,30.0,6.0,14.0,73.0,38.0,37.0,9.0,68.0,29.0,1279.0,18.0,112.0,48.0,19.0,47.0,172.0,28.0,41.0,93.0,15.0,42.0,293.0
3559,0.0,14.0,6.0,35.0,65.0,186.0,2.0,25.0,8.0,4.0,11.0,50.0,16.0,15.0,9.0,89.0,268.0,1587.0,30.0,380.0,20.0,17.0,19.0,107.0,26.0,34.0,378.0,72.0,45.0,5.0
3608,1.0,4.0,6.0,0.0,18.0,50.0,2.0,105.0,7.0,5.0,38.0,24.0,14.0,15.0,23.0,67.0,39.0,15777.0,30.0,208.0,66.0,15575.0,12.0,62.0,128.0,41.0,236.0,33.0,45.0,16.0
3657,0.0,3.0,1.0,11.0,2.0,7.0,4.0,26.0,12.0,8.0,39.0,30.0,477.0,478.0,23.0,130.0,93.0,481.0,31.0,49.0,21.0,24.0,34.0,14.0,53.0,2431.0,90.0,326.0,40.0,36.0
3706,4.0,1.0,0.0,30.0,6.0,5.0,2.0,19.0,9.0,3.0,11.0,68.0,14.0,15.0,74.0,67.0,66.0,121.0,25.0,2012.0,12.0,22.0,61.0,99.0,17.0,40.0,76.0,24.0,23.0,757.0
3755,2.0,3.0,1.0,8.0,12.0,38.0,0.0,29.0,5.0,4.0,34.0,32.0,166.0,167.0,18.0,358.0,26.0,386.0,98.0,181.0,50.0,21.0,19.0,33.0,89.0,597.0,9.0,35.0,11.0,25.0
3804,2.0,1.0,11.0,10.0,13.0,29.0,0.0,51.0,14.0,9.0,26.0,42.0,37.0,38.0,25.0,615.0,150.0,576.0,198.0,89.0,40.0,27.0,31.0,5.0,33.0,84.0,101.0,28.0,44.0,113.0
3853,2.0,1.0,0.0,33.0,65.0,199.0,3.0,10.0,4.0,77.0,7.0,26.0,50.0,49.0,44.0,60.0,158.0,638.0,6.0,63.0,18.0,62.0,25.0,120.0,30.0,94.0,2462.0,24.0,36.0,67.0
3902,35.0,14.0,5.0,15.0,4.0,7.0,0.0,3.0,6.0,1.0,37.0,42.0,56.0,55.0,61.0,97.0,841.0,705.0,78.0,66.0,16.0,22.0,69.0,773.0,67.0,656.0,65.0,111.0,9.0,8.0
3951,1.0,56.0,0.0,2.0,12.0,9.0,3.0,45.0,13.0,73.0,28.0,18.0,5.0,6.0,21.0,16.0,7.0,100.0,20.0,41.0,401.0,357.0,10.0,8.0,19.0,11.0,48.0,43.0,135.0,40.0
4000,1.0,0.0,4.0,8.0,39.0,29.0,27.0,66.0,12.0,129.0,10.0,20.0,245.0,244.0,14.0,31.0,11.0,30.0,65.0,18.0,772.0,44.0,7.0,22.0,28.0,380.0,2.0,513.0,162.0,103.0
4049,0.0,3.0,1.0,2.0,8.0,4.0,40.0,9.0,82.0,128.0,23.0,28.0,12.0,13.0,100.0,22.0,10.0,11.0,19.0,32.0,108.0,35.0,67.0,37.0,15.0,16.0,6.0,149.0,43.0,71.0
4098,1.0,7.0,0.0,8.0,22.0,23.0,40.0,206.0,15.0,337.0,9.0,20.0,61.0,60.0,37.0,28.0,67.0,10.0,5.0,17.0,76.0,39.0,16.0,18.0,212.0,74.0,25.0,270.0,111.0,4.0
4147,0.0,1.0,12.0,10.0,4.0,2.0,8.0,124.0,9.0,92.0,16.0,43.0,88.0,87.0,34.0,69.0,11.0,37.0,18.0,29.0,130.0,48.0,17.0,14.0,19.0,104.0,5.0,442.0,159.0,200.0
4196,0.0,4.0,3.0,10.0,9.0,8.0,30.0,1.0,98.0,3123.0,12.0,26.0,22.0,23.0,20.0,51.0,41.0,15.0,19.0,16.0,47.0,18.0,14.0,31.0,29.0,39.0,5.0,224.0,52.0,3125.0
4245,1.0,4.0,0.0,12.0,3.0,2.0,5.0,43.0,7.0,181.0,9.0,22.0,32.0,33.0,13.0,23.0,36.0,6.0,24.0,51.0,249.0,10.0,66.0,42.0,29.0,48.0,15.0,18593.0,87.0,8189.0
4294,0.0,3.0,2.0,5.0,21.0,8.0,9.0,10.0,11.0,260.0,4.0,49.0,18.0,19.0,12.0,20.0,14.0,67.0,17.0,37.0,68.0,52.0,22.0,46.0,25.0,56.0,36.0,256.0,51.0,15.0
4343,0.0,16.0,28.0,13.0,14.0,7.0,43.0,37.0,26.0,370.0,23.0,79.0,826.0,825.0,17.0,59.0,30.0,11.0,3.0,34.0,136.0,6.0,33.0,78.0,15.0,494.0,2.0,74.0,8969.0,64.0
4392,1.0,2.0,3.0,0.0,23.0,14.0,332.0,485.0,72.0,2166.0,20.0,61.0,28.0,27.0,37.0,7.0,10.0,58.0,21.0,130.0,52.0,38.0,57.0,69.0,6.0,44.0,9.0,324.0,46.0,508.0
4441,0.0,250.0,6.0,7.0,41.0,65.0,12.0,26.0,29.0,32.0,87.0,18.0,1.0,2.0,14.0,48.0,3.0,178.0,44.0,89.0,66.0,42.0,35.0,9.0,16.0,5.0,13.0,30.0,527.0,67.0
4490,3.0,4.0,19.0,37.0,14.0,23.0,13.0,371.0,27.0,20.0,7.0,8.0,0.0,1.0,166.0,9.0,10.0,74.0,31.0,25.0,16.0,29.0,45.0,30.0,11.0,2.0,112.0,21.0,34.0,70.0
4539,1.0,0.0,184.0,5.0,16.0,38.0,6.0,10.0,27.0,53.0,18.0,14.0,7.0,8.0,19.0,137.0,2.0,17.0,12.0,37.0,22.0,47.0,131.0,9.0,54.0,23.0,42.0,303.0,43.0,26.0
4588,0.0,610.0,50.0,53.0,5.0,10.0,3.0,15.0,35.0,22.0,63.0,18.0,7.0,6.0,41.0,45.0,11.0,247.0,81.0,200.0,33.0,9.0,222.0,4.0,29.0,16.0,19.0,64.0,536.0,25.0
4637,0.0,224.0,4.0,17.0,10729.0,7902.0,2.0,189.0,5.0,716.0,12.0,16.0,36.0,35.0,6.0,131.0,22.0,33.0,38.0,7.0,74.0,28.0,15.0,91.0,10.0,39.0,48.0,133.0,1083.0,23.0
4686,5.0,46.0,18.0,1.0,107.0,156.0,25.0,13.0,115.0,12.0,74.0,9.0,3.0,2.0,16.0,15.0,8.0,534.0,77.0,51.0,848.0,291.0,50.0,0.0,224.0,20.0,212.0,54.0,17.0,7.0
4735,0.0,9.0,5.0,4.0,53.0,70.0,43.0,23.0,32.0,11.0,28.0,10.0,1.0,2.0,7.0,50.0,42.0,203.0,33.0,15.0,24.0,72.0,27.0,6.0,71.0,8.0,31.0,48.0,201.0,62.0
4784,0.0,10.0,7.0,11.0,6.0,8.0,1.0,575.0,4.0,35.0,13.0,19.0,2.0,3.0,20.0,112.0,12.0,129.0,58.0,72.0,25.0,53.0,50.0,26.0,41.0,9.0,14.0,31.0,69.0,17.0
4833,3.0,42.0,49.0,127.0,11.0,16.0,8.0,254.0,22.0,249.0,20.0,6.0,2.0,1.0,12.0,19.0,68.0,33.0,103.0,9.0,47.0,15.0,31.0,0.0,30.0,13.0,61.0,145.0,3216.0,5.0
4882,0.0,31.0,1.0,11.0,919.0,382.0,6.0,25.0,9.0,14.0,7.0,17.0,3.0,2.0,18.0,35.0,10.0,118.0,32.0,774.0,13.0,12.0,34.0,4.0,66.0,5.0,125.0,79.0,85.0,8.0
