,RAD51,EGFR,4E-BP1,PKC-delta_pS664,Bap1 c-4,HER2,Chk2,C-Raf_pS338,P-Cadherin,Smac,Cyclin_D1,Notch1,FoxM1,Shc_pY317,VHL,MEK1_pS217_S221,Bcl-2,Rb_pS807_S811,RSK1-2-3,p38_pT180_Y182,p70S6K_pT389,CD31,XBP1,Annexin 1,TAZ,beta Actin,Transglutaminase,alpha-Catenin,MYH11,HER2_pY1248
1324,0.0,2.0,40.0,82.0,7.0,26.0,33.0,11.0,12.0,5.0,4.0,64.0,6.0,19.0,28.0,13.0,9.0,10.0,41.0,79.0,31.0,21.0,15.0,27.0,67.0,76.0,3.0,96.0,34.0,46.0
1373,0.0,1.0,12.0,6.0,9.0,19.0,16.0,52.0,20.0,17.0,5.0,14.0,18.0,10.0,8.0,2.0,30.0,11.0,138.0,40.0,34.0,22.0,4.0,27.0,37.0,63.0,7.0,39.0,38.0,50.0
1422,0.0,1.0,23.0,8.0,12.0,10.0,17.0,14.0,37.0,39.0,2.0,41.0,47.0,6.0,4.0,7.0,11.0,28.0,90.0,29.0,19.0,3.0,35.0,79.0,16.0,119.0,9.0,56.0,26.0,24.0
1471,2.0,20.0,5.0,0.0,16.0,33.0,7.0,12.0,4.0,6.0,32.0,24.0,37.0,18.0,13.0,8.0,38.0,14.0,53.0,1.0,23.0,47.0,36.0,83.0,10.0,3.0,76.0,9.0,46.0,34.0
1520,1.0,5.0,2.0,15.0,7.0,31.0,22.0,13.0,4.0,9.0,0.0,11.0,26.0,24.0,19.0,6.0,29.0,12.0,64.0,8.0,27.0,25.0,16.0,35.0,59.0,3.0,45.0,32.0,23.0,41.0
1569,0.0,8.0,9.0,6.0,17.0,18.0,37.0,40.0,5.0,3.0,1.0,11.0,34.0,25.0,31.0,4.0,16.0,13.0,74.0,10.0,24.0,12.0,2.0,28.0,14.0,7.0,20.0,39.0,93.0,48.0
1618,1.0,0.0,11.0,3.0,6.0,67.0,33.0,5.0,8.0,7.0,2.0,14.0,38.0,26.0,15.0,17.0,16.0,27.0,74.0,10.0,36.0,25.0,4.0,37.0,71.0,47.0,85.0,42.0,49.0,57.0
1667,3.0,0.0,1.0,2.0,15.0,41.0,31.0,9.0,22.0,14.0,27.0,4.0,51.0,20.0,13.0,25.0,12.0,7.0,52.0,40.0,6.0,24.0,5.0,8.0,21.0,10.0,17.0,42.0,32.0,82.0
1716,0.0,4.0,7.0,5.0,2.0,9.0,37.0,22.0,26.0,8.0,1.0,13.0,24.0,15.0,21.0,45.0,20.0,28.0,30.0,3.0,14.0,11.0,18.0,43.0,36.0,6.0,101.0,52.0,39.0,17.0
1765,0.0,2.0,5.0,1.0,4.0,51.0,16.0,44.0,3.0,8.0,6.0,15.0,18.0,13.0,14.0,10.0,27.0,11.0,58.0,9.0,12.0,28.0,7.0,32.0,19.0,47.0,72.0,45.0,26.0,73.0
1814,0.0,3.0,11.0,1.0,12.0,67.0,10.0,18.0,2.0,5.0,6.0,13.0,23.0,17.0,33.0,16.0,38.0,9.0,73.0,29.0,8.0,14.0,4.0,15.0,24.0,21.0,78.0,20.0,53.0,66.0
1863,1.0,14.0,22.0,4.0,13.0,28.0,20.0,42.0,3.0,2.0,0.0,7.0,37.0,21.0,29.0,8.0,12.0,10.0,31.0,6.0,16.0,34.0,15.0,17.0,35.0,5.0,64.0,24.0,11.0,71.0
1912,6.0,3.0,18.0,8.0,4.0,69.0,14.0,64.0,12.0,7.0,1.0,9.0,37.0,45.0,34.0,0.0,59.0,5.0,20.0,2.0,10.0,21.0,11.0,15.0,93.0,52.0,26.0,30.0,28.0,79.0
1961,1.0,2.0,0.0,8.0,15.0,10.0,5.0,11.0,4.0,7.0,31.0,9.0,45.0,18.0,3.0,51.0,30.0,34.0,12.0,33.0,14.0,48.0,68.0,17.0,29.0,40.0,28.0,20.0,35.0,19.0
2010,2.0,10.0,0.0,4.0,7.0,16.0,12.0,11.0,9.0,35.0,26.0,1.0,8.0,29.0,5.0,32.0,28.0,6.0,19.0,15.0,20.0,49.0,18.0,71.0,52.0,23.0,31.0,39.0,50.0,43.0
2059,1.0,3.0,0.0,4.0,14.0,41.0,30.0,12.0,18.0,33.0,35.0,9.0,26.0,22.0,19.0,29.0,7.0,6.0,2.0,5.0,17.0,28.0,36.0,32.0,31.0,45.0,37.0,24.0,81.0,42.0
2108,1.0,3.0,0.0,2.0,13.0,14.0,34.0,17.0,18.0,29.0,10.0,7.0,38.0,60.0,12.0,24.0,19.0,6.0,8.0,4.0,16.0,81.0,20.0,22.0,68.0,15.0,5.0,11.0,96.0,47.0
2157,15.0,1.0,0.0,19.0,7.0,12.0,28.0,13.0,17.0,2.0,32.0,9.0,14.0,34.0,27.0,5.0,16.0,6.0,4.0,8.0,11.0,66.0,31.0,23.0,37.0,30.0,24.0,20.0,41.0,21.0
2206,2.0,5.0,0.0,3.0,9.0,8.0,20.0,12.0,35.0,27.0,15.0,10.0,33.0,23.0,6.0,1.0,14.0,7.0,4.0,42.0,39.0,49.0,53.0,36.0,46.0,40.0,13.0,28.0,59.0,45.0
2255,3.0,8.0,5.0,14.0,19.0,6.0,4.0,28.0,7.0,1.0,46.0,11.0,22.0,23.0,42.0,2.0,9.0,26.0,0.0,47.0,13.0,44.0,32.0,63.0,69.0,15.0,10.0,31.0,35.0,18.0
2304,9.0,34.0,2.0,19.0,28.0,16.0,21.0,20.0,13.0,15.0,6.0,4.0,1.0,14.0,46.0,42.0,10.0,49.0,12.0,3.0,27.0,45.0,38.0,7.0,97.0,25.0,33.0,22.0,23.0,0.0
2353,12.0,8.0,0.0,3.0,7.0,20.0,37.0,21.0,27.0,24.0,32.0,16.0,15.0,11.0,23.0,1.0,2.0,5.0,19.0,9.0,6.0,43.0,14.0,28.0,65.0,10.0,44.0,40.0,74.0,51.0
2402,7.0,32.0,1.0,5.0,17.0,0.0,44.0,4.0,18.0,14.0,100.0,15.0,22.0,27.0,39.0,33.0,36.0,6.0,8.0,35.0,47.0,42.0,65.0,68.0,75.0,16.0,50.0,9.0,52.0,30.0
2451,0.0,7.0,41.0,15.0,11.0,5.0,10.0,2.0,32.0,8.0,26.0,30.0,1.0,34.0,39.0,21.0,25.0,37.0,12.0,84.0,16.0,57.0,14.0,20.0,24.0,22.0,6.0,13.0,51.0,18.0
2500,1.0,0.0,5.0,2.0,4.0,12.0,14.0,3.0,68.0,15.0,42.0,17.0,27.0,7.0,18.0,39.0,33.0,53.0,8.0,46.0,24.0,11.0,19.0,32.0,20.0,47.0,6.0,25.0,29.0,45.0
2549,1.0,8.0,17.0,0.0,15.0,20.0,10.0,3.0,12.0,30.0,37.0,54.0,4.0,13.0,27.0,21.0,49.0,26.0,33.0,53.0,5.0,16.0,24.0,7.0,25.0,78.0,52.0,2.0,63.0,47.0
2598,2.0,1.0,3.0,8.0,23.0,11.0,33.0,0.0,35.0,36.0,48.0,46.0,6.0,27.0,18.0,75.0,10.0,19.0,7.0,50.0,5.0,16.0,9.0,55.0,29.0,14.0,61.0,25.0,24.0,12.0
2647,3.0,0.0,10.0,1.0,5.0,4.0,11.0,29.0,17.0,8.0,12.0,16.0,9.0,19.0,26.0,47.0,44.0,28.0,30.0,21.0,2.0,37.0,14.0,25.0,31.0,22.0,13.0,6.0,41.0,20.0
2696,0.0,2.0,4.0,3.0,10.0,9.0,14.0,7.0,17.0,6.0,42.0,24.0,21.0,16.0,20.0,59.0,36.0,28.0,1.0,75.0,15.0,13.0,11.0,18.0,25.0,5.0,29.0,8.0,58.0,26.0
2745,0.0,2.0,1.0,11.0,15.0,3.0,54.0,5.0,50.0,43.0,10.0,78.0,7.0,19.0,22.0,51.0,28.0,31.0,6.0,24.0,4.0,16.0,25.0,13.0,8.0,30.0,29.0,49.0,57.0,23.0
2794,0.0,2.0,3.0,1.0,28.0,8.0,7.0,13.0,45.0,5.0,58.0,33.0,19.0,32.0,26.0,38.0,34.0,52.0,6.0,59.0,4.0,16.0,14.0,42.0,21.0,10.0,15.0,11.0,49.0,44.0
2843,0.0,1.0,2.0,4.0,5.0,21.0,3.0,8.0,50.0,28.0,32.0,54.0,20.0,27.0,16.0,75.0,91.0,45.0,9.0,42.0,14.0,13.0,26.0,52.0,22.0,6.0,7.0,24.0,25.0,59.0
2892,1.0,0.0,19.0,6.0,9.0,77.0,3.0,5.0,10.0,4.0,21.0,83.0,13.0,14.0,62.0,39.0,16.0,28.0,8.0,35.0,33.0,12.0,30.0,53.0,25.0,18.0,11.0,26.0,23.0,60.0
2941,1.0,3.0,27.0,4.0,5.0,6.0,29.0,0.0,7.0,2.0,11.0,39.0,24.0,34.0,38.0,46.0,17.0,8.0,10.0,18.0,19.0,15.0,47.0,16.0,31.0,20.0,26.0,53.0,54.0,12.0
2990,1.0,0.0,21.0,2.0,9.0,7.0,6.0,4.0,8.0,3.0,15.0,13.0,17.0,10.0,19.0,44.0,37.0,20.0,27.0,45.0,12.0,40.0,32.0,66.0,49.0,16.0,35.0,67.0,24.0,38.0
3039,0.0,10.0,4.0,6.0,26.0,16.0,11.0,8.0,1.0,2.0,19.0,15.0,21.0,5.0,24.0,31.0,23.0,17.0,27.0,25.0,7.0,12.0,46.0,54.0,50.0,13.0,3.0,32.0,38.0,35.0
3088,0.0,1.0,8.0,2.0,11.0,7.0,13.0,6.0,27.0,9.0,4.0,10.0,12.0,24.0,20.0,18.0,5.0,29.0,3.0,21.0,15.0,23.0,28.0,96.0,16.0,22.0,35.0,78.0,50.0,33.0
3137,0.0,8.0,10.0,2.0,5.0,6.0,24.0,3.0,13.0,4.0,1.0,25.0,20.0,7.0,48.0,14.0,37.0,49.0,9.0,27.0,22.0,17.0,35.0,51.0,34.0,16.0,15.0,40.0,46.0,30.0
3186,1.0,0.0,2.0,9.0,8.0,28.0,16.0,4.0,6.0,5.0,3.0,29.0,12.0,24.0,25.0,20.0,7.0,15.0,11.0,37.0,17.0,14.0,50.0,49.0,36.0,13.0,31.0,69.0,26.0,35.0
3235,20.0,5.0,17.0,2.0,7.0,38.0,8.0,1.0,19.0,0.0,4.0,6.0,28.0,34.0,33.0,14.0,24.0,18.0,21.0,43.0,23.0,11.0,56.0,15.0,58.0,3.0,62.0,71.0,32.0,27.0
3284,3.0,2.0,10.0,0.0,11.0,12.0,28.0,1.0,5.0,6.0,4.0,38.0,17.0,14.0,7.0,20.0,29.0,35.0,13.0,19.0,26.0,23.0,94.0,97.0,60.0,8.0,32.0,83.0,54.0,30.0
3333,3.0,0.0,6.0,20.0,4.0,1.0,8.0,18.0,16.0,12.0,2.0,46.0,17.0,24.0,44.0,31.0,19.0,41.0,5.0,10.0,33.0,25.0,57.0,47.0,52.0,51.0,62.0,58.0,11.0,9.0
3382,6.0,11.0,3.0,21.0,0.0,9.0,25.0,15.0,20.0,1.0,17.0,23.0,78.0,2.0,5.0,35.0,26.0,49.0,37.0,41.0,54.0,13.0,10.0,18.0,29.0,31.0,12.0,110.0,8.0,32.0
3431,0.0,9.0,2.0,6.0,5.0,3.0,29.0,23.0,13.0,28.0,46.0,56.0,20.0,15.0,24.0,11.0,79.0,90.0,39.0,33.0,21.0,62.0,17.0,16.0,68.0,45.0,64.0,25.0,12.0,1.0
3480,2.0,1.0,0.0,5.0,14.0,3.0,58.0,36.0,11.0,37.0,31.0,32.0,21.0,23.0,19.0,4.0,22.0,46.0,70.0,12.0,18.0,41.0,16.0,49.0,69.0,30.0,9.0,20.0,29.0,8.0
3529,1.0,3.0,2.0,0.0,20.0,8.0,26.0,14.0,4.0,16.0,41.0,66.0,6.0,36.0,45.0,10.0,38.0,51.0,35.0,18.0,28.0,22.0,7.0,11.0,15.0,43.0,24.0,21.0,44.0,5.0
3578,0.0,6.0,5.0,1.0,9.0,2.0,22.0,41.0,4.0,49.0,35.0,50.0,15.0,24.0,17.0,10.0,56.0,55.0,83.0,27.0,14.0,19.0,3.0,51.0,40.0,13.0,18.0,26.0,20.0,11.0
3627,0.0,1.0,2.0,7.0,5.0,9.0,18.0,41.0,6.0,11.0,70.0,63.0,8.0,25.0,42.0,26.0,38.0,32.0,60.0,24.0,21.0,10.0,28.0,56.0,15.0,73.0,20.0,46.0,3.0,14.0
3676,0.0,7.0,1.0,4.0,33.0,6.0,17.0,30.0,2.0,8.0,45.0,62.0,3.0,22.0,46.0,10.0,47.0,36.0,51.0,20.0,29.0,14.0,19.0,31.0,16.0,49.0,12.0,11.0,23.0,9.0
3725,0.0,10.0,1.0,5.0,16.0,2.0,27.0,20.0,4.0,36.0,50.0,72.0,6.0,18.0,22.0,47.0,46.0,43.0,69.0,7.0,11.0,13.0,12.0,8.0,37.0,21.0,17.0,9.0,31.0,3.0
3774,0.0,3.0,2.0,1.0,9.0,4.0,55.0,48.0,7.0,17.0,77.0,39.0,6.0,19.0,88.0,5.0,27.0,33.0,84.0,65.0,34.0,8.0,15.0,40.0,21.0,82.0,13.0,37.0,16.0,10.0
3823,3.0,11.0,1.0,20.0,2.0,0.0,16.0,14.0,8.0,19.0,73.0,58.0,5.0,21.0,52.0,28.0,56.0,35.0,36.0,48.0,54.0,44.0,6.0,61.0,17.0,57.0,7.0,43.0,26.0,15.0
3872,16.0,9.0,3.0,7.0,0.0,1.0,30.0,32.0,4.0,46.0,29.0,21.0,6.0,35.0,11.0,13.0,41.0,17.0,73.0,5.0,63.0,23.0,2.0,20.0,83.0,93.0,18.0,67.0,19.0,10.0
3921,1.0,16.0,13.0,9.0,4.0,11.0,0.0,6.0,24.0,20.0,5.0,2.0,7.0,10.0,15.0,23.0,58.0,33.0,12.0,26.0,53.0,36.0,8.0,39.0,29.0,17.0,44.0,72.0,3.0,46.0
3970,8.0,50.0,10.0,24.0,2.0,3.0,0.0,21.0,6.0,48.0,19.0,4.0,9.0,29.0,34.0,11.0,59.0,55.0,1.0,14.0,31.0,42.0,12.0,28.0,81.0,26.0,40.0,63.0,16.0,13.0
4019,6.0,17.0,4.0,5.0,2.0,8.0,1.0,7.0,14.0,13.0,11.0,9.0,18.0,40.0,30.0,22.0,62.0,10.0,3.0,19.0,20.0,61.0,31.0,15.0,44.0,0.0,43.0,67.0,24.0,38.0
4068,2.0,35.0,0.0,7.0,5.0,6.0,3.0,13.0,4.0,37.0,28.0,14.0,1.0,12.0,16.0,15.0,32.0,29.0,19.0,21.0,26.0,23.0,25.0,8.0,44.0,45.0,40.0,81.0,17.0,47.0
4117,5.0,37.0,2.0,11.0,8.0,7.0,10.0,16.0,19.0,34.0,28.0,21.0,9.0,29.0,36.0,26.0,24.0,3.0,0.0,1.0,20.0,33.0,17.0,12.0,25.0,6.0,48.0,14.0,22.0,38.0
4166,0.0,5.0,15.0,1.0,2.0,4.0,7.0,23.0,3.0,42.0,19.0,10.0,12.0,26.0,11.0,45.0,85.0,39.0,9.0,16.0,17.0,31.0,6.0,40.0,24.0,8.0,22.0,66.0,44.0,28.0
4215,10.0,12.0,7.0,16.0,22.0,1.0,8.0,23.0,3.0,9.0,4.0,14.0,5.0,41.0,33.0,15.0,45.0,29.0,18.0,20.0,19.0,25.0,24.0,0.0,27.0,2.0,21.0,66.0,13.0,53.0
4264,8.0,25.0,5.0,9.0,1.0,6.0,13.0,20.0,12.0,14.0,19.0,30.0,3.0,39.0,34.0,37.0,66.0,17.0,0.0,7.0,24.0,28.0,16.0,11.0,27.0,2.0,48.0,53.0,23.0,49.0
4313,2.0,21.0,13.0,12.0,11.0,16.0,4.0,15.0,17.0,6.0,0.0,5.0,9.0,26.0,52.0,29.0,20.0,32.0,1.0,7.0,34.0,10.0,30.0,3.0,27.0,18.0,31.0,73.0,14.0,35.0
4362,0.0,24.0,7.0,15.0,11.0,4.0,1.0,3.0,2.0,17.0,28.0,37.0,13.0,9.0,20.0,46.0,60.0,57.0,30.0,6.0,27.0,29.0,36.0,14.0,45.0,10.0,26.0,54.0,8.0,33.0
4411,12.0,3.0,0.0,5.0,28.0,9.0,2.0,22.0,23.0,16.0,95.0,10.0,11.0,21.0,24.0,20.0,8.0,4.0,6.0,33.0,49.0,42.0,64.0,25.0,27.0,32.0,51.0,1.0,61.0,13.0
4460,9.0,0.0,4.0,1.0,8.0,6.0,2.0,30.0,32.0,10.0,130.0,25.0,3.0,5.0,7.0,45.0,24.0,28.0,13.0,43.0,44.0,37.0,71.0,12.0,17.0,76.0,40.0,41.0,47.0,20.0
4509,2.0,9.0,5.0,22.0,59.0,29.0,3.0,0.0,46.0,7.0,43.0,13.0,35.0,4.0,15.0,33.0,10.0,38.0,8.0,40.0,44.0,16.0,45.0,14.0,1.0,11.0,70.0,80.0,47.0,52.0
4558,4.0,2.0,0.0,13.0,6.0,37.0,5.0,3.0,42.0,11.0,65.0,10.0,34.0,17.0,7.0,51.0,9.0,24.0,19.0,45.0,32.0,16.0,64.0,1.0,12.0,31.0,41.0,93.0,57.0,26.0
4607,6.0,8.0,0.0,2.0,15.0,5.0,1.0,9.0,26.0,33.0,116.0,36.0,42.0,7.0,12.0,84.0,14.0,10.0,3.0,24.0,49.0,31.0,53.0,19.0,11.0,45.0,38.0,21.0,64.0,18.0
4656,28.0,9.0,1.0,26.0,7.0,6.0,2.0,0.0,45.0,13.0,96.0,17.0,3.0,10.0,24.0,62.0,34.0,18.0,4.0,50.0,52.0,33.0,81.0,23.0,31.0,57.0,11.0,19.0,21.0,14.0
4705,0.0,3.0,1.0,10.0,13.0,14.0,4.0,15.0,71.0,34.0,76.0,2.0,27.0,12.0,6.0,36.0,8.0,19.0,5.0,48.0,32.0,33.0,65.0,30.0,26.0,135.0,28.0,25.0,89.0,18.0
4754,6.0,0.0,2.0,25.0,8.0,37.0,12.0,3.0,28.0,20.0,22.0,11.0,108.0,5.0,19.0,44.0,10.0,35.0,16.0,40.0,83.0,27.0,90.0,9.0,4.0,73.0,15.0,51.0,33.0,49.0
4803,4.0,7.0,3.0,14.0,8.0,6.0,2.0,9.0,25.0,33.0,78.0,15.0,16.0,1.0,17.0,39.0,10.0,23.0,44.0,20.0,58.0,57.0,49.0,0.0,34.0,135.0,93.0,32.0,11.0,5.0
4852,0.0,3.0,4.0,17.0,28.0,2.0,1.0,16.0,41.0,15.0,130.0,5.0,31.0,25.0,11.0,34.0,58.0,30.0,32.0,7.0,56.0,19.0,49.0,22.0,14.0,115.0,27.0,9.0,26.0,10.0
