,1-methylnicotinamide,C16:0 LPE,C36:1 DAG,C34:2 DAG,pantothenate,C22:6 CE,hypoxanthine,alpha-glycerophosphocholine,guanosine,C22:6 LPE,creatine,2-deoxyadenosine,carnitine,niacinamide,C18:0 LPE,GABA,cytidine,2-deoxycytidine,adenosine,NADP,C18:0 LPC,inosine,N-carbamoyl-beta-alanine,beta-alanine,UMP,C34:4 PC,butyrylcarnitine/isobutyrylcarnitine,3-phosphoglycerate,DHAP/glyceraldehyde 3P,inositol
515,0.0,2.0,3.0,6.0,8.0,1.0,4.0,29.0,13.0,26.0,42.0,28.0,5.0,10.0,65.0,37.0,16.0,20.0,7.0,58.0,33.0,17.0,31.0,41.0,35.0,18.0,47.0,19.0,23.0,57.0
564,6.0,11.0,1.0,3.0,5.0,0.0,8.0,20.0,52.0,16.0,4.0,14.0,7.0,15.0,17.0,30.0,19.0,60.0,22.0,2.0,31.0,33.0,10.0,13.0,58.0,24.0,50.0,34.0,9.0,39.0
613,4.0,6.0,9.0,3.0,7.0,0.0,2.0,14.0,21.0,23.0,1.0,13.0,15.0,8.0,29.0,55.0,10.0,25.0,17.0,60.0,22.0,26.0,31.0,46.0,53.0,18.0,42.0,57.0,5.0,19.0
662,0.0,13.0,5.0,8.0,9.0,3.0,4.0,58.0,24.0,2.0,11.0,47.0,6.0,1.0,22.0,23.0,38.0,12.0,10.0,19.0,7.0,46.0,32.0,36.0,53.0,28.0,30.0,50.0,14.0,16.0
711,1.0,2.0,4.0,5.0,7.0,0.0,3.0,11.0,23.0,6.0,8.0,15.0,18.0,9.0,16.0,49.0,22.0,33.0,19.0,24.0,44.0,17.0,26.0,41.0,12.0,10.0,35.0,54.0,43.0,64.0
760,1.0,9.0,3.0,0.0,4.0,14.0,2.0,11.0,46.0,10.0,6.0,24.0,7.0,5.0,36.0,31.0,23.0,41.0,20.0,45.0,30.0,12.0,15.0,17.0,60.0,59.0,29.0,61.0,42.0,21.0
809,1.0,4.0,2.0,7.0,5.0,0.0,9.0,10.0,12.0,6.0,13.0,8.0,3.0,16.0,28.0,48.0,15.0,11.0,20.0,18.0,24.0,63.0,56.0,25.0,22.0,14.0,41.0,35.0,27.0,17.0
858,0.0,5.0,4.0,3.0,1.0,2.0,9.0,18.0,10.0,23.0,20.0,29.0,12.0,6.0,37.0,56.0,16.0,7.0,8.0,35.0,17.0,27.0,51.0,38.0,47.0,22.0,42.0,24.0,19.0,54.0
907,3.0,6.0,0.0,5.0,8.0,2.0,4.0,38.0,13.0,10.0,9.0,11.0,16.0,1.0,55.0,58.0,19.0,22.0,59.0,34.0,37.0,15.0,27.0,18.0,42.0,51.0,26.0,33.0,17.0,24.0
956,0.0,12.0,1.0,4.0,2.0,5.0,9.0,31.0,13.0,17.0,15.0,8.0,3.0,7.0,11.0,23.0,16.0,44.0,61.0,45.0,34.0,6.0,50.0,48.0,49.0,52.0,18.0,42.0,14.0,55.0
1005,1.0,3.0,4.0,7.0,0.0,2.0,5.0,15.0,38.0,14.0,32.0,19.0,12.0,29.0,25.0,13.0,30.0,37.0,10.0,22.0,17.0,6.0,47.0,26.0,54.0,63.0,8.0,20.0,23.0,57.0
1054,6.0,5.0,1.0,48.0,4.0,0.0,3.0,2.0,7.0,20.0,38.0,15.0,52.0,64.0,14.0,45.0,10.0,22.0,31.0,11.0,33.0,32.0,50.0,25.0,8.0,29.0,18.0,13.0,37.0,54.0
1103,0.0,25.0,2.0,6.0,9.0,1.0,3.0,5.0,22.0,11.0,13.0,16.0,24.0,40.0,21.0,4.0,8.0,44.0,55.0,36.0,10.0,27.0,14.0,29.0,32.0,46.0,18.0,28.0,19.0,52.0
1152,0.0,3.0,1.0,4.0,6.0,5.0,2.0,22.0,7.0,14.0,24.0,8.0,12.0,25.0,45.0,28.0,11.0,16.0,18.0,20.0,23.0,13.0,35.0,47.0,26.0,10.0,9.0,15.0,54.0,31.0
1201,3.0,9.0,0.0,1.0,10.0,5.0,2.0,4.0,55.0,16.0,14.0,12.0,11.0,63.0,22.0,23.0,6.0,20.0,13.0,54.0,18.0,30.0,37.0,47.0,36.0,19.0,8.0,7.0,15.0,27.0
1250,14.0,2.0,1.0,3.0,9.0,7.0,0.0,6.0,34.0,36.0,46.0,15.0,8.0,60.0,10.0,4.0,11.0,24.0,18.0,19.0,22.0,5.0,20.0,16.0,43.0,23.0,49.0,27.0,61.0,29.0
1299,1.0,14.0,0.0,10.0,5.0,3.0,13.0,2.0,11.0,25.0,6.0,19.0,9.0,60.0,30.0,37.0,8.0,47.0,4.0,51.0,38.0,12.0,24.0,48.0,18.0,56.0,36.0,35.0,34.0,32.0
1348,2.0,11.0,0.0,3.0,1.0,5.0,4.0,19.0,21.0,33.0,45.0,22.0,9.0,49.0,12.0,26.0,7.0,15.0,36.0,14.0,13.0,8.0,23.0,42.0,35.0,32.0,30.0,6.0,57.0,46.0
1397,13.0,7.0,0.0,26.0,2.0,3.0,6.0,1.0,15.0,19.0,28.0,21.0,10.0,17.0,12.0,18.0,4.0,31.0,8.0,22.0,33.0,11.0,25.0,40.0,14.0,20.0,36.0,9.0,24.0,51.0
1446,0.0,4.0,1.0,2.0,7.0,5.0,3.0,28.0,15.0,19.0,12.0,21.0,20.0,9.0,13.0,23.0,34.0,38.0,26.0,35.0,37.0,46.0,49.0,18.0,22.0,6.0,40.0,10.0,8.0,56.0
1495,0.0,1.0,4.0,6.0,3.0,5.0,2.0,11.0,19.0,15.0,9.0,24.0,39.0,25.0,20.0,26.0,35.0,12.0,13.0,48.0,17.0,42.0,31.0,27.0,23.0,22.0,30.0,28.0,60.0,44.0
1544,0.0,4.0,3.0,2.0,1.0,9.0,12.0,45.0,10.0,14.0,34.0,5.0,56.0,39.0,6.0,20.0,24.0,37.0,13.0,42.0,17.0,32.0,33.0,30.0,7.0,49.0,47.0,26.0,40.0,65.0
1593,0.0,21.0,5.0,22.0,3.0,11.0,1.0,20.0,29.0,9.0,16.0,7.0,8.0,10.0,12.0,18.0,38.0,2.0,6.0,17.0,55.0,58.0,23.0,27.0,28.0,47.0,4.0,19.0,64.0,32.0
1642,0.0,2.0,1.0,7.0,4.0,10.0,5.0,15.0,12.0,14.0,8.0,18.0,22.0,30.0,3.0,11.0,33.0,26.0,34.0,29.0,13.0,42.0,55.0,20.0,9.0,44.0,16.0,21.0,19.0,40.0
1691,0.0,4.0,8.0,2.0,1.0,7.0,22.0,13.0,17.0,34.0,51.0,15.0,24.0,14.0,3.0,5.0,11.0,23.0,9.0,36.0,19.0,37.0,25.0,16.0,21.0,29.0,6.0,32.0,52.0,59.0
1740,0.0,7.0,3.0,1.0,2.0,31.0,13.0,4.0,29.0,20.0,38.0,6.0,33.0,11.0,5.0,40.0,55.0,17.0,12.0,19.0,18.0,16.0,35.0,34.0,15.0,53.0,9.0,8.0,50.0,28.0
1789,0.0,9.0,2.0,17.0,3.0,6.0,4.0,25.0,12.0,8.0,5.0,7.0,27.0,23.0,1.0,18.0,19.0,14.0,45.0,32.0,24.0,49.0,38.0,39.0,10.0,22.0,53.0,11.0,42.0,59.0
1838,0.0,15.0,1.0,4.0,5.0,8.0,6.0,2.0,10.0,9.0,17.0,7.0,33.0,24.0,3.0,44.0,42.0,38.0,20.0,62.0,22.0,51.0,54.0,19.0,23.0,30.0,13.0,16.0,25.0,56.0
1887,1.0,5.0,7.0,6.0,3.0,23.0,10.0,2.0,13.0,20.0,14.0,12.0,4.0,62.0,8.0,50.0,22.0,34.0,0.0,25.0,9.0,30.0,59.0,21.0,18.0,19.0,16.0,63.0,11.0,17.0
1936,0.0,5.0,2.0,4.0,1.0,7.0,3.0,19.0,31.0,16.0,18.0,6.0,35.0,9.0,25.0,14.0,27.0,29.0,8.0,38.0,37.0,26.0,39.0,10.0,15.0,23.0,11.0,13.0,36.0,64.0
1985,4.0,12.0,0.0,2.0,1.0,3.0,23.0,9.0,5.0,29.0,14.0,32.0,50.0,35.0,6.0,44.0,48.0,28.0,19.0,37.0,53.0,49.0,17.0,55.0,16.0,27.0,31.0,8.0,40.0,21.0
2034,3.0,4.0,0.0,1.0,5.0,13.0,12.0,2.0,19.0,10.0,9.0,25.0,31.0,16.0,22.0,20.0,14.0,39.0,6.0,23.0,17.0,41.0,11.0,28.0,55.0,44.0,27.0,15.0,7.0,29.0
2083,0.0,3.0,2.0,1.0,10.0,4.0,8.0,51.0,25.0,5.0,38.0,50.0,11.0,20.0,13.0,9.0,7.0,60.0,26.0,18.0,30.0,31.0,21.0,6.0,16.0,27.0,28.0,24.0,39.0,33.0
2132,0.0,2.0,1.0,4.0,10.0,11.0,3.0,13.0,6.0,12.0,7.0,42.0,22.0,25.0,29.0,5.0,27.0,39.0,14.0,45.0,43.0,33.0,18.0,8.0,38.0,19.0,54.0,52.0,24.0,15.0
2181,1.0,2.0,0.0,4.0,9.0,3.0,49.0,25.0,10.0,21.0,23.0,55.0,28.0,5.0,6.0,7.0,13.0,15.0,54.0,27.0,11.0,14.0,33.0,43.0,16.0,52.0,48.0,57.0,37.0,36.0
2230,2.0,4.0,5.0,3.0,1.0,0.0,27.0,31.0,13.0,8.0,10.0,26.0,22.0,57.0,18.0,14.0,7.0,59.0,44.0,63.0,37.0,6.0,9.0,36.0,20.0,56.0,21.0,49.0,38.0,52.0
2279,2.0,13.0,3.0,0.0,4.0,1.0,20.0,5.0,15.0,10.0,33.0,36.0,18.0,6.0,17.0,16.0,12.0,47.0,25.0,37.0,55.0,51.0,19.0,24.0,14.0,9.0,35.0,65.0,45.0,48.0
2328,0.0,5.0,4.0,2.0,8.0,3.0,17.0,1.0,27.0,16.0,24.0,23.0,48.0,14.0,7.0,11.0,39.0,54.0,13.0,10.0,34.0,18.0,9.0,12.0,43.0,28.0,56.0,32.0,21.0,64.0
2377,3.0,6.0,1.0,5.0,0.0,2.0,10.0,19.0,66.0,8.0,7.0,14.0,25.0,16.0,23.0,43.0,32.0,47.0,35.0,36.0,17.0,11.0,24.0,45.0,4.0,29.0,22.0,18.0,39.0,50.0
2426,0.0,4.0,16.0,3.0,5.0,1.0,10.0,18.0,2.0,7.0,17.0,30.0,48.0,20.0,12.0,14.0,24.0,44.0,26.0,33.0,38.0,23.0,21.0,11.0,34.0,50.0,9.0,27.0,41.0,40.0
2475,7.0,0.0,1.0,3.0,4.0,8.0,2.0,16.0,15.0,13.0,19.0,37.0,30.0,28.0,50.0,26.0,20.0,5.0,53.0,18.0,24.0,10.0,9.0,33.0,62.0,34.0,31.0,11.0,14.0,46.0
2524,0.0,2.0,1.0,13.0,6.0,33.0,3.0,30.0,52.0,19.0,8.0,23.0,35.0,18.0,7.0,9.0,41.0,27.0,45.0,42.0,32.0,40.0,17.0,5.0,65.0,12.0,50.0,10.0,22.0,14.0
2573,2.0,0.0,6.0,3.0,1.0,4.0,15.0,23.0,30.0,20.0,21.0,29.0,61.0,8.0,46.0,5.0,39.0,10.0,53.0,14.0,16.0,13.0,24.0,49.0,12.0,50.0,28.0,31.0,42.0,25.0
2622,3.0,1.0,0.0,5.0,2.0,14.0,6.0,10.0,30.0,7.0,16.0,56.0,29.0,22.0,9.0,51.0,41.0,25.0,57.0,13.0,39.0,31.0,27.0,11.0,42.0,19.0,33.0,4.0,21.0,28.0
2671,1.0,2.0,0.0,4.0,3.0,7.0,14.0,47.0,16.0,21.0,6.0,45.0,11.0,34.0,32.0,17.0,41.0,23.0,55.0,53.0,9.0,29.0,20.0,51.0,50.0,60.0,15.0,5.0,10.0,33.0
2720,0.0,1.0,4.0,3.0,2.0,6.0,5.0,8.0,23.0,16.0,47.0,14.0,25.0,26.0,18.0,43.0,27.0,10.0,59.0,24.0,7.0,19.0,38.0,42.0,29.0,49.0,32.0,17.0,35.0,37.0
2769,0.0,2.0,1.0,3.0,4.0,13.0,9.0,15.0,19.0,57.0,6.0,49.0,21.0,8.0,7.0,12.0,31.0,35.0,58.0,16.0,33.0,17.0,30.0,66.0,55.0,27.0,23.0,20.0,11.0,60.0
2818,0.0,3.0,1.0,6.0,4.0,5.0,7.0,14.0,20.0,16.0,21.0,36.0,19.0,33.0,27.0,12.0,31.0,11.0,37.0,23.0,15.0,39.0,22.0,51.0,55.0,50.0,26.0,32.0,43.0,40.0
2867,0.0,3.0,2.0,4.0,6.0,14.0,1.0,31.0,7.0,17.0,5.0,53.0,39.0,11.0,15.0,16.0,47.0,13.0,41.0,18.0,33.0,10.0,37.0,19.0,57.0,12.0,45.0,9.0,30.0,22.0
2916,0.0,2.0,4.0,3.0,5.0,7.0,1.0,28.0,29.0,23.0,8.0,35.0,39.0,25.0,20.0,9.0,21.0,36.0,49.0,17.0,40.0,14.0,59.0,13.0,18.0,32.0,53.0,11.0,12.0,15.0
2965,1.0,5.0,12.0,0.0,3.0,4.0,15.0,7.0,10.0,34.0,17.0,27.0,20.0,36.0,2.0,45.0,47.0,28.0,6.0,43.0,8.0,26.0,22.0,18.0,39.0,9.0,25.0,49.0,42.0,14.0
3014,4.0,5.0,13.0,1.0,7.0,30.0,0.0,15.0,16.0,31.0,56.0,29.0,6.0,20.0,14.0,11.0,3.0,34.0,10.0,47.0,35.0,21.0,18.0,27.0,17.0,40.0,26.0,51.0,42.0,19.0
3063,0.0,2.0,9.0,1.0,3.0,13.0,4.0,5.0,17.0,14.0,8.0,7.0,15.0,28.0,16.0,34.0,24.0,6.0,39.0,48.0,30.0,47.0,18.0,12.0,20.0,26.0,23.0,41.0,31.0,27.0
3112,4.0,3.0,1.0,0.0,10.0,7.0,2.0,46.0,30.0,41.0,20.0,39.0,33.0,9.0,8.0,29.0,22.0,18.0,6.0,34.0,5.0,16.0,26.0,24.0,14.0,13.0,27.0,40.0,55.0,12.0
3161,3.0,1.0,51.0,0.0,2.0,5.0,10.0,46.0,17.0,7.0,13.0,29.0,35.0,4.0,12.0,28.0,6.0,22.0,27.0,23.0,38.0,14.0,18.0,9.0,54.0,45.0,63.0,20.0,58.0,21.0
3210,0.0,5.0,2.0,1.0,6.0,13.0,3.0,15.0,7.0,40.0,58.0,9.0,19.0,4.0,14.0,37.0,12.0,22.0,8.0,25.0,31.0,28.0,34.0,43.0,32.0,41.0,17.0,49.0,65.0,11.0
3259,1.0,4.0,5.0,0.0,2.0,9.0,7.0,25.0,35.0,13.0,46.0,31.0,6.0,3.0,10.0,15.0,14.0,50.0,17.0,41.0,22.0,24.0,47.0,52.0,20.0,11.0,53.0,23.0,65.0,28.0
3308,2.0,23.0,7.0,1.0,3.0,5.0,17.0,28.0,55.0,31.0,34.0,10.0,4.0,0.0,6.0,14.0,13.0,22.0,15.0,33.0,11.0,42.0,39.0,20.0,24.0,27.0,21.0,30.0,62.0,9.0
3357,0.0,22.0,15.0,1.0,4.0,3.0,8.0,20.0,41.0,45.0,36.0,40.0,2.0,5.0,7.0,48.0,11.0,16.0,17.0,21.0,46.0,32.0,26.0,43.0,10.0,54.0,19.0,53.0,33.0,9.0
3406,0.0,6.0,3.0,4.0,1.0,5.0,2.0,14.0,49.0,25.0,16.0,9.0,7.0,11.0,20.0,43.0,12.0,29.0,15.0,10.0,40.0,13.0,19.0,8.0,64.0,24.0,35.0,18.0,33.0,21.0
3455,0.0,2.0,1.0,6.0,11.0,3.0,27.0,7.0,12.0,40.0,13.0,10.0,45.0,8.0,60.0,5.0,24.0,9.0,48.0,18.0,32.0,4.0,41.0,19.0,34.0,14.0,22.0,35.0,54.0,15.0
3504,1.0,4.0,3.0,0.0,8.0,7.0,30.0,6.0,17.0,22.0,31.0,35.0,12.0,2.0,28.0,18.0,9.0,13.0,57.0,21.0,19.0,25.0,48.0,36.0,49.0,37.0,16.0,34.0,5.0,24.0
3553,2.0,0.0,1.0,3.0,4.0,6.0,5.0,21.0,7.0,10.0,19.0,12.0,15.0,14.0,53.0,11.0,37.0,8.0,55.0,25.0,24.0,28.0,60.0,13.0,43.0,23.0,22.0,47.0,54.0,16.0
3602,0.0,3.0,1.0,10.0,22.0,9.0,6.0,14.0,15.0,5.0,7.0,17.0,2.0,4.0,21.0,11.0,20.0,12.0,27.0,32.0,37.0,8.0,57.0,19.0,33.0,13.0,60.0,28.0,29.0,25.0
3651,5.0,1.0,0.0,7.0,8.0,2.0,9.0,4.0,6.0,3.0,29.0,15.0,21.0,14.0,34.0,53.0,24.0,11.0,48.0,62.0,51.0,54.0,23.0,35.0,22.0,19.0,25.0,38.0,32.0,10.0
3700,11.0,1.0,3.0,0.0,5.0,2.0,53.0,9.0,4.0,13.0,12.0,23.0,22.0,7.0,6.0,8.0,37.0,25.0,56.0,14.0,49.0,32.0,34.0,58.0,61.0,15.0,16.0,66.0,30.0,36.0
3749,0.0,3.0,1.0,2.0,15.0,6.0,28.0,14.0,7.0,5.0,36.0,4.0,10.0,9.0,42.0,25.0,8.0,20.0,50.0,38.0,45.0,65.0,39.0,13.0,60.0,29.0,53.0,41.0,18.0,37.0
3798,1.0,0.0,3.0,5.0,2.0,4.0,35.0,7.0,13.0,10.0,21.0,23.0,6.0,8.0,50.0,16.0,38.0,27.0,17.0,19.0,26.0,20.0,34.0,43.0,33.0,14.0,63.0,62.0,9.0,29.0
3847,1.0,0.0,2.0,11.0,8.0,3.0,13.0,4.0,38.0,19.0,5.0,37.0,6.0,30.0,20.0,41.0,23.0,10.0,26.0,22.0,31.0,53.0,36.0,32.0,25.0,35.0,15.0,60.0,61.0,52.0
3896,0.0,2.0,1.0,12.0,10.0,11.0,15.0,3.0,7.0,31.0,38.0,16.0,17.0,36.0,42.0,13.0,4.0,19.0,65.0,9.0,51.0,5.0,32.0,30.0,43.0,44.0,22.0,29.0,55.0,52.0
3945,7.0,1.0,8.0,10.0,0.0,3.0,11.0,2.0,4.0,14.0,22.0,19.0,41.0,18.0,27.0,12.0,6.0,9.0,5.0,25.0,55.0,28.0,24.0,15.0,42.0,16.0,61.0,36.0,17.0,35.0
3994,0.0,1.0,5.0,23.0,3.0,2.0,16.0,11.0,13.0,8.0,20.0,14.0,31.0,7.0,55.0,24.0,10.0,4.0,19.0,46.0,33.0,9.0,17.0,15.0,18.0,39.0,50.0,63.0,30.0,12.0
4043,0.0,1.0,39.0,7.0,2.0,9.0,3.0,6.0,4.0,8.0,25.0,13.0,11.0,36.0,38.0,34.0,40.0,19.0,5.0,10.0,14.0,26.0,33.0,31.0,20.0,21.0,12.0,37.0,16.0,61.0
4092,0.0,1.0,12.0,3.0,16.0,5.0,7.0,2.0,15.0,4.0,46.0,42.0,25.0,21.0,9.0,10.0,32.0,18.0,27.0,6.0,60.0,11.0,28.0,47.0,17.0,19.0,61.0,33.0,24.0,8.0
4141,3.0,0.0,6.0,9.0,4.0,1.0,5.0,8.0,7.0,20.0,2.0,34.0,10.0,24.0,33.0,17.0,18.0,31.0,19.0,36.0,11.0,15.0,23.0,16.0,13.0,56.0,39.0,12.0,51.0,14.0
4190,6.0,4.0,9.0,5.0,2.0,21.0,10.0,0.0,8.0,12.0,46.0,7.0,18.0,26.0,15.0,30.0,1.0,19.0,33.0,36.0,58.0,38.0,11.0,45.0,3.0,17.0,31.0,25.0,39.0,34.0
4239,0.0,2.0,3.0,1.0,6.0,4.0,8.0,19.0,5.0,12.0,18.0,28.0,43.0,54.0,15.0,7.0,25.0,9.0,16.0,11.0,50.0,29.0,22.0,35.0,10.0,40.0,57.0,30.0,21.0,53.0
4288,1.0,0.0,7.0,16.0,3.0,2.0,14.0,6.0,17.0,8.0,4.0,15.0,54.0,22.0,44.0,21.0,28.0,5.0,32.0,29.0,19.0,9.0,13.0,45.0,37.0,31.0,51.0,27.0,39.0,42.0
4337,0.0,1.0,3.0,41.0,14.0,2.0,8.0,5.0,11.0,12.0,53.0,35.0,9.0,42.0,10.0,13.0,23.0,18.0,39.0,4.0,32.0,52.0,44.0,21.0,7.0,29.0,54.0,43.0,28.0,40.0
4386,0.0,2.0,8.0,4.0,3.0,5.0,25.0,12.0,1.0,7.0,45.0,15.0,10.0,50.0,35.0,21.0,24.0,14.0,31.0,17.0,51.0,19.0,18.0,29.0,11.0,22.0,53.0,41.0,20.0,6.0
4435,5.0,1.0,4.0,14.0,0.0,2.0,3.0,29.0,41.0,8.0,43.0,13.0,22.0,17.0,25.0,7.0,27.0,6.0,44.0,20.0,12.0,15.0,31.0,16.0,10.0,37.0,39.0,34.0,30.0,9.0
4484,1.0,0.0,12.0,2.0,3.0,10.0,13.0,8.0,24.0,6.0,7.0,5.0,11.0,35.0,31.0,14.0,15.0,17.0,59.0,43.0,18.0,29.0,26.0,21.0,19.0,40.0,4.0,66.0,36.0,9.0
4533,0.0,4.0,8.0,6.0,3.0,2.0,1.0,34.0,9.0,5.0,25.0,12.0,42.0,22.0,50.0,19.0,32.0,47.0,43.0,10.0,7.0,31.0,39.0,13.0,41.0,14.0,11.0,35.0,20.0,18.0
4582,7.0,0.0,4.0,13.0,2.0,1.0,3.0,10.0,12.0,45.0,20.0,33.0,29.0,50.0,14.0,6.0,24.0,30.0,27.0,44.0,8.0,23.0,5.0,15.0,28.0,49.0,25.0,53.0,43.0,18.0
4631,2.0,6.0,4.0,5.0,0.0,1.0,21.0,29.0,41.0,24.0,15.0,10.0,27.0,60.0,51.0,22.0,31.0,49.0,65.0,13.0,7.0,14.0,17.0,36.0,12.0,9.0,3.0,38.0,26.0,8.0
4680,1.0,0.0,12.0,2.0,8.0,3.0,4.0,36.0,46.0,28.0,6.0,7.0,26.0,54.0,11.0,43.0,31.0,51.0,16.0,17.0,5.0,21.0,18.0,13.0,15.0,10.0,30.0,9.0,66.0,24.0
4729,0.0,2.0,7.0,3.0,4.0,1.0,8.0,34.0,6.0,13.0,45.0,12.0,20.0,17.0,10.0,39.0,25.0,5.0,43.0,46.0,47.0,23.0,40.0,18.0,33.0,11.0,16.0,27.0,21.0,9.0
4778,2.0,0.0,4.0,5.0,3.0,1.0,9.0,36.0,19.0,6.0,64.0,16.0,39.0,35.0,20.0,10.0,15.0,32.0,25.0,48.0,8.0,17.0,7.0,50.0,22.0,11.0,21.0,65.0,52.0,14.0
4827,1.0,0.0,5.0,12.0,2.0,3.0,8.0,25.0,11.0,18.0,15.0,48.0,14.0,24.0,54.0,21.0,10.0,49.0,66.0,17.0,7.0,13.0,6.0,16.0,27.0,34.0,4.0,29.0,22.0,61.0
4876,0.0,2.0,6.0,3.0,1.0,12.0,5.0,31.0,32.0,4.0,9.0,11.0,48.0,24.0,16.0,7.0,29.0,13.0,51.0,26.0,19.0,30.0,36.0,15.0,53.0,8.0,41.0,22.0,33.0,14.0
