,BRAF_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,KRAS.G12_13_MUT,NRAS_MUT,ERBB4_DEL,GSTM1_DEL,STRA13_AMP,KRAS_MUT,FAM153C_AMP,TTN_MUT,OR4N4_DEL,LOC727924_DEL,ARL16_AMP,LINC00442_DEL,UNC13C_MUT,SIRT7_AMP,RAC3_AMP,ARHGDIA_AMP,SLC25A10_AMP,RNU6-52_DEL,RAD50_MUT,OR4M2_DEL,LOC284344_DEL,P4HB_AMP,N4BP3_AMP,ANKRD20A9P_DEL,INHBA_MUT,NSFP1_AMP,EYA1_DEL
522,0.0,4.0,3.0,2.0,53.0,16.0,95.0,96.0,340.0,27.0,18.0,9.0,115.0,8.0,152.0,10.0,71.0,106.0,472.0,473.0,150.0,226.0,22.0,49.0,105.0,455.0,1520.0,6648.0,958.0,5.0
571,0.0,2.0,711.0,201.0,13.0,1.0,16.0,1680.0,16607.0,6.0,108.0,8.0,229.0,141.0,23.0,2429.0,198.0,21646.0,15706.0,17495.0,38.0,9.0,435.0,27.0,14621.0,69.0,12.0,2992.0,21.0,2832.0
620,0.0,1.0,2.0,8.0,41.0,34.0,1186.0,1000.0,571.0,31.0,12.0,184.0,338.0,369.0,3.0,50.0,126.0,947.0,1131.0,588.0,9.0,59.0,7.0,892.0,1673.0,108.0,49.0,16609.0,95.0,6.0
669,0.0,1.0,4.0,10.0,8.0,5.0,15.0,11.0,16626.0,41.0,2418.0,71.0,24.0,7.0,56.0,410.0,18.0,172.0,92.0,57.0,17.0,240.0,3.0,6.0,119.0,82.0,13.0,16619.0,796.0,48.0
718,0.0,1.0,2.0,35.0,16674.0,25.0,5.0,15.0,21.0,21837.0,92.0,38.0,46.0,34.0,215.0,39.0,220.0,66.0,48.0,8.0,135.0,49.0,23.0,2335.0,14.0,2187.0,705.0,111.0,16.0,17.0
767,0.0,2.0,1.0,3.0,8.0,9.0,185.0,73.0,363.0,109.0,202.0,6.0,18.0,61.0,1353.0,4.0,58.0,100.0,99.0,40.0,75.0,129.0,23.0,36.0,451.0,47.0,24.0,3941.0,68.0,28.0
816,0.0,1.0,2.0,5.0,98.0,29.0,101.0,279.0,76.0,17.0,107.0,172.0,20.0,1341.0,80.0,11.0,15145.0,21656.0,15765.0,1148.0,1236.0,592.0,209.0,2212.0,14655.0,2082.0,1123.0,147.0,13.0,6.0
865,0.0,2.0,12.0,1.0,484.0,58.0,924.0,104.0,50.0,26.0,6.0,179.0,3.0,17.0,57.0,1422.0,506.0,1205.0,15757.0,2524.0,4.0,412.0,1008.0,252.0,494.0,382.0,260.0,137.0,203.0,7.0
914,1.0,0.0,6.0,3.0,44.0,2.0,239.0,26.0,7.0,20.0,779.0,38.0,34.0,105.0,40.0,9.0,419.0,163.0,15706.0,165.0,12.0,555.0,11.0,4.0,583.0,106.0,87.0,1601.0,121.0,42.0
963,0.0,1.0,2.0,3.0,8.0,28.0,80.0,22.0,15.0,75.0,17177.0,4.0,17.0,9.0,5.0,6.0,48.0,116.0,122.0,535.0,14.0,2632.0,91.0,1290.0,15010.0,351.0,32.0,292.0,463.0,191.0
1012,0.0,5.0,1.0,11.0,117.0,3.0,110.0,27.0,8.0,9.0,10.0,217.0,193.0,75.0,97.0,415.0,43.0,187.0,17.0,63.0,353.0,569.0,170.0,234.0,14613.0,72.0,83.0,16624.0,2683.0,44.0
1061,0.0,1.0,2.0,3.0,10.0,45.0,71.0,98.0,235.0,83.0,47.0,379.0,2349.0,31.0,6.0,16582.0,391.0,129.0,55.0,15.0,16.0,366.0,2942.0,5.0,223.0,92.0,12.0,220.0,13.0,1271.0
1110,0.0,1.0,5.0,2.0,24.0,8.0,485.0,57.0,10.0,27.0,3.0,7.0,47.0,68.0,115.0,16590.0,13.0,84.0,45.0,30.0,37.0,65.0,265.0,9.0,85.0,121.0,12.0,172.0,2803.0,33.0
1159,0.0,2.0,16.0,3.0,137.0,166.0,901.0,19.0,9.0,55.0,6.0,96.0,1190.0,24.0,4745.0,16558.0,18.0,32.0,35.0,4.0,736.0,94.0,79.0,5.0,20.0,334.0,85.0,268.0,629.0,42.0
1208,0.0,1.0,4.0,2.0,27.0,35.0,172.0,5.0,46.0,94.0,11.0,295.0,489.0,22.0,69.0,15.0,258.0,29.0,6.0,8.0,39.0,792.0,268.0,12.0,16.0,58.0,123.0,36.0,189.0,152.0
1257,1.0,0.0,2.0,5.0,17.0,6.0,36.0,9.0,59.0,18.0,40.0,84.0,112.0,285.0,3685.0,41.0,16.0,81.0,13.0,12.0,77.0,19.0,52.0,7.0,89.0,45.0,6603.0,42.0,3399.0,2242.0
1306,4.0,0.0,1.0,582.0,8.0,39.0,18.0,32.0,710.0,10.0,59.0,949.0,33.0,124.0,2.0,16541.0,21.0,35.0,89.0,76.0,9.0,13.0,45.0,29.0,77.0,1166.0,48.0,2412.0,38.0,5.0
1355,1.0,0.0,2.0,3.0,44.0,602.0,147.0,390.0,15.0,4.0,13.0,36.0,1031.0,35.0,7.0,32.0,554.0,62.0,149.0,17262.0,5.0,16740.0,224.0,14.0,14542.0,16.0,59.0,140.0,23.0,810.0
1404,0.0,4.0,139.0,2.0,3044.0,1120.0,1055.0,85.0,8.0,40.0,9.0,1395.0,286.0,45.0,7.0,87.0,39.0,173.0,16.0,20.0,20675.0,30.0,48.0,21.0,84.0,51.0,138.0,16575.0,1679.0,191.0
1453,0.0,2.0,6.0,1.0,5.0,3.0,7066.0,21.0,4.0,44.0,18.0,19.0,7.0,36.0,23.0,38.0,20.0,8.0,12.0,10.0,14.0,29.0,9.0,260.0,13.0,86.0,53.0,132.0,2310.0,1864.0
1502,0.0,2.0,1.0,3.0,52.0,7198.0,7.0,39.0,44.0,24.0,2597.0,5.0,75.0,67.0,257.0,16562.0,15125.0,217.0,793.0,202.0,1448.0,10.0,25.0,62.0,198.0,19.0,458.0,11.0,13.0,27.0
1551,2.0,0.0,3.0,4.0,14.0,26.0,1.0,36.0,5.0,75.0,562.0,27.0,93.0,390.0,4442.0,19.0,97.0,124.0,33.0,52.0,19132.0,10133.0,8.0,1106.0,53.0,109.0,7379.0,188.0,10.0,1252.0
1600,0.0,1.0,15.0,3.0,414.0,321.0,8.0,227.0,172.0,24.0,294.0,43.0,706.0,978.0,19.0,5.0,15127.0,21724.0,15746.0,623.0,18.0,74.0,310.0,21.0,14668.0,41.0,222.0,16614.0,261.0,66.0
1649,0.0,1.0,6.0,2.0,4.0,8.0,3.0,24.0,36.0,30.0,160.0,673.0,183.0,51.0,1319.0,257.0,9.0,106.0,16.0,34.0,21006.0,579.0,5079.0,3605.0,20.0,149.0,6763.0,1005.0,19.0,1013.0
1698,0.0,1.0,2.0,9.0,13.0,235.0,7.0,20.0,8.0,273.0,44.0,138.0,3464.0,42.0,438.0,5.0,354.0,24.0,57.0,31.0,21021.0,265.0,143.0,372.0,32.0,13881.0,1740.0,744.0,21.0,2931.0
1747,0.0,6.0,5.0,1.0,17.0,13.0,2.0,14.0,9.0,33.0,3501.0,531.0,801.0,238.0,5450.0,265.0,12.0,46.0,58.0,10.0,20956.0,29.0,23.0,4.0,8.0,71.0,4397.0,142.0,55.0,165.0
1796,0.0,2.0,1.0,5.0,9.0,6307.0,8.0,36.0,7.0,469.0,580.0,35.0,20.0,86.0,136.0,764.0,73.0,27.0,14.0,19.0,1062.0,16791.0,1451.0,45.0,28.0,13877.0,1299.0,10.0,518.0,291.0
1845,0.0,1.0,2.0,13.0,17.0,16.0,3.0,109.0,44.0,20.0,1194.0,6559.0,180.0,85.0,66.0,19.0,18.0,60.0,26.0,55.0,15.0,106.0,358.0,300.0,43.0,112.0,24.0,2069.0,23569.0,2702.0
1894,0.0,2.0,3.0,1.0,5.0,95.0,4.0,81.0,6.0,414.0,1760.0,51.0,159.0,13461.0,623.0,18.0,15116.0,643.0,641.0,17559.0,905.0,52.0,27.0,3511.0,642.0,45.0,6457.0,1135.0,23.0,1792.0
1943,0.0,1.0,2.0,3.0,158.0,260.0,4.0,20.0,5.0,675.0,34.0,61.0,33.0,117.0,453.0,53.0,99.0,318.0,26.0,19.0,20739.0,257.0,191.0,22.0,113.0,13803.0,1376.0,406.0,1759.0,131.0
1992,0.0,1.0,2.0,5.0,86.0,72.0,19.0,8.0,4.0,28.0,1456.0,10.0,11.0,308.0,139.0,12.0,73.0,64.0,99.0,404.0,18903.0,52.0,3.0,383.0,403.0,45.0,7465.0,15.0,13.0,1294.0
2041,0.0,1.0,3.0,5.0,78.0,73.0,6.0,12.0,13.0,347.0,4.0,59.0,7.0,157.0,20.0,189.0,144.0,147.0,238.0,146.0,525.0,45.0,21.0,418.0,114.0,122.0,230.0,392.0,206.0,225.0
2090,0.0,1.0,2.0,2368.0,41.0,22.0,5.0,18.0,2863.0,70.0,149.0,1261.0,25.0,30.0,863.0,23.0,99.0,47.0,519.0,38.0,187.0,26.0,68.0,1651.0,104.0,65.0,876.0,938.0,473.0,804.0
2139,0.0,1.0,4.0,2.0,185.0,5318.0,50.0,28.0,146.0,18.0,20.0,11.0,3.0,60.0,32.0,1357.0,75.0,31.0,99.0,256.0,498.0,9.0,6.0,6968.0,12.0,36.0,497.0,363.0,37.0,216.0
2188,0.0,1.0,2.0,13.0,39.0,30.0,54.0,11.0,16.0,103.0,173.0,10.0,51.0,8.0,4773.0,95.0,5.0,61.0,18.0,20.0,142.0,228.0,4.0,3613.0,3.0,119.0,3796.0,17.0,6.0,3278.0
2237,1.0,0.0,2.0,6.0,4.0,247.0,18.0,35.0,22.0,16.0,745.0,5.0,9.0,13597.0,33.0,16562.0,377.0,56.0,498.0,497.0,50.0,27.0,12.0,125.0,111.0,325.0,103.0,16606.0,152.0,70.0
2286,0.0,1.0,2.0,4.0,9.0,148.0,3.0,17.0,62.0,8.0,98.0,248.0,57.0,52.0,5.0,351.0,276.0,85.0,31.0,83.0,15.0,138.0,722.0,337.0,14574.0,114.0,10.0,153.0,371.0,1100.0
2335,1.0,0.0,2.0,3.0,63.0,27.0,122.0,14.0,8.0,80.0,7.0,21.0,98.0,328.0,6.0,659.0,33.0,109.0,34.0,35.0,105.0,72.0,9.0,299.0,4.0,100.0,43.0,1219.0,3317.0,127.0
2384,0.0,1.0,16.0,2.0,4.0,58.0,23.0,3.0,37.0,32.0,7.0,41.0,72.0,79.0,252.0,16536.0,134.0,315.0,39.0,35.0,933.0,182.0,3398.0,56.0,82.0,57.0,6827.0,18.0,1189.0,68.0
2433,0.0,2.0,1.0,6.0,22.0,3.0,72.0,34.0,33.0,37.0,71.0,8.0,4.0,44.0,482.0,129.0,615.0,97.0,1163.0,16159.0,16.0,76.0,143.0,1229.0,517.0,51.0,564.0,7.0,54.0,2340.0
2482,0.0,2.0,3.0,14.0,24.0,1.0,43.0,20.0,15.0,8.0,152.0,6.0,9.0,355.0,4.0,69.0,356.0,5.0,83.0,57.0,49.0,304.0,229.0,33.0,26.0,55.0,11.0,853.0,960.0,3476.0
2531,0.0,1.0,3.0,19.0,10.0,6.0,24.0,367.0,117.0,37.0,71.0,68.0,52.0,366.0,47.0,502.0,95.0,25.0,45.0,30.0,51.0,1376.0,223.0,191.0,112.0,40.0,14.0,83.0,9.0,135.0
2580,0.0,1.0,7.0,3.0,21.0,11.0,2.0,22.0,4.0,663.0,1937.0,47.0,69.0,29.0,35.0,80.0,84.0,36.0,15814.0,67.0,9.0,818.0,19.0,71.0,45.0,276.0,10.0,213.0,20.0,2901.0
2629,0.0,1.0,5.0,24134.0,2.0,4.0,71.0,46.0,84.0,77.0,254.0,24.0,205.0,22.0,26.0,156.0,74.0,18.0,3219.0,130.0,8.0,120.0,29.0,2978.0,196.0,67.0,33.0,1227.0,2312.0,7257.0
2678,0.0,1.0,3.0,12.0,16.0,616.0,32.0,17752.0,58.0,14.0,374.0,113.0,302.0,534.0,8.0,46.0,60.0,175.0,636.0,894.0,4.0,292.0,370.0,1076.0,750.0,1234.0,346.0,764.0,893.0,166.0
2727,1.0,0.0,12.0,4.0,29.0,111.0,3768.0,1321.0,54.0,6.0,17063.0,64.0,7.0,104.0,11.0,1802.0,609.0,53.0,853.0,954.0,85.0,825.0,2.0,2980.0,14535.0,65.0,399.0,414.0,1428.0,7755.0
2776,0.0,1.0,3.0,10.0,2.0,11.0,21.0,52.0,58.0,9.0,3559.0,144.0,1503.0,956.0,36.0,46.0,919.0,254.0,13884.0,16436.0,110.0,167.0,70.0,24.0,829.0,59.0,31.0,436.0,186.0,322.0
2825,0.0,2.0,1.0,207.0,9.0,14.0,7.0,39.0,297.0,5.0,227.0,384.0,448.0,488.0,78.0,204.0,489.0,35.0,590.0,166.0,126.0,24.0,153.0,1730.0,705.0,125.0,452.0,16660.0,778.0,58.0
2874,0.0,1.0,20.0,289.0,28.0,47.0,313.0,17261.0,601.0,8.0,42.0,2.0,215.0,16.0,22.0,96.0,726.0,160.0,14482.0,17156.0,315.0,53.0,48.0,270.0,13834.0,41.0,17.0,1224.0,207.0,120.0
2923,1.0,0.0,9.0,171.0,31.0,87.0,150.0,33.0,45.0,13.0,3428.0,91.0,3308.0,19.0,57.0,1928.0,15110.0,442.0,15745.0,17561.0,27.0,506.0,280.0,405.0,605.0,14053.0,64.0,1143.0,712.0,3238.0
2972,0.0,2.0,3.0,1.0,4.0,288.0,360.0,61.0,16.0,44.0,17106.0,392.0,17.0,13591.0,31.0,1096.0,330.0,432.0,65.0,62.0,20.0,16788.0,36.0,7548.0,74.0,404.0,40.0,16636.0,5.0,3504.0
3021,0.0,1.0,2.0,3.0,422.0,6.0,16.0,7.0,4.0,15461.0,55.0,156.0,19.0,154.0,266.0,9181.0,74.0,78.0,77.0,79.0,33.0,340.0,68.0,7483.0,463.0,729.0,21.0,2212.0,22.0,15.0
3070,0.0,2.0,3.0,1105.0,18.0,4.0,8.0,19.0,1.0,17.0,20.0,6.0,117.0,355.0,78.0,89.0,21.0,37.0,101.0,438.0,24.0,22.0,13.0,90.0,1748.0,170.0,14.0,176.0,30.0,2324.0
3119,0.0,1.0,5.0,41.0,18.0,2.0,3173.0,128.0,125.0,107.0,24.0,275.0,8.0,426.0,15.0,10.0,424.0,546.0,28.0,141.0,3.0,143.0,44.0,7.0,14529.0,123.0,6.0,84.0,50.0,37.0
3168,0.0,2.0,71.0,114.0,352.0,1.0,118.0,57.0,2654.0,83.0,418.0,25.0,28.0,95.0,179.0,26.0,2627.0,2072.0,606.0,1039.0,230.0,67.0,76.0,412.0,15066.0,122.0,36.0,965.0,545.0,3693.0
3217,0.0,2.0,1.0,141.0,196.0,35.0,6.0,32.0,2092.0,12.0,3531.0,3003.0,33.0,161.0,211.0,1435.0,115.0,40.0,426.0,103.0,58.0,4.0,154.0,2571.0,14591.0,9.0,259.0,88.0,29.0,421.0
3266,0.0,1.0,2.0,15.0,24.0,47.0,39.0,31.0,7.0,10.0,74.0,3306.0,108.0,22.0,4089.0,362.0,29.0,49.0,123.0,17490.0,41.0,89.0,1140.0,98.0,139.0,11.0,129.0,167.0,291.0,171.0
3315,0.0,4.0,1.0,212.0,18.0,10.0,6.0,39.0,3689.0,27.0,17100.0,21.0,23.0,117.0,181.0,16588.0,115.0,498.0,111.0,353.0,42.0,12.0,337.0,251.0,14582.0,126.0,35.0,1038.0,2.0,372.0
3364,0.0,1.0,42.0,5.0,37.0,6.0,35.0,17.0,249.0,12.0,43.0,3313.0,23.0,218.0,57.0,41.0,30.0,288.0,58.0,44.0,13.0,29.0,318.0,1709.0,14534.0,400.0,11.0,7.0,2.0,592.0
3413,0.0,1.0,4.0,61.0,26.0,2.0,2649.0,39.0,16561.0,7.0,144.0,241.0,3.0,111.0,234.0,671.0,12.0,422.0,17.0,420.0,308.0,9.0,75.0,1013.0,14595.0,93.0,13.0,193.0,20.0,10.0
3462,0.0,1.0,2.0,3.0,6.0,31.0,5.0,9.0,13.0,39.0,32.0,64.0,3601.0,17.0,681.0,16.0,218.0,12.0,53.0,20.0,231.0,45.0,160.0,15.0,19.0,816.0,600.0,98.0,445.0,126.0
3511,2.0,0.0,7.0,3.0,14.0,11.0,71.0,75.0,16555.0,145.0,224.0,588.0,25.0,13602.0,40.0,142.0,232.0,100.0,459.0,101.0,31.0,111.0,759.0,68.0,99.0,13789.0,81.0,16615.0,96.0,164.0
3560,0.0,1.0,13.0,9.0,2.0,48.0,17.0,127.0,85.0,10.0,73.0,1087.0,8885.0,35.0,394.0,16615.0,323.0,63.0,89.0,90.0,344.0,114.0,799.0,6802.0,30.0,4.0,25.0,69.0,888.0,22.0
3609,0.0,1.0,8.0,2.0,26.0,3.0,489.0,32.0,13.0,292.0,6.0,70.0,47.0,90.0,160.0,37.0,95.0,42.0,30.0,10.0,40.0,542.0,4606.0,63.0,24.0,81.0,132.0,16597.0,379.0,722.0
3658,0.0,1.0,5.0,1253.0,2.0,28.0,3.0,19.0,1070.0,9.0,755.0,908.0,15.0,357.0,1238.0,289.0,66.0,452.0,450.0,454.0,2398.0,106.0,20.0,14.0,97.0,143.0,6482.0,34.0,632.0,240.0
3707,0.0,2.0,1.0,1072.0,60.0,5.0,4.0,62.0,70.0,12.0,61.0,423.0,235.0,82.0,25.0,106.0,121.0,32.0,30.0,19.0,7.0,242.0,670.0,10.0,28.0,95.0,6.0,16623.0,3443.0,5932.0
3756,1.0,0.0,2.0,6.0,5879.0,36.0,148.0,9.0,827.0,429.0,23.0,91.0,9087.0,32.0,89.0,1377.0,348.0,25.0,96.0,442.0,37.0,18.0,3424.0,19.0,60.0,10.0,28.0,554.0,77.0,5.0
3805,0.0,2.0,6.0,1.0,4.0,5.0,2247.0,83.0,30.0,26.0,1773.0,3840.0,10586.0,38.0,21.0,144.0,242.0,1021.0,285.0,17492.0,16.0,28.0,541.0,32.0,2938.0,100.0,9.0,102.0,443.0,125.0
3854,0.0,1.0,8.0,124.0,3.0,2.0,55.0,271.0,3523.0,48.0,181.0,25.0,186.0,61.0,398.0,127.0,15068.0,357.0,15669.0,74.0,20967.0,172.0,158.0,23.0,14530.0,100.0,4183.0,10.0,102.0,1125.0
3903,0.0,1.0,4.0,2.0,7.0,20.0,11.0,22.0,3.0,60.0,21.0,119.0,8.0,76.0,49.0,827.0,116.0,77.0,352.0,34.0,24.0,10.0,27.0,155.0,33.0,74.0,5.0,47.0,3528.0,30.0
3952,0.0,3.0,2.0,1.0,201.0,17.0,531.0,862.0,4.0,874.0,13.0,30.0,23.0,51.0,46.0,5.0,410.0,1273.0,83.0,39.0,121.0,212.0,60.0,7640.0,187.0,13885.0,137.0,10.0,1200.0,273.0
4001,1.0,0.0,3.0,2.0,16659.0,19.0,127.0,8.0,6.0,657.0,12.0,1804.0,453.0,209.0,637.0,83.0,39.0,599.0,15830.0,694.0,210.0,16760.0,550.0,70.0,661.0,185.0,1324.0,204.0,1121.0,1470.0
4050,0.0,1.0,6.0,5.0,3.0,24.0,29.0,95.0,14.0,48.0,15.0,1856.0,1112.0,116.0,809.0,384.0,44.0,74.0,277.0,1072.0,645.0,7.0,368.0,10.0,14595.0,40.0,883.0,31.0,152.0,23.0
4099,0.0,1.0,2.0,6.0,512.0,3.0,18.0,23.0,7.0,21885.0,4.0,273.0,3681.0,51.0,30.0,175.0,83.0,67.0,466.0,141.0,20969.0,63.0,821.0,195.0,14592.0,13822.0,1121.0,70.0,307.0,16.0
4148,0.0,1.0,3.0,2.0,182.0,6.0,43.0,17683.0,436.0,994.0,28.0,208.0,868.0,13524.0,159.0,1524.0,682.0,84.0,15782.0,1396.0,231.0,4.0,456.0,29.0,14528.0,13747.0,4340.0,23.0,624.0,8.0
4197,0.0,1.0,19.0,3.0,2.0,8.0,4.0,91.0,10.0,44.0,6.0,48.0,18.0,133.0,82.0,16562.0,63.0,11.0,15826.0,25.0,22.0,17.0,5391.0,1024.0,105.0,584.0,41.0,16604.0,104.0,54.0
4246,0.0,1.0,7.0,5.0,1702.0,9.0,12.0,80.0,488.0,116.0,2.0,22.0,4.0,171.0,62.0,61.0,104.0,78.0,28.0,111.0,8.0,24.0,15.0,30.0,110.0,220.0,29.0,2510.0,23538.0,459.0
4295,0.0,3.0,4.0,1.0,138.0,9.0,75.0,260.0,2.0,182.0,12.0,61.0,69.0,56.0,525.0,19.0,34.0,14.0,18.0,27.0,356.0,87.0,29.0,85.0,26.0,1162.0,811.0,16.0,88.0,66.0
4344,1.0,0.0,9.0,2.0,4.0,5.0,48.0,35.0,3.0,81.0,155.0,210.0,185.0,85.0,43.0,2994.0,75.0,46.0,21.0,39.0,63.0,477.0,990.0,66.0,40.0,13835.0,3614.0,7.0,2277.0,355.0
4393,0.0,1.0,2.0,4.0,5.0,14.0,3.0,22.0,1217.0,133.0,12.0,245.0,10.0,76.0,153.0,101.0,93.0,9.0,44.0,18.0,20954.0,16.0,423.0,8.0,107.0,518.0,1137.0,24.0,670.0,126.0
4442,0.0,50.0,1.0,10.0,6.0,43.0,2.0,30.0,690.0,197.0,838.0,432.0,61.0,26.0,497.0,29.0,33.0,12.0,62.0,102.0,5.0,20.0,24.0,32.0,36.0,13868.0,42.0,516.0,3.0,39.0
4491,1.0,0.0,3.0,14.0,16.0,7191.0,2.0,135.0,166.0,756.0,163.0,18.0,23.0,104.0,34.0,8.0,45.0,571.0,572.0,138.0,6.0,96.0,156.0,2681.0,162.0,13851.0,5.0,44.0,28.0,437.0
4540,0.0,1.0,2.0,11.0,116.0,1076.0,8.0,36.0,113.0,915.0,30.0,31.0,135.0,103.0,584.0,13.0,73.0,266.0,140.0,29.0,1117.0,2885.0,27.0,28.0,14543.0,13798.0,5867.0,932.0,6.0,1396.0
4589,0.0,1.0,2.0,24134.0,206.0,2091.0,4.0,94.0,2652.0,210.0,24.0,51.0,153.0,13.0,187.0,10.0,63.0,113.0,494.0,114.0,54.0,16766.0,130.0,2540.0,350.0,569.0,98.0,38.0,88.0,165.0
4638,0.0,1.0,2.0,3.0,10.0,479.0,24.0,21.0,70.0,644.0,315.0,156.0,240.0,84.0,802.0,8.0,450.0,631.0,203.0,17215.0,108.0,54.0,52.0,1916.0,58.0,18386.0,107.0,7.0,455.0,334.0
4687,1.0,0.0,3.0,2.0,221.0,38.0,13.0,36.0,539.0,44.0,291.0,353.0,158.0,393.0,11.0,4.0,56.0,19.0,97.0,98.0,12.0,329.0,300.0,48.0,96.0,774.0,17.0,16579.0,183.0,136.0
4736,0.0,2.0,1.0,65.0,47.0,1262.0,38.0,81.0,2851.0,21890.0,2113.0,734.0,450.0,289.0,332.0,9.0,350.0,82.0,33.0,19.0,1353.0,1914.0,1802.0,45.0,44.0,13855.0,6797.0,5.0,3447.0,105.0
4785,1.0,0.0,2.0,108.0,1065.0,699.0,69.0,9.0,1123.0,118.0,17096.0,7.0,38.0,41.0,1175.0,40.0,498.0,21710.0,383.0,130.0,558.0,736.0,57.0,54.0,97.0,64.0,160.0,29.0,17.0,215.0
4834,1.0,2.0,0.0,20.0,476.0,212.0,14.0,16.0,96.0,54.0,26.0,844.0,36.0,84.0,4741.0,15.0,70.0,98.0,52.0,370.0,169.0,67.0,353.0,48.0,37.0,489.0,661.0,5.0,64.0,2339.0
4883,0.0,3.0,1.0,21.0,49.0,1084.0,4.0,27.0,67.0,1897.0,3174.0,2105.0,78.0,33.0,1577.0,16562.0,74.0,96.0,83.0,400.0,654.0,151.0,220.0,143.0,95.0,470.0,7509.0,109.0,9.0,3561.0
