,XXbac-BPG181B23.7,SLC6A15,PDE9A,RP11-408B11.2,CORO2A,SLC25A24P1,GPR158,PALM2,RP11-734I18.1,WNT5A,BTBD11,LRRIQ1,CTB-88F18.3,SLC38A9,ZNF732,LPAR3,PRR5L,TSPAN18,TYW1B,RP11-23P13.7,RP11-151A6.4,NR4A2,BEND6,OOEP,RP11-152F13.7,RP11-430L17.1,COL5A2,CLSTN3,SERTAD4-AS1,TRIM58
1920,4.0,14.0,5.0,7.0,19.0,1.0,0.0,76.0,58.0,48.0,43.0,32.0,38.0,67.0,21.0,77.0,3.0,26.0,10.0,370.0,89.0,47.0,46.0,68.0,12.0,314.0,25.0,11.0,90.0,127.0
1969,1.0,3.0,0.0,10.0,2.0,30.0,4.0,5.0,20.0,8.0,12.0,189.0,132.0,38.0,27.0,285.0,41.0,6.0,86.0,11.0,170.0,17.0,28.0,175.0,57.0,7.0,99.0,29.0,58.0,455.0
2018,0.0,32.0,109.0,8.0,28.0,1.0,4.0,24.0,324.0,3.0,38.0,682.0,14.0,11.0,41.0,1560.0,33.0,6.0,15.0,5.0,107.0,66.0,34.0,13.0,39.0,10.0,12.0,21.0,131.0,209.0
2067,0.0,23.0,7.0,4.0,6.0,18.0,50.0,2.0,27.0,1.0,9.0,372.0,30.0,79.0,84.0,494.0,68.0,44.0,8.0,11.0,169.0,24.0,362.0,16.0,43.0,3.0,116.0,13.0,37.0,55.0
2116,0.0,6.0,3.0,17.0,4.0,22.0,7.0,1.0,314.0,5.0,2.0,110.0,43.0,45.0,10.0,122.0,25.0,41.0,519.0,13.0,14.0,67.0,38.0,32.0,42.0,11.0,23.0,29.0,57.0,586.0
2165,1.0,32.0,0.0,9.0,10.0,48.0,7.0,20.0,3.0,33.0,157.0,203.0,116.0,134.0,37.0,79.0,30.0,6.0,155.0,2.0,102.0,21.0,95.0,106.0,14.0,25.0,12.0,16.0,22.0,303.0
2214,0.0,2.0,1.0,12.0,3.0,10.0,8.0,7.0,13.0,5.0,26.0,107.0,147.0,14.0,23.0,45.0,340.0,17.0,91.0,15.0,226.0,25.0,40.0,43.0,20.0,6.0,65.0,24.0,22.0,162.0
2263,0.0,10.0,5.0,1.0,4.0,25.0,8.0,6.0,18.0,3.0,61.0,208.0,30.0,13.0,60.0,3633.0,104.0,9.0,69.0,11.0,169.0,34.0,21.0,131.0,317.0,14.0,325.0,22.0,41.0,510.0
2312,0.0,9.0,2.0,1.0,7.0,16.0,20.0,5.0,6.0,3.0,24.0,253.0,60.0,30.0,83.0,1249.0,44.0,12.0,735.0,15.0,298.0,11.0,80.0,25.0,21.0,8.0,494.0,38.0,252.0,192.0
2361,0.0,123.0,1.0,66.0,10.0,40.0,15.0,4.0,133.0,6.0,5.0,750.0,59.0,14.0,54.0,18.0,24.0,12.0,94.0,16.0,358.0,33.0,72.0,25.0,13.0,31.0,92.0,8.0,860.0,145.0
2410,2.0,35.0,0.0,56.0,1.0,10.0,14.0,7.0,501.0,49.0,4.0,145.0,81.0,33.0,47.0,727.0,112.0,36.0,399.0,9.0,137.0,29.0,6.0,98.0,102.0,28.0,323.0,21.0,91.0,226.0
2459,48.0,6.0,90.0,4.0,11.0,25.0,1.0,18.0,3.0,215.0,51.0,27.0,73.0,16.0,31.0,9.0,26.0,181.0,86.0,30.0,58.0,227.0,49.0,17.0,124.0,119.0,14.0,133.0,12.0,38.0
2508,1.0,0.0,50.0,2.0,40.0,18.0,9.0,7.0,6.0,17.0,23.0,80.0,22.0,24.0,33.0,20.0,106.0,125.0,10.0,67.0,135.0,46.0,142.0,41.0,620.0,167.0,100.0,34.0,36.0,31.0
2557,6.0,1.0,47.0,9.0,70.0,19.0,0.0,39.0,32.0,62.0,4.0,28.0,30.0,12.0,2.0,130.0,41.0,150.0,43.0,179.0,10.0,306.0,13.0,24.0,288.0,31.0,697.0,82.0,14.0,8.0
2606,21.0,17.0,1.0,2.0,97.0,51.0,0.0,113.0,28.0,105.0,122.0,41.0,64.0,35.0,71.0,3.0,18.0,54.0,118.0,119.0,226.0,131.0,114.0,7.0,165.0,173.0,153.0,84.0,12.0,5.0
2655,0.0,16.0,283.0,4.0,123.0,7.0,1.0,27.0,58.0,329.0,107.0,33.0,36.0,43.0,13.0,77.0,3.0,61.0,2.0,191.0,136.0,244.0,40.0,8.0,584.0,213.0,185.0,101.0,17.0,19.0
2704,3.0,0.0,5.0,8.0,68.0,6.0,12.0,13.0,16.0,57.0,40.0,19.0,30.0,32.0,23.0,4.0,38.0,35.0,7.0,79.0,125.0,314.0,173.0,20.0,1406.0,262.0,71.0,24.0,33.0,66.0
2753,22.0,1.0,9.0,4.0,295.0,48.0,3.0,86.0,10.0,273.0,17.0,81.0,115.0,7.0,29.0,0.0,21.0,13.0,56.0,132.0,60.0,451.0,42.0,50.0,276.0,75.0,482.0,23.0,137.0,201.0
2802,30.0,0.0,230.0,2.0,23.0,34.0,1.0,139.0,11.0,83.0,8.0,35.0,67.0,9.0,25.0,3.0,10.0,17.0,28.0,290.0,89.0,154.0,54.0,16.0,282.0,60.0,39.0,75.0,57.0,140.0
2851,7.0,13.0,5.0,15.0,37.0,36.0,0.0,23.0,109.0,48.0,44.0,84.0,22.0,26.0,1.0,56.0,12.0,130.0,28.0,127.0,35.0,50.0,17.0,10.0,1591.0,66.0,79.0,253.0,43.0,4.0
2900,15.0,1.0,25.0,0.0,42.0,86.0,7.0,3.0,26.0,34.0,68.0,8.0,181.0,128.0,9.0,4.0,2.0,265.0,6.0,78.0,57.0,110.0,36.0,13.0,781.0,94.0,150.0,87.0,21.0,14.0
2949,1.0,4.0,14.0,17.0,6.0,136.0,0.0,16.0,187.0,106.0,28.0,61.0,39.0,487.0,18.0,74.0,88.0,23.0,886.0,21.0,7.0,47.0,172.0,3.0,9.0,99.0,470.0,351.0,110.0,2.0
2998,12.0,7.0,5.0,10.0,14.0,184.0,0.0,9.0,13.0,79.0,24.0,81.0,121.0,88.0,128.0,59.0,1216.0,19.0,819.0,4.0,2.0,21.0,68.0,17.0,78.0,49.0,606.0,305.0,8.0,32.0
3047,0.0,28.0,2.0,1.0,4.0,18.0,14.0,12.0,33.0,22.0,54.0,115.0,27.0,164.0,69.0,23.0,64.0,16.0,616.0,11.0,8.0,84.0,44.0,9.0,13.0,326.0,332.0,198.0,6.0,3.0
3096,6.0,157.0,1.0,14.0,19.0,36.0,252.0,40.0,2.0,8.0,39.0,110.0,26.0,74.0,63.0,41.0,1233.0,35.0,438.0,5.0,13.0,192.0,25.0,31.0,4.0,177.0,71.0,52.0,30.0,0.0
3145,27.0,11.0,8.0,20.0,1.0,19.0,7.0,6.0,4.0,26.0,839.0,13.0,29.0,261.0,18.0,66.0,204.0,327.0,129.0,67.0,36.0,41.0,44.0,15.0,42.0,277.0,202.0,33.0,123.0,0.0
3194,4.0,106.0,7.0,6.0,1.0,9.0,0.0,2.0,22.0,47.0,21.0,82.0,54.0,188.0,37.0,518.0,66.0,227.0,44.0,3.0,5.0,17.0,58.0,12.0,70.0,619.0,34.0,55.0,25.0,39.0
3243,11.0,19.0,6.0,5.0,0.0,1.0,57.0,10.0,74.0,152.0,47.0,145.0,8.0,232.0,9.0,774.0,566.0,7.0,3.0,15.0,67.0,179.0,95.0,73.0,2.0,121.0,48.0,63.0,16.0,35.0
3292,6.0,8.0,0.0,24.0,5.0,23.0,3.0,4.0,1.0,846.0,669.0,29.0,50.0,321.0,25.0,229.0,100.0,194.0,276.0,70.0,2.0,90.0,34.0,30.0,21.0,285.0,18.0,147.0,11.0,10.0
3341,3.0,111.0,6.0,1.0,0.0,14.0,7.0,2.0,12.0,24.0,181.0,58.0,57.0,195.0,201.0,43.0,95.0,9.0,35.0,28.0,23.0,48.0,53.0,20.0,5.0,65.0,76.0,233.0,25.0,15.0
3390,30.0,1.0,7.0,4.0,0.0,12.0,34.0,8.0,2.0,13.0,20.0,143.0,16.0,153.0,36.0,14.0,163.0,17.0,219.0,46.0,10.0,184.0,60.0,63.0,3.0,255.0,25.0,181.0,9.0,26.0
3439,2.0,0.0,1.0,10.0,284.0,14.0,52.0,56.0,541.0,7.0,19.0,30.0,24.0,9.0,28.0,329.0,553.0,4.0,23.0,32.0,13.0,33.0,37.0,584.0,20.0,6.0,64.0,59.0,35.0,171.0
3488,2.0,0.0,3.0,85.0,56.0,5.0,36.0,51.0,76.0,60.0,20.0,61.0,92.0,34.0,8.0,10.0,21.0,7.0,59.0,33.0,13.0,64.0,88.0,335.0,9.0,26.0,1.0,152.0,24.0,124.0
3537,2.0,5.0,9.0,0.0,1.0,7.0,105.0,8.0,23.0,84.0,4.0,50.0,193.0,43.0,3.0,15.0,122.0,13.0,16.0,118.0,6.0,119.0,285.0,299.0,21.0,44.0,26.0,41.0,62.0,83.0
3586,2.0,0.0,1.0,17.0,35.0,5.0,3.0,11.0,485.0,33.0,8.0,46.0,82.0,34.0,4.0,28.0,182.0,16.0,81.0,31.0,15.0,58.0,158.0,213.0,49.0,26.0,47.0,19.0,52.0,406.0
3635,4.0,1.0,10.0,6.0,28.0,0.0,124.0,8.0,30.0,9.0,29.0,24.0,37.0,38.0,2.0,216.0,118.0,5.0,80.0,19.0,11.0,64.0,362.0,1224.0,22.0,14.0,47.0,266.0,76.0,46.0
3684,1.0,8.0,4.0,15.0,40.0,7.0,0.0,11.0,67.0,34.0,27.0,25.0,124.0,30.0,3.0,84.0,32.0,33.0,14.0,38.0,2.0,46.0,454.0,260.0,13.0,28.0,44.0,62.0,80.0,71.0
3733,0.0,1.0,3.0,6.0,168.0,2.0,88.0,27.0,17.0,12.0,7.0,29.0,63.0,28.0,13.0,10.0,45.0,5.0,273.0,58.0,4.0,210.0,138.0,548.0,16.0,46.0,36.0,19.0,70.0,349.0
3782,24.0,2.0,5.0,0.0,8.0,1.0,11.0,18.0,46.0,7.0,22.0,20.0,115.0,29.0,43.0,174.0,31.0,14.0,86.0,53.0,16.0,33.0,149.0,750.0,6.0,42.0,4.0,21.0,40.0,253.0
3831,11.0,3.0,9.0,4.0,6.0,0.0,8.0,25.0,112.0,29.0,34.0,12.0,101.0,15.0,31.0,1066.0,266.0,10.0,23.0,19.0,17.0,26.0,268.0,1067.0,1.0,75.0,5.0,18.0,21.0,147.0
3880,2.0,0.0,104.0,1.0,36.0,10.0,7.0,62.0,49.0,8.0,39.0,41.0,29.0,19.0,4.0,76.0,117.0,3.0,22.0,153.0,14.0,94.0,494.0,334.0,11.0,15.0,129.0,161.0,146.0,63.0
3929,1.0,5.0,35.0,3.0,7.0,6.0,56.0,51.0,198.0,2.0,18.0,24.0,10.0,4.0,13.0,0.0,46.0,27.0,459.0,15.0,97.0,132.0,48.0,43.0,33.0,39.0,8.0,91.0,448.0,86.0
3978,0.0,3.0,32.0,6.0,19.0,2.0,5.0,55.0,46.0,4.0,20.0,23.0,8.0,10.0,29.0,9.0,173.0,11.0,4404.0,47.0,122.0,54.0,33.0,296.0,85.0,218.0,30.0,96.0,559.0,67.0
4027,0.0,1.0,23.0,5.0,37.0,6.0,9.0,40.0,4.0,8.0,12.0,22.0,10.0,2.0,59.0,3.0,19.0,11.0,110.0,28.0,242.0,74.0,29.0,151.0,127.0,31.0,109.0,213.0,62.0,64.0
4076,1.0,25.0,3.0,4.0,8.0,5.0,59.0,317.0,18.0,10.0,19.0,30.0,0.0,12.0,27.0,2.0,257.0,17.0,6563.0,7.0,266.0,44.0,22.0,41.0,115.0,151.0,349.0,130.0,61.0,21.0
4125,0.0,9.0,165.0,1.0,4.0,5.0,62.0,26.0,187.0,2.0,15.0,25.0,11.0,17.0,16.0,6.0,41.0,18.0,55.0,13.0,403.0,158.0,23.0,233.0,208.0,51.0,162.0,375.0,191.0,7.0
4174,0.0,2.0,37.0,5.0,4.0,1.0,613.0,23.0,66.0,13.0,22.0,21.0,7.0,10.0,24.0,3.0,87.0,8.0,85.0,31.0,594.0,46.0,9.0,155.0,113.0,282.0,121.0,82.0,41.0,70.0
4223,1.0,4.0,28.0,11.0,43.0,2.0,10.0,15.0,152.0,7.0,327.0,18.0,3.0,8.0,207.0,0.0,61.0,12.0,82.0,14.0,175.0,20.0,21.0,104.0,31.0,65.0,60.0,174.0,26.0,13.0
4272,5.0,3.0,1.0,19.0,14.0,0.0,33.0,21.0,98.0,4.0,15.0,40.0,7.0,11.0,10.0,9.0,35.0,12.0,253.0,20.0,66.0,52.0,49.0,417.0,150.0,75.0,91.0,62.0,74.0,23.0
4321,0.0,10.0,92.0,9.0,23.0,2.0,297.0,371.0,245.0,15.0,8.0,24.0,6.0,3.0,22.0,1.0,103.0,12.0,55.0,57.0,390.0,256.0,38.0,101.0,35.0,18.0,104.0,44.0,231.0,46.0
4370,0.0,3.0,75.0,95.0,15.0,45.0,167.0,33.0,253.0,6.0,11.0,101.0,5.0,2.0,10.0,1.0,19.0,47.0,39.0,17.0,20.0,127.0,56.0,120.0,99.0,102.0,157.0,90.0,195.0,49.0
4419,3.0,87.0,4.0,1.0,2.0,7.0,46.0,29.0,0.0,50.0,13.0,33.0,25.0,158.0,111.0,171.0,122.0,227.0,17.0,48.0,35.0,10.0,91.0,42.0,108.0,82.0,90.0,11.0,53.0,135.0
4468,1.0,5.0,4.0,2.0,0.0,29.0,30.0,11.0,3.0,25.0,47.0,17.0,7.0,117.0,53.0,15.0,674.0,152.0,8.0,27.0,48.0,71.0,9.0,10.0,82.0,45.0,85.0,54.0,114.0,31.0
4517,4.0,3.0,1.0,8.0,0.0,2.0,7.0,6.0,52.0,35.0,63.0,16.0,12.0,185.0,306.0,22.0,96.0,381.0,32.0,45.0,61.0,5.0,68.0,14.0,15.0,82.0,37.0,17.0,142.0,101.0
4566,0.0,2.0,3.0,4.0,9.0,5.0,14.0,7.0,1.0,20.0,15.0,30.0,48.0,198.0,19.0,8.0,18.0,108.0,77.0,38.0,17.0,40.0,330.0,71.0,155.0,88.0,47.0,42.0,376.0,216.0
4615,0.0,8.0,2.0,9.0,1.0,10.0,88.0,15.0,55.0,365.0,4.0,59.0,23.0,90.0,53.0,399.0,66.0,45.0,29.0,51.0,72.0,50.0,38.0,286.0,7.0,61.0,28.0,36.0,21.0,1099.0
4664,0.0,4.0,3.0,9.0,1.0,2.0,15.0,10.0,6.0,77.0,231.0,22.0,54.0,194.0,25.0,191.0,242.0,93.0,52.0,14.0,29.0,31.0,27.0,110.0,20.0,83.0,117.0,12.0,35.0,58.0
4713,2.0,0.0,7.0,17.0,1.0,20.0,15.0,93.0,19.0,37.0,3.0,22.0,11.0,68.0,63.0,6.0,56.0,97.0,9.0,107.0,46.0,16.0,5.0,51.0,83.0,77.0,157.0,41.0,217.0,29.0
4762,2.0,18.0,0.0,8.0,1.0,16.0,13.0,6.0,4.0,45.0,17.0,56.0,51.0,165.0,15.0,203.0,131.0,115.0,12.0,10.0,85.0,30.0,48.0,127.0,76.0,146.0,9.0,21.0,66.0,25.0
4811,6.0,5.0,0.0,7.0,4.0,359.0,180.0,16.0,1.0,44.0,10.0,30.0,133.0,24.0,557.0,13.0,475.0,138.0,2.0,14.0,40.0,126.0,59.0,194.0,129.0,18.0,1507.0,38.0,55.0,107.0
4860,43.0,2.0,1.0,6.0,0.0,9.0,4.0,5.0,3.0,36.0,8.0,22.0,19.0,373.0,91.0,83.0,39.0,223.0,42.0,10.0,16.0,102.0,76.0,84.0,12.0,247.0,45.0,30.0,29.0,98.0
