,CDK1,HSP70,MSH6,Beclin,MIG-6,P-Cadherin,C-Raf_pS338,MAPK_pT202_Y204,STAT5-alpha,MEK1_pS217_S221,Caspase-7_cleavedD198,p38_pT180_Y182,IRS1,SHP-2_pY542,Myosin IIa pS1943,Cyclin_D1,p90RSK_pT359_S363,Porin,VAV1,GSK-3-BETA,p38_MAPK,AMPK_pT172,TIGAR,p90RSK_pT573,p53,Src_pY416,Shc_pY317,Rb_pS807_S811,YB-1_pS102,Bcl-2
1522,0.0,6.0,22.0,2.0,1.0,10.0,5.0,17.0,15.0,3.0,7.0,19.0,9.0,4.0,16.0,12.0,25.0,13.0,30.0,24.0,11.0,98.0,8.0,28.0,23.0,14.0,31.0,29.0,18.0,91.0
1571,0.0,1.0,13.0,11.0,5.0,7.0,83.0,8.0,3.0,2.0,4.0,9.0,14.0,16.0,19.0,6.0,20.0,61.0,31.0,12.0,18.0,100.0,10.0,22.0,21.0,27.0,73.0,25.0,23.0,92.0
1620,0.0,4.0,14.0,1.0,8.0,2.0,15.0,10.0,20.0,7.0,6.0,3.0,9.0,11.0,25.0,18.0,28.0,30.0,12.0,19.0,13.0,101.0,5.0,21.0,34.0,79.0,54.0,61.0,17.0,93.0
1669,0.0,2.0,25.0,7.0,4.0,3.0,24.0,5.0,12.0,1.0,6.0,21.0,13.0,11.0,10.0,14.0,23.0,70.0,17.0,28.0,9.0,101.0,8.0,18.0,56.0,39.0,20.0,22.0,15.0,35.0
1718,0.0,15.0,18.0,11.0,2.0,1.0,28.0,5.0,8.0,3.0,9.0,16.0,10.0,13.0,14.0,4.0,12.0,22.0,25.0,6.0,7.0,99.0,17.0,20.0,43.0,24.0,62.0,31.0,21.0,23.0
1767,0.0,4.0,12.0,5.0,2.0,11.0,25.0,6.0,9.0,3.0,7.0,14.0,15.0,1.0,24.0,16.0,18.0,61.0,23.0,10.0,17.0,98.0,27.0,30.0,20.0,54.0,22.0,13.0,21.0,88.0
1816,0.0,5.0,32.0,6.0,8.0,3.0,35.0,2.0,9.0,12.0,4.0,1.0,7.0,14.0,15.0,33.0,16.0,27.0,22.0,13.0,29.0,103.0,11.0,18.0,37.0,30.0,39.0,10.0,19.0,96.0
1865,0.0,6.0,7.0,2.0,4.0,1.0,21.0,11.0,15.0,5.0,3.0,12.0,13.0,9.0,29.0,17.0,27.0,26.0,32.0,10.0,35.0,20.0,8.0,19.0,14.0,30.0,22.0,60.0,18.0,24.0
1914,0.0,3.0,11.0,5.0,2.0,4.0,19.0,8.0,17.0,1.0,20.0,16.0,25.0,10.0,9.0,6.0,30.0,13.0,12.0,14.0,7.0,97.0,18.0,31.0,15.0,22.0,69.0,27.0,21.0,23.0
1963,3.0,10.0,0.0,9.0,2.0,5.0,4.0,8.0,1.0,13.0,20.0,11.0,21.0,6.0,15.0,123.0,72.0,19.0,16.0,28.0,54.0,7.0,44.0,71.0,22.0,35.0,17.0,14.0,26.0,91.0
2012,0.0,8.0,1.0,5.0,3.0,13.0,14.0,17.0,2.0,25.0,24.0,18.0,22.0,7.0,9.0,10.0,16.0,32.0,21.0,108.0,11.0,26.0,35.0,12.0,70.0,44.0,28.0,4.0,6.0,27.0
2061,0.0,3.0,5.0,8.0,2.0,7.0,14.0,12.0,1.0,19.0,6.0,13.0,9.0,21.0,33.0,17.0,28.0,38.0,35.0,122.0,53.0,18.0,24.0,15.0,10.0,27.0,11.0,4.0,20.0,34.0
2110,0.0,7.0,6.0,5.0,4.0,3.0,2.0,15.0,1.0,31.0,12.0,9.0,38.0,19.0,18.0,13.0,17.0,8.0,37.0,114.0,25.0,14.0,30.0,22.0,33.0,20.0,24.0,10.0,28.0,90.0
2159,0.0,15.0,5.0,4.0,1.0,2.0,3.0,28.0,6.0,9.0,7.0,26.0,37.0,13.0,11.0,22.0,18.0,21.0,42.0,110.0,32.0,16.0,14.0,51.0,12.0,60.0,31.0,25.0,10.0,30.0
2208,0.0,1.0,10.0,4.0,2.0,5.0,9.0,16.0,7.0,18.0,14.0,23.0,3.0,6.0,19.0,31.0,27.0,70.0,52.0,29.0,36.0,15.0,20.0,13.0,26.0,30.0,24.0,11.0,8.0,25.0
2257,0.0,5.0,4.0,8.0,2.0,6.0,1.0,9.0,3.0,30.0,18.0,33.0,19.0,16.0,7.0,15.0,36.0,27.0,20.0,23.0,37.0,92.0,31.0,12.0,11.0,57.0,34.0,13.0,10.0,21.0
2306,0.0,6.0,3.0,2.0,1.0,8.0,13.0,4.0,5.0,20.0,9.0,26.0,18.0,10.0,19.0,16.0,30.0,25.0,21.0,14.0,73.0,94.0,29.0,24.0,17.0,27.0,11.0,7.0,12.0,32.0
2355,0.0,5.0,1.0,4.0,6.0,14.0,3.0,12.0,8.0,7.0,9.0,11.0,16.0,13.0,21.0,39.0,32.0,20.0,28.0,109.0,30.0,34.0,47.0,68.0,18.0,26.0,29.0,2.0,22.0,23.0
2404,0.0,8.0,4.0,2.0,5.0,3.0,6.0,16.0,1.0,32.0,31.0,33.0,12.0,7.0,15.0,123.0,53.0,26.0,11.0,117.0,22.0,105.0,19.0,13.0,14.0,55.0,9.0,10.0,23.0,17.0
2453,4.0,1.0,0.0,2.0,15.0,16.0,3.0,5.0,19.0,6.0,28.0,17.0,35.0,65.0,11.0,43.0,29.0,20.0,27.0,113.0,7.0,9.0,59.0,34.0,45.0,38.0,67.0,21.0,106.0,8.0
2502,0.0,9.0,34.0,2.0,10.0,3.0,7.0,13.0,1.0,38.0,11.0,29.0,12.0,62.0,5.0,88.0,15.0,36.0,35.0,23.0,16.0,28.0,55.0,8.0,48.0,59.0,63.0,19.0,83.0,20.0
2551,1.0,6.0,0.0,22.0,10.0,2.0,8.0,9.0,7.0,23.0,13.0,20.0,128.0,64.0,3.0,25.0,11.0,4.0,33.0,24.0,16.0,31.0,56.0,19.0,17.0,60.0,65.0,5.0,112.0,28.0
2600,1.0,3.0,0.0,5.0,8.0,2.0,7.0,30.0,4.0,27.0,28.0,9.0,10.0,56.0,12.0,25.0,11.0,20.0,6.0,135.0,13.0,29.0,58.0,44.0,19.0,53.0,66.0,18.0,117.0,24.0
2649,0.0,1.0,13.0,3.0,20.0,10.0,2.0,6.0,8.0,9.0,18.0,14.0,16.0,60.0,7.0,121.0,34.0,21.0,4.0,31.0,15.0,99.0,54.0,26.0,38.0,58.0,61.0,5.0,119.0,106.0
2698,1.0,4.0,12.0,9.0,18.0,0.0,8.0,5.0,7.0,17.0,14.0,16.0,35.0,65.0,11.0,108.0,25.0,3.0,13.0,113.0,2.0,22.0,59.0,30.0,15.0,34.0,66.0,10.0,111.0,38.0
2747,0.0,3.0,7.0,1.0,5.0,4.0,8.0,11.0,12.0,19.0,23.0,36.0,24.0,29.0,28.0,10.0,33.0,21.0,41.0,117.0,6.0,15.0,46.0,34.0,32.0,25.0,40.0,9.0,83.0,13.0
2796,0.0,1.0,12.0,7.0,9.0,6.0,2.0,10.0,34.0,17.0,32.0,15.0,20.0,65.0,3.0,35.0,4.0,8.0,31.0,33.0,13.0,27.0,58.0,18.0,23.0,37.0,66.0,22.0,84.0,19.0
2845,1.0,6.0,5.0,2.0,0.0,3.0,14.0,8.0,12.0,21.0,16.0,20.0,15.0,59.0,4.0,24.0,19.0,31.0,11.0,106.0,25.0,29.0,48.0,13.0,9.0,28.0,60.0,18.0,82.0,10.0
2894,2.0,3.0,7.0,5.0,1.0,19.0,22.0,15.0,8.0,9.0,25.0,6.0,12.0,73.0,4.0,97.0,61.0,14.0,41.0,119.0,11.0,37.0,53.0,28.0,17.0,59.0,72.0,16.0,112.0,24.0
2943,0.0,9.0,1.0,7.0,28.0,6.0,13.0,4.0,5.0,8.0,14.0,3.0,40.0,18.0,17.0,16.0,22.0,2.0,15.0,27.0,37.0,53.0,24.0,47.0,50.0,35.0,11.0,10.0,21.0,19.0
2992,0.0,12.0,3.0,5.0,14.0,1.0,8.0,2.0,9.0,4.0,6.0,20.0,11.0,21.0,30.0,25.0,38.0,26.0,17.0,10.0,13.0,15.0,23.0,36.0,31.0,79.0,29.0,28.0,109.0,27.0
3041,2.0,3.0,0.0,1.0,16.0,9.0,5.0,6.0,4.0,11.0,33.0,7.0,36.0,66.0,14.0,12.0,39.0,20.0,22.0,29.0,17.0,37.0,10.0,28.0,46.0,18.0,15.0,34.0,109.0,21.0
3090,7.0,9.0,0.0,8.0,2.0,17.0,3.0,12.0,19.0,11.0,5.0,4.0,20.0,10.0,21.0,6.0,41.0,14.0,18.0,13.0,23.0,26.0,65.0,40.0,43.0,28.0,25.0,76.0,29.0,105.0
3139,4.0,5.0,6.0,0.0,2.0,1.0,17.0,7.0,14.0,3.0,27.0,10.0,25.0,12.0,9.0,18.0,38.0,20.0,16.0,8.0,47.0,58.0,21.0,23.0,46.0,35.0,11.0,78.0,30.0,103.0
3188,1.0,0.0,3.0,5.0,8.0,13.0,4.0,2.0,6.0,7.0,14.0,17.0,22.0,12.0,41.0,31.0,19.0,20.0,16.0,35.0,15.0,36.0,18.0,9.0,37.0,29.0,28.0,30.0,21.0,98.0
3237,5.0,0.0,6.0,3.0,16.0,2.0,4.0,8.0,7.0,10.0,15.0,1.0,37.0,23.0,22.0,17.0,34.0,9.0,12.0,11.0,14.0,18.0,67.0,47.0,49.0,30.0,13.0,19.0,35.0,27.0
3286,1.0,7.0,8.0,6.0,10.0,9.0,17.0,13.0,5.0,4.0,0.0,3.0,55.0,18.0,20.0,19.0,31.0,12.0,28.0,30.0,2.0,97.0,22.0,67.0,29.0,38.0,11.0,26.0,106.0,37.0
3335,0.0,2.0,5.0,6.0,7.0,8.0,3.0,1.0,4.0,15.0,9.0,19.0,35.0,11.0,27.0,121.0,68.0,14.0,17.0,12.0,25.0,31.0,24.0,21.0,20.0,42.0,18.0,32.0,118.0,91.0
3384,0.0,11.0,2.0,23.0,9.0,7.0,17.0,3.0,10.0,21.0,15.0,1.0,12.0,26.0,51.0,4.0,25.0,14.0,5.0,27.0,22.0,89.0,30.0,8.0,32.0,13.0,16.0,19.0,80.0,35.0
3433,0.0,1.0,3.0,22.0,2.0,5.0,14.0,7.0,9.0,32.0,4.0,6.0,13.0,76.0,12.0,8.0,10.0,18.0,16.0,29.0,11.0,17.0,28.0,31.0,19.0,23.0,77.0,20.0,25.0,33.0
3482,2.0,1.0,0.0,9.0,4.0,3.0,7.0,5.0,10.0,26.0,6.0,12.0,30.0,22.0,14.0,23.0,11.0,20.0,13.0,25.0,15.0,16.0,8.0,18.0,59.0,19.0,73.0,78.0,29.0,103.0
3531,1.0,2.0,3.0,15.0,4.0,0.0,6.0,8.0,20.0,53.0,13.0,10.0,17.0,77.0,14.0,11.0,7.0,64.0,9.0,108.0,5.0,31.0,18.0,25.0,28.0,16.0,29.0,44.0,21.0,38.0
3580,1.0,2.0,0.0,6.0,5.0,3.0,4.0,7.0,19.0,48.0,33.0,23.0,11.0,17.0,9.0,35.0,21.0,14.0,10.0,36.0,28.0,8.0,24.0,20.0,15.0,12.0,31.0,69.0,37.0,29.0
3629,4.0,5.0,0.0,16.0,11.0,8.0,2.0,3.0,14.0,20.0,6.0,9.0,1.0,41.0,12.0,15.0,7.0,32.0,13.0,17.0,75.0,22.0,26.0,23.0,10.0,51.0,31.0,71.0,119.0,25.0
3678,1.0,3.0,2.0,9.0,4.0,0.0,10.0,5.0,37.0,12.0,24.0,6.0,7.0,14.0,21.0,22.0,33.0,61.0,13.0,34.0,77.0,19.0,8.0,31.0,28.0,16.0,11.0,35.0,20.0,17.0
3727,3.0,2.0,0.0,7.0,4.0,5.0,9.0,6.0,8.0,15.0,16.0,20.0,11.0,42.0,23.0,19.0,24.0,47.0,1.0,22.0,12.0,13.0,18.0,17.0,38.0,25.0,75.0,77.0,31.0,90.0
3776,0.0,8.0,6.0,12.0,3.0,1.0,5.0,4.0,13.0,15.0,2.0,21.0,11.0,28.0,7.0,35.0,17.0,22.0,23.0,10.0,14.0,18.0,9.0,69.0,39.0,20.0,32.0,48.0,40.0,34.0
3825,2.0,1.0,7.0,16.0,5.0,3.0,0.0,11.0,4.0,27.0,20.0,24.0,6.0,17.0,12.0,18.0,9.0,59.0,8.0,111.0,19.0,13.0,23.0,36.0,73.0,21.0,15.0,71.0,10.0,96.0
3874,8.0,2.0,3.0,13.0,0.0,1.0,6.0,4.0,18.0,7.0,86.0,5.0,9.0,71.0,20.0,15.0,10.0,31.0,14.0,22.0,27.0,25.0,21.0,34.0,26.0,42.0,17.0,41.0,16.0,37.0
3923,0.0,5.0,1.0,9.0,30.0,16.0,23.0,15.0,7.0,18.0,2.0,22.0,3.0,20.0,10.0,4.0,13.0,11.0,52.0,114.0,14.0,8.0,12.0,33.0,6.0,37.0,17.0,66.0,119.0,94.0
3972,2.0,3.0,1.0,4.0,0.0,31.0,6.0,25.0,20.0,11.0,28.0,24.0,8.0,22.0,5.0,14.0,17.0,16.0,29.0,13.0,7.0,33.0,12.0,18.0,10.0,21.0,9.0,58.0,23.0,94.0
4021,1.0,2.0,0.0,8.0,11.0,12.0,10.0,23.0,14.0,29.0,7.0,5.0,6.0,13.0,15.0,4.0,22.0,19.0,17.0,35.0,27.0,95.0,16.0,31.0,9.0,30.0,18.0,24.0,119.0,32.0
4070,1.0,35.0,0.0,8.0,20.0,29.0,5.0,10.0,7.0,34.0,12.0,6.0,4.0,18.0,14.0,2.0,27.0,22.0,30.0,25.0,15.0,13.0,26.0,11.0,9.0,17.0,3.0,73.0,110.0,94.0
4119,4.0,3.0,0.0,24.0,21.0,11.0,6.0,37.0,1.0,13.0,15.0,7.0,5.0,26.0,2.0,8.0,25.0,16.0,29.0,20.0,18.0,22.0,12.0,10.0,19.0,23.0,17.0,76.0,106.0,90.0
4168,2.0,9.0,0.0,15.0,45.0,6.0,14.0,29.0,4.0,20.0,3.0,11.0,7.0,26.0,5.0,22.0,74.0,32.0,8.0,19.0,1.0,21.0,18.0,13.0,12.0,76.0,27.0,55.0,17.0,89.0
4217,1.0,20.0,0.0,19.0,30.0,21.0,17.0,29.0,8.0,32.0,3.0,15.0,9.0,11.0,6.0,2.0,10.0,31.0,38.0,114.0,12.0,118.0,7.0,23.0,5.0,14.0,4.0,37.0,22.0,24.0
4266,1.0,8.0,0.0,14.0,27.0,15.0,10.0,13.0,9.0,19.0,20.0,4.0,6.0,17.0,2.0,16.0,3.0,7.0,80.0,38.0,5.0,29.0,21.0,24.0,12.0,22.0,11.0,72.0,40.0,101.0
4315,6.0,2.0,1.0,4.0,27.0,16.0,19.0,11.0,9.0,15.0,17.0,3.0,0.0,12.0,18.0,5.0,24.0,13.0,10.0,33.0,20.0,21.0,14.0,7.0,26.0,25.0,31.0,32.0,23.0,30.0
4364,0.0,10.0,1.0,5.0,31.0,8.0,13.0,36.0,3.0,35.0,4.0,6.0,11.0,16.0,9.0,2.0,25.0,15.0,32.0,12.0,14.0,90.0,7.0,33.0,20.0,21.0,24.0,67.0,22.0,107.0
4413,1.0,7.0,4.0,11.0,0.0,6.0,5.0,33.0,23.0,14.0,3.0,20.0,15.0,41.0,19.0,24.0,9.0,10.0,36.0,13.0,26.0,2.0,51.0,8.0,29.0,46.0,79.0,68.0,35.0,21.0
4462,1.0,8.0,5.0,9.0,3.0,0.0,2.0,31.0,13.0,4.0,110.0,10.0,27.0,23.0,19.0,15.0,6.0,14.0,26.0,29.0,38.0,7.0,17.0,12.0,49.0,25.0,41.0,36.0,37.0,88.0
4511,0.0,7.0,8.0,11.0,4.0,1.0,15.0,20.0,10.0,9.0,3.0,6.0,14.0,57.0,52.0,17.0,5.0,16.0,19.0,12.0,32.0,2.0,21.0,37.0,67.0,13.0,58.0,35.0,26.0,31.0
4560,3.0,8.0,4.0,2.0,1.0,0.0,12.0,13.0,10.0,7.0,6.0,11.0,15.0,22.0,21.0,14.0,9.0,39.0,20.0,17.0,58.0,5.0,46.0,24.0,26.0,16.0,50.0,61.0,27.0,30.0
4609,1.0,6.0,3.0,5.0,2.0,0.0,7.0,23.0,18.0,8.0,11.0,42.0,19.0,13.0,33.0,15.0,9.0,27.0,21.0,10.0,22.0,4.0,31.0,24.0,12.0,16.0,29.0,64.0,17.0,20.0
4658,0.0,12.0,6.0,5.0,1.0,3.0,11.0,33.0,9.0,4.0,2.0,7.0,24.0,18.0,46.0,26.0,13.0,30.0,14.0,27.0,20.0,8.0,28.0,16.0,10.0,78.0,67.0,19.0,15.0,35.0
4707,6.0,10.0,4.0,20.0,8.0,0.0,5.0,73.0,21.0,3.0,13.0,1.0,15.0,14.0,28.0,34.0,7.0,9.0,19.0,16.0,23.0,2.0,53.0,22.0,17.0,38.0,35.0,64.0,11.0,25.0
4756,2.0,13.0,3.0,9.0,1.0,7.0,17.0,53.0,25.0,0.0,8.0,6.0,34.0,5.0,48.0,84.0,4.0,18.0,12.0,114.0,27.0,10.0,26.0,77.0,11.0,38.0,23.0,66.0,33.0,20.0
4805,1.0,8.0,10.0,5.0,2.0,3.0,11.0,29.0,17.0,6.0,0.0,12.0,26.0,19.0,16.0,38.0,7.0,15.0,34.0,31.0,21.0,13.0,36.0,40.0,33.0,35.0,66.0,23.0,39.0,25.0
4854,0.0,2.0,9.0,7.0,4.0,13.0,1.0,18.0,20.0,3.0,8.0,22.0,11.0,12.0,60.0,17.0,6.0,14.0,29.0,10.0,31.0,5.0,71.0,30.0,36.0,15.0,77.0,84.0,40.0,34.0
