,HLA-DRB6_AMP,HLA-DRB1_AMP,FBXL7_DEL,HLA-DRB5_AMP,ZBTB20_AMP,LGALS9C_DEL,LOC391322_AMP,GSTT1_AMP,HDHD1_DEL,LOC100506776_DEL,SIRPB1_AMP,ADCY8_DEL,DUSP22_DEL,USP32P2_DEL,LRRK1_MUT,PTCH1_AMP,GSTTP2_AMP,NSFP1_DEL,PBX1_MUT,RHD_DEL,HERC2P2_AMP,RBFOX1_DEL,UNC13C_MUT,LOC284260_DEL,RABGAP1L_DEL,SORD_AMP,FMN2_AMP,ARHGEF5_AMP,KIF26B_DEL,HLA-DQB1_AMP
1793,1.0,10.0,24.0,14.0,3.0,15.0,17.0,16.0,11.0,8.0,37.0,13.0,173.0,31.0,29.0,36.0,20.0,18.0,25.0,21.0,613.0,81.0,22.0,53.0,7.0,1878.0,92.0,43.0,9.0,62.0
1842,0.0,1.0,14.0,2.0,5.0,4.0,15.0,16.0,6.0,7.0,143.0,13.0,27.0,11.0,34.0,29.0,20.0,8.0,12.0,19.0,9.0,44.0,32.0,45.0,3.0,157.0,213.0,22.0,47.0,54.0
1891,1.0,18.0,5.0,6.0,4.0,26.0,58.0,57.0,23.0,13.0,0.0,27.0,81.0,61.0,20.0,3.0,70.0,16.0,15.0,12.0,24.0,67.0,25.0,38.0,2.0,129.0,71.0,28.0,9.0,109.0
1940,12.0,11.0,3.0,81.0,0.0,1.0,341.0,340.0,5.0,4.0,8.0,30.0,34.0,19.0,59.0,278.0,342.0,75.0,36.0,23.0,66.0,60.0,27.0,240.0,2.0,116.0,3271.0,78.0,15.0,65.0
1989,0.0,4.0,5.0,2.0,1.0,3.0,10.0,11.0,15.0,185.0,8.0,13.0,18.0,14.0,23.0,328.0,12.0,32.0,306.0,56.0,179.0,21.0,105.0,60.0,9.0,26.0,1892.0,39.0,22.0,207.0
2038,0.0,2.0,1.0,3.0,4.0,6.0,65.0,64.0,17.0,144.0,24.0,9.0,11.0,38.0,118.0,45.0,75.0,8.0,82.0,14.0,21758.0,12.0,107.0,40.0,7.0,50.0,201.0,26.0,46.0,20.0
2087,0.0,2.0,1.0,3.0,4.0,10.0,225.0,224.0,13.0,137.0,67.0,5.0,12.0,94.0,20.0,84.0,328.0,15.0,202.0,17.0,690.0,30.0,138.0,170.0,18.0,21.0,127.0,19.0,22.0,31.0
2136,0.0,1.0,4.0,2.0,3.0,5.0,60.0,59.0,34.0,76.0,31.0,6.0,19.0,11.0,12.0,41.0,78.0,73.0,58.0,27.0,848.0,30.0,787.0,47.0,40.0,83.0,2492.0,15.0,16.0,14.0
2185,0.0,3.0,1.0,4.0,5.0,2.0,76.0,77.0,14.0,39.0,62.0,7.0,20.0,8.0,22.0,121.0,99.0,68.0,53.0,19.0,60.0,13.0,57.0,93.0,12.0,37.0,253.0,10.0,55.0,102.0
2234,0.0,2.0,4.0,3.0,1.0,9.0,115.0,114.0,18.0,887.0,45.0,8.0,13.0,49.0,20.0,55.0,137.0,10.0,174.0,23.0,73.0,7.0,135.0,69.0,70.0,17.0,236.0,54.0,26.0,19.0
2283,0.0,2.0,1.0,3.0,5.0,4.0,189.0,190.0,15.0,25.0,27.0,7.0,8.0,10.0,19.0,84.0,191.0,9.0,110.0,6.0,131.0,22.0,42.0,127.0,31.0,85.0,49.0,20.0,28.0,108.0
2332,0.0,2.0,4.0,3.0,1.0,5.0,96.0,95.0,23.0,123.0,6.0,17.0,26.0,20.0,9.0,48.0,136.0,8.0,72.0,35.0,19208.0,14.0,77.0,234.0,7.0,38.0,40.0,47.0,11.0,41.0
2381,0.0,4.0,1.0,2.0,3.0,11.0,148.0,149.0,23.0,79.0,5.0,14.0,15.0,102.0,18.0,61.0,191.0,13.0,66.0,27.0,1165.0,6.0,410.0,55.0,22.0,7.0,1416.0,20.0,24.0,97.0
2430,0.0,1.0,2.0,4.0,9.0,3.0,3227.0,3228.0,7.0,192.0,15.0,24.0,14.0,23.0,94.0,3676.0,7173.0,6.0,53.0,63.0,14739.0,5.0,147.0,114.0,11.0,22.0,37.0,74.0,27.0,86.0
2479,0.0,1.0,3.0,4.0,14.0,8.0,44.0,43.0,6.0,16.0,65.0,9.0,12.0,32.0,33.0,11.0,62.0,48.0,10.0,7.0,2.0,15.0,28.0,20.0,445.0,39.0,37.0,96.0,100.0,17.0
2528,2.0,1.0,0.0,5.0,32.0,3.0,21.0,22.0,6.0,55.0,71.0,83.0,16.0,8.0,105.0,213.0,25.0,42.0,11.0,53.0,10.0,13.0,31.0,7.0,58.0,20.0,23.0,554.0,82.0,12.0
2577,0.0,1.0,6.0,2.0,4.0,32.0,40.0,41.0,29.0,30.0,27.0,11.0,47.0,34.0,14.0,10.0,46.0,51.0,8.0,16.0,3.0,67.0,33.0,9.0,182.0,170.0,18.0,36.0,61.0,5.0
2626,0.0,1.0,3.0,2.0,8.0,6.0,194.0,193.0,28.0,76.0,5.0,65.0,31.0,39.0,11.0,4.0,248.0,16.0,7.0,36.0,35.0,47.0,27.0,9.0,77.0,15.0,96.0,97.0,78.0,18.0
2675,0.0,1.0,3.0,2.0,6.0,4.0,132.0,130.0,9.0,422.0,10.0,16.0,11.0,13.0,33.0,228.0,131.0,15.0,78.0,12.0,28.0,5.0,84.0,66.0,35.0,14.0,127.0,70.0,88.0,17.0
2724,0.0,4.0,11.0,5.0,104.0,9.0,83.0,84.0,36.0,137.0,13.0,16.0,109.0,17.0,15.0,6.0,110.0,134.0,60.0,12.0,1.0,38.0,14.0,66.0,82.0,2.0,30.0,114.0,129.0,27.0
2773,0.0,1.0,2.0,5.0,6.0,14.0,478.0,477.0,12.0,375.0,10.0,42.0,59.0,85.0,19.0,46.0,984.0,21.0,35.0,153.0,15.0,17.0,141.0,11.0,119.0,9.0,79.0,43.0,49.0,7.0
2822,0.0,1.0,5.0,2.0,3.0,13.0,19.0,20.0,98.0,21.0,27.0,76.0,159.0,46.0,15.0,10.0,26.0,70.0,7.0,24.0,4.0,12.0,8.0,11.0,69.0,14.0,9.0,114.0,145.0,6.0
2871,0.0,2.0,1.0,5.0,10.0,7.0,3.0,4.0,20.0,76.0,45.0,22.0,27.0,35.0,59.0,29.0,6.0,69.0,24.0,54.0,164.0,37.0,19.0,23.0,133.0,85.0,186.0,134.0,42.0,8.0
2920,0.0,1.0,2.0,3.0,13.0,133.0,134.0,135.0,17.0,41.0,71.0,24.0,9.0,285.0,97.0,10.0,190.0,16.0,23.0,21.0,11.0,26.0,7.0,18.0,61.0,8501.0,12.0,33.0,73.0,19.0
2969,0.0,1.0,4.0,2.0,33.0,20.0,39.0,38.0,45.0,19.0,6.0,41.0,63.0,54.0,21.0,8.0,53.0,35.0,9.0,7.0,333.0,44.0,22.0,26.0,62.0,3.0,50.0,51.0,52.0,69.0
3018,0.0,5.0,21.0,17.0,22.0,14.0,12.0,13.0,19.0,6.0,133.0,4.0,191.0,33.0,15.0,10.0,11.0,54.0,26.0,3.0,2.0,9.0,20.0,68.0,100.0,76.0,1.0,8.0,120.0,592.0
3067,0.0,1.0,4.0,3.0,6.0,13.0,11.0,10.0,68.0,14.0,35.0,15.0,44.0,9.0,25.0,7.0,17.0,16.0,28.0,2.0,5.0,20.0,12.0,32.0,72.0,60.0,27.0,30.0,39.0,75.0
3116,1.0,0.0,2.0,9.0,49.0,3.0,190.0,189.0,53.0,5.0,66.0,126.0,51.0,7.0,116.0,22.0,294.0,16.0,10.0,15.0,78.0,18.0,6.0,38.0,17.0,92.0,8.0,87.0,25.0,267.0
3165,0.0,1.0,6.0,3.0,7.0,10.0,221.0,220.0,114.0,4.0,155.0,12.0,61.0,11.0,19.0,5.0,380.0,190.0,8.0,9.0,57.0,112.0,51.0,69.0,124.0,285.0,29.0,17.0,79.0,111.0
3214,0.0,1.0,7.0,2.0,31.0,5.0,28.0,29.0,19.0,20.0,4.0,8.0,17.0,6.0,14.0,64.0,44.0,13.0,76.0,3.0,16.0,15.0,53.0,199.0,38.0,50.0,82.0,9.0,23.0,140.0
3263,0.0,1.0,2.0,3.0,7.0,8.0,9.0,10.0,19.0,5.0,69.0,11.0,17.0,38.0,100.0,14.0,12.0,34.0,27.0,6.0,36.0,18.0,37.0,25.0,53.0,16.0,4.0,13.0,28.0,173.0
3312,0.0,3.0,4.0,1.0,2.0,5.0,44.0,43.0,39.0,9.0,155.0,23.0,88.0,33.0,11.0,17.0,55.0,29.0,8.0,6.0,414.0,12.0,26.0,25.0,32.0,28.0,7.0,16.0,24.0,216.0
3361,0.0,1.0,6.0,2.0,8.0,3.0,142.0,141.0,47.0,16.0,22.0,24.0,65.0,5.0,23.0,11.0,207.0,25.0,14.0,4.0,7.0,33.0,12.0,44.0,274.0,49.0,182.0,15.0,26.0,57.0
3410,1.0,5.0,2.0,13.0,3.0,0.0,7.0,6.0,45.0,22.0,58.0,10.0,48.0,4.0,25.0,14.0,9.0,12.0,16.0,11.0,15.0,55.0,91.0,42.0,41.0,18.0,118.0,8.0,77.0,131.0
3459,0.0,3.0,2.0,5.0,90.0,4.0,87.0,86.0,43.0,39.0,1.0,38.0,15.0,10.0,16.0,25.0,124.0,20.0,357.0,17.0,173.0,6.0,45.0,244.0,19.0,24.0,22.0,21.0,60.0,188.0
3508,0.0,1.0,3.0,2.0,19.0,6.0,70.0,72.0,12.0,16.0,4.0,17.0,35.0,15.0,22.0,14.0,71.0,38.0,146.0,36.0,55.0,5.0,25.0,21.0,9.0,10.0,13.0,20.0,39.0,58.0
3557,0.0,1.0,9.0,5.0,29.0,24.0,110.0,111.0,77.0,2.0,3.0,37.0,25.0,54.0,22.0,10.0,172.0,35.0,41.0,14.0,47.0,6.0,13.0,32.0,23.0,4.0,8.0,20.0,45.0,90.0
3606,0.0,2.0,3.0,7.0,94.0,1.0,17.0,16.0,21.0,24.0,45.0,10.0,6.0,4.0,19.0,9.0,22.0,89.0,75.0,12.0,5.0,8.0,36.0,46.0,33.0,20.0,23.0,13.0,119.0,124.0
3655,1.0,0.0,13.0,17.0,71.0,2.0,175.0,176.0,8.0,3.0,23.0,25.0,12.0,10.0,96.0,29.0,262.0,101.0,61.0,30.0,129.0,7.0,26.0,57.0,11.0,9.0,51.0,27.0,38.0,31.0
3704,0.0,1.0,3.0,2.0,29.0,10.0,17.0,18.0,36.0,8.0,9.0,5.0,20.0,11.0,27.0,7.0,25.0,34.0,198.0,24.0,13.0,4.0,15.0,35.0,63.0,6.0,16.0,46.0,32.0,154.0
3753,0.0,2.0,1.0,12.0,149.0,43.0,11.0,10.0,6.0,3.0,60.0,22.0,29.0,134.0,20.0,21.0,16.0,30.0,97.0,85.0,98.0,7.0,50.0,74.0,33.0,8.0,23.0,59.0,66.0,123.0
3802,1.0,2.0,0.0,4.0,17.0,3.0,155.0,156.0,21.0,25.0,24.0,27.0,7.0,28.0,36.0,9.0,203.0,291.0,91.0,54.0,353.0,13.0,6.0,23.0,82.0,5.0,14.0,37.0,142.0,43.0
3851,0.0,1.0,3.0,5.0,50.0,27.0,393.0,392.0,16.0,9.0,11.0,7.0,23.0,53.0,213.0,19.0,740.0,49.0,80.0,13.0,65.0,4.0,25.0,24.0,15.0,18.0,32.0,8.0,61.0,107.0
3900,0.0,1.0,13.0,2.0,17.0,64.0,46.0,47.0,45.0,8.0,65.0,7.0,60.0,89.0,32.0,5.0,62.0,127.0,76.0,16.0,6.0,12.0,182.0,29.0,9.0,141.0,30.0,3.0,35.0,82.0
3949,0.0,1.0,3.0,2.0,15.0,5.0,10.0,11.0,20.0,74.0,13.0,14.0,4.0,8.0,43.0,68.0,12.0,141.0,55.0,90.0,6.0,48.0,21.0,7.0,27.0,40.0,9.0,28.0,135.0,26.0
3998,0.0,1.0,3.0,2.0,15.0,8.0,4.0,6.0,10.0,714.0,16.0,12.0,7.0,27.0,21.0,381.0,5.0,48.0,1146.0,63.0,51.0,47.0,143.0,186.0,101.0,25.0,13.0,103.0,46.0,54.0
4047,1.0,0.0,10.0,2.0,42.0,13.0,18.0,16.0,46.0,8.0,333.0,188.0,3.0,35.0,156.0,138.0,17.0,49.0,29.0,4679.0,7.0,67.0,104.0,37.0,47.0,58.0,4.0,335.0,20.0,6.0
4096,1.0,5.0,0.0,3.0,88.0,12.0,64.0,65.0,22.0,30.0,10.0,34.0,4.0,47.0,20.0,14.0,66.0,53.0,133.0,169.0,7.0,41.0,15.0,50.0,80.0,6.0,2.0,43.0,32.0,69.0
4145,0.0,4.0,2.0,3.0,12.0,5.0,7.0,8.0,11.0,66.0,47.0,17.0,1.0,10.0,32.0,52.0,9.0,91.0,107.0,69.0,44.0,41.0,14.0,46.0,54.0,110.0,6.0,88.0,24.0,26.0
4194,0.0,2.0,3.0,1.0,11.0,4.0,16.0,14.0,5.0,83.0,98.0,10.0,9.0,6.0,23.0,87.0,15.0,22.0,54.0,105.0,18.0,49.0,116.0,17.0,52.0,30.0,12.0,45.0,25.0,20.0
4243,0.0,1.0,4.0,2.0,22.0,3.0,10.0,11.0,5.0,75.0,100.0,8.0,9.0,7.0,28.0,60.0,12.0,90.0,52.0,140.0,32.0,44.0,141.0,17.0,51.0,14.0,98.0,49.0,45.0,55.0
4292,0.0,1.0,8.0,2.0,32.0,6.0,5.0,4.0,10.0,16.0,17.0,27.0,11.0,7.0,22.0,39.0,3.0,166.0,41.0,109.0,28.0,59.0,36.0,15.0,86.0,19.0,14.0,65.0,43.0,38.0
4341,0.0,2.0,1.0,4.0,7.0,10.0,20.0,18.0,11.0,137.0,14.0,25.0,3.0,109.0,87.0,29.0,19.0,17.0,39.0,120.0,83.0,45.0,32.0,13.0,37.0,12.0,35.0,79.0,42.0,24.0
4390,0.0,2.0,3.0,1.0,11.0,4.0,5.0,6.0,12.0,48.0,25.0,10.0,9.0,14.0,50.0,47.0,7.0,184.0,41.0,153.0,8.0,135.0,79.0,24.0,13.0,19.0,63.0,37.0,27.0,35.0
4439,0.0,2.0,7.0,4.0,20.0,12.0,19.0,18.0,299.0,10.0,21.0,296.0,24.0,17.0,30.0,11.0,29.0,40.0,14.0,519.0,1.0,71.0,50.0,27.0,53.0,37.0,63.0,16.0,109.0,85.0
4488,0.0,1.0,9.0,3.0,2.0,4.0,8.0,7.0,76.0,6.0,12.0,47.0,23.0,13.0,17.0,14.0,11.0,19.0,10.0,101.0,5.0,43.0,18.0,29.0,99.0,58.0,46.0,20.0,64.0,15.0
4537,0.0,1.0,8.0,3.0,2.0,22.0,5.0,6.0,132.0,30.0,4.0,49.0,7.0,27.0,28.0,72.0,9.0,29.0,25.0,328.0,10.0,113.0,98.0,15.0,13.0,11.0,59.0,38.0,73.0,19.0
4586,0.0,1.0,19.0,5.0,8.0,11.0,2.0,3.0,47.0,7.0,16.0,54.0,138.0,18.0,17.0,13.0,4.0,41.0,9.0,74.0,58.0,276.0,28.0,69.0,43.0,121.0,36.0,39.0,24.0,23.0
4635,0.0,3.0,5.0,2.0,1.0,14.0,38.0,39.0,74.0,26.0,6.0,31.0,13.0,25.0,75.0,174.0,47.0,10.0,63.0,12.0,146.0,34.0,142.0,159.0,11.0,64.0,65.0,28.0,17.0,16.0
4684,1.0,0.0,10.0,6.0,14.0,9.0,65.0,66.0,52.0,12.0,159.0,321.0,16.0,25.0,118.0,216.0,92.0,2.0,5.0,576.0,11.0,42.0,29.0,30.0,28.0,198.0,149.0,124.0,19.0,17.0
4733,0.0,3.0,14.0,9.0,1.0,26.0,5.0,4.0,863.0,6.0,12.0,59.0,62.0,61.0,20.0,2.0,15.0,16.0,71.0,46.0,7.0,52.0,8.0,60.0,56.0,99.0,19.0,38.0,54.0,18.0
4782,0.0,1.0,16.0,2.0,3.0,11.0,6.0,5.0,115.0,4.0,10.0,89.0,99.0,19.0,21.0,18.0,7.0,43.0,9.0,26.0,25.0,73.0,15.0,45.0,14.0,20.0,17.0,33.0,42.0,8.0
4831,0.0,1.0,61.0,5.0,2.0,3.0,11.0,10.0,23.0,12.0,14.0,63.0,41.0,9.0,19.0,15.0,13.0,17.0,8.0,92.0,4.0,66.0,88.0,32.0,25.0,7.0,176.0,35.0,27.0,6.0
4880,0.0,1.0,75.0,3.0,15.0,81.0,5.0,6.0,66.0,8.0,2.0,148.0,202.0,41.0,13.0,11.0,7.0,23.0,9.0,398.0,16.0,112.0,12.0,10.0,73.0,18.0,70.0,32.0,46.0,14.0
