,ebv-miR-BART19-5p,hsa-miR-199b-5p,hsa-miR-1910,hsa-miR-378,hsa-miR-877,hsa-miR-22,hsa-miR-600,hsa-miR-589,hsa-miR-586,hsa-miR-584,hsa-miR-583,hsa-miR-616,hsa-miR-587,hsa-miR-582-5p,hsa-miR-582-3p,hsa-miR-581,hsa-miR-580,hsa-miR-579,hsa-miR-588,hsa-miR-577,hsa-miR-578,hsa-miR-576-3p,hsa-miR-576-5p,hsa-miR-592,hsa-miR-574-5p,hsa-miR-628-5p,hsa-miR-627,hsa-miR-629,hsa-miR-590-3p,hsa-miR-590-5p
902,179.0,575.0,380.0,24.0,2.0,564.0,12.0,6.0,48.0,47.0,61.0,45.0,49.0,53.0,62.0,56.0,57.0,58.0,91.0,51.0,55.0,59.0,60.0,86.0,54.0,79.0,78.0,155.0,64.0,84.0
951,19.0,479.0,14.0,17.0,323.0,1.0,0.0,46.0,50.0,52.0,55.0,36.0,49.0,56.0,67.0,57.0,58.0,59.0,48.0,62.0,61.0,44.0,66.0,82.0,65.0,54.0,53.0,64.0,45.0,23.0
1000,23.0,34.0,8.0,5.0,43.0,36.0,86.0,59.0,55.0,50.0,61.0,40.0,58.0,56.0,54.0,52.0,51.0,49.0,46.0,47.0,48.0,99.0,90.0,20.0,137.0,73.0,72.0,74.0,57.0,53.0
1049,24.0,35.0,10.0,486.0,307.0,566.0,93.0,65.0,55.0,59.0,50.0,78.0,46.0,60.0,53.0,64.0,54.0,62.0,63.0,58.0,61.0,51.0,52.0,47.0,48.0,69.0,70.0,68.0,57.0,56.0
1098,14.0,0.0,367.0,488.0,306.0,566.0,80.0,94.0,68.0,48.0,46.0,93.0,82.0,51.0,24.0,25.0,67.0,54.0,70.0,56.0,53.0,58.0,57.0,5.0,59.0,64.0,61.0,66.0,92.0,91.0
1147,21.0,31.0,7.0,20.0,305.0,0.0,87.0,76.0,43.0,41.0,56.0,65.0,42.0,46.0,44.0,48.0,49.0,50.0,57.0,53.0,51.0,24.0,54.0,4.0,47.0,146.0,74.0,171.0,59.0,79.0
1196,24.0,31.0,5.0,21.0,38.0,563.0,93.0,12.0,57.0,56.0,50.0,42.0,58.0,54.0,61.0,59.0,55.0,53.0,60.0,51.0,52.0,97.0,49.0,22.0,153.0,68.0,69.0,67.0,63.0,17.0
1245,24.0,32.0,10.0,19.0,323.0,565.0,87.0,50.0,53.0,56.0,58.0,66.0,52.0,59.0,51.0,55.0,48.0,60.0,62.0,54.0,57.0,30.0,61.0,38.0,47.0,76.0,75.0,77.0,49.0,20.0
1294,27.0,32.0,367.0,486.0,323.0,564.0,80.0,70.0,49.0,50.0,51.0,41.0,48.0,53.0,54.0,23.0,57.0,59.0,58.0,62.0,61.0,64.0,24.0,93.0,66.0,31.0,60.0,65.0,84.0,96.0
1343,14.0,36.0,382.0,484.0,21.0,561.0,83.0,17.0,68.0,49.0,48.0,85.0,82.0,53.0,51.0,54.0,56.0,57.0,70.0,60.0,59.0,26.0,61.0,91.0,65.0,58.0,55.0,62.0,96.0,16.0
1392,2.0,31.0,7.0,20.0,322.0,566.0,83.0,57.0,60.0,46.0,61.0,74.0,54.0,59.0,58.0,55.0,53.0,51.0,45.0,48.0,52.0,96.0,86.0,21.0,134.0,66.0,67.0,65.0,56.0,24.0
1441,13.0,29.0,3.0,15.0,31.0,22.0,49.0,68.0,18.0,65.0,71.0,89.0,66.0,64.0,62.0,61.0,60.0,59.0,67.0,57.0,58.0,138.0,17.0,20.0,107.0,76.0,77.0,75.0,69.0,70.0
1490,231.0,576.0,364.0,485.0,10.0,0.0,109.0,97.0,77.0,76.0,58.0,80.0,78.0,57.0,56.0,55.0,54.0,53.0,79.0,51.0,52.0,48.0,50.0,101.0,47.0,278.0,276.0,285.0,98.0,99.0
1539,177.0,32.0,367.0,6.0,5.0,566.0,20.0,45.0,48.0,49.0,61.0,40.0,60.0,50.0,51.0,52.0,53.0,54.0,46.0,56.0,55.0,58.0,57.0,82.0,59.0,76.0,75.0,77.0,44.0,79.0
1588,236.0,577.0,0.0,31.0,3.0,567.0,110.0,98.0,103.0,77.0,68.0,5.0,38.0,57.0,56.0,55.0,54.0,53.0,97.0,58.0,52.0,47.0,48.0,21.0,46.0,280.0,278.0,287.0,99.0,100.0
1637,19.0,37.0,8.0,18.0,26.0,565.0,13.0,20.0,47.0,44.0,49.0,32.0,21.0,42.0,43.0,45.0,46.0,48.0,66.0,55.0,65.0,58.0,56.0,93.0,59.0,57.0,54.0,38.0,68.0,67.0
1686,191.0,34.0,369.0,16.0,322.0,33.0,3.0,49.0,54.0,55.0,24.0,1.0,53.0,61.0,62.0,63.0,65.0,66.0,52.0,56.0,67.0,80.0,51.0,70.0,31.0,57.0,50.0,58.0,47.0,60.0
1735,11.0,578.0,33.0,12.0,16.0,24.0,28.0,53.0,56.0,58.0,59.0,21.0,70.0,60.0,61.0,62.0,63.0,64.0,48.0,69.0,66.0,155.0,103.0,47.0,106.0,74.0,75.0,8.0,51.0,49.0
1784,178.0,35.0,10.0,3.0,5.0,28.0,90.0,56.0,63.0,57.0,61.0,48.0,60.0,59.0,62.0,54.0,64.0,65.0,58.0,52.0,53.0,92.0,50.0,67.0,100.0,69.0,70.0,68.0,55.0,51.0
1833,188.0,578.0,368.0,485.0,305.0,3.0,85.0,56.0,58.0,49.0,12.0,32.0,20.0,48.0,50.0,52.0,53.0,54.0,45.0,57.0,55.0,27.0,51.0,21.0,47.0,62.0,63.0,143.0,76.0,61.0
1882,11.0,33.0,4.0,486.0,324.0,0.0,87.0,56.0,51.0,52.0,68.0,32.0,47.0,59.0,60.0,62.0,63.0,64.0,49.0,66.0,65.0,27.0,67.0,97.0,86.0,57.0,53.0,58.0,69.0,99.0
1931,240.0,4.0,7.0,33.0,211.0,565.0,21.0,102.0,81.0,115.0,79.0,9.0,100.0,59.0,58.0,56.0,55.0,54.0,101.0,53.0,60.0,49.0,52.0,107.0,61.0,281.0,280.0,282.0,103.0,104.0
1980,175.0,578.0,30.0,10.0,305.0,41.0,8.0,21.0,49.0,43.0,50.0,34.0,45.0,44.0,46.0,47.0,65.0,51.0,81.0,54.0,52.0,56.0,55.0,16.0,58.0,2.0,60.0,148.0,94.0,93.0
2029,192.0,29.0,10.0,19.0,322.0,7.0,90.0,48.0,17.0,54.0,56.0,44.0,53.0,57.0,59.0,60.0,52.0,62.0,63.0,58.0,61.0,55.0,64.0,51.0,46.0,35.0,68.0,67.0,50.0,49.0
2078,175.0,30.0,370.0,17.0,25.0,0.0,88.0,45.0,52.0,67.0,53.0,75.0,48.0,54.0,55.0,56.0,57.0,58.0,47.0,60.0,59.0,62.0,61.0,18.0,63.0,2.0,66.0,65.0,50.0,49.0
2127,14.0,575.0,30.0,484.0,307.0,3.0,72.0,0.0,60.0,61.0,63.0,89.0,59.0,64.0,66.0,69.0,70.0,71.0,50.0,107.0,105.0,109.0,157.0,28.0,144.0,33.0,79.0,76.0,45.0,46.0
2176,14.0,38.0,31.0,488.0,307.0,4.0,13.0,3.0,20.0,51.0,64.0,91.0,48.0,54.0,55.0,59.0,60.0,61.0,46.0,63.0,53.0,57.0,62.0,89.0,52.0,45.0,47.0,43.0,66.0,15.0
2225,175.0,578.0,21.0,12.0,18.0,569.0,22.0,0.0,72.0,71.0,69.0,86.0,57.0,67.0,66.0,65.0,64.0,63.0,56.0,171.0,61.0,108.0,142.0,48.0,145.0,6.0,77.0,172.0,54.0,53.0
2274,238.0,3.0,10.0,26.0,21.0,37.0,34.0,32.0,31.0,53.0,51.0,83.0,55.0,50.0,49.0,48.0,47.0,46.0,56.0,52.0,45.0,60.0,30.0,79.0,61.0,276.0,275.0,277.0,68.0,77.0
2323,191.0,46.0,369.0,12.0,25.0,563.0,8.0,55.0,20.0,56.0,57.0,1.0,53.0,58.0,59.0,60.0,62.0,63.0,51.0,65.0,64.0,135.0,81.0,92.0,99.0,49.0,50.0,52.0,82.0,69.0
2372,177.0,38.0,4.0,26.0,307.0,32.0,88.0,44.0,5.0,53.0,54.0,35.0,52.0,55.0,56.0,49.0,59.0,58.0,43.0,51.0,57.0,61.0,50.0,83.0,60.0,76.0,75.0,77.0,97.0,63.0
2421,193.0,576.0,9.0,486.0,323.0,564.0,91.0,49.0,20.0,54.0,65.0,68.0,51.0,55.0,60.0,63.0,64.0,62.0,50.0,58.0,61.0,53.0,56.0,82.0,154.0,57.0,52.0,66.0,48.0,47.0
2470,11.0,23.0,33.0,484.0,4.0,27.0,36.0,68.0,108.0,142.0,146.0,0.0,71.0,147.0,148.0,149.0,150.0,151.0,69.0,153.0,152.0,155.0,154.0,63.0,156.0,84.0,85.0,83.0,67.0,65.0
2519,11.0,1.0,383.0,485.0,21.0,0.0,32.0,71.0,52.0,50.0,49.0,89.0,53.0,68.0,55.0,56.0,58.0,59.0,99.0,61.0,60.0,64.0,63.0,9.0,66.0,41.0,57.0,62.0,97.0,96.0
2568,31.0,3.0,38.0,482.0,321.0,39.0,94.0,93.0,50.0,48.0,47.0,41.0,55.0,24.0,45.0,57.0,58.0,60.0,67.0,62.0,61.0,64.0,63.0,9.0,65.0,66.0,43.0,54.0,68.0,88.0
2617,210.0,35.0,38.0,483.0,325.0,43.0,14.0,21.0,50.0,54.0,2.0,44.0,48.0,56.0,28.0,58.0,59.0,61.0,46.0,63.0,62.0,72.0,64.0,0.0,133.0,47.0,66.0,34.0,67.0,68.0
2666,9.0,32.0,26.0,486.0,34.0,562.0,4.0,67.0,65.0,62.0,61.0,3.0,72.0,60.0,59.0,107.0,109.0,108.0,66.0,145.0,144.0,17.0,146.0,64.0,148.0,79.0,80.0,78.0,68.0,70.0
2715,38.0,4.0,401.0,485.0,7.0,563.0,2.0,51.0,58.0,52.0,1.0,39.0,54.0,49.0,60.0,56.0,44.0,57.0,53.0,59.0,55.0,46.0,50.0,79.0,87.0,74.0,73.0,32.0,48.0,45.0
2764,194.0,43.0,382.0,483.0,324.0,561.0,12.0,46.0,49.0,50.0,65.0,37.0,47.0,54.0,55.0,58.0,60.0,63.0,44.0,29.0,64.0,96.0,82.0,94.0,135.0,66.0,53.0,56.0,48.0,81.0
2813,11.0,41.0,366.0,484.0,307.0,42.0,31.0,93.0,46.0,51.0,45.0,2.0,48.0,52.0,65.0,55.0,56.0,57.0,49.0,59.0,58.0,95.0,64.0,10.0,96.0,53.0,54.0,60.0,92.0,91.0
2862,22.0,34.0,6.0,20.0,36.0,41.0,87.0,60.0,63.0,55.0,58.0,45.0,52.0,56.0,62.0,51.0,50.0,49.0,61.0,99.0,89.0,101.0,137.0,19.0,154.0,76.0,75.0,77.0,59.0,57.0
2911,28.0,38.0,13.0,483.0,324.0,562.0,89.0,50.0,52.0,44.0,53.0,7.0,47.0,55.0,56.0,57.0,60.0,61.0,49.0,63.0,62.0,65.0,64.0,70.0,84.0,51.0,46.0,43.0,54.0,68.0
2960,30.0,5.0,369.0,485.0,10.0,18.0,106.0,38.0,50.0,48.0,37.0,84.0,54.0,49.0,60.0,52.0,53.0,55.0,62.0,57.0,56.0,34.0,51.0,99.0,69.0,278.0,276.0,279.0,79.0,80.0
3009,1.0,7.0,19.0,28.0,3.0,38.0,4.0,36.0,55.0,54.0,53.0,88.0,56.0,51.0,58.0,48.0,47.0,46.0,60.0,44.0,45.0,67.0,57.0,98.0,59.0,276.0,275.0,277.0,94.0,77.0
3058,195.0,480.0,367.0,6.0,33.0,39.0,35.0,4.0,96.0,84.0,61.0,44.0,95.0,53.0,54.0,56.0,59.0,66.0,94.0,65.0,67.0,52.0,57.0,90.0,50.0,47.0,63.0,64.0,93.0,92.0
3107,2.0,1.0,385.0,486.0,206.0,0.0,106.0,61.0,55.0,54.0,52.0,89.0,56.0,51.0,50.0,49.0,48.0,47.0,57.0,59.0,53.0,60.0,68.0,99.0,75.0,278.0,277.0,279.0,77.0,95.0
3156,8.0,0.0,386.0,483.0,326.0,1.0,7.0,60.0,49.0,54.0,55.0,65.0,51.0,59.0,58.0,57.0,56.0,53.0,50.0,47.0,52.0,46.0,45.0,61.0,88.0,75.0,74.0,76.0,43.0,48.0
3205,6.0,35.0,28.0,485.0,322.0,38.0,76.0,14.0,44.0,43.0,47.0,30.0,78.0,40.0,62.0,63.0,51.0,52.0,91.0,54.0,53.0,2.0,24.0,87.0,60.0,56.0,55.0,57.0,90.0,89.0
3254,23.0,32.0,376.0,22.0,318.0,0.0,18.0,20.0,55.0,61.0,62.0,35.0,53.0,47.0,60.0,59.0,58.0,57.0,54.0,63.0,56.0,1.0,48.0,4.0,52.0,67.0,68.0,141.0,51.0,49.0
3303,190.0,32.0,371.0,485.0,308.0,567.0,87.0,13.0,55.0,47.0,48.0,64.0,50.0,58.0,54.0,51.0,56.0,49.0,57.0,84.0,46.0,135.0,98.0,88.0,100.0,73.0,72.0,74.0,53.0,52.0
3352,222.0,11.0,2.0,29.0,28.0,4.0,0.0,76.0,73.0,72.0,71.0,31.0,74.0,77.0,70.0,68.0,67.0,66.0,75.0,64.0,65.0,114.0,63.0,59.0,115.0,98.0,113.0,97.0,32.0,69.0
3401,12.0,1.0,384.0,10.0,325.0,41.0,6.0,98.0,68.0,51.0,53.0,88.0,99.0,52.0,54.0,55.0,56.0,60.0,71.0,62.0,61.0,66.0,65.0,93.0,85.0,59.0,58.0,63.0,70.0,97.0
3450,1.0,2.0,9.0,486.0,287.0,564.0,14.0,24.0,51.0,50.0,53.0,31.0,60.0,55.0,56.0,12.0,59.0,61.0,48.0,58.0,52.0,42.0,57.0,22.0,54.0,77.0,76.0,143.0,97.0,63.0
3499,23.0,1.0,5.0,483.0,40.0,561.0,17.0,56.0,54.0,59.0,53.0,44.0,58.0,61.0,60.0,39.0,51.0,50.0,57.0,47.0,48.0,95.0,88.0,62.0,135.0,66.0,67.0,65.0,55.0,52.0
3548,173.0,0.0,35.0,20.0,38.0,566.0,11.0,77.0,46.0,48.0,49.0,36.0,47.0,58.0,43.0,60.0,59.0,56.0,61.0,45.0,52.0,57.0,37.0,22.0,55.0,65.0,66.0,64.0,63.0,91.0
3597,15.0,37.0,13.0,486.0,29.0,565.0,99.0,21.0,49.0,52.0,53.0,93.0,48.0,69.0,58.0,59.0,70.0,65.0,61.0,68.0,66.0,63.0,64.0,16.0,31.0,47.0,67.0,60.0,85.0,100.0
3646,2.0,15.0,347.0,509.0,36.0,577.0,52.0,77.0,74.0,80.0,73.0,105.0,75.0,71.0,70.0,69.0,68.0,67.0,76.0,117.0,66.0,190.0,119.0,21.0,120.0,115.0,114.0,116.0,78.0,79.0
3695,4.0,47.0,367.0,3.0,20.0,566.0,97.0,91.0,94.0,100.0,99.0,59.0,93.0,53.0,52.0,50.0,49.0,57.0,92.0,60.0,58.0,25.0,61.0,85.0,66.0,68.0,65.0,174.0,90.0,87.0
3744,18.0,33.0,16.0,17.0,1.0,28.0,14.0,67.0,44.0,45.0,47.0,41.0,58.0,48.0,49.0,20.0,51.0,52.0,80.0,56.0,64.0,63.0,60.0,89.0,53.0,40.0,61.0,146.0,95.0,92.0
3793,13.0,39.0,43.0,9.0,2.0,567.0,0.0,11.0,15.0,92.0,93.0,42.0,90.0,94.0,69.0,97.0,67.0,56.0,88.0,48.0,49.0,47.0,52.0,98.0,23.0,63.0,62.0,152.0,83.0,82.0
3842,5.0,481.0,0.0,488.0,3.0,563.0,13.0,54.0,46.0,52.0,55.0,1.0,45.0,66.0,25.0,59.0,61.0,62.0,44.0,73.0,65.0,153.0,94.0,15.0,96.0,51.0,50.0,53.0,69.0,92.0
3891,13.0,47.0,3.0,485.0,27.0,563.0,8.0,96.0,58.0,53.0,52.0,43.0,98.0,51.0,54.0,55.0,69.0,25.0,72.0,60.0,59.0,65.0,64.0,92.0,66.0,62.0,61.0,63.0,71.0,15.0
3940,32.0,40.0,14.0,16.0,308.0,2.0,86.0,20.0,21.0,52.0,55.0,90.0,70.0,49.0,69.0,57.0,58.0,59.0,98.0,61.0,60.0,63.0,62.0,93.0,65.0,66.0,64.0,67.0,72.0,71.0
3989,24.0,31.0,368.0,483.0,48.0,44.0,88.0,26.0,58.0,60.0,64.0,77.0,56.0,52.0,53.0,61.0,59.0,57.0,51.0,54.0,55.0,33.0,63.0,22.0,50.0,67.0,68.0,145.0,62.0,90.0
4038,29.0,403.0,347.0,511.0,324.0,579.0,51.0,38.0,74.0,73.0,72.0,36.0,75.0,71.0,70.0,69.0,68.0,67.0,76.0,65.0,66.0,39.0,64.0,80.0,117.0,114.0,113.0,100.0,77.0,78.0
4087,12.0,19.0,367.0,487.0,3.0,24.0,89.0,31.0,59.0,61.0,62.0,21.0,58.0,63.0,64.0,65.0,66.0,67.0,73.0,69.0,68.0,105.0,75.0,30.0,139.0,159.0,76.0,173.0,52.0,51.0
4136,6.0,36.0,32.0,484.0,324.0,3.0,14.0,92.0,51.0,45.0,48.0,40.0,80.0,50.0,64.0,65.0,24.0,54.0,67.0,26.0,55.0,27.0,57.0,87.0,29.0,60.0,59.0,61.0,91.0,90.0
4185,176.0,34.0,13.0,33.0,1.0,565.0,37.0,49.0,36.0,64.0,53.0,45.0,51.0,54.0,55.0,56.0,57.0,58.0,48.0,60.0,59.0,62.0,61.0,67.0,63.0,69.0,70.0,68.0,50.0,65.0
4234,177.0,31.0,4.0,484.0,41.0,38.0,2.0,0.0,49.0,59.0,51.0,5.0,47.0,57.0,52.0,60.0,55.0,50.0,46.0,56.0,58.0,53.0,54.0,91.0,48.0,63.0,64.0,148.0,77.0,62.0
4283,176.0,38.0,1.0,7.0,324.0,6.0,21.0,2.0,52.0,50.0,45.0,64.0,58.0,54.0,47.0,49.0,51.0,43.0,53.0,56.0,57.0,59.0,55.0,60.0,31.0,74.0,73.0,75.0,48.0,46.0
4332,239.0,6.0,373.0,31.0,12.0,19.0,98.0,101.0,79.0,96.0,78.0,256.0,99.0,69.0,57.0,56.0,48.0,59.0,100.0,50.0,47.0,52.0,60.0,37.0,53.0,285.0,284.0,286.0,102.0,103.0
4381,12.0,23.0,29.0,487.0,290.0,27.0,31.0,75.0,69.0,70.0,71.0,90.0,68.0,72.0,73.0,74.0,48.0,64.0,67.0,59.0,60.0,159.0,109.0,57.0,111.0,164.0,78.0,39.0,63.0,62.0
4430,178.0,576.0,369.0,12.0,1.0,563.0,85.0,56.0,49.0,48.0,51.0,41.0,17.0,47.0,66.0,55.0,53.0,59.0,50.0,61.0,60.0,65.0,63.0,97.0,80.0,62.0,58.0,64.0,82.0,69.0
4479,10.0,4.0,369.0,485.0,21.0,0.0,77.0,27.0,46.0,47.0,48.0,93.0,44.0,49.0,50.0,62.0,63.0,54.0,43.0,57.0,56.0,51.0,61.0,86.0,59.0,41.0,55.0,145.0,92.0,88.0
4528,1.0,32.0,367.0,18.0,40.0,565.0,0.0,21.0,50.0,52.0,53.0,73.0,59.0,55.0,56.0,58.0,44.0,54.0,46.0,49.0,47.0,57.0,51.0,92.0,48.0,64.0,65.0,63.0,45.0,77.0
4577,0.0,578.0,367.0,487.0,321.0,566.0,14.0,3.0,48.0,49.0,21.0,78.0,47.0,51.0,54.0,55.0,56.0,57.0,45.0,59.0,58.0,65.0,60.0,90.0,66.0,61.0,53.0,62.0,95.0,70.0
4626,0.0,4.0,11.0,486.0,308.0,563.0,2.0,60.0,54.0,57.0,58.0,65.0,52.0,59.0,56.0,55.0,53.0,51.0,50.0,48.0,45.0,47.0,46.0,61.0,88.0,75.0,74.0,76.0,49.0,44.0
4675,29.0,578.0,367.0,487.0,2.0,42.0,9.0,17.0,67.0,66.0,50.0,68.0,92.0,47.0,44.0,45.0,46.0,49.0,91.0,52.0,51.0,56.0,55.0,86.0,58.0,6.0,144.0,248.0,90.0,11.0
4724,175.0,29.0,11.0,2.0,308.0,565.0,84.0,14.0,62.0,50.0,60.0,77.0,57.0,59.0,58.0,56.0,54.0,53.0,55.0,48.0,52.0,47.0,45.0,49.0,90.0,67.0,68.0,66.0,51.0,61.0
4773,12.0,43.0,1.0,11.0,25.0,564.0,87.0,99.0,50.0,48.0,53.0,92.0,52.0,46.0,54.0,69.0,56.0,57.0,100.0,61.0,59.0,64.0,63.0,95.0,67.0,60.0,58.0,62.0,71.0,97.0
4822,42.0,575.0,367.0,23.0,8.0,563.0,91.0,11.0,54.0,53.0,50.0,75.0,56.0,47.0,48.0,52.0,57.0,60.0,58.0,46.0,49.0,95.0,89.0,61.0,134.0,32.0,66.0,65.0,51.0,59.0
4871,3.0,21.0,368.0,14.0,30.0,564.0,47.0,27.0,34.0,68.0,69.0,106.0,66.0,70.0,71.0,46.0,67.0,29.0,65.0,48.0,51.0,157.0,107.0,24.0,174.0,80.0,81.0,79.0,63.0,60.0
