,hsa-miR-1287,hsa-miR-223,hsa-miR-188-3p,hsa-miR-224,hsa-miR-96,hsa-miR-136,hsa-miR-205,hsa-miR-563,hsa-miR-200a,ebv-miR-BART12,hsa-miR-665,hsa-miR-1978,hsa-miR-320b,hsa-miR-1266,hsa-miR-195,hsa-miR-204,hsa-miR-335,hsa-miR-103,hsa-miR-548d-3p,hsa-miR-1973,hsa-miR-592,hsa-miR-508-3p,hsa-miR-27b,hsa-miR-149,hsa-miR-320c,hsa-miR-591,hsa-miR-140-5p,hsa-miR-507,hsa-miR-654-5p,hsa-miR-215
1831,0.0,15.0,2.0,45.0,8.0,6.0,107.0,5.0,14.0,3.0,113.0,95.0,1.0,17.0,122.0,50.0,307.0,33.0,552.0,7.0,125.0,36.0,24.0,142.0,137.0,164.0,439.0,23.0,214.0,116.0
1880,4.0,5.0,12.0,269.0,25.0,31.0,148.0,1.0,6.0,0.0,11.0,7.0,122.0,17.0,3.0,10.0,18.0,107.0,139.0,2.0,325.0,389.0,117.0,27.0,92.0,13.0,423.0,59.0,204.0,257.0
1929,2.0,1.0,7.0,60.0,93.0,35.0,33.0,6.0,145.0,14.0,118.0,5.0,467.0,94.0,73.0,97.0,101.0,47.0,21.0,323.0,84.0,43.0,78.0,96.0,8.0,64.0,406.0,37.0,19.0,50.0
1978,55.0,0.0,38.0,22.0,69.0,12.0,29.0,3.0,99.0,49.0,119.0,178.0,158.0,11.0,10.0,529.0,226.0,20.0,4.0,143.0,133.0,8.0,15.0,51.0,9.0,145.0,6.0,45.0,43.0,93.0
2027,12.0,24.0,0.0,27.0,3.0,2.0,16.0,1.0,4.0,23.0,289.0,14.0,105.0,13.0,355.0,179.0,627.0,92.0,6.0,46.0,55.0,69.0,8.0,19.0,414.0,318.0,48.0,94.0,21.0,40.0
2076,1.0,0.0,4.0,3.0,8.0,31.0,194.0,37.0,25.0,88.0,178.0,29.0,93.0,237.0,210.0,42.0,137.0,136.0,2.0,13.0,14.0,133.0,9.0,15.0,7.0,34.0,148.0,146.0,144.0,66.0
2125,1.0,12.0,5.0,8.0,0.0,21.0,30.0,3.0,93.0,6.0,427.0,46.0,50.0,32.0,2.0,14.0,570.0,20.0,91.0,43.0,28.0,4.0,10.0,22.0,92.0,387.0,229.0,17.0,13.0,24.0
2174,8.0,3.0,0.0,11.0,6.0,39.0,33.0,2.0,14.0,15.0,67.0,1.0,5.0,22.0,31.0,245.0,464.0,10.0,209.0,17.0,7.0,9.0,19.0,240.0,38.0,398.0,99.0,66.0,34.0,20.0
2223,28.0,6.0,1.0,2.0,17.0,5.0,245.0,27.0,436.0,73.0,205.0,3.0,45.0,122.0,14.0,128.0,65.0,4.0,8.0,181.0,46.0,22.0,0.0,124.0,24.0,12.0,15.0,56.0,134.0,88.0
2272,27.0,22.0,0.0,4.0,6.0,9.0,1.0,3.0,19.0,8.0,43.0,2.0,164.0,5.0,273.0,339.0,104.0,188.0,153.0,52.0,24.0,64.0,174.0,73.0,37.0,29.0,14.0,48.0,232.0,34.0
