, PI3K_only, VEGF, H2O2, MAPK_only, TGFB, Wnt, MAPK_PI3K, IL-1, TLR, TNFa, JAK-STAT
4451,0.0,4.0,5.0,2.0,1.0,9.0,7.0,3.0,8.0,10.0,6.0
4500,0.0,2.0,4.0,3.0,1.0,8.0,6.0,9.0,10.0,7.0,5.0
4549,0.0,1.0,5.0,10.0,4.0,7.0,6.0,9.0,8.0,2.0,3.0
4598,3.0,6.0,5.0,0.0,4.0,9.0,2.0,1.0,8.0,10.0,7.0
4647,6.0,10.0,2.0,4.0,0.0,1.0,5.0,8.0,9.0,7.0,3.0
4696,1.0,0.0,5.0,6.0,8.0,4.0,7.0,2.0,9.0,10.0,3.0
4745,6.0,0.0,7.0,2.0,3.0,4.0,5.0,1.0,9.0,10.0,8.0
4794,0.0,1.0,3.0,9.0,6.0,2.0,5.0,7.0,4.0,10.0,8.0
4843,0.0,1.0,4.0,5.0,3.0,6.0,9.0,7.0,2.0,10.0,8.0
4892,0.0,1.0,2.0,4.0,8.0,6.0,5.0,7.0,10.0,9.0,3.0
