,C34:2 DAG,C36:1 DAG,cotinine,creatine,carnitine,C18:0 LPC,niacinamide,N-carbamoyl-beta-alanine,dCMP,taurodeoxycholate,homocysteine,palmitoylcarnitine,serotonin,malondialdehyde,1-methylnicotinamide,GABA,hypoxanthine,C22:6 CE,alpha-glycerophosphocholine,C36:4 PC-B,phosphocreatine,beta-alanine,PEP,glutamine,C56:5 TAG,inositol,sarcosine,serine,2-deoxyadenosine,C16:0 LPE
1397,0.0,8.0,5.0,1.0,15.0,17.0,19.0,9.0,50.0,6.0,10.0,33.0,28.0,14.0,11.0,18.0,3.0,2.0,49.0,60.0,55.0,27.0,4.0,7.0,53.0,25.0,20.0,41.0,47.0,32.0
1446,1.0,5.0,9.0,0.0,2.0,44.0,10.0,3.0,16.0,42.0,56.0,8.0,21.0,6.0,7.0,11.0,4.0,12.0,33.0,38.0,41.0,30.0,20.0,15.0,53.0,46.0,17.0,45.0,28.0,32.0
1495,2.0,0.0,23.0,3.0,4.0,10.0,18.0,12.0,16.0,45.0,35.0,1.0,27.0,7.0,50.0,9.0,8.0,26.0,6.0,31.0,38.0,49.0,21.0,28.0,17.0,32.0,33.0,34.0,63.0,5.0
1544,1.0,0.0,4.0,8.0,12.0,2.0,13.0,9.0,5.0,47.0,3.0,11.0,16.0,23.0,32.0,34.0,40.0,46.0,10.0,18.0,17.0,31.0,27.0,7.0,15.0,38.0,14.0,41.0,28.0,29.0
1593,1.0,3.0,8.0,10.0,2.0,0.0,33.0,25.0,7.0,53.0,15.0,5.0,31.0,24.0,63.0,40.0,18.0,28.0,58.0,49.0,56.0,17.0,55.0,9.0,6.0,30.0,22.0,38.0,46.0,19.0
1642,2.0,1.0,6.0,7.0,4.0,10.0,9.0,5.0,0.0,13.0,47.0,24.0,26.0,31.0,32.0,25.0,60.0,34.0,20.0,3.0,29.0,36.0,28.0,8.0,48.0,12.0,62.0,17.0,11.0,61.0
1691,7.0,2.0,9.0,1.0,0.0,3.0,17.0,19.0,5.0,6.0,18.0,26.0,16.0,4.0,11.0,14.0,21.0,57.0,24.0,22.0,10.0,36.0,37.0,35.0,13.0,64.0,65.0,31.0,8.0,43.0
1740,13.0,2.0,8.0,3.0,0.0,1.0,18.0,5.0,24.0,16.0,26.0,7.0,14.0,28.0,31.0,15.0,35.0,59.0,9.0,6.0,58.0,19.0,25.0,22.0,20.0,4.0,43.0,55.0,29.0,39.0
1789,40.0,4.0,24.0,8.0,0.0,2.0,21.0,1.0,12.0,35.0,20.0,3.0,44.0,31.0,7.0,5.0,18.0,26.0,10.0,51.0,13.0,16.0,14.0,6.0,36.0,57.0,15.0,28.0,33.0,32.0
1838,1.0,5.0,4.0,2.0,0.0,3.0,16.0,7.0,43.0,22.0,36.0,11.0,38.0,8.0,59.0,10.0,18.0,41.0,15.0,26.0,27.0,24.0,6.0,20.0,25.0,65.0,35.0,14.0,23.0,64.0
1887,6.0,0.0,3.0,2.0,8.0,1.0,5.0,11.0,12.0,15.0,9.0,13.0,23.0,36.0,35.0,22.0,45.0,41.0,20.0,49.0,29.0,18.0,21.0,7.0,4.0,43.0,47.0,57.0,48.0,19.0
1936,13.0,6.0,37.0,9.0,0.0,1.0,12.0,5.0,27.0,24.0,20.0,4.0,28.0,15.0,40.0,39.0,23.0,10.0,22.0,19.0,45.0,17.0,11.0,2.0,25.0,41.0,31.0,7.0,33.0,38.0
1985,1.0,3.0,28.0,0.0,17.0,37.0,2.0,15.0,52.0,16.0,6.0,34.0,5.0,26.0,27.0,22.0,14.0,51.0,7.0,32.0,4.0,44.0,9.0,24.0,30.0,19.0,38.0,46.0,25.0,59.0
2034,1.0,0.0,3.0,8.0,17.0,29.0,4.0,43.0,5.0,31.0,14.0,12.0,2.0,32.0,49.0,44.0,19.0,22.0,13.0,15.0,10.0,55.0,25.0,58.0,9.0,24.0,39.0,11.0,34.0,38.0
2083,4.0,1.0,0.0,2.0,5.0,17.0,9.0,30.0,7.0,20.0,29.0,6.0,43.0,35.0,21.0,48.0,31.0,33.0,16.0,8.0,18.0,42.0,15.0,25.0,32.0,23.0,50.0,24.0,39.0,10.0
2132,2.0,0.0,28.0,3.0,33.0,20.0,4.0,12.0,1.0,22.0,6.0,14.0,31.0,9.0,21.0,63.0,24.0,40.0,13.0,30.0,5.0,15.0,51.0,17.0,50.0,8.0,27.0,44.0,38.0,54.0
2181,0.0,4.0,13.0,6.0,16.0,1.0,2.0,32.0,21.0,9.0,33.0,46.0,14.0,18.0,5.0,28.0,38.0,20.0,12.0,3.0,7.0,11.0,15.0,22.0,49.0,34.0,10.0,24.0,35.0,25.0
2230,4.0,3.0,35.0,2.0,8.0,5.0,23.0,11.0,9.0,20.0,15.0,32.0,13.0,28.0,1.0,24.0,50.0,7.0,16.0,10.0,0.0,43.0,6.0,25.0,21.0,29.0,27.0,33.0,59.0,37.0
2279,0.0,3.0,42.0,1.0,2.0,27.0,6.0,14.0,18.0,31.0,10.0,56.0,5.0,50.0,29.0,24.0,7.0,58.0,13.0,21.0,4.0,17.0,9.0,54.0,36.0,39.0,11.0,45.0,52.0,23.0
2328,0.0,1.0,16.0,19.0,4.0,13.0,45.0,26.0,17.0,5.0,64.0,14.0,10.0,25.0,11.0,21.0,2.0,52.0,27.0,48.0,7.0,38.0,9.0,34.0,8.0,18.0,28.0,24.0,44.0,3.0
2377,4.0,0.0,10.0,1.0,7.0,2.0,9.0,3.0,5.0,11.0,28.0,19.0,21.0,49.0,47.0,22.0,18.0,51.0,6.0,41.0,16.0,52.0,8.0,39.0,23.0,34.0,26.0,17.0,35.0,31.0
2426,10.0,0.0,14.0,8.0,28.0,2.0,3.0,23.0,16.0,20.0,40.0,4.0,15.0,33.0,22.0,31.0,7.0,36.0,6.0,1.0,29.0,39.0,5.0,52.0,26.0,12.0,21.0,42.0,24.0,46.0
2475,0.0,2.0,13.0,17.0,29.0,1.0,6.0,9.0,28.0,20.0,3.0,34.0,14.0,36.0,39.0,4.0,5.0,15.0,50.0,54.0,11.0,21.0,19.0,57.0,31.0,33.0,12.0,22.0,37.0,8.0
2524,1.0,3.0,19.0,5.0,12.0,2.0,6.0,7.0,11.0,0.0,29.0,14.0,39.0,18.0,4.0,10.0,9.0,47.0,57.0,38.0,26.0,27.0,24.0,21.0,22.0,16.0,59.0,25.0,44.0,13.0
2573,1.0,15.0,14.0,36.0,13.0,0.0,22.0,8.0,3.0,6.0,52.0,23.0,25.0,19.0,37.0,12.0,5.0,4.0,28.0,56.0,55.0,11.0,17.0,46.0,27.0,35.0,21.0,44.0,29.0,2.0
2622,0.0,8.0,2.0,3.0,7.0,4.0,22.0,5.0,6.0,33.0,28.0,31.0,18.0,14.0,37.0,15.0,1.0,19.0,59.0,38.0,50.0,27.0,25.0,32.0,13.0,16.0,39.0,34.0,21.0,9.0
2671,0.0,7.0,30.0,17.0,29.0,3.0,13.0,2.0,14.0,22.0,4.0,15.0,39.0,42.0,43.0,31.0,1.0,46.0,34.0,18.0,53.0,35.0,10.0,8.0,9.0,5.0,61.0,57.0,6.0,36.0
2720,2.0,4.0,9.0,11.0,22.0,5.0,20.0,7.0,6.0,8.0,0.0,27.0,33.0,3.0,49.0,24.0,12.0,23.0,13.0,47.0,1.0,21.0,26.0,18.0,32.0,15.0,41.0,58.0,57.0,14.0
2769,0.0,8.0,7.0,13.0,33.0,5.0,28.0,3.0,1.0,9.0,22.0,11.0,20.0,37.0,29.0,47.0,14.0,18.0,49.0,12.0,24.0,50.0,57.0,46.0,43.0,26.0,35.0,48.0,54.0,4.0
2818,14.0,13.0,5.0,7.0,8.0,4.0,1.0,12.0,33.0,35.0,18.0,59.0,19.0,42.0,15.0,3.0,0.0,2.0,54.0,39.0,25.0,34.0,37.0,22.0,43.0,41.0,20.0,56.0,17.0,31.0
2867,0.0,5.0,7.0,6.0,51.0,1.0,14.0,19.0,3.0,15.0,37.0,48.0,4.0,29.0,22.0,2.0,11.0,20.0,25.0,27.0,28.0,9.0,10.0,42.0,13.0,55.0,21.0,65.0,31.0,8.0
2916,2.0,0.0,59.0,20.0,37.0,1.0,9.0,5.0,10.0,8.0,14.0,43.0,3.0,61.0,55.0,6.0,33.0,22.0,21.0,15.0,48.0,11.0,12.0,57.0,40.0,26.0,52.0,47.0,28.0,4.0
2965,15.0,4.0,0.0,3.0,25.0,14.0,6.0,1.0,21.0,13.0,10.0,48.0,28.0,30.0,20.0,44.0,41.0,11.0,37.0,39.0,18.0,35.0,16.0,23.0,7.0,22.0,19.0,2.0,34.0,49.0
3014,1.0,6.0,2.0,4.0,18.0,7.0,25.0,0.0,8.0,5.0,38.0,43.0,27.0,62.0,11.0,9.0,30.0,24.0,10.0,3.0,47.0,21.0,29.0,39.0,32.0,16.0,22.0,14.0,54.0,35.0
3063,4.0,0.0,1.0,3.0,6.0,26.0,2.0,5.0,9.0,8.0,28.0,36.0,23.0,12.0,53.0,25.0,62.0,10.0,55.0,15.0,16.0,42.0,17.0,34.0,13.0,22.0,66.0,7.0,30.0,24.0
3112,27.0,2.0,0.0,3.0,7.0,5.0,10.0,4.0,11.0,21.0,42.0,47.0,31.0,56.0,20.0,8.0,35.0,29.0,15.0,1.0,46.0,59.0,49.0,13.0,33.0,16.0,51.0,26.0,55.0,18.0
3161,8.0,3.0,0.0,1.0,6.0,10.0,7.0,9.0,27.0,44.0,19.0,13.0,15.0,11.0,40.0,14.0,34.0,20.0,25.0,2.0,22.0,50.0,16.0,61.0,5.0,33.0,12.0,64.0,39.0,42.0
3210,0.0,7.0,4.0,2.0,43.0,1.0,3.0,6.0,18.0,9.0,10.0,15.0,23.0,29.0,21.0,16.0,34.0,25.0,22.0,40.0,52.0,20.0,42.0,14.0,50.0,12.0,8.0,31.0,24.0,11.0
3259,4.0,11.0,3.0,0.0,6.0,15.0,2.0,1.0,20.0,27.0,17.0,25.0,18.0,34.0,5.0,7.0,66.0,39.0,9.0,36.0,48.0,24.0,58.0,8.0,10.0,40.0,28.0,32.0,19.0,50.0
3308,4.0,1.0,7.0,0.0,2.0,6.0,3.0,12.0,50.0,5.0,51.0,30.0,10.0,9.0,20.0,23.0,65.0,21.0,31.0,11.0,22.0,15.0,14.0,25.0,44.0,13.0,19.0,8.0,27.0,28.0
3357,2.0,4.0,16.0,9.0,10.0,24.0,5.0,1.0,8.0,7.0,42.0,33.0,22.0,48.0,17.0,23.0,43.0,26.0,46.0,3.0,13.0,30.0,49.0,29.0,6.0,12.0,20.0,32.0,66.0,37.0
3406,8.0,2.0,0.0,4.0,24.0,22.0,7.0,13.0,21.0,12.0,50.0,58.0,18.0,11.0,3.0,1.0,30.0,47.0,5.0,14.0,53.0,15.0,31.0,55.0,16.0,25.0,19.0,23.0,65.0,9.0
3455,6.0,0.0,1.0,21.0,4.0,3.0,37.0,2.0,7.0,8.0,24.0,16.0,5.0,20.0,9.0,48.0,17.0,19.0,27.0,11.0,46.0,57.0,14.0,22.0,10.0,26.0,39.0,13.0,28.0,35.0
3504,3.0,2.0,5.0,8.0,20.0,37.0,43.0,4.0,6.0,1.0,16.0,12.0,0.0,53.0,13.0,7.0,38.0,21.0,28.0,41.0,11.0,52.0,14.0,35.0,15.0,25.0,51.0,22.0,31.0,26.0
3553,5.0,2.0,1.0,3.0,0.0,12.0,20.0,18.0,21.0,16.0,11.0,38.0,8.0,44.0,4.0,39.0,25.0,15.0,14.0,13.0,10.0,49.0,22.0,7.0,6.0,17.0,34.0,24.0,48.0,29.0
3602,1.0,2.0,0.0,6.0,17.0,13.0,21.0,7.0,40.0,3.0,10.0,16.0,11.0,27.0,4.0,46.0,20.0,18.0,44.0,12.0,8.0,42.0,31.0,35.0,5.0,14.0,33.0,19.0,9.0,15.0
3651,2.0,4.0,1.0,21.0,35.0,46.0,25.0,6.0,3.0,0.0,18.0,27.0,5.0,17.0,10.0,34.0,22.0,45.0,13.0,28.0,30.0,8.0,24.0,56.0,60.0,32.0,41.0,9.0,57.0,15.0
3700,0.0,1.0,4.0,21.0,33.0,52.0,46.0,3.0,30.0,17.0,28.0,2.0,39.0,31.0,7.0,29.0,49.0,9.0,50.0,14.0,6.0,42.0,24.0,19.0,23.0,26.0,5.0,20.0,56.0,12.0
3749,0.0,3.0,1.0,2.0,5.0,10.0,25.0,17.0,22.0,4.0,15.0,39.0,13.0,36.0,7.0,8.0,29.0,34.0,26.0,9.0,23.0,37.0,28.0,30.0,21.0,14.0,11.0,20.0,53.0,33.0
3798,1.0,4.0,0.0,17.0,5.0,48.0,16.0,10.0,33.0,6.0,3.0,2.0,7.0,38.0,9.0,18.0,39.0,15.0,47.0,22.0,61.0,11.0,23.0,24.0,25.0,30.0,60.0,44.0,43.0,13.0
3847,0.0,3.0,1.0,7.0,2.0,53.0,5.0,23.0,8.0,13.0,29.0,4.0,22.0,61.0,31.0,11.0,18.0,17.0,16.0,34.0,39.0,19.0,9.0,47.0,20.0,6.0,25.0,10.0,51.0,15.0
3896,1.0,4.0,5.0,0.0,2.0,8.0,12.0,3.0,6.0,31.0,16.0,37.0,11.0,30.0,7.0,21.0,14.0,13.0,27.0,9.0,53.0,32.0,61.0,18.0,52.0,10.0,60.0,39.0,24.0,25.0
3945,0.0,1.0,6.0,41.0,19.0,3.0,2.0,21.0,7.0,58.0,47.0,31.0,20.0,22.0,24.0,5.0,38.0,27.0,30.0,13.0,15.0,4.0,18.0,35.0,10.0,45.0,40.0,14.0,26.0,36.0
3994,0.0,2.0,7.0,4.0,6.0,10.0,5.0,12.0,9.0,62.0,1.0,25.0,8.0,3.0,54.0,36.0,31.0,14.0,41.0,34.0,16.0,23.0,26.0,37.0,33.0,47.0,19.0,30.0,40.0,27.0
4043,1.0,0.0,4.0,3.0,10.0,20.0,8.0,21.0,22.0,13.0,62.0,50.0,32.0,2.0,49.0,7.0,36.0,15.0,51.0,11.0,14.0,12.0,28.0,31.0,46.0,59.0,26.0,25.0,18.0,27.0
4092,0.0,1.0,2.0,5.0,4.0,6.0,3.0,10.0,9.0,33.0,15.0,7.0,51.0,22.0,45.0,13.0,52.0,16.0,55.0,20.0,25.0,19.0,53.0,50.0,21.0,43.0,66.0,64.0,12.0,54.0
4141,7.0,0.0,5.0,25.0,2.0,1.0,3.0,37.0,15.0,36.0,26.0,6.0,27.0,18.0,30.0,23.0,33.0,10.0,28.0,59.0,46.0,17.0,20.0,50.0,4.0,31.0,9.0,32.0,34.0,41.0
4190,1.0,0.0,22.0,8.0,9.0,3.0,2.0,11.0,50.0,34.0,25.0,10.0,31.0,43.0,4.0,5.0,19.0,13.0,6.0,14.0,56.0,12.0,18.0,21.0,29.0,27.0,45.0,28.0,17.0,39.0
4239,1.0,0.0,12.0,10.0,7.0,2.0,15.0,4.0,35.0,5.0,17.0,25.0,13.0,3.0,21.0,22.0,56.0,18.0,62.0,20.0,30.0,16.0,11.0,29.0,14.0,19.0,50.0,9.0,26.0,65.0
4288,6.0,1.0,32.0,8.0,5.0,2.0,9.0,10.0,64.0,4.0,43.0,14.0,20.0,22.0,3.0,21.0,25.0,29.0,7.0,13.0,16.0,50.0,31.0,12.0,11.0,18.0,26.0,63.0,60.0,49.0
4337,9.0,8.0,3.0,16.0,11.0,0.0,21.0,18.0,2.0,10.0,12.0,34.0,22.0,6.0,1.0,40.0,25.0,7.0,42.0,17.0,28.0,4.0,13.0,56.0,37.0,31.0,19.0,52.0,23.0,45.0
4386,15.0,0.0,23.0,18.0,1.0,16.0,3.0,17.0,9.0,24.0,6.0,21.0,30.0,28.0,51.0,13.0,50.0,8.0,44.0,14.0,35.0,10.0,26.0,19.0,2.0,12.0,32.0,49.0,33.0,22.0
4435,30.0,15.0,0.0,4.0,1.0,46.0,2.0,9.0,16.0,24.0,5.0,41.0,35.0,6.0,19.0,7.0,8.0,23.0,13.0,3.0,20.0,29.0,37.0,26.0,18.0,11.0,21.0,38.0,55.0,61.0
4484,18.0,7.0,2.0,8.0,4.0,52.0,0.0,1.0,12.0,10.0,48.0,28.0,21.0,29.0,19.0,3.0,33.0,38.0,13.0,37.0,26.0,6.0,22.0,9.0,44.0,43.0,60.0,15.0,20.0,39.0
4533,28.0,20.0,2.0,6.0,10.0,36.0,14.0,12.0,25.0,23.0,15.0,7.0,31.0,1.0,8.0,9.0,5.0,0.0,3.0,27.0,4.0,29.0,34.0,19.0,30.0,11.0,42.0,24.0,16.0,22.0
4582,1.0,4.0,5.0,0.0,9.0,6.0,12.0,20.0,10.0,26.0,7.0,31.0,16.0,8.0,47.0,19.0,11.0,49.0,3.0,14.0,17.0,35.0,40.0,22.0,45.0,36.0,24.0,2.0,25.0,37.0
4631,0.0,3.0,5.0,12.0,25.0,22.0,4.0,1.0,43.0,19.0,7.0,18.0,9.0,2.0,14.0,8.0,6.0,38.0,37.0,48.0,11.0,29.0,42.0,15.0,47.0,16.0,41.0,65.0,23.0,52.0
4680,0.0,17.0,1.0,2.0,5.0,4.0,16.0,25.0,20.0,7.0,12.0,9.0,8.0,28.0,14.0,44.0,6.0,21.0,10.0,19.0,15.0,40.0,55.0,22.0,39.0,24.0,53.0,35.0,62.0,63.0
4729,8.0,5.0,1.0,10.0,7.0,13.0,2.0,16.0,36.0,21.0,11.0,3.0,12.0,6.0,18.0,41.0,17.0,24.0,4.0,9.0,33.0,22.0,42.0,49.0,28.0,38.0,25.0,37.0,0.0,15.0
4778,8.0,4.0,5.0,26.0,2.0,20.0,0.0,3.0,22.0,14.0,12.0,18.0,25.0,1.0,9.0,43.0,13.0,11.0,6.0,44.0,10.0,21.0,59.0,31.0,39.0,51.0,29.0,37.0,36.0,53.0
4827,3.0,5.0,20.0,6.0,13.0,0.0,1.0,35.0,22.0,58.0,8.0,2.0,43.0,29.0,23.0,28.0,17.0,14.0,4.0,18.0,11.0,9.0,44.0,40.0,51.0,19.0,25.0,16.0,10.0,37.0
4876,26.0,22.0,16.0,2.0,0.0,9.0,5.0,3.0,25.0,38.0,1.0,19.0,48.0,17.0,7.0,33.0,10.0,23.0,15.0,30.0,4.0,13.0,52.0,6.0,11.0,8.0,35.0,31.0,27.0,65.0
