,Src_pY527,MEK1_pS217_S221,Smad3,FRA1,Gab2,CDK1,p53,CD49b,Annexin 1,MIG-6,YB-1_pS102,PKC-pan_BetaII_pS660,Src,Bid,Bax,Transglutaminase,VAV1,Rb,Raptor,Smac,XBP1,Notch1,alpha-Catenin,E-Cadherin,Src_pY416,Cyclin_E1,4E-BP1_pT70,TIGAR,Rab25,NF2
1716,0.0,21.0,1.0,7.0,5.0,3.0,19.0,8.0,2.0,6.0,4.0,12.0,15.0,17.0,11.0,9.0,16.0,22.0,23.0,49.0,14.0,43.0,10.0,29.0,13.0,28.0,27.0,18.0,38.0,44.0
1765,2.0,4.0,5.0,13.0,10.0,1.0,22.0,30.0,0.0,26.0,19.0,31.0,14.0,11.0,3.0,17.0,9.0,45.0,16.0,12.0,18.0,20.0,29.0,15.0,8.0,55.0,27.0,24.0,47.0,73.0
1814,0.0,8.0,1.0,10.0,4.0,3.0,28.0,11.0,2.0,12.0,23.0,19.0,16.0,6.0,21.0,7.0,26.0,5.0,36.0,22.0,18.0,51.0,13.0,9.0,14.0,61.0,33.0,17.0,69.0,25.0
1863,1.0,8.0,7.0,2.0,3.0,0.0,9.0,10.0,5.0,12.0,36.0,4.0,31.0,25.0,14.0,22.0,16.0,17.0,19.0,6.0,24.0,15.0,28.0,27.0,13.0,95.0,53.0,23.0,29.0,45.0
1912,0.0,7.0,1.0,3.0,2.0,12.0,24.0,5.0,8.0,14.0,25.0,4.0,13.0,15.0,16.0,6.0,20.0,19.0,18.0,10.0,11.0,35.0,64.0,9.0,17.0,29.0,26.0,22.0,39.0,50.0
1961,0.0,5.0,22.0,4.0,21.0,2.0,27.0,6.0,10.0,7.0,25.0,24.0,18.0,14.0,12.0,1.0,3.0,35.0,40.0,9.0,11.0,54.0,42.0,19.0,41.0,52.0,56.0,13.0,129.0,17.0
2010,0.0,7.0,14.0,10.0,6.0,1.0,24.0,2.0,12.0,23.0,3.0,52.0,20.0,25.0,47.0,9.0,4.0,19.0,22.0,11.0,13.0,89.0,18.0,15.0,53.0,48.0,30.0,27.0,64.0,21.0
2059,3.0,4.0,56.0,6.0,12.0,0.0,21.0,1.0,17.0,7.0,46.0,10.0,70.0,37.0,11.0,5.0,19.0,15.0,28.0,2.0,20.0,94.0,33.0,34.0,35.0,24.0,55.0,16.0,36.0,18.0
2108,1.0,7.0,10.0,8.0,2.0,0.0,17.0,3.0,5.0,6.0,52.0,13.0,11.0,16.0,49.0,14.0,23.0,18.0,27.0,9.0,21.0,69.0,37.0,36.0,22.0,28.0,39.0,12.0,60.0,20.0
2157,2.0,6.0,11.0,38.0,9.0,1.0,15.0,0.0,14.0,17.0,7.0,42.0,18.0,28.0,27.0,5.0,3.0,63.0,25.0,4.0,12.0,62.0,23.0,65.0,8.0,24.0,30.0,13.0,19.0,26.0
2206,1.0,8.0,37.0,6.0,5.0,3.0,25.0,4.0,9.0,2.0,0.0,7.0,20.0,24.0,23.0,13.0,10.0,38.0,31.0,30.0,14.0,70.0,17.0,19.0,68.0,33.0,27.0,15.0,90.0,11.0
2255,2.0,15.0,18.0,6.0,10.0,0.0,37.0,1.0,28.0,23.0,7.0,32.0,12.0,14.0,11.0,13.0,8.0,35.0,31.0,9.0,29.0,90.0,42.0,19.0,30.0,41.0,25.0,5.0,85.0,16.0
