,hsa-miR-30a,hsa-miR-766,hsa-miR-607,hsa-miR-1246,hsa-miR-1825,hsa-miR-378,hsa-miR-22,hsa-miR-643,hsa-miR-30e,hsa-miR-499-5p,hsa-miR-488,hsa-miR-589,hsa-miR-591,hsa-miR-590-5p,hsa-miR-578,hsa-miR-590-3p,hsa-miR-588,hsa-miR-587,hsa-miR-583,hsa-miR-586,hsa-miR-584,hsa-miR-582-3p,hsa-miR-580,hsa-miR-579,hsa-miR-581,hsa-miR-582-5p,hsa-miR-577,hsa-miR-576-5p,hsa-miR-592,hsa-miR-576-3p
510,0.0,15.0,32.0,5.0,396.0,1.0,567.0,34.0,23.0,523.0,35.0,92.0,13.0,90.0,28.0,91.0,69.0,70.0,51.0,67.0,47.0,46.0,57.0,59.0,54.0,48.0,62.0,63.0,88.0,66.0
559,0.0,1.0,19.0,14.0,16.0,486.0,6.0,44.0,596.0,526.0,553.0,17.0,5.0,62.0,37.0,48.0,49.0,47.0,52.0,50.0,51.0,54.0,56.0,57.0,55.0,53.0,58.0,59.0,46.0,60.0
608,0.0,1.0,2.0,21.0,397.0,4.0,568.0,5.0,8.0,527.0,535.0,54.0,51.0,52.0,15.0,53.0,56.0,57.0,60.0,58.0,59.0,62.0,65.0,100.0,64.0,61.0,139.0,140.0,40.0,141.0
657,1.0,0.0,15.0,14.0,395.0,484.0,2.0,30.0,31.0,525.0,39.0,49.0,34.0,43.0,46.0,57.0,50.0,58.0,52.0,55.0,48.0,54.0,51.0,47.0,53.0,56.0,45.0,44.0,75.0,42.0
706,0.0,2.0,17.0,439.0,394.0,485.0,565.0,272.0,597.0,526.0,552.0,47.0,41.0,55.0,32.0,44.0,48.0,49.0,54.0,50.0,51.0,53.0,46.0,45.0,52.0,43.0,40.0,39.0,38.0,37.0
755,0.0,2.0,27.0,1.0,391.0,3.0,562.0,31.0,15.0,36.0,38.0,66.0,22.0,68.0,146.0,67.0,71.0,64.0,58.0,61.0,59.0,107.0,144.0,145.0,108.0,106.0,147.0,148.0,56.0,149.0
804,0.0,2.0,3.0,11.0,18.0,37.0,4.0,279.0,42.0,523.0,28.0,43.0,60.0,53.0,34.0,61.0,50.0,45.0,59.0,55.0,51.0,57.0,54.0,52.0,56.0,58.0,48.0,44.0,49.0,86.0
853,0.0,1.0,93.0,421.0,21.0,485.0,562.0,274.0,612.0,40.0,552.0,5.0,59.0,11.0,42.0,54.0,55.0,47.0,52.0,56.0,53.0,50.0,48.0,44.0,49.0,51.0,41.0,45.0,58.0,86.0
902,4.0,0.0,1.0,13.0,398.0,12.0,569.0,287.0,34.0,524.0,40.0,54.0,46.0,52.0,36.0,53.0,56.0,57.0,51.0,58.0,59.0,49.0,55.0,50.0,47.0,61.0,60.0,48.0,45.0,44.0
951,0.0,2.0,4.0,14.0,399.0,36.0,8.0,5.0,598.0,524.0,38.0,49.0,20.0,46.0,55.0,48.0,59.0,52.0,45.0,56.0,58.0,54.0,51.0,42.0,57.0,60.0,50.0,47.0,43.0,44.0
1000,2.0,3.0,4.0,19.0,396.0,487.0,23.0,276.0,598.0,526.0,41.0,68.0,63.0,55.0,32.0,69.0,67.0,66.0,64.0,65.0,71.0,60.0,58.0,57.0,59.0,62.0,105.0,106.0,54.0,141.0
1049,1.0,0.0,17.0,12.0,397.0,10.0,565.0,175.0,9.0,524.0,552.0,50.0,47.0,21.0,49.0,46.0,51.0,48.0,57.0,54.0,55.0,42.0,53.0,52.0,56.0,58.0,59.0,41.0,43.0,95.0
1098,0.0,17.0,12.0,13.0,394.0,482.0,563.0,276.0,25.0,524.0,551.0,47.0,65.0,53.0,63.0,48.0,45.0,50.0,54.0,44.0,64.0,58.0,60.0,61.0,59.0,56.0,95.0,134.0,80.0,97.0
