,CWF19L2_AMP,CNTN5_DEL,EIF5AL1_DEL,CHD1_MUT,FBXO31_DEL,LOC653786_DEL,GALC_DEL,ETS1_DEL,UPK3B_AMP,GLI3_MUT,AATK_AMP,KCNK13_DEL,FGFR1_DEL,MLL3_MUT,MAST4_MUT,SGCZ_DEL,PRB1_AMP,SMARCA4_MUT,AGAP8_AMP,TAS2R43_AMP,TAS2R43_DEL,AMHR2_MUT,TPTE2P3_DEL,LCE1C_AMP,FAM91A2_AMP,CT45A1_AMP,GSTTP1_AMP,LOC728407_AMP,INADL_AMP,SCAPER_DEL
567,0.0,9.0,3.0,15.0,1149.0,22.0,2094.0,794.0,22847.0,1273.0,19557.0,12170.0,86.0,2422.0,288.0,2127.0,22126.0,44.0,8.0,13973.0,2643.0,34.0,2741.0,544.0,22014.0,272.0,609.0,24056.0,1324.0,268.0
616,0.0,22.0,277.0,1207.0,416.0,2759.0,24.0,29.0,531.0,100.0,19633.0,12223.0,1.0,16732.0,16447.0,1567.0,1588.0,16982.0,24087.0,231.0,2656.0,287.0,1573.0,15022.0,1375.0,1674.0,1000.0,279.0,1176.0,1928.0
665,0.0,280.0,1331.0,16619.0,28.0,4.0,773.0,1123.0,1381.0,203.0,19609.0,1321.0,402.0,16947.0,426.0,128.0,1442.0,78.0,5.0,13915.0,1032.0,16624.0,523.0,96.0,21543.0,376.0,342.0,24.0,16173.0,177.0
714,7.0,9.0,5335.0,16625.0,38.0,1187.0,48.0,4.0,340.0,16454.0,688.0,312.0,85.0,606.0,51.0,590.0,22591.0,16934.0,74.0,501.0,18.0,16658.0,529.0,1967.0,289.0,22336.0,22.0,653.0,16366.0,13.0
763,0.0,22.0,90.0,1.0,7355.0,11918.0,6060.0,412.0,1868.0,514.0,19557.0,568.0,6707.0,2073.0,16364.0,193.0,22628.0,875.0,261.0,323.0,1073.0,41.0,209.0,14944.0,13.0,22323.0,221.0,23836.0,1533.0,201.0
812,0.0,31.0,1698.0,555.0,120.0,273.0,2.0,6311.0,173.0,545.0,565.0,12218.0,1860.0,51.0,161.0,484.0,22602.0,5.0,3.0,1271.0,107.0,35.0,6741.0,37.0,549.0,25.0,2572.0,88.0,80.0,10850.0
861,29.0,10.0,118.0,11.0,730.0,11878.0,34.0,5349.0,20.0,65.0,19558.0,115.0,2600.0,16932.0,16353.0,2387.0,176.0,16898.0,8.0,14034.0,1857.0,186.0,1077.0,283.0,12.0,1245.0,45.0,23828.0,16116.0,2658.0
910,0.0,149.0,2273.0,126.0,166.0,674.0,117.0,1107.0,144.0,960.0,745.0,11995.0,7629.0,303.0,54.0,296.0,22551.0,13.0,35.0,491.0,63.0,223.0,237.0,26.0,1259.0,25.0,13874.0,18.0,16100.0,2653.0
959,0.0,283.0,8.0,10.0,749.0,31.0,1.0,469.0,2665.0,123.0,242.0,30.0,339.0,689.0,16393.0,1007.0,14.0,16884.0,23956.0,338.0,6892.0,32.0,5450.0,1050.0,21557.0,22342.0,2652.0,430.0,16127.0,574.0
1008,4.0,2.0,3221.0,0.0,15.0,47.0,1544.0,5.0,360.0,95.0,44.0,12542.0,7.0,48.0,16396.0,1483.0,675.0,16947.0,358.0,1146.0,2652.0,260.0,6170.0,11.0,21509.0,22352.0,1935.0,913.0,295.0,2339.0
1057,20.0,0.0,538.0,233.0,1.0,11948.0,6973.0,169.0,175.0,16435.0,472.0,284.0,2.0,29.0,16381.0,5200.0,447.0,346.0,24058.0,10.0,16.0,28.0,2082.0,3.0,22487.0,22231.0,2106.0,1163.0,1066.0,354.0
1106,6.0,1.0,66.0,53.0,36.0,1032.0,1036.0,669.0,9.0,0.0,7.0,12141.0,4.0,16968.0,17.0,338.0,93.0,20.0,27.0,201.0,14.0,1297.0,37.0,15025.0,167.0,22331.0,13963.0,291.0,873.0,1076.0
1155,17351.0,145.0,209.0,2133.0,26.0,1327.0,6992.0,19.0,22846.0,1025.0,181.0,1032.0,9.0,16960.0,16444.0,5253.0,22623.0,634.0,7.0,412.0,0.0,58.0,50.0,14.0,204.0,187.0,1217.0,455.0,324.0,89.0
1204,9.0,165.0,4405.0,0.0,3.0,11865.0,1784.0,5495.0,2.0,16540.0,39.0,1292.0,1.0,1026.0,16379.0,205.0,22564.0,770.0,48.0,74.0,6822.0,16669.0,214.0,15000.0,1156.0,67.0,1062.0,23832.0,20.0,855.0
1253,45.0,11.0,2491.0,26.0,15.0,468.0,76.0,4806.0,13.0,139.0,1263.0,864.0,5.0,12.0,466.0,75.0,22557.0,2317.0,18.0,322.0,20.0,1083.0,1816.0,2099.0,38.0,232.0,13886.0,665.0,16118.0,1.0
1302,4.0,10274.0,6.0,0.0,7290.0,594.0,3.0,107.0,22834.0,16408.0,367.0,12127.0,11.0,22.0,16385.0,5126.0,1747.0,1589.0,912.0,24.0,155.0,16414.0,2227.0,13.0,780.0,323.0,13891.0,2159.0,18005.0,2.0
1351,0.0,163.0,5.0,23.0,766.0,132.0,143.0,2583.0,535.0,139.0,19626.0,1828.0,6759.0,9.0,16391.0,578.0,107.0,16927.0,24073.0,2.0,451.0,16556.0,41.0,15039.0,2040.0,427.0,151.0,24072.0,24.0,40.0
1400,42.0,38.0,2974.0,16600.0,8.0,75.0,6643.0,15.0,577.0,2614.0,19614.0,12187.0,87.0,16937.0,16432.0,2670.0,22560.0,1714.0,24074.0,0.0,94.0,1345.0,2024.0,910.0,354.0,856.0,540.0,24073.0,16102.0,4.0
1449,11.0,4.0,1356.0,1.0,13.0,175.0,198.0,632.0,34.0,16540.0,1453.0,225.0,5.0,257.0,1886.0,22.0,22592.0,36.0,24051.0,14.0,3.0,116.0,4922.0,1207.0,85.0,28.0,55.0,266.0,16122.0,8.0
1498,57.0,5.0,62.0,538.0,7327.0,26.0,6072.0,246.0,23304.0,46.0,320.0,4.0,1651.0,16950.0,901.0,22.0,975.0,861.0,2.0,9.0,31.0,16624.0,786.0,43.0,1368.0,2510.0,13866.0,1576.0,17042.0,10815.0
1547,1738.0,1462.0,2.0,71.0,7347.0,1201.0,1543.0,69.0,35.0,16418.0,21.0,16.0,1400.0,16962.0,16363.0,0.0,78.0,989.0,130.0,100.0,6002.0,16536.0,4956.0,787.0,276.0,230.0,463.0,23838.0,16126.0,191.0
1596,1591.0,2.0,1155.0,16613.0,26.0,67.0,90.0,3.0,148.0,2063.0,1.0,0.0,523.0,101.0,1224.0,22.0,22612.0,536.0,18.0,14023.0,17.0,816.0,326.0,27.0,171.0,19.0,2624.0,379.0,16116.0,10821.0
1645,58.0,69.0,140.0,16625.0,28.0,1556.0,290.0,4892.0,22851.0,227.0,50.0,0.0,6794.0,185.0,16376.0,1291.0,82.0,31.0,14.0,523.0,1068.0,901.0,4993.0,904.0,147.0,782.0,13975.0,501.0,504.0,2788.0
1694,447.0,16.0,224.0,16611.0,7339.0,47.0,1605.0,49.0,36.0,1464.0,2.0,14.0,403.0,16957.0,51.0,7.0,22555.0,430.0,23844.0,1628.0,2698.0,2172.0,2620.0,22.0,678.0,282.0,969.0,18.0,644.0,10804.0
1743,21.0,10292.0,6348.0,182.0,17.0,11811.0,9.0,40.0,42.0,301.0,13.0,82.0,4867.0,16936.0,16333.0,25.0,22547.0,863.0,6.0,35.0,108.0,713.0,2646.0,134.0,715.0,125.0,1964.0,892.0,16101.0,10757.0
1792,504.0,1471.0,15.0,16621.0,7287.0,2.0,22.0,5987.0,23312.0,16422.0,10.0,3.0,5684.0,121.0,356.0,4562.0,242.0,517.0,30.0,14043.0,4.0,16651.0,2304.0,394.0,234.0,82.0,1031.0,23956.0,2562.0,997.0
1841,17343.0,20.0,5298.0,16634.0,147.0,214.0,6966.0,19.0,1516.0,305.0,0.0,624.0,6744.0,531.0,16382.0,9.0,22618.0,16.0,10.0,209.0,2676.0,311.0,168.0,14970.0,21567.0,79.0,1006.0,2239.0,16146.0,10836.0
1890,1325.0,12.0,127.0,16616.0,165.0,85.0,6977.0,5.0,69.0,1722.0,0.0,708.0,542.0,16938.0,1753.0,2474.0,1219.0,16902.0,351.0,4.0,77.0,306.0,4944.0,35.0,167.0,14.0,2497.0,1057.0,990.0,2672.0
1939,19.0,10.0,1867.0,16602.0,32.0,135.0,6740.0,7165.0,242.0,16406.0,325.0,196.0,7193.0,418.0,16349.0,20.0,154.0,12.0,11.0,40.0,2378.0,700.0,6903.0,47.0,50.0,2020.0,1659.0,23835.0,674.0,10377.0
1988,12.0,10369.0,47.0,1638.0,7395.0,568.0,70.0,643.0,14.0,442.0,31.0,12211.0,296.0,6.0,171.0,4630.0,22118.0,16987.0,48.0,2351.0,160.0,1199.0,2762.0,88.0,13.0,18.0,13967.0,24111.0,9.0,459.0
2037,74.0,121.0,5705.0,16636.0,1139.0,195.0,154.0,72.0,5.0,355.0,19598.0,0.0,7055.0,3.0,426.0,1133.0,71.0,1375.0,142.0,14063.0,6872.0,1.0,37.0,1937.0,2175.0,22224.0,445.0,87.0,16121.0,1257.0
2086,4.0,377.0,1.0,3.0,1266.0,56.0,298.0,5969.0,37.0,5.0,380.0,32.0,4907.0,0.0,7.0,127.0,22612.0,106.0,23959.0,30.0,6721.0,10.0,1391.0,15016.0,283.0,227.0,13901.0,24133.0,11.0,95.0
2135,67.0,15.0,1739.0,29.0,7325.0,6.0,72.0,1827.0,18.0,134.0,19620.0,39.0,123.0,560.0,50.0,2731.0,636.0,443.0,217.0,680.0,433.0,16664.0,131.0,56.0,65.0,1304.0,159.0,479.0,121.0,1047.0
2184,8.0,3.0,126.0,16618.0,1459.0,10.0,9.0,169.0,7.0,56.0,96.0,6.0,369.0,57.0,16.0,3094.0,50.0,187.0,24080.0,2738.0,681.0,1641.0,352.0,14993.0,21550.0,322.0,116.0,24088.0,16180.0,2.0
2233,1.0,15.0,66.0,273.0,8092.0,503.0,2.0,5266.0,52.0,1665.0,23374.0,11182.0,248.0,10980.0,583.0,2731.0,98.0,10770.0,21490.0,2726.0,7869.0,1060.0,365.0,939.0,14738.0,15408.0,2531.0,178.0,375.0,0.0
2282,4.0,175.0,130.0,72.0,7327.0,772.0,1705.0,1524.0,93.0,16421.0,19622.0,3.0,144.0,1642.0,1888.0,4346.0,393.0,103.0,743.0,14032.0,1.0,16648.0,5650.0,14992.0,289.0,22333.0,22.0,24075.0,516.0,209.0
2331,27.0,2653.0,6.0,9.0,7293.0,12.0,123.0,4880.0,50.0,30.0,2477.0,137.0,10.0,407.0,48.0,346.0,22612.0,955.0,174.0,2305.0,430.0,184.0,4970.0,95.0,46.0,22326.0,86.0,583.0,63.0,34.0
2380,0.0,106.0,5366.0,16587.0,7295.0,62.0,3.0,195.0,537.0,389.0,16.0,606.0,107.0,512.0,19.0,2672.0,22578.0,16882.0,60.0,423.0,6962.0,518.0,2305.0,14936.0,193.0,22292.0,26.0,25.0,16115.0,10815.0
2429,159.0,387.0,64.0,777.0,7340.0,74.0,1138.0,33.0,22817.0,120.0,251.0,206.0,1615.0,794.0,22.0,434.0,233.0,80.0,70.0,802.0,157.0,371.0,209.0,1131.0,2630.0,464.0,654.0,16.0,0.0,1665.0
2478,5.0,3.0,4455.0,182.0,15.0,494.0,16.0,0.0,33.0,1629.0,609.0,1314.0,216.0,143.0,16343.0,193.0,10.0,37.0,1477.0,1610.0,5193.0,1581.0,174.0,122.0,2660.0,22357.0,13866.0,42.0,2530.0,993.0
2527,17378.0,0.0,189.0,2.0,1.0,558.0,44.0,3.0,5.0,380.0,43.0,12155.0,10.0,199.0,492.0,2854.0,132.0,2549.0,24088.0,33.0,752.0,127.0,26.0,74.0,2442.0,821.0,168.0,24079.0,128.0,1248.0
2576,107.0,8.0,1.0,0.0,5.0,98.0,339.0,22.0,81.0,2210.0,19846.0,839.0,5172.0,1970.0,16400.0,1332.0,167.0,162.0,2511.0,965.0,658.0,16681.0,4799.0,87.0,22463.0,22215.0,2354.0,24127.0,131.0,229.0
2625,0.0,5.0,18.0,87.0,9971.0,353.0,99.0,209.0,14.0,16653.0,717.0,11954.0,28.0,26.0,16431.0,192.0,1173.0,45.0,137.0,14030.0,1333.0,16661.0,1310.0,169.0,396.0,22363.0,279.0,30.0,2007.0,2744.0
2674,2.0,251.0,774.0,18.0,166.0,700.0,66.0,0.0,34.0,16657.0,13.0,12140.0,48.0,237.0,8.0,5215.0,503.0,1042.0,328.0,4.0,1229.0,5.0,4984.0,14953.0,28.0,1373.0,13900.0,23836.0,63.0,1726.0
2723,1.0,1043.0,283.0,0.0,113.0,888.0,44.0,1365.0,1775.0,526.0,2740.0,582.0,18.0,5.0,16436.0,192.0,1061.0,16939.0,955.0,7.0,28.0,16688.0,4717.0,15288.0,8.0,1564.0,527.0,194.0,30.0,2677.0
2772,2593.0,10324.0,2751.0,3.0,231.0,44.0,8.0,0.0,56.0,496.0,2823.0,57.0,1126.0,309.0,16451.0,2.0,105.0,16981.0,48.0,13955.0,87.0,224.0,5025.0,1026.0,218.0,22228.0,274.0,1973.0,32.0,562.0
2821,3.0,103.0,105.0,7.0,319.0,0.0,56.0,51.0,812.0,16658.0,19614.0,729.0,118.0,213.0,60.0,6.0,22626.0,1132.0,23959.0,109.0,74.0,16667.0,140.0,250.0,2746.0,22332.0,2127.0,145.0,16146.0,10836.0
2870,2320.0,370.0,79.0,0.0,7349.0,11901.0,6970.0,239.0,2354.0,16462.0,11.0,121.0,816.0,2643.0,218.0,1664.0,234.0,92.0,24050.0,86.0,291.0,133.0,156.0,366.0,1302.0,22346.0,13915.0,24049.0,51.0,1383.0
2919,33.0,1019.0,71.0,5.0,1.0,12346.0,18.0,10.0,24009.0,12363.0,132.0,11091.0,683.0,3926.0,317.0,1017.0,578.0,4613.0,22008.0,8.0,7211.0,12325.0,445.0,14490.0,1240.0,15595.0,404.0,22007.0,934.0,12.0
2968,3.0,0.0,1652.0,1372.0,19.0,11883.0,7012.0,8.0,344.0,16548.0,19634.0,298.0,78.0,1268.0,539.0,124.0,22631.0,83.0,24070.0,14055.0,131.0,45.0,11.0,10.0,21564.0,187.0,47.0,60.0,16120.0,10836.0
3017,3.0,1.0,46.0,162.0,2.0,1681.0,6972.0,33.0,22833.0,189.0,222.0,536.0,159.0,440.0,16376.0,76.0,1359.0,274.0,54.0,548.0,4.0,871.0,0.0,47.0,21562.0,22327.0,13.0,649.0,407.0,142.0
3066,1.0,84.0,87.0,56.0,5.0,11893.0,6579.0,5911.0,423.0,16422.0,1864.0,497.0,70.0,122.0,261.0,1990.0,15.0,58.0,24073.0,1059.0,13.0,32.0,993.0,14981.0,498.0,22323.0,53.0,24072.0,16124.0,10810.0
3115,0.0,7.0,10.0,435.0,11.0,220.0,21.0,186.0,418.0,70.0,29.0,355.0,50.0,16960.0,18.0,264.0,30.0,16895.0,24068.0,14060.0,2005.0,1048.0,109.0,235.0,1503.0,248.0,459.0,24078.0,423.0,480.0
3164,4.0,1.0,1180.0,0.0,48.0,122.0,7068.0,47.0,22886.0,8.0,19851.0,12215.0,6804.0,695.0,16392.0,5259.0,12.0,53.0,216.0,13952.0,7.0,90.0,40.0,15026.0,1484.0,108.0,388.0,68.0,1386.0,10865.0
3213,0.0,62.0,9.0,77.0,34.0,11870.0,7004.0,18.0,2706.0,313.0,19560.0,12145.0,6790.0,16940.0,589.0,628.0,28.0,15.0,1555.0,2736.0,193.0,16538.0,2691.0,15023.0,21536.0,579.0,13962.0,24082.0,201.0,1309.0
3262,203.0,71.0,1.0,16616.0,11.0,92.0,6089.0,0.0,609.0,5.0,2001.0,2.0,2212.0,16953.0,16424.0,179.0,22617.0,8.0,4.0,651.0,2441.0,482.0,4943.0,25.0,78.0,1067.0,132.0,112.0,16100.0,19.0
3311,8.0,12192.0,142.0,276.0,9412.0,469.0,12.0,215.0,2.0,25.0,2498.0,21.0,933.0,615.0,15.0,17.0,22555.0,828.0,7.0,50.0,89.0,16531.0,7153.0,109.0,21499.0,2243.0,298.0,364.0,18007.0,270.0
3360,8.0,55.0,0.0,1578.0,295.0,2665.0,53.0,491.0,1541.0,1.0,19555.0,406.0,7656.0,1463.0,16369.0,135.0,22594.0,797.0,301.0,13898.0,43.0,16648.0,2136.0,255.0,766.0,49.0,52.0,24076.0,16127.0,10321.0
3409,21.0,1479.0,7.0,16615.0,919.0,258.0,1698.0,1499.0,1107.0,16643.0,1091.0,11.0,2579.0,16936.0,1858.0,5151.0,200.0,4.0,23859.0,1108.0,6035.0,16653.0,17.0,548.0,21516.0,22285.0,13.0,23867.0,16093.0,213.0
3458,205.0,83.0,3.0,19.0,10124.0,2086.0,6165.0,5241.0,6.0,43.0,8.0,149.0,504.0,391.0,16436.0,5482.0,22596.0,59.0,221.0,18.0,6225.0,16673.0,1186.0,567.0,21552.0,22342.0,13948.0,891.0,16126.0,152.0
3507,2.0,150.0,427.0,16655.0,32.0,191.0,346.0,5457.0,1.0,16688.0,4.0,12222.0,73.0,16975.0,1897.0,1206.0,635.0,430.0,24064.0,898.0,1727.0,408.0,18.0,15286.0,22494.0,1234.0,81.0,26.0,16136.0,10902.0
3556,79.0,16.0,23.0,1.0,8.0,710.0,245.0,128.0,5.0,36.0,2.0,12223.0,6771.0,16980.0,436.0,1433.0,22629.0,910.0,24051.0,75.0,2496.0,1394.0,4851.0,573.0,1618.0,22332.0,142.0,24050.0,1131.0,2614.0
3605,2041.0,10.0,1.0,320.0,7338.0,27.0,355.0,15.0,31.0,16436.0,1272.0,12215.0,101.0,16986.0,163.0,2742.0,87.0,16913.0,239.0,73.0,94.0,181.0,437.0,15037.0,2688.0,204.0,13909.0,24087.0,12.0,10836.0
3654,68.0,2.0,923.0,2346.0,6.0,84.0,6984.0,5132.0,1.0,25.0,19601.0,12194.0,6781.0,54.0,333.0,13.0,257.0,16914.0,29.0,47.0,362.0,469.0,0.0,15135.0,2781.0,320.0,5.0,152.0,244.0,2261.0
3703,772.0,394.0,94.0,21.0,1372.0,1.0,30.0,2394.0,0.0,13.0,332.0,12162.0,321.0,4.0,84.0,35.0,31.0,16919.0,24055.0,10.0,474.0,195.0,521.0,297.0,21555.0,380.0,57.0,7.0,33.0,878.0
3752,15.0,1.0,275.0,4.0,69.0,38.0,6969.0,13.0,2.0,163.0,19598.0,141.0,415.0,12.0,16359.0,76.0,2237.0,2545.0,654.0,294.0,244.0,16639.0,9.0,14944.0,21499.0,16.0,13882.0,193.0,189.0,245.0
3801,17403.0,532.0,5255.0,151.0,113.0,13.0,7.0,4863.0,2.0,256.0,0.0,2554.0,6719.0,364.0,1313.0,20.0,996.0,390.0,10.0,337.0,299.0,16649.0,19.0,1240.0,92.0,22233.0,3.0,24078.0,843.0,1241.0
3850,12.0,119.0,1228.0,486.0,3.0,11883.0,2.0,4867.0,22849.0,538.0,777.0,12192.0,634.0,579.0,73.0,535.0,8.0,202.0,165.0,184.0,2155.0,522.0,1143.0,152.0,63.0,1089.0,2646.0,436.0,360.0,523.0
3899,29.0,1575.0,258.0,2040.0,218.0,248.0,184.0,1160.0,193.0,16634.0,217.0,88.0,388.0,16929.0,60.0,613.0,22610.0,16941.0,23835.0,5.0,320.0,219.0,8.0,666.0,25.0,1965.0,101.0,13.0,16142.0,10813.0
3948,7.0,10338.0,27.0,395.0,7369.0,11946.0,15.0,366.0,22818.0,940.0,19595.0,2175.0,6764.0,1191.0,95.0,2731.0,22615.0,1183.0,1477.0,14043.0,6073.0,1842.0,414.0,15033.0,21570.0,22329.0,1479.0,24086.0,405.0,44.0
3997,1.0,699.0,22.0,288.0,464.0,11867.0,1404.0,887.0,37.0,16392.0,822.0,830.0,5686.0,16940.0,16345.0,444.0,294.0,0.0,23956.0,885.0,5258.0,121.0,249.0,2357.0,21494.0,22354.0,13888.0,23955.0,16099.0,504.0
4046,0.0,10324.0,11.0,5.0,1243.0,8146.0,922.0,1249.0,6.0,16417.0,104.0,1293.0,5938.0,2040.0,489.0,4219.0,22613.0,229.0,23828.0,253.0,7.0,16537.0,1236.0,74.0,214.0,254.0,13891.0,2419.0,191.0,107.0
4095,232.0,10307.0,4397.0,270.0,7331.0,11915.0,1275.0,5625.0,17.0,26.0,408.0,152.0,5504.0,363.0,966.0,50.0,2061.0,1033.0,23837.0,14068.0,6833.0,354.0,13.0,14974.0,21534.0,1873.0,220.0,23835.0,16150.0,2694.0
4144,1.0,2220.0,126.0,28.0,7.0,248.0,6413.0,4858.0,963.0,16640.0,9.0,1208.0,6711.0,21.0,2218.0,506.0,120.0,43.0,1102.0,481.0,5992.0,1529.0,2736.0,14973.0,17.0,119.0,2097.0,23827.0,76.0,350.0
4193,7.0,1512.0,763.0,1.0,836.0,237.0,490.0,2388.0,333.0,4.0,22824.0,10752.0,5504.0,12762.0,654.0,2355.0,898.0,853.0,22586.0,115.0,739.0,157.0,5473.0,270.0,15918.0,13842.0,2437.0,22564.0,15.0,78.0
4242,163.0,10366.0,57.0,143.0,7358.0,59.0,19.0,11.0,963.0,22.0,550.0,62.0,1774.0,16980.0,9.0,2742.0,22592.0,7.0,24048.0,804.0,1470.0,219.0,2738.0,812.0,133.0,22343.0,683.0,56.0,233.0,10882.0
4291,0.0,197.0,5413.0,16.0,7349.0,11868.0,776.0,348.0,147.0,249.0,247.0,211.0,4910.0,16954.0,16366.0,595.0,22609.0,16917.0,24133.0,106.0,341.0,1013.0,2011.0,671.0,21552.0,22358.0,269.0,2655.0,1114.0,2714.0
4340,47.0,1361.0,3.0,2.0,788.0,10225.0,3600.0,7333.0,1443.0,5.0,2785.0,2008.0,7559.0,146.0,16392.0,6073.0,2383.0,7.0,24077.0,233.0,2619.0,720.0,1426.0,15017.0,21572.0,22330.0,13980.0,191.0,14.0,131.0
4389,17358.0,1123.0,5193.0,25.0,2359.0,11856.0,881.0,84.0,2.0,1172.0,19573.0,374.0,6659.0,16928.0,787.0,292.0,22619.0,1809.0,493.0,14030.0,120.0,16642.0,2613.0,14948.0,2439.0,316.0,1848.0,23831.0,280.0,10849.0
4438,5.0,0.0,6070.0,100.0,9934.0,1700.0,6735.0,2.0,2361.0,16639.0,19564.0,108.0,6920.0,377.0,16411.0,72.0,32.0,51.0,34.0,2695.0,6795.0,923.0,159.0,812.0,907.0,176.0,13874.0,103.0,16121.0,722.0
4487,7.0,2.0,33.0,16610.0,7661.0,258.0,7241.0,233.0,22827.0,16418.0,19588.0,89.0,312.0,13.0,16.0,2136.0,8.0,16897.0,670.0,13915.0,52.0,817.0,234.0,110.0,88.0,22230.0,13947.0,5.0,22.0,934.0
4536,1.0,10321.0,5.0,57.0,7333.0,11900.0,148.0,97.0,22841.0,470.0,16.0,7.0,55.0,218.0,2009.0,5119.0,38.0,9.0,556.0,13998.0,1706.0,182.0,13.0,610.0,2636.0,1427.0,28.0,6.0,706.0,2352.0
4585,71.0,747.0,686.0,2181.0,7365.0,31.0,19.0,4837.0,701.0,528.0,319.0,30.0,58.0,1411.0,73.0,2693.0,358.0,47.0,24050.0,14031.0,195.0,132.0,0.0,15011.0,21535.0,409.0,2005.0,93.0,16117.0,2097.0
4634,307.0,1.0,6.0,1297.0,1237.0,471.0,2054.0,422.0,2231.0,2539.0,54.0,30.0,372.0,28.0,131.0,69.0,3.0,582.0,23956.0,1631.0,6012.0,16542.0,4963.0,15.0,48.0,807.0,550.0,508.0,645.0,154.0
4683,9.0,4.0,6.0,19.0,789.0,1.0,6967.0,649.0,22818.0,99.0,7.0,3.0,2481.0,2682.0,0.0,1420.0,16.0,151.0,24056.0,45.0,461.0,93.0,2285.0,28.0,903.0,84.0,13950.0,354.0,16120.0,1195.0
4732,0.0,17.0,9.0,21.0,1080.0,99.0,44.0,1607.0,1240.0,179.0,19615.0,76.0,257.0,300.0,16417.0,5141.0,117.0,823.0,203.0,16.0,436.0,272.0,28.0,89.0,126.0,174.0,622.0,24050.0,19.0,610.0
4781,17351.0,0.0,23.0,334.0,1840.0,1137.0,1475.0,760.0,23312.0,95.0,19576.0,7.0,99.0,255.0,654.0,5683.0,2.0,33.0,23834.0,14041.0,6788.0,16643.0,222.0,110.0,165.0,851.0,1061.0,221.0,451.0,1487.0
4830,188.0,2.0,25.0,1156.0,48.0,112.0,46.0,104.0,23303.0,16387.0,2420.0,3.0,1127.0,39.0,10.0,44.0,72.0,671.0,59.0,13937.0,1425.0,16393.0,0.0,732.0,788.0,7.0,41.0,1674.0,17041.0,2647.0
