, H2O2, MAPK_only, IL-1, PI3K_only, MAPK_PI3K, VEGF, JAK-STAT, TLR, TGFB, TNFa, Wnt
1756,1.0,8.0,3.0,0.0,6.0,2.0,5.0,9.0,4.0,10.0,7.0
1805,0.0,1.0,8.0,2.0,3.0,4.0,10.0,5.0,6.0,7.0,9.0
1854,5.0,0.0,6.0,2.0,4.0,10.0,8.0,7.0,1.0,3.0,9.0
1903,5.0,0.0,2.0,1.0,6.0,10.0,3.0,7.0,4.0,8.0,9.0
1952,4.0,2.0,0.0,1.0,5.0,7.0,9.0,3.0,10.0,6.0,8.0
2001,1.0,2.0,0.0,5.0,4.0,8.0,7.0,3.0,10.0,6.0,9.0
2050,5.0,0.0,3.0,1.0,8.0,7.0,10.0,4.0,2.0,6.0,9.0
2099,0.0,2.0,3.0,1.0,8.0,4.0,5.0,9.0,6.0,10.0,7.0
2148,2.0,3.0,5.0,0.0,1.0,4.0,9.0,6.0,8.0,7.0,10.0
2197,1.0,0.0,3.0,5.0,4.0,8.0,6.0,7.0,2.0,10.0,9.0
2246,0.0,4.0,1.0,3.0,9.0,7.0,8.0,2.0,6.0,5.0,10.0
2295,3.0,4.0,0.0,1.0,5.0,7.0,10.0,8.0,2.0,6.0,9.0
2344,0.0,2.0,3.0,1.0,6.0,9.0,5.0,7.0,4.0,8.0,10.0
2393,0.0,3.0,1.0,2.0,4.0,8.0,5.0,6.0,7.0,9.0,10.0
2442,0.0,1.0,4.0,2.0,8.0,7.0,6.0,5.0,10.0,3.0,9.0
2491,2.0,1.0,9.0,8.0,6.0,0.0,5.0,7.0,3.0,4.0,10.0
2540,0.0,2.0,1.0,8.0,3.0,6.0,4.0,7.0,5.0,9.0,10.0
2589,3.0,1.0,6.0,0.0,2.0,9.0,4.0,5.0,7.0,8.0,10.0
2638,2.0,0.0,8.0,1.0,5.0,9.0,3.0,6.0,7.0,4.0,10.0
2687,6.0,1.0,3.0,5.0,4.0,2.0,7.0,8.0,0.0,9.0,10.0
2736,5.0,7.0,6.0,4.0,1.0,0.0,3.0,8.0,10.0,9.0,2.0
2785,4.0,0.0,6.0,3.0,2.0,8.0,1.0,9.0,5.0,10.0,7.0
2834,1.0,0.0,3.0,4.0,2.0,7.0,9.0,10.0,8.0,6.0,5.0
2883,0.0,1.0,4.0,6.0,2.0,3.0,9.0,5.0,7.0,8.0,10.0
2932,0.0,1.0,2.0,6.0,3.0,5.0,8.0,10.0,9.0,4.0,7.0
2981,2.0,1.0,3.0,0.0,5.0,10.0,7.0,8.0,9.0,4.0,6.0
3030,2.0,3.0,5.0,0.0,6.0,4.0,9.0,8.0,10.0,7.0,1.0
3079,2.0,5.0,0.0,1.0,6.0,4.0,9.0,3.0,10.0,7.0,8.0
3128,1.0,4.0,6.0,2.0,0.0,7.0,3.0,9.0,10.0,5.0,8.0
3177,1.0,3.0,2.0,0.0,4.0,5.0,9.0,10.0,6.0,7.0,8.0
3226,0.0,3.0,2.0,1.0,7.0,10.0,6.0,4.0,9.0,5.0,8.0
3275,6.0,4.0,0.0,2.0,1.0,8.0,3.0,7.0,10.0,5.0,9.0
3324,3.0,5.0,0.0,1.0,2.0,8.0,4.0,6.0,10.0,7.0,9.0
3373,1.0,2.0,0.0,6.0,3.0,7.0,9.0,5.0,4.0,8.0,10.0
3422,3.0,4.0,0.0,1.0,8.0,9.0,10.0,5.0,6.0,2.0,7.0
3471,1.0,3.0,8.0,0.0,6.0,2.0,5.0,9.0,4.0,7.0,10.0
3520,0.0,1.0,9.0,2.0,3.0,8.0,6.0,7.0,5.0,4.0,10.0
3569,3.0,5.0,0.0,8.0,6.0,4.0,9.0,7.0,2.0,1.0,10.0
3618,2.0,0.0,4.0,1.0,3.0,8.0,10.0,7.0,5.0,6.0,9.0
3667,5.0,1.0,6.0,2.0,7.0,4.0,10.0,8.0,0.0,3.0,9.0
3716,2.0,0.0,9.0,1.0,6.0,4.0,10.0,3.0,7.0,8.0,5.0
3765,0.0,4.0,2.0,5.0,1.0,3.0,8.0,9.0,10.0,6.0,7.0
3814,0.0,1.0,3.0,4.0,2.0,9.0,7.0,8.0,5.0,6.0,10.0
3863,0.0,6.0,5.0,3.0,8.0,1.0,2.0,9.0,10.0,7.0,4.0
3912,0.0,8.0,1.0,3.0,2.0,7.0,4.0,5.0,10.0,6.0,9.0
3961,0.0,1.0,2.0,6.0,3.0,8.0,4.0,9.0,7.0,5.0,10.0
4010,2.0,3.0,0.0,6.0,4.0,1.0,5.0,7.0,8.0,9.0,10.0
4059,0.0,4.0,7.0,3.0,5.0,2.0,8.0,1.0,6.0,9.0,10.0
4108,0.0,2.0,1.0,8.0,3.0,6.0,5.0,7.0,10.0,4.0,9.0
4157,1.0,5.0,0.0,4.0,3.0,8.0,10.0,2.0,6.0,7.0,9.0
4206,0.0,1.0,9.0,6.0,2.0,5.0,10.0,4.0,7.0,3.0,8.0
4255,0.0,6.0,9.0,3.0,4.0,1.0,10.0,2.0,7.0,5.0,8.0
4304,0.0,2.0,7.0,9.0,1.0,4.0,10.0,8.0,3.0,5.0,6.0
4353,1.0,2.0,8.0,0.0,4.0,7.0,10.0,3.0,5.0,6.0,9.0
4402,2.0,1.0,3.0,6.0,4.0,5.0,8.0,0.0,10.0,7.0,9.0
4451,6.0,4.0,0.0,3.0,7.0,10.0,1.0,2.0,8.0,9.0,5.0
4500,2.0,0.0,1.0,4.0,7.0,9.0,6.0,3.0,10.0,5.0,8.0
4549,2.0,3.0,0.0,7.0,9.0,4.0,5.0,6.0,1.0,8.0,10.0
4598,3.0,0.0,1.0,8.0,6.0,4.0,2.0,7.0,9.0,10.0,5.0
4647,1.0,3.0,0.0,2.0,4.0,5.0,9.0,10.0,7.0,8.0,6.0
4696,0.0,3.0,9.0,4.0,1.0,10.0,2.0,6.0,7.0,5.0,8.0
4745,5.0,0.0,1.0,2.0,3.0,9.0,6.0,10.0,7.0,8.0,4.0
4794,10.0,0.0,2.0,3.0,5.0,9.0,1.0,6.0,7.0,8.0,4.0
4843,0.0,1.0,3.0,4.0,6.0,10.0,5.0,7.0,2.0,8.0,9.0
4892,5.0,2.0,1.0,6.0,10.0,4.0,7.0,0.0,3.0,8.0,9.0
