,hsa-miR-600,hsa-miR-1976,hsa-miR-541,hsa-miR-214,hsa-miR-574-5p,hsa-miR-581,hsa-miR-199b-5p,hsa-miR-761,hsa-miR-891a,hsa-miR-222,hsa-miR-935,hsa-miR-1977,hsa-miR-744,hsa-miR-453,hsa-miR-921,hsv1-miR-H2-3p,hsa-miR-656,hsa-miR-616,hsa-miR-1200,hsa-miR-450b-3p,hsa-miR-604,hsa-miR-615-3p,hsa-miR-555,hsa-miR-125a-3p,hsa-miR-1256,hsa-miR-1197,ebv-miR-BART2-5p,hsa-miR-1254,hsa-miR-223,hsa-miR-615-5p
701,0.0,3.0,1.0,4.0,6.0,18.0,5.0,16.0,8.0,20.0,29.0,15.0,10.0,24.0,498.0,11.0,53.0,32.0,96.0,26.0,76.0,54.0,43.0,12.0,56.0,2.0,92.0,276.0,46.0,171.0
750,1.0,5.0,0.0,28.0,4.0,11.0,3.0,30.0,2.0,17.0,6.0,26.0,7.0,83.0,124.0,18.0,9.0,45.0,48.0,69.0,145.0,183.0,53.0,14.0,10.0,12.0,52.0,59.0,56.0,29.0
799,0.0,5.0,6.0,7.0,2.0,26.0,4.0,3.0,10.0,11.0,43.0,16.0,8.0,12.0,46.0,24.0,19.0,14.0,135.0,18.0,83.0,88.0,76.0,32.0,204.0,1.0,62.0,47.0,78.0,94.0
848,0.0,1.0,4.0,10.0,5.0,14.0,7.0,21.0,2.0,17.0,3.0,9.0,50.0,67.0,30.0,37.0,51.0,19.0,15.0,13.0,90.0,113.0,125.0,49.0,8.0,6.0,35.0,41.0,63.0,27.0
897,0.0,1.0,4.0,3.0,2.0,9.0,8.0,10.0,7.0,11.0,15.0,12.0,6.0,28.0,60.0,19.0,21.0,29.0,58.0,24.0,16.0,82.0,77.0,13.0,27.0,5.0,44.0,55.0,20.0,42.0
946,0.0,15.0,2.0,23.0,1.0,7.0,4.0,10.0,3.0,5.0,30.0,17.0,12.0,60.0,81.0,29.0,18.0,44.0,95.0,33.0,32.0,73.0,85.0,9.0,11.0,19.0,24.0,56.0,34.0,64.0
995,3.0,0.0,2.0,1.0,4.0,7.0,5.0,19.0,6.0,48.0,11.0,9.0,13.0,14.0,52.0,34.0,10.0,15.0,16.0,20.0,91.0,12.0,8.0,56.0,64.0,36.0,53.0,67.0,18.0,99.0
1044,0.0,9.0,6.0,2.0,8.0,4.0,11.0,3.0,7.0,5.0,15.0,47.0,61.0,1.0,23.0,18.0,12.0,16.0,33.0,113.0,26.0,55.0,13.0,82.0,14.0,32.0,78.0,51.0,121.0,24.0
1093,10.0,1.0,5.0,3.0,11.0,0.0,4.0,9.0,7.0,12.0,6.0,8.0,46.0,18.0,2.0,21.0,19.0,45.0,25.0,59.0,14.0,167.0,13.0,15.0,28.0,26.0,20.0,47.0,37.0,35.0
1142,4.0,0.0,2.0,5.0,16.0,3.0,6.0,31.0,7.0,49.0,8.0,10.0,33.0,17.0,1.0,34.0,14.0,73.0,9.0,88.0,44.0,48.0,18.0,106.0,23.0,186.0,42.0,35.0,36.0,75.0
1191,3.0,0.0,1.0,6.0,10.0,4.0,12.0,11.0,23.0,26.0,17.0,9.0,14.0,34.0,2.0,5.0,24.0,39.0,15.0,125.0,25.0,155.0,19.0,56.0,13.0,16.0,44.0,116.0,49.0,46.0
1240,6.0,1.0,11.0,8.0,41.0,2.0,13.0,0.0,4.0,5.0,26.0,14.0,69.0,7.0,16.0,28.0,18.0,54.0,20.0,55.0,22.0,52.0,89.0,37.0,9.0,210.0,32.0,33.0,30.0,17.0
1289,1.0,0.0,2.0,7.0,8.0,12.0,11.0,9.0,25.0,5.0,23.0,51.0,64.0,22.0,3.0,20.0,58.0,90.0,63.0,83.0,79.0,158.0,34.0,10.0,6.0,49.0,33.0,32.0,39.0,94.0
1338,0.0,1.0,2.0,9.0,4.0,6.0,3.0,8.0,15.0,55.0,5.0,35.0,14.0,39.0,16.0,11.0,19.0,82.0,28.0,185.0,50.0,46.0,25.0,17.0,12.0,91.0,62.0,45.0,36.0,31.0
1387,5.0,1.0,6.0,2.0,4.0,10.0,8.0,3.0,9.0,33.0,20.0,7.0,106.0,14.0,0.0,26.0,57.0,43.0,17.0,90.0,114.0,27.0,22.0,73.0,164.0,50.0,81.0,32.0,45.0,35.0
1436,5.0,0.0,1.0,7.0,2.0,3.0,4.0,63.0,53.0,45.0,8.0,11.0,50.0,34.0,32.0,12.0,10.0,41.0,94.0,77.0,61.0,65.0,6.0,29.0,36.0,19.0,44.0,25.0,30.0,54.0
1485,2.0,9.0,1.0,22.0,4.0,10.0,5.0,0.0,3.0,34.0,23.0,119.0,14.0,17.0,63.0,40.0,18.0,24.0,67.0,123.0,76.0,41.0,56.0,45.0,36.0,90.0,118.0,33.0,213.0,66.0
1534,1.0,9.0,0.0,28.0,12.0,7.0,40.0,18.0,8.0,4.0,11.0,23.0,24.0,2.0,124.0,13.0,47.0,29.0,53.0,31.0,134.0,15.0,19.0,25.0,37.0,81.0,39.0,69.0,115.0,52.0
1583,0.0,15.0,1.0,63.0,12.0,33.0,9.0,5.0,4.0,21.0,7.0,24.0,20.0,3.0,201.0,6.0,34.0,8.0,31.0,49.0,71.0,59.0,10.0,155.0,41.0,61.0,64.0,84.0,39.0,47.0
1632,1.0,6.0,8.0,23.0,14.0,0.0,20.0,4.0,9.0,11.0,16.0,2.0,37.0,5.0,33.0,19.0,32.0,36.0,60.0,34.0,82.0,59.0,53.0,22.0,56.0,78.0,54.0,71.0,65.0,77.0
1681,1.0,12.0,0.0,26.0,10.0,6.0,11.0,2.0,13.0,5.0,8.0,14.0,25.0,3.0,54.0,23.0,29.0,7.0,21.0,45.0,120.0,18.0,36.0,27.0,22.0,72.0,20.0,74.0,124.0,46.0
1730,0.0,2.0,10.0,56.0,9.0,8.0,16.0,5.0,3.0,1.0,14.0,61.0,19.0,7.0,52.0,64.0,37.0,6.0,27.0,128.0,84.0,13.0,18.0,23.0,35.0,4.0,104.0,66.0,68.0,47.0
1779,0.0,4.0,1.0,37.0,2.0,6.0,17.0,13.0,15.0,18.0,8.0,5.0,38.0,3.0,57.0,21.0,27.0,11.0,29.0,54.0,91.0,14.0,32.0,24.0,16.0,59.0,26.0,50.0,163.0,23.0
1828,0.0,11.0,1.0,22.0,12.0,17.0,7.0,3.0,5.0,4.0,13.0,6.0,10.0,8.0,38.0,23.0,51.0,16.0,20.0,58.0,42.0,15.0,104.0,14.0,28.0,151.0,53.0,55.0,57.0,66.0
1877,0.0,3.0,1.0,21.0,12.0,4.0,15.0,11.0,9.0,8.0,16.0,32.0,37.0,7.0,34.0,58.0,48.0,30.0,14.0,80.0,10.0,13.0,103.0,51.0,2.0,5.0,91.0,120.0,54.0,18.0
1926,0.0,6.0,1.0,28.0,4.0,8.0,19.0,7.0,3.0,9.0,14.0,44.0,34.0,5.0,40.0,134.0,35.0,12.0,23.0,51.0,141.0,17.0,78.0,22.0,10.0,29.0,48.0,13.0,121.0,26.0
1975,4.0,2.0,0.0,3.0,11.0,1.0,6.0,8.0,92.0,34.0,42.0,12.0,5.0,9.0,25.0,7.0,47.0,10.0,188.0,27.0,18.0,150.0,22.0,215.0,60.0,13.0,26.0,62.0,41.0,58.0
2024,6.0,4.0,0.0,2.0,12.0,10.0,1.0,13.0,34.0,43.0,8.0,7.0,3.0,46.0,9.0,23.0,15.0,5.0,24.0,38.0,26.0,21.0,48.0,139.0,18.0,25.0,19.0,68.0,63.0,42.0
2073,1.0,3.0,6.0,9.0,11.0,4.0,23.0,0.0,26.0,15.0,21.0,5.0,2.0,10.0,193.0,19.0,22.0,8.0,126.0,12.0,35.0,30.0,154.0,231.0,116.0,13.0,42.0,176.0,45.0,74.0
2122,1.0,7.0,0.0,3.0,4.0,5.0,9.0,48.0,32.0,58.0,13.0,8.0,10.0,21.0,17.0,59.0,25.0,2.0,141.0,6.0,38.0,22.0,92.0,218.0,35.0,39.0,14.0,54.0,76.0,26.0
2171,4.0,9.0,1.0,5.0,16.0,3.0,6.0,0.0,21.0,15.0,11.0,7.0,2.0,47.0,120.0,18.0,27.0,12.0,33.0,17.0,26.0,35.0,137.0,175.0,41.0,56.0,14.0,29.0,59.0,114.0
2220,1.0,10.0,2.0,8.0,36.0,3.0,5.0,4.0,69.0,9.0,21.0,24.0,0.0,11.0,33.0,15.0,28.0,26.0,155.0,12.0,6.0,39.0,25.0,300.0,102.0,23.0,20.0,86.0,204.0,45.0
2269,4.0,6.0,7.0,3.0,14.0,2.0,1.0,5.0,35.0,22.0,26.0,8.0,0.0,13.0,30.0,47.0,19.0,10.0,56.0,12.0,20.0,18.0,185.0,102.0,11.0,41.0,33.0,49.0,71.0,32.0
2318,2.0,5.0,6.0,3.0,10.0,8.0,4.0,1.0,23.0,12.0,15.0,16.0,0.0,20.0,9.0,63.0,28.0,7.0,59.0,18.0,11.0,45.0,125.0,244.0,50.0,56.0,13.0,46.0,79.0,41.0
2367,1.0,2.0,7.0,8.0,16.0,4.0,9.0,3.0,60.0,50.0,57.0,23.0,0.0,6.0,37.0,33.0,26.0,5.0,52.0,20.0,21.0,24.0,43.0,134.0,42.0,15.0,19.0,61.0,73.0,27.0
2416,1.0,2.0,0.0,7.0,5.0,17.0,4.0,9.0,33.0,31.0,38.0,24.0,6.0,10.0,30.0,14.0,12.0,73.0,172.0,37.0,64.0,20.0,302.0,102.0,29.0,109.0,13.0,51.0,121.0,91.0
2465,1.0,3.0,4.0,5.0,2.0,53.0,8.0,19.0,6.0,0.0,79.0,7.0,20.0,15.0,23.0,38.0,27.0,58.0,17.0,11.0,21.0,9.0,182.0,10.0,47.0,24.0,145.0,22.0,39.0,16.0
2514,0.0,1.0,5.0,8.0,3.0,17.0,4.0,29.0,16.0,2.0,6.0,20.0,7.0,33.0,26.0,27.0,25.0,59.0,55.0,38.0,41.0,10.0,44.0,22.0,66.0,63.0,86.0,60.0,43.0,114.0
2563,1.0,0.0,4.0,2.0,3.0,53.0,7.0,12.0,129.0,6.0,5.0,16.0,17.0,15.0,11.0,8.0,21.0,69.0,22.0,35.0,10.0,110.0,79.0,13.0,155.0,284.0,160.0,38.0,33.0,36.0
2612,0.0,4.0,2.0,6.0,1.0,24.0,5.0,9.0,7.0,3.0,12.0,33.0,96.0,42.0,16.0,10.0,32.0,43.0,67.0,22.0,13.0,46.0,140.0,40.0,27.0,172.0,90.0,61.0,73.0,51.0
2661,0.0,2.0,7.0,18.0,5.0,10.0,22.0,1.0,6.0,4.0,9.0,3.0,21.0,11.0,15.0,25.0,23.0,28.0,13.0,43.0,26.0,53.0,156.0,17.0,8.0,197.0,203.0,58.0,16.0,32.0
2710,0.0,1.0,10.0,5.0,3.0,21.0,7.0,6.0,14.0,2.0,8.0,15.0,62.0,4.0,13.0,39.0,23.0,78.0,54.0,36.0,105.0,20.0,119.0,34.0,63.0,164.0,117.0,12.0,25.0,68.0
2759,0.0,2.0,4.0,3.0,1.0,119.0,11.0,28.0,20.0,21.0,5.0,6.0,72.0,26.0,7.0,19.0,13.0,12.0,15.0,38.0,27.0,29.0,110.0,8.0,25.0,95.0,114.0,23.0,41.0,45.0
2808,0.0,1.0,2.0,12.0,4.0,59.0,8.0,74.0,65.0,5.0,10.0,18.0,40.0,63.0,3.0,26.0,42.0,76.0,22.0,83.0,15.0,17.0,69.0,31.0,6.0,20.0,206.0,11.0,21.0,43.0
2857,0.0,1.0,3.0,2.0,36.0,12.0,20.0,10.0,7.0,4.0,25.0,18.0,42.0,21.0,46.0,30.0,49.0,37.0,54.0,24.0,27.0,9.0,32.0,15.0,43.0,200.0,85.0,39.0,143.0,22.0
2906,7.0,0.0,4.0,1.0,2.0,3.0,9.0,28.0,12.0,8.0,31.0,10.0,13.0,74.0,5.0,17.0,11.0,30.0,38.0,65.0,14.0,67.0,101.0,43.0,125.0,6.0,105.0,22.0,19.0,81.0
2955,14.0,6.0,0.0,3.0,4.0,12.0,1.0,89.0,26.0,19.0,11.0,2.0,15.0,109.0,9.0,29.0,36.0,48.0,10.0,5.0,34.0,17.0,23.0,8.0,173.0,128.0,24.0,22.0,20.0,105.0
3004,0.0,2.0,5.0,15.0,35.0,10.0,11.0,13.0,6.0,33.0,4.0,17.0,26.0,43.0,98.0,82.0,65.0,123.0,46.0,1.0,49.0,16.0,18.0,37.0,156.0,50.0,21.0,31.0,19.0,182.0
3053,4.0,5.0,0.0,1.0,7.0,12.0,2.0,72.0,45.0,65.0,8.0,6.0,15.0,16.0,19.0,31.0,56.0,29.0,135.0,14.0,38.0,11.0,13.0,20.0,22.0,362.0,30.0,74.0,23.0,193.0
3102,0.0,4.0,1.0,3.0,13.0,8.0,16.0,47.0,36.0,18.0,10.0,30.0,41.0,129.0,55.0,27.0,67.0,150.0,22.0,2.0,15.0,7.0,66.0,19.0,26.0,43.0,9.0,14.0,20.0,63.0
3151,0.0,6.0,1.0,11.0,35.0,19.0,2.0,62.0,29.0,20.0,10.0,13.0,95.0,53.0,8.0,37.0,51.0,47.0,14.0,3.0,30.0,4.0,39.0,9.0,21.0,170.0,18.0,26.0,49.0,77.0
3200,1.0,0.0,3.0,5.0,17.0,15.0,10.0,68.0,24.0,22.0,13.0,4.0,42.0,18.0,9.0,14.0,28.0,30.0,48.0,8.0,49.0,2.0,16.0,7.0,140.0,232.0,29.0,21.0,66.0,92.0
3249,4.0,6.0,1.0,9.0,7.0,13.0,2.0,26.0,15.0,16.0,5.0,8.0,93.0,54.0,18.0,37.0,52.0,24.0,27.0,3.0,11.0,0.0,84.0,44.0,104.0,25.0,21.0,38.0,29.0,68.0
3298,1.0,0.0,3.0,4.0,8.0,22.0,9.0,10.0,28.0,18.0,7.0,42.0,49.0,12.0,25.0,15.0,51.0,242.0,20.0,2.0,34.0,6.0,102.0,29.0,204.0,127.0,78.0,72.0,14.0,75.0
3347,1.0,3.0,0.0,6.0,12.0,20.0,5.0,100.0,31.0,14.0,4.0,7.0,41.0,89.0,8.0,10.0,42.0,88.0,24.0,2.0,30.0,21.0,70.0,16.0,32.0,34.0,27.0,26.0,66.0,81.0
3396,2.0,5.0,1.0,12.0,29.0,10.0,3.0,308.0,11.0,42.0,7.0,6.0,59.0,50.0,8.0,137.0,60.0,80.0,32.0,0.0,41.0,4.0,19.0,62.0,17.0,127.0,21.0,25.0,18.0,126.0
3445,1.0,0.0,8.0,20.0,49.0,4.0,19.0,12.0,61.0,18.0,3.0,26.0,79.0,2.0,36.0,21.0,17.0,16.0,25.0,10.0,71.0,44.0,5.0,34.0,127.0,29.0,106.0,15.0,37.0,57.0
3494,0.0,1.0,36.0,8.0,5.0,2.0,6.0,3.0,17.0,33.0,13.0,12.0,9.0,4.0,25.0,16.0,14.0,7.0,32.0,23.0,53.0,30.0,19.0,49.0,72.0,50.0,48.0,141.0,15.0,24.0
3543,0.0,1.0,5.0,10.0,33.0,4.0,12.0,9.0,34.0,19.0,7.0,25.0,2.0,13.0,8.0,115.0,16.0,11.0,30.0,18.0,29.0,38.0,3.0,15.0,66.0,35.0,40.0,71.0,6.0,80.0
3592,0.0,5.0,2.0,33.0,4.0,1.0,15.0,3.0,11.0,6.0,19.0,56.0,7.0,49.0,20.0,26.0,21.0,57.0,12.0,8.0,44.0,24.0,61.0,9.0,37.0,31.0,38.0,86.0,36.0,51.0
3641,0.0,1.0,9.0,44.0,10.0,13.0,22.0,8.0,15.0,3.0,20.0,52.0,11.0,24.0,2.0,28.0,17.0,6.0,18.0,48.0,5.0,57.0,25.0,27.0,26.0,37.0,32.0,42.0,35.0,51.0
3690,0.0,6.0,1.0,15.0,33.0,3.0,30.0,11.0,13.0,20.0,36.0,18.0,8.0,16.0,19.0,5.0,7.0,2.0,35.0,71.0,14.0,9.0,4.0,21.0,23.0,17.0,31.0,47.0,72.0,43.0
3739,0.0,1.0,7.0,3.0,2.0,5.0,9.0,69.0,24.0,10.0,13.0,25.0,6.0,42.0,17.0,29.0,26.0,16.0,20.0,36.0,34.0,49.0,4.0,11.0,61.0,21.0,66.0,70.0,8.0,71.0
3788,0.0,1.0,3.0,4.0,47.0,2.0,18.0,7.0,35.0,9.0,22.0,53.0,27.0,32.0,57.0,63.0,13.0,17.0,33.0,6.0,5.0,15.0,10.0,24.0,155.0,39.0,44.0,26.0,40.0,43.0
3837,1.0,0.0,2.0,6.0,52.0,12.0,10.0,19.0,141.0,56.0,15.0,55.0,5.0,4.0,8.0,3.0,37.0,18.0,25.0,26.0,28.0,24.0,7.0,48.0,225.0,44.0,51.0,88.0,22.0,41.0
3886,0.0,1.0,6.0,3.0,35.0,5.0,17.0,13.0,48.0,15.0,8.0,16.0,2.0,7.0,4.0,44.0,23.0,24.0,50.0,149.0,150.0,67.0,9.0,47.0,14.0,59.0,42.0,37.0,45.0,28.0
3935,0.0,1.0,19.0,13.0,41.0,8.0,23.0,4.0,7.0,3.0,34.0,6.0,5.0,10.0,2.0,73.0,28.0,31.0,68.0,51.0,47.0,25.0,107.0,32.0,46.0,58.0,44.0,18.0,29.0,27.0
3984,0.0,4.0,7.0,11.0,31.0,2.0,25.0,6.0,13.0,19.0,24.0,41.0,10.0,14.0,43.0,133.0,60.0,50.0,21.0,30.0,26.0,65.0,75.0,53.0,9.0,210.0,44.0,16.0,102.0,27.0
4033,0.0,2.0,10.0,33.0,3.0,69.0,16.0,24.0,32.0,13.0,9.0,1.0,12.0,19.0,5.0,8.0,29.0,57.0,27.0,36.0,7.0,34.0,22.0,50.0,72.0,58.0,89.0,73.0,44.0,39.0
4082,0.0,11.0,1.0,2.0,65.0,14.0,48.0,76.0,23.0,15.0,5.0,4.0,22.0,41.0,12.0,6.0,61.0,9.0,32.0,29.0,35.0,49.0,21.0,28.0,3.0,155.0,34.0,8.0,58.0,37.0
4131,0.0,17.0,2.0,9.0,131.0,22.0,83.0,4.0,23.0,25.0,40.0,7.0,1.0,14.0,5.0,6.0,63.0,21.0,24.0,12.0,8.0,26.0,49.0,166.0,44.0,13.0,119.0,81.0,58.0,64.0
4180,1.0,0.0,21.0,6.0,17.0,14.0,25.0,3.0,42.0,5.0,29.0,18.0,4.0,12.0,11.0,2.0,47.0,58.0,38.0,43.0,24.0,74.0,7.0,131.0,8.0,13.0,92.0,27.0,50.0,88.0
4229,0.0,3.0,2.0,6.0,17.0,8.0,41.0,36.0,25.0,10.0,4.0,7.0,50.0,16.0,1.0,29.0,65.0,30.0,20.0,26.0,23.0,42.0,69.0,90.0,12.0,115.0,39.0,9.0,33.0,28.0
4278,0.0,3.0,2.0,7.0,21.0,24.0,10.0,16.0,185.0,20.0,13.0,14.0,4.0,8.0,1.0,6.0,25.0,31.0,46.0,26.0,99.0,74.0,63.0,17.0,15.0,100.0,29.0,98.0,45.0,61.0
4327,0.0,22.0,3.0,11.0,55.0,18.0,36.0,15.0,10.0,13.0,25.0,39.0,23.0,62.0,1.0,5.0,50.0,84.0,16.0,9.0,17.0,12.0,99.0,114.0,33.0,72.0,47.0,38.0,73.0,19.0
4376,0.0,1.0,4.0,23.0,61.0,11.0,15.0,3.0,18.0,14.0,9.0,10.0,8.0,5.0,2.0,6.0,31.0,109.0,21.0,119.0,13.0,65.0,58.0,55.0,17.0,184.0,75.0,32.0,37.0,24.0
4425,1.0,0.0,2.0,12.0,7.0,8.0,11.0,22.0,4.0,3.0,21.0,10.0,17.0,53.0,45.0,84.0,26.0,92.0,39.0,97.0,19.0,5.0,18.0,41.0,104.0,9.0,23.0,44.0,93.0,6.0
4474,0.0,1.0,2.0,19.0,10.0,27.0,12.0,7.0,3.0,8.0,14.0,26.0,33.0,57.0,83.0,17.0,46.0,94.0,162.0,43.0,36.0,20.0,4.0,69.0,123.0,23.0,5.0,40.0,215.0,39.0
4523,0.0,1.0,2.0,36.0,14.0,18.0,7.0,9.0,4.0,8.0,13.0,29.0,115.0,56.0,81.0,149.0,45.0,110.0,21.0,40.0,25.0,6.0,132.0,120.0,86.0,39.0,58.0,23.0,89.0,22.0
4572,0.0,1.0,7.0,48.0,6.0,20.0,38.0,9.0,11.0,2.0,54.0,22.0,66.0,35.0,8.0,24.0,14.0,12.0,70.0,84.0,47.0,34.0,3.0,36.0,94.0,56.0,16.0,21.0,256.0,28.0
4621,0.0,5.0,1.0,11.0,33.0,6.0,21.0,36.0,44.0,2.0,27.0,25.0,24.0,16.0,29.0,3.0,39.0,9.0,70.0,367.0,30.0,8.0,10.0,43.0,56.0,4.0,14.0,51.0,193.0,19.0
4670,0.0,3.0,1.0,27.0,8.0,4.0,22.0,2.0,6.0,10.0,19.0,11.0,5.0,9.0,39.0,30.0,13.0,16.0,183.0,189.0,87.0,24.0,38.0,117.0,49.0,103.0,36.0,79.0,96.0,7.0
4719,0.0,1.0,3.0,9.0,6.0,26.0,13.0,54.0,2.0,5.0,14.0,21.0,69.0,22.0,7.0,125.0,29.0,15.0,83.0,88.0,39.0,10.0,8.0,80.0,152.0,108.0,27.0,17.0,76.0,31.0
4768,1.0,0.0,2.0,7.0,4.0,3.0,17.0,14.0,5.0,10.0,19.0,11.0,16.0,20.0,21.0,82.0,12.0,69.0,89.0,164.0,104.0,59.0,30.0,67.0,175.0,41.0,38.0,25.0,49.0,13.0
4817,1.0,0.0,2.0,17.0,3.0,8.0,93.0,9.0,4.0,14.0,44.0,30.0,28.0,39.0,5.0,40.0,16.0,155.0,42.0,176.0,95.0,11.0,20.0,116.0,117.0,67.0,63.0,24.0,132.0,47.0
4866,0.0,1.0,8.0,25.0,2.0,55.0,12.0,5.0,6.0,10.0,19.0,32.0,97.0,63.0,13.0,48.0,21.0,7.0,51.0,204.0,11.0,89.0,69.0,40.0,30.0,4.0,61.0,57.0,229.0,17.0
