, H2O2, PI3K_only, VEGF, TLR, TGFB, TNFa, Wnt, JAK-STAT, MAPK_PI3K, IL-1, MAPK_only
3857,4.0,1.0,0.0,7.0,5.0,9.0,3.0,6.0,2.0,10.0,8.0
3906,0.0,1.0,3.0,2.0,5.0,4.0,6.0,9.0,7.0,8.0,10.0
3955,1.0,0.0,4.0,3.0,2.0,8.0,5.0,7.0,6.0,9.0,10.0
4004,0.0,4.0,5.0,2.0,1.0,6.0,9.0,3.0,8.0,7.0,10.0
4053,0.0,1.0,5.0,4.0,2.0,3.0,7.0,6.0,10.0,8.0,9.0
4102,0.0,5.0,9.0,4.0,1.0,3.0,7.0,2.0,8.0,6.0,10.0
4151,1.0,2.0,9.0,8.0,0.0,6.0,4.0,3.0,7.0,5.0,10.0
4200,1.0,0.0,2.0,5.0,3.0,8.0,4.0,7.0,9.0,6.0,10.0
4249,4.0,1.0,0.0,2.0,3.0,10.0,7.0,5.0,8.0,6.0,9.0
4298,6.0,0.0,1.0,5.0,2.0,7.0,4.0,3.0,9.0,8.0,10.0
4347,1.0,0.0,2.0,5.0,3.0,7.0,4.0,6.0,8.0,10.0,9.0
4396,2.0,1.0,4.0,5.0,0.0,6.0,7.0,3.0,9.0,8.0,10.0
4445,0.0,2.0,4.0,1.0,5.0,3.0,8.0,7.0,6.0,10.0,9.0
4494,1.0,0.0,3.0,4.0,5.0,2.0,7.0,8.0,6.0,9.0,10.0
4543,2.0,0.0,4.0,3.0,5.0,1.0,8.0,7.0,6.0,9.0,10.0
4592,0.0,2.0,4.0,3.0,5.0,1.0,7.0,8.0,6.0,9.0,10.0
4641,5.0,0.0,4.0,2.0,3.0,1.0,8.0,7.0,6.0,9.0,10.0
4690,1.0,0.0,4.0,3.0,5.0,2.0,8.0,9.0,6.0,7.0,10.0
4739,1.0,2.0,0.0,3.0,5.0,4.0,7.0,6.0,9.0,8.0,10.0
4788,3.0,1.0,4.0,0.0,2.0,5.0,6.0,7.0,8.0,9.0,10.0
4837,1.0,0.0,4.0,5.0,2.0,3.0,6.0,10.0,7.0,8.0,9.0
4886,0.0,1.0,9.0,5.0,2.0,3.0,7.0,6.0,4.0,10.0,8.0
