,Shc_pY317,P-Cadherin,SETD2,p21,ADAR1,Rictor_pT1135,4E-BP1,RSK1-2-3,EGFR,C-Raf(BD610151),HER3,PRAS40_pT246,PAI-1,RAD51,Bad_pS112,Akt_pS473,VHL,Acetyl-a-Tubulin (Lys40),AR,p27_pT157,Smac,MDMX_MDM4(BetIHC-00108),N-Cadherin,PDK1,PDK1_pS241,Paxillin,PEA15,PDCD4,PEA15_pS116,p90RSK_pT359_S363
790,12.0,0.0,15.0,3.0,6.0,4.0,25.0,22.0,2.0,17.0,27.0,7.0,5.0,18.0,26.0,36.0,62.0,38.0,123.0,55.0,76.0,141.0,9.0,40.0,47.0,46.0,43.0,39.0,44.0,51.0
839,14.0,7.0,4.0,6.0,1.0,71.0,8.0,12.0,28.0,102.0,23.0,2.0,20.0,91.0,0.0,35.0,53.0,38.0,123.0,25.0,47.0,141.0,77.0,40.0,39.0,42.0,60.0,41.0,61.0,44.0
888,0.0,1.0,17.0,24.0,6.0,10.0,34.0,2.0,7.0,105.0,132.0,84.0,3.0,92.0,33.0,30.0,42.0,120.0,4.0,53.0,38.0,25.0,28.0,41.0,50.0,22.0,63.0,43.0,65.0,46.0
937,93.0,5.0,0.0,102.0,4.0,99.0,7.0,3.0,8.0,21.0,2.0,22.0,20.0,42.0,38.0,98.0,73.0,92.0,149.0,101.0,26.0,146.0,140.0,61.0,60.0,63.0,59.0,62.0,58.0,66.0
986,13.0,8.0,1.0,4.0,35.0,10.0,111.0,78.0,25.0,17.0,6.0,31.0,36.0,14.0,0.0,33.0,28.0,117.0,23.0,50.0,75.0,141.0,82.0,38.0,40.0,55.0,37.0,39.0,42.0,45.0
1035,8.0,27.0,23.0,6.0,32.0,19.0,11.0,74.0,22.0,104.0,134.0,12.0,1.0,84.0,99.0,29.0,36.0,117.0,125.0,4.0,72.0,33.0,43.0,38.0,42.0,41.0,44.0,40.0,55.0,46.0
1084,2.0,6.0,3.0,31.0,0.0,7.0,111.0,5.0,158.0,8.0,11.0,16.0,45.0,79.0,9.0,29.0,39.0,27.0,124.0,36.0,24.0,141.0,80.0,42.0,40.0,44.0,52.0,43.0,56.0,46.0
1133,4.0,3.0,5.0,36.0,0.0,1.0,2.0,13.0,26.0,12.0,134.0,21.0,17.0,84.0,27.0,6.0,63.0,34.0,125.0,32.0,77.0,28.0,128.0,48.0,42.0,50.0,43.0,57.0,44.0,15.0
1182,4.0,3.0,8.0,0.0,6.0,1.0,114.0,12.0,157.0,11.0,134.0,78.0,46.0,21.0,2.0,32.0,25.0,118.0,37.0,52.0,76.0,29.0,128.0,44.0,40.0,55.0,41.0,39.0,42.0,48.0
1231,8.0,25.0,72.0,23.0,4.0,14.0,1.0,3.0,6.0,10.0,2.0,87.0,49.0,82.0,36.0,32.0,35.0,37.0,116.0,58.0,28.0,135.0,26.0,45.0,43.0,47.0,48.0,46.0,65.0,64.0
1280,0.0,53.0,5.0,7.0,29.0,11.0,1.0,69.0,3.0,103.0,23.0,80.0,42.0,74.0,110.0,4.0,34.0,118.0,2.0,49.0,64.0,12.0,58.0,75.0,15.0,19.0,87.0,60.0,86.0,38.0
1329,1.0,25.0,2.0,24.0,120.0,0.0,111.0,65.0,158.0,103.0,132.0,15.0,44.0,72.0,31.0,37.0,4.0,118.0,108.0,23.0,3.0,26.0,59.0,75.0,63.0,50.0,62.0,61.0,86.0,46.0
1378,4.0,31.0,5.0,3.0,6.0,0.0,26.0,10.0,17.0,7.0,133.0,37.0,48.0,12.0,1.0,35.0,30.0,118.0,39.0,54.0,78.0,41.0,146.0,43.0,45.0,59.0,44.0,42.0,46.0,50.0
1427,1.0,32.0,13.0,0.0,2.0,9.0,111.0,10.0,156.0,8.0,22.0,86.0,17.0,19.0,29.0,31.0,5.0,117.0,123.0,23.0,75.0,142.0,40.0,46.0,45.0,50.0,44.0,56.0,41.0,55.0
1476,6.0,1.0,26.0,4.0,40.0,23.0,39.0,24.0,8.0,14.0,155.0,51.0,58.0,22.0,38.0,0.0,72.0,67.0,36.0,2.0,28.0,13.0,15.0,55.0,54.0,57.0,53.0,56.0,52.0,60.0
1525,1.0,0.0,16.0,48.0,8.0,86.0,28.0,5.0,10.0,102.0,132.0,14.0,46.0,7.0,109.0,35.0,34.0,117.0,124.0,31.0,74.0,29.0,80.0,36.0,41.0,44.0,40.0,54.0,55.0,49.0
1574,1.0,0.0,13.0,24.0,8.0,6.0,35.0,72.0,7.0,15.0,134.0,84.0,42.0,3.0,4.0,33.0,34.0,127.0,126.0,54.0,28.0,26.0,29.0,44.0,52.0,40.0,62.0,41.0,77.0,46.0
1623,0.0,5.0,3.0,21.0,8.0,7.0,2.0,11.0,9.0,4.0,6.0,80.0,44.0,13.0,33.0,1.0,34.0,32.0,38.0,52.0,16.0,23.0,12.0,51.0,90.0,45.0,64.0,46.0,25.0,47.0
1672,7.0,6.0,20.0,0.0,31.0,10.0,9.0,16.0,21.0,8.0,17.0,25.0,58.0,2.0,5.0,3.0,24.0,27.0,35.0,53.0,4.0,26.0,128.0,39.0,40.0,44.0,41.0,38.0,42.0,48.0
1721,3.0,5.0,75.0,23.0,4.0,19.0,25.0,1.0,2.0,18.0,134.0,33.0,39.0,15.0,108.0,8.0,28.0,116.0,123.0,47.0,11.0,27.0,35.0,37.0,32.0,40.0,41.0,38.0,36.0,43.0
1770,6.0,11.0,5.0,30.0,2.0,76.0,1.0,4.0,31.0,3.0,133.0,84.0,41.0,0.0,21.0,9.0,60.0,116.0,25.0,8.0,10.0,143.0,44.0,37.0,36.0,54.0,35.0,34.0,38.0,43.0
1819,0.0,6.0,18.0,36.0,4.0,79.0,12.0,17.0,7.0,102.0,22.0,2.0,51.0,3.0,118.0,29.0,28.0,5.0,38.0,37.0,39.0,9.0,91.0,47.0,46.0,57.0,45.0,49.0,42.0,54.0
1868,2.0,4.0,20.0,28.0,7.0,15.0,31.0,17.0,1.0,13.0,134.0,84.0,46.0,8.0,26.0,5.0,35.0,38.0,125.0,49.0,23.0,30.0,18.0,41.0,42.0,39.0,43.0,45.0,57.0,14.0
1917,10.0,1.0,12.0,37.0,6.0,88.0,0.0,89.0,3.0,15.0,8.0,22.0,51.0,19.0,7.0,34.0,28.0,31.0,124.0,50.0,9.0,29.0,91.0,54.0,46.0,20.0,43.0,47.0,41.0,40.0
1966,4.0,2.0,11.0,28.0,7.0,23.0,1.0,13.0,36.0,100.0,8.0,81.0,14.0,87.0,41.0,33.0,27.0,121.0,38.0,57.0,0.0,34.0,96.0,48.0,47.0,55.0,46.0,54.0,45.0,52.0
2015,19.0,0.0,6.0,27.0,8.0,2.0,3.0,4.0,9.0,101.0,133.0,30.0,43.0,5.0,16.0,28.0,37.0,117.0,124.0,24.0,87.0,38.0,80.0,39.0,40.0,54.0,22.0,41.0,55.0,45.0
2064,1.0,2.0,9.0,4.0,29.0,14.0,32.0,12.0,6.0,10.0,21.0,17.0,19.0,82.0,126.0,30.0,39.0,116.0,40.0,22.0,67.0,24.0,92.0,45.0,5.0,47.0,46.0,44.0,61.0,60.0
2113,68.0,2.0,69.0,21.0,29.0,13.0,35.0,0.0,16.0,11.0,5.0,25.0,6.0,78.0,33.0,127.0,40.0,118.0,38.0,20.0,64.0,24.0,92.0,47.0,53.0,45.0,63.0,46.0,91.0,42.0
2162,2.0,28.0,16.0,56.0,30.0,21.0,13.0,1.0,34.0,19.0,9.0,8.0,23.0,62.0,0.0,32.0,6.0,118.0,38.0,25.0,79.0,29.0,128.0,44.0,45.0,46.0,43.0,47.0,61.0,49.0
2211,2.0,28.0,93.0,44.0,35.0,16.0,25.0,0.0,33.0,3.0,1.0,91.0,17.0,85.0,21.0,36.0,27.0,119.0,42.0,57.0,77.0,136.0,96.0,48.0,47.0,51.0,45.0,61.0,46.0,53.0
2260,2.0,5.0,16.0,4.0,126.0,79.0,112.0,0.0,20.0,9.0,24.0,38.0,11.0,1.0,39.0,121.0,7.0,30.0,37.0,52.0,76.0,140.0,91.0,41.0,42.0,45.0,40.0,56.0,57.0,44.0
2309,5.0,3.0,10.0,54.0,8.0,71.0,4.0,0.0,157.0,108.0,7.0,83.0,20.0,11.0,35.0,126.0,55.0,36.0,6.0,24.0,41.0,140.0,30.0,45.0,17.0,43.0,90.0,44.0,63.0,40.0
2358,8.0,1.0,0.0,4.0,30.0,13.0,113.0,11.0,2.0,12.0,133.0,89.0,53.0,17.0,38.0,33.0,32.0,29.0,3.0,55.0,80.0,140.0,128.0,43.0,45.0,52.0,42.0,50.0,44.0,26.0
2407,73.0,0.0,5.0,57.0,6.0,12.0,2.0,11.0,17.0,103.0,133.0,26.0,48.0,83.0,35.0,37.0,3.0,36.0,121.0,22.0,71.0,24.0,28.0,43.0,42.0,47.0,49.0,46.0,64.0,63.0
2456,1.0,7.0,86.0,32.0,28.0,0.0,36.0,11.0,21.0,104.0,5.0,78.0,15.0,82.0,26.0,119.0,35.0,117.0,109.0,50.0,72.0,91.0,31.0,52.0,54.0,16.0,80.0,40.0,56.0,43.0
2505,25.0,33.0,12.0,39.0,7.0,6.0,1.0,77.0,2.0,106.0,3.0,83.0,20.0,15.0,26.0,32.0,28.0,118.0,38.0,24.0,16.0,27.0,0.0,43.0,42.0,45.0,41.0,44.0,73.0,50.0
2554,1.0,2.0,10.0,48.0,8.0,6.0,110.0,12.0,3.0,14.0,7.0,21.0,19.0,78.0,93.0,120.0,4.0,117.0,108.0,24.0,26.0,143.0,5.0,38.0,39.0,43.0,72.0,41.0,57.0,51.0
2603,82.0,3.0,83.0,58.0,35.0,17.0,26.0,20.0,29.0,2.0,0.0,7.0,18.0,87.0,4.0,128.0,67.0,32.0,125.0,39.0,11.0,135.0,15.0,46.0,47.0,61.0,45.0,48.0,51.0,52.0
2652,1.0,31.0,2.0,37.0,4.0,11.0,40.0,9.0,0.0,10.0,132.0,87.0,13.0,5.0,118.0,33.0,28.0,30.0,38.0,57.0,78.0,44.0,83.0,49.0,47.0,16.0,45.0,59.0,48.0,53.0
2701,0.0,1.0,8.0,5.0,117.0,2.0,7.0,9.0,18.0,104.0,17.0,76.0,6.0,12.0,107.0,32.0,36.0,115.0,124.0,24.0,30.0,91.0,11.0,86.0,85.0,88.0,84.0,87.0,83.0,43.0
2750,1.0,36.0,11.0,7.0,0.0,20.0,30.0,8.0,3.0,21.0,2.0,82.0,17.0,77.0,109.0,28.0,58.0,25.0,121.0,51.0,9.0,143.0,27.0,40.0,41.0,18.0,50.0,39.0,71.0,53.0
2799,1.0,37.0,12.0,2.0,38.0,3.0,30.0,14.0,0.0,103.0,6.0,16.0,4.0,82.0,110.0,36.0,7.0,33.0,122.0,40.0,27.0,141.0,83.0,51.0,47.0,22.0,45.0,52.0,42.0,17.0
2848,0.0,7.0,10.0,3.0,1.0,8.0,9.0,12.0,2.0,102.0,20.0,26.0,44.0,14.0,125.0,29.0,62.0,28.0,33.0,50.0,77.0,141.0,83.0,39.0,37.0,23.0,42.0,57.0,38.0,46.0
2897,0.0,8.0,12.0,5.0,2.0,18.0,1.0,17.0,11.0,6.0,134.0,84.0,10.0,89.0,98.0,9.0,61.0,116.0,124.0,47.0,72.0,143.0,53.0,38.0,37.0,15.0,40.0,42.0,41.0,55.0
2946,8.0,6.0,2.0,5.0,28.0,24.0,111.0,13.0,158.0,103.0,134.0,19.0,7.0,78.0,0.0,32.0,30.0,118.0,4.0,37.0,25.0,90.0,40.0,18.0,43.0,46.0,44.0,53.0,54.0,48.0
2995,31.0,23.0,27.0,7.0,0.0,4.0,36.0,3.0,13.0,10.0,21.0,8.0,1.0,74.0,6.0,120.0,35.0,117.0,32.0,52.0,64.0,25.0,29.0,76.0,89.0,45.0,88.0,61.0,87.0,42.0
3044,6.0,0.0,71.0,55.0,1.0,74.0,2.0,4.0,155.0,107.0,132.0,14.0,20.0,27.0,3.0,119.0,35.0,30.0,36.0,53.0,68.0,142.0,61.0,46.0,47.0,41.0,63.0,42.0,89.0,45.0
3093,1.0,3.0,6.0,7.0,0.0,9.0,25.0,8.0,156.0,11.0,18.0,4.0,5.0,38.0,19.0,120.0,27.0,31.0,23.0,50.0,77.0,142.0,56.0,39.0,40.0,42.0,41.0,44.0,48.0,17.0
3142,19.0,5.0,72.0,17.0,117.0,74.0,111.0,4.0,161.0,103.0,137.0,9.0,13.0,77.0,107.0,35.0,36.0,7.0,124.0,50.0,20.0,143.0,38.0,52.0,56.0,40.0,88.0,42.0,58.0,44.0
3191,18.0,8.0,5.0,21.0,0.0,16.0,3.0,11.0,26.0,101.0,6.0,2.0,40.0,25.0,4.0,28.0,52.0,29.0,124.0,20.0,1.0,126.0,54.0,60.0,86.0,47.0,85.0,87.0,84.0,43.0
3240,7.0,25.0,10.0,1.0,5.0,3.0,31.0,11.0,19.0,103.0,6.0,79.0,0.0,73.0,33.0,119.0,34.0,28.0,4.0,23.0,62.0,142.0,13.0,60.0,88.0,44.0,61.0,45.0,87.0,26.0
3289,18.0,5.0,8.0,9.0,0.0,25.0,1.0,21.0,154.0,109.0,11.0,4.0,17.0,22.0,32.0,33.0,63.0,31.0,7.0,34.0,16.0,29.0,128.0,44.0,40.0,46.0,38.0,57.0,42.0,48.0
3338,7.0,24.0,2.0,23.0,0.0,10.0,40.0,9.0,5.0,101.0,19.0,4.0,46.0,78.0,30.0,36.0,58.0,37.0,31.0,21.0,68.0,142.0,1.0,64.0,92.0,18.0,66.0,54.0,91.0,48.0
3387,1.0,9.0,7.0,10.0,2.0,16.0,3.0,86.0,162.0,104.0,23.0,4.0,12.0,82.0,108.0,119.0,0.0,116.0,35.0,46.0,71.0,26.0,6.0,39.0,47.0,37.0,54.0,38.0,80.0,40.0
3436,4.0,0.0,5.0,33.0,26.0,14.0,2.0,78.0,35.0,103.0,1.0,87.0,17.0,91.0,7.0,8.0,28.0,30.0,37.0,3.0,90.0,29.0,9.0,46.0,45.0,49.0,44.0,58.0,43.0,55.0
3485,1.0,5.0,2.0,35.0,31.0,7.0,25.0,6.0,3.0,101.0,17.0,36.0,0.0,8.0,10.0,4.0,28.0,116.0,37.0,51.0,12.0,141.0,81.0,42.0,43.0,14.0,39.0,40.0,41.0,45.0
3534,20.0,4.0,1.0,34.0,0.0,5.0,2.0,15.0,24.0,12.0,22.0,18.0,47.0,60.0,25.0,26.0,37.0,38.0,32.0,57.0,74.0,142.0,45.0,42.0,43.0,39.0,44.0,41.0,55.0,21.0
3583,3.0,0.0,4.0,34.0,29.0,7.0,1.0,6.0,23.0,102.0,14.0,2.0,24.0,17.0,38.0,31.0,33.0,116.0,124.0,56.0,26.0,140.0,8.0,42.0,46.0,48.0,41.0,49.0,44.0,54.0
3632,3.0,17.0,4.0,2.0,5.0,7.0,9.0,74.0,0.0,19.0,135.0,84.0,46.0,90.0,6.0,38.0,24.0,117.0,35.0,39.0,70.0,25.0,34.0,42.0,41.0,45.0,53.0,43.0,89.0,48.0
3681,12.0,9.0,5.0,8.0,7.0,14.0,2.0,24.0,156.0,101.0,132.0,21.0,55.0,10.0,0.0,118.0,29.0,27.0,4.0,36.0,11.0,142.0,40.0,46.0,45.0,52.0,44.0,49.0,22.0,51.0
3730,7.0,0.0,2.0,41.0,32.0,13.0,39.0,12.0,20.0,14.0,17.0,19.0,47.0,4.0,40.0,37.0,36.0,119.0,125.0,23.0,62.0,140.0,30.0,43.0,42.0,46.0,53.0,45.0,89.0,50.0
3779,11.0,5.0,10.0,32.0,36.0,30.0,9.0,8.0,23.0,16.0,6.0,28.0,7.0,90.0,1.0,3.0,25.0,126.0,124.0,0.0,74.0,141.0,15.0,38.0,39.0,41.0,40.0,37.0,42.0,44.0
3828,8.0,0.0,1.0,5.0,29.0,78.0,111.0,14.0,154.0,12.0,131.0,20.0,48.0,17.0,36.0,6.0,34.0,116.0,39.0,55.0,23.0,32.0,2.0,44.0,43.0,16.0,42.0,46.0,40.0,52.0
3877,7.0,1.0,5.0,3.0,9.0,17.0,0.0,16.0,160.0,103.0,2.0,31.0,36.0,81.0,125.0,30.0,24.0,28.0,21.0,45.0,19.0,143.0,50.0,38.0,43.0,15.0,53.0,37.0,79.0,40.0
3926,11.0,1.0,3.0,2.0,32.0,5.0,0.0,15.0,156.0,12.0,26.0,24.0,62.0,21.0,41.0,33.0,67.0,30.0,42.0,53.0,82.0,137.0,18.0,55.0,61.0,44.0,51.0,59.0,50.0,54.0
3975,3.0,6.0,5.0,0.0,8.0,9.0,12.0,1.0,15.0,103.0,133.0,13.0,18.0,55.0,7.0,31.0,68.0,117.0,4.0,46.0,88.0,11.0,80.0,41.0,40.0,43.0,38.0,53.0,37.0,48.0
4024,23.0,1.0,85.0,0.0,28.0,15.0,36.0,14.0,154.0,106.0,3.0,22.0,11.0,19.0,6.0,31.0,66.0,33.0,2.0,27.0,82.0,5.0,39.0,51.0,50.0,54.0,61.0,53.0,17.0,58.0
4073,2.0,34.0,15.0,6.0,30.0,1.0,3.0,5.0,157.0,16.0,12.0,86.0,56.0,32.0,111.0,38.0,61.0,28.0,37.0,22.0,13.0,25.0,81.0,41.0,44.0,40.0,42.0,39.0,43.0,47.0
4122,4.0,0.0,2.0,7.0,126.0,14.0,8.0,13.0,24.0,105.0,132.0,31.0,44.0,18.0,36.0,121.0,39.0,5.0,111.0,30.0,40.0,142.0,11.0,63.0,65.0,48.0,64.0,53.0,88.0,49.0
4171,20.0,29.0,16.0,0.0,117.0,2.0,25.0,1.0,11.0,103.0,133.0,23.0,40.0,21.0,110.0,126.0,27.0,31.0,124.0,51.0,77.0,140.0,91.0,42.0,8.0,57.0,41.0,44.0,43.0,47.0
4220,1.0,7.0,6.0,35.0,31.0,5.0,32.0,15.0,156.0,14.0,0.0,83.0,17.0,80.0,28.0,8.0,33.0,116.0,37.0,25.0,75.0,143.0,30.0,41.0,42.0,43.0,54.0,39.0,57.0,46.0
4269,13.0,3.0,16.0,0.0,6.0,1.0,26.0,5.0,163.0,17.0,11.0,8.0,20.0,7.0,126.0,118.0,27.0,4.0,36.0,51.0,12.0,34.0,23.0,46.0,45.0,48.0,43.0,47.0,42.0,52.0
4318,3.0,27.0,4.0,0.0,6.0,1.0,7.0,16.0,23.0,5.0,134.0,8.0,50.0,10.0,30.0,121.0,71.0,118.0,36.0,35.0,77.0,28.0,2.0,47.0,46.0,49.0,45.0,48.0,42.0,39.0
4367,32.0,0.0,3.0,1.0,9.0,4.0,5.0,67.0,20.0,15.0,132.0,82.0,38.0,10.0,108.0,8.0,55.0,117.0,34.0,50.0,66.0,26.0,12.0,39.0,44.0,37.0,61.0,36.0,62.0,42.0
4416,9.0,5.0,7.0,11.0,10.0,1.0,3.0,87.0,2.0,106.0,13.0,79.0,54.0,19.0,0.0,121.0,4.0,30.0,23.0,49.0,16.0,6.0,128.0,40.0,37.0,17.0,38.0,39.0,44.0,43.0
4465,4.0,3.0,12.0,34.0,36.0,8.0,9.0,13.0,10.0,106.0,17.0,2.0,18.0,11.0,0.0,126.0,7.0,5.0,125.0,1.0,74.0,30.0,83.0,37.0,15.0,55.0,38.0,39.0,46.0,43.0
4514,28.0,5.0,0.0,31.0,36.0,7.0,1.0,12.0,27.0,107.0,6.0,22.0,10.0,17.0,3.0,122.0,62.0,126.0,118.0,57.0,39.0,38.0,84.0,51.0,50.0,13.0,56.0,52.0,41.0,48.0
4563,72.0,1.0,0.0,3.0,31.0,8.0,29.0,21.0,16.0,12.0,134.0,6.0,10.0,79.0,2.0,118.0,7.0,4.0,23.0,50.0,15.0,9.0,30.0,38.0,39.0,37.0,40.0,42.0,41.0,55.0
4612,4.0,32.0,8.0,9.0,1.0,77.0,2.0,0.0,157.0,16.0,10.0,3.0,46.0,15.0,29.0,119.0,61.0,31.0,125.0,35.0,12.0,26.0,81.0,44.0,43.0,55.0,41.0,45.0,40.0,49.0
4661,3.0,37.0,15.0,4.0,23.0,12.0,8.0,13.0,18.0,103.0,17.0,7.0,47.0,6.0,0.0,32.0,25.0,29.0,38.0,48.0,2.0,26.0,84.0,45.0,44.0,20.0,42.0,46.0,50.0,5.0
4710,15.0,26.0,2.0,6.0,0.0,22.0,25.0,21.0,3.0,16.0,146.0,37.0,51.0,12.0,1.0,35.0,27.0,32.0,124.0,59.0,81.0,36.0,96.0,48.0,62.0,50.0,43.0,49.0,42.0,53.0
4759,78.0,4.0,5.0,6.0,7.0,15.0,1.0,14.0,0.0,104.0,35.0,21.0,13.0,26.0,2.0,29.0,62.0,30.0,33.0,9.0,18.0,3.0,16.0,48.0,56.0,51.0,41.0,47.0,43.0,11.0
4808,21.0,3.0,6.0,41.0,119.0,2.0,26.0,18.0,28.0,101.0,0.0,5.0,15.0,14.0,1.0,35.0,67.0,31.0,126.0,56.0,23.0,136.0,20.0,45.0,46.0,61.0,42.0,44.0,43.0,50.0
4857,4.0,8.0,10.0,5.0,6.0,2.0,12.0,3.0,7.0,105.0,24.0,22.0,58.0,83.0,0.0,28.0,37.0,39.0,125.0,33.0,1.0,141.0,92.0,45.0,41.0,19.0,42.0,44.0,43.0,50.0
