,GABA,beta-alanine,C56:5 TAG,2-deoxycytidine,alpha-glycerophosphate,C22:6 LPE,butyrylcarnitine/isobutyrylcarnitine,DHAP/glyceraldehyde 3P,C34:4 PC,N-carbamoyl-beta-alanine,1-methylnicotinamide,C36:4 PC-B,UMP,palmitoylcarnitine,acetylcholine,adenosine,uridine,cystathionine,cytidine,niacinamide,valerylcarnitine,hypoxanthine,homocysteine,C18:0 LPC,2-deoxyadenosine,PEP,NADP,SDMA/ADMA,pantothenate,putrescine
1544,0.0,1.0,2.0,4.0,8.0,3.0,22.0,14.0,5.0,7.0,6.0,17.0,57.0,9.0,40.0,18.0,10.0,12.0,27.0,25.0,28.0,37.0,32.0,39.0,15.0,19.0,23.0,44.0,31.0,13.0
1593,0.0,2.0,1.0,6.0,3.0,5.0,13.0,8.0,4.0,15.0,7.0,16.0,12.0,18.0,40.0,21.0,22.0,14.0,45.0,9.0,20.0,49.0,57.0,26.0,10.0,30.0,17.0,33.0,63.0,11.0
1642,0.0,8.0,1.0,3.0,7.0,12.0,11.0,5.0,2.0,14.0,4.0,32.0,36.0,15.0,22.0,10.0,23.0,18.0,48.0,46.0,9.0,26.0,16.0,13.0,21.0,17.0,27.0,52.0,28.0,6.0
1691,0.0,1.0,5.0,11.0,7.0,12.0,44.0,8.0,15.0,9.0,3.0,39.0,60.0,6.0,14.0,17.0,24.0,13.0,19.0,21.0,4.0,34.0,35.0,26.0,61.0,30.0,33.0,31.0,41.0,2.0
1740,0.0,1.0,2.0,11.0,37.0,3.0,18.0,5.0,15.0,9.0,6.0,10.0,53.0,19.0,32.0,29.0,21.0,39.0,14.0,7.0,22.0,38.0,45.0,20.0,13.0,16.0,33.0,50.0,31.0,4.0
1789,0.0,4.0,2.0,14.0,3.0,8.0,46.0,6.0,19.0,10.0,1.0,11.0,29.0,18.0,12.0,25.0,15.0,16.0,24.0,17.0,9.0,51.0,21.0,48.0,30.0,47.0,22.0,58.0,23.0,7.0
1838,1.0,0.0,4.0,13.0,8.0,3.0,33.0,23.0,10.0,7.0,2.0,6.0,45.0,21.0,38.0,19.0,12.0,5.0,35.0,17.0,20.0,50.0,9.0,39.0,46.0,22.0,48.0,11.0,42.0,14.0
1887,0.0,5.0,1.0,2.0,6.0,4.0,8.0,21.0,23.0,7.0,3.0,9.0,65.0,11.0,22.0,37.0,16.0,19.0,28.0,47.0,14.0,15.0,25.0,44.0,48.0,31.0,40.0,36.0,46.0,10.0
1936,1.0,2.0,0.0,4.0,9.0,15.0,57.0,6.0,32.0,10.0,12.0,14.0,35.0,18.0,22.0,7.0,20.0,53.0,43.0,5.0,13.0,34.0,26.0,23.0,25.0,31.0,24.0,28.0,47.0,19.0
1985,4.0,7.0,1.0,0.0,2.0,3.0,13.0,20.0,16.0,11.0,15.0,10.0,29.0,19.0,21.0,6.0,39.0,18.0,5.0,8.0,9.0,22.0,42.0,12.0,14.0,57.0,24.0,26.0,38.0,59.0
2034,2.0,3.0,1.0,0.0,15.0,12.0,9.0,4.0,7.0,14.0,8.0,6.0,5.0,13.0,43.0,10.0,17.0,37.0,54.0,16.0,18.0,40.0,28.0,26.0,21.0,34.0,36.0,27.0,25.0,11.0
2083,4.0,0.0,1.0,3.0,5.0,7.0,8.0,2.0,16.0,14.0,13.0,9.0,10.0,18.0,28.0,47.0,45.0,11.0,32.0,36.0,6.0,22.0,33.0,20.0,31.0,42.0,53.0,54.0,17.0,61.0
2132,1.0,2.0,0.0,3.0,4.0,8.0,5.0,6.0,9.0,10.0,49.0,16.0,7.0,19.0,13.0,17.0,11.0,18.0,36.0,21.0,15.0,23.0,22.0,56.0,45.0,58.0,29.0,37.0,20.0,66.0
2181,2.0,0.0,5.0,3.0,9.0,7.0,1.0,17.0,12.0,4.0,15.0,26.0,8.0,34.0,35.0,6.0,13.0,22.0,23.0,33.0,24.0,19.0,46.0,10.0,18.0,14.0,29.0,20.0,27.0,51.0
2230,1.0,4.0,2.0,0.0,8.0,3.0,41.0,12.0,48.0,10.0,13.0,14.0,9.0,20.0,22.0,7.0,5.0,35.0,47.0,34.0,15.0,16.0,6.0,24.0,31.0,18.0,55.0,11.0,29.0,54.0
2279,0.0,7.0,9.0,6.0,5.0,1.0,8.0,2.0,16.0,4.0,15.0,14.0,3.0,41.0,26.0,11.0,12.0,27.0,37.0,29.0,10.0,17.0,18.0,19.0,36.0,46.0,55.0,24.0,35.0,42.0
2328,0.0,2.0,3.0,1.0,18.0,4.0,11.0,20.0,12.0,8.0,23.0,5.0,10.0,53.0,37.0,13.0,9.0,33.0,29.0,42.0,6.0,14.0,7.0,32.0,22.0,19.0,43.0,21.0,16.0,49.0
2377,4.0,5.0,1.0,0.0,6.0,33.0,7.0,9.0,49.0,3.0,11.0,10.0,2.0,14.0,15.0,16.0,13.0,51.0,21.0,8.0,19.0,28.0,12.0,23.0,47.0,20.0,59.0,31.0,43.0,26.0
2426,3.0,1.0,2.0,0.0,5.0,4.0,13.0,12.0,41.0,17.0,29.0,33.0,14.0,6.0,16.0,7.0,23.0,35.0,18.0,10.0,8.0,40.0,27.0,9.0,48.0,53.0,22.0,21.0,32.0,51.0
2475,0.0,15.0,3.0,19.0,7.0,12.0,2.0,5.0,8.0,26.0,18.0,4.0,27.0,1.0,14.0,23.0,11.0,24.0,20.0,28.0,6.0,56.0,17.0,58.0,35.0,31.0,50.0,10.0,9.0,44.0
2524,5.0,7.0,9.0,0.0,26.0,4.0,3.0,2.0,6.0,8.0,1.0,10.0,25.0,19.0,18.0,14.0,13.0,17.0,16.0,11.0,24.0,28.0,64.0,39.0,34.0,42.0,15.0,40.0,27.0,36.0
2573,5.0,0.0,1.0,3.0,13.0,11.0,7.0,31.0,9.0,10.0,6.0,8.0,21.0,19.0,4.0,33.0,65.0,2.0,36.0,17.0,15.0,44.0,45.0,64.0,28.0,54.0,30.0,51.0,37.0,63.0
2622,0.0,12.0,5.0,8.0,21.0,4.0,7.0,3.0,6.0,13.0,17.0,38.0,28.0,26.0,19.0,11.0,60.0,25.0,2.0,31.0,18.0,34.0,39.0,23.0,27.0,50.0,41.0,10.0,22.0,16.0
2671,0.0,4.0,1.0,11.0,7.0,13.0,2.0,8.0,10.0,29.0,21.0,3.0,17.0,5.0,14.0,12.0,34.0,36.0,43.0,44.0,6.0,9.0,39.0,19.0,32.0,30.0,23.0,27.0,52.0,51.0
2720,0.0,5.0,3.0,7.0,6.0,1.0,2.0,9.0,29.0,31.0,14.0,11.0,16.0,35.0,12.0,8.0,13.0,33.0,20.0,38.0,19.0,55.0,40.0,32.0,48.0,47.0,51.0,43.0,22.0,62.0
2769,9.0,3.0,4.0,7.0,44.0,16.0,0.0,28.0,2.0,8.0,1.0,6.0,35.0,12.0,15.0,10.0,21.0,29.0,5.0,19.0,14.0,37.0,22.0,39.0,24.0,25.0,51.0,23.0,11.0,47.0
2818,1.0,34.0,9.0,0.0,41.0,7.0,3.0,25.0,2.0,20.0,23.0,13.0,21.0,61.0,57.0,27.0,29.0,49.0,14.0,28.0,32.0,24.0,22.0,16.0,55.0,38.0,8.0,39.0,15.0,30.0
2867,0.0,13.0,2.0,1.0,23.0,25.0,9.0,4.0,12.0,59.0,21.0,7.0,17.0,31.0,34.0,10.0,43.0,5.0,11.0,6.0,3.0,40.0,53.0,38.0,26.0,49.0,16.0,20.0,18.0,29.0
2916,0.0,15.0,11.0,18.0,23.0,10.0,16.0,2.0,5.0,27.0,9.0,14.0,24.0,4.0,39.0,1.0,8.0,41.0,35.0,25.0,13.0,34.0,12.0,37.0,48.0,40.0,59.0,31.0,6.0,42.0
2965,1.0,5.0,4.0,0.0,2.0,6.0,16.0,17.0,13.0,3.0,12.0,14.0,62.0,19.0,9.0,10.0,40.0,7.0,11.0,41.0,50.0,24.0,38.0,51.0,33.0,8.0,18.0,22.0,39.0,43.0
3014,0.0,5.0,7.0,1.0,3.0,23.0,4.0,19.0,12.0,9.0,61.0,45.0,35.0,13.0,15.0,6.0,33.0,2.0,18.0,27.0,8.0,21.0,29.0,40.0,24.0,10.0,44.0,25.0,52.0,14.0
3063,0.0,1.0,5.0,3.0,2.0,8.0,4.0,13.0,15.0,10.0,9.0,26.0,28.0,7.0,11.0,18.0,36.0,6.0,32.0,45.0,37.0,33.0,64.0,30.0,22.0,14.0,29.0,40.0,21.0,55.0
3112,0.0,3.0,25.0,6.0,1.0,5.0,2.0,15.0,34.0,9.0,22.0,21.0,43.0,42.0,7.0,4.0,13.0,8.0,14.0,26.0,28.0,17.0,23.0,10.0,11.0,18.0,27.0,33.0,58.0,24.0
3161,0.0,3.0,9.0,1.0,5.0,12.0,4.0,42.0,26.0,32.0,20.0,8.0,7.0,17.0,57.0,6.0,18.0,2.0,43.0,44.0,22.0,27.0,28.0,45.0,10.0,15.0,33.0,21.0,37.0,54.0
3210,0.0,1.0,6.0,2.0,10.0,13.0,3.0,26.0,19.0,5.0,18.0,20.0,17.0,9.0,7.0,4.0,44.0,8.0,15.0,23.0,27.0,29.0,16.0,22.0,56.0,47.0,30.0,49.0,39.0,55.0
3259,0.0,8.0,15.0,2.0,6.0,5.0,4.0,7.0,29.0,16.0,13.0,33.0,1.0,11.0,38.0,20.0,30.0,9.0,17.0,22.0,25.0,10.0,61.0,46.0,19.0,26.0,54.0,18.0,66.0,3.0
3308,1.0,0.0,5.0,2.0,7.0,16.0,6.0,20.0,15.0,9.0,41.0,54.0,22.0,25.0,12.0,3.0,10.0,4.0,21.0,18.0,14.0,19.0,39.0,38.0,30.0,29.0,17.0,11.0,13.0,26.0
3357,0.0,24.0,5.0,2.0,4.0,3.0,1.0,28.0,15.0,21.0,6.0,18.0,34.0,14.0,17.0,8.0,22.0,7.0,41.0,27.0,29.0,16.0,37.0,23.0,59.0,9.0,38.0,40.0,49.0,20.0
3406,0.0,14.0,6.0,4.0,1.0,7.0,2.0,3.0,15.0,11.0,12.0,8.0,18.0,9.0,19.0,28.0,10.0,13.0,47.0,20.0,5.0,25.0,48.0,30.0,41.0,21.0,31.0,43.0,46.0,27.0
3455,0.0,2.0,3.0,1.0,5.0,35.0,10.0,53.0,4.0,7.0,14.0,36.0,24.0,37.0,8.0,27.0,57.0,18.0,9.0,26.0,41.0,54.0,12.0,22.0,6.0,30.0,28.0,47.0,11.0,19.0
3504,0.0,3.0,4.0,1.0,10.0,2.0,13.0,27.0,12.0,15.0,17.0,11.0,6.0,63.0,30.0,16.0,26.0,9.0,41.0,8.0,19.0,21.0,32.0,61.0,33.0,22.0,64.0,51.0,34.0,14.0
3553,0.0,1.0,3.0,5.0,6.0,13.0,17.0,15.0,9.0,11.0,2.0,19.0,8.0,51.0,27.0,40.0,62.0,4.0,38.0,7.0,28.0,21.0,20.0,37.0,50.0,18.0,10.0,48.0,41.0,34.0
3602,0.0,1.0,3.0,5.0,11.0,6.0,12.0,2.0,13.0,26.0,7.0,21.0,33.0,19.0,10.0,15.0,17.0,4.0,9.0,35.0,30.0,44.0,45.0,63.0,24.0,29.0,14.0,47.0,22.0,31.0
3651,0.0,6.0,4.0,2.0,25.0,5.0,15.0,13.0,1.0,41.0,8.0,18.0,14.0,3.0,22.0,19.0,26.0,9.0,11.0,10.0,7.0,57.0,34.0,31.0,42.0,29.0,16.0,35.0,30.0,48.0
3700,0.0,2.0,1.0,3.0,15.0,8.0,31.0,12.0,4.0,6.0,10.0,20.0,55.0,16.0,5.0,17.0,22.0,7.0,13.0,25.0,43.0,18.0,33.0,45.0,42.0,35.0,41.0,29.0,24.0,21.0
3749,3.0,1.0,5.0,11.0,7.0,25.0,2.0,12.0,9.0,0.0,16.0,20.0,28.0,10.0,15.0,17.0,8.0,4.0,13.0,40.0,35.0,6.0,24.0,23.0,46.0,21.0,14.0,26.0,18.0,22.0
3798,0.0,1.0,2.0,7.0,3.0,19.0,4.0,5.0,10.0,18.0,20.0,13.0,17.0,9.0,14.0,26.0,48.0,8.0,6.0,41.0,30.0,21.0,12.0,49.0,31.0,15.0,23.0,54.0,22.0,59.0
3847,0.0,7.0,1.0,3.0,12.0,11.0,18.0,37.0,15.0,30.0,6.0,20.0,13.0,4.0,22.0,35.0,5.0,2.0,9.0,50.0,21.0,36.0,39.0,42.0,28.0,32.0,25.0,27.0,63.0,26.0
3896,0.0,9.0,13.0,2.0,3.0,12.0,4.0,10.0,14.0,16.0,6.0,32.0,11.0,8.0,5.0,21.0,25.0,1.0,17.0,20.0,22.0,24.0,15.0,43.0,7.0,27.0,36.0,47.0,45.0,19.0
3945,0.0,5.0,15.0,7.0,9.0,1.0,16.0,3.0,19.0,2.0,11.0,18.0,23.0,8.0,4.0,52.0,12.0,13.0,51.0,65.0,17.0,53.0,6.0,24.0,60.0,22.0,38.0,25.0,26.0,27.0
3994,0.0,7.0,1.0,38.0,22.0,14.0,16.0,3.0,12.0,4.0,34.0,24.0,5.0,13.0,10.0,51.0,2.0,35.0,40.0,9.0,41.0,43.0,31.0,8.0,44.0,47.0,57.0,17.0,29.0,6.0
4043,0.0,4.0,2.0,21.0,3.0,8.0,1.0,6.0,5.0,22.0,14.0,15.0,33.0,9.0,7.0,12.0,29.0,39.0,11.0,25.0,18.0,16.0,20.0,23.0,44.0,24.0,50.0,17.0,60.0,42.0
4092,0.0,11.0,3.0,17.0,1.0,8.0,25.0,23.0,5.0,2.0,30.0,24.0,12.0,48.0,4.0,10.0,6.0,38.0,7.0,15.0,9.0,51.0,39.0,16.0,13.0,50.0,14.0,28.0,35.0,45.0
4141,0.0,4.0,2.0,25.0,1.0,16.0,5.0,9.0,3.0,10.0,28.0,22.0,15.0,7.0,6.0,38.0,8.0,39.0,14.0,32.0,43.0,56.0,20.0,13.0,52.0,44.0,50.0,23.0,30.0,12.0
4190,1.0,3.0,4.0,14.0,12.0,20.0,5.0,2.0,11.0,0.0,10.0,18.0,7.0,35.0,9.0,55.0,23.0,17.0,49.0,8.0,28.0,41.0,19.0,13.0,27.0,32.0,15.0,22.0,31.0,16.0
4239,0.0,17.0,1.0,27.0,2.0,9.0,5.0,8.0,6.0,3.0,4.0,24.0,13.0,20.0,11.0,28.0,34.0,59.0,45.0,44.0,16.0,53.0,30.0,7.0,41.0,18.0,14.0,32.0,37.0,23.0
4288,0.0,2.0,5.0,27.0,7.0,3.0,4.0,15.0,11.0,19.0,1.0,32.0,38.0,10.0,17.0,28.0,9.0,41.0,25.0,14.0,64.0,46.0,23.0,12.0,18.0,40.0,22.0,55.0,8.0,6.0
4337,3.0,10.0,2.0,8.0,0.0,17.0,4.0,12.0,13.0,23.0,6.0,44.0,11.0,7.0,14.0,47.0,1.0,19.0,49.0,20.0,9.0,55.0,35.0,22.0,36.0,54.0,45.0,43.0,51.0,5.0
4386,0.0,3.0,1.0,37.0,5.0,10.0,7.0,2.0,8.0,18.0,12.0,4.0,11.0,9.0,6.0,43.0,27.0,62.0,38.0,21.0,17.0,26.0,15.0,13.0,45.0,14.0,22.0,25.0,56.0,16.0
4435,5.0,3.0,4.0,7.0,1.0,0.0,21.0,9.0,13.0,15.0,8.0,18.0,49.0,11.0,27.0,2.0,44.0,6.0,14.0,12.0,24.0,31.0,22.0,19.0,10.0,17.0,43.0,41.0,20.0,25.0
4484,2.0,16.0,6.0,18.0,0.0,1.0,3.0,8.0,45.0,7.0,4.0,5.0,10.0,17.0,34.0,12.0,14.0,21.0,15.0,19.0,42.0,23.0,33.0,30.0,25.0,27.0,20.0,32.0,56.0,11.0
4533,1.0,17.0,3.0,7.0,2.0,0.0,6.0,9.0,5.0,11.0,4.0,14.0,15.0,23.0,19.0,32.0,12.0,10.0,8.0,43.0,29.0,37.0,25.0,24.0,52.0,36.0,20.0,30.0,47.0,66.0
4582,5.0,1.0,17.0,3.0,2.0,0.0,4.0,13.0,7.0,11.0,6.0,9.0,10.0,21.0,20.0,8.0,16.0,14.0,18.0,32.0,29.0,27.0,15.0,28.0,23.0,30.0,47.0,51.0,44.0,26.0
4631,8.0,0.0,2.0,20.0,9.0,5.0,3.0,7.0,11.0,1.0,4.0,33.0,10.0,17.0,13.0,14.0,6.0,18.0,15.0,49.0,16.0,12.0,28.0,22.0,19.0,46.0,54.0,38.0,24.0,51.0
4680,0.0,2.0,6.0,1.0,3.0,4.0,11.0,18.0,15.0,8.0,9.0,12.0,27.0,17.0,10.0,5.0,7.0,14.0,19.0,24.0,23.0,16.0,26.0,34.0,44.0,13.0,25.0,66.0,55.0,39.0
4729,3.0,8.0,0.0,4.0,1.0,2.0,23.0,10.0,9.0,30.0,6.0,11.0,25.0,26.0,5.0,7.0,24.0,18.0,14.0,15.0,16.0,32.0,45.0,12.0,27.0,38.0,57.0,13.0,20.0,19.0
4778,4.0,12.0,11.0,2.0,3.0,5.0,0.0,8.0,9.0,7.0,10.0,26.0,1.0,18.0,40.0,6.0,16.0,23.0,46.0,13.0,22.0,15.0,17.0,42.0,14.0,36.0,19.0,20.0,38.0,25.0
4827,5.0,8.0,7.0,6.0,4.0,1.0,2.0,11.0,0.0,14.0,3.0,10.0,38.0,15.0,47.0,9.0,12.0,16.0,43.0,40.0,30.0,17.0,35.0,25.0,13.0,18.0,22.0,55.0,37.0,57.0
4876,0.0,10.0,9.0,7.0,2.0,1.0,4.0,12.0,6.0,18.0,5.0,32.0,50.0,20.0,17.0,3.0,8.0,11.0,44.0,35.0,24.0,14.0,16.0,49.0,33.0,13.0,19.0,52.0,22.0,23.0
