,hsa-miR-34a,hsa-miR-579,hsa-miR-222,hsv1-miR-H2-3p,hsa-miR-223,hsa-miR-591,hsa-miR-26a,hsa-miR-675,hsa-miR-155,hsa-miR-1256,hsa-miR-142-5p,hsa-miR-892a,hsa-miR-614,hsa-miR-934,hsa-miR-582-5p,hsa-miR-519e,hsa-miR-133b,hsa-miR-220a,hsa-miR-449b,hsa-miR-891a,hsa-miR-581,hsa-miR-1286,kshv-miR-K12-7,hsa-miR-654-3p,hsa-miR-298,hsa-miR-921,hsa-miR-150,hsa-miR-568,hsa-miR-551b,hsa-miR-132
1683,0.0,2.0,1.0,23.0,7.0,9.0,17.0,24.0,11.0,3.0,52.0,84.0,64.0,21.0,42.0,20.0,50.0,16.0,4.0,49.0,37.0,39.0,8.0,299.0,25.0,36.0,38.0,13.0,31.0,35.0
1732,6.0,3.0,2.0,5.0,1.0,27.0,19.0,44.0,23.0,16.0,4.0,39.0,54.0,41.0,34.0,45.0,62.0,7.0,14.0,25.0,26.0,64.0,12.0,112.0,10.0,0.0,31.0,8.0,36.0,21.0
1781,0.0,1.0,8.0,25.0,3.0,13.0,28.0,7.0,11.0,2.0,16.0,61.0,43.0,34.0,71.0,36.0,56.0,18.0,9.0,23.0,19.0,47.0,17.0,303.0,5.0,4.0,31.0,6.0,52.0,27.0
1830,0.0,1.0,2.0,16.0,8.0,13.0,21.0,10.0,7.0,30.0,29.0,24.0,44.0,5.0,12.0,26.0,71.0,14.0,3.0,33.0,19.0,43.0,4.0,32.0,18.0,53.0,47.0,11.0,31.0,70.0
1879,0.0,1.0,5.0,7.0,8.0,6.0,10.0,21.0,9.0,31.0,4.0,17.0,50.0,89.0,38.0,27.0,43.0,2.0,3.0,29.0,11.0,40.0,16.0,105.0,19.0,37.0,14.0,52.0,80.0,42.0
1928,1.0,3.0,2.0,66.0,6.0,5.0,8.0,37.0,4.0,60.0,33.0,89.0,14.0,51.0,86.0,43.0,34.0,13.0,0.0,16.0,25.0,32.0,12.0,52.0,7.0,225.0,72.0,15.0,187.0,17.0
1977,0.0,8.0,5.0,7.0,15.0,1.0,9.0,6.0,3.0,50.0,32.0,49.0,26.0,2.0,45.0,34.0,14.0,39.0,76.0,12.0,74.0,40.0,25.0,56.0,22.0,63.0,11.0,77.0,4.0,18.0
2026,0.0,3.0,1.0,2.0,9.0,27.0,10.0,12.0,6.0,40.0,67.0,4.0,15.0,5.0,11.0,28.0,37.0,63.0,48.0,8.0,32.0,19.0,22.0,7.0,36.0,220.0,14.0,71.0,18.0,24.0
2075,0.0,1.0,3.0,15.0,14.0,4.0,10.0,5.0,7.0,20.0,43.0,2.0,36.0,11.0,28.0,21.0,29.0,116.0,49.0,18.0,19.0,61.0,23.0,13.0,17.0,6.0,22.0,138.0,38.0,32.0
2124,0.0,6.0,1.0,5.0,21.0,2.0,28.0,3.0,7.0,16.0,57.0,64.0,19.0,4.0,17.0,20.0,55.0,40.0,39.0,24.0,74.0,83.0,13.0,22.0,25.0,34.0,31.0,91.0,11.0,10.0
2173,0.0,1.0,3.0,7.0,6.0,14.0,41.0,21.0,2.0,70.0,18.0,36.0,12.0,5.0,4.0,26.0,19.0,124.0,27.0,10.0,15.0,77.0,31.0,35.0,30.0,254.0,22.0,72.0,13.0,51.0
2222,0.0,6.0,1.0,2.0,5.0,11.0,10.0,36.0,9.0,20.0,66.0,4.0,3.0,23.0,19.0,17.0,15.0,350.0,60.0,13.0,30.0,82.0,53.0,14.0,24.0,22.0,28.0,37.0,16.0,47.0
2271,0.0,1.0,2.0,26.0,49.0,5.0,4.0,6.0,23.0,42.0,38.0,3.0,25.0,12.0,37.0,33.0,44.0,113.0,35.0,13.0,29.0,58.0,22.0,7.0,43.0,19.0,16.0,130.0,8.0,46.0
2320,0.0,8.0,1.0,3.0,6.0,16.0,28.0,15.0,46.0,7.0,26.0,13.0,22.0,2.0,19.0,41.0,31.0,92.0,21.0,5.0,23.0,57.0,32.0,10.0,52.0,77.0,60.0,17.0,14.0,59.0
2369,0.0,1.0,7.0,5.0,50.0,4.0,25.0,29.0,27.0,13.0,24.0,8.0,14.0,3.0,11.0,32.0,41.0,99.0,12.0,30.0,19.0,37.0,17.0,15.0,22.0,47.0,16.0,28.0,61.0,6.0
2418,0.0,12.0,1.0,31.0,14.0,7.0,23.0,35.0,4.0,10.0,13.0,8.0,56.0,9.0,18.0,30.0,34.0,107.0,24.0,5.0,33.0,73.0,26.0,60.0,32.0,2.0,17.0,61.0,15.0,16.0
2467,0.0,4.0,3.0,1.0,18.0,7.0,19.0,41.0,2.0,9.0,27.0,17.0,6.0,81.0,10.0,14.0,22.0,12.0,31.0,8.0,5.0,24.0,50.0,319.0,26.0,116.0,20.0,58.0,21.0,414.0
2516,0.0,1.0,2.0,3.0,49.0,28.0,22.0,85.0,9.0,10.0,26.0,5.0,6.0,70.0,76.0,24.0,8.0,38.0,15.0,13.0,29.0,35.0,18.0,43.0,42.0,33.0,32.0,45.0,7.0,114.0
2565,0.0,1.0,3.0,2.0,15.0,30.0,94.0,56.0,5.0,7.0,25.0,37.0,8.0,13.0,9.0,21.0,12.0,39.0,11.0,16.0,4.0,44.0,81.0,19.0,38.0,79.0,26.0,48.0,6.0,18.0
2614,0.0,2.0,8.0,1.0,24.0,16.0,5.0,102.0,6.0,9.0,11.0,3.0,7.0,56.0,23.0,20.0,21.0,19.0,25.0,35.0,4.0,30.0,66.0,50.0,12.0,31.0,10.0,49.0,32.0,68.0
2663,0.0,1.0,23.0,2.0,57.0,45.0,22.0,100.0,6.0,5.0,8.0,4.0,16.0,34.0,17.0,11.0,15.0,84.0,85.0,28.0,13.0,59.0,80.0,26.0,21.0,264.0,37.0,91.0,3.0,105.0
2712,0.0,1.0,48.0,2.0,12.0,18.0,15.0,41.0,28.0,5.0,47.0,8.0,33.0,10.0,46.0,13.0,30.0,36.0,14.0,9.0,4.0,16.0,23.0,70.0,20.0,32.0,61.0,49.0,3.0,85.0
2761,0.0,1.0,3.0,2.0,8.0,11.0,22.0,101.0,9.0,18.0,27.0,4.0,5.0,37.0,112.0,7.0,53.0,60.0,28.0,32.0,6.0,26.0,56.0,72.0,15.0,30.0,20.0,91.0,36.0,43.0
2810,0.0,1.0,3.0,2.0,17.0,11.0,6.0,31.0,4.0,7.0,14.0,94.0,8.0,24.0,22.0,16.0,37.0,27.0,69.0,19.0,28.0,47.0,61.0,58.0,9.0,45.0,10.0,103.0,84.0,82.0
2859,0.0,1.0,6.0,2.0,25.0,24.0,18.0,74.0,13.0,33.0,11.0,3.0,42.0,10.0,29.0,16.0,66.0,9.0,47.0,26.0,15.0,21.0,65.0,40.0,37.0,80.0,12.0,28.0,44.0,30.0
2908,0.0,1.0,4.0,5.0,15.0,25.0,21.0,45.0,9.0,2.0,22.0,13.0,8.0,10.0,72.0,17.0,38.0,30.0,67.0,48.0,16.0,117.0,101.0,59.0,14.0,6.0,37.0,32.0,47.0,18.0
2957,0.0,1.0,2.0,13.0,42.0,23.0,4.0,66.0,36.0,15.0,11.0,86.0,9.0,22.0,8.0,39.0,12.0,41.0,24.0,21.0,77.0,3.0,6.0,7.0,10.0,38.0,35.0,33.0,28.0,19.0
3006,1.0,0.0,2.0,6.0,18.0,16.0,3.0,48.0,65.0,15.0,50.0,13.0,8.0,28.0,35.0,40.0,7.0,14.0,27.0,44.0,17.0,12.0,19.0,30.0,39.0,93.0,10.0,41.0,38.0,5.0
3055,0.0,1.0,6.0,15.0,25.0,14.0,2.0,26.0,60.0,63.0,4.0,21.0,27.0,5.0,22.0,43.0,12.0,24.0,7.0,44.0,40.0,8.0,13.0,41.0,50.0,31.0,17.0,69.0,30.0,16.0
3104,0.0,1.0,3.0,5.0,37.0,8.0,6.0,26.0,91.0,71.0,47.0,35.0,16.0,15.0,13.0,42.0,31.0,25.0,28.0,23.0,34.0,17.0,2.0,12.0,29.0,65.0,7.0,30.0,4.0,20.0
3153,0.0,2.0,1.0,4.0,32.0,8.0,5.0,40.0,46.0,34.0,52.0,20.0,26.0,11.0,25.0,27.0,6.0,82.0,16.0,19.0,43.0,12.0,9.0,44.0,24.0,80.0,97.0,28.0,23.0,13.0
3202,1.0,0.0,2.0,23.0,33.0,6.0,51.0,35.0,36.0,3.0,7.0,32.0,19.0,14.0,5.0,20.0,13.0,11.0,18.0,10.0,24.0,4.0,26.0,17.0,54.0,43.0,53.0,69.0,15.0,9.0
3251,0.0,1.0,3.0,38.0,20.0,7.0,2.0,64.0,70.0,96.0,22.0,19.0,6.0,12.0,35.0,59.0,11.0,56.0,15.0,39.0,4.0,8.0,5.0,18.0,51.0,45.0,31.0,102.0,27.0,9.0
3300,0.0,1.0,3.0,11.0,27.0,32.0,5.0,54.0,77.0,74.0,18.0,6.0,9.0,2.0,13.0,30.0,20.0,12.0,22.0,10.0,14.0,8.0,16.0,7.0,26.0,256.0,35.0,28.0,85.0,4.0
3349,0.0,1.0,3.0,6.0,4.0,17.0,5.0,16.0,117.0,36.0,2.0,13.0,7.0,21.0,42.0,24.0,19.0,33.0,20.0,44.0,57.0,29.0,15.0,11.0,9.0,66.0,28.0,22.0,30.0,10.0
3398,0.0,1.0,3.0,2.0,18.0,65.0,7.0,56.0,36.0,34.0,17.0,4.0,39.0,10.0,6.0,50.0,16.0,91.0,54.0,22.0,53.0,20.0,11.0,24.0,38.0,288.0,33.0,80.0,118.0,9.0
3447,0.0,2.0,1.0,8.0,4.0,42.0,21.0,10.0,13.0,11.0,3.0,66.0,34.0,229.0,5.0,7.0,17.0,26.0,15.0,19.0,18.0,37.0,50.0,33.0,27.0,230.0,35.0,12.0,84.0,24.0
3496,0.0,2.0,1.0,11.0,8.0,9.0,15.0,16.0,3.0,4.0,5.0,47.0,33.0,81.0,7.0,6.0,24.0,10.0,66.0,21.0,51.0,69.0,76.0,54.0,65.0,57.0,46.0,30.0,82.0,64.0
3545,0.0,1.0,11.0,4.0,21.0,15.0,17.0,2.0,34.0,14.0,12.0,6.0,32.0,52.0,10.0,8.0,38.0,22.0,25.0,51.0,13.0,414.0,47.0,26.0,20.0,74.0,43.0,81.0,88.0,7.0
3594,0.0,1.0,3.0,4.0,7.0,19.0,5.0,24.0,39.0,23.0,61.0,70.0,22.0,79.0,2.0,15.0,11.0,20.0,41.0,63.0,27.0,33.0,43.0,26.0,32.0,30.0,17.0,31.0,102.0,8.0
3643,0.0,2.0,1.0,11.0,6.0,10.0,5.0,52.0,14.0,41.0,19.0,12.0,18.0,45.0,9.0,8.0,24.0,16.0,57.0,59.0,50.0,36.0,75.0,54.0,22.0,61.0,31.0,37.0,84.0,7.0
3692,0.0,1.0,5.0,12.0,2.0,43.0,17.0,15.0,28.0,41.0,22.0,11.0,53.0,45.0,13.0,16.0,32.0,18.0,40.0,25.0,79.0,58.0,59.0,23.0,4.0,75.0,396.0,52.0,77.0,14.0
3741,6.0,3.0,0.0,5.0,2.0,62.0,39.0,44.0,1.0,22.0,7.0,50.0,29.0,68.0,8.0,16.0,27.0,14.0,26.0,24.0,23.0,83.0,49.0,17.0,13.0,98.0,40.0,51.0,125.0,19.0
3790,0.0,9.0,4.0,2.0,26.0,45.0,7.0,5.0,13.0,1.0,34.0,83.0,37.0,94.0,3.0,11.0,20.0,14.0,10.0,19.0,77.0,69.0,43.0,16.0,17.0,41.0,21.0,113.0,184.0,62.0
3839,1.0,2.0,3.0,10.0,5.0,9.0,22.0,4.0,13.0,6.0,8.0,108.0,27.0,31.0,16.0,15.0,55.0,11.0,48.0,69.0,126.0,104.0,38.0,102.0,43.0,213.0,45.0,82.0,32.0,14.0
3888,0.0,1.0,2.0,17.0,7.0,14.0,31.0,4.0,5.0,23.0,13.0,11.0,66.0,81.0,6.0,16.0,19.0,44.0,42.0,40.0,47.0,26.0,29.0,10.0,32.0,90.0,49.0,55.0,178.0,9.0
3937,2.0,1.0,5.0,4.0,3.0,6.0,12.0,10.0,28.0,25.0,13.0,0.0,11.0,35.0,20.0,38.0,14.0,29.0,85.0,43.0,52.0,17.0,97.0,57.0,491.0,7.0,48.0,19.0,16.0,40.0
3986,2.0,1.0,0.0,9.0,7.0,3.0,6.0,41.0,46.0,29.0,26.0,11.0,31.0,30.0,112.0,40.0,23.0,34.0,67.0,16.0,88.0,4.0,231.0,5.0,407.0,10.0,378.0,8.0,21.0,12.0
4035,0.0,1.0,3.0,13.0,2.0,6.0,4.0,10.0,32.0,12.0,14.0,9.0,26.0,24.0,18.0,17.0,15.0,7.0,28.0,30.0,34.0,40.0,52.0,8.0,349.0,5.0,22.0,23.0,97.0,58.0
4084,0.0,1.0,2.0,4.0,3.0,8.0,11.0,16.0,51.0,9.0,5.0,7.0,43.0,17.0,70.0,44.0,20.0,18.0,24.0,39.0,14.0,12.0,235.0,35.0,89.0,6.0,19.0,10.0,114.0,21.0
4133,0.0,1.0,2.0,8.0,4.0,6.0,26.0,22.0,40.0,18.0,21.0,3.0,56.0,17.0,63.0,37.0,7.0,58.0,12.0,14.0,28.0,27.0,236.0,23.0,353.0,5.0,44.0,11.0,15.0,73.0
4182,0.0,1.0,2.0,4.0,3.0,17.0,10.0,11.0,14.0,9.0,16.0,5.0,6.0,30.0,38.0,35.0,37.0,18.0,82.0,26.0,85.0,8.0,39.0,20.0,347.0,19.0,100.0,7.0,76.0,27.0
4231,0.0,1.0,2.0,20.0,4.0,15.0,10.0,3.0,85.0,8.0,5.0,21.0,19.0,11.0,65.0,32.0,25.0,33.0,55.0,34.0,13.0,9.0,71.0,29.0,51.0,6.0,68.0,12.0,16.0,28.0
4280,0.0,5.0,2.0,13.0,1.0,7.0,6.0,4.0,18.0,15.0,22.0,8.0,20.0,10.0,19.0,38.0,17.0,24.0,30.0,14.0,117.0,45.0,131.0,34.0,352.0,11.0,61.0,3.0,21.0,60.0
4329,2.0,5.0,0.0,9.0,1.0,7.0,4.0,8.0,110.0,11.0,6.0,3.0,20.0,10.0,17.0,36.0,15.0,60.0,40.0,82.0,32.0,23.0,224.0,21.0,487.0,16.0,37.0,62.0,24.0,49.0
4378,9.0,1.0,0.0,16.0,3.0,7.0,11.0,36.0,70.0,19.0,5.0,2.0,12.0,13.0,14.0,32.0,46.0,15.0,68.0,27.0,62.0,8.0,73.0,10.0,135.0,24.0,23.0,4.0,61.0,35.0
4427,0.0,2.0,4.0,5.0,7.0,13.0,1.0,3.0,17.0,44.0,6.0,10.0,75.0,18.0,56.0,25.0,8.0,9.0,89.0,48.0,31.0,33.0,39.0,40.0,88.0,29.0,58.0,12.0,78.0,70.0
4476,0.0,2.0,3.0,7.0,9.0,8.0,1.0,11.0,23.0,63.0,10.0,16.0,67.0,17.0,107.0,15.0,21.0,50.0,76.0,57.0,30.0,36.0,129.0,31.0,37.0,39.0,28.0,13.0,29.0,35.0
4525,0.0,2.0,5.0,68.0,3.0,8.0,4.0,7.0,22.0,58.0,31.0,20.0,52.0,16.0,54.0,19.0,17.0,12.0,79.0,44.0,119.0,14.0,25.0,6.0,93.0,32.0,416.0,11.0,91.0,33.0
4574,0.0,2.0,20.0,15.0,17.0,9.0,12.0,8.0,24.0,27.0,1.0,16.0,25.0,6.0,79.0,11.0,7.0,22.0,64.0,49.0,18.0,41.0,51.0,10.0,32.0,257.0,58.0,19.0,50.0,54.0
4623,0.0,2.0,1.0,17.0,5.0,26.0,4.0,6.0,14.0,19.0,8.0,43.0,11.0,42.0,54.0,18.0,15.0,7.0,56.0,74.0,70.0,37.0,34.0,79.0,22.0,45.0,53.0,13.0,21.0,64.0
4672,0.0,10.0,8.0,14.0,3.0,1.0,5.0,7.0,2.0,56.0,12.0,4.0,54.0,67.0,71.0,16.0,20.0,25.0,62.0,101.0,11.0,27.0,45.0,13.0,85.0,23.0,26.0,15.0,102.0,6.0
4721,0.0,6.0,7.0,12.0,1.0,9.0,4.0,5.0,8.0,25.0,3.0,40.0,14.0,16.0,147.0,24.0,33.0,11.0,443.0,31.0,19.0,96.0,27.0,43.0,32.0,69.0,30.0,35.0,10.0,41.0
4770,0.0,11.0,3.0,15.0,4.0,13.0,20.0,10.0,12.0,26.0,1.0,24.0,37.0,7.0,130.0,14.0,5.0,18.0,79.0,47.0,34.0,89.0,9.0,52.0,73.0,223.0,98.0,19.0,23.0,8.0
4819,0.0,1.0,2.0,37.0,18.0,5.0,7.0,3.0,14.0,22.0,15.0,36.0,24.0,10.0,110.0,26.0,8.0,9.0,101.0,45.0,17.0,28.0,35.0,30.0,111.0,48.0,32.0,42.0,46.0,13.0
4868,0.0,1.0,5.0,2.0,7.0,12.0,6.0,3.0,18.0,54.0,16.0,25.0,23.0,30.0,29.0,17.0,31.0,24.0,89.0,69.0,45.0,26.0,28.0,20.0,49.0,207.0,37.0,11.0,32.0,84.0
