,C16:0 LPE,1-methylnicotinamide,uracil,alpha-hydroxybutyrate,cytidine,palmitoylcarnitine,pantothenate,cis/trans-hydroxyproline,valerylcarnitine,sarcosine,creatinine,pyroglutamic acid,GABA,alpha-glycerophosphocholine,N-carbamoyl-beta-alanine,cystathionine,SDMA/ADMA,malondialdehyde,C36:1 DAG,C18:0 LPC,alpha-glycerophosphate,2-deoxyadenosine,phosphocreatine,3-phosphoglycerate,PEP,inositol,2-deoxycytidine,uridine,DHAP/glyceraldehyde 3P,hypoxanthine
3996,0.0,9.0,24.0,8.0,27.0,6.0,5.0,15.0,39.0,4.0,12.0,17.0,18.0,16.0,62.0,10.0,14.0,56.0,30.0,36.0,45.0,21.0,1.0,43.0,25.0,13.0,54.0,55.0,47.0,2.0
4045,0.0,2.0,7.0,4.0,11.0,1.0,28.0,17.0,16.0,3.0,54.0,13.0,59.0,63.0,62.0,10.0,61.0,20.0,12.0,33.0,9.0,30.0,53.0,8.0,26.0,21.0,41.0,51.0,23.0,24.0
4094,0.0,10.0,33.0,6.0,7.0,5.0,3.0,4.0,21.0,14.0,1.0,28.0,59.0,63.0,62.0,8.0,61.0,19.0,25.0,16.0,9.0,45.0,2.0,44.0,31.0,20.0,65.0,23.0,24.0,30.0
4143,20.0,2.0,5.0,26.0,29.0,0.0,10.0,12.0,33.0,21.0,15.0,6.0,54.0,8.0,14.0,9.0,13.0,3.0,42.0,11.0,41.0,62.0,4.0,1.0,30.0,48.0,16.0,31.0,27.0,47.0
4192,1.0,5.0,53.0,0.0,7.0,2.0,29.0,18.0,19.0,21.0,20.0,24.0,15.0,12.0,13.0,8.0,62.0,3.0,35.0,4.0,25.0,45.0,23.0,6.0,28.0,32.0,65.0,55.0,47.0,33.0
4241,0.0,1.0,5.0,54.0,9.0,4.0,6.0,8.0,13.0,16.0,28.0,14.0,62.0,3.0,15.0,29.0,64.0,55.0,10.0,32.0,24.0,41.0,2.0,20.0,23.0,12.0,33.0,22.0,30.0,26.0
4290,0.0,5.0,26.0,36.0,7.0,3.0,29.0,15.0,12.0,13.0,23.0,19.0,60.0,63.0,10.0,8.0,62.0,56.0,32.0,18.0,42.0,46.0,35.0,2.0,28.0,21.0,55.0,53.0,9.0,33.0
4339,0.0,4.0,20.0,10.0,2.0,7.0,3.0,5.0,29.0,15.0,64.0,6.0,30.0,61.0,59.0,27.0,58.0,13.0,25.0,33.0,1.0,65.0,11.0,19.0,51.0,17.0,41.0,18.0,26.0,22.0
4388,17.0,0.0,1.0,27.0,28.0,2.0,3.0,9.0,37.0,15.0,13.0,64.0,6.0,58.0,56.0,5.0,11.0,50.0,22.0,16.0,44.0,61.0,29.0,14.0,8.0,52.0,62.0,34.0,31.0,26.0
4437,5.0,2.0,27.0,0.0,12.0,17.0,8.0,18.0,4.0,16.0,63.0,55.0,1.0,60.0,33.0,15.0,24.0,22.0,42.0,37.0,10.0,3.0,25.0,44.0,7.0,32.0,46.0,6.0,11.0,13.0
4486,0.0,2.0,7.0,3.0,5.0,15.0,11.0,22.0,17.0,14.0,21.0,25.0,8.0,19.0,61.0,4.0,60.0,23.0,32.0,1.0,28.0,44.0,24.0,43.0,9.0,31.0,54.0,27.0,47.0,29.0
4535,0.0,1.0,21.0,6.0,3.0,9.0,24.0,10.0,35.0,4.0,43.0,5.0,13.0,16.0,61.0,2.0,60.0,11.0,31.0,12.0,26.0,65.0,8.0,41.0,23.0,53.0,34.0,51.0,45.0,20.0
4584,0.0,2.0,23.0,5.0,3.0,40.0,24.0,13.0,39.0,15.0,44.0,17.0,8.0,9.0,11.0,46.0,62.0,16.0,34.0,30.0,26.0,22.0,21.0,1.0,6.0,56.0,10.0,4.0,32.0,49.0
4633,1.0,6.0,2.0,0.0,5.0,21.0,11.0,9.0,7.0,20.0,64.0,19.0,17.0,63.0,61.0,45.0,60.0,12.0,27.0,14.0,4.0,54.0,65.0,42.0,10.0,8.0,22.0,30.0,25.0,48.0
4682,4.0,0.0,3.0,24.0,11.0,33.0,29.0,8.0,12.0,21.0,7.0,14.0,19.0,6.0,5.0,27.0,57.0,9.0,18.0,13.0,25.0,63.0,52.0,22.0,1.0,65.0,64.0,55.0,28.0,26.0
4731,2.0,4.0,0.0,1.0,7.0,20.0,29.0,5.0,19.0,21.0,58.0,17.0,12.0,16.0,14.0,3.0,13.0,26.0,22.0,36.0,44.0,59.0,8.0,15.0,30.0,53.0,9.0,57.0,47.0,62.0
4780,2.0,1.0,29.0,28.0,0.0,41.0,6.0,5.0,16.0,10.0,15.0,47.0,55.0,7.0,18.0,27.0,19.0,13.0,38.0,20.0,31.0,8.0,23.0,66.0,58.0,21.0,12.0,4.0,25.0,9.0
4829,0.0,9.0,8.0,1.0,4.0,12.0,34.0,6.0,13.0,2.0,19.0,10.0,22.0,16.0,14.0,3.0,64.0,28.0,42.0,31.0,47.0,21.0,32.0,45.0,11.0,33.0,55.0,5.0,50.0,27.0
4878,0.0,2.0,7.0,1.0,4.0,16.0,25.0,6.0,18.0,3.0,62.0,65.0,13.0,15.0,10.0,14.0,59.0,24.0,29.0,39.0,22.0,20.0,27.0,45.0,9.0,26.0,64.0,54.0,5.0,31.0
