,Bax,Caspase-7_cleavedD198,VAV1,SHP-2_pY542,p21,XBP1,PI3K-p110-alpha,4E-BP1,FRA1,14-3-3_zeta,MSH6,Cyclin_D1,Annexin 1,TSC1,beta Actin,Porin,JNK_pT183_Y185,GATA3,Cyclin_B1,p38_pT180_Y182,Lck,p70S6K_pT389,HSP70,C-Raf(MP05-739),p27_pT157,Smac,MIG-6,AMPK_pT172,CDK1,IGFBP2
3874,4.0,1.0,0.0,3.0,10.0,2.0,32.0,26.0,6.0,18.0,17.0,9.0,21.0,8.0,19.0,22.0,30.0,12.0,20.0,23.0,36.0,11.0,38.0,5.0,7.0,27.0,16.0,13.0,15.0,25.0
3923,0.0,1.0,3.0,2.0,22.0,8.0,5.0,17.0,14.0,15.0,11.0,88.0,24.0,23.0,4.0,13.0,28.0,18.0,90.0,29.0,16.0,25.0,6.0,27.0,20.0,12.0,31.0,33.0,10.0,26.0
3972,6.0,0.0,3.0,2.0,11.0,4.0,9.0,7.0,16.0,1.0,31.0,21.0,35.0,14.0,10.0,20.0,12.0,8.0,96.0,22.0,19.0,55.0,24.0,17.0,15.0,5.0,28.0,112.0,27.0,13.0
4021,0.0,1.0,8.0,2.0,10.0,3.0,15.0,4.0,5.0,16.0,9.0,38.0,109.0,23.0,7.0,18.0,6.0,17.0,91.0,20.0,19.0,11.0,25.0,102.0,12.0,14.0,31.0,24.0,26.0,27.0
4070,0.0,2.0,1.0,11.0,12.0,6.0,18.0,13.0,19.0,5.0,4.0,33.0,17.0,9.0,7.0,74.0,30.0,27.0,87.0,21.0,15.0,20.0,16.0,93.0,29.0,8.0,54.0,104.0,25.0,40.0
4119,1.0,0.0,2.0,3.0,5.0,15.0,20.0,4.0,10.0,11.0,13.0,6.0,107.0,18.0,9.0,26.0,8.0,19.0,87.0,7.0,22.0,17.0,12.0,25.0,29.0,28.0,36.0,35.0,31.0,119.0
4168,0.0,2.0,3.0,1.0,7.0,16.0,35.0,9.0,6.0,10.0,5.0,15.0,37.0,20.0,11.0,78.0,21.0,29.0,86.0,18.0,14.0,4.0,13.0,96.0,12.0,8.0,28.0,109.0,24.0,31.0
4217,0.0,1.0,3.0,6.0,7.0,5.0,24.0,21.0,9.0,14.0,45.0,13.0,19.0,29.0,4.0,18.0,16.0,12.0,85.0,17.0,22.0,2.0,20.0,94.0,11.0,10.0,33.0,8.0,34.0,112.0
4266,6.0,1.0,0.0,2.0,19.0,4.0,23.0,12.0,22.0,9.0,17.0,15.0,104.0,5.0,3.0,16.0,21.0,14.0,36.0,18.0,26.0,32.0,11.0,93.0,13.0,7.0,53.0,30.0,10.0,8.0
4315,0.0,1.0,17.0,2.0,3.0,13.0,5.0,4.0,120.0,19.0,10.0,8.0,30.0,12.0,7.0,24.0,20.0,9.0,34.0,22.0,14.0,23.0,28.0,32.0,18.0,11.0,35.0,21.0,31.0,16.0
4364,0.0,1.0,14.0,2.0,13.0,4.0,5.0,8.0,25.0,10.0,3.0,9.0,26.0,7.0,17.0,12.0,24.0,27.0,89.0,20.0,22.0,33.0,30.0,100.0,15.0,6.0,23.0,118.0,35.0,11.0
4413,6.0,0.0,22.0,9.0,3.0,5.0,1.0,4.0,8.0,24.0,57.0,36.0,11.0,38.0,102.0,72.0,2.0,16.0,27.0,7.0,17.0,82.0,21.0,23.0,13.0,32.0,15.0,89.0,93.0,111.0
4462,3.0,0.0,8.0,13.0,7.0,56.0,1.0,17.0,15.0,11.0,39.0,27.0,12.0,28.0,35.0,14.0,9.0,2.0,5.0,10.0,30.0,47.0,26.0,38.0,32.0,6.0,57.0,21.0,88.0,25.0
4511,1.0,0.0,27.0,4.0,5.0,16.0,8.0,2.0,14.0,6.0,18.0,15.0,19.0,25.0,7.0,44.0,9.0,3.0,31.0,13.0,21.0,76.0,12.0,96.0,60.0,10.0,53.0,17.0,91.0,11.0
4560,16.0,0.0,6.0,3.0,4.0,76.0,1.0,28.0,8.0,15.0,13.0,31.0,7.0,19.0,11.0,22.0,9.0,12.0,21.0,18.0,10.0,25.0,14.0,39.0,42.0,17.0,54.0,101.0,85.0,38.0
4609,2.0,3.0,9.0,7.0,6.0,42.0,0.0,21.0,20.0,13.0,58.0,8.0,30.0,25.0,4.0,74.0,24.0,1.0,40.0,10.0,12.0,38.0,17.0,93.0,34.0,26.0,14.0,32.0,88.0,33.0
4658,2.0,0.0,5.0,18.0,7.0,26.0,1.0,8.0,3.0,14.0,56.0,13.0,28.0,31.0,17.0,12.0,10.0,20.0,23.0,22.0,15.0,37.0,16.0,36.0,34.0,9.0,51.0,99.0,83.0,25.0
4707,7.0,0.0,11.0,5.0,3.0,26.0,4.0,38.0,30.0,2.0,24.0,89.0,25.0,27.0,15.0,17.0,1.0,6.0,8.0,21.0,29.0,33.0,13.0,99.0,36.0,12.0,55.0,94.0,95.0,109.0
4756,4.0,3.0,10.0,18.0,2.0,33.0,0.0,11.0,22.0,1.0,37.0,31.0,6.0,21.0,24.0,16.0,7.0,9.0,29.0,12.0,17.0,50.0,15.0,20.0,25.0,32.0,47.0,105.0,89.0,38.0
4805,5.0,0.0,3.0,7.0,10.0,53.0,1.0,17.0,12.0,2.0,33.0,31.0,20.0,18.0,26.0,13.0,19.0,14.0,8.0,4.0,11.0,76.0,36.0,86.0,25.0,15.0,47.0,23.0,105.0,81.0
4854,18.0,0.0,20.0,3.0,8.0,45.0,2.0,17.0,24.0,30.0,31.0,32.0,5.0,35.0,4.0,13.0,12.0,6.0,1.0,27.0,9.0,40.0,7.0,97.0,10.0,22.0,48.0,29.0,94.0,14.0
