,GPX3,SYTL1,PRKCH,ADORA1,FAM110C,DSG2,CORO2A,SCEL,EPB41L4A,AIF1L,KCNK1,MFAP5,RP11-390F4.3,DSP,TSTD1,ANXA3,ZYG11A,ELOVL7,RP11-47I22.1,MBOAT1,JUP,MYO1D,GPX1P1,UNC13D,FOXE1,C1orf186,RP11-215G15.5,NLRP2,PRSS16,EVPL
500,4.0,0.0,2.0,12.0,5.0,1.0,3.0,49.0,17.0,54.0,37.0,215.0,18.0,109.0,31.0,44.0,6.0,29.0,88.0,9.0,20.0,10.0,14.0,13.0,25.0,30.0,36.0,68.0,39.0,97.0
549,4.0,0.0,2.0,9.0,5.0,6.0,3.0,211.0,89.0,61.0,153.0,291.0,16.0,183.0,14.0,156.0,64.0,8.0,59.0,24.0,25.0,11.0,108.0,49.0,17.0,20.0,73.0,90.0,70.0,71.0
598,5.0,0.0,2.0,10.0,1.0,3.0,12.0,504.0,22.0,7.0,28.0,163.0,14.0,115.0,35.0,55.0,18.0,4.0,44.0,63.0,34.0,23.0,92.0,52.0,31.0,24.0,38.0,6.0,21.0,120.0
647,8.0,1.0,2.0,4.0,0.0,3.0,9.0,311.0,137.0,12.0,53.0,91.0,26.0,70.0,5.0,14.0,15.0,20.0,48.0,28.0,11.0,33.0,428.0,44.0,22.0,23.0,85.0,67.0,38.0,123.0
696,0.0,7.0,1.0,2.0,3.0,8.0,4.0,197.0,23.0,40.0,60.0,330.0,32.0,84.0,30.0,53.0,6.0,13.0,34.0,11.0,45.0,31.0,50.0,33.0,35.0,12.0,43.0,48.0,28.0,173.0
745,18.0,5.0,2.0,46.0,0.0,3.0,1.0,403.0,11.0,10.0,9.0,180.0,25.0,50.0,48.0,26.0,8.0,19.0,84.0,12.0,44.0,4.0,121.0,195.0,22.0,17.0,14.0,1316.0,82.0,72.0
794,3.0,5.0,6.0,2.0,1.0,0.0,4.0,48.0,106.0,17.0,20.0,139.0,22.0,15.0,16.0,73.0,11.0,7.0,89.0,40.0,27.0,8.0,9.0,99.0,37.0,146.0,72.0,50.0,67.0,180.0
843,5.0,0.0,1.0,10.0,2.0,4.0,7.0,71.0,107.0,28.0,43.0,264.0,9.0,34.0,20.0,30.0,3.0,25.0,27.0,12.0,45.0,6.0,118.0,13.0,37.0,11.0,29.0,110.0,35.0,73.0
892,6.0,0.0,3.0,7.0,5.0,1.0,2.0,573.0,72.0,10.0,34.0,190.0,24.0,23.0,29.0,33.0,4.0,76.0,56.0,39.0,16.0,13.0,271.0,49.0,17.0,25.0,30.0,8.0,44.0,31.0
941,3.0,0.0,2.0,17.0,5.0,1.0,4.0,178.0,26.0,19.0,20.0,81.0,16.0,42.0,12.0,10.0,6.0,11.0,57.0,13.0,35.0,23.0,186.0,21.0,25.0,24.0,32.0,34.0,70.0,184.0
990,0.0,16.0,12.0,1.0,10.0,6.0,2.0,35.0,5.0,14.0,22.0,92.0,31.0,18.0,3.0,30.0,8.0,36.0,71.0,7.0,111.0,38.0,28.0,25.0,21.0,49.0,4.0,15.0,13.0,115.0
1039,0.0,4.0,5.0,25.0,3.0,2.0,8.0,28.0,1.0,6.0,11.0,20.0,19.0,14.0,39.0,49.0,7.0,21.0,44.0,10.0,43.0,23.0,104.0,45.0,57.0,48.0,18.0,223.0,73.0,58.0
1088,0.0,1.0,4.0,6.0,19.0,3.0,7.0,26.0,9.0,11.0,25.0,35.0,31.0,23.0,5.0,12.0,2.0,42.0,30.0,8.0,95.0,61.0,13.0,18.0,88.0,24.0,15.0,110.0,40.0,55.0
1137,0.0,1.0,7.0,4.0,2.0,3.0,5.0,61.0,10.0,15.0,24.0,91.0,17.0,64.0,9.0,20.0,8.0,45.0,96.0,12.0,30.0,34.0,46.0,22.0,63.0,112.0,67.0,138.0,113.0,129.0
1186,2.0,1.0,0.0,4.0,5.0,15.0,10.0,38.0,6.0,8.0,11.0,39.0,250.0,25.0,33.0,44.0,3.0,29.0,36.0,9.0,156.0,18.0,7.0,12.0,87.0,37.0,20.0,51.0,28.0,114.0
1235,0.0,2.0,1.0,8.0,5.0,4.0,27.0,30.0,3.0,40.0,136.0,162.0,169.0,22.0,10.0,61.0,6.0,21.0,35.0,11.0,77.0,140.0,16.0,242.0,60.0,32.0,9.0,53.0,15.0,29.0
1284,1.0,0.0,3.0,6.0,8.0,7.0,10.0,36.0,9.0,11.0,12.0,63.0,39.0,23.0,5.0,20.0,2.0,21.0,85.0,18.0,15.0,83.0,53.0,26.0,81.0,45.0,14.0,32.0,49.0,121.0
1333,0.0,1.0,2.0,19.0,6.0,3.0,4.0,18.0,9.0,30.0,29.0,34.0,5.0,49.0,86.0,35.0,13.0,65.0,63.0,53.0,61.0,26.0,12.0,25.0,82.0,38.0,16.0,341.0,54.0,21.0
1382,0.0,1.0,2.0,13.0,8.0,6.0,4.0,10.0,35.0,39.0,113.0,20.0,12.0,27.0,5.0,9.0,22.0,38.0,61.0,26.0,19.0,77.0,3.0,34.0,30.0,46.0,172.0,11.0,45.0,52.0
1431,1.0,0.0,3.0,19.0,4.0,2.0,11.0,16.0,6.0,12.0,38.0,46.0,43.0,23.0,5.0,7.0,9.0,37.0,30.0,41.0,17.0,103.0,15.0,8.0,40.0,60.0,13.0,69.0,42.0,93.0
1480,1.0,2.0,4.0,0.0,11.0,24.0,582.0,8.0,121.0,19.0,15.0,13.0,10.0,29.0,17.0,3.0,38.0,33.0,26.0,57.0,16.0,118.0,76.0,45.0,39.0,95.0,56.0,6.0,52.0,9.0
1529,0.0,1.0,2.0,7.0,6.0,5.0,37.0,22.0,32.0,11.0,24.0,8.0,3.0,17.0,62.0,4.0,120.0,10.0,20.0,41.0,44.0,29.0,14.0,113.0,18.0,82.0,13.0,15.0,117.0,31.0
1578,3.0,1.0,4.0,6.0,2.0,7.0,15.0,20.0,118.0,8.0,37.0,9.0,113.0,5.0,115.0,10.0,27.0,44.0,24.0,47.0,16.0,101.0,0.0,40.0,23.0,133.0,192.0,12.0,224.0,11.0
1627,0.0,2.0,3.0,1.0,6.0,8.0,22.0,13.0,52.0,5.0,21.0,4.0,25.0,35.0,27.0,11.0,206.0,12.0,40.0,14.0,10.0,75.0,7.0,107.0,109.0,64.0,73.0,60.0,152.0,17.0
1676,0.0,3.0,4.0,1.0,2.0,8.0,10.0,9.0,57.0,63.0,34.0,14.0,15.0,11.0,40.0,6.0,87.0,16.0,17.0,28.0,12.0,168.0,5.0,33.0,72.0,77.0,37.0,43.0,18.0,39.0
1725,0.0,1.0,3.0,8.0,6.0,7.0,12.0,22.0,20.0,143.0,218.0,21.0,5.0,32.0,125.0,19.0,432.0,45.0,18.0,109.0,13.0,35.0,2.0,30.0,59.0,23.0,167.0,69.0,64.0,9.0
1774,0.0,2.0,4.0,1.0,3.0,8.0,9.0,14.0,32.0,6.0,27.0,10.0,7.0,16.0,66.0,5.0,55.0,13.0,15.0,30.0,12.0,51.0,11.0,50.0,23.0,190.0,18.0,93.0,76.0,22.0
1823,1.0,0.0,9.0,3.0,6.0,5.0,11.0,7.0,26.0,16.0,12.0,14.0,13.0,29.0,33.0,4.0,66.0,22.0,53.0,27.0,54.0,63.0,2.0,49.0,122.0,140.0,39.0,61.0,25.0,18.0
1872,0.0,1.0,5.0,4.0,6.0,2.0,12.0,15.0,86.0,17.0,49.0,7.0,37.0,16.0,20.0,3.0,28.0,23.0,27.0,97.0,9.0,127.0,19.0,43.0,22.0,88.0,33.0,47.0,294.0,53.0
1921,4.0,1.0,7.0,6.0,0.0,3.0,29.0,22.0,9.0,5.0,32.0,49.0,15.0,34.0,30.0,2.0,99.0,21.0,177.0,24.0,46.0,17.0,27.0,140.0,25.0,28.0,12.0,56.0,80.0,54.0
1970,0.0,12.0,1.0,5.0,2.0,65.0,29.0,3.0,17.0,6.0,23.0,20.0,144.0,14.0,179.0,8.0,4.0,18.0,9.0,48.0,59.0,13.0,89.0,40.0,43.0,21.0,34.0,7.0,85.0,221.0
2019,2.0,3.0,1.0,4.0,6.0,33.0,24.0,0.0,8.0,5.0,47.0,7.0,147.0,10.0,45.0,28.0,19.0,30.0,18.0,22.0,39.0,11.0,13.0,14.0,23.0,20.0,113.0,134.0,64.0,154.0
2068,1.0,2.0,0.0,8.0,5.0,44.0,24.0,4.0,17.0,6.0,48.0,7.0,333.0,14.0,253.0,73.0,16.0,103.0,12.0,46.0,122.0,11.0,45.0,78.0,19.0,18.0,96.0,3.0,271.0,158.0
2117,0.0,30.0,7.0,1.0,6.0,3.0,31.0,17.0,36.0,5.0,23.0,18.0,106.0,2.0,146.0,71.0,96.0,50.0,142.0,29.0,57.0,9.0,251.0,34.0,25.0,137.0,93.0,457.0,80.0,102.0
2166,10.0,0.0,1.0,5.0,6.0,53.0,43.0,7.0,12.0,3.0,13.0,2.0,345.0,9.0,86.0,36.0,18.0,24.0,21.0,34.0,168.0,25.0,20.0,17.0,4.0,22.0,69.0,32.0,59.0,60.0
2215,3.0,8.0,0.0,6.0,5.0,52.0,39.0,4.0,16.0,7.0,10.0,22.0,547.0,11.0,169.0,20.0,1.0,54.0,12.0,36.0,41.0,24.0,159.0,30.0,26.0,57.0,53.0,62.0,86.0,31.0
2264,0.0,12.0,1.0,3.0,4.0,19.0,31.0,6.0,7.0,2.0,21.0,8.0,576.0,9.0,104.0,18.0,5.0,20.0,13.0,26.0,68.0,14.0,11.0,170.0,15.0,41.0,100.0,73.0,40.0,91.0
2313,0.0,10.0,2.0,8.0,4.0,31.0,6.0,1.0,26.0,3.0,15.0,16.0,80.0,7.0,91.0,23.0,20.0,29.0,11.0,17.0,195.0,5.0,58.0,13.0,49.0,43.0,50.0,151.0,64.0,109.0
2362,1.0,7.0,3.0,37.0,21.0,45.0,2.0,0.0,25.0,82.0,60.0,5.0,142.0,6.0,121.0,43.0,10.0,83.0,23.0,29.0,14.0,13.0,40.0,4.0,18.0,47.0,161.0,26.0,141.0,22.0
2411,8.0,48.0,2.0,4.0,0.0,63.0,1.0,7.0,3.0,9.0,15.0,13.0,215.0,12.0,29.0,31.0,18.0,17.0,24.0,34.0,76.0,11.0,5.0,41.0,22.0,32.0,35.0,561.0,57.0,214.0
2460,13.0,0.0,1.0,5.0,6.0,40.0,34.0,2.0,9.0,35.0,8.0,4.0,3.0,48.0,7.0,57.0,32.0,14.0,16.0,26.0,22.0,44.0,10.0,58.0,107.0,43.0,270.0,11.0,77.0,60.0
2509,11.0,1.0,0.0,17.0,5.0,52.0,3.0,8.0,28.0,13.0,6.0,10.0,248.0,40.0,2.0,45.0,32.0,24.0,18.0,9.0,38.0,19.0,4.0,14.0,27.0,55.0,218.0,15.0,56.0,300.0
2558,4.0,0.0,7.0,33.0,26.0,20.0,3.0,2.0,13.0,265.0,12.0,5.0,16.0,18.0,41.0,28.0,114.0,111.0,43.0,30.0,21.0,35.0,6.0,1.0,158.0,208.0,136.0,52.0,39.0,11.0
2607,3.0,0.0,13.0,9.0,15.0,23.0,4.0,7.0,6.0,76.0,5.0,8.0,2.0,85.0,10.0,32.0,286.0,41.0,118.0,98.0,80.0,44.0,1.0,14.0,64.0,31.0,91.0,18.0,25.0,70.0
2656,2.0,0.0,4.0,19.0,13.0,195.0,9.0,1.0,16.0,45.0,6.0,5.0,7.0,82.0,8.0,42.0,57.0,44.0,18.0,81.0,36.0,33.0,3.0,10.0,245.0,83.0,462.0,96.0,53.0,14.0
2705,0.0,3.0,1.0,70.0,7.0,29.0,8.0,4.0,17.0,109.0,6.0,5.0,2.0,15.0,13.0,9.0,72.0,36.0,12.0,28.0,42.0,111.0,65.0,35.0,30.0,44.0,699.0,362.0,52.0,60.0
2754,2.0,1.0,3.0,9.0,13.0,20.0,7.0,0.0,5.0,36.0,28.0,6.0,14.0,89.0,17.0,104.0,50.0,11.0,27.0,15.0,40.0,25.0,4.0,10.0,72.0,54.0,34.0,162.0,8.0,60.0
2803,3.0,0.0,2.0,6.0,9.0,34.0,8.0,1.0,33.0,55.0,10.0,5.0,4.0,48.0,12.0,15.0,1315.0,30.0,11.0,59.0,17.0,112.0,14.0,7.0,69.0,279.0,214.0,28.0,89.0,364.0
2852,5.0,0.0,2.0,80.0,33.0,18.0,8.0,3.0,15.0,20.0,7.0,4.0,1.0,29.0,6.0,135.0,177.0,104.0,10.0,66.0,12.0,24.0,9.0,38.0,42.0,91.0,1039.0,115.0,116.0,62.0
2901,3.0,0.0,1.0,9.0,25.0,15.0,8.0,2.0,31.0,30.0,17.0,4.0,14.0,12.0,13.0,73.0,26.0,50.0,19.0,32.0,54.0,60.0,5.0,16.0,37.0,103.0,316.0,6.0,36.0,18.0
2950,0.0,6.0,2.0,1.0,3.0,11.0,37.0,15.0,61.0,4.0,9.0,24.0,7.0,23.0,5.0,13.0,88.0,29.0,49.0,32.0,12.0,69.0,20.0,210.0,166.0,22.0,140.0,46.0,42.0,8.0
2999,1.0,0.0,5.0,32.0,7.0,9.0,10.0,159.0,67.0,6.0,4.0,36.0,3.0,29.0,69.0,38.0,342.0,16.0,268.0,28.0,14.0,8.0,227.0,56.0,162.0,42.0,157.0,27.0,43.0,63.0
3048,0.0,3.0,2.0,1.0,5.0,9.0,183.0,39.0,22.0,4.0,6.0,29.0,19.0,102.0,8.0,31.0,106.0,36.0,30.0,23.0,13.0,44.0,7.0,159.0,12.0,35.0,47.0,10.0,93.0,201.0
3097,0.0,2.0,5.0,6.0,14.0,9.0,72.0,88.0,16.0,3.0,23.0,110.0,1.0,22.0,129.0,82.0,111.0,19.0,29.0,47.0,33.0,27.0,304.0,310.0,148.0,28.0,49.0,109.0,176.0,51.0
3146,0.0,1.0,15.0,2.0,3.0,8.0,13.0,20.0,12.0,11.0,18.0,33.0,9.0,41.0,6.0,16.0,40.0,26.0,55.0,7.0,48.0,24.0,38.0,123.0,257.0,65.0,32.0,108.0,17.0,35.0
3195,1.0,0.0,3.0,6.0,12.0,2.0,392.0,34.0,77.0,7.0,15.0,5.0,16.0,46.0,55.0,19.0,54.0,14.0,31.0,67.0,20.0,51.0,278.0,367.0,73.0,10.0,45.0,4.0,18.0,17.0
3244,0.0,1.0,12.0,2.0,24.0,6.0,115.0,44.0,38.0,11.0,20.0,8.0,3.0,18.0,58.0,13.0,57.0,124.0,87.0,54.0,17.0,36.0,74.0,90.0,72.0,9.0,41.0,23.0,103.0,31.0
3293,4.0,1.0,3.0,0.0,5.0,11.0,72.0,20.0,25.0,2.0,7.0,8.0,10.0,6.0,28.0,26.0,147.0,19.0,24.0,96.0,89.0,14.0,119.0,262.0,9.0,38.0,118.0,17.0,228.0,18.0
3342,0.0,3.0,2.0,1.0,5.0,10.0,23.0,58.0,8.0,7.0,6.0,27.0,4.0,15.0,88.0,52.0,39.0,32.0,34.0,46.0,14.0,35.0,489.0,98.0,42.0,38.0,22.0,11.0,43.0,9.0
3391,1.0,2.0,19.0,0.0,14.0,33.0,7.0,21.0,87.0,4.0,11.0,6.0,5.0,39.0,51.0,18.0,66.0,64.0,89.0,46.0,9.0,88.0,40.0,104.0,36.0,96.0,100.0,10.0,37.0,116.0
3440,4.0,0.0,9.0,44.0,10.0,40.0,19.0,1.0,6.0,33.0,41.0,37.0,89.0,13.0,28.0,39.0,34.0,18.0,54.0,16.0,98.0,8.0,560.0,115.0,35.0,63.0,5.0,119.0,45.0,17.0
3489,1.0,0.0,3.0,2.0,33.0,7.0,26.0,4.0,85.0,43.0,74.0,34.0,24.0,9.0,8.0,40.0,6.0,15.0,57.0,10.0,52.0,14.0,232.0,55.0,12.0,27.0,42.0,87.0,16.0,47.0
3538,2.0,0.0,1.0,3.0,6.0,10.0,73.0,11.0,72.0,58.0,8.0,38.0,7.0,28.0,4.0,13.0,45.0,85.0,19.0,23.0,52.0,14.0,164.0,26.0,82.0,54.0,132.0,9.0,27.0,75.0
3587,1.0,0.0,3.0,2.0,4.0,6.0,78.0,5.0,48.0,23.0,35.0,11.0,30.0,51.0,7.0,13.0,8.0,9.0,16.0,22.0,59.0,14.0,97.0,31.0,115.0,54.0,10.0,32.0,38.0,55.0
3636,6.0,0.0,7.0,1.0,4.0,3.0,13.0,9.0,5.0,28.0,12.0,22.0,24.0,16.0,19.0,8.0,18.0,17.0,39.0,15.0,133.0,33.0,80.0,10.0,11.0,122.0,32.0,29.0,51.0,206.0
3685,0.0,1.0,14.0,2.0,4.0,5.0,6.0,3.0,26.0,36.0,57.0,19.0,68.0,16.0,9.0,28.0,18.0,37.0,63.0,13.0,65.0,11.0,96.0,54.0,207.0,39.0,25.0,12.0,24.0,22.0
3734,7.0,0.0,4.0,3.0,1.0,10.0,22.0,41.0,8.0,58.0,19.0,80.0,5.0,49.0,11.0,13.0,75.0,52.0,129.0,44.0,71.0,2.0,67.0,26.0,81.0,29.0,47.0,547.0,70.0,57.0
3783,1.0,6.0,21.0,0.0,4.0,14.0,42.0,13.0,78.0,152.0,37.0,7.0,144.0,9.0,3.0,24.0,5.0,12.0,81.0,34.0,83.0,19.0,58.0,38.0,86.0,115.0,303.0,2.0,11.0,23.0
3832,4.0,1.0,0.0,5.0,6.0,3.0,10.0,14.0,131.0,52.0,32.0,29.0,45.0,7.0,13.0,27.0,28.0,34.0,18.0,12.0,41.0,11.0,1147.0,161.0,59.0,64.0,153.0,266.0,26.0,49.0
3881,1.0,0.0,3.0,6.0,4.0,2.0,25.0,20.0,98.0,41.0,30.0,31.0,26.0,23.0,13.0,56.0,19.0,78.0,35.0,33.0,38.0,11.0,57.0,145.0,12.0,54.0,10.0,8.0,18.0,105.0
3930,0.0,1.0,6.0,2.0,20.0,151.0,294.0,4.0,19.0,10.0,29.0,7.0,5.0,50.0,104.0,35.0,9.0,52.0,24.0,135.0,8.0,312.0,23.0,56.0,97.0,14.0,61.0,114.0,21.0,67.0
3979,0.0,3.0,6.0,1.0,2.0,281.0,64.0,5.0,11.0,7.0,57.0,10.0,371.0,20.0,76.0,40.0,17.0,50.0,21.0,113.0,8.0,321.0,4.0,22.0,133.0,71.0,62.0,137.0,69.0,153.0
4028,0.0,2.0,13.0,1.0,10.0,70.0,73.0,14.0,12.0,46.0,17.0,7.0,8.0,38.0,24.0,54.0,18.0,76.0,42.0,91.0,28.0,258.0,26.0,44.0,51.0,81.0,57.0,147.0,43.0,29.0
4077,0.0,3.0,2.0,5.0,28.0,58.0,62.0,16.0,69.0,141.0,54.0,10.0,4.0,36.0,121.0,98.0,25.0,46.0,12.0,23.0,8.0,123.0,26.0,9.0,45.0,13.0,116.0,434.0,65.0,21.0
4126,0.0,2.0,6.0,1.0,35.0,212.0,101.0,18.0,12.0,14.0,9.0,10.0,213.0,55.0,62.0,47.0,8.0,20.0,28.0,42.0,32.0,442.0,4.0,23.0,57.0,16.0,230.0,26.0,88.0,102.0
4175,0.0,1.0,2.0,3.0,8.0,53.0,162.0,5.0,6.0,34.0,31.0,11.0,38.0,35.0,183.0,66.0,4.0,26.0,15.0,83.0,9.0,127.0,25.0,64.0,43.0,13.0,23.0,51.0,96.0,47.0
4224,0.0,1.0,8.0,2.0,51.0,24.0,178.0,12.0,72.0,19.0,52.0,10.0,4.0,91.0,35.0,56.0,212.0,39.0,37.0,171.0,6.0,469.0,3.0,31.0,88.0,15.0,225.0,14.0,34.0,96.0
4273,0.0,2.0,141.0,1.0,10.0,80.0,23.0,48.0,8.0,33.0,9.0,24.0,3.0,36.0,17.0,53.0,122.0,19.0,378.0,205.0,13.0,105.0,7.0,15.0,75.0,28.0,61.0,98.0,67.0,194.0
4322,0.0,1.0,4.0,2.0,19.0,340.0,115.0,3.0,11.0,22.0,12.0,10.0,25.0,172.0,65.0,267.0,21.0,56.0,41.0,108.0,15.0,369.0,13.0,24.0,40.0,7.0,6.0,174.0,75.0,27.0
4371,2.0,0.0,3.0,10.0,4.0,136.0,28.0,18.0,9.0,13.0,16.0,273.0,37.0,107.0,6.0,83.0,23.0,27.0,30.0,33.0,5.0,72.0,65.0,15.0,38.0,26.0,45.0,68.0,55.0,98.0
4420,0.0,3.0,4.0,5.0,1.0,43.0,8.0,2.0,15.0,126.0,10.0,17.0,6.0,51.0,7.0,42.0,2375.0,127.0,22.0,307.0,23.0,26.0,12.0,48.0,82.0,41.0,138.0,19.0,163.0,11.0
4469,0.0,5.0,2.0,3.0,1.0,6.0,7.0,9.0,28.0,10.0,12.0,44.0,34.0,18.0,93.0,43.0,298.0,146.0,17.0,352.0,15.0,105.0,25.0,123.0,37.0,21.0,19.0,402.0,33.0,32.0
4518,0.0,18.0,30.0,2.0,8.0,27.0,1.0,13.0,25.0,156.0,3.0,23.0,36.0,6.0,88.0,19.0,117.0,149.0,59.0,38.0,15.0,221.0,337.0,45.0,104.0,55.0,39.0,72.0,4.0,35.0
4567,3.0,0.0,1.0,8.0,4.0,55.0,2.0,6.0,43.0,81.0,10.0,25.0,61.0,9.0,7.0,63.0,45.0,212.0,16.0,76.0,38.0,57.0,44.0,29.0,21.0,11.0,98.0,12.0,52.0,14.0
4616,2.0,1.0,4.0,6.0,10.0,21.0,3.0,34.0,9.0,92.0,13.0,139.0,385.0,7.0,80.0,544.0,5.0,142.0,65.0,19.0,18.0,162.0,0.0,291.0,304.0,33.0,20.0,27.0,37.0,38.0
4665,0.0,4.0,11.0,1.0,7.0,29.0,2.0,3.0,5.0,104.0,6.0,34.0,15.0,31.0,12.0,35.0,38.0,134.0,30.0,190.0,18.0,470.0,10.0,70.0,37.0,19.0,101.0,133.0,48.0,21.0
4714,0.0,5.0,13.0,20.0,3.0,18.0,2.0,1.0,6.0,148.0,8.0,35.0,42.0,23.0,14.0,21.0,86.0,76.0,34.0,33.0,26.0,108.0,24.0,15.0,61.0,52.0,11.0,211.0,4.0,77.0
4763,0.0,6.0,5.0,8.0,2.0,21.0,3.0,24.0,12.0,35.0,7.0,53.0,59.0,38.0,20.0,81.0,136.0,128.0,33.0,347.0,27.0,130.0,1.0,102.0,124.0,76.0,181.0,13.0,17.0,23.0
4812,0.0,1.0,28.0,11.0,2.0,4.0,3.0,19.0,15.0,67.0,5.0,109.0,20.0,12.0,21.0,14.0,252.0,150.0,140.0,159.0,125.0,113.0,44.0,148.0,47.0,18.0,8.0,162.0,38.0,30.0
4861,2.0,0.0,8.0,1.0,6.0,10.0,20.0,12.0,4.0,25.0,7.0,52.0,26.0,16.0,39.0,109.0,246.0,40.0,54.0,305.0,30.0,72.0,53.0,85.0,87.0,29.0,3.0,5.0,33.0,19.0
