,1-methylnicotinamide,alpha-glycerophosphate,C20:4 CE,homocysteine,C22:6 CE,GABA,leucine,guanosine,C18:0 LPC,UMP,C22:6 LPE,C16:0 LPE,alpha-hydroxybutyrate,niacinamide,C34:4 PC,hippurate,palmitoylcarnitine,oxalate,uridine,pantothenate,serine,C56:3 TAG,phosphocreatine,2-deoxycytidine,pyroglutamic acid,5-HIAA,C34:2 DAG,inositol,creatinine,hypoxanthine
3059,0.0,1.0,5.0,9.0,14.0,4.0,10.0,58.0,2.0,6.0,3.0,7.0,24.0,11.0,8.0,51.0,12.0,20.0,15.0,16.0,31.0,32.0,66.0,23.0,18.0,13.0,30.0,60.0,62.0,33.0
3108,2.0,0.0,3.0,9.0,28.0,12.0,7.0,5.0,4.0,8.0,1.0,15.0,13.0,14.0,10.0,26.0,17.0,41.0,37.0,20.0,24.0,50.0,52.0,47.0,6.0,29.0,38.0,18.0,16.0,19.0
3157,0.0,3.0,7.0,4.0,12.0,6.0,9.0,16.0,2.0,1.0,14.0,11.0,15.0,5.0,20.0,22.0,8.0,47.0,13.0,45.0,18.0,23.0,27.0,21.0,28.0,10.0,19.0,39.0,33.0,34.0
3206,3.0,0.0,1.0,5.0,9.0,12.0,8.0,14.0,2.0,7.0,15.0,10.0,16.0,6.0,4.0,11.0,13.0,35.0,17.0,20.0,22.0,25.0,56.0,38.0,24.0,29.0,39.0,31.0,18.0,33.0
3255,0.0,1.0,3.0,4.0,10.0,6.0,13.0,8.0,2.0,9.0,5.0,7.0,11.0,14.0,22.0,12.0,24.0,18.0,50.0,43.0,46.0,49.0,32.0,39.0,15.0,41.0,37.0,19.0,28.0,57.0
3304,0.0,3.0,1.0,2.0,7.0,12.0,17.0,16.0,9.0,5.0,4.0,6.0,8.0,15.0,11.0,32.0,25.0,45.0,10.0,21.0,41.0,20.0,34.0,22.0,44.0,59.0,33.0,27.0,61.0,26.0
3353,0.0,2.0,9.0,4.0,6.0,13.0,10.0,12.0,3.0,1.0,11.0,5.0,8.0,7.0,14.0,19.0,27.0,30.0,39.0,21.0,26.0,28.0,15.0,41.0,29.0,16.0,17.0,24.0,31.0,57.0
3402,0.0,9.0,7.0,3.0,8.0,1.0,2.0,14.0,5.0,15.0,11.0,6.0,4.0,19.0,24.0,52.0,22.0,27.0,23.0,30.0,17.0,36.0,46.0,43.0,28.0,44.0,58.0,20.0,12.0,16.0
3451,0.0,7.0,1.0,8.0,2.0,4.0,3.0,5.0,15.0,17.0,58.0,12.0,11.0,30.0,13.0,18.0,14.0,6.0,21.0,40.0,45.0,28.0,19.0,27.0,9.0,26.0,23.0,47.0,32.0,22.0
3500,0.0,2.0,1.0,8.0,6.0,5.0,10.0,9.0,28.0,7.0,3.0,14.0,24.0,12.0,31.0,42.0,21.0,4.0,15.0,36.0,29.0,46.0,26.0,37.0,34.0,13.0,33.0,35.0,18.0,32.0
3549,0.0,4.0,2.0,9.0,1.0,11.0,5.0,3.0,14.0,7.0,18.0,6.0,16.0,38.0,62.0,39.0,10.0,17.0,61.0,19.0,43.0,41.0,24.0,48.0,25.0,26.0,15.0,21.0,13.0,22.0
3598,0.0,3.0,1.0,5.0,2.0,6.0,7.0,27.0,32.0,12.0,14.0,9.0,4.0,24.0,22.0,19.0,34.0,13.0,11.0,29.0,45.0,44.0,38.0,10.0,8.0,30.0,23.0,33.0,26.0,46.0
3647,0.0,5.0,3.0,1.0,6.0,2.0,4.0,9.0,7.0,8.0,19.0,10.0,25.0,21.0,13.0,54.0,12.0,18.0,14.0,56.0,17.0,31.0,28.0,32.0,16.0,40.0,35.0,57.0,22.0,59.0
3696,0.0,2.0,5.0,14.0,3.0,8.0,6.0,4.0,21.0,10.0,13.0,11.0,12.0,34.0,39.0,33.0,35.0,1.0,22.0,20.0,9.0,42.0,43.0,45.0,56.0,31.0,27.0,49.0,18.0,55.0
3745,0.0,2.0,1.0,16.0,8.0,6.0,3.0,23.0,33.0,4.0,18.0,19.0,14.0,24.0,40.0,17.0,9.0,7.0,28.0,27.0,26.0,39.0,29.0,49.0,5.0,51.0,21.0,12.0,13.0,22.0
3794,0.0,5.0,2.0,8.0,6.0,42.0,1.0,7.0,24.0,4.0,21.0,30.0,3.0,20.0,38.0,12.0,13.0,18.0,9.0,50.0,15.0,49.0,17.0,35.0,29.0,36.0,16.0,40.0,19.0,28.0
