,hsa-miR-367,hsa-miR-10a,hsa-miR-196b,hsa-miR-769-3p,hsa-miR-766,hsa-miR-937,hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p,hsa-miR-126,hsa-miR-153,kshv-miR-K12-6-5p,hsa-miR-22,hsa-miR-520g,hsa-miR-744,hsa-miR-148a,hsa-miR-759,hsa-let-7a,hsa-miR-424,hsa-miR-369-5p,hsa-miR-671-3p,hsa-miR-671-5p,hsa-miR-299-5p,ebv-miR-BART18-3p,kshv-miR-K12-10a+kshv-miR-K12-10b,hsa-miR-323-3p,hsa-miR-329,hsa-miR-220b,hsa-miR-147,hsa-miR-645,hsa-miR-1180,hsa-miR-133b
1195,0.0,9.0,5.0,68.0,17.0,23.0,28.0,65.0,383.0,29.0,56.0,81.0,365.0,117.0,80.0,54.0,87.0,30.0,88.0,25.0,160.0,263.0,286.0,38.0,570.0,79.0,389.0,19.0,49.0,432.0
1244,13.0,10.0,405.0,19.0,12.0,50.0,2.0,113.0,40.0,266.0,82.0,98.0,351.0,69.0,70.0,147.0,89.0,45.0,66.0,86.0,579.0,142.0,99.0,145.0,85.0,580.0,5.0,0.0,451.0,380.0
1293,601.0,10.0,15.0,349.0,38.0,36.0,538.0,84.0,370.0,134.0,17.0,20.0,355.0,110.0,104.0,239.0,113.0,600.0,46.0,57.0,73.0,112.0,93.0,161.0,618.0,25.0,8.0,56.0,52.0,388.0
1342,11.0,5.0,10.0,277.0,19.0,115.0,65.0,113.0,372.0,215.0,47.0,109.0,94.0,107.0,75.0,366.0,98.0,130.0,67.0,69.0,578.0,197.0,116.0,55.0,625.0,53.0,376.0,0.0,23.0,64.0
1391,11.0,7.0,2.0,343.0,20.0,73.0,44.0,111.0,27.0,110.0,76.0,85.0,350.0,132.0,98.0,368.0,80.0,28.0,102.0,105.0,156.0,92.0,99.0,106.0,155.0,82.0,382.0,3.0,454.0,393.0
1440,1.0,4.0,7.0,338.0,23.0,71.0,38.0,66.0,204.0,34.0,87.0,116.0,48.0,69.0,62.0,123.0,107.0,589.0,125.0,353.0,32.0,27.0,86.0,53.0,130.0,409.0,479.0,115.0,126.0,413.0
1489,9.0,4.0,24.0,33.0,79.0,92.0,30.0,82.0,449.0,23.0,77.0,43.0,48.0,64.0,100.0,49.0,56.0,78.0,8.0,94.0,42.0,367.0,321.0,85.0,89.0,505.0,428.0,113.0,57.0,612.0
1538,1.0,3.0,89.0,56.0,108.0,12.0,28.0,138.0,8.0,21.0,84.0,133.0,61.0,62.0,83.0,368.0,77.0,52.0,74.0,19.0,155.0,30.0,222.0,150.0,126.0,58.0,50.0,352.0,45.0,158.0
1587,605.0,1.0,415.0,137.0,70.0,40.0,538.0,132.0,376.0,12.0,9.0,536.0,262.0,93.0,77.0,363.0,81.0,35.0,4.0,100.0,571.0,48.0,227.0,86.0,49.0,587.0,8.0,30.0,452.0,412.0
1636,27.0,5.0,413.0,120.0,58.0,4.0,22.0,131.0,369.0,41.0,38.0,533.0,119.0,69.0,46.0,225.0,147.0,87.0,2.0,44.0,571.0,30.0,268.0,55.0,35.0,88.0,15.0,45.0,60.0,66.0
1685,4.0,0.0,415.0,51.0,73.0,28.0,12.0,94.0,7.0,43.0,586.0,66.0,89.0,125.0,57.0,365.0,54.0,79.0,16.0,363.0,107.0,42.0,65.0,145.0,44.0,70.0,41.0,55.0,93.0,86.0
1734,7.0,0.0,53.0,29.0,45.0,25.0,535.0,48.0,366.0,18.0,79.0,84.0,266.0,92.0,69.0,93.0,86.0,50.0,19.0,330.0,571.0,80.0,233.0,66.0,55.0,583.0,30.0,332.0,81.0,97.0
1783,6.0,3.0,33.0,63.0,47.0,9.0,30.0,68.0,365.0,20.0,74.0,48.0,253.0,90.0,15.0,56.0,42.0,53.0,23.0,258.0,568.0,40.0,87.0,148.0,55.0,583.0,371.0,71.0,22.0,134.0
1832,1.0,3.0,419.0,54.0,63.0,36.0,46.0,82.0,9.0,21.0,26.0,86.0,41.0,34.0,71.0,366.0,73.0,80.0,13.0,48.0,109.0,32.0,279.0,151.0,87.0,76.0,384.0,49.0,112.0,131.0
1881,0.0,4.0,415.0,14.0,51.0,31.0,22.0,70.0,82.0,28.0,38.0,58.0,299.0,27.0,81.0,61.0,111.0,56.0,13.0,104.0,86.0,108.0,52.0,65.0,48.0,587.0,381.0,314.0,454.0,3.0
1930,0.0,3.0,413.0,7.0,57.0,40.0,30.0,78.0,372.0,33.0,63.0,88.0,48.0,84.0,45.0,70.0,100.0,94.0,15.0,105.0,86.0,37.0,67.0,135.0,41.0,32.0,378.0,368.0,47.0,389.0
1979,14.0,5.0,24.0,1.0,32.0,42.0,7.0,38.0,6.0,60.0,29.0,16.0,315.0,99.0,341.0,56.0,119.0,621.0,318.0,317.0,84.0,268.0,94.0,66.0,97.0,88.0,45.0,337.0,67.0,471.0
2028,2.0,7.0,17.0,61.0,48.0,44.0,539.0,77.0,19.0,63.0,500.0,36.0,362.0,78.0,360.0,51.0,33.0,158.0,131.0,336.0,135.0,258.0,282.0,117.0,133.0,594.0,65.0,28.0,136.0,107.0
2077,7.0,8.0,0.0,340.0,39.0,40.0,28.0,52.0,42.0,25.0,123.0,44.0,349.0,75.0,347.0,130.0,144.0,147.0,242.0,35.0,37.0,289.0,92.0,51.0,432.0,107.0,29.0,34.0,86.0,12.0
2126,2.0,5.0,9.0,30.0,47.0,43.0,3.0,82.0,376.0,11.0,79.0,53.0,350.0,91.0,62.0,86.0,77.0,52.0,155.0,236.0,108.0,102.0,92.0,94.0,624.0,588.0,89.0,13.0,36.0,391.0
2175,20.0,4.0,6.0,0.0,55.0,37.0,12.0,36.0,504.0,49.0,433.0,54.0,58.0,70.0,324.0,28.0,157.0,164.0,151.0,329.0,173.0,278.0,129.0,99.0,133.0,145.0,103.0,345.0,69.0,90.0
2224,0.0,8.0,13.0,281.0,41.0,123.0,539.0,52.0,3.0,18.0,93.0,28.0,270.0,114.0,279.0,365.0,153.0,75.0,278.0,277.0,119.0,272.0,69.0,117.0,10.0,85.0,92.0,19.0,455.0,392.0
2273,5.0,3.0,113.0,372.0,76.0,31.0,565.0,68.0,478.0,25.0,32.0,44.0,316.0,62.0,95.0,49.0,602.0,141.0,322.0,250.0,504.0,269.0,115.0,140.0,576.0,421.0,104.0,121.0,63.0,149.0
2322,13.0,4.0,10.0,344.0,41.0,40.0,1.0,45.0,35.0,57.0,61.0,89.0,348.0,81.0,60.0,225.0,82.0,72.0,120.0,354.0,571.0,240.0,66.0,121.0,619.0,113.0,83.0,306.0,26.0,388.0
2371,4.0,2.0,3.0,277.0,55.0,77.0,564.0,70.0,15.0,88.0,140.0,108.0,319.0,58.0,287.0,630.0,143.0,160.0,5.0,352.0,83.0,258.0,257.0,157.0,573.0,71.0,123.0,26.0,241.0,490.0
2420,7.0,4.0,421.0,365.0,49.0,46.0,10.0,41.0,5.0,39.0,105.0,101.0,345.0,108.0,343.0,68.0,85.0,127.0,352.0,351.0,34.0,283.0,56.0,107.0,103.0,151.0,117.0,30.0,81.0,84.0
2469,0.0,2.0,7.0,4.0,114.0,14.0,3.0,26.0,371.0,48.0,52.0,532.0,77.0,57.0,54.0,236.0,123.0,50.0,31.0,24.0,84.0,136.0,278.0,71.0,112.0,73.0,377.0,104.0,47.0,389.0
2518,584.0,113.0,498.0,332.0,22.0,367.0,565.0,11.0,465.0,297.0,57.0,1.0,340.0,59.0,75.0,2.0,73.0,135.0,346.0,27.0,45.0,288.0,55.0,60.0,9.0,87.0,472.0,80.0,360.0,29.0
2567,5.0,1.0,6.0,2.0,43.0,89.0,18.0,41.0,436.0,25.0,112.0,7.0,69.0,73.0,281.0,37.0,116.0,48.0,13.0,44.0,78.0,264.0,90.0,105.0,575.0,107.0,113.0,74.0,95.0,480.0
2616,571.0,8.0,4.0,137.0,83.0,69.0,6.0,61.0,493.0,293.0,48.0,88.0,327.0,36.0,70.0,59.0,94.0,16.0,347.0,334.0,60.0,114.0,65.0,126.0,52.0,82.0,500.0,192.0,78.0,452.0
2665,11.0,7.0,0.0,10.0,35.0,26.0,13.0,29.0,504.0,59.0,101.0,28.0,333.0,40.0,86.0,67.0,147.0,142.0,338.0,58.0,47.0,116.0,302.0,69.0,133.0,53.0,450.0,197.0,365.0,465.0
2714,2.0,6.0,3.0,267.0,64.0,18.0,545.0,39.0,378.0,174.0,107.0,48.0,25.0,67.0,60.0,41.0,104.0,139.0,344.0,13.0,21.0,73.0,106.0,79.0,111.0,591.0,46.0,51.0,453.0,94.0
2763,18.0,5.0,499.0,14.0,45.0,91.0,26.0,39.0,461.0,70.0,36.0,28.0,80.0,67.0,52.0,47.0,121.0,75.0,37.0,33.0,69.0,293.0,309.0,101.0,421.0,84.0,12.0,134.0,348.0,490.0
2812,10.0,3.0,1.0,154.0,60.0,15.0,13.0,34.0,472.0,72.0,78.0,24.0,54.0,106.0,108.0,80.0,74.0,135.0,338.0,35.0,51.0,39.0,302.0,139.0,121.0,410.0,97.0,182.0,30.0,113.0
2861,5.0,2.0,10.0,34.0,70.0,14.0,15.0,23.0,147.0,47.0,20.0,41.0,50.0,79.0,86.0,74.0,118.0,40.0,345.0,37.0,54.0,285.0,111.0,143.0,133.0,26.0,71.0,185.0,280.0,461.0
2910,599.0,10.0,404.0,35.0,39.0,125.0,32.0,78.0,496.0,89.0,66.0,14.0,85.0,84.0,113.0,81.0,76.0,149.0,36.0,92.0,87.0,37.0,79.0,108.0,586.0,53.0,54.0,18.0,356.0,454.0
2959,0.0,4.0,40.0,305.0,33.0,82.0,541.0,26.0,21.0,218.0,29.0,539.0,66.0,55.0,85.0,364.0,56.0,44.0,268.0,267.0,70.0,75.0,143.0,103.0,18.0,53.0,379.0,6.0,451.0,72.0
3008,604.0,8.0,413.0,14.0,22.0,9.0,537.0,45.0,10.0,154.0,584.0,12.0,79.0,47.0,72.0,233.0,96.0,152.0,13.0,312.0,71.0,30.0,275.0,147.0,622.0,582.0,375.0,76.0,450.0,95.0
3057,0.0,4.0,102.0,362.0,45.0,251.0,62.0,88.0,69.0,111.0,60.0,66.0,28.0,118.0,77.0,70.0,51.0,96.0,352.0,353.0,97.0,3.0,58.0,121.0,94.0,31.0,377.0,146.0,76.0,47.0
3106,0.0,3.0,408.0,14.0,42.0,47.0,15.0,68.0,1.0,41.0,126.0,36.0,353.0,96.0,65.0,228.0,37.0,93.0,23.0,111.0,87.0,60.0,272.0,141.0,53.0,139.0,372.0,307.0,129.0,63.0
3155,1.0,3.0,400.0,10.0,29.0,26.0,554.0,51.0,4.0,56.0,30.0,58.0,324.0,74.0,81.0,66.0,88.0,628.0,40.0,94.0,70.0,14.0,71.0,123.0,108.0,428.0,494.0,252.0,319.0,90.0
3204,12.0,4.0,410.0,53.0,33.0,102.0,95.0,96.0,17.0,115.0,100.0,46.0,52.0,114.0,77.0,78.0,106.0,87.0,48.0,64.0,134.0,29.0,112.0,86.0,59.0,72.0,376.0,27.0,453.0,386.0
3253,0.0,4.0,419.0,51.0,41.0,33.0,541.0,65.0,1.0,59.0,88.0,24.0,72.0,82.0,79.0,16.0,137.0,127.0,334.0,364.0,34.0,43.0,73.0,89.0,52.0,585.0,47.0,314.0,94.0,56.0
3302,0.0,2.0,477.0,13.0,36.0,47.0,48.0,109.0,501.0,153.0,89.0,33.0,326.0,114.0,85.0,81.0,56.0,95.0,143.0,94.0,51.0,28.0,295.0,100.0,34.0,105.0,84.0,187.0,138.0,102.0
3351,0.0,4.0,419.0,49.0,31.0,77.0,45.0,37.0,17.0,153.0,44.0,23.0,78.0,108.0,58.0,91.0,99.0,68.0,361.0,80.0,116.0,11.0,89.0,126.0,9.0,46.0,383.0,314.0,453.0,47.0
3400,12.0,5.0,426.0,14.0,41.0,42.0,55.0,145.0,18.0,91.0,58.0,34.0,75.0,89.0,65.0,361.0,92.0,86.0,261.0,260.0,29.0,110.0,130.0,98.0,99.0,97.0,373.0,342.0,450.0,139.0
3449,0.0,2.0,419.0,119.0,65.0,296.0,38.0,130.0,6.0,201.0,35.0,76.0,104.0,146.0,278.0,98.0,70.0,62.0,108.0,344.0,67.0,75.0,102.0,127.0,100.0,51.0,52.0,338.0,85.0,77.0
3498,1.0,3.0,443.0,323.0,37.0,59.0,2.0,42.0,12.0,290.0,58.0,554.0,330.0,84.0,80.0,18.0,124.0,38.0,127.0,335.0,133.0,279.0,101.0,88.0,589.0,52.0,449.0,176.0,35.0,60.0
3547,4.0,5.0,402.0,9.0,55.0,61.0,35.0,95.0,54.0,49.0,68.0,34.0,43.0,99.0,349.0,78.0,88.0,524.0,41.0,355.0,147.0,238.0,80.0,73.0,101.0,105.0,367.0,22.0,74.0,19.0
3596,0.0,5.0,30.0,267.0,56.0,75.0,539.0,68.0,379.0,21.0,67.0,33.0,19.0,94.0,27.0,364.0,123.0,6.0,343.0,83.0,108.0,40.0,91.0,114.0,46.0,34.0,384.0,309.0,454.0,28.0
3645,42.0,2.0,476.0,12.0,73.0,45.0,526.0,47.0,402.0,25.0,75.0,70.0,27.0,62.0,105.0,150.0,138.0,129.0,4.0,60.0,86.0,367.0,320.0,131.0,161.0,100.0,450.0,174.0,65.0,22.0
3694,4.0,2.0,153.0,270.0,86.0,145.0,538.0,46.0,375.0,41.0,586.0,94.0,91.0,93.0,108.0,42.0,88.0,71.0,101.0,90.0,114.0,136.0,48.0,104.0,102.0,64.0,99.0,335.0,29.0,53.0
3743,0.0,3.0,375.0,36.0,34.0,41.0,541.0,116.0,471.0,275.0,78.0,8.0,97.0,110.0,84.0,50.0,119.0,618.0,94.0,307.0,126.0,26.0,282.0,86.0,89.0,409.0,476.0,46.0,328.0,35.0
3792,0.0,7.0,401.0,345.0,29.0,347.0,377.0,48.0,494.0,286.0,162.0,52.0,27.0,125.0,319.0,69.0,103.0,151.0,328.0,327.0,70.0,42.0,294.0,43.0,114.0,31.0,39.0,166.0,72.0,46.0
3841,0.0,9.0,36.0,261.0,49.0,51.0,532.0,57.0,367.0,14.0,90.0,41.0,268.0,137.0,82.0,68.0,65.0,6.0,331.0,5.0,91.0,10.0,198.0,146.0,121.0,20.0,373.0,353.0,83.0,384.0
3890,2.0,5.0,34.0,26.0,36.0,266.0,538.0,73.0,371.0,1.0,65.0,92.0,80.0,57.0,61.0,234.0,53.0,52.0,364.0,49.0,149.0,98.0,90.0,95.0,64.0,23.0,68.0,60.0,107.0,111.0
3939,2.0,7.0,1.0,26.0,37.0,17.0,559.0,68.0,3.0,74.0,93.0,50.0,46.0,108.0,29.0,61.0,91.0,600.0,75.0,145.0,132.0,43.0,63.0,154.0,64.0,40.0,109.0,377.0,15.0,471.0
3988,0.0,7.0,3.0,12.0,27.0,69.0,28.0,56.0,13.0,278.0,154.0,32.0,48.0,109.0,89.0,55.0,54.0,613.0,15.0,309.0,98.0,26.0,285.0,149.0,102.0,103.0,29.0,326.0,454.0,394.0
4037,1.0,0.0,6.0,25.0,23.0,304.0,54.0,61.0,40.0,127.0,30.0,530.0,86.0,84.0,85.0,115.0,64.0,27.0,49.0,33.0,70.0,35.0,75.0,139.0,110.0,124.0,45.0,34.0,447.0,36.0
4086,11.0,17.0,13.0,26.0,16.0,95.0,22.0,42.0,18.0,136.0,64.0,120.0,52.0,75.0,57.0,362.0,35.0,609.0,82.0,264.0,23.0,29.0,87.0,100.0,109.0,74.0,61.0,352.0,451.0,116.0
4135,0.0,5.0,117.0,12.0,31.0,35.0,518.0,38.0,2.0,305.0,76.0,94.0,45.0,64.0,85.0,52.0,41.0,137.0,27.0,61.0,86.0,6.0,47.0,132.0,118.0,493.0,104.0,164.0,295.0,129.0
4184,2.0,11.0,0.0,43.0,42.0,296.0,534.0,50.0,4.0,80.0,16.0,37.0,82.0,51.0,96.0,170.0,65.0,604.0,36.0,5.0,63.0,101.0,102.0,52.0,91.0,68.0,375.0,312.0,59.0,384.0
4233,0.0,1.0,4.0,24.0,55.0,46.0,540.0,70.0,2.0,51.0,69.0,61.0,83.0,72.0,80.0,32.0,92.0,108.0,39.0,360.0,94.0,31.0,73.0,106.0,93.0,122.0,376.0,316.0,454.0,100.0
4282,6.0,2.0,32.0,24.0,27.0,38.0,33.0,45.0,4.0,296.0,55.0,12.0,68.0,82.0,61.0,22.0,88.0,46.0,108.0,77.0,125.0,13.0,84.0,42.0,44.0,87.0,78.0,198.0,59.0,52.0
4331,5.0,3.0,11.0,10.0,51.0,45.0,567.0,46.0,0.0,296.0,94.0,566.0,31.0,65.0,102.0,48.0,131.0,580.0,66.0,344.0,70.0,28.0,61.0,111.0,96.0,43.0,107.0,25.0,283.0,90.0
4380,0.0,11.0,107.0,8.0,42.0,128.0,567.0,32.0,456.0,123.0,96.0,40.0,19.0,104.0,73.0,17.0,63.0,583.0,115.0,41.0,442.0,49.0,18.0,67.0,110.0,21.0,57.0,45.0,325.0,47.0
4429,0.0,1.0,44.0,115.0,33.0,83.0,42.0,57.0,13.0,69.0,77.0,79.0,75.0,73.0,295.0,359.0,112.0,32.0,113.0,265.0,572.0,320.0,67.0,72.0,59.0,585.0,118.0,29.0,447.0,39.0
4478,32.0,4.0,121.0,3.0,22.0,36.0,8.0,29.0,364.0,213.0,44.0,56.0,83.0,104.0,278.0,125.0,25.0,39.0,51.0,262.0,570.0,350.0,45.0,145.0,105.0,62.0,72.0,18.0,82.0,109.0
4527,1.0,0.0,4.0,106.0,69.0,44.0,26.0,79.0,3.0,158.0,24.0,115.0,91.0,372.0,43.0,360.0,58.0,48.0,77.0,88.0,573.0,92.0,103.0,157.0,86.0,111.0,23.0,137.0,143.0,9.0
4576,0.0,7.0,3.0,5.0,41.0,67.0,20.0,125.0,2.0,262.0,38.0,530.0,27.0,103.0,349.0,223.0,126.0,563.0,28.0,355.0,565.0,238.0,15.0,139.0,50.0,580.0,37.0,24.0,86.0,57.0
4625,8.0,2.0,28.0,36.0,75.0,17.0,355.0,71.0,1.0,205.0,46.0,121.0,87.0,54.0,65.0,353.0,104.0,34.0,92.0,49.0,567.0,135.0,216.0,625.0,613.0,591.0,27.0,96.0,77.0,26.0
4674,0.0,3.0,2.0,349.0,53.0,33.0,35.0,84.0,13.0,267.0,63.0,106.0,37.0,373.0,46.0,229.0,108.0,134.0,73.0,112.0,570.0,244.0,273.0,83.0,618.0,584.0,376.0,24.0,451.0,387.0
4723,3.0,6.0,1.0,283.0,19.0,7.0,531.0,46.0,4.0,214.0,91.0,359.0,50.0,70.0,41.0,357.0,42.0,49.0,280.0,26.0,27.0,102.0,108.0,152.0,627.0,583.0,371.0,118.0,80.0,16.0
4772,599.0,7.0,31.0,30.0,37.0,27.0,59.0,75.0,108.0,266.0,19.0,95.0,111.0,56.0,358.0,229.0,85.0,143.0,65.0,26.0,94.0,241.0,151.0,105.0,619.0,581.0,47.0,23.0,73.0,96.0
4821,527.0,0.0,402.0,22.0,58.0,25.0,29.0,30.0,10.0,64.0,44.0,105.0,87.0,115.0,252.0,34.0,66.0,127.0,67.0,259.0,564.0,72.0,135.0,626.0,613.0,576.0,81.0,344.0,112.0,377.0
4870,0.0,4.0,2.0,43.0,32.0,42.0,533.0,71.0,5.0,260.0,57.0,530.0,56.0,372.0,349.0,77.0,97.0,80.0,355.0,73.0,568.0,238.0,123.0,141.0,48.0,583.0,390.0,10.0,451.0,67.0
