,guanosine,asparagine,C16:0 LPE,3-phosphoglycerate,PEP,GABA,C22:6 CE,homocysteine,alpha-glycerophosphate,2-deoxycytidine,taurodeoxycholate,sarcosine,hypoxanthine,cystathionine,niacinamide,C56:5 TAG,1-methylnicotinamide,hippurate,beta-alanine,cis/trans-hydroxyproline,SDMA/ADMA,C22:6 LPC,putrescine,inositol,N-carbamoyl-beta-alanine,creatine,cytidine,butyrylcarnitine/isobutyrylcarnitine,palmitoylcarnitine,pantothenate
952,4.0,34.0,5.0,11.0,9.0,1.0,0.0,3.0,14.0,27.0,43.0,54.0,6.0,15.0,30.0,21.0,39.0,25.0,8.0,18.0,2.0,49.0,7.0,36.0,17.0,16.0,37.0,13.0,20.0,55.0
1001,0.0,1.0,3.0,5.0,2.0,12.0,7.0,47.0,8.0,49.0,6.0,48.0,18.0,4.0,38.0,10.0,9.0,13.0,16.0,34.0,25.0,36.0,37.0,30.0,19.0,21.0,11.0,45.0,22.0,33.0
1050,0.0,33.0,13.0,1.0,2.0,3.0,15.0,50.0,5.0,46.0,8.0,22.0,28.0,36.0,18.0,23.0,10.0,44.0,24.0,43.0,9.0,29.0,38.0,17.0,48.0,30.0,14.0,21.0,55.0,26.0
1099,0.0,1.0,2.0,5.0,4.0,35.0,3.0,11.0,15.0,6.0,24.0,8.0,38.0,12.0,13.0,14.0,57.0,29.0,22.0,54.0,23.0,41.0,26.0,16.0,34.0,58.0,10.0,43.0,47.0,31.0
1148,2.0,5.0,7.0,1.0,0.0,18.0,6.0,55.0,4.0,51.0,42.0,8.0,3.0,36.0,20.0,43.0,12.0,29.0,33.0,59.0,21.0,15.0,34.0,22.0,10.0,11.0,39.0,58.0,14.0,37.0
1197,0.0,23.0,1.0,3.0,4.0,7.0,33.0,54.0,2.0,9.0,35.0,20.0,17.0,11.0,21.0,40.0,12.0,36.0,32.0,24.0,8.0,13.0,19.0,22.0,52.0,25.0,27.0,46.0,18.0,42.0
1246,0.0,20.0,15.0,1.0,2.0,8.0,10.0,27.0,24.0,17.0,45.0,13.0,9.0,6.0,19.0,29.0,3.0,5.0,48.0,11.0,50.0,40.0,4.0,34.0,57.0,12.0,7.0,22.0,25.0,38.0
1295,0.0,15.0,19.0,1.0,2.0,55.0,24.0,12.0,39.0,29.0,14.0,17.0,23.0,8.0,3.0,50.0,16.0,47.0,30.0,25.0,4.0,10.0,5.0,21.0,53.0,34.0,60.0,45.0,9.0,31.0
1344,0.0,8.0,2.0,1.0,16.0,14.0,5.0,30.0,9.0,24.0,35.0,13.0,25.0,22.0,4.0,57.0,28.0,54.0,31.0,26.0,20.0,52.0,3.0,50.0,34.0,38.0,21.0,33.0,45.0,7.0
1393,0.0,49.0,12.0,2.0,1.0,43.0,14.0,11.0,18.0,21.0,40.0,20.0,33.0,30.0,8.0,10.0,17.0,56.0,3.0,32.0,25.0,15.0,9.0,26.0,50.0,4.0,23.0,48.0,6.0,57.0
1442,0.0,9.0,3.0,10.0,2.0,49.0,4.0,43.0,36.0,32.0,13.0,1.0,18.0,6.0,8.0,41.0,62.0,35.0,16.0,59.0,54.0,25.0,5.0,34.0,24.0,23.0,22.0,61.0,30.0,31.0
1491,4.0,0.0,13.0,8.0,6.0,18.0,7.0,9.0,15.0,12.0,24.0,16.0,17.0,1.0,5.0,62.0,3.0,2.0,20.0,19.0,33.0,10.0,21.0,58.0,28.0,14.0,42.0,53.0,36.0,35.0
1540,16.0,2.0,20.0,11.0,6.0,10.0,9.0,38.0,35.0,7.0,3.0,12.0,4.0,0.0,22.0,28.0,5.0,1.0,14.0,13.0,57.0,46.0,21.0,40.0,27.0,15.0,34.0,19.0,56.0,8.0
1589,4.0,0.0,6.0,20.0,21.0,15.0,18.0,49.0,13.0,10.0,11.0,31.0,1.0,2.0,40.0,28.0,3.0,19.0,9.0,42.0,17.0,8.0,26.0,38.0,51.0,22.0,52.0,35.0,55.0,7.0
1638,1.0,4.0,39.0,0.0,3.0,13.0,10.0,22.0,16.0,15.0,19.0,5.0,6.0,7.0,17.0,20.0,12.0,11.0,32.0,29.0,8.0,51.0,14.0,23.0,18.0,26.0,53.0,21.0,52.0,38.0
1687,2.0,10.0,48.0,0.0,7.0,3.0,16.0,18.0,6.0,9.0,12.0,11.0,1.0,5.0,20.0,21.0,4.0,14.0,27.0,36.0,28.0,25.0,8.0,23.0,40.0,31.0,47.0,55.0,17.0,30.0
1736,0.0,1.0,3.0,11.0,6.0,7.0,4.0,59.0,17.0,2.0,26.0,35.0,12.0,5.0,20.0,36.0,10.0,9.0,27.0,15.0,13.0,21.0,14.0,37.0,30.0,47.0,29.0,16.0,28.0,55.0
1785,0.0,4.0,26.0,9.0,6.0,7.0,5.0,23.0,10.0,2.0,47.0,8.0,11.0,1.0,16.0,54.0,21.0,15.0,24.0,14.0,19.0,3.0,22.0,60.0,25.0,27.0,36.0,32.0,34.0,30.0
1834,0.0,3.0,24.0,4.0,1.0,48.0,47.0,10.0,2.0,13.0,21.0,6.0,17.0,12.0,29.0,31.0,18.0,20.0,5.0,14.0,52.0,7.0,61.0,35.0,49.0,23.0,33.0,16.0,25.0,64.0
1883,0.0,1.0,44.0,3.0,4.0,20.0,9.0,47.0,13.0,2.0,27.0,16.0,15.0,18.0,11.0,65.0,26.0,7.0,19.0,6.0,10.0,29.0,21.0,35.0,17.0,30.0,22.0,8.0,32.0,24.0
1932,0.0,1.0,8.0,3.0,6.0,10.0,4.0,21.0,19.0,7.0,11.0,13.0,14.0,5.0,16.0,46.0,15.0,20.0,35.0,17.0,25.0,12.0,2.0,23.0,41.0,38.0,49.0,27.0,43.0,48.0
1981,1.0,0.0,13.0,9.0,4.0,10.0,3.0,2.0,7.0,12.0,24.0,8.0,14.0,32.0,21.0,27.0,25.0,18.0,6.0,5.0,58.0,60.0,33.0,37.0,30.0,66.0,19.0,11.0,15.0,35.0
2030,2.0,4.0,5.0,1.0,12.0,14.0,6.0,13.0,8.0,7.0,3.0,17.0,29.0,11.0,43.0,39.0,36.0,0.0,19.0,22.0,31.0,10.0,30.0,24.0,34.0,15.0,20.0,50.0,16.0,44.0
2079,0.0,5.0,6.0,21.0,4.0,19.0,1.0,2.0,3.0,15.0,8.0,9.0,29.0,23.0,16.0,35.0,33.0,59.0,20.0,12.0,18.0,32.0,36.0,13.0,43.0,52.0,11.0,31.0,17.0,22.0
2128,12.0,6.0,0.0,1.0,2.0,16.0,14.0,3.0,4.0,5.0,11.0,17.0,20.0,36.0,31.0,8.0,33.0,22.0,21.0,37.0,24.0,42.0,10.0,9.0,43.0,15.0,25.0,28.0,7.0,13.0
2177,0.0,2.0,20.0,3.0,6.0,7.0,11.0,5.0,1.0,30.0,4.0,33.0,24.0,28.0,8.0,27.0,15.0,26.0,42.0,10.0,16.0,34.0,36.0,29.0,61.0,60.0,39.0,12.0,46.0,32.0
2226,0.0,2.0,6.0,4.0,3.0,30.0,7.0,1.0,11.0,8.0,33.0,16.0,18.0,9.0,12.0,20.0,10.0,61.0,25.0,5.0,34.0,53.0,19.0,13.0,41.0,50.0,27.0,45.0,35.0,22.0
2275,0.0,7.0,1.0,3.0,33.0,9.0,8.0,4.0,2.0,5.0,12.0,50.0,47.0,52.0,26.0,13.0,23.0,22.0,17.0,24.0,20.0,34.0,28.0,11.0,25.0,16.0,39.0,51.0,41.0,29.0
2324,5.0,0.0,4.0,3.0,26.0,9.0,10.0,1.0,2.0,11.0,13.0,6.0,49.0,18.0,16.0,12.0,8.0,27.0,15.0,24.0,47.0,20.0,65.0,7.0,48.0,52.0,19.0,46.0,33.0,21.0
2373,0.0,1.0,8.0,3.0,13.0,5.0,10.0,6.0,18.0,11.0,35.0,2.0,12.0,9.0,4.0,41.0,16.0,14.0,33.0,25.0,58.0,20.0,31.0,39.0,59.0,23.0,19.0,26.0,21.0,7.0
2422,3.0,7.0,8.0,0.0,1.0,26.0,5.0,2.0,4.0,10.0,6.0,44.0,18.0,14.0,37.0,47.0,9.0,27.0,12.0,23.0,38.0,13.0,24.0,16.0,51.0,19.0,48.0,30.0,31.0,41.0
2471,0.0,3.0,12.0,11.0,16.0,19.0,6.0,8.0,5.0,26.0,4.0,53.0,29.0,44.0,36.0,22.0,39.0,31.0,1.0,13.0,30.0,57.0,32.0,18.0,33.0,9.0,14.0,50.0,27.0,42.0
2520,9.0,2.0,1.0,25.0,0.0,6.0,13.0,16.0,26.0,4.0,5.0,14.0,34.0,32.0,8.0,45.0,19.0,21.0,17.0,20.0,7.0,41.0,61.0,47.0,15.0,28.0,51.0,10.0,52.0,37.0
2569,9.0,0.0,21.0,29.0,2.0,20.0,16.0,45.0,1.0,39.0,6.0,7.0,43.0,26.0,4.0,10.0,5.0,62.0,49.0,19.0,25.0,28.0,50.0,13.0,37.0,35.0,33.0,24.0,22.0,12.0
2618,4.0,0.0,2.0,3.0,6.0,11.0,27.0,22.0,1.0,25.0,14.0,45.0,41.0,5.0,18.0,40.0,34.0,24.0,8.0,44.0,60.0,29.0,28.0,13.0,50.0,12.0,26.0,35.0,15.0,23.0
2667,0.0,5.0,6.0,9.0,10.0,13.0,14.0,15.0,12.0,4.0,3.0,54.0,44.0,24.0,1.0,8.0,32.0,40.0,7.0,22.0,48.0,18.0,35.0,16.0,25.0,61.0,19.0,28.0,26.0,2.0
2716,0.0,3.0,8.0,4.0,2.0,12.0,23.0,31.0,33.0,22.0,5.0,37.0,16.0,42.0,6.0,17.0,35.0,14.0,36.0,13.0,21.0,18.0,53.0,20.0,54.0,25.0,9.0,40.0,30.0,26.0
2765,2.0,1.0,10.0,7.0,6.0,9.0,0.0,4.0,14.0,3.0,33.0,11.0,52.0,8.0,12.0,26.0,29.0,34.0,15.0,30.0,5.0,20.0,57.0,24.0,44.0,40.0,18.0,53.0,21.0,31.0
2814,2.0,8.0,1.0,7.0,0.0,23.0,14.0,27.0,6.0,17.0,32.0,51.0,53.0,10.0,3.0,9.0,22.0,24.0,16.0,30.0,36.0,34.0,28.0,33.0,26.0,21.0,15.0,41.0,20.0,13.0
2863,0.0,1.0,12.0,4.0,5.0,10.0,25.0,3.0,31.0,2.0,7.0,55.0,51.0,22.0,6.0,18.0,30.0,57.0,29.0,14.0,40.0,15.0,27.0,11.0,21.0,19.0,28.0,20.0,8.0,59.0
2912,3.0,4.0,0.0,5.0,2.0,7.0,11.0,24.0,10.0,6.0,18.0,47.0,54.0,39.0,1.0,21.0,9.0,28.0,40.0,13.0,48.0,42.0,32.0,19.0,23.0,12.0,53.0,22.0,15.0,41.0
2961,1.0,2.0,0.0,10.0,23.0,4.0,3.0,5.0,11.0,43.0,47.0,30.0,18.0,39.0,6.0,19.0,49.0,7.0,24.0,22.0,13.0,66.0,16.0,8.0,58.0,20.0,42.0,31.0,9.0,40.0
3010,3.0,5.0,0.0,2.0,6.0,4.0,7.0,12.0,10.0,19.0,9.0,35.0,25.0,15.0,1.0,42.0,21.0,50.0,11.0,23.0,39.0,32.0,8.0,17.0,55.0,43.0,46.0,13.0,29.0,47.0
3059,1.0,41.0,0.0,5.0,7.0,15.0,14.0,6.0,2.0,62.0,3.0,13.0,12.0,37.0,18.0,24.0,10.0,58.0,4.0,45.0,39.0,21.0,8.0,16.0,53.0,26.0,50.0,38.0,17.0,34.0
3108,5.0,7.0,8.0,2.0,22.0,6.0,9.0,1.0,4.0,18.0,13.0,10.0,39.0,3.0,0.0,17.0,23.0,33.0,21.0,12.0,56.0,29.0,32.0,16.0,64.0,28.0,44.0,34.0,25.0,49.0
3157,6.0,3.0,2.0,1.0,26.0,4.0,31.0,47.0,0.0,11.0,16.0,15.0,9.0,38.0,19.0,8.0,25.0,54.0,5.0,20.0,24.0,63.0,58.0,17.0,32.0,7.0,60.0,18.0,29.0,21.0
3206,8.0,6.0,3.0,2.0,29.0,0.0,13.0,16.0,4.0,35.0,14.0,22.0,9.0,12.0,10.0,5.0,30.0,46.0,1.0,7.0,43.0,56.0,21.0,26.0,28.0,36.0,34.0,18.0,41.0,31.0
3255,1.0,3.0,0.0,4.0,14.0,5.0,33.0,17.0,2.0,40.0,18.0,28.0,47.0,37.0,6.0,41.0,11.0,58.0,8.0,9.0,44.0,53.0,21.0,24.0,23.0,27.0,65.0,30.0,16.0,19.0
3304,1.0,6.0,2.0,5.0,24.0,7.0,17.0,0.0,9.0,13.0,33.0,3.0,22.0,11.0,4.0,12.0,8.0,20.0,19.0,40.0,18.0,61.0,36.0,32.0,43.0,21.0,28.0,39.0,10.0,14.0
3353,4.0,9.0,0.0,6.0,15.0,12.0,18.0,8.0,1.0,5.0,14.0,3.0,34.0,13.0,20.0,7.0,40.0,19.0,2.0,32.0,27.0,39.0,33.0,28.0,22.0,35.0,61.0,37.0,10.0,51.0
3402,0.0,8.0,1.0,7.0,18.0,2.0,6.0,25.0,17.0,31.0,3.0,29.0,30.0,4.0,33.0,5.0,12.0,22.0,28.0,50.0,42.0,38.0,15.0,9.0,24.0,11.0,26.0,23.0,10.0,20.0
3451,1.0,0.0,5.0,34.0,63.0,6.0,13.0,28.0,15.0,4.0,43.0,2.0,25.0,11.0,52.0,3.0,7.0,16.0,12.0,20.0,14.0,51.0,17.0,21.0,37.0,10.0,18.0,29.0,40.0,39.0
3500,0.0,2.0,1.0,18.0,5.0,4.0,13.0,43.0,21.0,3.0,46.0,24.0,19.0,25.0,40.0,9.0,16.0,26.0,42.0,7.0,59.0,35.0,22.0,41.0,52.0,6.0,50.0,20.0,30.0,10.0
3549,2.0,1.0,0.0,22.0,6.0,15.0,29.0,52.0,18.0,11.0,7.0,27.0,4.0,20.0,30.0,46.0,5.0,32.0,26.0,8.0,51.0,9.0,10.0,35.0,12.0,23.0,16.0,37.0,19.0,21.0
3598,0.0,4.0,1.0,11.0,7.0,20.0,10.0,53.0,14.0,2.0,6.0,32.0,18.0,9.0,16.0,22.0,42.0,13.0,26.0,3.0,38.0,17.0,30.0,48.0,34.0,33.0,43.0,5.0,55.0,15.0
3647,0.0,2.0,4.0,10.0,22.0,6.0,3.0,29.0,42.0,1.0,44.0,5.0,28.0,46.0,16.0,17.0,14.0,7.0,21.0,15.0,18.0,8.0,13.0,52.0,9.0,34.0,38.0,31.0,36.0,12.0
3696,0.0,4.0,1.0,5.0,21.0,6.0,36.0,24.0,2.0,3.0,39.0,17.0,18.0,26.0,12.0,20.0,23.0,28.0,14.0,27.0,29.0,19.0,30.0,38.0,34.0,10.0,41.0,7.0,16.0,8.0
3745,0.0,2.0,8.0,5.0,47.0,6.0,7.0,17.0,16.0,26.0,13.0,1.0,4.0,23.0,38.0,11.0,27.0,12.0,19.0,24.0,29.0,28.0,9.0,18.0,3.0,15.0,31.0,33.0,43.0,10.0
3794,0.0,6.0,2.0,28.0,48.0,26.0,4.0,36.0,3.0,5.0,22.0,12.0,7.0,21.0,25.0,42.0,46.0,23.0,8.0,1.0,20.0,17.0,14.0,44.0,27.0,29.0,30.0,9.0,58.0,11.0
3843,0.0,4.0,7.0,11.0,9.0,2.0,37.0,24.0,12.0,1.0,42.0,14.0,3.0,18.0,47.0,16.0,55.0,22.0,5.0,17.0,28.0,39.0,6.0,32.0,8.0,13.0,45.0,19.0,44.0,35.0
3892,0.0,1.0,4.0,19.0,12.0,7.0,16.0,14.0,10.0,2.0,23.0,37.0,13.0,5.0,26.0,17.0,48.0,9.0,36.0,6.0,41.0,28.0,21.0,53.0,8.0,15.0,27.0,44.0,18.0,11.0
3941,0.0,1.0,4.0,9.0,12.0,10.0,3.0,5.0,6.0,2.0,11.0,50.0,44.0,25.0,20.0,38.0,32.0,60.0,8.0,18.0,29.0,21.0,16.0,61.0,23.0,40.0,30.0,17.0,34.0,33.0
3990,0.0,2.0,24.0,13.0,8.0,3.0,5.0,10.0,6.0,33.0,9.0,15.0,47.0,54.0,43.0,1.0,52.0,50.0,26.0,20.0,4.0,42.0,34.0,59.0,12.0,39.0,19.0,14.0,53.0,25.0
4039,6.0,1.0,13.0,7.0,20.0,49.0,2.0,5.0,17.0,12.0,4.0,9.0,18.0,15.0,10.0,35.0,65.0,14.0,38.0,3.0,11.0,22.0,8.0,60.0,0.0,33.0,42.0,21.0,46.0,53.0
4088,1.0,0.0,4.0,6.0,39.0,27.0,3.0,2.0,29.0,22.0,25.0,10.0,15.0,47.0,18.0,16.0,33.0,51.0,26.0,7.0,5.0,17.0,28.0,43.0,8.0,24.0,32.0,48.0,35.0,14.0
4137,0.0,5.0,12.0,21.0,8.0,34.0,4.0,1.0,41.0,2.0,7.0,13.0,23.0,17.0,15.0,28.0,6.0,48.0,35.0,37.0,9.0,32.0,14.0,33.0,3.0,57.0,55.0,53.0,49.0,19.0
4186,1.0,2.0,6.0,20.0,16.0,3.0,34.0,0.0,18.0,7.0,9.0,22.0,8.0,10.0,26.0,54.0,11.0,60.0,49.0,5.0,12.0,21.0,23.0,36.0,4.0,47.0,37.0,24.0,13.0,56.0
4235,0.0,1.0,11.0,34.0,22.0,5.0,12.0,3.0,19.0,8.0,23.0,9.0,46.0,13.0,39.0,28.0,25.0,14.0,48.0,43.0,2.0,26.0,6.0,63.0,15.0,31.0,10.0,60.0,16.0,4.0
4284,1.0,2.0,5.0,13.0,0.0,15.0,3.0,6.0,40.0,11.0,10.0,21.0,16.0,31.0,28.0,12.0,41.0,29.0,33.0,38.0,7.0,46.0,14.0,57.0,9.0,20.0,17.0,22.0,8.0,55.0
4333,3.0,0.0,5.0,29.0,2.0,15.0,1.0,4.0,11.0,8.0,7.0,10.0,50.0,23.0,44.0,6.0,12.0,25.0,57.0,47.0,39.0,21.0,19.0,30.0,43.0,26.0,9.0,33.0,14.0,41.0
4382,0.0,3.0,15.0,7.0,23.0,2.0,9.0,1.0,4.0,5.0,19.0,51.0,61.0,18.0,12.0,10.0,24.0,35.0,58.0,29.0,45.0,14.0,11.0,42.0,34.0,6.0,8.0,46.0,28.0,13.0
4431,2.0,7.0,10.0,5.0,29.0,16.0,37.0,8.0,11.0,9.0,22.0,24.0,6.0,19.0,31.0,0.0,3.0,4.0,38.0,28.0,41.0,12.0,17.0,53.0,1.0,40.0,15.0,21.0,27.0,52.0
4480,0.0,3.0,5.0,6.0,30.0,8.0,37.0,7.0,27.0,17.0,18.0,2.0,9.0,13.0,15.0,4.0,35.0,26.0,20.0,25.0,11.0,21.0,14.0,12.0,1.0,60.0,41.0,50.0,31.0,24.0
4529,1.0,43.0,2.0,16.0,19.0,4.0,9.0,48.0,31.0,0.0,32.0,3.0,6.0,21.0,50.0,44.0,25.0,12.0,27.0,63.0,10.0,7.0,28.0,20.0,14.0,64.0,30.0,23.0,34.0,26.0
4578,0.0,5.0,14.0,11.0,18.0,6.0,34.0,2.0,13.0,3.0,59.0,9.0,23.0,47.0,22.0,12.0,21.0,7.0,50.0,37.0,17.0,20.0,36.0,15.0,1.0,8.0,29.0,62.0,55.0,10.0
4627,4.0,13.0,9.0,3.0,6.0,0.0,11.0,10.0,2.0,1.0,28.0,25.0,19.0,8.0,43.0,7.0,48.0,29.0,37.0,42.0,17.0,5.0,55.0,18.0,21.0,40.0,14.0,60.0,31.0,12.0
4676,1.0,29.0,8.0,28.0,7.0,2.0,5.0,0.0,20.0,6.0,13.0,25.0,12.0,35.0,3.0,4.0,22.0,19.0,14.0,61.0,16.0,40.0,33.0,15.0,18.0,65.0,9.0,21.0,32.0,10.0
4725,4.0,19.0,2.0,0.0,7.0,14.0,17.0,3.0,9.0,11.0,49.0,16.0,8.0,34.0,10.0,20.0,55.0,23.0,39.0,24.0,13.0,1.0,33.0,56.0,6.0,58.0,5.0,59.0,51.0,25.0
4774,3.0,12.0,0.0,14.0,4.0,1.0,11.0,16.0,18.0,2.0,27.0,7.0,17.0,41.0,19.0,8.0,34.0,15.0,53.0,30.0,31.0,6.0,45.0,13.0,10.0,46.0,26.0,36.0,47.0,5.0
4823,3.0,20.0,0.0,7.0,9.0,2.0,24.0,5.0,6.0,33.0,29.0,1.0,34.0,23.0,31.0,11.0,19.0,14.0,16.0,27.0,8.0,18.0,65.0,35.0,4.0,40.0,15.0,42.0,22.0,41.0
4872,1.0,2.0,4.0,5.0,9.0,0.0,29.0,10.0,7.0,11.0,12.0,13.0,6.0,25.0,45.0,8.0,48.0,16.0,33.0,37.0,31.0,14.0,39.0,23.0,3.0,42.0,30.0,43.0,17.0,21.0
