,TNK2_MUT,APBA1_AMP,MIEN1_AMP,MIR4728_AMP,PGAP3_AMP,GRB7_AMP,BMPR2_MUT,AATK_MUT,PNMT_AMP,JAK2_AMP,STARD3_AMP,MYEOV_AMP,CTNNA2_MUT,FTL_DEL,MTRNR2L6_DEL,CT45A3_DEL,ERBB2_AMP,IKZF3_AMP,ACACB_MUT,DEFA1_DEL,LOC647107_AMP,MIR548AI_AMP,C3orf33_AMP,CT45A1_DEL,SNAR-C3_DEL,SHANK2_AMP,OR2T27_DEL,PA2G4P4_AMP,NEUROD2_AMP,DST_MUT
1796,45.0,19.0,2.0,10.0,64.0,16.0,17065.0,46.0,157.0,117.0,211.0,14.0,8.0,15.0,2710.0,1216.0,433.0,3.0,208.0,39.0,180.0,1080.0,13196.0,140.0,7.0,24.0,326.0,524.0,14501.0,55.0
1845,71.0,1.0,1341.0,1121.0,19436.0,754.0,16.0,7.0,14891.0,12.0,1142.0,115.0,55.0,24.0,694.0,481.0,1398.0,14100.0,0.0,1378.0,52.0,136.0,39.0,10398.0,64.0,14051.0,17.0,305.0,14462.0,18.0
1894,26.0,35.0,453.0,161.0,169.0,71.0,324.0,2.0,603.0,15415.0,1003.0,236.0,47.0,51.0,844.0,61.0,34.0,593.0,29.0,6022.0,456.0,1579.0,388.0,245.0,54.0,482.0,680.0,21723.0,815.0,17100.0
1943,0.0,1527.0,28.0,11.0,703.0,77.0,194.0,12.0,42.0,26.0,95.0,7.0,2.0,72.0,444.0,122.0,614.0,1256.0,230.0,3958.0,106.0,223.0,13142.0,361.0,9.0,15.0,91.0,218.0,489.0,3.0
1992,1.0,5.0,11.0,9.0,8.0,3.0,439.0,1176.0,4.0,21.0,17.0,475.0,16.0,686.0,18.0,37.0,7.0,2.0,0.0,103.0,186.0,12.0,41.0,1968.0,124.0,281.0,5071.0,100.0,114.0,262.0
2041,5.0,1.0,21.0,44.0,15.0,7.0,14.0,16909.0,9.0,3.0,61.0,712.0,52.0,1532.0,19.0,231.0,10.0,8.0,243.0,183.0,20.0,22.0,102.0,10294.0,128.0,6.0,363.0,665.0,75.0,268.0
2090,49.0,3.0,11.0,32.0,6.0,2.0,5.0,31.0,57.0,1311.0,193.0,66.0,76.0,1291.0,673.0,25.0,73.0,15.0,2993.0,161.0,22.0,133.0,314.0,4.0,704.0,157.0,116.0,21750.0,136.0,318.0
2139,1.0,11.0,82.0,454.0,154.0,471.0,102.0,63.0,18574.0,15181.0,18165.0,3.0,72.0,834.0,10.0,11282.0,318.0,446.0,112.0,113.0,23.0,192.0,13134.0,1122.0,117.0,47.0,145.0,723.0,646.0,356.0
2188,0.0,63.0,7.0,51.0,1.0,107.0,12.0,2637.0,80.0,2.0,129.0,103.0,4.0,7036.0,13.0,11.0,287.0,25.0,16591.0,26.0,3.0,937.0,672.0,404.0,152.0,13958.0,538.0,21745.0,14515.0,17107.0
2237,66.0,1.0,2.0,13.0,11.0,898.0,21.0,135.0,7.0,35.0,36.0,1485.0,203.0,5299.0,4.0,16.0,33.0,6.0,256.0,161.0,170.0,12.0,881.0,10300.0,43.0,410.0,320.0,182.0,108.0,91.0
2286,0.0,32.0,5.0,27.0,31.0,178.0,16.0,227.0,20.0,3.0,53.0,19.0,387.0,6477.0,46.0,6.0,97.0,9.0,1199.0,3581.0,8.0,139.0,241.0,21.0,80.0,11.0,61.0,21759.0,365.0,17121.0
2335,1.0,0.0,8.0,9.0,5.0,14.0,3.0,53.0,12.0,6.0,29.0,10.0,32.0,7756.0,17.0,163.0,18.0,4.0,329.0,162.0,205.0,64.0,130.0,40.0,43.0,7.0,123.0,997.0,228.0,17033.0
2384,0.0,5.0,10.0,1.0,11.0,8.0,3.0,25.0,30.0,2.0,39.0,208.0,62.0,7426.0,18.0,9.0,34.0,4.0,2564.0,90.0,14.0,52.0,13144.0,42.0,12.0,115.0,7.0,21725.0,51.0,646.0
2433,3.0,1.0,0.0,2.0,6.0,18.0,539.0,95.0,16.0,19.0,7.0,334.0,236.0,7520.0,49.0,79.0,5.0,240.0,2123.0,76.0,56.0,152.0,609.0,4.0,175.0,10.0,11756.0,21733.0,171.0,304.0
2482,1.0,3.0,20.0,5.0,25.0,11.0,13.0,58.0,9.0,38.0,18.0,457.0,57.0,67.0,80.0,10.0,94.0,12.0,41.0,4354.0,103.0,1283.0,115.0,49.0,37.0,1136.0,46.0,120.0,34.0,27.0
2531,2.0,10.0,71.0,140.0,425.0,105.0,150.0,12.0,27.0,18.0,62.0,597.0,3.0,538.0,34.0,6.0,1054.0,233.0,168.0,171.0,38.0,16.0,158.0,169.0,20.0,93.0,41.0,340.0,14507.0,1.0
2580,3.0,372.0,6.0,4.0,9.0,14.0,2.0,8.0,7.0,1.0,49.0,16.0,160.0,503.0,25.0,48.0,190.0,12.0,0.0,895.0,60.0,16388.0,13187.0,255.0,53.0,37.0,35.0,1220.0,42.0,62.0
2629,1.0,0.0,15.0,17.0,11.0,36.0,2.0,23.0,19.0,76.0,91.0,594.0,78.0,701.0,44.0,328.0,43.0,37.0,26.0,130.0,88.0,3239.0,13170.0,145.0,700.0,282.0,25.0,909.0,38.0,5.0
2678,4.0,0.0,9.0,7.0,25.0,10.0,22.0,12.0,34.0,18.0,28.0,1619.0,2465.0,67.0,87.0,156.0,107.0,35.0,52.0,41.0,13.0,133.0,13218.0,2.0,124.0,14037.0,14.0,21733.0,129.0,27.0
2727,0.0,24.0,3.0,9.0,129.0,4.0,43.0,5.0,22.0,193.0,57.0,14274.0,1280.0,7033.0,31.0,11226.0,26.0,149.0,125.0,53.0,21791.0,2286.0,15.0,10408.0,446.0,14056.0,8.0,55.0,21.0,221.0
2776,1.0,0.0,9.0,39.0,4.0,13.0,162.0,773.0,5.0,16.0,46.0,14264.0,47.0,98.0,12.0,74.0,75.0,41.0,169.0,397.0,134.0,281.0,108.0,10390.0,32.0,14109.0,69.0,17.0,26.0,601.0
2825,32.0,2.0,14.0,12.0,168.0,16.0,54.0,1.0,50.0,5.0,19.0,66.0,53.0,72.0,19136.0,22.0,277.0,76.0,106.0,118.0,74.0,16482.0,21.0,39.0,11.0,214.0,29.0,59.0,639.0,17.0
2874,4.0,10.0,281.0,22.0,21.0,66.0,62.0,97.0,12.0,44.0,17.0,14250.0,452.0,108.0,1015.0,315.0,0.0,14084.0,176.0,5678.0,985.0,85.0,3248.0,124.0,18.0,14037.0,32.0,88.0,63.0,651.0
2923,14.0,0.0,12.0,6.0,40.0,57.0,144.0,254.0,16.0,51.0,246.0,13280.0,2.0,372.0,25.0,204.0,28.0,65.0,1175.0,250.0,4.0,94.0,356.0,10352.0,126.0,1500.0,71.0,361.0,402.0,479.0
2972,1.0,17.0,47.0,128.0,151.0,1411.0,1944.0,17147.0,924.0,42.0,17944.0,164.0,67.0,24.0,53.0,87.0,17657.0,716.0,96.0,153.0,21712.0,30.0,7.0,13.0,206.0,59.0,77.0,5.0,14492.0,222.0
3021,0.0,3.0,12.0,21.0,20.0,27.0,46.0,36.0,14885.0,144.0,18230.0,192.0,208.0,60.0,228.0,1132.0,382.0,1404.0,2.0,127.0,134.0,947.0,26.0,44.0,19.0,703.0,5.0,8.0,464.0,55.0
3070,0.0,3.0,26.0,322.0,19462.0,13674.0,74.0,1521.0,14926.0,59.0,483.0,14240.0,5.0,367.0,19139.0,36.0,469.0,14044.0,209.0,120.0,42.0,15.0,45.0,107.0,85.0,13824.0,39.0,11.0,1202.0,51.0
3119,7.0,0.0,3.0,5.0,17.0,14.0,28.0,164.0,195.0,4.0,30.0,118.0,27.0,87.0,65.0,150.0,1.0,36.0,15.0,47.0,55.0,40.0,39.0,32.0,105.0,78.0,74.0,22.0,53.0,23.0
3168,79.0,357.0,20.0,87.0,34.0,148.0,1232.0,118.0,6.0,5.0,2341.0,14.0,164.0,0.0,1652.0,12.0,60.0,166.0,3.0,40.0,230.0,104.0,3031.0,10.0,27.0,565.0,42.0,110.0,577.0,8.0
3217,10.0,20.0,69.0,32.0,338.0,337.0,619.0,4.0,9.0,28.0,318.0,388.0,30.0,17.0,1472.0,147.0,42.0,66.0,207.0,49.0,21775.0,47.0,182.0,18.0,827.0,14026.0,7.0,253.0,130.0,0.0
3266,0.0,20.0,18.0,54.0,64.0,31.0,15.0,1734.0,131.0,6.0,90.0,67.0,466.0,61.0,5.0,145.0,17610.0,265.0,56.0,33.0,26.0,12.0,179.0,29.0,178.0,14119.0,110.0,141.0,114.0,1.0
3315,3.0,31.0,25.0,121.0,471.0,440.0,193.0,393.0,66.0,15172.0,2255.0,1234.0,315.0,403.0,2433.0,11.0,72.0,28.0,125.0,21.0,46.0,57.0,2044.0,29.0,58.0,1333.0,802.0,50.0,189.0,6.0
3364,14.0,7.0,0.0,2.0,21.0,13.0,28.0,17159.0,40.0,32.0,115.0,12.0,30.0,4.0,1.0,1535.0,301.0,38.0,36.0,92.0,166.0,23.0,18.0,5.0,329.0,117.0,22.0,50.0,54.0,229.0
3413,1.0,0.0,10.0,35.0,125.0,99.0,2090.0,21.0,14960.0,7.0,88.0,14.0,966.0,56.0,19181.0,65.0,16.0,14103.0,4.0,748.0,498.0,858.0,13136.0,26.0,313.0,122.0,63.0,21781.0,46.0,1052.0
3462,8.0,4.0,0.0,2.0,19.0,44.0,17095.0,5.0,3.0,603.0,49.0,15.0,65.0,33.0,19138.0,38.0,24.0,41.0,66.0,12.0,1143.0,7.0,13.0,425.0,23.0,287.0,199.0,10.0,20.0,17091.0
3511,1.0,115.0,6.0,3.0,2.0,12.0,29.0,18.0,19.0,0.0,73.0,26.0,16699.0,7001.0,33.0,51.0,10.0,30.0,91.0,44.0,47.0,5.0,8.0,325.0,24.0,41.0,267.0,95.0,307.0,16.0
3560,6.0,219.0,24.0,125.0,72.0,57.0,17082.0,36.0,14.0,59.0,27.0,4.0,15.0,19.0,135.0,112.0,31.0,496.0,83.0,9.0,105.0,0.0,17.0,842.0,7.0,46.0,460.0,74.0,363.0,33.0
3609,1.0,16.0,26.0,11.0,19441.0,50.0,121.0,31.0,37.0,111.0,64.0,2.0,4.0,24.0,13.0,5.0,136.0,124.0,30.0,45.0,89.0,28.0,172.0,27.0,292.0,2139.0,552.0,21785.0,131.0,1127.0
3658,116.0,100.0,2.0,3.0,94.0,86.0,35.0,549.0,22272.0,8.0,16.0,144.0,154.0,5.0,1178.0,290.0,114.0,124.0,25.0,57.0,1134.0,182.0,13146.0,38.0,66.0,253.0,125.0,609.0,633.0,456.0
3707,0.0,1.0,8.0,7.0,9.0,17.0,11.0,202.0,14.0,10.0,22.0,40.0,86.0,39.0,46.0,29.0,3.0,2.0,100.0,35.0,33.0,103.0,5.0,865.0,57.0,341.0,31.0,25.0,13.0,117.0
3756,2.0,8.0,0.0,4.0,3.0,57.0,190.0,5.0,31.0,6.0,12.0,30.0,1034.0,15.0,115.0,90.0,997.0,41.0,19.0,24.0,348.0,9.0,17.0,13.0,11.0,149.0,51.0,35.0,44.0,374.0
3805,17.0,0.0,1.0,10.0,5.0,21.0,16.0,35.0,24.0,54.0,8.0,183.0,77.0,274.0,19166.0,45.0,475.0,40.0,50.0,20.0,153.0,15.0,6.0,49.0,33.0,14083.0,1168.0,52.0,28.0,3240.0
3854,25.0,6.0,3.0,13.0,26.0,9.0,147.0,22.0,10.0,2.0,34.0,29.0,44.0,14.0,79.0,748.0,31.0,19.0,80.0,101.0,63.0,4.0,20.0,784.0,40.0,629.0,747.0,46.0,15.0,16.0
3903,12.0,2.0,3.0,26.0,9.0,214.0,134.0,30.0,4.0,1.0,6.0,21.0,0.0,78.0,81.0,236.0,805.0,43.0,23.0,10.0,197.0,20.0,5.0,53.0,103.0,54.0,224.0,13.0,382.0,2702.0
3952,3.0,14.0,6.0,5.0,26.0,63.0,120.0,0.0,20.0,1167.0,10.0,48.0,131.0,16.0,624.0,39.0,13.0,19.0,27.0,43.0,58.0,23.0,136.0,242.0,25.0,129.0,210.0,95.0,50.0,11.0
4001,37.0,0.0,15.0,161.0,120.0,39.0,11.0,56.0,14958.0,15467.0,113.0,7.0,82.0,127.0,219.0,19.0,85.0,665.0,1089.0,2.0,21803.0,123.0,1.0,10434.0,152.0,53.0,1826.0,3.0,14565.0,390.0
4050,2.0,22.0,34.0,75.0,74.0,59.0,13.0,2566.0,97.0,15436.0,20.0,96.0,81.0,85.0,2696.0,126.0,32.0,503.0,218.0,42.0,21784.0,2166.0,29.0,137.0,170.0,50.0,405.0,563.0,95.0,17113.0
4099,69.0,32.0,1.0,5.0,27.0,11.0,10.0,44.0,105.0,15433.0,4.0,164.0,20.0,98.0,19194.0,21.0,245.0,30.0,6.0,5360.0,25.0,411.0,53.0,759.0,18814.0,77.0,1650.0,72.0,133.0,24.0
4148,0.0,5.0,7.0,42.0,12.0,9.0,150.0,13.0,856.0,15432.0,170.0,3317.0,6.0,1757.0,75.0,43.0,165.0,241.0,3.0,16.0,21784.0,2624.0,298.0,10365.0,52.0,14042.0,792.0,34.0,14528.0,412.0
4197,0.0,5.0,2.0,6.0,19.0,1.0,45.0,17188.0,9.0,60.0,17.0,18.0,33.0,497.0,79.0,124.0,4.0,28.0,245.0,3.0,251.0,27.0,38.0,10.0,189.0,62.0,499.0,42.0,75.0,21.0
4246,1.0,18.0,66.0,143.0,30.0,13.0,4.0,60.0,113.0,506.0,114.0,276.0,312.0,105.0,19144.0,27.0,5.0,316.0,19.0,35.0,82.0,161.0,23.0,21.0,49.0,63.0,211.0,12.0,14494.0,365.0
4295,4.0,3.0,2.0,15.0,9.0,30.0,17131.0,90.0,43.0,15232.0,42.0,394.0,41.0,20.0,2245.0,161.0,68.0,221.0,10.0,1.0,350.0,35.0,136.0,106.0,19.0,40.0,132.0,558.0,34.0,245.0
4344,15.0,3.0,7.0,18.0,20.0,52.0,153.0,38.0,13.0,293.0,9.0,16.0,17.0,119.0,1708.0,41.0,89.0,28.0,101.0,132.0,87.0,1091.0,25.0,5.0,155.0,23.0,24.0,59.0,103.0,198.0
4393,9.0,7.0,11.0,12.0,2.0,6.0,5.0,754.0,144.0,15203.0,21.0,101.0,23.0,24.0,19130.0,293.0,184.0,38.0,29.0,22.0,852.0,50.0,200.0,222.0,439.0,92.0,30.0,107.0,42.0,3347.0
4442,3.0,270.0,7.0,9.0,16.0,44.0,175.0,434.0,12.0,33.0,32.0,2827.0,356.0,52.0,66.0,28.0,2.0,1929.0,722.0,88.0,50.0,68.0,71.0,31.0,18616.0,13712.0,484.0,21784.0,11.0,4.0
4491,81.0,20.0,1.0,2.0,11.0,15.0,87.0,108.0,6.0,51.0,16.0,467.0,461.0,19.0,78.0,14.0,3.0,105.0,52.0,862.0,327.0,16462.0,96.0,29.0,91.0,2703.0,4751.0,21866.0,50.0,4.0
4540,1.0,3.0,5.0,4.0,14.0,2.0,468.0,79.0,7.0,28.0,6.0,237.0,324.0,16.0,503.0,292.0,17649.0,64.0,1032.0,344.0,72.0,42.0,37.0,59.0,118.0,13762.0,204.0,625.0,15.0,27.0
4589,1.0,13.0,3.0,7.0,0.0,4.0,17117.0,87.0,16.0,51.0,14.0,14233.0,102.0,1246.0,9.0,143.0,85.0,15.0,3608.0,358.0,84.0,16351.0,322.0,171.0,18933.0,3303.0,42.0,21753.0,34.0,88.0
4638,0.0,4.0,11.0,2.0,18.0,5.0,1.0,44.0,57.0,15425.0,22.0,66.0,1179.0,52.0,722.0,74.0,41.0,292.0,185.0,440.0,3.0,186.0,79.0,97.0,143.0,444.0,326.0,49.0,132.0,77.0
4687,8.0,13446.0,22.0,3.0,10.0,26.0,1223.0,58.0,213.0,60.0,43.0,59.0,16717.0,92.0,46.0,39.0,16.0,55.0,16548.0,268.0,20.0,73.0,136.0,35.0,521.0,120.0,44.0,102.0,37.0,21.0
4736,0.0,74.0,1.0,125.0,6.0,2.0,14.0,107.0,5.0,37.0,1977.0,24.0,54.0,53.0,12.0,13.0,82.0,312.0,16565.0,214.0,21752.0,382.0,100.0,50.0,18898.0,11.0,34.0,146.0,10.0,25.0
4785,20.0,1.0,8.0,26.0,11.0,6.0,47.0,7.0,15.0,150.0,106.0,22.0,31.0,32.0,37.0,11249.0,59.0,273.0,181.0,3625.0,28.0,518.0,75.0,0.0,171.0,3461.0,583.0,188.0,43.0,400.0
4834,10.0,22.0,265.0,60.0,267.0,251.0,17114.0,1.0,19.0,26.0,266.0,144.0,29.0,155.0,114.0,12.0,122.0,149.0,330.0,799.0,369.0,14.0,130.0,289.0,18804.0,32.0,11289.0,146.0,35.0,87.0
4883,3.0,9.0,2.0,0.0,13.0,6.0,96.0,150.0,23.0,68.0,14.0,376.0,44.0,7.0,8.0,79.0,97.0,20.0,1936.0,6102.0,1.0,26.0,117.0,34.0,616.0,699.0,109.0,225.0,40.0,42.0
