,hsa-miR-199b-5p,hsa-miR-541,hsa-miR-761,hsa-miR-744,hsa-miR-223,hsa-miR-142-5p,hsa-miR-935,hsv1-miR-H2-3p,hsa-miR-1256,hsa-miR-1977,hsa-miR-600,hsa-miR-214,hsa-miR-222,hsa-miR-1976,hsa-miR-147b,hsa-miR-125a-3p,hsa-miR-656,hsa-miR-877,ebv-miR-BART2-5p,hsa-miR-581,hsa-miR-190,hsa-miR-616,hsa-miR-1973,hsa-miR-485-3p,hsa-miR-1200,hsa-miR-192,hsa-miR-628-5p,hsa-miR-579,hsa-miR-623,hcmv-miR-US5-1
605,1.0,4.0,0.0,20.0,3.0,7.0,5.0,8.0,15.0,10.0,2.0,11.0,65.0,6.0,29.0,19.0,14.0,60.0,24.0,30.0,22.0,33.0,12.0,13.0,63.0,18.0,90.0,49.0,43.0,23.0
654,0.0,8.0,1.0,2.0,5.0,14.0,9.0,7.0,27.0,15.0,12.0,3.0,19.0,4.0,11.0,25.0,16.0,64.0,20.0,26.0,32.0,35.0,6.0,22.0,28.0,34.0,109.0,13.0,104.0,17.0
703,0.0,1.0,11.0,22.0,5.0,8.0,2.0,7.0,12.0,25.0,6.0,3.0,24.0,10.0,23.0,14.0,29.0,17.0,26.0,43.0,16.0,36.0,30.0,18.0,48.0,9.0,304.0,33.0,15.0,82.0
752,0.0,3.0,5.0,1.0,4.0,10.0,2.0,11.0,19.0,20.0,14.0,16.0,6.0,50.0,25.0,7.0,9.0,42.0,26.0,21.0,15.0,24.0,23.0,29.0,17.0,97.0,52.0,8.0,54.0,36.0
801,0.0,2.0,1.0,6.0,12.0,11.0,15.0,3.0,23.0,16.0,7.0,9.0,13.0,29.0,18.0,21.0,17.0,61.0,24.0,49.0,19.0,14.0,37.0,8.0,63.0,5.0,64.0,10.0,56.0,32.0
850,0.0,3.0,4.0,22.0,1.0,6.0,2.0,19.0,8.0,10.0,5.0,18.0,9.0,12.0,16.0,42.0,24.0,41.0,26.0,25.0,7.0,13.0,28.0,23.0,14.0,15.0,45.0,52.0,43.0,55.0
899,1.0,3.0,0.0,9.0,2.0,11.0,6.0,10.0,8.0,5.0,12.0,4.0,7.0,21.0,19.0,18.0,16.0,23.0,28.0,24.0,25.0,20.0,14.0,29.0,68.0,17.0,80.0,34.0,35.0,46.0
948,0.0,2.0,1.0,4.0,3.0,26.0,11.0,6.0,5.0,14.0,7.0,20.0,19.0,31.0,30.0,8.0,18.0,47.0,17.0,27.0,9.0,25.0,16.0,15.0,34.0,33.0,67.0,12.0,78.0,50.0
997,2.0,1.0,8.0,3.0,7.0,0.0,10.0,18.0,5.0,12.0,11.0,6.0,32.0,20.0,4.0,9.0,17.0,28.0,42.0,21.0,50.0,24.0,107.0,22.0,16.0,51.0,66.0,37.0,19.0,27.0
1046,0.0,5.0,2.0,18.0,7.0,1.0,9.0,27.0,3.0,435.0,16.0,6.0,4.0,46.0,26.0,56.0,11.0,33.0,28.0,13.0,35.0,19.0,80.0,34.0,15.0,22.0,24.0,54.0,21.0,17.0
1095,0.0,2.0,3.0,24.0,11.0,1.0,8.0,15.0,7.0,22.0,37.0,6.0,5.0,9.0,13.0,10.0,20.0,17.0,28.0,4.0,34.0,50.0,62.0,25.0,18.0,38.0,72.0,26.0,14.0,16.0
1144,0.0,1.0,12.0,5.0,3.0,2.0,13.0,15.0,4.0,18.0,25.0,8.0,19.0,11.0,22.0,26.0,16.0,31.0,34.0,6.0,96.0,41.0,107.0,32.0,9.0,358.0,27.0,14.0,20.0,7.0
1193,0.0,1.0,2.0,8.0,4.0,5.0,6.0,10.0,3.0,14.0,21.0,7.0,12.0,11.0,18.0,15.0,30.0,13.0,35.0,17.0,28.0,22.0,42.0,16.0,29.0,9.0,73.0,20.0,31.0,26.0
1242,1.0,2.0,0.0,13.0,4.0,8.0,9.0,56.0,5.0,30.0,39.0,10.0,7.0,17.0,12.0,3.0,16.0,14.0,23.0,11.0,96.0,20.0,57.0,28.0,22.0,25.0,88.0,19.0,45.0,21.0
1291,0.0,1.0,5.0,22.0,6.0,4.0,16.0,11.0,2.0,27.0,30.0,3.0,9.0,12.0,8.0,7.0,32.0,20.0,23.0,18.0,95.0,50.0,48.0,24.0,38.0,15.0,14.0,61.0,13.0,29.0
1340,0.0,1.0,2.0,5.0,3.0,8.0,6.0,11.0,4.0,44.0,14.0,9.0,15.0,18.0,13.0,7.0,28.0,16.0,33.0,10.0,41.0,76.0,98.0,29.0,17.0,30.0,51.0,22.0,48.0,35.0
1389,0.0,2.0,1.0,12.0,4.0,3.0,18.0,14.0,28.0,11.0,29.0,5.0,10.0,16.0,21.0,15.0,33.0,48.0,49.0,8.0,32.0,43.0,93.0,7.0,24.0,9.0,69.0,17.0,13.0,31.0
1438,0.0,1.0,5.0,23.0,4.0,3.0,2.0,18.0,9.0,24.0,30.0,7.0,22.0,10.0,21.0,12.0,13.0,8.0,29.0,11.0,46.0,48.0,32.0,6.0,49.0,33.0,300.0,35.0,27.0,15.0
1487,2.0,1.0,0.0,5.0,15.0,7.0,6.0,3.0,4.0,26.0,8.0,24.0,77.0,14.0,12.0,9.0,13.0,11.0,56.0,35.0,28.0,36.0,17.0,16.0,19.0,29.0,10.0,58.0,20.0,22.0
1536,3.0,0.0,6.0,1.0,14.0,7.0,5.0,4.0,8.0,15.0,20.0,17.0,10.0,13.0,9.0,19.0,24.0,2.0,29.0,36.0,23.0,41.0,56.0,44.0,30.0,12.0,68.0,27.0,18.0,47.0
1585,2.0,1.0,0.0,6.0,8.0,10.0,7.0,3.0,5.0,31.0,13.0,49.0,17.0,42.0,23.0,86.0,15.0,9.0,24.0,62.0,11.0,12.0,14.0,27.0,35.0,36.0,22.0,32.0,16.0,28.0
1634,6.0,1.0,0.0,11.0,5.0,29.0,4.0,2.0,13.0,3.0,16.0,46.0,26.0,32.0,19.0,20.0,12.0,10.0,53.0,7.0,9.0,27.0,18.0,35.0,42.0,48.0,25.0,47.0,24.0,52.0
1683,2.0,1.0,0.0,7.0,3.0,18.0,6.0,5.0,13.0,4.0,11.0,25.0,19.0,28.0,10.0,17.0,21.0,29.0,15.0,20.0,9.0,14.0,23.0,60.0,12.0,91.0,70.0,33.0,8.0,24.0
1732,6.0,0.0,2.0,3.0,4.0,10.0,1.0,5.0,14.0,18.0,11.0,37.0,12.0,32.0,13.0,25.0,22.0,9.0,71.0,27.0,15.0,19.0,20.0,56.0,21.0,17.0,72.0,49.0,23.0,61.0
1781,8.0,0.0,5.0,2.0,7.0,14.0,3.0,1.0,4.0,9.0,6.0,55.0,38.0,32.0,20.0,16.0,15.0,19.0,26.0,30.0,17.0,24.0,65.0,41.0,18.0,58.0,60.0,31.0,12.0,11.0
1830,2.0,3.0,4.0,1.0,6.0,18.0,7.0,0.0,5.0,8.0,17.0,21.0,13.0,24.0,14.0,11.0,15.0,16.0,22.0,56.0,12.0,32.0,46.0,84.0,10.0,28.0,38.0,20.0,30.0,49.0
1879,1.0,2.0,5.0,3.0,4.0,17.0,12.0,8.0,0.0,21.0,13.0,20.0,32.0,14.0,7.0,33.0,22.0,40.0,44.0,37.0,10.0,18.0,43.0,63.0,6.0,38.0,27.0,49.0,26.0,15.0
1928,5.0,0.0,1.0,8.0,7.0,12.0,6.0,10.0,2.0,15.0,3.0,40.0,19.0,26.0,23.0,21.0,17.0,24.0,31.0,22.0,4.0,16.0,30.0,38.0,13.0,20.0,70.0,29.0,25.0,63.0
1977,2.0,0.0,1.0,8.0,23.0,7.0,26.0,4.0,10.0,3.0,20.0,5.0,52.0,6.0,15.0,433.0,49.0,31.0,12.0,11.0,40.0,9.0,14.0,492.0,407.0,36.0,18.0,111.0,32.0,43.0
2026,1.0,0.0,4.0,3.0,15.0,9.0,6.0,10.0,5.0,2.0,20.0,8.0,36.0,16.0,12.0,35.0,13.0,29.0,18.0,17.0,314.0,11.0,7.0,22.0,24.0,341.0,14.0,91.0,71.0,27.0
2075,5.0,0.0,3.0,1.0,14.0,9.0,12.0,4.0,21.0,2.0,13.0,6.0,25.0,8.0,11.0,83.0,15.0,18.0,19.0,16.0,50.0,17.0,10.0,23.0,380.0,29.0,7.0,122.0,24.0,31.0
2124,1.0,0.0,15.0,3.0,14.0,11.0,5.0,26.0,8.0,9.0,36.0,7.0,99.0,19.0,2.0,86.0,16.0,21.0,10.0,6.0,104.0,4.0,22.0,46.0,101.0,74.0,25.0,66.0,44.0,49.0
2173,3.0,0.0,1.0,2.0,21.0,13.0,9.0,10.0,5.0,4.0,18.0,7.0,27.0,22.0,6.0,47.0,24.0,20.0,11.0,8.0,56.0,15.0,19.0,66.0,49.0,55.0,14.0,102.0,34.0,16.0
2222,4.0,3.0,0.0,1.0,26.0,2.0,7.0,6.0,9.0,12.0,18.0,17.0,25.0,20.0,5.0,404.0,21.0,27.0,13.0,11.0,109.0,34.0,8.0,19.0,110.0,24.0,10.0,128.0,54.0,15.0
2271,2.0,4.0,3.0,0.0,24.0,20.0,14.0,12.0,1.0,6.0,18.0,5.0,44.0,15.0,7.0,30.0,11.0,17.0,16.0,8.0,46.0,9.0,13.0,52.0,94.0,43.0,19.0,50.0,42.0,37.0
2320,3.0,2.0,1.0,0.0,25.0,10.0,9.0,17.0,4.0,8.0,16.0,7.0,31.0,5.0,15.0,427.0,32.0,13.0,11.0,12.0,35.0,6.0,21.0,55.0,77.0,54.0,22.0,134.0,52.0,40.0
2369,3.0,2.0,0.0,1.0,12.0,7.0,27.0,17.0,5.0,11.0,16.0,10.0,69.0,9.0,6.0,59.0,19.0,63.0,18.0,4.0,35.0,8.0,23.0,41.0,34.0,15.0,21.0,132.0,42.0,51.0
2418,3.0,0.0,2.0,1.0,17.0,23.0,13.0,5.0,4.0,16.0,7.0,8.0,32.0,24.0,9.0,73.0,11.0,18.0,15.0,19.0,34.0,79.0,33.0,60.0,395.0,12.0,21.0,90.0,45.0,48.0
2467,0.0,3.0,4.0,2.0,9.0,5.0,17.0,12.0,8.0,11.0,7.0,6.0,1.0,13.0,20.0,10.0,26.0,59.0,47.0,123.0,21.0,67.0,75.0,48.0,18.0,19.0,41.0,40.0,30.0,34.0
2516,0.0,1.0,21.0,3.0,7.0,8.0,9.0,22.0,12.0,15.0,4.0,5.0,2.0,6.0,13.0,35.0,18.0,17.0,49.0,33.0,91.0,68.0,41.0,487.0,26.0,37.0,47.0,96.0,30.0,50.0
2565,0.0,1.0,2.0,3.0,7.0,12.0,8.0,5.0,19.0,16.0,10.0,9.0,4.0,6.0,13.0,15.0,17.0,25.0,49.0,113.0,59.0,74.0,65.0,41.0,11.0,314.0,44.0,37.0,27.0,46.0
2614,0.0,1.0,4.0,10.0,9.0,6.0,12.0,7.0,3.0,17.0,11.0,8.0,2.0,26.0,21.0,32.0,14.0,27.0,44.0,57.0,18.0,24.0,47.0,50.0,28.0,63.0,274.0,22.0,23.0,38.0
2663,1.0,3.0,0.0,9.0,4.0,12.0,10.0,5.0,2.0,8.0,6.0,16.0,7.0,11.0,14.0,23.0,13.0,25.0,66.0,38.0,34.0,39.0,42.0,52.0,15.0,21.0,41.0,70.0,55.0,72.0
2712,0.0,3.0,1.0,7.0,5.0,21.0,8.0,19.0,20.0,9.0,4.0,13.0,2.0,14.0,28.0,71.0,16.0,45.0,41.0,42.0,10.0,51.0,17.0,23.0,24.0,18.0,37.0,36.0,44.0,73.0
2761,3.0,0.0,8.0,7.0,9.0,6.0,1.0,13.0,5.0,4.0,2.0,12.0,10.0,14.0,28.0,20.0,18.0,93.0,67.0,133.0,62.0,34.0,33.0,53.0,11.0,58.0,19.0,38.0,25.0,43.0
2810,0.0,1.0,17.0,7.0,6.0,8.0,5.0,21.0,2.0,10.0,3.0,14.0,4.0,13.0,16.0,47.0,20.0,46.0,61.0,40.0,91.0,58.0,32.0,41.0,26.0,49.0,293.0,52.0,25.0,124.0
2859,1.0,0.0,2.0,6.0,16.0,7.0,13.0,10.0,4.0,15.0,17.0,5.0,8.0,14.0,18.0,23.0,33.0,12.0,42.0,38.0,25.0,51.0,19.0,48.0,20.0,26.0,43.0,126.0,55.0,30.0
2908,0.0,9.0,5.0,4.0,3.0,22.0,12.0,7.0,20.0,6.0,15.0,2.0,8.0,1.0,31.0,433.0,10.0,37.0,26.0,11.0,25.0,45.0,17.0,52.0,18.0,68.0,106.0,57.0,51.0,76.0
2957,0.0,6.0,15.0,25.0,4.0,1.0,3.0,9.0,23.0,2.0,52.0,11.0,20.0,13.0,28.0,12.0,17.0,5.0,8.0,18.0,95.0,30.0,46.0,10.0,7.0,53.0,55.0,57.0,82.0,246.0
3006,1.0,4.0,6.0,3.0,2.0,8.0,5.0,15.0,23.0,0.0,12.0,16.0,48.0,20.0,19.0,18.0,39.0,7.0,9.0,30.0,13.0,92.0,28.0,11.0,24.0,22.0,31.0,65.0,67.0,47.0
3055,0.0,3.0,10.0,5.0,6.0,1.0,4.0,16.0,11.0,7.0,15.0,2.0,23.0,13.0,47.0,12.0,55.0,9.0,17.0,14.0,20.0,22.0,27.0,70.0,90.0,112.0,52.0,58.0,68.0,96.0
3104,1.0,0.0,10.0,6.0,2.0,7.0,3.0,13.0,12.0,14.0,5.0,8.0,24.0,17.0,27.0,15.0,33.0,19.0,11.0,18.0,9.0,108.0,48.0,4.0,20.0,85.0,32.0,54.0,75.0,274.0
3153,0.0,2.0,10.0,45.0,5.0,6.0,1.0,9.0,8.0,3.0,15.0,7.0,19.0,21.0,26.0,4.0,23.0,25.0,11.0,18.0,52.0,36.0,66.0,22.0,20.0,72.0,17.0,40.0,93.0,48.0
3202,1.0,3.0,18.0,10.0,12.0,6.0,5.0,8.0,35.0,0.0,19.0,9.0,37.0,11.0,4.0,2.0,26.0,7.0,17.0,16.0,32.0,23.0,24.0,13.0,39.0,121.0,76.0,51.0,53.0,72.0
3251,0.0,3.0,9.0,38.0,4.0,2.0,1.0,16.0,34.0,6.0,15.0,18.0,13.0,11.0,33.0,27.0,39.0,10.0,8.0,32.0,5.0,40.0,50.0,24.0,36.0,58.0,29.0,92.0,30.0,72.0
3300,0.0,6.0,3.0,7.0,4.0,1.0,2.0,12.0,32.0,27.0,9.0,10.0,19.0,5.0,11.0,31.0,35.0,18.0,23.0,45.0,38.0,86.0,71.0,8.0,30.0,28.0,97.0,41.0,25.0,59.0
3349,1.0,0.0,17.0,15.0,7.0,3.0,2.0,6.0,14.0,4.0,5.0,18.0,21.0,11.0,40.0,9.0,58.0,12.0,16.0,13.0,8.0,60.0,64.0,43.0,23.0,19.0,20.0,53.0,77.0,74.0
3398,0.0,2.0,49.0,9.0,4.0,1.0,5.0,115.0,6.0,3.0,7.0,11.0,23.0,15.0,8.0,20.0,43.0,12.0,10.0,18.0,25.0,57.0,349.0,14.0,21.0,86.0,91.0,45.0,56.0,36.0
3447,0.0,8.0,4.0,9.0,2.0,5.0,1.0,7.0,39.0,16.0,6.0,30.0,11.0,12.0,13.0,22.0,21.0,35.0,37.0,3.0,10.0,28.0,23.0,86.0,19.0,69.0,31.0,17.0,18.0,52.0
