,Shc_pY317,RAD51,EGFR,C-Raf_pS338,p38_pT180_Y182,Notch1,SHP-2_pY542,P-Cadherin,HER2_pY1248,Annexin 1,PKC-delta_pS664,Syk,EGFR_pY1068,4E-BP1,Gab2,PRDX1,Smac,c-Myc,CDK1,Cyclin_D1,CD31,VAV1,HER2,MEK1_pS217_S221,MYH11,Chk2,AMPK_pT172,FoxM1,Bap1 c-4,FOXO3a
2796,3.0,0.0,1.0,13.0,8.0,34.0,2.0,35.0,20.0,4.0,21.0,7.0,16.0,6.0,22.0,12.0,17.0,24.0,14.0,89.0,15.0,18.0,25.0,10.0,51.0,113.0,11.0,23.0,36.0,5.0
2845,1.0,2.0,0.0,3.0,7.0,54.0,6.0,36.0,27.0,10.0,17.0,15.0,16.0,12.0,14.0,4.0,34.0,5.0,21.0,37.0,33.0,23.0,30.0,87.0,13.0,25.0,111.0,19.0,26.0,9.0
2894,3.0,1.0,0.0,8.0,13.0,57.0,18.0,7.0,27.0,12.0,10.0,4.0,26.0,116.0,31.0,2.0,5.0,19.0,32.0,103.0,15.0,22.0,129.0,24.0,20.0,17.0,108.0,36.0,104.0,9.0
2943,5.0,7.0,4.0,3.0,2.0,21.0,22.0,6.0,10.0,0.0,11.0,27.0,19.0,35.0,8.0,28.0,1.0,12.0,25.0,15.0,9.0,60.0,14.0,51.0,49.0,29.0,18.0,33.0,13.0,23.0
2992,1.0,4.0,0.0,5.0,14.0,2.0,10.0,3.0,23.0,25.0,11.0,18.0,29.0,114.0,123.0,21.0,6.0,8.0,16.0,15.0,13.0,58.0,12.0,30.0,17.0,9.0,20.0,28.0,22.0,7.0
3041,0.0,1.0,7.0,5.0,4.0,8.0,11.0,2.0,19.0,12.0,10.0,16.0,25.0,21.0,14.0,36.0,3.0,6.0,20.0,22.0,17.0,33.0,13.0,15.0,28.0,31.0,32.0,23.0,38.0,18.0
3090,1.0,0.0,2.0,6.0,4.0,5.0,9.0,10.0,17.0,32.0,12.0,29.0,20.0,38.0,3.0,78.0,8.0,11.0,21.0,16.0,13.0,31.0,7.0,27.0,34.0,18.0,106.0,14.0,25.0,15.0
3139,0.0,2.0,7.0,1.0,4.0,6.0,22.0,3.0,18.0,13.0,9.0,23.0,28.0,119.0,15.0,79.0,10.0,14.0,21.0,5.0,8.0,60.0,11.0,17.0,25.0,113.0,107.0,31.0,24.0,12.0
3188,2.0,1.0,0.0,3.0,7.0,5.0,20.0,4.0,23.0,13.0,33.0,32.0,17.0,26.0,9.0,38.0,6.0,11.0,25.0,8.0,16.0,19.0,22.0,15.0,14.0,28.0,21.0,24.0,18.0,31.0
3237,0.0,20.0,2.0,1.0,12.0,8.0,16.0,5.0,17.0,4.0,14.0,19.0,23.0,27.0,6.0,74.0,3.0,7.0,24.0,10.0,13.0,57.0,33.0,9.0,35.0,26.0,38.0,117.0,28.0,11.0
3286,1.0,2.0,4.0,0.0,3.0,26.0,22.0,5.0,10.0,96.0,8.0,33.0,11.0,107.0,6.0,17.0,12.0,19.0,28.0,7.0,9.0,38.0,18.0,14.0,32.0,25.0,97.0,27.0,21.0,34.0
