,AC138623.1,ZNF215,AC011242.6,SFMBT2,ITPRIPL1,C8orf31,LBX2-AS1,PGF,AEBP1,CYBA,FRMD3,SLC38A5,CNTN3,RP11-488P3.1,ZNF595,FNBP1P1,GNB4,AP000783.1,PPP1R14A,CDA,MAGEC2,RNF144A-AS1,INHBA,TSPAN12,MEIS3P1,DCP1B,EFCAB4B,RP11-301O19.1,RAC3,RP11-541N10.3
744,10.0,0.0,30.0,11.0,1.0,54.0,26.0,3.0,35.0,50.0,17.0,33.0,6.0,82.0,16.0,12.0,37.0,13.0,573.0,4.0,43.0,163.0,74.0,19.0,22.0,52.0,2.0,155.0,29.0,36.0
793,30.0,8.0,15.0,6.0,1.0,5.0,170.0,0.0,59.0,11.0,2.0,50.0,64.0,38.0,4.0,19.0,45.0,3.0,57.0,147.0,12.0,131.0,208.0,35.0,319.0,236.0,9.0,96.0,25.0,52.0
842,40.0,1.0,3.0,34.0,0.0,6.0,66.0,17.0,24.0,9.0,2.0,16.0,7.0,142.0,12.0,5.0,15.0,25.0,315.0,88.0,11.0,206.0,27.0,36.0,165.0,38.0,10.0,299.0,23.0,35.0
891,31.0,2.0,12.0,9.0,0.0,3.0,82.0,15.0,38.0,7.0,1.0,10.0,14.0,19.0,96.0,8.0,39.0,5.0,161.0,26.0,6.0,703.0,90.0,27.0,139.0,107.0,4.0,145.0,13.0,34.0
940,59.0,0.0,2.0,7.0,3.0,1.0,62.0,21.0,88.0,4.0,12.0,73.0,14.0,13.0,140.0,10.0,60.0,5.0,1929.0,65.0,57.0,582.0,9.0,255.0,43.0,122.0,6.0,728.0,18.0,51.0
989,2.0,1.0,0.0,42.0,4.0,375.0,8.0,7.0,6.0,22.0,73.0,32.0,13.0,20.0,9.0,16.0,14.0,97.0,3.0,93.0,18.0,59.0,29.0,119.0,288.0,24.0,85.0,94.0,19.0,159.0
1038,1.0,40.0,9.0,2.0,5.0,1225.0,7.0,22.0,3.0,8.0,11.0,15.0,184.0,54.0,14.0,17.0,13.0,16.0,34.0,12.0,52.0,26.0,4.0,314.0,114.0,28.0,210.0,46.0,47.0,55.0
1087,10.0,3.0,0.0,63.0,26.0,81.0,15.0,13.0,1.0,5.0,19.0,100.0,25.0,273.0,2.0,73.0,14.0,41.0,8.0,104.0,68.0,7.0,16.0,102.0,169.0,33.0,24.0,69.0,21.0,180.0
1136,0.0,4.0,3.0,10.0,57.0,330.0,19.0,7.0,15.0,14.0,5.0,35.0,11.0,17.0,6.0,37.0,1.0,13.0,138.0,54.0,12.0,8.0,2.0,229.0,1119.0,20.0,108.0,71.0,22.0,140.0
1185,1.0,4.0,0.0,9.0,13.0,20.0,5.0,25.0,2.0,16.0,7.0,15.0,966.0,31.0,64.0,17.0,10.0,21.0,36.0,8.0,28.0,24.0,11.0,105.0,123.0,19.0,14.0,65.0,29.0,74.0
1234,2.0,262.0,15.0,1.0,39.0,57.0,9.0,20.0,3.0,27.0,132.0,111.0,23.0,40.0,7.0,51.0,36.0,31.0,13.0,5.0,12.0,18.0,11.0,374.0,285.0,43.0,91.0,98.0,6.0,317.0
1283,3.0,10.0,0.0,6.0,12.0,137.0,5.0,22.0,26.0,99.0,17.0,21.0,31.0,11.0,14.0,30.0,19.0,67.0,4.0,28.0,8.0,7.0,13.0,88.0,195.0,172.0,43.0,29.0,53.0,74.0
1332,0.0,9.0,6.0,7.0,8.0,172.0,4.0,3.0,2.0,30.0,36.0,25.0,89.0,48.0,20.0,52.0,12.0,19.0,71.0,23.0,13.0,44.0,5.0,190.0,278.0,22.0,49.0,56.0,16.0,58.0
1381,0.0,6.0,2.0,1.0,11.0,51.0,4.0,75.0,9.0,123.0,55.0,15.0,23.0,93.0,16.0,56.0,7.0,12.0,314.0,17.0,13.0,35.0,40.0,30.0,429.0,86.0,20.0,25.0,53.0,44.0
1430,0.0,47.0,1.0,5.0,16.0,80.0,4.0,10.0,2.0,8.0,28.0,77.0,24.0,29.0,14.0,25.0,9.0,62.0,31.0,39.0,17.0,37.0,6.0,322.0,472.0,139.0,384.0,102.0,12.0,87.0
1479,0.0,16.0,22.0,31.0,7.0,68.0,27.0,13.0,4.0,10.0,73.0,9.0,489.0,6.0,33.0,18.0,24.0,174.0,69.0,1.0,139.0,67.0,106.0,23.0,3.0,290.0,35.0,12.0,109.0,20.0
1528,2.0,45.0,41.0,12.0,15.0,1132.0,10.0,8.0,28.0,1.0,22.0,11.0,6.0,0.0,13.0,64.0,34.0,80.0,3.0,71.0,817.0,18.0,110.0,33.0,86.0,120.0,93.0,55.0,14.0,48.0
1577,11.0,7.0,5.0,26.0,10.0,0.0,64.0,6.0,19.0,16.0,8.0,171.0,139.0,4.0,33.0,18.0,9.0,31.0,147.0,71.0,152.0,46.0,12.0,50.0,15.0,106.0,52.0,198.0,85.0,88.0
1626,0.0,19.0,25.0,18.0,8.0,16.0,6.0,11.0,22.0,1.0,37.0,3.0,30.0,13.0,62.0,14.0,67.0,86.0,4.0,47.0,304.0,76.0,332.0,121.0,5.0,662.0,50.0,32.0,357.0,65.0
1675,45.0,16.0,33.0,38.0,4.0,2.0,68.0,37.0,28.0,1.0,9.0,7.0,41.0,23.0,22.0,67.0,58.0,14.0,0.0,26.0,5.0,55.0,109.0,51.0,10.0,280.0,216.0,8.0,52.0,17.0
1724,4.0,2.0,13.0,101.0,3.0,12.0,1.0,11.0,8.0,0.0,72.0,21.0,83.0,66.0,9.0,47.0,44.0,2929.0,6.0,27.0,39.0,387.0,25.0,7.0,42.0,86.0,118.0,51.0,71.0,40.0
1773,0.0,13.0,7.0,16.0,9.0,8.0,10.0,34.0,1.0,6.0,50.0,23.0,120.0,29.0,43.0,25.0,5.0,318.0,24.0,31.0,141.0,27.0,58.0,112.0,3.0,236.0,136.0,121.0,22.0,41.0
1822,1.0,2.0,4.0,8.0,6.0,3.0,17.0,81.0,11.0,0.0,5.0,66.0,298.0,77.0,36.0,42.0,31.0,150.0,68.0,13.0,55.0,32.0,57.0,22.0,12.0,41.0,10.0,47.0,48.0,21.0
1871,1.0,12.0,0.0,14.0,10.0,8.0,6.0,17.0,15.0,2.0,32.0,7.0,47.0,20.0,39.0,85.0,35.0,220.0,13.0,9.0,46.0,137.0,122.0,33.0,5.0,286.0,65.0,24.0,72.0,21.0
1920,3.0,45.0,31.0,17.0,13.0,2.0,1.0,12.0,6.0,0.0,47.0,10.0,20.0,4.0,60.0,22.0,78.0,183.0,9.0,8.0,85.0,103.0,32.0,19.0,5.0,411.0,80.0,23.0,65.0,62.0
1969,6.0,1.0,0.0,450.0,10.0,56.0,17.0,9.0,22.0,13.0,3.0,11.0,5.0,15.0,7.0,105.0,21.0,177.0,28.0,18.0,12.0,57.0,85.0,51.0,19.0,228.0,62.0,32.0,139.0,33.0
2018,0.0,7.0,1.0,60.0,25.0,20.0,4.0,2.0,24.0,15.0,5.0,115.0,19.0,13.0,28.0,44.0,6.0,144.0,8.0,39.0,23.0,139.0,30.0,16.0,3.0,52.0,105.0,34.0,151.0,51.0
2067,0.0,3.0,1.0,149.0,29.0,53.0,2.0,5.0,4.0,40.0,19.0,6.0,130.0,8.0,11.0,28.0,43.0,245.0,30.0,9.0,12.0,86.0,95.0,27.0,48.0,54.0,37.0,21.0,32.0,25.0
2116,0.0,2.0,1.0,104.0,46.0,9.0,6.0,22.0,19.0,10.0,3.0,43.0,14.0,13.0,12.0,35.0,11.0,215.0,7.0,79.0,18.0,36.0,73.0,24.0,29.0,15.0,143.0,50.0,66.0,47.0
2165,162.0,1.0,13.0,787.0,2.0,18.0,393.0,23.0,5.0,19.0,0.0,72.0,7.0,1405.0,10.0,15.0,21.0,34.0,120.0,324.0,6.0,280.0,983.0,25.0,202.0,40.0,61.0,165.0,16.0,67.0
2214,1.0,2.0,12.0,25.0,15.0,22.0,7.0,3.0,47.0,6.0,0.0,8.0,174.0,36.0,21.0,32.0,4.0,163.0,14.0,50.0,60.0,232.0,46.0,48.0,23.0,17.0,57.0,80.0,39.0,161.0
2263,1.0,2.0,0.0,209.0,10.0,205.0,4.0,7.0,3.0,27.0,8.0,29.0,11.0,6.0,9.0,19.0,5.0,47.0,51.0,137.0,16.0,78.0,65.0,50.0,325.0,26.0,109.0,181.0,34.0,101.0
2312,5.0,3.0,0.0,45.0,212.0,28.0,9.0,6.0,20.0,7.0,41.0,261.0,14.0,1.0,2.0,22.0,24.0,34.0,87.0,13.0,10.0,53.0,48.0,191.0,126.0,15.0,99.0,71.0,26.0,52.0
2361,4.0,0.0,1.0,124.0,57.0,10.0,2.0,15.0,8.0,9.0,3.0,7.0,18.0,19.0,6.0,29.0,85.0,90.0,30.0,67.0,5.0,63.0,129.0,12.0,198.0,39.0,36.0,47.0,178.0,84.0
2410,2.0,5.0,3.0,46.0,10.0,1745.0,14.0,0.0,1.0,146.0,22.0,15.0,30.0,6.0,8.0,23.0,11.0,144.0,17.0,18.0,56.0,173.0,205.0,38.0,24.0,47.0,33.0,28.0,25.0,21.0
2459,3.0,0.0,4.0,59.0,34.0,129.0,6.0,90.0,11.0,13.0,1.0,2.0,86.0,50.0,56.0,165.0,357.0,231.0,120.0,10.0,25.0,44.0,17.0,127.0,144.0,54.0,15.0,160.0,192.0,29.0
2508,1.0,3.0,9.0,11.0,167.0,162.0,15.0,40.0,22.0,4.0,37.0,124.0,6.0,17.0,26.0,96.0,275.0,130.0,416.0,16.0,25.0,13.0,2.0,38.0,21.0,127.0,238.0,567.0,89.0,94.0
2557,9.0,0.0,5.0,16.0,10.0,367.0,13.0,127.0,34.0,15.0,1.0,11.0,3.0,18.0,78.0,126.0,420.0,55.0,38.0,77.0,24.0,43.0,2.0,30.0,156.0,50.0,61.0,291.0,216.0,59.0
2606,12.0,0.0,10.0,16.0,2.0,269.0,32.0,13.0,20.0,33.0,15.0,9.0,4.0,19.0,167.0,238.0,394.0,115.0,111.0,36.0,86.0,132.0,1.0,11.0,118.0,49.0,107.0,559.0,308.0,125.0
2655,0.0,1.0,25.0,2.0,14.0,75.0,4.0,71.0,31.0,9.0,32.0,93.0,8.0,125.0,18.0,451.0,737.0,23.0,171.0,20.0,140.0,5.0,50.0,17.0,96.0,258.0,26.0,350.0,78.0,73.0
2704,1.0,4.0,17.0,6.0,13.0,106.0,5.0,22.0,26.0,3.0,7.0,15.0,2.0,27.0,18.0,325.0,87.0,170.0,99.0,20.0,10.0,44.0,8.0,72.0,83.0,86.0,147.0,103.0,31.0,108.0
2753,1.0,0.0,12.0,59.0,3.0,266.0,48.0,27.0,6.0,5.0,14.0,8.0,7.0,2.0,38.0,78.0,378.0,81.0,9.0,33.0,49.0,169.0,16.0,76.0,26.0,104.0,47.0,224.0,22.0,46.0
2802,3.0,0.0,21.0,12.0,39.0,72.0,8.0,67.0,10.0,1.0,108.0,9.0,13.0,4.0,42.0,494.0,712.0,25.0,81.0,7.0,49.0,37.0,16.0,237.0,22.0,296.0,53.0,88.0,47.0,95.0
2851,3.0,0.0,19.0,10.0,15.0,196.0,5.0,42.0,40.0,2.0,197.0,17.0,1.0,4.0,51.0,218.0,211.0,22.0,41.0,52.0,156.0,23.0,6.0,8.0,60.0,89.0,32.0,55.0,67.0,108.0
2900,41.0,0.0,2.0,74.0,9.0,2627.0,8.0,14.0,3.0,31.0,95.0,6.0,11.0,26.0,10.0,333.0,468.0,153.0,57.0,70.0,93.0,25.0,76.0,67.0,266.0,73.0,39.0,467.0,32.0,147.0
2949,6.0,20.0,2.0,5.0,412.0,0.0,29.0,284.0,76.0,317.0,1.0,1233.0,27.0,19.0,49.0,9.0,35.0,3.0,100.0,8.0,33.0,69.0,59.0,34.0,7.0,338.0,13.0,22.0,861.0,85.0
2998,4.0,65.0,5.0,0.0,649.0,3.0,29.0,154.0,31.0,646.0,22.0,68.0,35.0,1.0,61.0,8.0,23.0,6.0,13.0,12.0,116.0,9.0,24.0,193.0,7.0,270.0,249.0,30.0,338.0,110.0
3047,0.0,33.0,8.0,1.0,211.0,14.0,38.0,295.0,6.0,490.0,5.0,15.0,249.0,13.0,79.0,4.0,29.0,30.0,85.0,2.0,73.0,48.0,40.0,84.0,3.0,64.0,69.0,26.0,876.0,34.0
3096,1.0,91.0,15.0,3.0,317.0,5.0,53.0,44.0,59.0,469.0,0.0,66.0,7.0,2.0,19.0,6.0,57.0,26.0,12.0,64.0,225.0,63.0,72.0,30.0,4.0,200.0,129.0,104.0,1304.0,276.0
3145,11.0,31.0,9.0,7.0,127.0,10.0,38.0,208.0,4.0,262.0,15.0,27.0,21.0,42.0,147.0,13.0,16.0,5.0,0.0,73.0,414.0,61.0,332.0,105.0,8.0,170.0,302.0,22.0,156.0,40.0
3194,8.0,807.0,39.0,1.0,46.0,2.0,9.0,74.0,6.0,711.0,23.0,12.0,66.0,5.0,71.0,11.0,32.0,3.0,7.0,0.0,126.0,26.0,19.0,195.0,22.0,172.0,44.0,10.0,175.0,97.0
3243,0.0,4.0,9.0,2.0,32.0,209.0,7.0,105.0,16.0,45.0,122.0,17.0,5.0,8.0,51.0,6.0,26.0,109.0,20.0,12.0,90.0,225.0,24.0,30.0,15.0,67.0,315.0,98.0,312.0,130.0
3292,9.0,5.0,11.0,0.0,67.0,3.0,58.0,194.0,55.0,138.0,12.0,44.0,2.0,1.0,57.0,17.0,36.0,16.0,29.0,13.0,38.0,21.0,23.0,251.0,6.0,268.0,121.0,19.0,420.0,83.0
3341,2.0,169.0,86.0,3.0,79.0,0.0,63.0,182.0,22.0,412.0,5.0,105.0,4.0,19.0,84.0,9.0,16.0,28.0,14.0,8.0,7.0,49.0,66.0,47.0,6.0,374.0,309.0,17.0,381.0,42.0
3390,34.0,35.0,2.0,9.0,102.0,0.0,21.0,105.0,39.0,483.0,8.0,19.0,10.0,5.0,42.0,11.0,24.0,32.0,14.0,36.0,75.0,20.0,116.0,54.0,4.0,110.0,314.0,28.0,2513.0,38.0
3439,0.0,52.0,3.0,4.0,2.0,41.0,8.0,6.0,11.0,1.0,309.0,5.0,301.0,45.0,26.0,17.0,33.0,642.0,10.0,30.0,124.0,42.0,23.0,19.0,56.0,77.0,78.0,22.0,12.0,34.0
3488,0.0,83.0,2.0,5.0,47.0,65.0,4.0,6.0,1.0,44.0,941.0,38.0,869.0,217.0,9.0,55.0,25.0,187.0,210.0,118.0,64.0,21.0,16.0,81.0,389.0,15.0,39.0,93.0,10.0,29.0
3537,0.0,4.0,7.0,25.0,1.0,11.0,43.0,6.0,5.0,3.0,276.0,10.0,302.0,175.0,17.0,8.0,21.0,1695.0,19.0,80.0,16.0,134.0,22.0,2.0,42.0,15.0,70.0,48.0,14.0,31.0
3586,0.0,12.0,30.0,4.0,7.0,20.0,15.0,1.0,8.0,58.0,106.0,159.0,427.0,60.0,2.0,18.0,3.0,664.0,135.0,43.0,10.0,11.0,5.0,14.0,74.0,24.0,94.0,51.0,21.0,31.0
3635,58.0,2.0,8.0,17.0,0.0,11.0,38.0,6.0,9.0,3.0,35.0,46.0,481.0,221.0,21.0,43.0,77.0,303.0,54.0,27.0,29.0,26.0,10.0,45.0,22.0,73.0,49.0,48.0,28.0,15.0
3684,1.0,13.0,53.0,0.0,20.0,8.0,43.0,103.0,5.0,3.0,87.0,207.0,246.0,164.0,24.0,62.0,65.0,16.0,125.0,6.0,4.0,7.0,109.0,2.0,27.0,117.0,92.0,28.0,12.0,15.0
3733,1.0,12.0,10.0,0.0,2.0,13.0,27.0,6.0,3.0,34.0,94.0,11.0,886.0,112.0,140.0,29.0,21.0,66.0,58.0,45.0,68.0,18.0,14.0,7.0,271.0,4.0,8.0,60.0,20.0,24.0
3782,0.0,15.0,34.0,2.0,10.0,5.0,1.0,7.0,6.0,4.0,25.0,38.0,270.0,77.0,41.0,8.0,32.0,372.0,43.0,14.0,44.0,52.0,12.0,3.0,27.0,45.0,9.0,16.0,269.0,75.0
3831,0.0,33.0,57.0,9.0,3.0,10.0,15.0,7.0,4.0,8.0,65.0,1.0,472.0,144.0,23.0,42.0,45.0,196.0,2.0,56.0,17.0,5.0,168.0,32.0,182.0,19.0,134.0,16.0,234.0,18.0
3880,0.0,18.0,57.0,2.0,13.0,136.0,43.0,3.0,14.0,27.0,138.0,1.0,718.0,20.0,9.0,12.0,35.0,336.0,124.0,6.0,69.0,52.0,16.0,22.0,424.0,29.0,82.0,46.0,32.0,30.0
3929,1.0,55.0,136.0,2.0,17.0,4.0,11.0,0.0,135.0,639.0,26.0,88.0,3.0,19.0,58.0,28.0,35.0,8.0,498.0,74.0,7.0,21.0,13.0,132.0,38.0,42.0,12.0,81.0,93.0,53.0
3978,2.0,3.0,51.0,26.0,37.0,0.0,14.0,7.0,9.0,75.0,16.0,294.0,8.0,78.0,49.0,34.0,24.0,5.0,155.0,107.0,61.0,13.0,21.0,314.0,11.0,20.0,62.0,192.0,71.0,156.0
4027,2.0,0.0,5.0,20.0,8.0,51.0,64.0,3.0,495.0,22.0,14.0,15.0,1.0,7.0,6.0,54.0,170.0,80.0,833.0,536.0,44.0,11.0,63.0,189.0,48.0,27.0,87.0,299.0,41.0,73.0
4076,0.0,1.0,13.0,67.0,11.0,3.0,2.0,4.0,16.0,17.0,102.0,31.0,42.0,84.0,5.0,19.0,38.0,371.0,765.0,117.0,6.0,96.0,9.0,220.0,91.0,10.0,167.0,69.0,78.0,24.0
4125,0.0,3.0,16.0,186.0,20.0,2.0,14.0,12.0,28.0,102.0,4.0,774.0,10.0,58.0,13.0,22.0,6.0,5.0,4472.0,48.0,1.0,18.0,178.0,156.0,93.0,51.0,34.0,151.0,11.0,72.0
4174,1.0,2.0,19.0,65.0,20.0,0.0,7.0,5.0,287.0,57.0,17.0,110.0,16.0,11.0,128.0,69.0,27.0,8.0,511.0,56.0,4.0,89.0,21.0,34.0,6.0,43.0,90.0,107.0,55.0,59.0
4223,0.0,11.0,4.0,9.0,1.0,72.0,2.0,3.0,10.0,35.0,29.0,48.0,5.0,7.0,6.0,43.0,39.0,16.0,1365.0,12.0,20.0,19.0,15.0,143.0,13.0,34.0,90.0,27.0,69.0,92.0
4272,0.0,8.0,10.0,22.0,12.0,20.0,24.0,5.0,85.0,3.0,421.0,3836.0,41.0,25.0,1.0,23.0,45.0,7.0,163.0,127.0,44.0,14.0,124.0,235.0,53.0,54.0,224.0,55.0,18.0,182.0
4321,0.0,15.0,9.0,10.0,21.0,7.0,24.0,1.0,19.0,6.0,33.0,91.0,176.0,8.0,12.0,25.0,2.0,45.0,336.0,5.0,30.0,22.0,48.0,213.0,34.0,18.0,20.0,56.0,13.0,81.0
4370,0.0,1.0,4.0,17.0,14.0,3.0,7.0,2.0,42.0,44.0,9.0,55.0,22.0,6.0,30.0,38.0,16.0,20.0,555.0,18.0,41.0,5.0,10.0,230.0,12.0,19.0,23.0,166.0,25.0,64.0
4419,0.0,15.0,3.0,2.0,1.0,92.0,12.0,45.0,97.0,74.0,86.0,8.0,6.0,354.0,50.0,51.0,7.0,5.0,21.0,17.0,24.0,10.0,157.0,30.0,286.0,102.0,9.0,54.0,4.0,218.0
4468,4.0,9.0,2.0,30.0,11.0,3.0,54.0,47.0,8.0,53.0,52.0,0.0,94.0,100.0,99.0,20.0,21.0,27.0,5.0,48.0,208.0,7.0,93.0,42.0,51.0,37.0,18.0,12.0,68.0,50.0
4517,9.0,2.0,5.0,18.0,6.0,55.0,129.0,20.0,3.0,7.0,79.0,1.0,12.0,23.0,101.0,43.0,173.0,30.0,33.0,68.0,627.0,34.0,35.0,301.0,22.0,754.0,25.0,168.0,61.0,95.0
4566,1.0,12.0,26.0,0.0,10.0,6.0,72.0,4.0,114.0,17.0,94.0,15.0,2.0,575.0,11.0,22.0,3.0,19.0,5.0,83.0,649.0,13.0,119.0,27.0,36.0,84.0,28.0,45.0,48.0,92.0
4615,0.0,22.0,1.0,5.0,82.0,7.0,70.0,4.0,21.0,346.0,101.0,9.0,86.0,19.0,14.0,29.0,11.0,8.0,3.0,10.0,50.0,2.0,47.0,58.0,92.0,413.0,39.0,6.0,65.0,122.0
4664,2.0,0.0,1.0,16.0,51.0,4.0,29.0,6.0,7.0,72.0,32.0,11.0,38.0,80.0,23.0,50.0,46.0,79.0,10.0,17.0,83.0,25.0,131.0,70.0,49.0,21.0,24.0,28.0,68.0,316.0
4713,58.0,4.0,10.0,11.0,44.0,5.0,73.0,18.0,6.0,46.0,292.0,1.0,3.0,54.0,14.0,180.0,77.0,64.0,0.0,53.0,61.0,21.0,133.0,30.0,190.0,15.0,109.0,32.0,28.0,121.0
4762,0.0,1.0,4.0,2.0,17.0,6.0,46.0,14.0,29.0,31.0,15.0,5.0,10.0,47.0,99.0,33.0,8.0,16.0,3.0,51.0,25.0,34.0,30.0,41.0,11.0,69.0,18.0,7.0,72.0,82.0
4811,79.0,1.0,5.0,6.0,16.0,10.0,83.0,23.0,3.0,19.0,45.0,9.0,21.0,80.0,52.0,61.0,118.0,2.0,24.0,47.0,54.0,4.0,25.0,236.0,70.0,139.0,18.0,27.0,15.0,216.0
4860,4.0,2.0,5.0,27.0,35.0,1.0,22.0,28.0,11.0,17.0,8.0,0.0,75.0,43.0,77.0,45.0,9.0,14.0,10.0,7.0,144.0,25.0,110.0,61.0,13.0,44.0,3.0,32.0,185.0,79.0
