,hsa-miR-142-5p,hcmv-miR-US5-1,hsa-miR-223,hsa-miR-206,hsa-miR-148a,hsa-miR-34a,hsa-miR-888,hsa-miR-199b-5p,hsa-miR-1226,hsa-miR-609,hsa-miR-190,hsa-miR-105,hsa-miR-541,hsa-miR-2052,hsa-miR-616,hsa-miR-378,hsa-miR-323-5p,hsa-miR-92a,hsa-miR-1248,hsa-miR-26a,kshv-miR-K12-7,hsa-miR-375,hsa-miR-136,hsa-miR-513a-3p,hsa-miR-921,hsa-miR-553,hsa-miR-597,hsa-miR-1297,hsa-miR-642,hsa-miR-1197
605,4.0,3.0,0.0,1.0,8.0,2.0,7.0,6.0,35.0,5.0,17.0,11.0,26.0,13.0,27.0,10.0,34.0,25.0,30.0,32.0,60.0,45.0,16.0,22.0,33.0,18.0,12.0,44.0,271.0,48.0
654,6.0,2.0,1.0,4.0,22.0,3.0,12.0,5.0,32.0,0.0,43.0,11.0,37.0,16.0,29.0,26.0,15.0,8.0,20.0,18.0,9.0,7.0,10.0,27.0,46.0,17.0,30.0,19.0,61.0,35.0
703,4.0,1.0,3.0,0.0,16.0,9.0,10.0,6.0,11.0,2.0,14.0,5.0,13.0,23.0,21.0,62.0,7.0,20.0,15.0,70.0,8.0,19.0,18.0,31.0,35.0,39.0,27.0,12.0,40.0,382.0
752,5.0,8.0,0.0,1.0,18.0,9.0,4.0,2.0,15.0,3.0,20.0,7.0,61.0,49.0,16.0,11.0,24.0,26.0,10.0,23.0,25.0,12.0,6.0,55.0,19.0,30.0,80.0,37.0,95.0,57.0
801,0.0,2.0,1.0,4.0,18.0,11.0,6.0,26.0,16.0,5.0,8.0,10.0,29.0,28.0,12.0,14.0,24.0,20.0,21.0,22.0,54.0,3.0,48.0,31.0,34.0,40.0,72.0,25.0,80.0,19.0
850,4.0,7.0,2.0,0.0,27.0,5.0,6.0,8.0,13.0,1.0,19.0,16.0,34.0,58.0,9.0,29.0,12.0,35.0,11.0,17.0,14.0,28.0,66.0,31.0,3.0,26.0,142.0,15.0,42.0,25.0
899,4.0,2.0,0.0,3.0,7.0,19.0,9.0,6.0,5.0,1.0,20.0,13.0,45.0,36.0,14.0,15.0,30.0,22.0,23.0,31.0,12.0,53.0,25.0,8.0,67.0,16.0,57.0,72.0,73.0,33.0
948,5.0,1.0,4.0,0.0,3.0,7.0,9.0,29.0,27.0,2.0,12.0,11.0,20.0,8.0,22.0,42.0,13.0,15.0,10.0,6.0,35.0,16.0,17.0,34.0,56.0,23.0,58.0,19.0,268.0,25.0
997,0.0,3.0,2.0,1.0,15.0,11.0,5.0,13.0,7.0,16.0,8.0,35.0,18.0,28.0,9.0,14.0,4.0,24.0,6.0,31.0,10.0,32.0,29.0,26.0,262.0,19.0,67.0,23.0,12.0,20.0
1046,3.0,4.0,1.0,8.0,28.0,0.0,13.0,7.0,5.0,11.0,30.0,42.0,6.0,31.0,15.0,12.0,2.0,38.0,9.0,14.0,19.0,32.0,27.0,37.0,35.0,46.0,64.0,26.0,41.0,399.0
1095,1.0,10.0,2.0,5.0,6.0,0.0,9.0,3.0,11.0,79.0,4.0,87.0,54.0,18.0,14.0,8.0,13.0,39.0,17.0,45.0,12.0,23.0,7.0,29.0,72.0,22.0,15.0,56.0,27.0,70.0
1144,1.0,4.0,0.0,3.0,5.0,6.0,2.0,8.0,7.0,12.0,24.0,19.0,25.0,97.0,21.0,28.0,16.0,9.0,27.0,55.0,10.0,43.0,50.0,20.0,36.0,14.0,17.0,26.0,42.0,13.0
1193,1.0,2.0,0.0,4.0,3.0,6.0,11.0,5.0,10.0,36.0,44.0,54.0,14.0,64.0,17.0,8.0,7.0,19.0,13.0,15.0,9.0,76.0,50.0,18.0,65.0,20.0,39.0,22.0,24.0,12.0
1242,0.0,6.0,2.0,1.0,10.0,4.0,20.0,3.0,5.0,55.0,62.0,63.0,15.0,13.0,12.0,8.0,7.0,18.0,22.0,41.0,9.0,50.0,87.0,34.0,70.0,16.0,42.0,21.0,27.0,45.0
1291,0.0,2.0,3.0,7.0,9.0,1.0,12.0,5.0,6.0,39.0,11.0,59.0,26.0,57.0,4.0,71.0,16.0,27.0,8.0,44.0,30.0,18.0,93.0,75.0,286.0,72.0,52.0,14.0,23.0,73.0
1340,1.0,4.0,2.0,0.0,8.0,3.0,5.0,49.0,14.0,7.0,19.0,34.0,22.0,18.0,11.0,10.0,6.0,28.0,12.0,98.0,21.0,55.0,15.0,36.0,72.0,9.0,27.0,20.0,31.0,30.0
1389,0.0,3.0,1.0,4.0,11.0,2.0,6.0,7.0,20.0,22.0,12.0,9.0,38.0,48.0,14.0,5.0,8.0,16.0,67.0,32.0,10.0,82.0,37.0,13.0,66.0,17.0,27.0,29.0,60.0,19.0
1438,3.0,11.0,1.0,0.0,12.0,10.0,5.0,6.0,2.0,26.0,27.0,18.0,9.0,78.0,8.0,13.0,4.0,74.0,20.0,15.0,7.0,102.0,50.0,44.0,17.0,76.0,34.0,19.0,24.0,35.0
1487,4.0,5.0,1.0,11.0,2.0,0.0,23.0,3.0,15.0,48.0,13.0,18.0,7.0,38.0,22.0,20.0,24.0,36.0,10.0,17.0,12.0,33.0,6.0,27.0,35.0,29.0,16.0,81.0,14.0,42.0
1536,0.0,5.0,2.0,22.0,4.0,1.0,37.0,7.0,53.0,55.0,13.0,15.0,16.0,51.0,28.0,14.0,32.0,27.0,49.0,12.0,25.0,3.0,8.0,21.0,9.0,48.0,20.0,97.0,34.0,6.0
1585,2.0,6.0,1.0,13.0,3.0,0.0,20.0,4.0,5.0,27.0,10.0,14.0,12.0,19.0,35.0,15.0,11.0,26.0,23.0,18.0,21.0,8.0,17.0,48.0,34.0,183.0,30.0,78.0,7.0,90.0
1634,1.0,2.0,0.0,9.0,4.0,3.0,22.0,5.0,6.0,290.0,15.0,56.0,13.0,24.0,32.0,12.0,10.0,18.0,11.0,16.0,29.0,42.0,21.0,26.0,20.0,43.0,48.0,66.0,8.0,14.0
1683,3.0,12.0,4.0,2.0,20.0,1.0,21.0,0.0,10.0,82.0,24.0,101.0,14.0,27.0,31.0,6.0,7.0,43.0,16.0,11.0,41.0,61.0,13.0,36.0,5.0,38.0,37.0,116.0,8.0,84.0
1732,4.0,1.0,2.0,7.0,3.0,0.0,44.0,5.0,8.0,15.0,9.0,13.0,14.0,28.0,11.0,20.0,29.0,33.0,35.0,6.0,50.0,31.0,24.0,57.0,12.0,85.0,62.0,30.0,16.0,22.0
1781,3.0,4.0,2.0,7.0,5.0,0.0,12.0,1.0,9.0,46.0,31.0,26.0,6.0,28.0,36.0,16.0,10.0,45.0,61.0,17.0,69.0,37.0,15.0,41.0,51.0,20.0,30.0,53.0,75.0,40.0
1830,3.0,5.0,2.0,6.0,9.0,1.0,14.0,4.0,8.0,60.0,0.0,21.0,11.0,28.0,35.0,17.0,13.0,20.0,22.0,24.0,23.0,16.0,12.0,48.0,68.0,65.0,15.0,85.0,46.0,25.0
1879,3.0,2.0,0.0,9.0,5.0,1.0,15.0,6.0,8.0,52.0,48.0,18.0,4.0,21.0,10.0,16.0,7.0,37.0,38.0,14.0,19.0,28.0,13.0,27.0,30.0,67.0,20.0,58.0,41.0,31.0
1928,7.0,3.0,5.0,0.0,1.0,8.0,39.0,14.0,18.0,37.0,12.0,13.0,4.0,16.0,43.0,19.0,28.0,55.0,17.0,59.0,15.0,26.0,2.0,27.0,10.0,38.0,6.0,76.0,23.0,11.0
1977,0.0,5.0,7.0,2.0,1.0,8.0,4.0,13.0,24.0,9.0,12.0,23.0,3.0,44.0,15.0,26.0,25.0,39.0,11.0,6.0,19.0,18.0,56.0,36.0,35.0,77.0,52.0,14.0,49.0,78.0
2026,1.0,13.0,6.0,2.0,0.0,5.0,3.0,21.0,34.0,11.0,4.0,12.0,36.0,62.0,14.0,39.0,38.0,24.0,22.0,15.0,7.0,20.0,10.0,44.0,8.0,32.0,33.0,49.0,57.0,366.0
2075,1.0,5.0,4.0,9.0,2.0,0.0,3.0,12.0,38.0,7.0,24.0,11.0,14.0,34.0,18.0,32.0,74.0,28.0,30.0,8.0,36.0,15.0,48.0,69.0,20.0,23.0,13.0,19.0,44.0,393.0
2124,2.0,8.0,6.0,0.0,1.0,3.0,4.0,17.0,35.0,13.0,5.0,41.0,22.0,18.0,10.0,24.0,16.0,23.0,11.0,7.0,9.0,48.0,36.0,40.0,15.0,44.0,26.0,47.0,12.0,350.0
2173,0.0,25.0,4.0,3.0,2.0,1.0,5.0,10.0,16.0,18.0,12.0,36.0,20.0,24.0,8.0,11.0,30.0,72.0,13.0,7.0,6.0,21.0,48.0,100.0,9.0,33.0,19.0,60.0,40.0,398.0
2222,1.0,10.0,3.0,0.0,4.0,2.0,5.0,15.0,13.0,12.0,14.0,29.0,11.0,20.0,31.0,19.0,27.0,35.0,22.0,9.0,6.0,30.0,90.0,39.0,17.0,18.0,21.0,25.0,33.0,350.0
2271,0.0,15.0,3.0,2.0,1.0,9.0,4.0,49.0,14.0,13.0,18.0,36.0,19.0,32.0,26.0,10.0,60.0,23.0,11.0,5.0,8.0,21.0,66.0,40.0,7.0,34.0,24.0,71.0,16.0,390.0
2320,0.0,5.0,3.0,1.0,2.0,4.0,10.0,12.0,8.0,28.0,6.0,22.0,17.0,16.0,25.0,39.0,35.0,40.0,26.0,29.0,7.0,439.0,48.0,36.0,68.0,77.0,32.0,21.0,49.0,358.0
2369,0.0,5.0,3.0,6.0,1.0,7.0,2.0,36.0,18.0,17.0,4.0,30.0,52.0,8.0,19.0,10.0,49.0,35.0,24.0,16.0,12.0,9.0,345.0,40.0,34.0,44.0,11.0,38.0,14.0,392.0
2418,0.0,10.0,4.0,5.0,3.0,1.0,2.0,48.0,57.0,6.0,7.0,31.0,9.0,35.0,19.0,16.0,32.0,18.0,8.0,12.0,15.0,34.0,38.0,26.0,13.0,40.0,47.0,50.0,30.0,320.0
2467,4.0,0.0,14.0,8.0,1.0,7.0,2.0,23.0,10.0,16.0,44.0,9.0,56.0,6.0,31.0,15.0,20.0,3.0,50.0,12.0,13.0,5.0,49.0,21.0,18.0,11.0,24.0,63.0,26.0,29.0
2516,2.0,1.0,5.0,0.0,12.0,23.0,6.0,3.0,9.0,16.0,19.0,4.0,8.0,13.0,15.0,53.0,14.0,7.0,27.0,38.0,10.0,18.0,20.0,24.0,21.0,39.0,17.0,58.0,26.0,36.0
2565,1.0,0.0,3.0,19.0,4.0,32.0,6.0,34.0,8.0,7.0,21.0,9.0,16.0,17.0,28.0,37.0,20.0,2.0,40.0,23.0,14.0,12.0,15.0,5.0,27.0,11.0,53.0,97.0,48.0,35.0
2614,0.0,3.0,1.0,4.0,6.0,2.0,8.0,7.0,23.0,13.0,47.0,5.0,22.0,24.0,14.0,20.0,30.0,17.0,21.0,29.0,27.0,11.0,342.0,26.0,86.0,12.0,31.0,62.0,16.0,36.0
2663,0.0,1.0,2.0,4.0,3.0,10.0,5.0,6.0,7.0,48.0,15.0,8.0,19.0,11.0,31.0,9.0,22.0,21.0,25.0,12.0,43.0,39.0,44.0,16.0,84.0,20.0,36.0,76.0,46.0,396.0
2712,2.0,1.0,5.0,3.0,21.0,0.0,4.0,16.0,10.0,24.0,26.0,9.0,19.0,12.0,23.0,7.0,8.0,6.0,13.0,11.0,36.0,22.0,27.0,17.0,18.0,20.0,40.0,33.0,14.0,63.0
2761,0.0,1.0,3.0,4.0,5.0,7.0,6.0,2.0,8.0,14.0,36.0,10.0,25.0,21.0,26.0,31.0,11.0,9.0,88.0,19.0,46.0,18.0,65.0,22.0,15.0,12.0,17.0,75.0,72.0,396.0
2810,4.0,0.0,3.0,1.0,7.0,9.0,2.0,5.0,6.0,16.0,14.0,11.0,18.0,13.0,19.0,22.0,8.0,12.0,25.0,10.0,36.0,20.0,85.0,23.0,24.0,30.0,42.0,72.0,26.0,517.0
2859,2.0,0.0,5.0,3.0,1.0,7.0,9.0,10.0,12.0,21.0,26.0,4.0,24.0,22.0,14.0,36.0,15.0,6.0,33.0,13.0,40.0,8.0,388.0,17.0,20.0,19.0,30.0,44.0,37.0,43.0
2908,3.0,0.0,2.0,7.0,8.0,1.0,6.0,5.0,9.0,32.0,36.0,4.0,14.0,26.0,15.0,41.0,11.0,10.0,17.0,31.0,12.0,22.0,62.0,42.0,30.0,16.0,52.0,98.0,35.0,20.0
2957,1.0,0.0,10.0,2.0,3.0,4.0,8.0,13.0,11.0,22.0,17.0,12.0,5.0,6.0,62.0,16.0,30.0,9.0,45.0,42.0,35.0,95.0,41.0,7.0,288.0,31.0,38.0,20.0,70.0,14.0
3006,1.0,2.0,4.0,0.0,3.0,42.0,6.0,53.0,15.0,18.0,35.0,27.0,8.0,5.0,31.0,13.0,26.0,29.0,44.0,49.0,17.0,454.0,78.0,10.0,301.0,47.0,28.0,9.0,25.0,106.0
3055,9.0,1.0,5.0,0.0,3.0,2.0,8.0,16.0,14.0,41.0,11.0,28.0,6.0,4.0,31.0,21.0,33.0,13.0,25.0,44.0,15.0,61.0,436.0,10.0,297.0,30.0,53.0,20.0,7.0,45.0
3104,2.0,0.0,7.0,1.0,3.0,6.0,9.0,13.0,33.0,29.0,8.0,11.0,5.0,4.0,44.0,18.0,27.0,10.0,28.0,23.0,21.0,104.0,43.0,12.0,250.0,52.0,36.0,17.0,60.0,32.0
3153,2.0,0.0,12.0,1.0,3.0,4.0,16.0,6.0,14.0,117.0,9.0,17.0,31.0,7.0,8.0,45.0,33.0,11.0,24.0,85.0,32.0,44.0,392.0,10.0,68.0,37.0,88.0,21.0,13.0,82.0
3202,3.0,0.0,6.0,1.0,2.0,4.0,7.0,8.0,24.0,10.0,69.0,12.0,5.0,18.0,14.0,30.0,32.0,17.0,16.0,20.0,61.0,101.0,349.0,15.0,33.0,57.0,66.0,31.0,25.0,37.0
3251,1.0,2.0,7.0,0.0,4.0,3.0,10.0,12.0,23.0,27.0,55.0,17.0,9.0,8.0,11.0,36.0,15.0,19.0,18.0,91.0,5.0,83.0,37.0,6.0,226.0,35.0,113.0,20.0,24.0,59.0
3300,1.0,2.0,9.0,0.0,5.0,6.0,3.0,25.0,15.0,24.0,46.0,17.0,8.0,4.0,12.0,13.0,56.0,18.0,28.0,48.0,7.0,79.0,41.0,11.0,91.0,22.0,57.0,23.0,19.0,42.0
3349,3.0,2.0,12.0,1.0,0.0,4.0,8.0,21.0,7.0,45.0,65.0,11.0,13.0,10.0,18.0,24.0,73.0,29.0,34.0,9.0,76.0,451.0,55.0,16.0,235.0,40.0,51.0,5.0,17.0,523.0
3398,3.0,0.0,7.0,1.0,2.0,4.0,6.0,18.0,5.0,35.0,29.0,24.0,13.0,9.0,34.0,33.0,25.0,8.0,47.0,32.0,19.0,58.0,75.0,10.0,242.0,63.0,111.0,22.0,60.0,101.0
3447,0.0,1.0,6.0,4.0,3.0,7.0,11.0,12.0,17.0,10.0,2.0,18.0,81.0,15.0,37.0,14.0,8.0,5.0,43.0,16.0,24.0,69.0,57.0,25.0,56.0,61.0,19.0,35.0,23.0,9.0
3496,0.0,2.0,3.0,1.0,5.0,37.0,10.0,27.0,12.0,4.0,6.0,19.0,52.0,15.0,18.0,17.0,22.0,20.0,11.0,7.0,21.0,13.0,66.0,29.0,45.0,42.0,8.0,14.0,26.0,24.0
3545,2.0,1.0,4.0,3.0,0.0,18.0,17.0,6.0,33.0,30.0,5.0,26.0,101.0,8.0,37.0,11.0,9.0,7.0,72.0,10.0,12.0,15.0,22.0,47.0,14.0,172.0,16.0,32.0,40.0,20.0
3594,0.0,3.0,4.0,5.0,2.0,1.0,22.0,10.0,11.0,6.0,7.0,18.0,27.0,14.0,34.0,33.0,8.0,13.0,23.0,30.0,12.0,15.0,344.0,31.0,50.0,48.0,16.0,52.0,28.0,9.0
3643,1.0,7.0,4.0,2.0,0.0,6.0,8.0,14.0,15.0,5.0,3.0,23.0,64.0,9.0,66.0,26.0,17.0,21.0,47.0,20.0,39.0,10.0,22.0,28.0,12.0,38.0,25.0,32.0,24.0,33.0
3692,0.0,7.0,14.0,1.0,2.0,26.0,12.0,4.0,30.0,11.0,3.0,22.0,91.0,46.0,34.0,5.0,18.0,6.0,20.0,43.0,42.0,10.0,56.0,54.0,38.0,66.0,13.0,79.0,17.0,21.0
3741,1.0,5.0,3.0,2.0,0.0,9.0,19.0,4.0,18.0,27.0,7.0,8.0,43.0,17.0,96.0,22.0,12.0,23.0,26.0,13.0,29.0,10.0,351.0,28.0,20.0,36.0,16.0,37.0,31.0,14.0
3790,1.0,2.0,4.0,0.0,3.0,15.0,19.0,6.0,17.0,16.0,5.0,14.0,10.0,28.0,47.0,34.0,24.0,30.0,65.0,42.0,8.0,32.0,36.0,45.0,64.0,94.0,20.0,9.0,44.0,7.0
3839,0.0,1.0,7.0,4.0,3.0,22.0,21.0,17.0,25.0,12.0,2.0,11.0,77.0,9.0,37.0,10.0,29.0,5.0,59.0,34.0,23.0,6.0,376.0,18.0,20.0,28.0,8.0,78.0,26.0,13.0
3888,0.0,5.0,1.0,2.0,4.0,41.0,10.0,3.0,98.0,37.0,8.0,11.0,190.0,20.0,21.0,63.0,13.0,9.0,85.0,27.0,34.0,17.0,341.0,45.0,223.0,59.0,12.0,16.0,38.0,19.0
3937,0.0,6.0,1.0,4.0,9.0,2.0,7.0,15.0,8.0,17.0,5.0,27.0,25.0,3.0,78.0,11.0,10.0,16.0,35.0,65.0,18.0,22.0,19.0,39.0,26.0,42.0,34.0,395.0,263.0,36.0
3986,0.0,1.0,3.0,11.0,6.0,2.0,20.0,15.0,13.0,14.0,29.0,5.0,7.0,16.0,52.0,18.0,12.0,9.0,30.0,24.0,45.0,42.0,8.0,28.0,23.0,38.0,54.0,61.0,83.0,4.0
4035,0.0,2.0,1.0,7.0,3.0,4.0,13.0,5.0,47.0,25.0,15.0,19.0,14.0,8.0,48.0,10.0,57.0,16.0,20.0,46.0,37.0,17.0,38.0,26.0,12.0,27.0,21.0,421.0,79.0,6.0
4084,1.0,3.0,2.0,37.0,5.0,0.0,6.0,16.0,17.0,9.0,39.0,29.0,4.0,7.0,30.0,14.0,8.0,27.0,15.0,55.0,18.0,33.0,22.0,24.0,23.0,44.0,28.0,83.0,25.0,19.0
4133,1.0,0.0,4.0,6.0,3.0,2.0,8.0,23.0,28.0,86.0,10.0,33.0,5.0,9.0,40.0,15.0,22.0,13.0,14.0,48.0,29.0,25.0,11.0,19.0,20.0,49.0,68.0,397.0,44.0,12.0
4182,1.0,0.0,3.0,2.0,5.0,6.0,7.0,62.0,19.0,4.0,16.0,29.0,17.0,9.0,92.0,20.0,18.0,28.0,14.0,63.0,47.0,11.0,21.0,22.0,10.0,33.0,57.0,27.0,87.0,13.0
4231,0.0,1.0,4.0,2.0,5.0,8.0,24.0,7.0,16.0,36.0,27.0,28.0,6.0,18.0,9.0,35.0,33.0,10.0,45.0,99.0,53.0,26.0,25.0,49.0,56.0,155.0,85.0,74.0,71.0,11.0
4280,0.0,4.0,1.0,8.0,3.0,2.0,9.0,29.0,23.0,26.0,14.0,11.0,16.0,5.0,18.0,17.0,12.0,19.0,40.0,75.0,10.0,15.0,24.0,22.0,7.0,34.0,47.0,518.0,69.0,6.0
4329,0.0,1.0,13.0,2.0,4.0,6.0,3.0,14.0,10.0,35.0,24.0,29.0,9.0,5.0,16.0,8.0,7.0,12.0,23.0,63.0,40.0,25.0,20.0,43.0,32.0,53.0,98.0,62.0,267.0,15.0
4378,0.0,2.0,3.0,4.0,1.0,6.0,8.0,10.0,17.0,52.0,37.0,15.0,12.0,21.0,19.0,32.0,13.0,7.0,22.0,58.0,41.0,20.0,16.0,35.0,5.0,79.0,45.0,42.0,60.0,29.0
4427,1.0,5.0,3.0,0.0,7.0,6.0,4.0,2.0,22.0,21.0,8.0,19.0,11.0,27.0,16.0,53.0,10.0,69.0,12.0,99.0,13.0,30.0,17.0,73.0,45.0,31.0,40.0,14.0,9.0,28.0
4476,3.0,7.0,2.0,10.0,0.0,6.0,1.0,5.0,31.0,8.0,12.0,25.0,70.0,9.0,13.0,26.0,22.0,16.0,15.0,45.0,74.0,20.0,394.0,57.0,24.0,23.0,42.0,50.0,4.0,64.0
4525,0.0,11.0,17.0,1.0,4.0,3.0,2.0,10.0,50.0,23.0,12.0,34.0,41.0,18.0,8.0,9.0,7.0,30.0,6.0,25.0,26.0,91.0,68.0,74.0,29.0,33.0,128.0,21.0,5.0,70.0
4574,2.0,5.0,4.0,3.0,1.0,7.0,0.0,6.0,57.0,10.0,18.0,68.0,56.0,9.0,22.0,15.0,23.0,55.0,24.0,12.0,38.0,441.0,26.0,29.0,13.0,16.0,37.0,14.0,11.0,396.0
4623,6.0,11.0,5.0,0.0,1.0,3.0,4.0,9.0,58.0,2.0,10.0,37.0,25.0,27.0,28.0,57.0,29.0,31.0,7.0,8.0,41.0,15.0,34.0,40.0,68.0,47.0,60.0,17.0,12.0,23.0
4672,0.0,7.0,2.0,9.0,1.0,13.0,3.0,5.0,57.0,6.0,10.0,44.0,47.0,43.0,8.0,19.0,37.0,21.0,29.0,16.0,52.0,100.0,20.0,22.0,31.0,15.0,36.0,58.0,4.0,405.0
4721,7.0,6.0,2.0,1.0,3.0,0.0,4.0,21.0,48.0,5.0,12.0,26.0,27.0,34.0,19.0,40.0,11.0,10.0,20.0,38.0,53.0,65.0,14.0,16.0,60.0,17.0,127.0,15.0,8.0,50.0
4770,9.0,6.0,4.0,2.0,5.0,3.0,0.0,8.0,31.0,1.0,21.0,22.0,30.0,39.0,7.0,29.0,18.0,55.0,13.0,14.0,37.0,41.0,45.0,54.0,10.0,38.0,109.0,16.0,11.0,50.0
4819,11.0,5.0,0.0,6.0,2.0,17.0,1.0,19.0,13.0,47.0,4.0,43.0,20.0,8.0,14.0,10.0,23.0,29.0,15.0,22.0,54.0,49.0,21.0,36.0,33.0,31.0,101.0,30.0,7.0,400.0
4868,2.0,9.0,1.0,3.0,7.0,8.0,0.0,6.0,36.0,5.0,11.0,18.0,79.0,17.0,13.0,77.0,59.0,48.0,12.0,34.0,173.0,30.0,20.0,29.0,51.0,46.0,69.0,45.0,4.0,469.0
