, IL-1, TNFa, JAK-STAT, PI3K_only, H2O2, MAPK_PI3K, VEGF, TLR, Wnt, TGFB, MAPK_only
3324,1.0,5.0,4.0,3.0,8.0,0.0,7.0,2.0,6.0,10.0,9.0
3373,1.0,4.0,5.0,0.0,10.0,8.0,6.0,2.0,9.0,3.0,7.0
3422,1.0,6.0,5.0,9.0,7.0,2.0,4.0,0.0,8.0,3.0,10.0
3471,8.0,5.0,6.0,4.0,10.0,9.0,1.0,3.0,2.0,0.0,7.0
3520,8.0,9.0,2.0,3.0,7.0,6.0,4.0,1.0,5.0,0.0,10.0
3569,7.0,4.0,5.0,3.0,1.0,8.0,0.0,2.0,6.0,9.0,10.0
3618,5.0,2.0,9.0,6.0,3.0,7.0,1.0,0.0,4.0,8.0,10.0
3667,6.0,9.0,2.0,0.0,4.0,3.0,10.0,5.0,1.0,8.0,7.0
3716,1.0,10.0,0.0,5.0,9.0,3.0,6.0,4.0,7.0,2.0,8.0
3765,0.0,7.0,8.0,4.0,3.0,9.0,2.0,1.0,6.0,5.0,10.0
3814,9.0,5.0,7.0,8.0,6.0,2.0,0.0,3.0,1.0,4.0,10.0
3863,1.0,3.0,6.0,5.0,9.0,2.0,8.0,4.0,7.0,0.0,10.0
3912,7.0,4.0,3.0,9.0,0.0,1.0,5.0,8.0,6.0,2.0,10.0
3961,4.0,0.0,5.0,1.0,3.0,6.0,9.0,10.0,2.0,7.0,8.0
4010,1.0,0.0,6.0,4.0,5.0,2.0,3.0,9.0,7.0,8.0,10.0
4059,0.0,1.0,2.0,3.0,4.0,9.0,6.0,5.0,7.0,10.0,8.0
4108,3.0,6.0,0.0,4.0,2.0,8.0,1.0,5.0,10.0,9.0,7.0
4157,0.0,6.0,9.0,7.0,2.0,1.0,8.0,4.0,3.0,5.0,10.0
4206,4.0,1.0,6.0,0.0,5.0,8.0,2.0,9.0,3.0,10.0,7.0
4255,1.0,3.0,10.0,6.0,9.0,4.0,5.0,7.0,8.0,0.0,2.0
4304,1.0,2.0,0.0,4.0,8.0,10.0,9.0,6.0,7.0,5.0,3.0
4353,5.0,0.0,1.0,4.0,8.0,2.0,6.0,3.0,7.0,10.0,9.0
4402,0.0,5.0,3.0,4.0,6.0,9.0,2.0,7.0,8.0,1.0,10.0
4451,3.0,1.0,4.0,2.0,0.0,5.0,7.0,6.0,8.0,10.0,9.0
4500,2.0,3.0,6.0,0.0,1.0,5.0,4.0,7.0,8.0,10.0,9.0
4549,7.0,5.0,3.0,1.0,6.0,4.0,2.0,0.0,8.0,9.0,10.0
4598,3.0,0.0,6.0,2.0,5.0,4.0,7.0,1.0,10.0,8.0,9.0
4647,3.0,9.0,4.0,1.0,2.0,8.0,5.0,0.0,6.0,10.0,7.0
4696,5.0,3.0,1.0,10.0,0.0,7.0,8.0,2.0,4.0,9.0,6.0
4745,1.0,2.0,7.0,6.0,5.0,0.0,3.0,8.0,4.0,9.0,10.0
4794,1.0,9.0,2.0,0.0,6.0,7.0,3.0,4.0,5.0,8.0,10.0
4843,9.0,4.0,3.0,1.0,0.0,7.0,8.0,5.0,2.0,6.0,10.0
4892,3.0,2.0,6.0,0.0,1.0,7.0,8.0,4.0,5.0,10.0,9.0
