,C22:6 LPE,uracil,C16:0 LPE,cis/trans-hydroxyproline,pantothenate,5-HIAA,1-methylnicotinamide,glutamine,alpha-glycerophosphocholine,leucine,asparagine,inositol,GABA,C34:4 PC,taurodeoxycholate,malondialdehyde,beta-alanine,3-phosphoglycerate,creatine,2-deoxyadenosine,alpha-glycerophosphate,dCMP,uridine,C34:2 DAG,C36:1 DAG,oxalate,hexoses (HILIC neg),DHAP/glyceraldehyde 3P,cytidine,C36:4 PC-B
1595,0.0,57.0,30.0,13.0,10.0,14.0,21.0,11.0,18.0,12.0,9.0,25.0,15.0,40.0,2.0,60.0,42.0,24.0,3.0,46.0,27.0,49.0,4.0,34.0,36.0,54.0,35.0,5.0,48.0,32.0
1644,1.0,29.0,32.0,10.0,13.0,14.0,11.0,6.0,18.0,8.0,62.0,22.0,12.0,9.0,4.0,60.0,31.0,15.0,5.0,24.0,25.0,48.0,27.0,30.0,7.0,56.0,50.0,49.0,47.0,34.0
1693,4.0,21.0,37.0,13.0,24.0,28.0,1.0,2.0,23.0,9.0,15.0,12.0,29.0,26.0,0.0,57.0,3.0,41.0,27.0,6.0,44.0,8.0,7.0,5.0,11.0,51.0,20.0,17.0,46.0,39.0
1742,0.0,20.0,36.0,17.0,6.0,59.0,2.0,8.0,23.0,16.0,58.0,15.0,22.0,1.0,4.0,56.0,5.0,32.0,28.0,41.0,29.0,26.0,11.0,25.0,3.0,51.0,46.0,10.0,45.0,7.0
1791,0.0,4.0,11.0,7.0,10.0,57.0,32.0,15.0,60.0,8.0,56.0,12.0,17.0,1.0,22.0,13.0,14.0,37.0,62.0,44.0,2.0,47.0,9.0,6.0,30.0,25.0,29.0,48.0,31.0,27.0
1840,0.0,33.0,6.0,12.0,2.0,61.0,19.0,3.0,17.0,1.0,60.0,22.0,21.0,24.0,34.0,10.0,23.0,45.0,18.0,20.0,25.0,50.0,4.0,37.0,27.0,54.0,28.0,7.0,49.0,9.0
1889,13.0,27.0,35.0,23.0,4.0,59.0,7.0,8.0,63.0,58.0,57.0,65.0,21.0,30.0,5.0,55.0,28.0,40.0,11.0,14.0,0.0,44.0,12.0,34.0,2.0,48.0,16.0,1.0,24.0,3.0
1938,2.0,21.0,0.0,15.0,1.0,59.0,41.0,13.0,10.0,14.0,58.0,5.0,17.0,27.0,22.0,57.0,20.0,36.0,31.0,12.0,33.0,48.0,9.0,30.0,7.0,8.0,49.0,29.0,47.0,28.0
1987,2.0,28.0,18.0,52.0,26.0,5.0,16.0,51.0,12.0,9.0,0.0,56.0,10.0,6.0,31.0,47.0,1.0,14.0,61.0,64.0,32.0,3.0,53.0,35.0,20.0,24.0,27.0,30.0,29.0,19.0
2036,0.0,6.0,2.0,60.0,1.0,13.0,26.0,59.0,16.0,7.0,19.0,58.0,62.0,9.0,55.0,3.0,12.0,34.0,24.0,11.0,10.0,5.0,54.0,25.0,40.0,22.0,47.0,29.0,4.0,39.0
2085,0.0,2.0,4.0,20.0,6.0,12.0,31.0,57.0,19.0,58.0,15.0,18.0,59.0,9.0,8.0,56.0,21.0,37.0,16.0,46.0,1.0,10.0,3.0,7.0,29.0,25.0,30.0,48.0,11.0,24.0
2134,2.0,8.0,0.0,5.0,9.0,4.0,18.0,57.0,17.0,58.0,25.0,55.0,60.0,24.0,28.0,65.0,1.0,26.0,64.0,11.0,22.0,47.0,6.0,14.0,38.0,31.0,13.0,48.0,46.0,30.0
2183,0.0,30.0,1.0,20.0,5.0,11.0,40.0,14.0,17.0,58.0,6.0,7.0,19.0,42.0,22.0,56.0,2.0,21.0,3.0,25.0,10.0,23.0,32.0,28.0,36.0,29.0,24.0,9.0,48.0,33.0
2232,0.0,3.0,4.0,14.0,8.0,13.0,18.0,56.0,16.0,15.0,5.0,20.0,58.0,7.0,23.0,19.0,2.0,42.0,22.0,10.0,1.0,26.0,24.0,11.0,28.0,30.0,47.0,27.0,25.0,9.0
2281,0.0,5.0,4.0,9.0,32.0,7.0,19.0,13.0,16.0,20.0,12.0,8.0,6.0,10.0,23.0,58.0,1.0,14.0,17.0,18.0,3.0,26.0,34.0,29.0,27.0,31.0,50.0,49.0,25.0,35.0
2330,1.0,22.0,0.0,16.0,25.0,4.0,14.0,20.0,46.0,7.0,60.0,58.0,62.0,8.0,2.0,12.0,6.0,21.0,9.0,32.0,34.0,30.0,65.0,29.0,5.0,10.0,50.0,49.0,31.0,28.0
2379,7.0,4.0,0.0,5.0,8.0,12.0,16.0,57.0,17.0,58.0,56.0,20.0,60.0,25.0,21.0,19.0,38.0,41.0,63.0,65.0,3.0,46.0,22.0,30.0,2.0,9.0,11.0,47.0,23.0,31.0
2428,1.0,2.0,5.0,0.0,6.0,8.0,19.0,17.0,61.0,56.0,55.0,9.0,58.0,24.0,53.0,14.0,21.0,4.0,12.0,45.0,13.0,11.0,52.0,43.0,35.0,7.0,10.0,29.0,3.0,39.0
2477,0.0,26.0,8.0,15.0,28.0,11.0,24.0,13.0,6.0,14.0,58.0,12.0,10.0,43.0,3.0,23.0,17.0,46.0,5.0,20.0,2.0,1.0,25.0,41.0,40.0,29.0,34.0,30.0,4.0,42.0
2526,2.0,21.0,0.0,11.0,24.0,10.0,6.0,5.0,62.0,58.0,57.0,4.0,59.0,40.0,3.0,16.0,19.0,45.0,64.0,9.0,47.0,8.0,56.0,28.0,32.0,25.0,29.0,30.0,31.0,41.0
2575,0.0,52.0,10.0,14.0,12.0,2.0,1.0,5.0,6.0,59.0,16.0,56.0,61.0,23.0,22.0,57.0,21.0,15.0,4.0,30.0,24.0,8.0,32.0,28.0,27.0,29.0,26.0,9.0,7.0,35.0
2624,1.0,24.0,0.0,11.0,29.0,12.0,4.0,58.0,18.0,59.0,57.0,16.0,15.0,25.0,3.0,55.0,41.0,14.0,5.0,65.0,2.0,6.0,7.0,42.0,34.0,50.0,8.0,30.0,27.0,38.0
2673,1.0,65.0,38.0,12.0,53.0,0.0,2.0,61.0,16.0,6.0,60.0,17.0,10.0,24.0,7.0,58.0,37.0,19.0,23.0,46.0,30.0,8.0,31.0,26.0,27.0,5.0,11.0,48.0,28.0,40.0
2722,8.0,7.0,42.0,0.0,12.0,3.0,6.0,56.0,17.0,57.0,5.0,21.0,59.0,28.0,24.0,55.0,39.0,13.0,18.0,22.0,4.0,1.0,25.0,30.0,41.0,11.0,46.0,2.0,45.0,38.0
2771,6.0,51.0,7.0,15.0,26.0,1.0,13.0,5.0,12.0,59.0,58.0,55.0,61.0,22.0,8.0,56.0,34.0,40.0,0.0,19.0,43.0,3.0,24.0,37.0,10.0,25.0,4.0,46.0,2.0,35.0
2820,11.0,10.0,2.0,12.0,31.0,58.0,4.0,9.0,18.0,13.0,57.0,22.0,15.0,33.0,6.0,16.0,40.0,23.0,0.0,45.0,25.0,1.0,54.0,38.0,8.0,51.0,7.0,27.0,26.0,35.0
2869,4.0,25.0,0.0,21.0,7.0,6.0,8.0,22.0,5.0,58.0,24.0,65.0,18.0,26.0,1.0,23.0,40.0,44.0,13.0,11.0,47.0,3.0,29.0,42.0,39.0,34.0,33.0,9.0,2.0,35.0
2918,4.0,5.0,37.0,15.0,22.0,1.0,2.0,19.0,10.0,58.0,13.0,7.0,59.0,6.0,3.0,57.0,35.0,34.0,8.0,16.0,29.0,12.0,54.0,9.0,25.0,23.0,11.0,0.0,27.0,39.0
2967,29.0,32.0,11.0,2.0,3.0,60.0,5.0,6.0,18.0,14.0,59.0,21.0,12.0,10.0,31.0,57.0,17.0,43.0,63.0,23.0,0.0,7.0,30.0,24.0,38.0,27.0,49.0,1.0,48.0,37.0
3016,4.0,53.0,8.0,13.0,0.0,14.0,20.0,16.0,61.0,12.0,22.0,56.0,10.0,9.0,31.0,57.0,28.0,11.0,63.0,30.0,5.0,2.0,3.0,38.0,1.0,24.0,25.0,48.0,47.0,35.0
3065,12.0,1.0,9.0,14.0,5.0,15.0,2.0,8.0,65.0,49.0,31.0,32.0,0.0,11.0,3.0,6.0,13.0,66.0,59.0,62.0,33.0,10.0,4.0,17.0,45.0,61.0,39.0,29.0,38.0,34.0
3114,0.0,55.0,2.0,8.0,6.0,13.0,1.0,7.0,62.0,58.0,17.0,5.0,16.0,4.0,9.0,19.0,14.0,20.0,64.0,30.0,23.0,27.0,22.0,24.0,36.0,52.0,48.0,10.0,47.0,26.0
3163,0.0,31.0,20.0,8.0,3.0,7.0,9.0,5.0,15.0,57.0,56.0,55.0,59.0,1.0,52.0,19.0,17.0,43.0,11.0,54.0,12.0,24.0,32.0,6.0,39.0,49.0,47.0,10.0,23.0,4.0
3212,29.0,55.0,6.0,1.0,3.0,0.0,18.0,13.0,19.0,16.0,22.0,60.0,2.0,5.0,57.0,27.0,12.0,17.0,20.0,30.0,46.0,49.0,10.0,37.0,11.0,28.0,14.0,8.0,26.0,36.0
3261,7.0,3.0,10.0,0.0,32.0,15.0,12.0,17.0,61.0,4.0,19.0,22.0,9.0,34.0,23.0,20.0,39.0,21.0,14.0,16.0,24.0,26.0,36.0,6.0,25.0,37.0,29.0,28.0,52.0,5.0
3310,2.0,1.0,8.0,7.0,4.0,19.0,65.0,6.0,22.0,13.0,16.0,18.0,9.0,32.0,55.0,3.0,41.0,20.0,61.0,64.0,23.0,26.0,21.0,35.0,27.0,5.0,29.0,50.0,49.0,30.0
3359,3.0,4.0,2.0,7.0,1.0,11.0,19.0,14.0,61.0,57.0,15.0,56.0,20.0,5.0,22.0,6.0,12.0,45.0,62.0,46.0,23.0,26.0,33.0,34.0,35.0,31.0,29.0,9.0,25.0,43.0
3408,9.0,27.0,37.0,5.0,11.0,4.0,13.0,6.0,24.0,58.0,7.0,23.0,2.0,12.0,54.0,8.0,36.0,34.0,14.0,46.0,16.0,0.0,25.0,29.0,40.0,51.0,21.0,1.0,19.0,39.0
3457,2.0,3.0,18.0,4.0,12.0,5.0,10.0,23.0,58.0,50.0,49.0,27.0,8.0,1.0,0.0,30.0,36.0,13.0,60.0,16.0,43.0,39.0,7.0,6.0,20.0,63.0,31.0,25.0,29.0,40.0
3506,0.0,33.0,21.0,1.0,8.0,11.0,7.0,41.0,24.0,25.0,28.0,30.0,12.0,22.0,4.0,29.0,38.0,10.0,17.0,16.0,31.0,36.0,5.0,23.0,44.0,65.0,34.0,3.0,48.0,2.0
3555,3.0,7.0,8.0,0.0,51.0,12.0,2.0,58.0,63.0,14.0,15.0,5.0,60.0,4.0,9.0,6.0,35.0,21.0,19.0,22.0,24.0,45.0,23.0,11.0,29.0,50.0,31.0,10.0,30.0,28.0
3604,0.0,8.0,21.0,5.0,27.0,20.0,31.0,23.0,62.0,56.0,55.0,29.0,19.0,1.0,7.0,6.0,35.0,3.0,15.0,14.0,30.0,11.0,32.0,4.0,24.0,49.0,2.0,10.0,57.0,34.0
3653,2.0,30.0,31.0,6.0,32.0,58.0,15.0,4.0,61.0,57.0,56.0,0.0,12.0,5.0,8.0,19.0,17.0,20.0,63.0,25.0,10.0,3.0,54.0,22.0,37.0,51.0,24.0,47.0,23.0,26.0
3702,0.0,53.0,11.0,21.0,51.0,59.0,20.0,14.0,62.0,15.0,13.0,22.0,9.0,10.0,31.0,18.0,23.0,16.0,64.0,30.0,1.0,6.0,65.0,24.0,8.0,29.0,2.0,27.0,46.0,3.0
3751,0.0,7.0,25.0,3.0,29.0,58.0,6.0,57.0,24.0,4.0,20.0,1.0,60.0,10.0,5.0,56.0,22.0,34.0,64.0,11.0,15.0,46.0,53.0,14.0,27.0,30.0,26.0,12.0,13.0,39.0
3800,0.0,21.0,1.0,14.0,25.0,16.0,30.0,19.0,15.0,60.0,59.0,10.0,17.0,26.0,22.0,9.0,38.0,45.0,32.0,5.0,3.0,48.0,23.0,27.0,28.0,11.0,2.0,29.0,31.0,40.0
3849,7.0,34.0,8.0,5.0,28.0,10.0,17.0,50.0,13.0,25.0,32.0,29.0,62.0,1.0,33.0,9.0,21.0,16.0,57.0,54.0,3.0,0.0,36.0,45.0,23.0,37.0,43.0,6.0,44.0,22.0
3898,0.0,5.0,4.0,13.0,7.0,17.0,11.0,16.0,62.0,15.0,20.0,21.0,1.0,6.0,31.0,56.0,14.0,22.0,63.0,3.0,12.0,25.0,53.0,8.0,29.0,2.0,27.0,47.0,46.0,9.0
3947,2.0,1.0,3.0,10.0,32.0,15.0,36.0,7.0,62.0,17.0,18.0,14.0,57.0,33.0,0.0,13.0,12.0,8.0,11.0,23.0,21.0,25.0,26.0,34.0,41.0,5.0,49.0,9.0,24.0,40.0
3996,22.0,0.0,21.0,9.0,35.0,10.0,26.0,34.0,7.0,27.0,8.0,4.0,11.0,23.0,38.0,3.0,18.0,2.0,64.0,1.0,30.0,5.0,36.0,25.0,41.0,37.0,47.0,6.0,31.0,24.0
4045,1.0,13.0,38.0,14.0,3.0,16.0,8.0,5.0,57.0,15.0,24.0,32.0,23.0,21.0,9.0,26.0,41.0,17.0,59.0,7.0,12.0,34.0,6.0,42.0,22.0,4.0,33.0,35.0,28.0,46.0
4094,35.0,1.0,20.0,57.0,29.0,3.0,7.0,4.0,16.0,56.0,5.0,54.0,58.0,25.0,2.0,19.0,37.0,34.0,18.0,31.0,46.0,23.0,6.0,21.0,11.0,8.0,27.0,24.0,17.0,40.0
4143,2.0,4.0,1.0,7.0,5.0,13.0,0.0,57.0,16.0,58.0,6.0,9.0,60.0,30.0,8.0,18.0,40.0,44.0,19.0,23.0,24.0,49.0,3.0,27.0,10.0,33.0,29.0,28.0,48.0,37.0
4192,10.0,6.0,5.0,15.0,26.0,8.0,0.0,13.0,19.0,21.0,58.0,22.0,2.0,3.0,4.0,11.0,41.0,44.0,20.0,9.0,28.0,32.0,1.0,29.0,7.0,27.0,47.0,24.0,33.0,40.0
4241,27.0,21.0,25.0,12.0,6.0,13.0,8.0,19.0,3.0,11.0,18.0,0.0,15.0,28.0,35.0,59.0,37.0,36.0,1.0,2.0,34.0,31.0,5.0,30.0,32.0,24.0,51.0,50.0,49.0,41.0
4290,0.0,8.0,12.0,15.0,25.0,16.0,17.0,13.0,19.0,20.0,58.0,21.0,60.0,30.0,24.0,11.0,37.0,43.0,44.0,1.0,3.0,29.0,6.0,32.0,31.0,26.0,48.0,47.0,2.0,41.0
4339,34.0,1.0,45.0,58.0,3.0,7.0,0.0,16.0,8.0,15.0,17.0,21.0,60.0,32.0,35.0,13.0,36.0,46.0,9.0,11.0,24.0,26.0,2.0,29.0,38.0,4.0,50.0,27.0,49.0,44.0
4388,5.0,13.0,2.0,14.0,3.0,58.0,4.0,15.0,9.0,57.0,56.0,54.0,60.0,6.0,17.0,22.0,39.0,41.0,20.0,65.0,12.0,10.0,28.0,8.0,11.0,32.0,27.0,25.0,46.0,7.0
4437,10.0,7.0,17.0,0.0,61.0,1.0,9.0,25.0,19.0,16.0,48.0,5.0,21.0,13.0,2.0,28.0,24.0,4.0,58.0,18.0,30.0,3.0,6.0,23.0,42.0,8.0,27.0,11.0,12.0,22.0
4486,3.0,2.0,30.0,0.0,29.0,7.0,10.0,59.0,63.0,13.0,58.0,1.0,19.0,4.0,8.0,16.0,20.0,21.0,64.0,28.0,23.0,5.0,22.0,26.0,35.0,51.0,25.0,46.0,45.0,6.0
4535,1.0,8.0,7.0,2.0,32.0,14.0,48.0,12.0,3.0,13.0,24.0,10.0,9.0,5.0,0.0,39.0,19.0,4.0,59.0,15.0,29.0,6.0,28.0,20.0,21.0,11.0,33.0,41.0,42.0,43.0
4584,5.0,0.0,20.0,7.0,31.0,13.0,64.0,51.0,11.0,12.0,50.0,1.0,55.0,4.0,2.0,17.0,8.0,15.0,22.0,61.0,26.0,6.0,27.0,43.0,21.0,28.0,33.0,39.0,29.0,3.0
4633,8.0,0.0,26.0,5.0,7.0,14.0,19.0,16.0,21.0,15.0,57.0,20.0,59.0,13.0,9.0,6.0,37.0,3.0,64.0,41.0,17.0,2.0,54.0,10.0,39.0,51.0,12.0,1.0,46.0,35.0
4682,0.0,30.0,20.0,12.0,34.0,13.0,15.0,11.0,24.0,2.0,25.0,1.0,53.0,4.0,6.0,9.0,18.0,26.0,16.0,61.0,43.0,5.0,29.0,22.0,23.0,28.0,33.0,32.0,31.0,21.0
4731,3.0,5.0,9.0,21.0,25.0,19.0,12.0,59.0,10.0,2.0,4.0,0.0,61.0,30.0,1.0,58.0,39.0,23.0,63.0,44.0,14.0,48.0,27.0,11.0,29.0,6.0,50.0,49.0,47.0,33.0
4780,0.0,1.0,29.0,17.0,51.0,6.0,14.0,57.0,63.0,58.0,18.0,7.0,60.0,26.0,8.0,19.0,30.0,4.0,13.0,9.0,11.0,2.0,23.0,10.0,25.0,3.0,27.0,47.0,46.0,22.0
4829,2.0,5.0,10.0,21.0,3.0,4.0,13.0,49.0,6.0,22.0,24.0,8.0,53.0,12.0,1.0,26.0,16.0,9.0,58.0,61.0,45.0,11.0,32.0,20.0,37.0,7.0,28.0,38.0,31.0,33.0
4878,0.0,8.0,10.0,5.0,9.0,60.0,18.0,6.0,4.0,22.0,24.0,7.0,21.0,12.0,30.0,26.0,31.0,2.0,3.0,11.0,45.0,48.0,56.0,40.0,13.0,27.0,29.0,49.0,25.0,32.0
