,hsa-miR-1197,hsa-miR-574-5p,ebv-miR-BART18-3p,hsa-miR-744,hsa-miR-1248,hsa-miR-1307,hsa-miR-944,hsa-miR-1245,hsa-miR-581,hsa-miR-762,hsa-miR-769-5p,hsa-miR-551b,hsa-miR-885-3p,hsa-miR-642,hsa-miR-133b,hsa-miR-220a,hsa-miR-658,hsa-miR-453,hsa-miR-582-5p,hsa-miR-601,hsa-miR-603,hsa-miR-1913,hsa-miR-654-3p,hsa-miR-1226,hsa-miR-511,hsa-miR-34c-3p,hsa-miR-647,hsa-miR-584,hsa-miR-636,hsa-miR-1301
1289,0.0,3.0,7.0,26.0,2.0,25.0,23.0,1.0,6.0,15.0,18.0,27.0,10.0,31.0,28.0,59.0,24.0,14.0,65.0,4.0,21.0,36.0,8.0,43.0,35.0,13.0,22.0,5.0,90.0,33.0
1338,1.0,7.0,0.0,16.0,3.0,15.0,9.0,12.0,4.0,10.0,5.0,39.0,48.0,46.0,18.0,27.0,55.0,13.0,59.0,2.0,28.0,11.0,25.0,33.0,19.0,68.0,38.0,14.0,61.0,90.0
1387,6.0,1.0,11.0,5.0,2.0,20.0,8.0,0.0,27.0,38.0,21.0,70.0,3.0,50.0,40.0,12.0,16.0,7.0,58.0,10.0,22.0,37.0,4.0,74.0,34.0,90.0,42.0,15.0,33.0,66.0
1436,1.0,3.0,6.0,18.0,0.0,37.0,20.0,2.0,7.0,25.0,12.0,22.0,5.0,62.0,19.0,59.0,13.0,33.0,66.0,8.0,21.0,10.0,31.0,58.0,15.0,34.0,11.0,16.0,49.0,48.0
1485,3.0,2.0,6.0,10.0,1.0,16.0,57.0,4.0,5.0,34.0,0.0,21.0,44.0,71.0,29.0,42.0,53.0,35.0,32.0,68.0,49.0,17.0,73.0,80.0,50.0,18.0,85.0,30.0,36.0,7.0
1534,5.0,3.0,2.0,14.0,26.0,15.0,19.0,11.0,10.0,4.0,0.0,75.0,80.0,1.0,22.0,18.0,16.0,88.0,9.0,23.0,76.0,13.0,74.0,81.0,6.0,101.0,92.0,34.0,56.0,8.0
1583,12.0,0.0,1.0,3.0,25.0,16.0,34.0,24.0,32.0,11.0,10.0,4.0,8.0,14.0,5.0,9.0,27.0,54.0,13.0,221.0,105.0,22.0,111.0,17.0,21.0,31.0,104.0,49.0,29.0,7.0
1632,3.0,7.0,0.0,1.0,14.0,15.0,59.0,23.0,17.0,28.0,5.0,6.0,68.0,8.0,9.0,24.0,10.0,43.0,27.0,2.0,48.0,33.0,40.0,36.0,31.0,87.0,63.0,41.0,66.0,22.0
1681,3.0,0.0,4.0,8.0,1.0,18.0,37.0,17.0,14.0,10.0,2.0,45.0,7.0,36.0,15.0,6.0,27.0,53.0,38.0,71.0,61.0,52.0,21.0,28.0,32.0,48.0,121.0,13.0,90.0,5.0
1730,4.0,5.0,27.0,10.0,3.0,6.0,47.0,2.0,1.0,8.0,15.0,81.0,31.0,58.0,18.0,29.0,65.0,12.0,9.0,67.0,113.0,34.0,19.0,48.0,0.0,106.0,104.0,24.0,16.0,7.0
1779,11.0,6.0,1.0,3.0,19.0,2.0,25.0,16.0,4.0,34.0,0.0,10.0,128.0,17.0,8.0,7.0,33.0,58.0,9.0,39.0,72.0,71.0,48.0,26.0,28.0,27.0,138.0,46.0,36.0,22.0
1828,10.0,0.0,2.0,11.0,4.0,43.0,12.0,13.0,18.0,8.0,1.0,19.0,22.0,53.0,7.0,5.0,62.0,106.0,16.0,99.0,116.0,30.0,21.0,25.0,45.0,56.0,111.0,72.0,9.0,74.0
1877,5.0,8.0,0.0,3.0,7.0,2.0,23.0,39.0,6.0,11.0,1.0,42.0,31.0,64.0,14.0,15.0,19.0,29.0,4.0,35.0,44.0,12.0,18.0,174.0,20.0,54.0,66.0,46.0,68.0,9.0
1926,31.0,9.0,6.0,4.0,5.0,38.0,74.0,52.0,16.0,28.0,3.0,12.0,1.0,21.0,13.0,10.0,20.0,252.0,7.0,50.0,32.0,41.0,178.0,33.0,8.0,11.0,139.0,140.0,25.0,0.0
1975,0.0,3.0,15.0,1.0,32.0,53.0,7.0,8.0,25.0,6.0,37.0,2.0,59.0,9.0,55.0,5.0,19.0,13.0,85.0,4.0,108.0,51.0,22.0,10.0,147.0,92.0,31.0,40.0,35.0,43.0
2024,0.0,1.0,23.0,7.0,32.0,16.0,5.0,10.0,33.0,11.0,61.0,2.0,17.0,20.0,94.0,4.0,56.0,21.0,14.0,3.0,73.0,109.0,13.0,35.0,19.0,31.0,25.0,9.0,220.0,126.0
2073,25.0,0.0,1.0,16.0,23.0,10.0,21.0,7.0,6.0,19.0,9.0,3.0,52.0,44.0,43.0,2.0,101.0,20.0,24.0,26.0,67.0,186.0,22.0,47.0,14.0,54.0,11.0,5.0,32.0,31.0
2122,5.0,4.0,10.0,3.0,25.0,14.0,16.0,1.0,22.0,2.0,39.0,0.0,28.0,19.0,40.0,8.0,47.0,50.0,61.0,31.0,74.0,143.0,33.0,26.0,9.0,37.0,17.0,12.0,43.0,20.0
2171,16.0,0.0,13.0,3.0,7.0,12.0,11.0,5.0,6.0,4.0,67.0,1.0,20.0,29.0,97.0,2.0,15.0,30.0,46.0,9.0,80.0,73.0,22.0,65.0,19.0,98.0,8.0,10.0,25.0,27.0
2220,12.0,0.0,6.0,9.0,13.0,3.0,11.0,1.0,5.0,4.0,35.0,2.0,7.0,29.0,95.0,8.0,50.0,24.0,33.0,28.0,54.0,78.0,20.0,39.0,14.0,104.0,53.0,30.0,51.0,38.0
2269,7.0,0.0,5.0,14.0,10.0,9.0,6.0,1.0,11.0,3.0,29.0,2.0,8.0,25.0,18.0,4.0,95.0,32.0,31.0,22.0,68.0,139.0,38.0,13.0,20.0,35.0,19.0,24.0,79.0,75.0
2318,1.0,0.0,14.0,8.0,7.0,11.0,27.0,4.0,12.0,2.0,83.0,6.0,20.0,33.0,61.0,3.0,36.0,42.0,103.0,19.0,71.0,168.0,25.0,35.0,9.0,113.0,29.0,44.0,32.0,18.0
2367,5.0,0.0,3.0,61.0,32.0,2.0,13.0,4.0,33.0,1.0,60.0,11.0,58.0,30.0,24.0,10.0,45.0,116.0,15.0,81.0,9.0,175.0,6.0,43.0,26.0,22.0,19.0,41.0,29.0,55.0
2416,89.0,0.0,12.0,79.0,5.0,16.0,8.0,2.0,43.0,6.0,40.0,11.0,7.0,29.0,52.0,1.0,24.0,124.0,64.0,23.0,51.0,147.0,10.0,54.0,32.0,104.0,103.0,25.0,86.0,20.0
2465,1.0,0.0,11.0,3.0,2.0,23.0,20.0,49.0,50.0,17.0,9.0,56.0,4.0,14.0,40.0,33.0,7.0,44.0,21.0,18.0,67.0,19.0,46.0,139.0,174.0,52.0,37.0,15.0,24.0,27.0
2514,3.0,0.0,9.0,56.0,2.0,59.0,43.0,11.0,36.0,17.0,25.0,14.0,1.0,35.0,41.0,16.0,7.0,64.0,85.0,6.0,31.0,100.0,74.0,48.0,38.0,40.0,77.0,79.0,28.0,5.0
2563,14.0,0.0,1.0,7.0,6.0,29.0,34.0,37.0,22.0,24.0,11.0,40.0,2.0,74.0,38.0,4.0,3.0,71.0,47.0,28.0,30.0,54.0,72.0,101.0,5.0,31.0,63.0,60.0,23.0,15.0
2612,9.0,0.0,3.0,28.0,1.0,56.0,16.0,29.0,35.0,10.0,2.0,31.0,4.0,13.0,43.0,50.0,19.0,149.0,8.0,69.0,46.0,39.0,106.0,75.0,95.0,51.0,174.0,34.0,7.0,5.0
2661,16.0,0.0,1.0,5.0,2.0,68.0,8.0,77.0,53.0,17.0,29.0,32.0,3.0,25.0,47.0,14.0,9.0,13.0,11.0,35.0,36.0,52.0,75.0,22.0,93.0,46.0,87.0,125.0,7.0,12.0
2710,10.0,1.0,0.0,5.0,4.0,21.0,12.0,25.0,7.0,14.0,72.0,22.0,2.0,16.0,37.0,54.0,6.0,42.0,18.0,40.0,24.0,11.0,64.0,57.0,87.0,66.0,80.0,62.0,31.0,3.0
2759,16.0,0.0,1.0,12.0,9.0,43.0,35.0,18.0,65.0,37.0,102.0,14.0,17.0,6.0,62.0,134.0,4.0,45.0,3.0,2.0,38.0,27.0,75.0,114.0,29.0,42.0,98.0,8.0,84.0,50.0
2808,1.0,0.0,3.0,8.0,2.0,10.0,7.0,146.0,14.0,11.0,18.0,38.0,4.0,39.0,45.0,15.0,5.0,49.0,20.0,30.0,12.0,28.0,79.0,80.0,110.0,19.0,62.0,88.0,6.0,21.0
2857,16.0,0.0,4.0,2.0,6.0,32.0,30.0,68.0,9.0,21.0,61.0,31.0,1.0,15.0,67.0,27.0,17.0,20.0,12.0,18.0,45.0,14.0,41.0,168.0,7.0,40.0,71.0,8.0,3.0,26.0
2906,2.0,0.0,1.0,19.0,4.0,43.0,17.0,13.0,10.0,20.0,47.0,36.0,7.0,8.0,57.0,6.0,9.0,52.0,35.0,33.0,38.0,66.0,26.0,64.0,71.0,25.0,23.0,48.0,3.0,11.0
2955,2.0,0.0,6.0,13.0,19.0,1.0,8.0,22.0,9.0,11.0,16.0,145.0,5.0,27.0,14.0,12.0,3.0,41.0,118.0,255.0,7.0,48.0,25.0,36.0,40.0,15.0,20.0,38.0,24.0,117.0
3004,1.0,0.0,4.0,8.0,2.0,7.0,12.0,9.0,93.0,38.0,6.0,26.0,21.0,14.0,16.0,41.0,10.0,20.0,106.0,25.0,5.0,32.0,35.0,29.0,165.0,67.0,23.0,131.0,49.0,39.0
3053,0.0,13.0,1.0,4.0,10.0,6.0,9.0,11.0,155.0,21.0,2.0,23.0,31.0,34.0,8.0,36.0,17.0,79.0,55.0,119.0,41.0,46.0,22.0,26.0,168.0,16.0,3.0,37.0,112.0,90.0
3102,0.0,10.0,5.0,4.0,1.0,2.0,14.0,21.0,22.0,19.0,8.0,30.0,12.0,15.0,11.0,7.0,6.0,47.0,288.0,126.0,20.0,17.0,16.0,40.0,157.0,44.0,24.0,176.0,78.0,86.0
3151,3.0,4.0,34.0,16.0,1.0,12.0,23.0,24.0,54.0,7.0,0.0,33.0,8.0,2.0,15.0,6.0,10.0,69.0,312.0,55.0,28.0,9.0,35.0,29.0,46.0,59.0,11.0,240.0,13.0,52.0
3200,8.0,0.0,12.0,1.0,20.0,11.0,4.0,56.0,5.0,21.0,2.0,60.0,43.0,23.0,3.0,27.0,13.0,19.0,127.0,162.0,6.0,18.0,35.0,45.0,87.0,22.0,65.0,169.0,92.0,55.0
3249,0.0,9.0,5.0,11.0,7.0,8.0,3.0,4.0,22.0,28.0,1.0,18.0,2.0,33.0,12.0,19.0,13.0,90.0,137.0,123.0,32.0,56.0,37.0,24.0,187.0,62.0,6.0,125.0,133.0,240.0
3298,2.0,17.0,0.0,25.0,7.0,6.0,1.0,35.0,27.0,4.0,5.0,19.0,8.0,3.0,9.0,24.0,10.0,11.0,85.0,142.0,18.0,38.0,14.0,30.0,49.0,16.0,12.0,200.0,62.0,69.0
3347,7.0,0.0,20.0,3.0,13.0,11.0,10.0,18.0,42.0,58.0,14.0,27.0,4.0,34.0,6.0,84.0,12.0,46.0,40.0,56.0,50.0,97.0,32.0,26.0,149.0,80.0,173.0,315.0,73.0,5.0
3396,2.0,4.0,0.0,16.0,9.0,7.0,3.0,21.0,49.0,27.0,5.0,22.0,6.0,31.0,8.0,10.0,12.0,43.0,37.0,89.0,24.0,41.0,46.0,40.0,39.0,15.0,11.0,148.0,13.0,75.0
3445,22.0,10.0,0.0,3.0,14.0,12.0,16.0,4.0,5.0,8.0,17.0,15.0,11.0,31.0,6.0,35.0,100.0,51.0,1.0,127.0,28.0,29.0,56.0,32.0,9.0,20.0,25.0,37.0,49.0,33.0
3494,4.0,28.0,5.0,0.0,17.0,6.0,11.0,3.0,19.0,12.0,18.0,1.0,16.0,15.0,22.0,64.0,32.0,31.0,8.0,83.0,34.0,54.0,51.0,44.0,36.0,45.0,40.0,23.0,21.0,79.0
3543,6.0,47.0,1.0,3.0,34.0,5.0,10.0,22.0,18.0,23.0,11.0,37.0,4.0,0.0,8.0,27.0,62.0,58.0,7.0,152.0,75.0,65.0,73.0,46.0,17.0,15.0,142.0,43.0,82.0,93.0
3592,15.0,13.0,0.0,3.0,21.0,5.0,23.0,1.0,25.0,9.0,22.0,6.0,2.0,10.0,18.0,114.0,27.0,19.0,7.0,40.0,16.0,52.0,38.0,120.0,11.0,50.0,54.0,68.0,63.0,45.0
3641,30.0,49.0,8.0,0.0,4.0,1.0,33.0,3.0,24.0,18.0,5.0,6.0,10.0,20.0,22.0,25.0,51.0,17.0,2.0,119.0,65.0,64.0,68.0,55.0,9.0,29.0,53.0,38.0,23.0,62.0
3690,27.0,4.0,2.0,0.0,30.0,6.0,29.0,8.0,17.0,5.0,7.0,15.0,13.0,22.0,18.0,32.0,46.0,23.0,1.0,153.0,12.0,55.0,74.0,138.0,3.0,51.0,60.0,129.0,77.0,58.0
3739,8.0,25.0,0.0,1.0,12.0,10.0,13.0,14.0,17.0,32.0,52.0,50.0,4.0,38.0,22.0,92.0,60.0,34.0,2.0,40.0,6.0,29.0,79.0,90.0,7.0,65.0,42.0,67.0,30.0,49.0
3788,1.0,29.0,2.0,11.0,6.0,7.0,26.0,4.0,5.0,10.0,3.0,14.0,0.0,12.0,9.0,44.0,17.0,15.0,19.0,188.0,45.0,60.0,137.0,33.0,50.0,8.0,40.0,27.0,56.0,51.0
3837,5.0,24.0,45.0,3.0,16.0,6.0,38.0,4.0,15.0,9.0,1.0,18.0,0.0,68.0,11.0,14.0,46.0,19.0,17.0,82.0,32.0,136.0,23.0,88.0,30.0,28.0,56.0,43.0,74.0,122.0
3886,5.0,14.0,42.0,0.0,17.0,34.0,26.0,7.0,21.0,1.0,73.0,60.0,20.0,53.0,19.0,52.0,27.0,15.0,10.0,69.0,16.0,113.0,130.0,66.0,3.0,61.0,39.0,83.0,18.0,125.0
3935,2.0,3.0,49.0,4.0,1.0,14.0,46.0,95.0,9.0,16.0,40.0,5.0,141.0,31.0,12.0,6.0,10.0,19.0,66.0,0.0,21.0,60.0,52.0,58.0,98.0,39.0,134.0,35.0,22.0,106.0
3984,2.0,0.0,4.0,10.0,6.0,8.0,40.0,45.0,20.0,15.0,46.0,3.0,5.0,22.0,56.0,1.0,26.0,13.0,48.0,7.0,12.0,41.0,61.0,16.0,29.0,11.0,38.0,53.0,35.0,80.0
4033,0.0,1.0,6.0,8.0,4.0,9.0,37.0,10.0,5.0,7.0,58.0,2.0,19.0,43.0,36.0,11.0,16.0,32.0,23.0,3.0,25.0,35.0,24.0,21.0,20.0,29.0,18.0,97.0,56.0,61.0
4082,6.0,0.0,11.0,2.0,4.0,26.0,69.0,9.0,80.0,29.0,8.0,5.0,50.0,48.0,34.0,1.0,10.0,17.0,106.0,7.0,13.0,21.0,30.0,45.0,31.0,22.0,27.0,37.0,44.0,39.0
4131,3.0,0.0,8.0,1.0,4.0,14.0,58.0,21.0,9.0,16.0,36.0,26.0,47.0,10.0,62.0,19.0,33.0,5.0,35.0,6.0,101.0,12.0,20.0,25.0,92.0,38.0,125.0,77.0,52.0,72.0
4180,12.0,1.0,6.0,11.0,2.0,7.0,98.0,10.0,56.0,14.0,31.0,9.0,15.0,3.0,23.0,5.0,26.0,13.0,73.0,0.0,50.0,63.0,46.0,24.0,53.0,55.0,47.0,32.0,69.0,29.0
4229,0.0,2.0,9.0,3.0,4.0,1.0,29.0,30.0,12.0,5.0,73.0,14.0,16.0,11.0,20.0,13.0,22.0,23.0,21.0,7.0,37.0,10.0,25.0,19.0,15.0,8.0,26.0,84.0,51.0,115.0
4278,4.0,0.0,10.0,3.0,2.0,29.0,101.0,1.0,16.0,14.0,31.0,6.0,18.0,40.0,59.0,42.0,5.0,20.0,83.0,9.0,22.0,12.0,98.0,68.0,89.0,34.0,65.0,44.0,41.0,58.0
4327,22.0,6.0,2.0,5.0,12.0,8.0,10.0,33.0,105.0,17.0,56.0,4.0,14.0,0.0,54.0,65.0,31.0,20.0,16.0,1.0,101.0,3.0,43.0,25.0,15.0,42.0,163.0,19.0,113.0,250.0
4376,8.0,0.0,5.0,1.0,3.0,13.0,57.0,9.0,4.0,19.0,17.0,10.0,29.0,34.0,12.0,7.0,11.0,14.0,115.0,2.0,35.0,18.0,67.0,40.0,21.0,25.0,116.0,106.0,39.0,48.0
4425,0.0,3.0,15.0,1.0,13.0,4.0,6.0,44.0,2.0,16.0,24.0,8.0,14.0,26.0,83.0,67.0,25.0,90.0,154.0,22.0,57.0,19.0,23.0,18.0,179.0,29.0,50.0,10.0,75.0,91.0
4474,4.0,5.0,1.0,0.0,23.0,3.0,2.0,51.0,6.0,22.0,64.0,13.0,58.0,24.0,37.0,74.0,16.0,30.0,75.0,36.0,63.0,9.0,46.0,18.0,126.0,7.0,38.0,59.0,61.0,102.0
4523,5.0,13.0,2.0,0.0,7.0,1.0,12.0,46.0,11.0,16.0,27.0,4.0,39.0,10.0,25.0,52.0,59.0,50.0,40.0,37.0,26.0,14.0,24.0,23.0,271.0,8.0,6.0,9.0,43.0,29.0
4572,3.0,8.0,0.0,1.0,16.0,4.0,14.0,113.0,2.0,43.0,71.0,13.0,17.0,9.0,36.0,25.0,18.0,38.0,46.0,26.0,156.0,15.0,57.0,20.0,52.0,10.0,7.0,19.0,63.0,37.0
4621,0.0,12.0,6.0,1.0,9.0,7.0,3.0,17.0,11.0,16.0,19.0,8.0,14.0,2.0,48.0,18.0,33.0,45.0,38.0,49.0,40.0,37.0,46.0,30.0,71.0,5.0,41.0,28.0,44.0,72.0
4670,5.0,4.0,3.0,1.0,34.0,0.0,12.0,95.0,10.0,15.0,75.0,20.0,7.0,8.0,25.0,59.0,11.0,13.0,24.0,179.0,61.0,38.0,56.0,37.0,170.0,6.0,21.0,17.0,92.0,181.0
4719,0.0,6.0,2.0,13.0,24.0,1.0,7.0,40.0,5.0,20.0,29.0,19.0,11.0,15.0,37.0,41.0,9.0,18.0,45.0,14.0,16.0,36.0,10.0,30.0,124.0,4.0,3.0,17.0,133.0,60.0
4768,0.0,5.0,1.0,12.0,16.0,8.0,4.0,34.0,9.0,13.0,130.0,7.0,68.0,3.0,33.0,79.0,17.0,72.0,35.0,103.0,15.0,28.0,19.0,31.0,108.0,10.0,6.0,65.0,57.0,124.0
4817,5.0,0.0,3.0,9.0,23.0,2.0,4.0,54.0,6.0,17.0,15.0,20.0,27.0,1.0,42.0,19.0,37.0,133.0,10.0,85.0,49.0,7.0,136.0,35.0,387.0,16.0,43.0,125.0,11.0,33.0
4866,2.0,3.0,6.0,1.0,11.0,0.0,8.0,54.0,17.0,20.0,7.0,9.0,43.0,4.0,19.0,12.0,32.0,30.0,26.0,211.0,70.0,47.0,37.0,25.0,189.0,16.0,13.0,44.0,28.0,35.0
