,hsa-miR-31,hsa-miR-22,hsa-miR-574-5p,hsa-miR-199b-5p,hsa-miR-149,hsa-miR-142-5p,hsa-miR-210,hsa-miR-21,hsa-miR-130a,hsa-miR-1302,hcmv-miR-US5-1,hsa-miR-150,hsa-miR-27b,hsa-miR-96,hsa-miR-30a,hsa-miR-205,hsa-miR-592,hsa-miR-766,hsa-miR-200a,hsa-miR-151-3p,hsa-miR-147b,hsa-miR-193b,hsa-miR-219-2-3p,hsa-let-7e,hsa-miR-890,hsa-miR-363,hsa-miR-1256,hsa-let-7c,ebv-miR-BART19-5p,hsa-miR-548a-3p
1631,106.0,8.0,3.0,7.0,0.0,23.0,6.0,162.0,109.0,5.0,13.0,35.0,38.0,107.0,16.0,39.0,224.0,11.0,32.0,42.0,36.0,4.0,1.0,51.0,218.0,34.0,76.0,12.0,101.0,2.0
1680,151.0,1.0,9.0,0.0,4.0,209.0,6.0,5.0,3.0,22.0,2.0,23.0,121.0,262.0,31.0,50.0,21.0,7.0,261.0,44.0,48.0,114.0,26.0,20.0,154.0,37.0,8.0,55.0,73.0,14.0
1729,11.0,1.0,178.0,3.0,0.0,4.0,14.0,18.0,12.0,24.0,109.0,7.0,27.0,191.0,492.0,8.0,9.0,5.0,35.0,23.0,74.0,64.0,22.0,134.0,461.0,176.0,17.0,164.0,16.0,6.0
1778,40.0,0.0,167.0,1.0,11.0,238.0,12.0,3.0,10.0,74.0,16.0,60.0,52.0,181.0,176.0,5.0,350.0,7.0,34.0,22.0,20.0,44.0,25.0,23.0,186.0,18.0,17.0,381.0,36.0,2.0
1827,67.0,4.0,103.0,0.0,1.0,109.0,3.0,7.0,2.0,111.0,19.0,61.0,59.0,57.0,13.0,53.0,71.0,8.0,26.0,21.0,10.0,5.0,80.0,15.0,136.0,24.0,6.0,90.0,129.0,16.0
1876,4.0,0.0,3.0,1.0,13.0,12.0,5.0,2.0,6.0,89.0,22.0,33.0,105.0,80.0,11.0,98.0,39.0,17.0,23.0,9.0,8.0,15.0,19.0,54.0,464.0,66.0,10.0,254.0,182.0,30.0
1925,33.0,7.0,3.0,1.0,82.0,23.0,6.0,8.0,0.0,150.0,2.0,26.0,18.0,105.0,12.0,154.0,17.0,50.0,56.0,53.0,4.0,41.0,11.0,234.0,143.0,20.0,9.0,44.0,126.0,13.0
1974,6.0,3.0,2.0,24.0,16.0,0.0,10.0,44.0,12.0,4.0,74.0,13.0,287.0,327.0,29.0,9.0,23.0,52.0,1.0,8.0,26.0,168.0,399.0,334.0,226.0,17.0,33.0,68.0,39.0,7.0
2023,5.0,3.0,1.0,0.0,7.0,11.0,305.0,14.0,21.0,23.0,25.0,129.0,26.0,59.0,13.0,4.0,8.0,15.0,42.0,34.0,104.0,448.0,103.0,318.0,31.0,2.0,419.0,6.0,340.0,139.0
2072,1.0,18.0,0.0,7.0,4.0,2.0,199.0,3.0,46.0,33.0,450.0,20.0,40.0,92.0,9.0,24.0,27.0,10.0,37.0,23.0,30.0,22.0,75.0,151.0,53.0,5.0,56.0,38.0,58.0,45.0
