, JAK-STAT, IL-1, MAPK_PI3K, TNFa, TLR, H2O2, Wnt, MAPK_only, PI3K_only, VEGF, TGFB
1460,1.0,2.0,9.0,0.0,3.0,5.0,6.0,8.0,4.0,10.0,7.0
1509,0.0,1.0,2.0,3.0,5.0,6.0,8.0,4.0,10.0,7.0,9.0
1558,1.0,4.0,0.0,5.0,2.0,6.0,3.0,7.0,9.0,8.0,10.0
1607,0.0,2.0,1.0,6.0,7.0,4.0,8.0,3.0,10.0,9.0,5.0
1656,3.0,4.0,2.0,0.0,1.0,7.0,8.0,6.0,5.0,9.0,10.0
1705,3.0,1.0,0.0,2.0,6.0,8.0,5.0,7.0,4.0,9.0,10.0
1754,0.0,3.0,1.0,5.0,6.0,4.0,2.0,8.0,7.0,9.0,10.0
1803,2.0,4.0,1.0,0.0,5.0,6.0,8.0,7.0,10.0,9.0,3.0
1852,2.0,6.0,0.0,3.0,1.0,10.0,5.0,4.0,9.0,8.0,7.0
1901,0.0,2.0,3.0,4.0,5.0,8.0,7.0,1.0,9.0,6.0,10.0
1950,0.0,4.0,1.0,3.0,2.0,7.0,6.0,5.0,10.0,9.0,8.0
1999,1.0,3.0,0.0,4.0,2.0,10.0,7.0,5.0,6.0,8.0,9.0
2048,0.0,3.0,4.0,1.0,5.0,8.0,6.0,9.0,2.0,7.0,10.0
2097,0.0,1.0,2.0,3.0,4.0,8.0,9.0,6.0,7.0,5.0,10.0
2146,2.0,0.0,3.0,1.0,9.0,4.0,10.0,6.0,5.0,8.0,7.0
2195,0.0,8.0,4.0,2.0,1.0,9.0,6.0,5.0,7.0,3.0,10.0
2244,1.0,3.0,7.0,4.0,2.0,9.0,10.0,0.0,5.0,6.0,8.0
2293,1.0,0.0,2.0,5.0,6.0,10.0,7.0,3.0,9.0,4.0,8.0
2342,2.0,0.0,1.0,3.0,9.0,4.0,6.0,7.0,8.0,5.0,10.0
2391,1.0,5.0,0.0,2.0,7.0,8.0,6.0,3.0,9.0,4.0,10.0
2440,0.0,7.0,3.0,5.0,1.0,2.0,4.0,8.0,9.0,6.0,10.0
2489,0.0,7.0,5.0,1.0,2.0,3.0,10.0,4.0,6.0,8.0,9.0
2538,0.0,6.0,3.0,1.0,2.0,5.0,9.0,4.0,10.0,7.0,8.0
2587,6.0,2.0,4.0,0.0,5.0,1.0,8.0,3.0,7.0,9.0,10.0
2636,2.0,0.0,3.0,1.0,6.0,8.0,5.0,7.0,9.0,4.0,10.0
2685,0.0,1.0,7.0,2.0,3.0,4.0,8.0,9.0,6.0,5.0,10.0
2734,4.0,0.0,5.0,3.0,6.0,2.0,9.0,1.0,7.0,8.0,10.0
2783,0.0,1.0,5.0,4.0,2.0,3.0,10.0,7.0,8.0,6.0,9.0
2832,0.0,1.0,4.0,3.0,7.0,6.0,9.0,5.0,2.0,8.0,10.0
2881,0.0,5.0,4.0,2.0,1.0,3.0,10.0,6.0,8.0,7.0,9.0
2930,1.0,0.0,2.0,4.0,7.0,8.0,10.0,6.0,3.0,9.0,5.0
2979,0.0,1.0,6.0,4.0,2.0,7.0,3.0,9.0,8.0,5.0,10.0
3028,1.0,0.0,3.0,4.0,2.0,9.0,7.0,8.0,6.0,5.0,10.0
3077,0.0,1.0,6.0,2.0,4.0,7.0,3.0,10.0,8.0,5.0,9.0
3126,0.0,2.0,6.0,1.0,8.0,5.0,4.0,7.0,3.0,9.0,10.0
3175,2.0,0.0,1.0,8.0,6.0,4.0,3.0,10.0,5.0,7.0,9.0
3224,0.0,1.0,5.0,2.0,9.0,4.0,3.0,10.0,7.0,6.0,8.0
3273,1.0,0.0,2.0,7.0,3.0,9.0,6.0,8.0,5.0,4.0,10.0
3322,0.0,1.0,2.0,5.0,8.0,10.0,3.0,6.0,4.0,7.0,9.0
3371,0.0,1.0,9.0,7.0,5.0,6.0,3.0,8.0,4.0,2.0,10.0
3420,0.0,1.0,10.0,2.0,5.0,7.0,4.0,9.0,3.0,6.0,8.0
3469,0.0,1.0,6.0,5.0,3.0,8.0,4.0,10.0,7.0,2.0,9.0
3518,0.0,2.0,7.0,1.0,8.0,4.0,6.0,3.0,5.0,10.0,9.0
3567,2.0,0.0,8.0,5.0,6.0,3.0,7.0,10.0,4.0,1.0,9.0
3616,1.0,0.0,5.0,2.0,7.0,4.0,9.0,8.0,3.0,10.0,6.0
3665,0.0,1.0,5.0,2.0,3.0,9.0,6.0,10.0,4.0,7.0,8.0
3714,2.0,0.0,3.0,5.0,1.0,4.0,7.0,6.0,9.0,8.0,10.0
3763,1.0,4.0,5.0,3.0,0.0,2.0,7.0,6.0,9.0,10.0,8.0
3812,4.0,0.0,6.0,1.0,3.0,2.0,5.0,9.0,8.0,7.0,10.0
3861,0.0,2.0,3.0,1.0,6.0,5.0,10.0,8.0,7.0,4.0,9.0
3910,0.0,1.0,3.0,2.0,6.0,4.0,10.0,8.0,9.0,5.0,7.0
3959,0.0,1.0,3.0,4.0,5.0,8.0,9.0,10.0,6.0,7.0,2.0
4008,2.0,0.0,7.0,3.0,4.0,1.0,8.0,5.0,10.0,6.0,9.0
4057,0.0,2.0,10.0,1.0,3.0,5.0,7.0,6.0,4.0,9.0,8.0
4106,0.0,1.0,7.0,3.0,4.0,9.0,6.0,2.0,5.0,8.0,10.0
4155,0.0,4.0,7.0,1.0,3.0,6.0,2.0,8.0,5.0,9.0,10.0
4204,0.0,1.0,9.0,3.0,2.0,6.0,4.0,8.0,5.0,7.0,10.0
4253,0.0,1.0,8.0,2.0,3.0,10.0,4.0,7.0,6.0,5.0,9.0
4302,0.0,3.0,10.0,1.0,2.0,5.0,7.0,6.0,9.0,8.0,4.0
4351,0.0,1.0,10.0,7.0,4.0,2.0,6.0,8.0,5.0,3.0,9.0
4400,0.0,2.0,6.0,1.0,4.0,3.0,8.0,7.0,5.0,9.0,10.0
4449,0.0,1.0,2.0,4.0,9.0,5.0,7.0,8.0,6.0,3.0,10.0
4498,0.0,1.0,2.0,3.0,6.0,4.0,8.0,9.0,10.0,7.0,5.0
4547,0.0,5.0,3.0,2.0,8.0,1.0,4.0,10.0,7.0,9.0,6.0
4596,0.0,5.0,2.0,1.0,4.0,3.0,6.0,7.0,10.0,9.0,8.0
4645,0.0,3.0,1.0,4.0,2.0,7.0,5.0,9.0,8.0,6.0,10.0
4694,0.0,1.0,4.0,3.0,6.0,2.0,8.0,9.0,10.0,5.0,7.0
4743,0.0,1.0,2.0,5.0,4.0,3.0,7.0,9.0,10.0,6.0,8.0
4792,0.0,2.0,5.0,1.0,3.0,7.0,4.0,9.0,8.0,6.0,10.0
4841,1.0,2.0,0.0,3.0,10.0,7.0,4.0,8.0,6.0,5.0,9.0
4890,0.0,1.0,2.0,3.0,4.0,5.0,6.0,10.0,8.0,7.0,9.0
