,hsa-miR-205,hsa-miR-296-5p,hsa-miR-631,hsa-miR-31,hsa-miR-517b,hsa-miR-1910,hsa-miR-1179,hsa-miR-520d-5p+hsa-miR-527+hsa-miR-518a-5p,hsa-miR-27b,hsa-miR-1307,hsa-miR-891a,hsa-miR-219-2-3p,hsa-miR-507,hsa-miR-370,hsa-miR-136,hsa-miR-320d,hsa-miR-766,hsa-miR-944,hsa-miR-513b,hsa-miR-30a,hsa-miR-451,hsa-miR-30c,hsa-miR-563,hsa-miR-222,hsa-miR-216a,hsa-miR-1301,hsa-miR-508-3p,hsv1-miR-H8,hcmv-miR-UL70-5p,hsa-miR-650
2076,0.0,1.0,6.0,89.0,102.0,4.0,179.0,42.0,17.0,233.0,63.0,75.0,272.0,2.0,128.0,94.0,38.0,5.0,198.0,103.0,341.0,121.0,24.0,494.0,201.0,28.0,79.0,305.0,9.0,287.0
2125,0.0,4.0,2.0,11.0,67.0,1.0,57.0,15.0,3.0,96.0,23.0,9.0,183.0,7.0,10.0,18.0,17.0,111.0,97.0,24.0,499.0,65.0,213.0,39.0,58.0,74.0,29.0,35.0,42.0,92.0
2174,0.0,3.0,2.0,5.0,190.0,23.0,61.0,7.0,1.0,252.0,6.0,129.0,266.0,68.0,22.0,37.0,188.0,41.0,246.0,290.0,59.0,39.0,93.0,13.0,250.0,26.0,153.0,14.0,305.0,309.0
2223,0.0,1.0,2.0,3.0,61.0,323.0,13.0,14.0,10.0,386.0,28.0,59.0,193.0,233.0,21.0,118.0,6.0,41.0,526.0,142.0,27.0,23.0,99.0,281.0,4.0,224.0,188.0,228.0,284.0,71.0
2272,2.0,3.0,0.0,187.0,55.0,9.0,8.0,1.0,6.0,91.0,7.0,107.0,17.0,4.0,235.0,122.0,42.0,24.0,180.0,268.0,69.0,30.0,41.0,78.0,44.0,84.0,243.0,21.0,382.0,140.0
2321,0.0,23.0,10.0,46.0,16.0,1.0,6.0,17.0,4.0,22.0,3.0,174.0,111.0,13.0,96.0,119.0,214.0,33.0,90.0,58.0,215.0,141.0,29.0,167.0,69.0,7.0,186.0,77.0,2.0,80.0
2370,0.0,3.0,1.0,5.0,10.0,9.0,33.0,27.0,172.0,82.0,99.0,83.0,138.0,8.0,114.0,242.0,2.0,12.0,257.0,46.0,366.0,31.0,116.0,11.0,261.0,167.0,93.0,20.0,35.0,66.0
2419,0.0,1.0,9.0,25.0,122.0,8.0,17.0,12.0,14.0,31.0,4.0,112.0,339.0,13.0,5.0,209.0,41.0,251.0,99.0,295.0,174.0,482.0,183.0,18.0,53.0,94.0,81.0,2.0,102.0,84.0
2468,0.0,1.0,25.0,7.0,2.0,9.0,23.0,18.0,13.0,115.0,55.0,15.0,32.0,6.0,404.0,33.0,378.0,21.0,132.0,368.0,69.0,8.0,47.0,452.0,233.0,40.0,94.0,113.0,618.0,27.0
2517,0.0,1.0,125.0,5.0,93.0,205.0,9.0,55.0,43.0,76.0,3.0,331.0,2.0,296.0,102.0,27.0,53.0,195.0,12.0,86.0,94.0,340.0,123.0,246.0,484.0,160.0,7.0,261.0,414.0,47.0
2566,0.0,2.0,31.0,10.0,24.0,18.0,94.0,100.0,273.0,202.0,396.0,59.0,77.0,32.0,176.0,68.0,142.0,45.0,56.0,124.0,166.0,14.0,133.0,275.0,96.0,159.0,130.0,60.0,54.0,97.0
2615,0.0,1.0,12.0,70.0,4.0,61.0,144.0,55.0,626.0,142.0,8.0,409.0,24.0,21.0,3.0,39.0,31.0,592.0,184.0,91.0,22.0,257.0,392.0,104.0,47.0,347.0,18.0,113.0,53.0,135.0
2664,0.0,1.0,81.0,2.0,6.0,31.0,18.0,237.0,240.0,402.0,207.0,311.0,95.0,20.0,62.0,398.0,243.0,23.0,53.0,183.0,301.0,71.0,165.0,150.0,264.0,287.0,7.0,417.0,58.0,544.0
2713,0.0,1.0,25.0,125.0,5.0,344.0,159.0,15.0,192.0,318.0,20.0,14.0,276.0,86.0,111.0,377.0,485.0,6.0,8.0,286.0,267.0,54.0,24.0,50.0,3.0,70.0,196.0,269.0,420.0,94.0
2762,1.0,0.0,3.0,21.0,33.0,79.0,103.0,46.0,519.0,271.0,410.0,68.0,95.0,80.0,10.0,335.0,454.0,57.0,318.0,201.0,56.0,60.0,239.0,52.0,88.0,556.0,169.0,563.0,129.0,407.0
2811,0.0,1.0,14.0,10.0,11.0,19.0,9.0,4.0,351.0,89.0,292.0,25.0,123.0,84.0,276.0,21.0,114.0,6.0,151.0,18.0,521.0,36.0,411.0,203.0,49.0,243.0,155.0,125.0,35.0,371.0
2860,1.0,0.0,3.0,23.0,34.0,289.0,49.0,20.0,276.0,118.0,38.0,166.0,364.0,11.0,5.0,220.0,179.0,55.0,133.0,320.0,298.0,130.0,314.0,146.0,400.0,83.0,180.0,14.0,243.0,484.0
2909,0.0,2.0,45.0,1.0,26.0,103.0,31.0,29.0,211.0,6.0,7.0,3.0,169.0,48.0,75.0,163.0,5.0,126.0,358.0,10.0,99.0,19.0,371.0,9.0,23.0,285.0,18.0,14.0,79.0,139.0
2958,0.0,7.0,27.0,14.0,6.0,11.0,2.0,607.0,77.0,1.0,63.0,115.0,124.0,40.0,25.0,28.0,413.0,147.0,9.0,226.0,579.0,72.0,173.0,57.0,73.0,13.0,22.0,61.0,146.0,19.0
3007,0.0,12.0,4.0,2.0,18.0,8.0,77.0,133.0,251.0,118.0,151.0,239.0,99.0,13.0,281.0,5.0,135.0,9.0,24.0,70.0,114.0,60.0,421.0,19.0,37.0,69.0,244.0,178.0,20.0,471.0
3056,0.0,94.0,2.0,1.0,10.0,17.0,86.0,37.0,5.0,15.0,285.0,67.0,12.0,35.0,19.0,63.0,172.0,32.0,84.0,48.0,16.0,20.0,33.0,47.0,7.0,13.0,147.0,474.0,93.0,367.0
3105,0.0,16.0,2.0,3.0,1.0,513.0,93.0,187.0,32.0,47.0,55.0,158.0,476.0,8.0,46.0,33.0,77.0,10.0,65.0,12.0,85.0,57.0,226.0,27.0,105.0,7.0,24.0,384.0,23.0,566.0
3154,0.0,1.0,4.0,3.0,11.0,382.0,2.0,7.0,65.0,101.0,124.0,377.0,10.0,63.0,8.0,171.0,426.0,144.0,263.0,51.0,151.0,46.0,62.0,343.0,113.0,9.0,209.0,320.0,40.0,31.0
3203,0.0,12.0,1.0,5.0,7.0,19.0,2.0,246.0,37.0,13.0,272.0,4.0,43.0,23.0,28.0,109.0,107.0,9.0,77.0,413.0,25.0,156.0,44.0,122.0,220.0,21.0,98.0,480.0,26.0,292.0
3252,0.0,2.0,11.0,1.0,15.0,6.0,75.0,158.0,156.0,4.0,61.0,55.0,57.0,27.0,290.0,49.0,113.0,12.0,5.0,43.0,54.0,3.0,404.0,9.0,24.0,8.0,58.0,451.0,7.0,33.0
3301,0.0,3.0,1.0,2.0,11.0,232.0,175.0,181.0,7.0,17.0,229.0,201.0,109.0,13.0,19.0,312.0,126.0,5.0,26.0,22.0,8.0,550.0,15.0,340.0,120.0,52.0,163.0,20.0,98.0,311.0
3350,0.0,6.0,4.0,2.0,1.0,74.0,42.0,21.0,14.0,13.0,104.0,102.0,22.0,107.0,176.0,117.0,206.0,5.0,8.0,54.0,40.0,114.0,18.0,25.0,34.0,3.0,121.0,427.0,9.0,296.0
3399,0.0,13.0,17.0,30.0,14.0,3.0,1.0,66.0,171.0,2.0,5.0,70.0,207.0,22.0,300.0,64.0,192.0,42.0,157.0,123.0,52.0,47.0,85.0,328.0,391.0,204.0,331.0,349.0,159.0,18.0
3448,0.0,4.0,1.0,6.0,44.0,15.0,21.0,24.0,27.0,155.0,168.0,2.0,3.0,104.0,16.0,63.0,38.0,419.0,25.0,26.0,150.0,5.0,205.0,11.0,58.0,40.0,19.0,54.0,7.0,105.0
3497,0.0,1.0,2.0,15.0,17.0,314.0,5.0,304.0,4.0,3.0,39.0,208.0,392.0,24.0,9.0,20.0,53.0,51.0,128.0,125.0,201.0,6.0,116.0,89.0,10.0,136.0,58.0,38.0,11.0,132.0
3546,1.0,2.0,0.0,37.0,6.0,198.0,4.0,47.0,85.0,17.0,444.0,127.0,14.0,45.0,19.0,5.0,50.0,151.0,197.0,62.0,3.0,177.0,123.0,202.0,13.0,16.0,134.0,11.0,160.0,461.0
3595,1.0,2.0,0.0,56.0,82.0,77.0,43.0,93.0,191.0,124.0,578.0,88.0,5.0,37.0,24.0,13.0,25.0,132.0,419.0,91.0,41.0,19.0,6.0,69.0,3.0,92.0,114.0,101.0,62.0,57.0
3644,1.0,0.0,3.0,2.0,335.0,292.0,9.0,4.0,114.0,59.0,177.0,29.0,97.0,92.0,257.0,72.0,128.0,323.0,108.0,301.0,8.0,6.0,106.0,11.0,13.0,28.0,49.0,198.0,69.0,24.0
3693,0.0,20.0,1.0,124.0,6.0,5.0,34.0,12.0,136.0,2.0,90.0,57.0,106.0,69.0,8.0,4.0,108.0,274.0,304.0,151.0,48.0,103.0,33.0,184.0,173.0,63.0,119.0,176.0,9.0,7.0
3742,0.0,3.0,1.0,81.0,6.0,107.0,9.0,10.0,391.0,4.0,584.0,17.0,228.0,44.0,2.0,8.0,28.0,16.0,54.0,257.0,19.0,266.0,389.0,13.0,5.0,243.0,85.0,65.0,41.0,31.0
3791,1.0,17.0,3.0,0.0,6.0,128.0,48.0,14.0,2.0,13.0,7.0,28.0,85.0,63.0,22.0,239.0,11.0,603.0,476.0,150.0,9.0,4.0,64.0,179.0,24.0,12.0,33.0,213.0,40.0,151.0
3840,0.0,4.0,5.0,1.0,10.0,24.0,161.0,3.0,12.0,23.0,36.0,9.0,18.0,44.0,28.0,48.0,13.0,70.0,61.0,132.0,59.0,115.0,63.0,6.0,14.0,186.0,41.0,236.0,54.0,207.0
3889,0.0,2.0,1.0,6.0,3.0,184.0,10.0,22.0,68.0,194.0,48.0,11.0,4.0,60.0,5.0,231.0,79.0,112.0,51.0,26.0,118.0,46.0,9.0,55.0,213.0,27.0,91.0,32.0,18.0,172.0
3938,0.0,9.0,1.0,65.0,179.0,76.0,39.0,34.0,80.0,18.0,44.0,23.0,228.0,81.0,195.0,243.0,5.0,41.0,318.0,37.0,8.0,12.0,72.0,118.0,75.0,88.0,3.0,382.0,64.0,30.0
3987,0.0,1.0,43.0,3.0,18.0,167.0,2.0,14.0,13.0,42.0,32.0,19.0,16.0,127.0,17.0,8.0,44.0,35.0,124.0,20.0,48.0,29.0,61.0,92.0,80.0,96.0,30.0,53.0,151.0,322.0
4036,0.0,2.0,1.0,3.0,4.0,10.0,12.0,15.0,357.0,226.0,9.0,5.0,19.0,36.0,273.0,35.0,21.0,27.0,132.0,86.0,8.0,26.0,65.0,23.0,28.0,184.0,257.0,72.0,143.0,78.0
4085,0.0,3.0,2.0,235.0,49.0,22.0,91.0,36.0,23.0,243.0,12.0,98.0,279.0,85.0,257.0,6.0,64.0,67.0,40.0,11.0,34.0,139.0,119.0,322.0,9.0,226.0,142.0,10.0,29.0,369.0
4134,1.0,2.0,0.0,47.0,241.0,7.0,11.0,133.0,365.0,43.0,50.0,277.0,73.0,338.0,137.0,284.0,27.0,33.0,283.0,53.0,10.0,142.0,75.0,231.0,214.0,77.0,13.0,129.0,18.0,224.0
4183,2.0,8.0,7.0,52.0,13.0,61.0,100.0,10.0,240.0,6.0,221.0,175.0,28.0,59.0,5.0,56.0,50.0,29.0,127.0,12.0,160.0,83.0,11.0,122.0,31.0,15.0,322.0,22.0,51.0,522.0
4232,0.0,1.0,6.0,63.0,21.0,33.0,24.0,17.0,450.0,40.0,87.0,452.0,9.0,56.0,54.0,284.0,66.0,76.0,591.0,169.0,335.0,7.0,47.0,456.0,51.0,120.0,38.0,70.0,377.0,3.0
4281,4.0,1.0,0.0,5.0,6.0,3.0,29.0,220.0,310.0,39.0,18.0,8.0,386.0,124.0,17.0,290.0,24.0,259.0,33.0,28.0,55.0,2.0,72.0,236.0,463.0,493.0,251.0,75.0,157.0,89.0
4330,0.0,1.0,2.0,4.0,507.0,5.0,11.0,6.0,80.0,43.0,13.0,12.0,17.0,189.0,422.0,186.0,15.0,145.0,152.0,51.0,92.0,88.0,21.0,162.0,485.0,286.0,218.0,40.0,9.0,545.0
4379,1.0,0.0,3.0,2.0,11.0,94.0,38.0,56.0,223.0,66.0,5.0,45.0,304.0,19.0,109.0,122.0,348.0,51.0,68.0,6.0,30.0,7.0,46.0,274.0,25.0,228.0,162.0,189.0,83.0,275.0
4428,6.0,2.0,0.0,7.0,1.0,89.0,9.0,3.0,61.0,18.0,14.0,34.0,215.0,40.0,8.0,533.0,408.0,602.0,148.0,337.0,51.0,52.0,137.0,4.0,28.0,101.0,33.0,493.0,117.0,12.0
4477,0.0,3.0,1.0,58.0,16.0,101.0,26.0,44.0,5.0,2.0,12.0,222.0,41.0,8.0,19.0,18.0,370.0,447.0,22.0,4.0,72.0,10.0,571.0,48.0,7.0,74.0,455.0,11.0,122.0,274.0
4526,0.0,3.0,1.0,2.0,8.0,22.0,18.0,227.0,16.0,44.0,189.0,72.0,30.0,141.0,38.0,47.0,6.0,91.0,9.0,378.0,14.0,450.0,56.0,36.0,83.0,288.0,5.0,211.0,499.0,188.0
4575,3.0,0.0,1.0,111.0,5.0,325.0,7.0,4.0,312.0,110.0,74.0,6.0,283.0,192.0,2.0,63.0,119.0,32.0,14.0,193.0,19.0,516.0,108.0,11.0,77.0,555.0,86.0,8.0,69.0,33.0
4624,3.0,1.0,2.0,0.0,8.0,26.0,21.0,52.0,17.0,106.0,66.0,4.0,134.0,182.0,116.0,267.0,412.0,120.0,396.0,49.0,63.0,169.0,132.0,442.0,118.0,393.0,137.0,322.0,440.0,261.0
4673,4.0,0.0,1.0,198.0,3.0,24.0,2.0,194.0,10.0,16.0,12.0,121.0,91.0,112.0,8.0,179.0,62.0,123.0,34.0,288.0,69.0,122.0,40.0,48.0,54.0,36.0,328.0,28.0,44.0,61.0
4722,0.0,1.0,2.0,81.0,51.0,146.0,20.0,14.0,211.0,84.0,8.0,36.0,43.0,522.0,11.0,216.0,19.0,395.0,65.0,121.0,15.0,78.0,378.0,98.0,4.0,247.0,71.0,96.0,335.0,80.0
4771,0.0,1.0,3.0,5.0,4.0,230.0,2.0,7.0,60.0,118.0,367.0,86.0,437.0,180.0,58.0,47.0,64.0,189.0,55.0,376.0,72.0,13.0,170.0,164.0,8.0,172.0,338.0,393.0,264.0,69.0
4820,0.0,11.0,4.0,1.0,50.0,17.0,18.0,116.0,15.0,21.0,30.0,22.0,62.0,395.0,325.0,2.0,463.0,183.0,300.0,53.0,299.0,79.0,74.0,8.0,101.0,60.0,301.0,5.0,3.0,39.0
4869,1.0,2.0,0.0,5.0,45.0,16.0,159.0,4.0,19.0,316.0,20.0,25.0,170.0,33.0,3.0,351.0,60.0,55.0,10.0,6.0,74.0,128.0,540.0,34.0,195.0,174.0,32.0,464.0,153.0,365.0
