,1-methylnicotinamide,C22:6 LPC,alpha-glycerophosphate,uridine,uracil,C16:0 LPE,C20:4 CE,dCMP,pantothenate,putrescine,cytidine,GABA,C36:1 DAG,serotonin,3-phosphoglycerate,C34:4 PC,inositol,UMP,sarcosine,beta-alanine,C34:2 DAG,PEP,2-deoxycytidine,oxalate,hypoxanthine,N-carbamoyl-beta-alanine,creatine,taurodeoxycholate,C36:4 PC-B,butyrylcarnitine/isobutyrylcarnitine
1495,1.0,0.0,4.0,2.0,3.0,16.0,8.0,18.0,14.0,6.0,64.0,5.0,35.0,30.0,53.0,13.0,25.0,29.0,11.0,44.0,9.0,19.0,24.0,55.0,7.0,12.0,33.0,23.0,36.0,10.0
1544,5.0,0.0,1.0,13.0,20.0,4.0,6.0,3.0,2.0,57.0,18.0,41.0,16.0,8.0,28.0,36.0,17.0,7.0,27.0,24.0,12.0,26.0,14.0,38.0,11.0,34.0,45.0,32.0,47.0,35.0
1593,0.0,3.0,1.0,38.0,31.0,15.0,6.0,8.0,2.0,9.0,47.0,14.0,4.0,17.0,58.0,33.0,11.0,45.0,13.0,16.0,30.0,21.0,25.0,12.0,28.0,55.0,50.0,20.0,44.0,49.0
1642,0.0,1.0,8.0,2.0,15.0,58.0,14.0,6.0,7.0,10.0,17.0,19.0,13.0,20.0,21.0,4.0,23.0,18.0,9.0,27.0,38.0,53.0,3.0,5.0,37.0,16.0,48.0,30.0,29.0,32.0
1691,14.0,0.0,1.0,15.0,6.0,35.0,18.0,12.0,36.0,19.0,7.0,29.0,13.0,33.0,20.0,9.0,39.0,25.0,17.0,2.0,5.0,31.0,34.0,22.0,11.0,44.0,3.0,28.0,8.0,52.0
1740,4.0,1.0,8.0,15.0,24.0,6.0,0.0,20.0,9.0,7.0,18.0,25.0,22.0,46.0,31.0,27.0,5.0,12.0,40.0,32.0,33.0,23.0,28.0,2.0,13.0,19.0,17.0,52.0,41.0,45.0
1789,0.0,2.0,3.0,33.0,36.0,28.0,16.0,8.0,9.0,39.0,27.0,11.0,14.0,43.0,21.0,15.0,4.0,59.0,51.0,17.0,12.0,19.0,10.0,32.0,6.0,13.0,20.0,30.0,22.0,57.0
1838,0.0,3.0,26.0,2.0,41.0,11.0,6.0,5.0,8.0,29.0,1.0,15.0,33.0,9.0,25.0,27.0,10.0,23.0,35.0,58.0,56.0,4.0,40.0,17.0,12.0,14.0,34.0,45.0,31.0,24.0
1887,2.0,1.0,0.0,12.0,4.0,33.0,9.0,16.0,3.0,29.0,14.0,26.0,10.0,31.0,23.0,21.0,22.0,34.0,8.0,28.0,6.0,18.0,7.0,36.0,30.0,11.0,27.0,42.0,25.0,40.0
1936,0.0,2.0,1.0,18.0,5.0,59.0,7.0,13.0,17.0,8.0,14.0,22.0,23.0,9.0,50.0,52.0,10.0,4.0,37.0,3.0,29.0,16.0,45.0,49.0,15.0,39.0,60.0,12.0,6.0,48.0
