,hsa-miR-222,hsa-miR-34a,hsa-miR-1302,hsa-miR-1260,hsa-miR-302f,hsa-miR-567,hsa-miR-130a,hsa-miR-1233,hsa-miR-497,hsa-miR-1298,hsa-miR-483-3p,hsa-miR-582-5p,hsa-miR-218,hsa-let-7e,hsa-miR-591,hsa-miR-587,hsa-miR-584,hsa-miR-588,hsa-miR-624,hsa-miR-581,hsa-miR-583,hsa-miR-582-3p,hsa-miR-586,hsa-miR-589,hsa-miR-580,hsa-miR-578,hsa-miR-579,hsa-miR-616,hsa-miR-576-5p,hsa-miR-577
608,2.0,4.0,1.0,11.0,20.0,16.0,6.0,33.0,5.0,402.0,546.0,57.0,25.0,423.0,22.0,52.0,54.0,45.0,26.0,60.0,56.0,59.0,68.0,41.0,61.0,63.0,62.0,24.0,65.0,64.0
657,12.0,6.0,7.0,21.0,4.0,3.0,2.0,413.0,8.0,40.0,0.0,1.0,30.0,424.0,81.0,43.0,45.0,42.0,29.0,53.0,46.0,52.0,44.0,54.0,55.0,41.0,57.0,39.0,11.0,56.0
706,1.0,5.0,23.0,12.0,18.0,0.0,2.0,415.0,30.0,7.0,16.0,3.0,28.0,425.0,66.0,43.0,45.0,41.0,31.0,22.0,46.0,55.0,44.0,65.0,58.0,60.0,59.0,85.0,62.0,61.0
755,0.0,9.0,38.0,19.0,1.0,6.0,35.0,15.0,4.0,29.0,30.0,2.0,33.0,425.0,82.0,44.0,49.0,46.0,71.0,60.0,50.0,54.0,43.0,58.0,56.0,57.0,48.0,31.0,51.0,52.0
804,0.0,6.0,36.0,16.0,25.0,32.0,45.0,13.0,33.0,1.0,547.0,14.0,44.0,425.0,58.0,53.0,55.0,51.0,71.0,50.0,57.0,60.0,54.0,61.0,59.0,52.0,56.0,66.0,48.0,49.0
853,1.0,4.0,36.0,22.0,16.0,2.0,29.0,7.0,34.0,39.0,547.0,6.0,560.0,423.0,81.0,44.0,20.0,50.0,73.0,13.0,52.0,54.0,45.0,46.0,60.0,57.0,58.0,3.0,55.0,56.0
902,1.0,6.0,0.0,3.0,12.0,23.0,29.0,411.0,37.0,39.0,13.0,46.0,24.0,27.0,83.0,52.0,42.0,62.0,69.0,61.0,44.0,43.0,45.0,88.0,48.0,50.0,49.0,2.0,47.0,51.0
951,5.0,20.0,1.0,472.0,22.0,0.0,28.0,10.0,2.0,352.0,9.0,59.0,18.0,425.0,6.0,47.0,43.0,58.0,72.0,51.0,44.0,49.0,48.0,60.0,52.0,55.0,54.0,66.0,41.0,13.0
1000,4.0,0.0,3.0,14.0,595.0,1.0,26.0,17.0,31.0,7.0,30.0,22.0,564.0,425.0,5.0,49.0,54.0,48.0,47.0,66.0,55.0,57.0,52.0,46.0,59.0,61.0,60.0,2.0,63.0,62.0
1049,1.0,0.0,2.0,20.0,3.0,32.0,356.0,26.0,40.0,42.0,5.0,46.0,559.0,29.0,22.0,54.0,44.0,52.0,79.0,53.0,55.0,47.0,57.0,50.0,59.0,35.0,60.0,66.0,58.0,61.0
1098,1.0,5.0,25.0,471.0,594.0,0.0,357.0,412.0,38.0,29.0,28.0,3.0,563.0,41.0,4.0,95.0,46.0,66.0,35.0,48.0,42.0,44.0,47.0,94.0,50.0,52.0,51.0,2.0,54.0,53.0
1147,3.0,1.0,5.0,0.0,16.0,27.0,41.0,6.0,521.0,29.0,7.0,9.0,34.0,37.0,21.0,47.0,52.0,49.0,65.0,46.0,53.0,56.0,51.0,57.0,50.0,48.0,54.0,2.0,44.0,45.0
1196,0.0,19.0,4.0,11.0,610.0,29.0,25.0,33.0,41.0,17.0,2.0,18.0,561.0,35.0,5.0,67.0,49.0,83.0,52.0,45.0,47.0,48.0,50.0,69.0,53.0,22.0,66.0,85.0,56.0,55.0
1245,2.0,6.0,29.0,3.0,611.0,100.0,30.0,412.0,523.0,348.0,0.0,50.0,558.0,41.0,16.0,95.0,68.0,94.0,57.0,42.0,97.0,49.0,96.0,92.0,43.0,47.0,45.0,34.0,52.0,48.0
1294,0.0,2.0,3.0,6.0,1.0,31.0,26.0,30.0,523.0,4.0,43.0,18.0,562.0,40.0,16.0,95.0,82.0,68.0,55.0,47.0,67.0,45.0,69.0,29.0,48.0,50.0,49.0,35.0,52.0,51.0
1343,3.0,5.0,0.0,14.0,11.0,102.0,43.0,415.0,39.0,22.0,4.0,50.0,2.0,27.0,64.0,46.0,61.0,47.0,74.0,52.0,49.0,51.0,44.0,45.0,53.0,54.0,48.0,1.0,56.0,55.0
1392,0.0,2.0,1.0,9.0,19.0,150.0,3.0,413.0,522.0,16.0,37.0,17.0,562.0,4.0,10.0,90.0,95.0,89.0,41.0,47.0,79.0,42.0,92.0,88.0,40.0,48.0,43.0,5.0,52.0,51.0
1441,0.0,7.0,2.0,14.0,20.0,82.0,3.0,412.0,523.0,24.0,1.0,46.0,563.0,36.0,91.0,79.0,41.0,64.0,5.0,19.0,40.0,38.0,63.0,17.0,44.0,47.0,45.0,87.0,51.0,49.0
1490,1.0,2.0,0.0,7.0,5.0,28.0,357.0,415.0,36.0,23.0,8.0,48.0,39.0,425.0,97.0,42.0,43.0,46.0,33.0,50.0,60.0,49.0,45.0,44.0,52.0,54.0,53.0,38.0,56.0,55.0
1539,0.0,5.0,39.0,10.0,628.0,35.0,31.0,416.0,4.0,350.0,9.0,50.0,41.0,26.0,53.0,14.0,59.0,46.0,69.0,52.0,49.0,51.0,45.0,42.0,48.0,55.0,54.0,3.0,57.0,56.0
1588,0.0,6.0,4.0,10.0,20.0,1.0,26.0,29.0,34.0,5.0,31.0,47.0,564.0,425.0,28.0,69.0,67.0,68.0,52.0,7.0,58.0,51.0,99.0,98.0,56.0,59.0,57.0,38.0,63.0,60.0
1637,0.0,14.0,353.0,1.0,33.0,29.0,40.0,2.0,42.0,10.0,9.0,52.0,559.0,26.0,66.0,50.0,48.0,49.0,39.0,54.0,63.0,53.0,47.0,32.0,55.0,57.0,56.0,35.0,59.0,58.0
1686,1.0,4.0,8.0,2.0,611.0,26.0,356.0,20.0,0.0,5.0,549.0,24.0,560.0,33.0,95.0,46.0,44.0,47.0,40.0,17.0,41.0,52.0,50.0,48.0,51.0,55.0,54.0,32.0,57.0,56.0
1735,4.0,0.0,2.0,12.0,33.0,147.0,355.0,42.0,3.0,1.0,37.0,31.0,563.0,40.0,46.0,59.0,29.0,70.0,80.0,32.0,62.0,65.0,60.0,49.0,66.0,69.0,68.0,23.0,104.0,102.0
1784,0.0,3.0,6.0,14.0,611.0,16.0,5.0,42.0,38.0,34.0,43.0,66.0,561.0,1.0,21.0,72.0,62.0,59.0,30.0,68.0,64.0,67.0,60.0,57.0,69.0,71.0,70.0,2.0,32.0,99.0
1833,0.0,510.0,2.0,11.0,611.0,134.0,24.0,4.0,36.0,21.0,27.0,45.0,560.0,42.0,14.0,65.0,49.0,95.0,41.0,19.0,44.0,46.0,53.0,67.0,64.0,51.0,52.0,39.0,55.0,54.0
1882,0.0,31.0,352.0,21.0,35.0,3.0,357.0,42.0,2.0,12.0,26.0,1.0,4.0,41.0,99.0,20.0,55.0,94.0,278.0,57.0,54.0,50.0,56.0,77.0,49.0,47.0,48.0,6.0,45.0,46.0
1931,0.0,6.0,23.0,4.0,610.0,25.0,24.0,15.0,33.0,22.0,547.0,44.0,2.0,35.0,26.0,51.0,7.0,65.0,96.0,42.0,43.0,48.0,47.0,97.0,41.0,53.0,64.0,36.0,56.0,55.0
1980,3.0,505.0,19.0,4.0,625.0,16.0,352.0,39.0,520.0,404.0,41.0,33.0,26.0,42.0,31.0,67.0,69.0,65.0,28.0,106.0,70.0,72.0,68.0,64.0,108.0,109.0,110.0,98.0,147.0,146.0
2029,5.0,0.0,6.0,471.0,14.0,37.0,354.0,1.0,40.0,7.0,25.0,15.0,560.0,2.0,95.0,58.0,47.0,45.0,39.0,49.0,51.0,43.0,48.0,44.0,56.0,54.0,55.0,64.0,52.0,53.0
2078,0.0,4.0,23.0,15.0,18.0,26.0,27.0,30.0,522.0,349.0,547.0,21.0,41.0,2.0,96.0,47.0,45.0,48.0,42.0,53.0,49.0,65.0,46.0,66.0,54.0,56.0,55.0,78.0,58.0,57.0
2127,0.0,5.0,6.0,17.0,612.0,26.0,32.0,7.0,523.0,348.0,548.0,20.0,559.0,2.0,62.0,46.0,48.0,43.0,38.0,51.0,49.0,50.0,61.0,42.0,52.0,54.0,53.0,67.0,56.0,55.0
2176,0.0,506.0,2.0,471.0,30.0,24.0,356.0,414.0,521.0,16.0,42.0,4.0,38.0,1.0,89.0,80.0,50.0,95.0,36.0,55.0,51.0,53.0,65.0,92.0,23.0,61.0,60.0,67.0,63.0,62.0
2225,0.0,12.0,1.0,8.0,3.0,15.0,16.0,40.0,37.0,2.0,546.0,19.0,26.0,4.0,54.0,70.0,61.0,64.0,29.0,58.0,60.0,59.0,63.0,67.0,57.0,103.0,56.0,93.0,104.0,137.0
2274,0.0,18.0,4.0,476.0,628.0,27.0,25.0,30.0,522.0,23.0,546.0,29.0,559.0,42.0,93.0,52.0,46.0,45.0,1.0,65.0,47.0,50.0,44.0,48.0,55.0,58.0,56.0,92.0,61.0,59.0
2323,0.0,7.0,31.0,17.0,18.0,28.0,34.0,27.0,523.0,36.0,5.0,58.0,559.0,1.0,89.0,16.0,50.0,48.0,44.0,60.0,56.0,59.0,52.0,47.0,46.0,57.0,53.0,40.0,54.0,55.0
2372,0.0,1.0,5.0,6.0,611.0,3.0,353.0,16.0,522.0,346.0,27.0,15.0,559.0,4.0,13.0,26.0,50.0,14.0,7.0,48.0,46.0,43.0,63.0,92.0,47.0,19.0,40.0,35.0,49.0,62.0
2421,0.0,15.0,1.0,470.0,2.0,31.0,29.0,6.0,33.0,349.0,547.0,9.0,560.0,37.0,78.0,46.0,50.0,45.0,72.0,60.0,53.0,56.0,59.0,48.0,57.0,49.0,58.0,40.0,38.0,51.0
2470,5.0,7.0,25.0,0.0,610.0,3.0,1.0,412.0,524.0,349.0,10.0,22.0,23.0,27.0,21.0,50.0,14.0,45.0,33.0,40.0,55.0,56.0,51.0,43.0,57.0,53.0,52.0,36.0,47.0,59.0
2519,30.0,4.0,353.0,2.0,20.0,98.0,1.0,34.0,0.0,5.0,38.0,6.0,36.0,42.0,9.0,93.0,96.0,92.0,47.0,21.0,67.0,82.0,95.0,15.0,48.0,65.0,50.0,32.0,55.0,66.0
2568,4.0,7.0,10.0,472.0,8.0,149.0,358.0,2.0,9.0,352.0,546.0,48.0,1.0,424.0,90.0,39.0,41.0,78.0,45.0,50.0,42.0,61.0,40.0,94.0,53.0,55.0,54.0,69.0,57.0,56.0
2617,0.0,4.0,24.0,10.0,595.0,100.0,26.0,28.0,38.0,5.0,41.0,46.0,563.0,425.0,14.0,82.0,44.0,68.0,53.0,49.0,45.0,47.0,58.0,96.0,52.0,56.0,54.0,31.0,66.0,57.0
2666,25.0,5.0,27.0,2.0,14.0,3.0,29.0,4.0,31.0,40.0,547.0,53.0,36.0,425.0,61.0,47.0,50.0,58.0,78.0,59.0,51.0,55.0,49.0,43.0,46.0,56.0,57.0,64.0,52.0,54.0
2715,3.0,19.0,4.0,14.0,20.0,148.0,34.0,415.0,521.0,351.0,545.0,53.0,2.0,425.0,6.0,49.0,47.0,48.0,69.0,57.0,52.0,55.0,50.0,46.0,43.0,54.0,56.0,63.0,58.0,51.0
2764,0.0,5.0,352.0,470.0,594.0,26.0,9.0,2.0,523.0,349.0,549.0,28.0,563.0,3.0,6.0,65.0,55.0,92.0,36.0,44.0,41.0,43.0,79.0,90.0,49.0,54.0,50.0,33.0,58.0,56.0
2813,36.0,19.0,26.0,12.0,17.0,34.0,28.0,413.0,0.0,3.0,39.0,95.0,562.0,38.0,82.0,10.0,93.0,89.0,46.0,45.0,94.0,96.0,91.0,88.0,47.0,67.0,51.0,42.0,57.0,55.0
2862,4.0,5.0,32.0,0.0,612.0,3.0,1.0,9.0,35.0,6.0,548.0,23.0,29.0,38.0,7.0,18.0,51.0,57.0,67.0,58.0,52.0,54.0,50.0,46.0,56.0,55.0,48.0,61.0,26.0,53.0
2911,0.0,5.0,40.0,471.0,613.0,34.0,2.0,412.0,42.0,39.0,8.0,55.0,1.0,28.0,21.0,53.0,57.0,51.0,69.0,60.0,50.0,54.0,56.0,59.0,44.0,58.0,52.0,63.0,45.0,49.0
2960,0.0,1.0,16.0,471.0,595.0,2.0,10.0,412.0,34.0,350.0,4.0,68.0,6.0,30.0,81.0,89.0,92.0,88.0,60.0,65.0,93.0,67.0,91.0,15.0,42.0,45.0,44.0,87.0,48.0,46.0
3009,1.0,15.0,3.0,471.0,611.0,2.0,5.0,413.0,38.0,350.0,548.0,20.0,0.0,423.0,53.0,59.0,61.0,57.0,81.0,65.0,62.0,64.0,60.0,56.0,69.0,138.0,101.0,89.0,140.0,139.0
3058,1.0,0.0,352.0,13.0,613.0,5.0,33.0,3.0,4.0,7.0,548.0,64.0,28.0,425.0,55.0,60.0,62.0,59.0,85.0,66.0,63.0,65.0,61.0,58.0,67.0,72.0,68.0,101.0,139.0,105.0
3107,4.0,2.0,8.0,3.0,611.0,1.0,9.0,42.0,5.0,349.0,546.0,51.0,560.0,423.0,0.0,55.0,53.0,66.0,18.0,49.0,52.0,50.0,54.0,75.0,56.0,47.0,48.0,87.0,45.0,46.0
3156,0.0,1.0,354.0,11.0,595.0,146.0,22.0,8.0,6.0,31.0,38.0,59.0,3.0,425.0,51.0,64.0,68.0,65.0,82.0,57.0,61.0,58.0,62.0,67.0,56.0,54.0,55.0,89.0,103.0,101.0
3205,1.0,4.0,354.0,17.0,628.0,5.0,12.0,3.0,0.0,351.0,24.0,46.0,32.0,40.0,55.0,49.0,48.0,51.0,86.0,44.0,47.0,45.0,56.0,52.0,43.0,57.0,50.0,80.0,58.0,73.0
3254,0.0,4.0,2.0,471.0,597.0,32.0,356.0,41.0,1.0,24.0,535.0,66.0,37.0,422.0,9.0,95.0,68.0,94.0,3.0,44.0,82.0,30.0,67.0,93.0,49.0,43.0,50.0,52.0,46.0,45.0
3303,0.0,5.0,23.0,9.0,610.0,22.0,27.0,1.0,4.0,16.0,549.0,44.0,38.0,425.0,12.0,53.0,51.0,66.0,35.0,18.0,50.0,43.0,48.0,81.0,65.0,54.0,52.0,32.0,19.0,55.0
3352,1.0,8.0,353.0,13.0,31.0,16.0,17.0,38.0,43.0,36.0,2.0,32.0,3.0,39.0,57.0,30.0,64.0,62.0,82.0,68.0,66.0,67.0,63.0,61.0,69.0,104.0,73.0,90.0,33.0,171.0
3401,3.0,0.0,17.0,39.0,595.0,23.0,15.0,41.0,1.0,18.0,549.0,55.0,7.0,422.0,100.0,77.0,74.0,96.0,274.0,21.0,56.0,54.0,76.0,97.0,52.0,50.0,51.0,8.0,48.0,30.0
3450,0.0,4.0,29.0,19.0,21.0,26.0,356.0,9.0,31.0,350.0,7.0,2.0,5.0,423.0,1.0,15.0,49.0,45.0,32.0,53.0,58.0,51.0,57.0,47.0,54.0,48.0,55.0,22.0,52.0,56.0
3499,0.0,9.0,32.0,3.0,613.0,5.0,30.0,8.0,521.0,31.0,26.0,59.0,560.0,38.0,23.0,52.0,56.0,49.0,28.0,48.0,57.0,50.0,54.0,60.0,55.0,51.0,53.0,36.0,46.0,47.0
3548,1.0,512.0,3.0,4.0,2.0,6.0,30.0,9.0,33.0,349.0,5.0,58.0,561.0,425.0,8.0,7.0,49.0,47.0,71.0,42.0,57.0,48.0,60.0,44.0,59.0,55.0,56.0,65.0,53.0,54.0
3597,1.0,6.0,356.0,3.0,7.0,147.0,2.0,415.0,36.0,14.0,549.0,46.0,8.0,425.0,22.0,43.0,42.0,63.0,44.0,9.0,45.0,47.0,41.0,79.0,52.0,54.0,53.0,29.0,57.0,56.0
3646,0.0,20.0,24.0,10.0,613.0,29.0,28.0,39.0,522.0,22.0,1.0,17.0,36.0,40.0,93.0,69.0,98.0,8.0,55.0,50.0,67.0,49.0,70.0,15.0,51.0,46.0,52.0,96.0,54.0,68.0
3695,16.0,19.0,3.0,4.0,609.0,26.0,25.0,413.0,43.0,349.0,550.0,5.0,40.0,423.0,27.0,48.0,52.0,47.0,30.0,22.0,55.0,60.0,49.0,46.0,62.0,44.0,64.0,37.0,65.0,54.0
3744,0.0,1.0,3.0,10.0,17.0,150.0,356.0,18.0,40.0,24.0,547.0,49.0,36.0,41.0,96.0,27.0,45.0,95.0,52.0,55.0,48.0,64.0,44.0,67.0,57.0,62.0,65.0,79.0,43.0,63.0
3793,6.0,0.0,39.0,17.0,613.0,150.0,1.0,414.0,2.0,351.0,546.0,49.0,559.0,424.0,24.0,54.0,58.0,50.0,34.0,43.0,60.0,53.0,55.0,51.0,59.0,56.0,57.0,44.0,46.0,52.0
3842,0.0,1.0,29.0,7.0,609.0,2.0,351.0,409.0,4.0,345.0,548.0,12.0,561.0,6.0,79.0,45.0,58.0,44.0,68.0,54.0,59.0,52.0,40.0,56.0,55.0,46.0,47.0,3.0,53.0,57.0
3891,5.0,19.0,354.0,471.0,21.0,25.0,29.0,1.0,31.0,351.0,548.0,22.0,37.0,7.0,91.0,42.0,46.0,41.0,43.0,24.0,48.0,51.0,44.0,45.0,53.0,56.0,55.0,73.0,59.0,58.0
3940,0.0,17.0,1.0,11.0,629.0,2.0,25.0,6.0,39.0,21.0,547.0,48.0,559.0,425.0,5.0,97.0,47.0,66.0,44.0,51.0,45.0,64.0,65.0,96.0,52.0,54.0,50.0,69.0,60.0,58.0
3989,4.0,1.0,0.0,470.0,609.0,6.0,355.0,9.0,522.0,348.0,548.0,18.0,561.0,422.0,41.0,20.0,58.0,40.0,69.0,48.0,46.0,47.0,44.0,43.0,49.0,51.0,50.0,62.0,53.0,52.0
4038,0.0,1.0,2.0,469.0,609.0,96.0,14.0,411.0,3.0,348.0,549.0,41.0,562.0,422.0,64.0,44.0,47.0,45.0,65.0,20.0,48.0,40.0,43.0,46.0,49.0,51.0,50.0,69.0,53.0,52.0
4087,2.0,17.0,4.0,470.0,596.0,0.0,24.0,1.0,38.0,350.0,551.0,18.0,563.0,422.0,13.0,42.0,47.0,95.0,46.0,64.0,48.0,52.0,44.0,67.0,53.0,58.0,56.0,40.0,60.0,59.0
4136,1.0,6.0,0.0,3.0,629.0,2.0,35.0,414.0,31.0,42.0,14.0,53.0,559.0,425.0,101.0,19.0,50.0,47.0,80.0,57.0,51.0,55.0,60.0,43.0,59.0,54.0,56.0,66.0,52.0,49.0
4185,8.0,11.0,6.0,470.0,22.0,0.0,29.0,33.0,4.0,17.0,550.0,23.0,563.0,422.0,25.0,45.0,65.0,40.0,83.0,56.0,52.0,54.0,50.0,41.0,57.0,59.0,58.0,70.0,63.0,61.0
4234,0.0,18.0,5.0,6.0,1.0,3.0,356.0,11.0,4.0,38.0,23.0,40.0,21.0,26.0,10.0,49.0,52.0,48.0,66.0,55.0,53.0,54.0,50.0,59.0,56.0,58.0,57.0,79.0,97.0,88.0
4283,4.0,14.0,38.0,8.0,628.0,32.0,355.0,5.0,1.0,348.0,12.0,52.0,43.0,0.0,9.0,10.0,50.0,48.0,44.0,54.0,51.0,53.0,61.0,47.0,55.0,57.0,56.0,23.0,59.0,58.0
4332,3.0,5.0,7.0,13.0,23.0,0.0,18.0,1.0,2.0,36.0,39.0,22.0,562.0,42.0,44.0,59.0,62.0,56.0,81.0,66.0,63.0,65.0,61.0,57.0,67.0,72.0,68.0,88.0,137.0,104.0
4381,4.0,2.0,1.0,7.0,20.0,5.0,0.0,38.0,39.0,24.0,547.0,55.0,559.0,424.0,96.0,49.0,53.0,46.0,94.0,58.0,54.0,57.0,51.0,56.0,62.0,66.0,64.0,75.0,68.0,67.0
4430,0.0,1.0,3.0,19.0,5.0,148.0,2.0,413.0,43.0,349.0,27.0,57.0,562.0,35.0,20.0,10.0,59.0,54.0,42.0,55.0,58.0,56.0,52.0,53.0,61.0,48.0,49.0,78.0,45.0,44.0
4479,3.0,0.0,34.0,4.0,10.0,29.0,2.0,415.0,5.0,25.0,6.0,52.0,24.0,424.0,61.0,45.0,60.0,43.0,31.0,54.0,48.0,53.0,42.0,47.0,57.0,59.0,49.0,66.0,55.0,58.0
4528,1.0,13.0,0.0,23.0,2.0,29.0,4.0,417.0,37.0,352.0,9.0,52.0,562.0,41.0,27.0,60.0,50.0,45.0,3.0,54.0,51.0,53.0,49.0,43.0,56.0,59.0,48.0,66.0,57.0,58.0
4577,1.0,3.0,2.0,0.0,19.0,25.0,353.0,37.0,522.0,347.0,41.0,20.0,36.0,422.0,94.0,30.0,17.0,48.0,49.0,56.0,53.0,21.0,51.0,47.0,59.0,61.0,60.0,83.0,63.0,62.0
4626,4.0,0.0,28.0,11.0,596.0,32.0,5.0,413.0,523.0,17.0,41.0,52.0,3.0,39.0,13.0,95.0,81.0,92.0,45.0,44.0,65.0,49.0,66.0,16.0,46.0,54.0,64.0,2.0,56.0,55.0
4675,5.0,0.0,37.0,470.0,609.0,25.0,28.0,3.0,34.0,349.0,10.0,22.0,2.0,423.0,13.0,45.0,48.0,46.0,36.0,51.0,49.0,50.0,60.0,44.0,52.0,54.0,53.0,23.0,56.0,55.0
4724,0.0,2.0,1.0,473.0,3.0,150.0,15.0,414.0,5.0,353.0,36.0,62.0,562.0,424.0,51.0,56.0,59.0,55.0,83.0,64.0,61.0,63.0,58.0,54.0,65.0,101.0,69.0,24.0,138.0,102.0
4773,2.0,3.0,25.0,4.0,21.0,26.0,0.0,411.0,32.0,348.0,548.0,23.0,560.0,44.0,69.0,20.0,49.0,45.0,33.0,54.0,51.0,53.0,46.0,55.0,56.0,58.0,57.0,77.0,60.0,59.0
4822,2.0,3.0,42.0,21.0,24.0,1.0,37.0,6.0,38.0,348.0,8.0,52.0,563.0,0.0,86.0,51.0,49.0,61.0,76.0,63.0,48.0,46.0,50.0,64.0,56.0,62.0,59.0,70.0,58.0,60.0
4871,5.0,1.0,2.0,3.0,18.0,150.0,10.0,35.0,40.0,352.0,549.0,66.0,25.0,38.0,21.0,19.0,64.0,61.0,28.0,69.0,65.0,67.0,63.0,60.0,101.0,154.0,104.0,103.0,140.0,105.0
