,hsa-miR-95,hsa-miR-96,ebv-miR-BART8,hsa-miR-548a-3p,hsa-miR-200a,hsa-miR-224,hsa-miR-545,hsa-miR-136,hsa-miR-572,hsa-miR-149,hsa-miR-129-5p,ebv-miR-BART19-5p,hsa-miR-140-5p,hsa-miR-2115,hsa-miR-1979,hsa-miR-1973,hsa-miR-1266,hsa-miR-193b,hsa-miR-1302,hsa-miR-423-3p,hsa-miR-205,hsa-miR-1306,hsa-miR-944,ebv-miR-BART7,hsa-miR-616,hsa-miR-190b,hsa-miR-1978,hsa-miR-450a,hsa-miR-663,hsv1-miR-H4-3p
2219,0.0,9.0,4.0,27.0,19.0,2.0,40.0,29.0,23.0,12.0,17.0,38.0,18.0,73.0,144.0,88.0,21.0,100.0,5.0,180.0,123.0,62.0,7.0,547.0,8.0,298.0,127.0,39.0,77.0,250.0
2268,3.0,2.0,4.0,10.0,41.0,1.0,112.0,20.0,5.0,8.0,15.0,6.0,18.0,84.0,72.0,27.0,205.0,19.0,0.0,11.0,21.0,64.0,58.0,323.0,67.0,35.0,25.0,368.0,52.0,118.0
2317,0.0,1.0,9.0,27.0,14.0,5.0,183.0,33.0,13.0,32.0,23.0,17.0,21.0,466.0,276.0,77.0,11.0,4.0,8.0,177.0,305.0,172.0,264.0,558.0,217.0,47.0,194.0,143.0,441.0,309.0
2366,2.0,0.0,10.0,43.0,56.0,204.0,7.0,5.0,3.0,221.0,9.0,63.0,114.0,14.0,344.0,11.0,145.0,148.0,33.0,41.0,147.0,78.0,126.0,400.0,25.0,133.0,348.0,85.0,62.0,84.0
2415,0.0,1.0,4.0,9.0,2.0,19.0,380.0,21.0,13.0,3.0,98.0,41.0,16.0,243.0,49.0,24.0,12.0,31.0,8.0,74.0,26.0,290.0,296.0,615.0,5.0,60.0,34.0,381.0,276.0,550.0
2464,1.0,0.0,11.0,94.0,67.0,4.0,2.0,6.0,80.0,15.0,29.0,27.0,118.0,24.0,31.0,30.0,13.0,143.0,35.0,3.0,78.0,20.0,56.0,469.0,305.0,14.0,8.0,104.0,96.0,148.0
2513,3.0,14.0,401.0,65.0,402.0,5.0,2.0,57.0,44.0,32.0,47.0,12.0,27.0,1.0,328.0,347.0,55.0,9.0,36.0,0.0,271.0,28.0,6.0,301.0,82.0,184.0,13.0,156.0,411.0,45.0
2562,0.0,4.0,12.0,1.0,8.0,60.0,2.0,7.0,232.0,3.0,70.0,226.0,5.0,36.0,10.0,124.0,9.0,20.0,47.0,210.0,220.0,146.0,17.0,578.0,418.0,23.0,104.0,26.0,276.0,183.0
2611,1.0,8.0,14.0,2.0,105.0,9.0,68.0,0.0,22.0,73.0,101.0,199.0,72.0,391.0,47.0,34.0,6.0,13.0,308.0,4.0,99.0,15.0,7.0,10.0,36.0,16.0,301.0,362.0,41.0,30.0
2660,2.0,36.0,12.0,1.0,274.0,58.0,69.0,9.0,133.0,55.0,63.0,0.0,16.0,23.0,6.0,24.0,27.0,114.0,263.0,49.0,26.0,13.0,7.0,82.0,44.0,126.0,593.0,8.0,524.0,4.0
2709,0.0,1.0,74.0,6.0,60.0,2.0,17.0,25.0,12.0,26.0,14.0,41.0,162.0,33.0,5.0,32.0,30.0,354.0,271.0,4.0,133.0,61.0,9.0,612.0,85.0,111.0,134.0,72.0,318.0,155.0
2758,0.0,4.0,10.0,1.0,32.0,87.0,8.0,7.0,11.0,396.0,65.0,33.0,2.0,9.0,77.0,368.0,6.0,265.0,197.0,12.0,31.0,119.0,325.0,117.0,111.0,19.0,129.0,52.0,248.0,3.0
2807,2.0,0.0,64.0,30.0,6.0,32.0,3.0,69.0,7.0,28.0,23.0,76.0,160.0,5.0,47.0,112.0,73.0,59.0,50.0,1.0,31.0,181.0,20.0,37.0,13.0,404.0,383.0,134.0,42.0,36.0
2856,15.0,0.0,13.0,4.0,24.0,12.0,77.0,93.0,17.0,38.0,29.0,10.0,104.0,5.0,1.0,21.0,6.0,541.0,231.0,2.0,73.0,392.0,39.0,26.0,620.0,560.0,563.0,43.0,14.0,36.0
2905,0.0,4.0,40.0,125.0,2.0,19.0,1.0,303.0,179.0,14.0,86.0,39.0,6.0,13.0,36.0,162.0,28.0,108.0,184.0,3.0,53.0,47.0,43.0,45.0,16.0,482.0,26.0,120.0,10.0,12.0
2954,1.0,28.0,24.0,0.0,37.0,26.0,23.0,16.0,63.0,45.0,7.0,270.0,140.0,4.0,85.0,12.0,3.0,5.0,117.0,74.0,21.0,185.0,335.0,19.0,336.0,10.0,55.0,108.0,48.0,483.0
3003,0.0,11.0,3.0,1.0,16.0,279.0,522.0,4.0,2.0,135.0,247.0,5.0,197.0,8.0,54.0,408.0,70.0,285.0,41.0,55.0,122.0,10.0,215.0,13.0,19.0,23.0,92.0,188.0,43.0,310.0
3052,0.0,12.0,71.0,7.0,5.0,99.0,16.0,6.0,28.0,69.0,4.0,10.0,59.0,15.0,74.0,31.0,142.0,179.0,24.0,122.0,11.0,13.0,22.0,132.0,65.0,256.0,61.0,362.0,14.0,345.0
3101,0.0,18.0,10.0,31.0,6.0,25.0,196.0,24.0,7.0,22.0,11.0,35.0,402.0,5.0,117.0,1.0,393.0,190.0,19.0,8.0,86.0,13.0,77.0,34.0,111.0,78.0,45.0,64.0,15.0,210.0
3150,0.0,481.0,1.0,3.0,42.0,14.0,8.0,22.0,114.0,90.0,391.0,160.0,2.0,4.0,370.0,41.0,10.0,30.0,104.0,125.0,11.0,12.0,177.0,40.0,94.0,138.0,81.0,16.0,6.0,571.0
3199,0.0,11.0,1.0,5.0,55.0,48.0,7.0,6.0,4.0,64.0,27.0,2.0,30.0,3.0,90.0,24.0,38.0,71.0,174.0,26.0,21.0,73.0,43.0,12.0,114.0,16.0,23.0,304.0,82.0,89.0
3248,0.0,43.0,38.0,8.0,3.0,52.0,182.0,19.0,1.0,199.0,230.0,15.0,34.0,5.0,447.0,10.0,287.0,56.0,12.0,11.0,195.0,143.0,18.0,55.0,88.0,140.0,79.0,178.0,100.0,110.0
3297,0.0,1.0,25.0,404.0,12.0,111.0,5.0,11.0,30.0,36.0,29.0,6.0,22.0,44.0,10.0,2.0,356.0,52.0,416.0,14.0,28.0,65.0,32.0,425.0,21.0,27.0,369.0,199.0,55.0,468.0
3346,0.0,5.0,21.0,10.0,83.0,12.0,51.0,30.0,4.0,1.0,25.0,61.0,14.0,9.0,173.0,122.0,29.0,58.0,513.0,41.0,46.0,47.0,67.0,134.0,13.0,33.0,598.0,15.0,114.0,301.0
3395,0.0,5.0,58.0,8.0,179.0,17.0,19.0,2.0,39.0,9.0,51.0,36.0,14.0,23.0,28.0,6.0,72.0,128.0,344.0,62.0,15.0,260.0,3.0,185.0,153.0,42.0,12.0,394.0,7.0,95.0
3444,1.0,10.0,32.0,0.0,6.0,27.0,5.0,7.0,180.0,11.0,20.0,141.0,3.0,33.0,41.0,71.0,4.0,2.0,8.0,37.0,18.0,63.0,236.0,139.0,215.0,48.0,528.0,244.0,138.0,9.0
3493,0.0,2.0,8.0,3.0,35.0,10.0,12.0,18.0,84.0,4.0,5.0,121.0,128.0,23.0,97.0,137.0,13.0,11.0,6.0,58.0,14.0,1.0,62.0,20.0,9.0,460.0,189.0,369.0,38.0,7.0
3542,0.0,6.0,7.0,1.0,83.0,21.0,14.0,168.0,23.0,3.0,38.0,73.0,11.0,103.0,22.0,283.0,5.0,30.0,9.0,55.0,284.0,2.0,293.0,66.0,24.0,213.0,300.0,119.0,214.0,15.0
3591,2.0,10.0,3.0,0.0,191.0,13.0,6.0,31.0,37.0,8.0,78.0,17.0,24.0,49.0,7.0,62.0,1.0,4.0,11.0,9.0,95.0,19.0,307.0,22.0,5.0,60.0,387.0,131.0,56.0,29.0
3640,1.0,35.0,16.0,2.0,53.0,23.0,68.0,24.0,37.0,5.0,199.0,43.0,49.0,93.0,14.0,87.0,0.0,3.0,21.0,7.0,95.0,4.0,39.0,128.0,6.0,250.0,630.0,74.0,601.0,8.0
3689,4.0,3.0,14.0,0.0,5.0,7.0,1.0,10.0,57.0,6.0,11.0,25.0,219.0,159.0,29.0,274.0,12.0,2.0,64.0,18.0,172.0,43.0,21.0,184.0,19.0,56.0,377.0,48.0,9.0,74.0
3738,0.0,6.0,9.0,1.0,23.0,113.0,3.0,61.0,10.0,2.0,88.0,34.0,20.0,368.0,11.0,7.0,8.0,12.0,95.0,18.0,38.0,4.0,27.0,14.0,5.0,243.0,461.0,45.0,13.0,193.0
3787,3.0,39.0,2.0,0.0,32.0,30.0,11.0,66.0,139.0,1.0,132.0,14.0,12.0,31.0,15.0,92.0,4.0,8.0,270.0,5.0,10.0,9.0,87.0,105.0,41.0,546.0,419.0,17.0,49.0,142.0
3836,0.0,2.0,3.0,30.0,19.0,34.0,10.0,28.0,7.0,1.0,45.0,9.0,11.0,6.0,65.0,15.0,4.0,67.0,152.0,24.0,5.0,81.0,130.0,295.0,32.0,91.0,328.0,31.0,14.0,167.0
3885,0.0,9.0,4.0,3.0,66.0,10.0,43.0,13.0,97.0,1.0,17.0,11.0,5.0,39.0,16.0,131.0,2.0,6.0,19.0,260.0,7.0,40.0,157.0,244.0,8.0,307.0,246.0,111.0,34.0,95.0
3934,4.0,1.0,13.0,0.0,2.0,3.0,9.0,15.0,31.0,121.0,7.0,27.0,44.0,207.0,5.0,61.0,19.0,51.0,517.0,76.0,135.0,239.0,276.0,6.0,95.0,77.0,205.0,57.0,8.0,18.0
3983,9.0,0.0,3.0,2.0,10.0,7.0,28.0,110.0,8.0,6.0,12.0,1.0,18.0,24.0,198.0,100.0,150.0,30.0,358.0,76.0,302.0,48.0,69.0,29.0,49.0,15.0,32.0,117.0,4.0,351.0
4032,94.0,1.0,0.0,4.0,11.0,2.0,166.0,28.0,5.0,10.0,31.0,7.0,42.0,32.0,88.0,136.0,195.0,8.0,30.0,21.0,99.0,84.0,223.0,3.0,17.0,20.0,183.0,76.0,13.0,181.0
4081,6.0,1.0,4.0,0.0,20.0,60.0,24.0,48.0,61.0,63.0,30.0,12.0,32.0,7.0,10.0,23.0,152.0,25.0,41.0,241.0,91.0,163.0,88.0,2.0,3.0,141.0,34.0,27.0,19.0,116.0
4130,2.0,0.0,6.0,1.0,38.0,28.0,3.0,193.0,36.0,93.0,7.0,51.0,205.0,105.0,4.0,71.0,180.0,8.0,34.0,415.0,214.0,580.0,17.0,5.0,88.0,176.0,12.0,78.0,23.0,56.0
4179,4.0,0.0,10.0,1.0,78.0,14.0,137.0,445.0,32.0,3.0,12.0,5.0,22.0,239.0,43.0,64.0,21.0,6.0,88.0,456.0,96.0,191.0,107.0,2.0,429.0,15.0,11.0,401.0,24.0,120.0
4228,3.0,0.0,4.0,2.0,9.0,184.0,25.0,223.0,29.0,21.0,1.0,24.0,17.0,284.0,18.0,10.0,381.0,34.0,151.0,519.0,261.0,19.0,146.0,16.0,66.0,36.0,20.0,161.0,8.0,457.0
4277,4.0,7.0,1.0,0.0,281.0,33.0,47.0,513.0,14.0,63.0,2.0,64.0,23.0,230.0,8.0,5.0,309.0,6.0,16.0,141.0,256.0,135.0,218.0,30.0,76.0,29.0,90.0,80.0,104.0,291.0
4326,6.0,3.0,0.0,17.0,7.0,5.0,75.0,19.0,30.0,2.0,10.0,8.0,4.0,124.0,18.0,66.0,585.0,38.0,108.0,341.0,68.0,11.0,195.0,43.0,176.0,48.0,39.0,523.0,52.0,32.0
4375,9.0,2.0,1.0,4.0,12.0,29.0,8.0,90.0,48.0,32.0,46.0,18.0,20.0,5.0,7.0,40.0,77.0,6.0,0.0,396.0,165.0,571.0,114.0,3.0,33.0,16.0,61.0,288.0,482.0,41.0
4424,5.0,0.0,34.0,14.0,49.0,1.0,16.0,11.0,12.0,75.0,3.0,493.0,89.0,47.0,31.0,6.0,229.0,114.0,286.0,528.0,358.0,40.0,296.0,70.0,91.0,369.0,24.0,85.0,191.0,158.0
4473,2.0,0.0,1.0,74.0,8.0,5.0,18.0,3.0,52.0,10.0,21.0,45.0,306.0,32.0,30.0,7.0,205.0,110.0,9.0,164.0,27.0,59.0,60.0,84.0,218.0,56.0,458.0,263.0,162.0,212.0
4522,4.0,0.0,41.0,9.0,60.0,28.0,15.0,8.0,44.0,5.0,12.0,25.0,245.0,230.0,22.0,330.0,74.0,2.0,13.0,199.0,17.0,229.0,64.0,87.0,39.0,10.0,180.0,410.0,86.0,90.0
4571,2.0,0.0,232.0,114.0,11.0,9.0,20.0,19.0,59.0,47.0,21.0,3.0,105.0,117.0,7.0,12.0,27.0,37.0,14.0,38.0,171.0,99.0,372.0,24.0,110.0,22.0,601.0,34.0,196.0,26.0
4620,0.0,8.0,1.0,65.0,3.0,27.0,13.0,7.0,116.0,16.0,25.0,19.0,14.0,585.0,9.0,24.0,103.0,231.0,22.0,55.0,184.0,492.0,20.0,61.0,189.0,335.0,79.0,6.0,205.0,4.0
4669,70.0,5.0,4.0,15.0,1.0,2.0,12.0,7.0,8.0,27.0,79.0,13.0,76.0,213.0,10.0,155.0,45.0,121.0,3.0,206.0,119.0,23.0,172.0,164.0,65.0,607.0,388.0,57.0,36.0,49.0
4718,0.0,2.0,22.0,6.0,35.0,130.0,48.0,50.0,32.0,351.0,11.0,24.0,40.0,25.0,114.0,14.0,20.0,96.0,34.0,513.0,131.0,165.0,36.0,37.0,104.0,109.0,4.0,77.0,133.0,43.0
4767,23.0,8.0,182.0,10.0,100.0,49.0,0.0,117.0,13.0,48.0,14.0,456.0,22.0,107.0,6.0,11.0,61.0,214.0,41.0,429.0,96.0,154.0,15.0,121.0,147.0,553.0,436.0,28.0,57.0,26.0
4816,4.0,8.0,12.0,15.0,2.0,56.0,1.0,13.0,22.0,3.0,16.0,26.0,10.0,110.0,5.0,0.0,96.0,538.0,283.0,81.0,7.0,274.0,82.0,295.0,208.0,391.0,335.0,86.0,48.0,92.0
4865,1.0,3.0,4.0,12.0,0.0,265.0,15.0,9.0,58.0,46.0,155.0,140.0,20.0,2.0,31.0,38.0,17.0,367.0,8.0,252.0,18.0,43.0,22.0,134.0,414.0,7.0,218.0,5.0,154.0,70.0
