,4E-BP1_pS65,Rab25,FOXO3a,IRS1,4E-BP1_pT70,p21,STAT5-alpha,Akt_pS473,4E-BP1_pT37_T46,GATA3,VHL,MIG-6,Claudin-7,Src_pY416,E-Cadherin,SCD1,4E-BP1,Acetyl-a-Tubulin (Lys40),Bim(EP1036),MEK1_pS217_S221,p62 Lck ligand,ADAR1,XBP1,Syk,Smad3,14-3-3_zeta,Shc_pY317,A-Raf_pS299,INPP4B,Gab2
2258,3.0,25.0,8.0,0.0,18.0,21.0,4.0,17.0,1.0,13.0,23.0,6.0,16.0,7.0,20.0,26.0,145.0,61.0,50.0,66.0,29.0,9.0,24.0,30.0,86.0,32.0,2.0,19.0,12.0,57.0
2307,19.0,3.0,7.0,0.0,16.0,32.0,2.0,8.0,20.0,61.0,6.0,40.0,13.0,4.0,51.0,5.0,94.0,80.0,35.0,112.0,50.0,17.0,69.0,10.0,46.0,102.0,11.0,33.0,1.0,24.0
2356,1.0,2.0,5.0,0.0,9.0,3.0,17.0,32.0,16.0,7.0,14.0,63.0,21.0,6.0,12.0,84.0,48.0,59.0,43.0,36.0,4.0,117.0,69.0,133.0,35.0,107.0,18.0,29.0,19.0,115.0
2405,16.0,6.0,14.0,0.0,7.0,32.0,18.0,13.0,5.0,17.0,11.0,8.0,1.0,21.0,33.0,31.0,77.0,2.0,23.0,95.0,46.0,90.0,30.0,9.0,58.0,67.0,38.0,60.0,62.0,12.0
2454,29.0,6.0,18.0,0.0,8.0,23.0,4.0,1.0,3.0,17.0,140.0,22.0,2.0,57.0,13.0,9.0,12.0,15.0,31.0,7.0,40.0,63.0,25.0,44.0,122.0,10.0,79.0,5.0,26.0,33.0
2503,12.0,65.0,13.0,0.0,10.0,8.0,1.0,4.0,37.0,25.0,56.0,3.0,72.0,59.0,11.0,24.0,46.0,27.0,32.0,7.0,6.0,61.0,42.0,48.0,58.0,53.0,21.0,2.0,16.0,17.0
2552,4.0,0.0,27.0,13.0,18.0,30.0,14.0,19.0,20.0,9.0,1.0,7.0,3.0,63.0,11.0,54.0,12.0,82.0,46.0,5.0,44.0,38.0,26.0,2.0,43.0,10.0,22.0,31.0,6.0,60.0
2601,3.0,4.0,0.0,15.0,23.0,2.0,6.0,14.0,10.0,1.0,72.0,8.0,71.0,78.0,7.0,33.0,70.0,38.0,155.0,12.0,59.0,128.0,5.0,69.0,27.0,31.0,110.0,22.0,20.0,46.0
2650,1.0,32.0,2.0,11.0,5.0,12.0,9.0,6.0,16.0,3.0,22.0,10.0,46.0,14.0,44.0,73.0,43.0,30.0,27.0,0.0,80.0,59.0,69.0,26.0,24.0,124.0,35.0,21.0,57.0,20.0
2699,4.0,43.0,0.0,1.0,19.0,15.0,6.0,27.0,34.0,17.0,36.0,2.0,42.0,9.0,7.0,29.0,46.0,18.0,117.0,12.0,71.0,40.0,88.0,22.0,3.0,38.0,28.0,31.0,24.0,96.0
2748,4.0,0.0,24.0,7.0,15.0,1.0,22.0,17.0,25.0,6.0,2.0,10.0,21.0,104.0,16.0,33.0,36.0,44.0,95.0,8.0,5.0,103.0,52.0,3.0,34.0,12.0,23.0,19.0,9.0,50.0
2797,14.0,2.0,5.0,11.0,44.0,18.0,6.0,8.0,39.0,12.0,49.0,4.0,1.0,23.0,3.0,41.0,28.0,16.0,52.0,9.0,117.0,40.0,10.0,37.0,19.0,36.0,59.0,13.0,22.0,27.0
2846,2.0,0.0,3.0,1.0,6.0,76.0,4.0,16.0,19.0,13.0,47.0,12.0,27.0,5.0,22.0,30.0,11.0,10.0,31.0,33.0,14.0,54.0,28.0,107.0,18.0,25.0,21.0,17.0,9.0,49.0
2895,6.0,32.0,9.0,13.0,2.0,14.0,3.0,17.0,27.0,8.0,0.0,47.0,4.0,1.0,19.0,73.0,84.0,5.0,71.0,59.0,72.0,138.0,7.0,21.0,74.0,36.0,118.0,80.0,39.0,78.0
2944,14.0,0.0,12.0,2.0,22.0,3.0,19.0,10.0,13.0,27.0,6.0,9.0,1.0,4.0,5.0,150.0,29.0,7.0,24.0,112.0,61.0,26.0,48.0,8.0,17.0,78.0,31.0,28.0,40.0,83.0
2993,3.0,9.0,79.0,26.0,1.0,0.0,7.0,6.0,5.0,43.0,12.0,13.0,16.0,8.0,21.0,37.0,32.0,4.0,2.0,119.0,31.0,39.0,20.0,18.0,160.0,40.0,35.0,153.0,69.0,44.0
3042,0.0,1.0,5.0,19.0,7.0,4.0,2.0,3.0,22.0,35.0,12.0,21.0,18.0,24.0,9.0,26.0,31.0,8.0,33.0,58.0,34.0,10.0,64.0,67.0,75.0,56.0,36.0,60.0,32.0,6.0
3091,26.0,10.0,6.0,15.0,3.0,4.0,16.0,0.0,14.0,11.0,24.0,22.0,19.0,25.0,66.0,12.0,98.0,35.0,1.0,34.0,153.0,74.0,77.0,82.0,18.0,20.0,123.0,38.0,62.0,13.0
3140,21.0,2.0,5.0,7.0,10.0,9.0,4.0,14.0,56.0,8.0,25.0,3.0,11.0,29.0,1.0,28.0,35.0,15.0,24.0,69.0,17.0,90.0,12.0,0.0,71.0,72.0,13.0,87.0,27.0,22.0
3189,8.0,2.0,9.0,20.0,5.0,32.0,0.0,3.0,31.0,27.0,10.0,7.0,4.0,25.0,6.0,30.0,12.0,16.0,28.0,34.0,14.0,66.0,89.0,1.0,42.0,61.0,19.0,139.0,74.0,69.0
3238,6.0,2.0,33.0,17.0,12.0,20.0,3.0,9.0,10.0,1.0,0.0,4.0,7.0,36.0,14.0,114.0,37.0,5.0,93.0,28.0,11.0,97.0,102.0,8.0,75.0,82.0,21.0,146.0,48.0,35.0
3287,24.0,4.0,5.0,9.0,16.0,1.0,2.0,0.0,32.0,7.0,3.0,14.0,6.0,54.0,8.0,62.0,48.0,12.0,11.0,44.0,65.0,29.0,104.0,10.0,33.0,55.0,38.0,78.0,101.0,108.0
3336,29.0,11.0,46.0,16.0,38.0,2.0,3.0,4.0,82.0,8.0,1.0,12.0,6.0,143.0,14.0,89.0,68.0,9.0,7.0,42.0,45.0,142.0,78.0,5.0,17.0,31.0,36.0,67.0,39.0,15.0
3385,19.0,0.0,30.0,38.0,1.0,2.0,15.0,13.0,18.0,10.0,8.0,74.0,9.0,11.0,3.0,124.0,14.0,4.0,20.0,82.0,17.0,24.0,7.0,22.0,34.0,29.0,58.0,121.0,12.0,42.0
3434,0.0,2.0,10.0,17.0,1.0,6.0,22.0,25.0,3.0,18.0,4.0,86.0,7.0,11.0,24.0,5.0,36.0,50.0,29.0,32.0,8.0,59.0,44.0,154.0,19.0,60.0,113.0,14.0,104.0,122.0
3483,4.0,1.0,2.0,24.0,22.0,10.0,9.0,17.0,19.0,32.0,55.0,0.0,6.0,12.0,11.0,8.0,33.0,5.0,36.0,16.0,31.0,14.0,43.0,20.0,7.0,44.0,144.0,21.0,26.0,25.0
3532,4.0,1.0,2.0,47.0,0.0,5.0,13.0,38.0,6.0,24.0,11.0,25.0,32.0,23.0,16.0,28.0,3.0,37.0,27.0,19.0,10.0,7.0,102.0,39.0,9.0,42.0,30.0,74.0,54.0,33.0
3581,0.0,9.0,17.0,30.0,3.0,18.0,1.0,7.0,15.0,25.0,87.0,16.0,20.0,94.0,46.0,24.0,11.0,14.0,6.0,71.0,5.0,2.0,53.0,93.0,8.0,31.0,102.0,35.0,130.0,22.0
3630,27.0,2.0,1.0,22.0,0.0,26.0,53.0,69.0,5.0,3.0,12.0,15.0,9.0,6.0,29.0,38.0,18.0,59.0,57.0,10.0,13.0,19.0,40.0,36.0,4.0,75.0,17.0,8.0,46.0,63.0
3679,1.0,39.0,22.0,16.0,0.0,5.0,9.0,23.0,2.0,4.0,148.0,29.0,57.0,76.0,41.0,11.0,15.0,3.0,13.0,10.0,38.0,8.0,60.0,18.0,6.0,65.0,141.0,20.0,75.0,143.0
3728,39.0,12.0,7.0,1.0,6.0,0.0,4.0,18.0,11.0,8.0,59.0,21.0,33.0,5.0,65.0,23.0,27.0,19.0,68.0,3.0,24.0,26.0,77.0,69.0,9.0,35.0,53.0,71.0,79.0,88.0
3777,0.0,1.0,14.0,3.0,22.0,12.0,15.0,58.0,42.0,17.0,8.0,5.0,13.0,50.0,11.0,133.0,127.0,20.0,46.0,26.0,27.0,19.0,44.0,75.0,21.0,138.0,71.0,38.0,34.0,32.0
3826,2.0,0.0,16.0,78.0,1.0,8.0,36.0,94.0,3.0,7.0,9.0,10.0,55.0,32.0,6.0,14.0,12.0,44.0,29.0,4.0,23.0,17.0,140.0,150.0,11.0,26.0,84.0,57.0,74.0,104.0
3875,1.0,10.0,6.0,11.0,3.0,39.0,32.0,22.0,0.0,19.0,31.0,36.0,4.0,63.0,2.0,65.0,18.0,33.0,58.0,29.0,40.0,20.0,13.0,28.0,21.0,64.0,50.0,12.0,52.0,8.0
3924,27.0,5.0,2.0,0.0,33.0,3.0,9.0,74.0,16.0,4.0,32.0,15.0,1.0,132.0,12.0,8.0,24.0,48.0,10.0,34.0,61.0,55.0,17.0,21.0,30.0,37.0,41.0,56.0,7.0,14.0
3973,24.0,4.0,28.0,0.0,11.0,1.0,58.0,13.0,2.0,10.0,48.0,67.0,40.0,9.0,7.0,15.0,3.0,22.0,55.0,16.0,12.0,117.0,17.0,27.0,32.0,49.0,122.0,21.0,96.0,23.0
4022,23.0,8.0,32.0,5.0,19.0,20.0,0.0,10.0,1.0,13.0,31.0,36.0,48.0,3.0,22.0,34.0,7.0,24.0,12.0,85.0,27.0,16.0,15.0,108.0,153.0,105.0,18.0,9.0,17.0,2.0
4071,26.0,13.0,15.0,0.0,5.0,9.0,2.0,28.0,1.0,50.0,27.0,38.0,12.0,7.0,20.0,34.0,3.0,115.0,85.0,53.0,6.0,54.0,87.0,88.0,104.0,8.0,43.0,73.0,19.0,57.0
4120,8.0,12.0,14.0,9.0,1.0,0.0,17.0,23.0,3.0,24.0,11.0,44.0,4.0,13.0,15.0,7.0,2.0,16.0,34.0,71.0,37.0,6.0,32.0,33.0,105.0,19.0,21.0,68.0,25.0,62.0
4169,15.0,3.0,10.0,4.0,6.0,1.0,12.0,7.0,2.0,11.0,25.0,48.0,38.0,22.0,43.0,20.0,17.0,54.0,57.0,90.0,8.0,19.0,0.0,16.0,72.0,30.0,82.0,21.0,13.0,110.0
4218,22.0,7.0,5.0,6.0,39.0,0.0,10.0,29.0,1.0,4.0,19.0,33.0,3.0,42.0,9.0,32.0,37.0,70.0,12.0,17.0,90.0,84.0,18.0,46.0,45.0,11.0,104.0,80.0,85.0,13.0
4267,10.0,5.0,8.0,3.0,1.0,9.0,2.0,73.0,0.0,4.0,101.0,32.0,17.0,22.0,42.0,11.0,19.0,65.0,28.0,70.0,14.0,79.0,21.0,27.0,64.0,58.0,110.0,30.0,16.0,29.0
4316,6.0,4.0,7.0,3.0,1.0,5.0,14.0,32.0,0.0,22.0,70.0,8.0,20.0,57.0,18.0,31.0,2.0,36.0,17.0,16.0,10.0,39.0,12.0,23.0,59.0,44.0,52.0,83.0,95.0,100.0
4365,16.0,5.0,7.0,4.0,6.0,1.0,15.0,26.0,2.0,30.0,9.0,79.0,8.0,13.0,17.0,40.0,0.0,140.0,22.0,71.0,14.0,36.0,10.0,11.0,143.0,82.0,99.0,3.0,29.0,12.0
4414,1.0,5.0,14.0,92.0,15.0,9.0,46.0,3.0,11.0,10.0,7.0,0.0,37.0,4.0,81.0,27.0,47.0,8.0,6.0,13.0,16.0,48.0,94.0,134.0,108.0,22.0,34.0,12.0,75.0,83.0
4463,20.0,6.0,38.0,0.0,1.0,23.0,28.0,2.0,59.0,21.0,9.0,3.0,36.0,57.0,82.0,7.0,13.0,27.0,18.0,12.0,4.0,43.0,5.0,92.0,48.0,39.0,83.0,40.0,79.0,96.0
4512,1.0,5.0,8.0,45.0,2.0,10.0,14.0,0.0,41.0,6.0,26.0,13.0,15.0,7.0,42.0,20.0,25.0,29.0,23.0,4.0,30.0,80.0,19.0,102.0,11.0,16.0,9.0,57.0,127.0,67.0
4561,8.0,10.0,27.0,11.0,0.0,1.0,4.0,18.0,25.0,97.0,2.0,13.0,29.0,7.0,50.0,5.0,3.0,24.0,6.0,9.0,19.0,33.0,30.0,22.0,89.0,59.0,44.0,12.0,154.0,49.0
4610,7.0,5.0,12.0,1.0,6.0,10.0,17.0,2.0,25.0,8.0,11.0,4.0,24.0,19.0,15.0,57.0,3.0,48.0,27.0,0.0,35.0,43.0,21.0,23.0,16.0,14.0,42.0,93.0,32.0,33.0
4659,0.0,13.0,11.0,18.0,6.0,17.0,3.0,12.0,7.0,55.0,14.0,16.0,21.0,2.0,62.0,37.0,4.0,1.0,15.0,5.0,23.0,10.0,19.0,154.0,29.0,33.0,52.0,56.0,27.0,38.0
4708,36.0,0.0,32.0,15.0,1.0,8.0,11.0,3.0,6.0,12.0,14.0,4.0,57.0,10.0,145.0,2.0,21.0,31.0,41.0,93.0,97.0,158.0,5.0,51.0,125.0,55.0,7.0,13.0,22.0,23.0
4757,11.0,22.0,6.0,15.0,4.0,1.0,7.0,0.0,102.0,19.0,20.0,2.0,129.0,3.0,159.0,95.0,8.0,90.0,12.0,80.0,28.0,56.0,5.0,57.0,32.0,23.0,83.0,73.0,36.0,82.0
4806,7.0,5.0,116.0,2.0,12.0,34.0,8.0,1.0,35.0,25.0,4.0,6.0,9.0,0.0,114.0,14.0,10.0,23.0,33.0,16.0,56.0,51.0,11.0,19.0,134.0,13.0,78.0,30.0,44.0,102.0
4855,13.0,1.0,7.0,11.0,0.0,14.0,47.0,4.0,40.0,8.0,3.0,6.0,2.0,18.0,12.0,31.0,5.0,64.0,33.0,15.0,118.0,77.0,53.0,41.0,36.0,94.0,49.0,37.0,27.0,125.0
