,C36:1 DAG,C34:2 DAG,creatine,cotinine,C18:0 LPC,niacinamide,taurodeoxycholate,carnitine,malondialdehyde,hypoxanthine,homocysteine,C16:0 LPE,C56:5 TAG,N-carbamoyl-beta-alanine,hippurate,alpha-glycerophosphate,serotonin,C22:6 LPE,GABA,inositol,C36:4 PC-B,1-methylnicotinamide,dCMP,hexoses (HILIC neg),C56:3 TAG,3-phosphoglycerate,palmitoylcarnitine,PEP,pyroglutamic acid,alpha-hydroxybutyrate
2030,2.0,0.0,3.0,10.0,4.0,22.0,12.0,23.0,63.0,65.0,7.0,16.0,14.0,51.0,55.0,5.0,1.0,52.0,38.0,17.0,46.0,37.0,44.0,25.0,35.0,20.0,13.0,19.0,39.0,47.0
2079,1.0,2.0,19.0,3.0,4.0,25.0,24.0,8.0,29.0,37.0,17.0,0.0,28.0,62.0,58.0,5.0,31.0,20.0,36.0,33.0,7.0,11.0,30.0,26.0,14.0,23.0,6.0,27.0,15.0,39.0
2128,0.0,11.0,10.0,9.0,4.0,30.0,24.0,26.0,2.0,17.0,16.0,28.0,5.0,61.0,21.0,15.0,58.0,52.0,14.0,23.0,8.0,19.0,3.0,46.0,25.0,7.0,22.0,53.0,1.0,18.0
2177,10.0,0.0,4.0,7.0,1.0,3.0,8.0,42.0,32.0,55.0,17.0,9.0,38.0,37.0,62.0,23.0,15.0,31.0,18.0,14.0,2.0,59.0,6.0,30.0,20.0,35.0,24.0,61.0,11.0,40.0
2226,3.0,10.0,11.0,16.0,23.0,43.0,4.0,19.0,15.0,40.0,26.0,2.0,17.0,32.0,65.0,14.0,6.0,47.0,27.0,34.0,7.0,9.0,22.0,29.0,13.0,0.0,24.0,8.0,37.0,20.0
2275,6.0,0.0,1.0,13.0,3.0,8.0,11.0,9.0,58.0,24.0,34.0,12.0,35.0,5.0,54.0,16.0,2.0,33.0,17.0,29.0,14.0,45.0,41.0,42.0,20.0,47.0,32.0,50.0,27.0,59.0
2324,1.0,0.0,6.0,20.0,9.0,24.0,5.0,40.0,3.0,18.0,31.0,7.0,25.0,43.0,58.0,14.0,2.0,11.0,44.0,19.0,8.0,12.0,29.0,22.0,16.0,21.0,10.0,47.0,37.0,65.0
2373,1.0,0.0,4.0,10.0,6.0,19.0,2.0,3.0,24.0,22.0,20.0,18.0,7.0,29.0,12.0,23.0,16.0,42.0,50.0,13.0,41.0,21.0,17.0,9.0,48.0,5.0,34.0,56.0,14.0,60.0
2422,6.0,2.0,10.0,32.0,15.0,13.0,5.0,23.0,60.0,30.0,54.0,1.0,35.0,37.0,27.0,33.0,0.0,52.0,22.0,3.0,38.0,17.0,36.0,7.0,14.0,18.0,47.0,50.0,66.0,34.0
2471,5.0,4.0,6.0,13.0,0.0,29.0,8.0,17.0,1.0,9.0,11.0,2.0,16.0,47.0,60.0,14.0,23.0,7.0,15.0,27.0,21.0,59.0,44.0,41.0,43.0,38.0,40.0,25.0,49.0,54.0
2520,21.0,2.0,1.0,13.0,0.0,5.0,7.0,15.0,10.0,4.0,25.0,8.0,6.0,3.0,31.0,20.0,22.0,41.0,9.0,16.0,53.0,11.0,17.0,19.0,35.0,44.0,50.0,39.0,58.0,40.0
2569,14.0,0.0,19.0,31.0,1.0,51.0,16.0,17.0,13.0,7.0,33.0,2.0,23.0,9.0,26.0,58.0,37.0,6.0,15.0,11.0,42.0,29.0,28.0,8.0,22.0,57.0,4.0,27.0,30.0,61.0
2618,45.0,1.0,2.0,10.0,4.0,56.0,11.0,27.0,7.0,5.0,44.0,6.0,20.0,0.0,31.0,32.0,35.0,12.0,30.0,22.0,66.0,48.0,13.0,62.0,25.0,26.0,39.0,40.0,46.0,3.0
2667,24.0,7.0,29.0,34.0,0.0,31.0,9.0,49.0,19.0,4.0,12.0,2.0,11.0,6.0,1.0,57.0,17.0,20.0,8.0,16.0,21.0,38.0,14.0,41.0,43.0,25.0,5.0,33.0,15.0,3.0
2716,7.0,0.0,3.0,32.0,14.0,30.0,1.0,45.0,8.0,61.0,2.0,9.0,22.0,17.0,10.0,16.0,18.0,20.0,11.0,26.0,27.0,19.0,4.0,24.0,13.0,42.0,15.0,53.0,55.0,6.0
2765,14.0,0.0,16.0,23.0,2.0,6.0,9.0,60.0,38.0,13.0,3.0,1.0,51.0,12.0,5.0,25.0,15.0,20.0,26.0,54.0,29.0,35.0,10.0,4.0,11.0,21.0,44.0,34.0,52.0,55.0
2814,21.0,2.0,38.0,1.0,4.0,46.0,24.0,7.0,20.0,9.0,11.0,25.0,14.0,53.0,3.0,15.0,13.0,18.0,10.0,43.0,63.0,27.0,34.0,50.0,37.0,59.0,49.0,22.0,44.0,5.0
2863,13.0,0.0,5.0,2.0,4.0,7.0,8.0,41.0,29.0,6.0,30.0,15.0,3.0,56.0,17.0,26.0,19.0,42.0,28.0,11.0,40.0,34.0,39.0,44.0,9.0,38.0,22.0,10.0,32.0,12.0
2912,6.0,11.0,16.0,53.0,1.0,20.0,13.0,40.0,37.0,8.0,24.0,38.0,3.0,43.0,2.0,57.0,14.0,0.0,48.0,65.0,41.0,9.0,32.0,18.0,22.0,61.0,23.0,31.0,21.0,5.0
2961,1.0,5.0,3.0,0.0,10.0,2.0,40.0,32.0,18.0,47.0,17.0,12.0,8.0,15.0,6.0,7.0,33.0,31.0,22.0,23.0,4.0,64.0,21.0,14.0,26.0,62.0,11.0,56.0,34.0,19.0
3010,11.0,2.0,5.0,0.0,18.0,4.0,1.0,19.0,6.0,47.0,10.0,32.0,12.0,3.0,13.0,39.0,26.0,23.0,45.0,14.0,9.0,34.0,22.0,48.0,52.0,63.0,27.0,36.0,21.0,43.0
3059,3.0,15.0,1.0,0.0,29.0,28.0,6.0,5.0,14.0,24.0,10.0,33.0,9.0,13.0,2.0,11.0,21.0,43.0,16.0,62.0,18.0,23.0,12.0,25.0,57.0,39.0,20.0,26.0,19.0,49.0
3108,4.0,9.0,2.0,0.0,5.0,14.0,12.0,15.0,58.0,42.0,29.0,17.0,11.0,26.0,31.0,7.0,35.0,38.0,10.0,27.0,1.0,53.0,6.0,28.0,51.0,30.0,19.0,22.0,3.0,32.0
3157,8.0,11.0,6.0,0.0,9.0,12.0,30.0,7.0,5.0,38.0,17.0,56.0,1.0,4.0,10.0,2.0,37.0,19.0,28.0,57.0,3.0,14.0,18.0,48.0,64.0,27.0,13.0,50.0,20.0,33.0
3206,3.0,1.0,9.0,30.0,2.0,6.0,11.0,50.0,33.0,25.0,16.0,15.0,24.0,4.0,0.0,12.0,40.0,21.0,5.0,10.0,22.0,27.0,23.0,39.0,46.0,58.0,19.0,53.0,8.0,35.0
3255,48.0,9.0,2.0,1.0,16.0,0.0,24.0,20.0,31.0,38.0,15.0,53.0,11.0,19.0,33.0,3.0,65.0,10.0,4.0,54.0,8.0,17.0,56.0,47.0,43.0,34.0,27.0,23.0,64.0,42.0
3304,8.0,3.0,0.0,1.0,18.0,6.0,16.0,5.0,13.0,64.0,9.0,34.0,10.0,29.0,12.0,14.0,39.0,28.0,24.0,2.0,4.0,33.0,38.0,56.0,26.0,42.0,20.0,43.0,31.0,54.0
3353,11.0,3.0,4.0,1.0,5.0,12.0,8.0,14.0,38.0,43.0,19.0,24.0,9.0,2.0,18.0,0.0,6.0,13.0,28.0,16.0,10.0,22.0,15.0,57.0,26.0,59.0,62.0,36.0,21.0,17.0
3402,19.0,13.0,1.0,0.0,10.0,29.0,8.0,27.0,25.0,38.0,5.0,12.0,11.0,39.0,6.0,15.0,50.0,4.0,24.0,2.0,3.0,14.0,26.0,20.0,51.0,59.0,62.0,60.0,9.0,40.0
3451,0.0,3.0,5.0,4.0,1.0,41.0,18.0,6.0,2.0,15.0,20.0,56.0,19.0,23.0,14.0,21.0,8.0,39.0,48.0,11.0,13.0,22.0,7.0,36.0,30.0,65.0,9.0,33.0,47.0,24.0
3500,1.0,0.0,11.0,3.0,28.0,29.0,5.0,6.0,25.0,2.0,7.0,26.0,9.0,13.0,20.0,15.0,4.0,53.0,24.0,23.0,30.0,14.0,10.0,46.0,31.0,57.0,36.0,58.0,61.0,18.0
3549,10.0,2.0,1.0,3.0,31.0,4.0,7.0,0.0,22.0,16.0,12.0,30.0,34.0,8.0,5.0,21.0,9.0,38.0,17.0,26.0,6.0,24.0,56.0,52.0,35.0,47.0,32.0,13.0,20.0,61.0
3598,2.0,1.0,3.0,0.0,36.0,25.0,16.0,56.0,6.0,22.0,4.0,7.0,14.0,9.0,26.0,24.0,13.0,50.0,31.0,40.0,5.0,10.0,57.0,33.0,64.0,49.0,15.0,32.0,29.0,43.0
3647,3.0,1.0,4.0,0.0,35.0,12.0,2.0,30.0,6.0,57.0,17.0,5.0,23.0,8.0,25.0,59.0,20.0,19.0,11.0,14.0,10.0,15.0,24.0,50.0,49.0,61.0,21.0,29.0,62.0,13.0
3696,1.0,0.0,3.0,2.0,14.0,22.0,10.0,54.0,7.0,5.0,24.0,32.0,11.0,13.0,48.0,18.0,20.0,65.0,15.0,23.0,12.0,17.0,52.0,21.0,16.0,30.0,28.0,6.0,55.0,43.0
3745,0.0,9.0,19.0,2.0,23.0,22.0,1.0,16.0,15.0,20.0,3.0,12.0,8.0,7.0,31.0,60.0,41.0,58.0,29.0,39.0,4.0,18.0,10.0,17.0,53.0,46.0,42.0,13.0,21.0,55.0
3794,0.0,5.0,3.0,1.0,21.0,12.0,35.0,14.0,28.0,17.0,6.0,4.0,30.0,33.0,10.0,50.0,20.0,52.0,19.0,26.0,2.0,27.0,47.0,15.0,49.0,66.0,11.0,16.0,24.0,13.0
3843,4.0,5.0,1.0,0.0,46.0,9.0,20.0,15.0,53.0,18.0,65.0,37.0,19.0,35.0,29.0,11.0,21.0,30.0,47.0,12.0,3.0,28.0,61.0,38.0,48.0,40.0,8.0,16.0,24.0,14.0
3892,0.0,34.0,2.0,1.0,21.0,20.0,33.0,8.0,6.0,35.0,19.0,16.0,25.0,5.0,49.0,22.0,12.0,38.0,13.0,3.0,26.0,4.0,30.0,43.0,50.0,10.0,9.0,14.0,41.0,42.0
3941,5.0,2.0,3.0,7.0,1.0,0.0,25.0,19.0,42.0,51.0,46.0,18.0,43.0,9.0,4.0,26.0,44.0,12.0,17.0,21.0,14.0,16.0,24.0,11.0,27.0,58.0,57.0,8.0,20.0,36.0
3990,5.0,2.0,1.0,8.0,3.0,0.0,19.0,10.0,12.0,23.0,4.0,21.0,22.0,39.0,16.0,45.0,17.0,13.0,18.0,24.0,26.0,28.0,25.0,58.0,40.0,30.0,52.0,15.0,41.0,32.0
4039,12.0,1.0,4.0,7.0,0.0,5.0,22.0,3.0,55.0,33.0,62.0,27.0,25.0,9.0,2.0,39.0,49.0,21.0,24.0,58.0,10.0,8.0,50.0,30.0,11.0,41.0,59.0,16.0,34.0,6.0
4088,1.0,4.0,48.0,0.0,2.0,15.0,19.0,3.0,28.0,26.0,61.0,36.0,8.0,16.0,5.0,11.0,10.0,7.0,13.0,34.0,17.0,29.0,22.0,18.0,40.0,33.0,12.0,58.0,43.0,35.0
4137,1.0,7.0,12.0,5.0,2.0,0.0,10.0,17.0,27.0,22.0,26.0,34.0,6.0,33.0,3.0,18.0,20.0,4.0,19.0,48.0,53.0,51.0,15.0,38.0,36.0,31.0,39.0,24.0,14.0,59.0
4186,0.0,7.0,20.0,11.0,8.0,1.0,52.0,6.0,30.0,3.0,34.0,37.0,28.0,4.0,2.0,19.0,22.0,14.0,21.0,42.0,48.0,18.0,32.0,9.0,25.0,26.0,60.0,12.0,36.0,61.0
4235,4.0,1.0,0.0,8.0,7.0,5.0,6.0,10.0,12.0,47.0,53.0,37.0,9.0,14.0,36.0,19.0,17.0,2.0,13.0,58.0,16.0,46.0,23.0,31.0,40.0,22.0,43.0,3.0,64.0,50.0
4284,2.0,1.0,13.0,5.0,4.0,14.0,10.0,6.0,46.0,44.0,58.0,34.0,20.0,8.0,3.0,23.0,36.0,0.0,22.0,45.0,24.0,16.0,18.0,37.0,25.0,19.0,57.0,56.0,27.0,51.0
4333,16.0,22.0,6.0,1.0,0.0,12.0,24.0,21.0,10.0,14.0,28.0,33.0,20.0,8.0,17.0,13.0,39.0,2.0,19.0,64.0,27.0,15.0,29.0,49.0,48.0,30.0,36.0,41.0,42.0,25.0
4382,2.0,3.0,7.0,31.0,4.0,1.0,16.0,12.0,45.0,39.0,9.0,22.0,5.0,23.0,0.0,62.0,48.0,10.0,59.0,24.0,26.0,19.0,41.0,14.0,43.0,65.0,51.0,58.0,8.0,64.0
4431,4.0,29.0,9.0,0.0,28.0,5.0,16.0,2.0,12.0,24.0,1.0,55.0,18.0,21.0,30.0,53.0,11.0,3.0,25.0,19.0,10.0,37.0,15.0,7.0,62.0,23.0,8.0,61.0,6.0,17.0
4480,2.0,10.0,4.0,6.0,8.0,0.0,7.0,16.0,5.0,20.0,1.0,9.0,40.0,3.0,44.0,60.0,14.0,41.0,35.0,11.0,32.0,52.0,42.0,24.0,28.0,45.0,17.0,49.0,15.0,19.0
4529,2.0,34.0,6.0,11.0,16.0,5.0,1.0,8.0,0.0,13.0,3.0,64.0,25.0,33.0,7.0,23.0,44.0,9.0,49.0,4.0,37.0,15.0,30.0,53.0,29.0,12.0,32.0,19.0,39.0,14.0
4578,5.0,6.0,7.0,4.0,3.0,9.0,2.0,8.0,0.0,10.0,1.0,17.0,54.0,33.0,25.0,22.0,42.0,27.0,18.0,14.0,26.0,35.0,23.0,28.0,12.0,37.0,20.0,47.0,52.0,29.0
4627,0.0,12.0,7.0,29.0,55.0,5.0,8.0,32.0,1.0,6.0,2.0,49.0,17.0,13.0,61.0,54.0,38.0,33.0,3.0,45.0,58.0,20.0,26.0,19.0,31.0,28.0,37.0,18.0,25.0,22.0
4676,4.0,1.0,7.0,6.0,35.0,18.0,2.0,20.0,5.0,19.0,10.0,58.0,17.0,0.0,3.0,63.0,25.0,23.0,22.0,9.0,61.0,52.0,16.0,8.0,14.0,29.0,33.0,43.0,48.0,54.0
4725,21.0,2.0,11.0,13.0,51.0,0.0,1.0,31.0,4.0,17.0,6.0,18.0,19.0,23.0,7.0,42.0,40.0,5.0,41.0,53.0,15.0,56.0,50.0,9.0,28.0,29.0,30.0,34.0,65.0,16.0
4774,2.0,8.0,5.0,3.0,11.0,0.0,4.0,14.0,1.0,12.0,7.0,16.0,27.0,22.0,57.0,20.0,18.0,33.0,36.0,10.0,54.0,40.0,58.0,6.0,13.0,21.0,51.0,28.0,32.0,29.0
4823,7.0,3.0,2.0,4.0,11.0,1.0,27.0,16.0,10.0,39.0,5.0,18.0,14.0,61.0,63.0,17.0,29.0,22.0,44.0,0.0,62.0,45.0,37.0,20.0,19.0,28.0,6.0,33.0,48.0,35.0
4872,16.0,24.0,2.0,15.0,32.0,0.0,9.0,10.0,17.0,3.0,7.0,37.0,25.0,35.0,18.0,38.0,8.0,64.0,46.0,5.0,65.0,1.0,42.0,26.0,56.0,4.0,27.0,62.0,6.0,41.0
