,hsa-miR-363,hsa-miR-129-5p,hsa-miR-99a,hsa-miR-484,hsa-miR-22,hsa-miR-607,hsa-miR-320d,hsa-miR-142-5p,hsa-miR-491-3p,hsa-miR-589,hsa-miR-583,hsa-miR-588,hsa-miR-586,hsa-miR-587,hsa-miR-581,hsa-miR-584,hsa-miR-582-5p,hsa-miR-590-3p,hsa-miR-582-3p,hsa-miR-579,hsa-miR-577,hsa-miR-580,hsa-miR-578,hsa-miR-590-5p,hsa-miR-576-5p,hsa-miR-576-3p,hsa-let-7a,hsa-miR-591,hsa-miR-592,hsa-miR-623
1196,22.0,3.0,198.0,548.0,566.0,45.0,39.0,335.0,0.0,47.0,54.0,50.0,52.0,63.0,56.0,53.0,51.0,49.0,55.0,58.0,60.0,57.0,59.0,48.0,61.0,62.0,46.0,64.0,90.0,73.0
1245,16.0,7.0,196.0,4.0,32.0,12.0,36.0,332.0,43.0,54.0,56.0,55.0,60.0,59.0,38.0,57.0,39.0,52.0,53.0,47.0,90.0,51.0,49.0,61.0,98.0,136.0,3.0,48.0,50.0,68.0
1294,18.0,22.0,196.0,548.0,28.0,1.0,597.0,329.0,533.0,47.0,53.0,49.0,65.0,50.0,56.0,52.0,51.0,46.0,55.0,58.0,23.0,57.0,59.0,48.0,62.0,25.0,96.0,66.0,81.0,68.0
1343,498.0,402.0,198.0,9.0,13.0,92.0,1.0,344.0,0.0,5.0,50.0,46.0,62.0,47.0,53.0,49.0,51.0,45.0,52.0,55.0,57.0,63.0,56.0,42.0,58.0,59.0,48.0,43.0,44.0,72.0
1392,556.0,9.0,263.0,521.0,580.0,59.0,619.0,11.0,3.0,35.0,72.0,76.0,74.0,75.0,69.0,73.0,71.0,78.0,70.0,67.0,65.0,68.0,66.0,62.0,64.0,82.0,20.0,79.0,61.0,111.0
1441,512.0,459.0,202.0,0.0,24.0,1.0,599.0,338.0,25.0,8.0,62.0,58.0,60.0,59.0,34.0,61.0,52.0,57.0,55.0,54.0,51.0,53.0,63.0,56.0,91.0,99.0,2.0,19.0,49.0,75.0
1490,513.0,458.0,20.0,34.0,38.0,79.0,598.0,335.0,32.0,47.0,68.0,50.0,18.0,51.0,63.0,55.0,57.0,84.0,60.0,67.0,59.0,65.0,64.0,71.0,53.0,98.0,100.0,97.0,70.0,49.0
1539,1.0,347.0,8.0,4.0,11.0,16.0,601.0,40.0,518.0,59.0,58.0,50.0,56.0,55.0,53.0,48.0,57.0,47.0,54.0,51.0,29.0,52.0,49.0,44.0,43.0,31.0,171.0,46.0,60.0,70.0
1588,1.0,383.0,195.0,550.0,0.0,19.0,28.0,22.0,8.0,79.0,48.0,41.0,45.0,42.0,55.0,47.0,51.0,66.0,54.0,57.0,60.0,56.0,58.0,90.0,62.0,93.0,328.0,87.0,86.0,44.0
1637,19.0,22.0,4.0,1.0,43.0,15.0,26.0,24.0,553.0,49.0,67.0,47.0,52.0,48.0,58.0,53.0,55.0,50.0,57.0,63.0,66.0,62.0,65.0,51.0,82.0,155.0,175.0,70.0,97.0,89.0
1686,497.0,15.0,5.0,0.0,26.0,24.0,17.0,332.0,35.0,49.0,19.0,51.0,69.0,46.0,60.0,56.0,58.0,23.0,59.0,62.0,18.0,61.0,63.0,45.0,65.0,66.0,326.0,44.0,48.0,79.0
1735,20.0,24.0,25.0,36.0,38.0,31.0,599.0,336.0,39.0,82.0,53.0,51.0,46.0,52.0,57.0,23.0,55.0,70.0,56.0,60.0,28.0,59.0,61.0,69.0,63.0,65.0,327.0,92.0,91.0,47.0
1784,22.0,406.0,195.0,4.0,40.0,13.0,2.0,347.0,5.0,49.0,25.0,50.0,53.0,52.0,64.0,55.0,60.0,46.0,61.0,56.0,51.0,62.0,65.0,58.0,48.0,93.0,95.0,68.0,90.0,54.0
1833,22.0,457.0,38.0,0.0,566.0,17.0,601.0,337.0,1.0,49.0,57.0,53.0,55.0,54.0,52.0,56.0,43.0,42.0,58.0,50.0,48.0,51.0,59.0,47.0,45.0,85.0,26.0,44.0,46.0,32.0
1882,17.0,20.0,3.0,38.0,34.0,31.0,24.0,26.0,0.0,16.0,71.0,95.0,70.0,96.0,51.0,97.0,69.0,7.0,57.0,49.0,2.0,46.0,50.0,94.0,54.0,59.0,4.0,93.0,92.0,55.0
1931,4.0,403.0,198.0,1.0,34.0,110.0,599.0,344.0,0.0,37.0,57.0,54.0,52.0,53.0,30.0,51.0,50.0,56.0,49.0,58.0,27.0,47.0,59.0,67.0,74.0,73.0,5.0,76.0,77.0,183.0
1980,21.0,404.0,201.0,548.0,563.0,66.0,45.0,36.0,41.0,65.0,1.0,63.0,62.0,54.0,64.0,61.0,57.0,60.0,56.0,47.0,88.0,50.0,49.0,59.0,98.0,165.0,0.0,55.0,52.0,75.0
2029,13.0,20.0,200.0,5.0,3.0,18.0,0.0,333.0,46.0,27.0,19.0,49.0,50.0,51.0,55.0,64.0,53.0,56.0,54.0,57.0,25.0,52.0,58.0,65.0,59.0,60.0,101.0,91.0,67.0,73.0
2078,7.0,1.0,28.0,2.0,20.0,35.0,4.0,458.0,5.0,76.0,71.0,75.0,73.0,74.0,68.0,72.0,77.0,62.0,70.0,66.0,64.0,67.0,65.0,69.0,63.0,36.0,10.0,61.0,59.0,109.0
2127,8.0,26.0,34.0,28.0,42.0,1.0,38.0,33.0,553.0,18.0,59.0,57.0,60.0,58.0,54.0,52.0,56.0,61.0,55.0,62.0,50.0,53.0,47.0,51.0,48.0,91.0,3.0,49.0,25.0,71.0
2176,514.0,2.0,14.0,7.0,5.0,16.0,28.0,3.0,553.0,17.0,46.0,62.0,53.0,60.0,57.0,58.0,51.0,54.0,61.0,59.0,55.0,44.0,56.0,50.0,52.0,90.0,6.0,49.0,48.0,69.0
2225,21.0,2.0,23.0,37.0,35.0,31.0,29.0,27.0,536.0,56.0,45.0,50.0,51.0,49.0,57.0,52.0,54.0,96.0,55.0,61.0,64.0,58.0,62.0,70.0,65.0,66.0,0.0,95.0,69.0,46.0
2274,9.0,458.0,202.0,2.0,561.0,34.0,7.0,26.0,537.0,4.0,54.0,61.0,52.0,51.0,56.0,53.0,62.0,48.0,55.0,58.0,60.0,57.0,59.0,47.0,92.0,98.0,50.0,45.0,49.0,70.0
2323,16.0,5.0,3.0,548.0,26.0,22.0,600.0,334.0,536.0,64.0,71.0,66.0,68.0,67.0,62.0,70.0,47.0,63.0,65.0,56.0,104.0,61.0,55.0,73.0,106.0,140.0,329.0,60.0,72.0,29.0
2372,555.0,22.0,28.0,21.0,581.0,68.0,7.0,459.0,547.0,75.0,32.0,74.0,72.0,73.0,67.0,71.0,76.0,61.0,69.0,65.0,63.0,66.0,64.0,60.0,62.0,113.0,4.0,59.0,51.0,109.0
2421,19.0,1.0,199.0,549.0,563.0,0.0,599.0,25.0,518.0,5.0,26.0,56.0,58.0,57.0,54.0,53.0,52.0,60.0,61.0,59.0,49.0,55.0,51.0,50.0,47.0,46.0,15.0,48.0,44.0,73.0
2470,32.0,402.0,21.0,4.0,5.0,17.0,37.0,3.0,41.0,56.0,63.0,47.0,46.0,48.0,15.0,49.0,52.0,64.0,53.0,55.0,57.0,54.0,51.0,81.0,58.0,59.0,50.0,66.0,96.0,71.0
2519,16.0,404.0,9.0,4.0,0.0,97.0,28.0,40.0,44.0,21.0,58.0,61.0,55.0,54.0,6.0,56.0,48.0,50.0,57.0,51.0,60.0,62.0,53.0,22.0,59.0,52.0,175.0,81.0,64.0,73.0
2568,514.0,457.0,201.0,549.0,29.0,93.0,600.0,332.0,2.0,47.0,57.0,50.0,26.0,49.0,52.0,55.0,59.0,46.0,62.0,56.0,53.0,58.0,54.0,45.0,51.0,61.0,63.0,23.0,44.0,70.0
2617,0.0,456.0,9.0,14.0,2.0,92.0,30.0,332.0,37.0,43.0,52.0,47.0,50.0,61.0,58.0,51.0,53.0,44.0,55.0,49.0,56.0,59.0,60.0,45.0,54.0,62.0,173.0,46.0,57.0,72.0
2666,515.0,14.0,194.0,0.0,1.0,93.0,602.0,9.0,32.0,74.0,51.0,58.0,53.0,54.0,47.0,52.0,55.0,110.0,48.0,45.0,50.0,46.0,44.0,95.0,56.0,65.0,6.0,96.0,97.0,23.0
2715,514.0,20.0,199.0,43.0,0.0,78.0,600.0,334.0,32.0,52.0,53.0,46.0,49.0,48.0,57.0,47.0,55.0,58.0,56.0,60.0,63.0,59.0,61.0,70.0,65.0,66.0,100.0,97.0,69.0,94.0
2764,2.0,348.0,8.0,39.0,1.0,99.0,599.0,26.0,40.0,62.0,68.0,63.0,65.0,64.0,108.0,67.0,70.0,61.0,71.0,144.0,4.0,107.0,145.0,60.0,146.0,147.0,9.0,59.0,73.0,81.0
2813,3.0,404.0,199.0,7.0,1.0,75.0,600.0,336.0,2.0,49.0,56.0,51.0,53.0,52.0,59.0,55.0,57.0,46.0,58.0,62.0,64.0,61.0,63.0,69.0,65.0,66.0,327.0,70.0,95.0,79.0
2862,496.0,454.0,195.0,29.0,0.0,90.0,601.0,38.0,1.0,43.0,56.0,51.0,54.0,53.0,52.0,55.0,58.0,45.0,46.0,49.0,48.0,50.0,47.0,41.0,59.0,42.0,97.0,22.0,57.0,70.0
2911,499.0,457.0,199.0,4.0,0.0,21.0,37.0,337.0,31.0,45.0,52.0,46.0,48.0,47.0,13.0,62.0,53.0,44.0,54.0,51.0,42.0,55.0,56.0,49.0,57.0,58.0,64.0,50.0,63.0,71.0
2960,19.0,2.0,9.0,0.0,4.0,95.0,602.0,44.0,41.0,46.0,56.0,50.0,52.0,51.0,49.0,54.0,58.0,47.0,60.0,55.0,30.0,57.0,53.0,79.0,59.0,45.0,327.0,62.0,82.0,72.0
3009,4.0,364.0,199.0,2.0,8.0,23.0,30.0,337.0,41.0,56.0,55.0,57.0,43.0,58.0,61.0,59.0,54.0,53.0,60.0,48.0,51.0,45.0,52.0,47.0,49.0,46.0,62.0,50.0,25.0,70.0
3058,14.0,8.0,6.0,547.0,0.0,12.0,597.0,13.0,4.0,15.0,51.0,47.0,49.0,48.0,54.0,50.0,52.0,59.0,53.0,56.0,27.0,55.0,57.0,44.0,58.0,96.0,46.0,43.0,45.0,68.0
3107,4.0,12.0,195.0,7.0,0.0,92.0,32.0,26.0,38.0,11.0,16.0,43.0,48.0,60.0,52.0,49.0,50.0,45.0,51.0,53.0,55.0,61.0,54.0,46.0,56.0,57.0,47.0,44.0,8.0,71.0
3156,497.0,7.0,194.0,0.0,10.0,12.0,2.0,335.0,519.0,48.0,53.0,43.0,60.0,45.0,11.0,50.0,54.0,46.0,56.0,58.0,41.0,57.0,59.0,47.0,55.0,52.0,61.0,93.0,63.0,31.0
3205,25.0,22.0,201.0,6.0,24.0,97.0,35.0,4.0,41.0,52.0,56.0,48.0,54.0,53.0,29.0,55.0,57.0,51.0,58.0,60.0,165.0,59.0,98.0,50.0,100.0,153.0,63.0,49.0,61.0,68.0
3254,6.0,0.0,13.0,7.0,8.0,89.0,2.0,1.0,40.0,4.0,54.0,49.0,52.0,51.0,50.0,53.0,47.0,48.0,56.0,44.0,46.0,57.0,42.0,43.0,83.0,95.0,58.0,45.0,55.0,29.0
3303,6.0,8.0,199.0,547.0,561.0,28.0,22.0,20.0,38.0,58.0,63.0,59.0,61.0,60.0,66.0,62.0,64.0,57.0,65.0,106.0,107.0,91.0,141.0,55.0,144.0,145.0,176.0,70.0,45.0,86.0
3352,7.0,13.0,12.0,41.0,26.0,97.0,17.0,338.0,42.0,58.0,35.0,63.0,66.0,64.0,3.0,67.0,68.0,57.0,69.0,138.0,141.0,75.0,106.0,51.0,142.0,9.0,172.0,47.0,48.0,80.0
3401,18.0,2.0,198.0,4.0,3.0,90.0,43.0,8.0,42.0,20.0,11.0,60.0,54.0,52.0,0.0,55.0,57.0,51.0,59.0,58.0,35.0,53.0,56.0,50.0,49.0,48.0,61.0,87.0,63.0,70.0
3450,510.0,20.0,202.0,545.0,36.0,75.0,24.0,22.0,552.0,50.0,23.0,48.0,49.0,51.0,60.0,52.0,57.0,68.0,58.0,65.0,83.0,64.0,66.0,70.0,97.0,137.0,16.0,95.0,69.0,54.0
3499,519.0,1.0,263.0,40.0,580.0,33.0,7.0,457.0,0.0,34.0,35.0,74.0,72.0,73.0,36.0,71.0,69.0,76.0,68.0,65.0,63.0,66.0,64.0,61.0,62.0,114.0,41.0,60.0,58.0,109.0
3548,17.0,21.0,201.0,31.0,564.0,47.0,28.0,337.0,44.0,18.0,26.0,48.0,56.0,52.0,61.0,57.0,59.0,74.0,60.0,65.0,67.0,64.0,66.0,98.0,69.0,70.0,102.0,97.0,96.0,89.0
3597,512.0,3.0,20.0,547.0,563.0,6.0,2.0,23.0,0.0,54.0,49.0,46.0,44.0,51.0,58.0,48.0,64.0,95.0,52.0,61.0,63.0,59.0,62.0,67.0,81.0,155.0,328.0,96.0,93.0,45.0
3646,498.0,348.0,197.0,43.0,568.0,30.0,603.0,18.0,3.0,91.0,46.0,67.0,65.0,80.0,45.0,54.0,44.0,87.0,51.0,50.0,21.0,49.0,53.0,86.0,56.0,57.0,173.0,85.0,82.0,32.0
3695,499.0,0.0,3.0,5.0,567.0,15.0,602.0,21.0,43.0,40.0,20.0,46.0,49.0,48.0,53.0,61.0,51.0,47.0,52.0,55.0,57.0,54.0,56.0,62.0,58.0,59.0,50.0,88.0,64.0,71.0
3744,511.0,1.0,201.0,3.0,560.0,10.0,45.0,40.0,553.0,52.0,5.0,54.0,56.0,53.0,43.0,57.0,60.0,48.0,62.0,58.0,61.0,59.0,55.0,49.0,51.0,98.0,327.0,50.0,80.0,70.0
3793,14.0,6.0,200.0,546.0,562.0,95.0,39.0,29.0,537.0,50.0,62.0,53.0,57.0,54.0,51.0,58.0,59.0,49.0,60.0,55.0,61.0,56.0,52.0,48.0,46.0,45.0,63.0,81.0,64.0,71.0
3842,28.0,1.0,2.0,550.0,563.0,103.0,600.0,12.0,23.0,62.0,52.0,57.0,55.0,56.0,49.0,53.0,51.0,76.0,50.0,47.0,58.0,48.0,46.0,94.0,59.0,75.0,4.0,77.0,97.0,20.0
3891,499.0,1.0,10.0,43.0,563.0,105.0,600.0,17.0,0.0,67.0,20.0,68.0,36.0,69.0,28.0,48.0,72.0,66.0,70.0,53.0,110.0,59.0,109.0,65.0,145.0,146.0,2.0,33.0,62.0,23.0
3940,1.0,20.0,27.0,2.0,577.0,36.0,5.0,17.0,24.0,40.0,73.0,76.0,74.0,75.0,69.0,80.0,71.0,78.0,70.0,67.0,117.0,68.0,66.0,79.0,119.0,190.0,3.0,65.0,72.0,110.0
3989,0.0,385.0,13.0,4.0,24.0,9.0,46.0,346.0,553.0,15.0,59.0,62.0,50.0,49.0,58.0,63.0,56.0,60.0,53.0,55.0,54.0,64.0,61.0,52.0,99.0,100.0,65.0,51.0,57.0,74.0
4038,3.0,440.0,10.0,24.0,25.0,11.0,40.0,29.0,2.0,45.0,18.0,48.0,61.0,50.0,62.0,52.0,54.0,46.0,55.0,59.0,60.0,56.0,51.0,47.0,58.0,57.0,63.0,88.0,5.0,71.0
4087,2.0,26.0,5.0,41.0,6.0,9.0,27.0,7.0,553.0,48.0,57.0,49.0,55.0,53.0,61.0,56.0,59.0,47.0,60.0,42.0,52.0,62.0,64.0,46.0,51.0,154.0,175.0,45.0,66.0,84.0
4136,14.0,7.0,201.0,26.0,40.0,95.0,2.0,340.0,37.0,49.0,55.0,45.0,53.0,50.0,46.0,18.0,56.0,58.0,61.0,57.0,54.0,59.0,51.0,97.0,52.0,60.0,62.0,63.0,82.0,72.0
4185,1.0,12.0,22.0,548.0,23.0,15.0,603.0,340.0,13.0,35.0,51.0,49.0,47.0,48.0,11.0,61.0,52.0,62.0,53.0,54.0,56.0,50.0,55.0,81.0,57.0,58.0,63.0,64.0,84.0,73.0
4234,14.0,9.0,8.0,2.0,559.0,94.0,27.0,41.0,537.0,19.0,3.0,61.0,57.0,60.0,62.0,56.0,48.0,63.0,55.0,58.0,91.0,59.0,49.0,54.0,101.0,140.0,64.0,53.0,52.0,71.0
4283,3.0,2.0,1.0,0.0,568.0,30.0,27.0,24.0,537.0,92.0,46.0,68.0,66.0,81.0,65.0,55.0,45.0,91.0,48.0,58.0,29.0,57.0,61.0,90.0,63.0,64.0,330.0,87.0,16.0,51.0
4332,3.0,457.0,24.0,42.0,39.0,31.0,2.0,334.0,534.0,90.0,8.0,92.0,68.0,93.0,49.0,13.0,53.0,89.0,46.0,67.0,59.0,47.0,58.0,88.0,60.0,26.0,327.0,87.0,86.0,52.0
4381,5.0,4.0,2.0,9.0,566.0,94.0,42.0,334.0,27.0,48.0,53.0,54.0,62.0,60.0,44.0,11.0,56.0,47.0,51.0,57.0,61.0,50.0,58.0,46.0,55.0,52.0,99.0,45.0,80.0,79.0
4430,9.0,7.0,199.0,43.0,570.0,27.0,3.0,345.0,519.0,58.0,64.0,73.0,62.0,61.0,67.0,63.0,65.0,57.0,66.0,69.0,19.0,68.0,70.0,55.0,100.0,0.0,18.0,54.0,53.0,82.0
4479,19.0,21.0,25.0,547.0,561.0,5.0,597.0,24.0,553.0,50.0,23.0,48.0,46.0,47.0,58.0,52.0,55.0,51.0,57.0,61.0,63.0,59.0,62.0,66.0,64.0,96.0,15.0,81.0,68.0,83.0
4528,513.0,454.0,201.0,43.0,0.0,77.0,597.0,330.0,518.0,48.0,22.0,47.0,52.0,49.0,58.0,54.0,56.0,50.0,57.0,60.0,63.0,68.0,61.0,51.0,64.0,27.0,98.0,83.0,70.0,92.0
4577,512.0,457.0,36.0,0.0,1.0,4.0,2.0,34.0,537.0,55.0,57.0,56.0,50.0,61.0,31.0,58.0,54.0,53.0,52.0,49.0,46.0,51.0,47.0,60.0,45.0,18.0,172.0,44.0,43.0,73.0
4626,9.0,7.0,6.0,35.0,26.0,0.0,15.0,17.0,519.0,22.0,68.0,51.0,56.0,57.0,72.0,69.0,67.0,47.0,66.0,63.0,59.0,65.0,61.0,48.0,102.0,105.0,3.0,54.0,50.0,80.0
4675,515.0,19.0,15.0,9.0,12.0,3.0,25.0,334.0,519.0,51.0,14.0,48.0,47.0,46.0,23.0,49.0,63.0,50.0,53.0,56.0,58.0,54.0,57.0,55.0,59.0,42.0,52.0,64.0,81.0,38.0
4724,18.0,21.0,200.0,33.0,40.0,4.0,2.0,24.0,553.0,70.0,19.0,68.0,50.0,52.0,20.0,49.0,54.0,69.0,47.0,57.0,59.0,67.0,58.0,93.0,60.0,26.0,0.0,92.0,91.0,48.0
4773,3.0,19.0,2.0,28.0,5.0,9.0,22.0,21.0,534.0,16.0,17.0,47.0,49.0,48.0,59.0,50.0,52.0,64.0,63.0,44.0,62.0,60.0,54.0,94.0,61.0,56.0,6.0,93.0,65.0,89.0
4822,5.0,4.0,3.0,2.0,1.0,26.0,603.0,335.0,536.0,57.0,71.0,58.0,73.0,59.0,29.0,72.0,70.0,48.0,69.0,65.0,63.0,74.0,64.0,49.0,62.0,30.0,10.0,50.0,51.0,84.0
4871,29.0,454.0,1.0,2.0,12.0,95.0,32.0,9.0,536.0,34.0,48.0,52.0,46.0,45.0,33.0,47.0,50.0,59.0,51.0,55.0,75.0,54.0,57.0,76.0,58.0,31.0,0.0,112.0,113.0,184.0
