,hsa-miR-135b,hsa-miR-1269,hsa-miR-1308,hsa-miR-361-5p,hsa-miR-1203,hsa-miR-449b,hsa-miR-2114,hsa-miR-662,hsa-miR-27b,hsa-miR-638,hsa-miR-603,hsa-miR-607,hsa-miR-1256,hsa-miR-938,hsa-miR-620,hsa-miR-384,hsa-miR-223,hsa-miR-568,hsa-miR-548a-3p,hsa-miR-1271,hsa-miR-523,kshv-miR-K12-10a+kshv-miR-K12-10b,hsa-miR-129-3p,hsa-miR-548b-3p,hsa-miR-219-1-3p,hsa-miR-423-5p,hsa-miR-155,hsa-miR-326,hsv1-miR-H7,hsa-miR-650
1240,4.0,6.0,22.0,1.0,13.0,3.0,0.0,32.0,62.0,2.0,26.0,29.0,24.0,23.0,11.0,107.0,28.0,110.0,140.0,42.0,21.0,15.0,10.0,9.0,30.0,53.0,16.0,31.0,19.0,67.0
1289,1.0,14.0,11.0,7.0,10.0,0.0,4.0,8.0,17.0,3.0,25.0,23.0,12.0,2.0,18.0,95.0,28.0,65.0,15.0,22.0,29.0,31.0,76.0,9.0,13.0,73.0,60.0,30.0,66.0,49.0
1338,0.0,8.0,21.0,3.0,12.0,45.0,35.0,32.0,1.0,4.0,2.0,20.0,29.0,10.0,82.0,44.0,9.0,16.0,24.0,11.0,23.0,60.0,67.0,34.0,25.0,5.0,13.0,47.0,27.0,171.0
1387,6.0,2.0,25.0,4.0,1.0,12.0,7.0,36.0,10.0,0.0,14.0,24.0,9.0,3.0,29.0,53.0,11.0,32.0,13.0,8.0,31.0,51.0,28.0,5.0,47.0,34.0,63.0,44.0,22.0,82.0
1436,7.0,8.0,28.0,11.0,0.0,3.0,19.0,26.0,4.0,14.0,54.0,36.0,5.0,1.0,37.0,39.0,29.0,13.0,18.0,9.0,35.0,21.0,10.0,6.0,40.0,34.0,20.0,24.0,2.0,42.0
1485,10.0,7.0,0.0,43.0,2.0,4.0,14.0,42.0,12.0,58.0,15.0,1.0,102.0,37.0,17.0,3.0,5.0,20.0,61.0,73.0,8.0,13.0,6.0,31.0,19.0,29.0,22.0,41.0,35.0,11.0
1534,2.0,10.0,0.0,25.0,6.0,13.0,5.0,28.0,1.0,4.0,3.0,45.0,18.0,26.0,32.0,16.0,9.0,19.0,12.0,24.0,27.0,17.0,8.0,7.0,36.0,11.0,22.0,33.0,113.0,87.0
1583,5.0,4.0,0.0,16.0,18.0,8.0,25.0,14.0,2.0,6.0,37.0,36.0,7.0,9.0,3.0,1.0,23.0,12.0,13.0,50.0,53.0,17.0,72.0,81.0,22.0,24.0,71.0,123.0,65.0,30.0
1632,9.0,29.0,2.0,25.0,7.0,1.0,11.0,15.0,0.0,4.0,70.0,34.0,3.0,5.0,51.0,19.0,82.0,26.0,13.0,6.0,18.0,27.0,107.0,53.0,12.0,28.0,33.0,83.0,41.0,8.0
1681,7.0,2.0,16.0,15.0,0.0,11.0,24.0,18.0,4.0,3.0,31.0,13.0,25.0,1.0,5.0,14.0,6.0,35.0,41.0,99.0,9.0,10.0,22.0,8.0,17.0,77.0,48.0,90.0,60.0,12.0
1730,26.0,38.0,8.0,10.0,19.0,18.0,6.0,1.0,24.0,2.0,0.0,72.0,34.0,43.0,29.0,9.0,14.0,77.0,5.0,16.0,15.0,25.0,37.0,40.0,4.0,20.0,36.0,51.0,120.0,42.0
1779,1.0,16.0,3.0,9.0,8.0,0.0,37.0,7.0,4.0,23.0,21.0,17.0,2.0,11.0,18.0,19.0,13.0,20.0,6.0,38.0,10.0,44.0,12.0,5.0,14.0,52.0,60.0,59.0,61.0,24.0
1828,39.0,30.0,1.0,8.0,0.0,6.0,15.0,51.0,10.0,3.0,11.0,53.0,13.0,2.0,5.0,33.0,12.0,31.0,29.0,48.0,7.0,24.0,9.0,4.0,66.0,34.0,18.0,54.0,21.0,19.0
1877,15.0,11.0,1.0,13.0,48.0,6.0,10.0,4.0,0.0,8.0,2.0,25.0,17.0,23.0,7.0,38.0,12.0,5.0,45.0,29.0,21.0,16.0,57.0,32.0,69.0,9.0,20.0,26.0,79.0,3.0
1926,6.0,3.0,0.0,64.0,22.0,2.0,25.0,5.0,7.0,31.0,12.0,44.0,33.0,18.0,76.0,15.0,13.0,1.0,9.0,14.0,8.0,43.0,24.0,4.0,11.0,34.0,62.0,128.0,37.0,57.0
1975,9.0,12.0,29.0,1.0,13.0,3.0,32.0,21.0,19.0,6.0,2.0,5.0,0.0,14.0,55.0,45.0,117.0,162.0,118.0,27.0,25.0,17.0,269.0,70.0,16.0,40.0,10.0,23.0,171.0,7.0
2024,3.0,4.0,5.0,6.0,1.0,12.0,8.0,30.0,25.0,0.0,7.0,10.0,2.0,14.0,113.0,9.0,131.0,54.0,29.0,26.0,15.0,37.0,90.0,102.0,11.0,178.0,43.0,36.0,172.0,13.0
2073,2.0,17.0,27.0,3.0,4.0,1.0,16.0,15.0,44.0,5.0,14.0,7.0,0.0,6.0,55.0,8.0,170.0,48.0,22.0,12.0,39.0,9.0,66.0,63.0,50.0,101.0,94.0,31.0,265.0,21.0
2122,5.0,0.0,3.0,2.0,6.0,1.0,15.0,37.0,20.0,7.0,31.0,12.0,4.0,9.0,109.0,17.0,22.0,28.0,268.0,62.0,18.0,21.0,56.0,302.0,11.0,224.0,46.0,42.0,317.0,13.0
2171,9.0,5.0,8.0,2.0,3.0,16.0,13.0,4.0,24.0,7.0,1.0,14.0,0.0,6.0,45.0,17.0,62.0,65.0,22.0,10.0,18.0,31.0,172.0,34.0,11.0,165.0,19.0,104.0,80.0,54.0
2220,7.0,6.0,12.0,17.0,28.0,9.0,10.0,15.0,1.0,2.0,27.0,58.0,0.0,4.0,70.0,5.0,41.0,132.0,42.0,49.0,11.0,83.0,168.0,26.0,3.0,51.0,126.0,32.0,37.0,13.0
2269,3.0,26.0,35.0,6.0,11.0,34.0,8.0,7.0,14.0,1.0,0.0,39.0,2.0,5.0,85.0,9.0,37.0,59.0,78.0,4.0,76.0,71.0,264.0,60.0,73.0,48.0,12.0,22.0,62.0,84.0
2318,0.0,14.0,2.0,5.0,1.0,8.0,51.0,21.0,4.0,15.0,32.0,42.0,27.0,9.0,16.0,11.0,43.0,40.0,28.0,18.0,13.0,88.0,115.0,25.0,60.0,94.0,26.0,159.0,31.0,10.0
2367,1.0,7.0,9.0,4.0,2.0,6.0,16.0,3.0,14.0,10.0,11.0,13.0,0.0,17.0,113.0,5.0,132.0,49.0,83.0,12.0,18.0,78.0,76.0,28.0,8.0,147.0,34.0,63.0,137.0,23.0
2416,5.0,14.0,13.0,2.0,6.0,1.0,0.0,12.0,22.0,32.0,16.0,9.0,3.0,15.0,30.0,78.0,117.0,131.0,85.0,10.0,19.0,27.0,280.0,34.0,11.0,60.0,109.0,48.0,153.0,21.0
2465,18.0,1.0,5.0,16.0,10.0,12.0,14.0,11.0,32.0,7.0,15.0,2.0,17.0,27.0,34.0,24.0,19.0,3.0,0.0,6.0,46.0,68.0,9.0,8.0,13.0,36.0,4.0,22.0,37.0,35.0
2514,8.0,6.0,15.0,13.0,2.0,9.0,21.0,36.0,157.0,152.0,22.0,16.0,19.0,24.0,5.0,122.0,7.0,11.0,0.0,1.0,10.0,100.0,3.0,12.0,23.0,48.0,38.0,50.0,25.0,301.0
2563,13.0,2.0,6.0,11.0,1.0,0.0,46.0,40.0,10.0,18.0,5.0,4.0,26.0,22.0,49.0,16.0,17.0,8.0,9.0,3.0,28.0,57.0,7.0,58.0,54.0,30.0,12.0,19.0,128.0,85.0
2612,63.0,20.0,18.0,5.0,7.0,3.0,0.0,56.0,153.0,36.0,4.0,16.0,1.0,8.0,43.0,83.0,30.0,17.0,14.0,2.0,34.0,53.0,55.0,13.0,27.0,29.0,6.0,15.0,47.0,135.0
2661,21.0,2.0,6.0,16.0,4.0,9.0,42.0,17.0,44.0,43.0,5.0,1.0,22.0,14.0,36.0,19.0,49.0,8.0,3.0,0.0,85.0,78.0,7.0,24.0,11.0,13.0,12.0,94.0,10.0,66.0
2710,2.0,5.0,10.0,1.0,28.0,0.0,6.0,19.0,114.0,45.0,9.0,4.0,8.0,29.0,12.0,64.0,81.0,33.0,35.0,7.0,20.0,16.0,41.0,14.0,162.0,15.0,18.0,11.0,3.0,74.0
2759,9.0,0.0,10.0,4.0,2.0,11.0,7.0,20.0,60.0,16.0,6.0,12.0,18.0,13.0,19.0,26.0,21.0,15.0,3.0,1.0,40.0,72.0,8.0,46.0,14.0,57.0,33.0,59.0,5.0,65.0
2808,12.0,0.0,2.0,21.0,3.0,16.0,6.0,24.0,8.0,20.0,11.0,4.0,7.0,19.0,17.0,25.0,15.0,1.0,13.0,9.0,69.0,63.0,10.0,32.0,18.0,22.0,5.0,34.0,26.0,105.0
2857,9.0,4.0,0.0,6.0,13.0,1.0,21.0,12.0,76.0,33.0,32.0,7.0,2.0,55.0,10.0,14.0,47.0,27.0,17.0,16.0,15.0,56.0,5.0,35.0,3.0,191.0,119.0,18.0,48.0,133.0
2906,31.0,1.0,7.0,91.0,27.0,11.0,4.0,29.0,26.0,72.0,0.0,8.0,10.0,33.0,57.0,78.0,68.0,6.0,3.0,15.0,51.0,17.0,16.0,30.0,5.0,2.0,22.0,59.0,19.0,61.0
2955,49.0,29.0,10.0,23.0,7.0,8.0,20.0,3.0,18.0,31.0,81.0,9.0,41.0,21.0,236.0,6.0,1.0,4.0,58.0,130.0,45.0,25.0,14.0,53.0,0.0,16.0,50.0,57.0,37.0,12.0
3004,5.0,28.0,2.0,21.0,7.0,32.0,19.0,3.0,29.0,27.0,0.0,86.0,46.0,6.0,102.0,1.0,8.0,20.0,36.0,31.0,18.0,17.0,55.0,50.0,41.0,11.0,87.0,90.0,22.0,261.0
3053,9.0,63.0,20.0,0.0,11.0,1.0,4.0,2.0,40.0,18.0,10.0,69.0,5.0,12.0,33.0,56.0,3.0,23.0,217.0,53.0,8.0,22.0,15.0,54.0,28.0,31.0,52.0,7.0,25.0,50.0
3102,1.0,31.0,10.0,9.0,3.0,11.0,0.0,7.0,2.0,25.0,16.0,95.0,22.0,37.0,106.0,14.0,4.0,24.0,70.0,91.0,13.0,20.0,26.0,30.0,5.0,17.0,46.0,34.0,19.0,171.0
3151,8.0,33.0,5.0,14.0,1.0,2.0,11.0,0.0,35.0,4.0,6.0,46.0,40.0,13.0,117.0,66.0,12.0,22.0,21.0,37.0,23.0,10.0,9.0,7.0,30.0,20.0,25.0,3.0,31.0,44.0
3200,9.0,55.0,2.0,3.0,6.0,13.0,5.0,0.0,25.0,10.0,14.0,37.0,44.0,35.0,69.0,16.0,1.0,7.0,19.0,62.0,15.0,17.0,18.0,11.0,8.0,57.0,12.0,31.0,30.0,124.0
3249,33.0,17.0,3.0,12.0,6.0,22.0,4.0,2.0,16.0,7.0,8.0,18.0,10.0,23.0,122.0,43.0,0.0,79.0,40.0,55.0,25.0,21.0,74.0,11.0,37.0,126.0,9.0,5.0,41.0,35.0
3298,21.0,54.0,3.0,4.0,8.0,15.0,14.0,7.0,43.0,58.0,51.0,10.0,52.0,36.0,181.0,20.0,0.0,27.0,2.0,34.0,5.0,30.0,35.0,17.0,1.0,64.0,28.0,38.0,31.0,62.0
3347,11.0,22.0,37.0,6.0,2.0,26.0,91.0,4.0,46.0,18.0,1.0,14.0,8.0,51.0,259.0,23.0,0.0,25.0,3.0,57.0,9.0,13.0,7.0,48.0,40.0,42.0,58.0,24.0,55.0,117.0
3396,5.0,18.0,3.0,16.0,8.0,2.0,7.0,0.0,43.0,36.0,38.0,31.0,13.0,68.0,97.0,26.0,30.0,37.0,15.0,11.0,21.0,4.0,152.0,17.0,60.0,109.0,174.0,63.0,163.0,108.0
3445,7.0,2.0,10.0,6.0,12.0,0.0,40.0,8.0,1.0,11.0,43.0,17.0,42.0,85.0,22.0,29.0,15.0,3.0,4.0,49.0,37.0,61.0,21.0,5.0,16.0,47.0,50.0,221.0,242.0,76.0
3494,1.0,16.0,4.0,18.0,10.0,2.0,45.0,26.0,15.0,34.0,111.0,28.0,73.0,82.0,8.0,53.0,14.0,7.0,59.0,39.0,105.0,29.0,27.0,3.0,12.0,9.0,5.0,48.0,35.0,6.0
3543,22.0,1.0,39.0,3.0,16.0,2.0,89.0,0.0,7.0,5.0,31.0,29.0,8.0,33.0,9.0,54.0,38.0,4.0,10.0,45.0,27.0,32.0,19.0,20.0,61.0,11.0,49.0,40.0,428.0,55.0
3592,15.0,24.0,52.0,1.0,5.0,0.0,34.0,10.0,14.0,3.0,43.0,9.0,4.0,57.0,12.0,21.0,13.0,2.0,40.0,56.0,29.0,20.0,8.0,6.0,22.0,18.0,19.0,17.0,131.0,39.0
3641,14.0,30.0,22.0,6.0,3.0,9.0,67.0,7.0,0.0,15.0,11.0,71.0,5.0,70.0,28.0,13.0,16.0,4.0,1.0,26.0,25.0,92.0,18.0,17.0,42.0,2.0,54.0,94.0,100.0,64.0
3690,18.0,6.0,7.0,2.0,23.0,0.0,73.0,5.0,3.0,45.0,14.0,17.0,9.0,43.0,22.0,20.0,37.0,1.0,10.0,11.0,28.0,84.0,19.0,24.0,27.0,30.0,119.0,38.0,132.0,40.0
3739,31.0,17.0,70.0,1.0,16.0,0.0,13.0,38.0,3.0,9.0,8.0,12.0,5.0,28.0,10.0,2.0,41.0,4.0,50.0,55.0,33.0,39.0,48.0,51.0,24.0,26.0,36.0,47.0,83.0,49.0
3788,24.0,34.0,48.0,7.0,42.0,28.0,11.0,0.0,22.0,19.0,18.0,12.0,15.0,95.0,5.0,80.0,3.0,2.0,50.0,101.0,29.0,89.0,37.0,1.0,10.0,32.0,155.0,31.0,118.0,119.0
3837,11.0,1.0,34.0,6.0,5.0,27.0,50.0,13.0,4.0,8.0,26.0,17.0,40.0,64.0,20.0,10.0,2.0,0.0,14.0,75.0,15.0,45.0,3.0,12.0,86.0,18.0,44.0,116.0,79.0,28.0
3886,1.0,9.0,7.0,4.0,22.0,6.0,32.0,29.0,24.0,20.0,13.0,73.0,0.0,40.0,54.0,72.0,27.0,14.0,3.0,2.0,12.0,37.0,34.0,33.0,41.0,15.0,96.0,76.0,292.0,153.0
3935,27.0,2.0,5.0,29.0,11.0,8.0,36.0,22.0,42.0,60.0,34.0,24.0,191.0,16.0,14.0,54.0,4.0,1.0,55.0,18.0,66.0,15.0,10.0,3.0,32.0,20.0,23.0,56.0,33.0,84.0
3984,12.0,13.0,5.0,4.0,50.0,0.0,20.0,3.0,10.0,14.0,2.0,6.0,96.0,19.0,26.0,75.0,21.0,1.0,69.0,29.0,11.0,15.0,32.0,24.0,42.0,7.0,64.0,27.0,207.0,78.0
4033,28.0,8.0,16.0,5.0,12.0,6.0,10.0,0.0,9.0,18.0,35.0,30.0,33.0,13.0,4.0,99.0,17.0,1.0,155.0,36.0,24.0,22.0,2.0,3.0,25.0,68.0,32.0,11.0,92.0,51.0
4082,55.0,8.0,3.0,4.0,46.0,1.0,13.0,2.0,11.0,33.0,26.0,36.0,15.0,20.0,12.0,61.0,37.0,0.0,35.0,16.0,57.0,17.0,5.0,14.0,10.0,22.0,45.0,72.0,127.0,71.0
4131,28.0,15.0,23.0,2.0,44.0,0.0,6.0,3.0,27.0,143.0,18.0,8.0,58.0,11.0,7.0,86.0,40.0,1.0,42.0,10.0,19.0,26.0,4.0,5.0,60.0,21.0,89.0,41.0,100.0,55.0
4180,31.0,8.0,9.0,2.0,16.0,1.0,12.0,0.0,15.0,25.0,28.0,62.0,34.0,6.0,18.0,107.0,10.0,3.0,20.0,21.0,19.0,14.0,17.0,5.0,29.0,56.0,96.0,50.0,48.0,37.0
4229,16.0,6.0,5.0,2.0,21.0,3.0,27.0,1.0,10.0,8.0,18.0,15.0,77.0,19.0,9.0,89.0,4.0,0.0,22.0,14.0,24.0,31.0,11.0,13.0,42.0,34.0,25.0,35.0,222.0,53.0
4278,28.0,3.0,9.0,6.0,53.0,5.0,29.0,1.0,12.0,21.0,17.0,16.0,55.0,15.0,8.0,65.0,14.0,0.0,27.0,20.0,11.0,13.0,2.0,7.0,52.0,31.0,61.0,63.0,157.0,79.0
4327,6.0,52.0,58.0,5.0,67.0,3.0,15.0,1.0,4.0,0.0,7.0,129.0,14.0,53.0,43.0,62.0,45.0,17.0,89.0,24.0,16.0,18.0,84.0,8.0,25.0,13.0,22.0,26.0,32.0,115.0
4376,17.0,14.0,19.0,1.0,38.0,0.0,10.0,4.0,32.0,41.0,73.0,24.0,30.0,48.0,18.0,122.0,7.0,3.0,91.0,62.0,56.0,11.0,8.0,2.0,94.0,42.0,16.0,9.0,89.0,64.0
4425,3.0,2.0,13.0,74.0,8.0,25.0,18.0,76.0,4.0,15.0,27.0,11.0,42.0,16.0,12.0,5.0,45.0,7.0,17.0,43.0,69.0,6.0,67.0,33.0,112.0,60.0,44.0,167.0,36.0,1.0
4474,1.0,2.0,6.0,11.0,15.0,14.0,13.0,22.0,23.0,89.0,0.0,4.0,27.0,36.0,43.0,5.0,88.0,9.0,31.0,7.0,25.0,24.0,10.0,48.0,202.0,19.0,83.0,176.0,20.0,16.0
4523,3.0,1.0,17.0,27.0,39.0,57.0,12.0,43.0,19.0,296.0,4.0,9.0,83.0,16.0,20.0,0.0,35.0,2.0,34.0,23.0,62.0,11.0,7.0,86.0,233.0,5.0,141.0,240.0,6.0,26.0
4572,2.0,34.0,36.0,7.0,22.0,17.0,50.0,21.0,10.0,39.0,74.0,32.0,91.0,1.0,65.0,3.0,18.0,33.0,69.0,23.0,55.0,14.0,59.0,63.0,54.0,6.0,118.0,145.0,0.0,38.0
4621,0.0,2.0,4.0,20.0,6.0,26.0,3.0,42.0,22.0,13.0,29.0,16.0,83.0,1.0,9.0,8.0,25.0,5.0,21.0,18.0,73.0,12.0,30.0,64.0,330.0,24.0,33.0,289.0,14.0,10.0
4670,3.0,11.0,4.0,36.0,12.0,20.0,34.0,33.0,14.0,29.0,8.0,2.0,135.0,5.0,24.0,0.0,46.0,18.0,32.0,21.0,7.0,6.0,53.0,59.0,120.0,9.0,125.0,160.0,10.0,19.0
4719,1.0,0.0,4.0,33.0,18.0,10.0,21.0,14.0,7.0,31.0,44.0,12.0,26.0,119.0,80.0,20.0,36.0,49.0,28.0,38.0,55.0,52.0,9.0,129.0,48.0,87.0,29.0,138.0,3.0,13.0
4768,1.0,4.0,9.0,26.0,2.0,21.0,11.0,7.0,55.0,126.0,15.0,0.0,163.0,5.0,38.0,24.0,3.0,37.0,19.0,88.0,44.0,8.0,42.0,27.0,97.0,20.0,123.0,168.0,16.0,17.0
4817,1.0,7.0,9.0,25.0,3.0,27.0,20.0,13.0,0.0,21.0,14.0,8.0,71.0,15.0,39.0,11.0,60.0,19.0,10.0,12.0,103.0,22.0,18.0,36.0,313.0,28.0,91.0,148.0,6.0,2.0
4866,4.0,5.0,13.0,44.0,32.0,9.0,24.0,18.0,6.0,45.0,8.0,11.0,175.0,7.0,26.0,15.0,43.0,2.0,28.0,58.0,78.0,3.0,25.0,0.0,274.0,12.0,180.0,195.0,41.0,1.0
