,hsa-miR-147b,hsa-miR-222,hsa-miR-205,hsa-miR-135b,hsa-miR-216a,hsa-miR-615-3p,hsa-miR-517b,hsa-miR-30c,hsa-miR-497,hsa-miR-662,hsa-miR-153,hsa-miR-432,hsa-miR-1259,hsa-miR-510,hsa-miR-448,hsa-miR-548a-3p,hsa-miR-450b-3p,hsa-miR-200a,hsa-miR-196b,hsa-miR-631,ebv-miR-BART18-3p,hsa-miR-219-2-3p,hsa-miR-296-5p,hsa-miR-1279,hsa-miR-1277,hsa-miR-1254,ebv-miR-BART7,kshv-miR-K12-4-3p,hsa-miR-10b,hsa-miR-520a-5p
1195,28.0,63.0,13.0,9.0,89.0,53.0,66.0,17.0,59.0,71.0,77.0,73.0,44.0,20.0,34.0,81.0,78.0,411.0,420.0,84.0,37.0,120.0,576.0,485.0,487.0,54.0,51.0,235.0,133.0,550.0
1244,373.0,595.0,113.0,93.0,24.0,185.0,46.0,597.0,16.0,31.0,142.0,56.0,19.0,96.0,30.0,32.0,37.0,149.0,410.0,140.0,10.0,123.0,36.0,27.0,479.0,492.0,120.0,82.0,64.0,44.0
1293,377.0,21.0,153.0,46.0,47.0,15.0,125.0,68.0,506.0,16.0,4.0,31.0,75.0,58.0,49.0,63.0,77.0,55.0,95.0,107.0,251.0,103.0,574.0,67.0,90.0,160.0,122.0,124.0,71.0,99.0
1342,1.0,48.0,26.0,34.0,99.0,32.0,82.0,62.0,78.0,118.0,88.0,43.0,31.0,127.0,97.0,45.0,27.0,79.0,24.0,80.0,53.0,36.0,98.0,122.0,485.0,70.0,110.0,281.0,5.0,544.0
1391,24.0,12.0,40.0,20.0,47.0,79.0,124.0,10.0,506.0,160.0,62.0,46.0,104.0,145.0,523.0,55.0,129.0,69.0,16.0,103.0,94.0,595.0,0.0,75.0,122.0,464.0,126.0,226.0,155.0,90.0
1440,18.0,41.0,24.0,20.0,69.0,67.0,66.0,622.0,530.0,11.0,397.0,32.0,8.0,49.0,85.0,34.0,79.0,16.0,60.0,102.0,21.0,583.0,128.0,475.0,477.0,143.0,109.0,121.0,453.0,48.0
1489,5.0,53.0,22.0,60.0,92.0,353.0,56.0,168.0,163.0,155.0,84.0,522.0,468.0,133.0,106.0,78.0,147.0,46.0,118.0,40.0,66.0,57.0,12.0,160.0,485.0,436.0,87.0,215.0,1.0,58.0
1538,0.0,24.0,14.0,27.0,57.0,197.0,68.0,153.0,22.0,138.0,29.0,53.0,493.0,81.0,114.0,106.0,159.0,400.0,70.0,104.0,46.0,135.0,156.0,481.0,483.0,65.0,112.0,273.0,98.0,540.0
1587,7.0,13.0,11.0,44.0,50.0,38.0,26.0,51.0,66.0,285.0,82.0,527.0,40.0,161.0,78.0,111.0,43.0,19.0,154.0,126.0,102.0,109.0,582.0,484.0,500.0,27.0,84.0,142.0,460.0,117.0
1636,21.0,100.0,32.0,69.0,150.0,24.0,52.0,447.0,54.0,46.0,16.0,97.0,3.0,156.0,48.0,35.0,132.0,96.0,84.0,78.0,99.0,418.0,402.0,55.0,528.0,37.0,119.0,95.0,178.0,50.0
