,LPA_AMP,OR2T11_AMP,ZNF705G_AMP,MUC20_AMP,DAP3_AMP,MSTO2P_AMP,LOC100506776_DEL,CDC73_AMP,HLA-H_DEL,OR2T10_AMP,LOC440300_DEL,LOC388152_DEL,LOC100505679_DEL,GALNTL6_DEL,CES1_AMP,CES1P1_DEL,HLA-DQB1_DEL,SMARCA2_DEL,LOC348120_AMP,MLIP_DEL,MIR570_AMP,PCCB_DEL,LCE3C_DEL,RBFOX1_DEL,BTNL8_DEL,OR2T34_AMP,KIAA1217_DEL,BTNL3_DEL,LOC642423_DEL,TAG_DEL
570,2.0,10.0,3.0,8.0,13.0,14.0,5.0,0.0,7.0,32.0,17.0,16.0,18.0,4.0,50.0,1.0,633.0,15.0,29.0,9.0,61.0,31.0,21.0,26.0,12.0,491.0,1201.0,11.0,38.0,24.0
619,0.0,7.0,6.0,35.0,5.0,4.0,8.0,1.0,2.0,13.0,41.0,40.0,42.0,9.0,22.0,148.0,57.0,11.0,19.0,16.0,295.0,23.0,53.0,17.0,34.0,51.0,12069.0,26.0,182.0,145.0
668,0.0,7.0,2.0,21.0,3.0,4.0,5.0,9.0,1.0,30.0,17.0,16.0,18.0,12.0,25.0,20.0,377.0,10.0,139.0,22.0,28.0,1314.0,14.0,6.0,29.0,46.0,52.0,19.0,34.0,54.0
717,0.0,5.0,4.0,26.0,7.0,8.0,2.0,1.0,3.0,22.0,20.0,19.0,18.0,12.0,15.0,9.0,35.0,10.0,106.0,6.0,163.0,34.0,14.0,11.0,40.0,313.0,127.0,30.0,79.0,82.0
766,0.0,6.0,4.0,36.0,9.0,10.0,8.0,2.0,3.0,22.0,14.0,13.0,15.0,1.0,16.0,30.0,692.0,7.0,67.0,5.0,514.0,17.0,34.0,31.0,11.0,131.0,12017.0,19.0,39.0,43.0
815,0.0,1.0,3.0,6.0,19.0,20.0,5.0,2.0,9.0,4.0,12.0,13.0,11.0,7.0,30.0,10.0,47.0,23.0,17.0,26.0,18.0,64.0,36.0,92.0,107.0,25.0,12210.0,61.0,21.0,1319.0
864,1.0,10.0,2.0,9.0,17.0,16.0,3.0,0.0,7.0,26.0,75.0,76.0,74.0,4.0,29.0,11.0,33.0,30.0,19.0,15.0,47.0,24.0,5.0,198.0,14.0,106.0,88.0,8.0,104.0,79.0
913,0.0,1.0,2.0,7.0,10.0,11.0,5.0,3.0,8.0,4.0,15.0,13.0,14.0,9.0,23.0,24.0,62.0,6.0,82.0,22.0,41.0,120.0,150.0,25.0,37.0,34.0,12147.0,26.0,57.0,19.0
962,1.0,21.0,0.0,17.0,7.0,8.0,5.0,2.0,6.0,70.0,12.0,13.0,11.0,3.0,29.0,4.0,191.0,19.0,151.0,54.0,127.0,56.0,24.0,68.0,14.0,128.0,45.0,20.0,26.0,584.0
1011,3.0,6.0,5.0,4.0,0.0,1.0,7.0,2.0,8.0,10.0,21.0,20.0,16.0,15.0,9.0,49.0,57.0,63.0,55.0,14.0,12.0,17.0,38.0,19.0,33.0,27.0,246.0,37.0,92.0,437.0
1060,6.0,4.0,0.0,14.0,2.0,3.0,9.0,1.0,12.0,17.0,20.0,19.0,21.0,5.0,27.0,22.0,109.0,36.0,29.0,26.0,179.0,58.0,10.0,32.0,123.0,83.0,59.0,40.0,71.0,178.0
1109,0.0,6.0,4.0,1.0,3.0,2.0,7.0,5.0,15.0,18.0,95.0,94.0,113.0,70.0,38.0,16.0,29.0,58.0,11.0,22.0,8.0,40.0,20.0,27.0,26.0,338.0,25.0,10.0,1270.0,57.0
1158,1.0,8.0,0.0,2.0,5.0,6.0,13.0,3.0,197.0,25.0,47.0,46.0,52.0,26.0,29.0,9.0,14.0,16.0,4.0,54.0,50.0,35.0,21.0,22.0,33.0,196.0,322.0,19.0,176.0,34.0
1207,0.0,10.0,1.0,8.0,3.0,4.0,9.0,7.0,26.0,77.0,20.0,19.0,29.0,6.0,12.0,5.0,11.0,14.0,160.0,56.0,83.0,41.0,131.0,36.0,15.0,643.0,65.0,2.0,158.0,23.0
1256,3.0,13.0,0.0,12.0,6.0,7.0,9.0,5.0,56.0,23.0,16.0,15.0,20.0,22.0,44.0,11.0,39.0,37.0,54.0,1.0,30.0,26.0,718.0,19.0,34.0,55.0,82.0,36.0,24.0,67.0
1305,0.0,7.0,2.0,1.0,5.0,4.0,3.0,6.0,8.0,14.0,21.0,20.0,24.0,12.0,86.0,15.0,62.0,32.0,18.0,149.0,9.0,27.0,37.0,25.0,77.0,76.0,180.0,26.0,58.0,35.0
1354,2.0,5.0,3.0,4.0,1.0,0.0,6.0,7.0,10.0,20.0,48.0,47.0,58.0,22.0,49.0,225.0,14.0,41.0,30.0,78.0,8.0,16.0,473.0,9.0,84.0,176.0,13.0,33.0,242.0,42.0
1403,3.0,6.0,0.0,2.0,5.0,4.0,15.0,1.0,9.0,14.0,65.0,64.0,84.0,17.0,28.0,44.0,25.0,54.0,21.0,7.0,8.0,20.0,49.0,13.0,12.0,43.0,180.0,10.0,386.0,10400.0
1452,0.0,14.0,5.0,1.0,3.0,2.0,4.0,6.0,33.0,127.0,15.0,16.0,23.0,7.0,27.0,20.0,24.0,37.0,26.0,9.0,8.0,17.0,92.0,38.0,95.0,71.0,60.0,43.0,72.0,30.0
1501,0.0,18.0,5.0,2.0,4.0,3.0,1.0,7.0,6.0,55.0,11.0,10.0,12.0,17.0,8.0,21.0,19.0,14.0,71.0,438.0,13.0,66.0,15.0,139.0,70.0,27.0,169.0,43.0,28.0,29.0
1550,0.0,3.0,2.0,1.0,4.0,5.0,7.0,8.0,6.0,19.0,17.0,16.0,18.0,34.0,11.0,77.0,53.0,24.0,27.0,29.0,13.0,22.0,31.0,33.0,712.0,92.0,39.0,2196.0,36.0,45.0
1599,15.0,4.0,8.0,12.0,1.0,0.0,7.0,2.0,5.0,20.0,10.0,9.0,13.0,34.0,11.0,6.0,18.0,62.0,40.0,120.0,168.0,23.0,3.0,55.0,95.0,39.0,24.0,49.0,25.0,17.0
1648,6.0,4.0,0.0,3.0,2.0,1.0,7.0,9.0,8.0,12.0,11.0,10.0,14.0,22.0,16.0,53.0,18.0,23.0,61.0,31.0,13.0,115.0,20.0,147.0,66.0,24.0,25.0,36.0,30.0,26.0
1697,0.0,1.0,5.0,2.0,4.0,3.0,10.0,15.0,7.0,6.0,12.0,11.0,17.0,23.0,18.0,29.0,28.0,101.0,39.0,21.0,16.0,24.0,9.0,671.0,102.0,22.0,95.0,117.0,30.0,235.0
1746,3.0,11.0,5.0,6.0,1.0,0.0,9.0,4.0,2.0,36.0,24.0,25.0,34.0,40.0,7.0,50.0,15.0,22.0,29.0,144.0,21.0,59.0,35.0,37.0,10.0,19.0,104.0,18.0,142.0,8.0
1795,0.0,9.0,5.0,4.0,3.0,2.0,1.0,8.0,6.0,38.0,20.0,21.0,28.0,46.0,10.0,64.0,16.0,13.0,66.0,70.0,36.0,17.0,11.0,123.0,27.0,71.0,12.0,31.0,43.0,7.0
1844,0.0,1.0,8.0,5.0,4.0,3.0,2.0,6.0,9.0,7.0,14.0,13.0,20.0,27.0,17.0,160.0,12.0,24.0,49.0,296.0,38.0,35.0,10.0,100.0,55.0,11.0,46.0,92.0,23.0,18.0
1893,4.0,11.0,2.0,5.0,1.0,0.0,7.0,8.0,3.0,58.0,10.0,9.0,13.0,74.0,6.0,16.0,23.0,15.0,57.0,554.0,32.0,18.0,12.0,20.0,14.0,28.0,34.0,24.0,27.0,29.0
1942,5.0,0.0,6.0,4.0,2.0,1.0,9.0,7.0,27.0,8.0,29.0,28.0,23.0,353.0,17.0,20.0,55.0,50.0,3.0,305.0,31.0,53.0,13.0,51.0,72.0,16.0,21.0,77.0,60.0,24.0
1991,0.0,64.0,6.0,2.0,14.0,13.0,16.0,18.0,15.0,385.0,8.0,7.0,9.0,30.0,47.0,79.0,33.0,19.0,3.0,1.0,10.0,17.0,100.0,94.0,49.0,147.0,22.0,135.0,20.0,10210.0
2040,0.0,7.0,1.0,2.0,10.0,11.0,6.0,9.0,18.0,31.0,4.0,3.0,5.0,42.0,14.0,19.0,12.0,30.0,20.0,40.0,16.0,8.0,267.0,36.0,37.0,15.0,17.0,127.0,27.0,482.0
2089,0.0,10.0,1.0,2.0,4.0,3.0,19.0,8.0,6.0,31.0,12.0,11.0,18.0,33.0,15.0,9.0,7.0,30.0,21.0,142.0,17.0,16.0,328.0,29.0,84.0,23.0,5.0,85.0,50.0,42.0
2138,11.0,55.0,5.0,1.0,8.0,7.0,9.0,92.0,0.0,145.0,4.0,3.0,6.0,59.0,15.0,14.0,64.0,12.0,40.0,27.0,13.0,36.0,101.0,22.0,35.0,111.0,43.0,73.0,17.0,10291.0
2187,3.0,14.0,1.0,2.0,39.0,38.0,4.0,8.0,0.0,18.0,9.0,10.0,6.0,49.0,25.0,19.0,11.0,12.0,22.0,16.0,15.0,5.0,4108.0,21.0,79.0,17.0,34.0,218.0,32.0,10264.0
2236,1.0,23.0,4.0,2.0,11.0,12.0,24.0,6.0,0.0,70.0,17.0,18.0,20.0,8.0,9.0,51.0,25.0,32.0,10.0,3.0,7.0,27.0,4353.0,41.0,57.0,83.0,50.0,236.0,79.0,39.0
2285,3.0,62.0,1.0,0.0,14.0,15.0,5.0,2.0,4.0,192.0,17.0,18.0,22.0,25.0,34.0,13.0,19.0,27.0,7.0,8.0,6.0,10.0,58.0,83.0,39.0,35.0,9.0,112.0,85.0,84.0
2334,0.0,4.0,5.0,3.0,36.0,35.0,1.0,12.0,2.0,15.0,8.0,7.0,10.0,82.0,58.0,40.0,43.0,18.0,45.0,21.0,14.0,27.0,187.0,130.0,16.0,9.0,92.0,33.0,52.0,29.0
2383,1.0,8.0,2.0,0.0,10.0,9.0,23.0,3.0,4.0,26.0,24.0,25.0,29.0,38.0,20.0,51.0,30.0,6.0,12.0,18.0,5.0,14.0,708.0,19.0,179.0,27.0,66.0,745.0,67.0,7.0
2432,0.0,171.0,1.0,18.0,21.0,20.0,5.0,23.0,3.0,179.0,10.0,9.0,16.0,17.0,49.0,22.0,50.0,8.0,11.0,2.0,72.0,4.0,60.0,79.0,40.0,134.0,31.0,113.0,38.0,64.0
2481,0.0,1.0,5.0,4.0,6.0,7.0,13.0,10.0,3.0,9.0,11.0,12.0,23.0,8.0,25.0,130.0,2.0,20.0,30.0,186.0,17.0,49.0,37.0,68.0,1148.0,222.0,15.0,90.0,33.0,16.0
2530,0.0,6.0,2.0,23.0,26.0,27.0,9.0,3.0,4.0,36.0,18.0,19.0,31.0,10.0,16.0,140.0,5.0,11.0,29.0,8398.0,656.0,14.0,8.0,12.0,178.0,364.0,48.0,157.0,330.0,77.0
2579,0.0,2.0,1.0,5.0,33.0,32.0,17.0,11.0,3.0,4.0,6.0,7.0,8.0,27.0,9.0,12.0,13.0,16.0,19.0,20.0,35.0,52.0,10.0,72.0,63.0,43.0,65.0,75.0,26.0,29.0
2628,0.0,1.0,6.0,3.0,47.0,48.0,7.0,4.0,12.0,16.0,10.0,11.0,14.0,43.0,37.0,35.0,5.0,13.0,15.0,453.0,103.0,142.0,9.0,38.0,19.0,61.0,39.0,20.0,50.0,26.0
2677,4.0,0.0,9.0,1.0,118.0,117.0,13.0,8.0,6.0,10.0,14.0,15.0,20.0,3.0,24.0,5.0,12.0,16.0,45.0,47.0,39.0,40.0,7.0,46.0,61.0,1285.0,107.0,48.0,43.0,17.0
2726,3.0,1.0,9.0,0.0,27.0,28.0,49.0,13.0,2.0,4.0,14.0,15.0,21.0,121.0,11.0,206.0,6.0,17.0,36.0,496.0,12.0,10.0,64.0,48.0,32.0,164.0,40.0,29.0,81.0,163.0
2775,0.0,1.0,2.0,14.0,9.0,8.0,7.0,3.0,25.0,4.0,6.0,5.0,11.0,20.0,16.0,361.0,12.0,66.0,24.0,225.0,2115.0,39.0,30.0,27.0,168.0,35.0,58.0,127.0,32.0,15.0
2824,1.0,3.0,6.0,0.0,18.0,19.0,10.0,13.0,2.0,5.0,31.0,30.0,33.0,28.0,7.0,212.0,4.0,71.0,160.0,412.0,15.0,12.0,37.0,20.0,17.0,8.0,238.0,29.0,200.0,217.0
2873,1.0,0.0,9.0,2.0,15.0,16.0,21.0,3.0,6.0,4.0,19.0,20.0,26.0,27.0,14.0,91.0,7.0,8.0,77.0,54.0,25.0,47.0,72.0,70.0,266.0,18.0,23.0,226.0,56.0,5.0
2922,0.0,2.0,5.0,1.0,8.0,7.0,4.0,9.0,6.0,10.0,20.0,21.0,14.0,23.0,18.0,54.0,3.0,11.0,16.0,17.0,32.0,36.0,12.0,862.0,24.0,40.0,78.0,34.0,38.0,30.0
2971,0.0,1.0,3.0,6.0,10.0,11.0,22.0,7.0,16.0,4.0,14.0,13.0,17.0,2.0,15.0,8.0,9.0,49.0,27.0,66.0,69.0,321.0,405.0,81.0,47.0,32.0,37.0,46.0,40.0,12.0
3020,0.0,9.0,7.0,10.0,3.0,4.0,5.0,2.0,88.0,29.0,12.0,11.0,13.0,28.0,15.0,1.0,14.0,89.0,6.0,8.0,45.0,212.0,590.0,23.0,149.0,19.0,39.0,136.0,22.0,41.0
3069,2.0,0.0,4.0,1.0,7.0,8.0,11.0,13.0,9.0,5.0,27.0,28.0,36.0,3.0,10.0,14.0,6.0,50.0,73.0,16.0,22.0,80.0,218.0,108.0,64.0,12.0,797.0,153.0,95.0,121.0
3118,4.0,0.0,5.0,2.0,8.0,9.0,12.0,3.0,14.0,1.0,16.0,15.0,18.0,22.0,10.0,25.0,17.0,120.0,130.0,7.0,11.0,102.0,224.0,31.0,88.0,6.0,145.0,257.0,29.0,38.0
3167,2.0,0.0,12.0,3.0,15.0,16.0,5.0,27.0,80.0,4.0,14.0,13.0,11.0,6.0,7.0,1.0,17.0,174.0,74.0,39.0,40.0,563.0,76.0,99.0,38.0,8.0,47.0,28.0,26.0,19.0
3216,0.0,5.0,1.0,6.0,3.0,4.0,2.0,11.0,10.0,15.0,14.0,13.0,16.0,8.0,21.0,19.0,23.0,38.0,33.0,22.0,42.0,121.0,1647.0,55.0,387.0,9.0,17.0,308.0,28.0,27.0
3265,7.0,2.0,1.0,0.0,29.0,28.0,5.0,4.0,3.0,30.0,24.0,23.0,39.0,11.0,36.0,8.0,6.0,119.0,44.0,10.0,12.0,72.0,237.0,26.0,7353.0,133.0,22.0,2196.0,118.0,85.0
3314,1.0,13.0,7.0,0.0,4.0,3.0,5.0,20.0,19.0,53.0,11.0,12.0,14.0,2.0,15.0,24.0,8.0,81.0,28.0,33.0,6.0,48.0,401.0,66.0,16.0,84.0,34.0,10.0,29.0,25.0
3363,1.0,0.0,2.0,3.0,5.0,6.0,4.0,20.0,34.0,8.0,14.0,15.0,18.0,11.0,12.0,7.0,19.0,109.0,144.0,10.0,9.0,291.0,208.0,39.0,143.0,26.0,27.0,57.0,46.0,96.0
3412,1.0,4.0,3.0,2.0,10.0,11.0,18.0,6.0,5.0,9.0,67.0,68.0,86.0,0.0,13.0,98.0,7.0,184.0,77.0,17.0,23.0,44.0,195.0,15.0,47.0,48.0,78.0,33.0,737.0,32.0
3461,22.0,0.0,76.0,1.0,3.0,2.0,25.0,16.0,7.0,4.0,9.0,8.0,12.0,23.0,15.0,51.0,36.0,52.0,17.0,13.0,32.0,30.0,5.0,222.0,47.0,29.0,18.0,48.0,26.0,11.0
3510,2.0,0.0,32.0,1.0,5.0,6.0,19.0,10.0,41.0,12.0,3.0,4.0,7.0,11.0,8.0,152.0,25.0,38.0,20.0,14.0,30.0,35.0,9.0,78.0,33.0,43.0,16.0,36.0,21.0,652.0
3559,24.0,2.0,3.0,1.0,10.0,11.0,34.0,0.0,19.0,18.0,7.0,6.0,9.0,16.0,14.0,30.0,8.0,94.0,12.0,17.0,23.0,35.0,15.0,65.0,39.0,25.0,179.0,42.0,22.0,5.0
3608,5.0,0.0,22.0,1.0,7.0,6.0,15.0,29.0,110.0,3.0,17.0,16.0,18.0,11.0,10.0,34.0,26.0,60.0,13.0,4.0,48.0,12.0,14.0,43.0,19.0,21.0,2.0,20.0,27.0,8.0
3657,10.0,0.0,22.0,1.0,2.0,3.0,6.0,20.0,16.0,5.0,28.0,27.0,30.0,7.0,25.0,224.0,41.0,93.0,21.0,31.0,24.0,13.0,4.0,45.0,11.0,212.0,9.0,12.0,44.0,8.0
3706,25.0,0.0,4.0,1.0,2.0,3.0,15.0,19.0,49.0,5.0,10.0,11.0,13.0,12.0,35.0,140.0,37.0,30.0,18.0,14.0,28.0,9.0,7.0,193.0,26.0,29.0,8.0,33.0,36.0,51.0
3755,20.0,0.0,13.0,3.0,5.0,4.0,72.0,18.0,39.0,1.0,14.0,15.0,12.0,8.0,21.0,16.0,25.0,28.0,33.0,6.0,19.0,87.0,2.0,150.0,26.0,74.0,7.0,32.0,36.0,11.0
3804,0.0,2.0,17.0,1.0,3.0,4.0,28.0,5.0,98.0,37.0,18.0,19.0,24.0,14.0,35.0,22.0,96.0,81.0,21.0,10.0,50.0,7.0,13.0,39.0,52.0,455.0,6.0,73.0,45.0,9.0
3853,2.0,1.0,47.0,0.0,4.0,3.0,5.0,14.0,12.0,11.0,18.0,17.0,23.0,6.0,32.0,35.0,30.0,93.0,29.0,7.0,26.0,10.0,13.0,1140.0,15.0,223.0,8.0,34.0,31.0,49.0
3902,7.0,0.0,8.0,1.0,4.0,5.0,67.0,12.0,11.0,2.0,24.0,23.0,47.0,6.0,9.0,51.0,10.0,641.0,50.0,113.0,25.0,3.0,20.0,186.0,100.0,13.0,32.0,93.0,132.0,19.0
3951,13.0,8.0,1.0,2.0,4.0,3.0,7.0,11.0,0.0,57.0,42.0,41.0,47.0,35.0,33.0,14.0,30.0,9.0,6.0,50.0,289.0,26.0,18.0,31.0,166.0,17202.0,5.0,27.0,488.0,66.0
4000,7.0,6.0,5.0,1.0,2.0,3.0,17.0,8.0,0.0,16.0,12.0,11.0,13.0,50.0,40.0,10.0,78.0,29.0,35.0,21.0,9.0,24.0,117.0,111.0,8803.0,1422.0,4.0,1940.0,27.0,132.0
4049,0.0,3.0,1.0,9.0,7.0,6.0,10.0,12.0,8.0,27.0,25.0,26.0,30.0,22.0,37.0,36.0,125.0,89.0,14.0,71.0,556.0,23.0,330.0,29.0,706.0,63.0,2.0,702.0,260.0,87.0
4098,7.0,5.0,4.0,11.0,2.0,3.0,8.0,1.0,0.0,19.0,17.0,16.0,23.0,22.0,47.0,6.0,34.0,33.0,26.0,36.0,48.0,10.0,40.0,20.0,371.0,221.0,38.0,122.0,52.0,889.0
4147,10.0,5.0,4.0,0.0,1.0,2.0,7.0,3.0,6.0,28.0,20.0,21.0,26.0,62.0,25.0,8.0,16.0,53.0,29.0,117.0,46.0,13.0,24.0,11.0,989.0,193.0,42.0,249.0,83.0,14.0
4196,24.0,6.0,4.0,2.0,9.0,8.0,1.0,0.0,3.0,20.0,12.0,11.0,14.0,15.0,30.0,5.0,45.0,19.0,16.0,171.0,105.0,17.0,907.0,37.0,7418.0,148.0,13.0,533.0,21.0,35.0
4245,7.0,2.0,3.0,4.0,5.0,6.0,1.0,10.0,0.0,18.0,31.0,30.0,23.0,27.0,95.0,13.0,12.0,53.0,46.0,17.0,127.0,25.0,26.0,11.0,8606.0,726.0,9.0,5356.0,71.0,605.0
4294,13.0,2.0,1.0,0.0,5.0,4.0,8.0,10.0,3.0,30.0,24.0,25.0,27.0,6.0,73.0,19.0,31.0,83.0,7.0,63.0,26.0,14.0,143.0,9.0,254.0,495.0,11.0,91.0,123.0,86.0
4343,17.0,2.0,3.0,0.0,4.0,5.0,1.0,15.0,6.0,36.0,11.0,10.0,18.0,32.0,31.0,29.0,35.0,66.0,42.0,65.0,12.0,34.0,306.0,8.0,788.0,966.0,16.0,158.0,51.0,59.0
4392,20.0,11.0,0.0,1.0,8.0,7.0,12.0,5.0,2.0,47.0,15.0,16.0,18.0,6.0,21.0,67.0,62.0,55.0,22.0,10.0,9.0,131.0,2167.0,17.0,683.0,2343.0,56.0,347.0,46.0,573.0
4441,0.0,1.0,2.0,11.0,13.0,12.0,5.0,15.0,55.0,7.0,22.0,21.0,27.0,17.0,29.0,103.0,117.0,16.0,59.0,23.0,252.0,44.0,14.0,40.0,3.0,20.0,34.0,4.0,93.0,246.0
4490,5.0,0.0,1.0,10.0,44.0,43.0,6.0,4.0,24.0,2.0,21.0,20.0,25.0,18.0,132.0,69.0,41.0,58.0,31.0,75.0,96.0,72.0,35.0,7.0,29.0,3.0,82.0,23.0,42.0,95.0
4539,11.0,0.0,2.0,14.0,34.0,33.0,3.0,44.0,23.0,1.0,8.0,7.0,9.0,82.0,40.0,4.0,13.0,39.0,174.0,77.0,36.0,57.0,10.0,5.0,21.0,6.0,212.0,19.0,35.0,290.0
4588,4.0,0.0,1.0,32.0,11.0,12.0,3.0,18.0,13.0,5.0,7.0,6.0,8.0,9.0,28.0,10.0,86.0,19.0,27.0,64.0,1168.0,299.0,25.0,2.0,30.0,21.0,40.0,23.0,29.0,84.0
4637,5.0,0.0,3.0,31.0,35.0,36.0,12.0,26.0,256.0,11.0,9.0,10.0,13.0,52.0,7.0,4.0,22.0,16.0,6.0,208.0,715.0,111.0,29.0,2.0,34.0,25.0,205.0,8.0,47.0,86.0
4686,3.0,0.0,5.0,12.0,19.0,20.0,2.0,10.0,7.0,1.0,9.0,8.0,11.0,13.0,17.0,36.0,499.0,56.0,33.0,87.0,100.0,50.0,16.0,18.0,32.0,4.0,11929.0,40.0,30.0,10302.0
4735,1.0,0.0,2.0,5.0,14.0,15.0,4.0,51.0,11.0,8.0,7.0,6.0,9.0,12.0,72.0,34.0,26.0,28.0,40.0,340.0,35.0,65.0,52.0,24.0,25.0,19.0,2341.0,13.0,18.0,108.0
4784,16.0,0.0,4.0,5.0,8.0,9.0,2.0,12.0,25.0,1.0,7.0,6.0,10.0,19.0,20.0,40.0,31.0,29.0,11.0,276.0,85.0,46.0,3.0,33.0,14.0,15.0,99.0,13.0,26.0,149.0
4833,3.0,1.0,0.0,15.0,4.0,5.0,2.0,21.0,10.0,6.0,14.0,13.0,17.0,35.0,7.0,25.0,197.0,16.0,24.0,130.0,170.0,127.0,34.0,8.0,36.0,30.0,843.0,11.0,114.0,349.0
4882,3.0,0.0,11.0,17.0,15.0,16.0,2.0,58.0,48.0,1.0,4.0,5.0,6.0,72.0,10.0,46.0,132.0,28.0,35.0,73.0,1107.0,315.0,39.0,8.0,23.0,7.0,357.0,145.0,9.0,203.0
