,cytidine,1-methylnicotinamide,C16:0 LPE,pantothenate,uracil,pyroglutamic acid,cystathionine,valerylcarnitine,2-deoxyadenosine,C36:1 DAG,2-deoxycytidine,guanosine,alpha-glycerophosphate,adenosine,butyrylcarnitine/isobutyrylcarnitine,3-phosphoglycerate,sarcosine,PEP,C34:4 PC,serotonin,niacinamide,palmitoylcarnitine,alpha-glycerophosphocholine,alpha-hydroxybutyrate,uridine,isocitrate,GABA,C18:0 LPC,C22:6 CE,creatinine
1393,4.0,0.0,2.0,17.0,9.0,1.0,3.0,27.0,7.0,20.0,22.0,18.0,57.0,13.0,24.0,50.0,19.0,29.0,11.0,33.0,5.0,42.0,15.0,14.0,16.0,58.0,10.0,49.0,25.0,38.0
1442,4.0,0.0,3.0,36.0,15.0,1.0,5.0,8.0,16.0,11.0,38.0,26.0,32.0,9.0,6.0,19.0,2.0,17.0,27.0,23.0,10.0,41.0,30.0,22.0,39.0,31.0,12.0,7.0,20.0,50.0
1491,1.0,10.0,3.0,0.0,8.0,19.0,5.0,6.0,35.0,11.0,2.0,24.0,23.0,22.0,25.0,18.0,47.0,13.0,14.0,46.0,37.0,12.0,50.0,16.0,32.0,45.0,21.0,43.0,4.0,7.0
1540,0.0,2.0,8.0,1.0,25.0,23.0,3.0,7.0,13.0,10.0,22.0,14.0,9.0,32.0,27.0,28.0,15.0,5.0,16.0,4.0,18.0,26.0,33.0,59.0,60.0,48.0,20.0,21.0,53.0,30.0
1589,1.0,3.0,0.0,5.0,20.0,22.0,6.0,2.0,26.0,41.0,4.0,58.0,13.0,30.0,27.0,45.0,18.0,15.0,9.0,19.0,43.0,11.0,42.0,47.0,32.0,34.0,37.0,36.0,25.0,16.0
1638,2.0,0.0,5.0,3.0,7.0,13.0,4.0,20.0,12.0,16.0,1.0,23.0,38.0,26.0,44.0,22.0,6.0,27.0,8.0,11.0,15.0,43.0,58.0,24.0,61.0,28.0,18.0,33.0,34.0,62.0
1687,10.0,1.0,9.0,0.0,4.0,34.0,3.0,14.0,15.0,30.0,39.0,13.0,11.0,29.0,6.0,46.0,2.0,16.0,20.0,8.0,22.0,28.0,33.0,5.0,47.0,19.0,23.0,44.0,12.0,17.0
1736,1.0,2.0,3.0,4.0,6.0,10.0,23.0,8.0,13.0,32.0,0.0,5.0,26.0,22.0,9.0,19.0,60.0,14.0,11.0,12.0,28.0,48.0,37.0,29.0,45.0,17.0,7.0,52.0,39.0,21.0
1785,13.0,0.0,1.0,29.0,4.0,2.0,6.0,30.0,16.0,3.0,5.0,22.0,17.0,10.0,63.0,14.0,37.0,9.0,15.0,12.0,21.0,25.0,36.0,48.0,44.0,23.0,26.0,32.0,31.0,8.0
1834,1.0,0.0,26.0,2.0,12.0,34.0,4.0,6.0,13.0,45.0,5.0,25.0,47.0,10.0,17.0,38.0,22.0,8.0,11.0,31.0,39.0,3.0,15.0,36.0,35.0,41.0,21.0,14.0,18.0,23.0
1883,8.0,0.0,6.0,1.0,22.0,19.0,7.0,25.0,10.0,4.0,2.0,40.0,15.0,12.0,27.0,14.0,18.0,5.0,3.0,23.0,13.0,45.0,55.0,49.0,20.0,38.0,56.0,9.0,11.0,48.0
1932,11.0,6.0,1.0,0.0,7.0,13.0,32.0,3.0,24.0,4.0,2.0,36.0,30.0,10.0,16.0,22.0,62.0,9.0,17.0,8.0,46.0,15.0,12.0,31.0,49.0,40.0,43.0,5.0,14.0,23.0
1981,17.0,1.0,4.0,7.0,8.0,12.0,5.0,0.0,18.0,14.0,3.0,27.0,28.0,10.0,2.0,15.0,40.0,6.0,54.0,22.0,16.0,29.0,50.0,25.0,62.0,61.0,57.0,43.0,30.0,48.0
2030,1.0,0.0,2.0,17.0,7.0,8.0,24.0,4.0,27.0,5.0,45.0,3.0,29.0,10.0,13.0,6.0,18.0,11.0,15.0,22.0,21.0,12.0,20.0,64.0,31.0,58.0,47.0,23.0,16.0,36.0
2079,8.0,0.0,6.0,1.0,4.0,22.0,15.0,2.0,23.0,27.0,16.0,17.0,33.0,9.0,24.0,5.0,18.0,10.0,54.0,3.0,12.0,31.0,20.0,26.0,53.0,14.0,55.0,65.0,36.0,59.0
2128,6.0,0.0,2.0,3.0,25.0,10.0,9.0,1.0,22.0,23.0,30.0,24.0,44.0,15.0,17.0,39.0,29.0,26.0,7.0,5.0,37.0,8.0,36.0,31.0,16.0,11.0,19.0,20.0,21.0,35.0
2177,1.0,5.0,4.0,8.0,6.0,3.0,10.0,22.0,2.0,0.0,13.0,9.0,21.0,12.0,25.0,43.0,44.0,31.0,14.0,7.0,26.0,49.0,16.0,29.0,34.0,57.0,15.0,23.0,18.0,30.0
2226,7.0,0.0,1.0,6.0,39.0,11.0,24.0,2.0,15.0,14.0,20.0,18.0,12.0,16.0,4.0,3.0,9.0,48.0,56.0,19.0,5.0,29.0,10.0,21.0,8.0,23.0,35.0,26.0,33.0,66.0
2275,5.0,0.0,4.0,1.0,2.0,13.0,63.0,18.0,3.0,7.0,26.0,6.0,19.0,15.0,10.0,23.0,17.0,43.0,12.0,38.0,34.0,33.0,31.0,62.0,9.0,11.0,8.0,61.0,54.0,64.0
2324,1.0,0.0,3.0,7.0,22.0,5.0,27.0,11.0,6.0,4.0,30.0,10.0,12.0,18.0,17.0,2.0,57.0,28.0,36.0,19.0,45.0,33.0,29.0,32.0,31.0,15.0,16.0,21.0,40.0,50.0
2373,11.0,0.0,1.0,2.0,5.0,6.0,16.0,4.0,3.0,7.0,14.0,18.0,13.0,10.0,25.0,34.0,9.0,30.0,62.0,29.0,54.0,41.0,8.0,33.0,28.0,27.0,43.0,60.0,21.0,55.0
2422,1.0,0.0,3.0,2.0,10.0,64.0,7.0,31.0,22.0,4.0,16.0,5.0,20.0,17.0,18.0,35.0,25.0,46.0,29.0,12.0,24.0,26.0,28.0,58.0,13.0,9.0,55.0,40.0,23.0,21.0
2471,0.0,2.0,3.0,1.0,7.0,5.0,23.0,19.0,14.0,34.0,25.0,28.0,22.0,42.0,9.0,8.0,16.0,37.0,27.0,15.0,33.0,6.0,40.0,10.0,30.0,38.0,20.0,12.0,18.0,4.0
2520,0.0,3.0,2.0,7.0,4.0,13.0,18.0,24.0,41.0,11.0,47.0,25.0,8.0,45.0,9.0,10.0,14.0,37.0,20.0,17.0,12.0,1.0,42.0,32.0,5.0,15.0,46.0,36.0,43.0,33.0
2569,1.0,5.0,0.0,4.0,10.0,30.0,6.0,32.0,33.0,34.0,16.0,51.0,8.0,26.0,11.0,49.0,18.0,14.0,29.0,23.0,13.0,2.0,52.0,25.0,15.0,19.0,41.0,59.0,28.0,22.0
2618,0.0,2.0,3.0,1.0,10.0,9.0,6.0,5.0,36.0,29.0,16.0,43.0,8.0,42.0,21.0,47.0,12.0,46.0,11.0,22.0,14.0,23.0,17.0,64.0,28.0,13.0,27.0,30.0,4.0,61.0
2667,7.0,0.0,2.0,1.0,8.0,4.0,11.0,5.0,28.0,30.0,3.0,16.0,36.0,6.0,25.0,21.0,17.0,57.0,10.0,39.0,9.0,40.0,55.0,20.0,19.0,14.0,44.0,48.0,15.0,12.0
2716,1.0,3.0,0.0,4.0,16.0,2.0,5.0,12.0,51.0,29.0,13.0,39.0,25.0,19.0,8.0,31.0,22.0,32.0,9.0,49.0,20.0,63.0,35.0,7.0,14.0,15.0,59.0,41.0,48.0,6.0
2765,1.0,0.0,2.0,9.0,20.0,53.0,3.0,8.0,64.0,11.0,17.0,43.0,15.0,42.0,19.0,22.0,5.0,49.0,21.0,54.0,62.0,13.0,4.0,10.0,16.0,26.0,29.0,14.0,32.0,35.0
2814,1.0,4.0,0.0,11.0,3.0,9.0,5.0,18.0,52.0,19.0,16.0,30.0,2.0,27.0,14.0,24.0,32.0,17.0,29.0,22.0,26.0,10.0,54.0,23.0,28.0,7.0,15.0,25.0,35.0,13.0
2863,0.0,28.0,1.0,3.0,5.0,9.0,8.0,12.0,23.0,17.0,2.0,60.0,38.0,27.0,51.0,36.0,26.0,25.0,14.0,56.0,16.0,6.0,24.0,47.0,11.0,10.0,18.0,32.0,48.0,13.0
2912,2.0,4.0,1.0,0.0,42.0,50.0,19.0,11.0,8.0,16.0,25.0,37.0,14.0,23.0,5.0,10.0,15.0,22.0,53.0,32.0,6.0,13.0,18.0,51.0,21.0,20.0,36.0,39.0,30.0,47.0
2961,2.0,1.0,0.0,20.0,5.0,23.0,7.0,34.0,4.0,31.0,15.0,32.0,3.0,41.0,21.0,8.0,30.0,9.0,29.0,28.0,51.0,6.0,38.0,27.0,12.0,13.0,11.0,17.0,25.0,39.0
3010,5.0,0.0,7.0,53.0,10.0,19.0,1.0,14.0,28.0,3.0,9.0,12.0,6.0,29.0,23.0,2.0,52.0,4.0,15.0,8.0,22.0,18.0,16.0,34.0,21.0,49.0,48.0,39.0,30.0,32.0
3059,4.0,1.0,9.0,23.0,12.0,13.0,5.0,6.0,8.0,31.0,7.0,24.0,0.0,33.0,10.0,21.0,62.0,3.0,42.0,19.0,51.0,16.0,25.0,2.0,14.0,38.0,30.0,28.0,15.0,29.0
3108,7.0,1.0,13.0,5.0,17.0,4.0,0.0,40.0,10.0,49.0,8.0,30.0,26.0,3.0,22.0,12.0,64.0,2.0,9.0,47.0,23.0,32.0,28.0,37.0,16.0,11.0,31.0,18.0,14.0,6.0
3157,1.0,2.0,6.0,13.0,29.0,3.0,4.0,11.0,7.0,8.0,12.0,43.0,23.0,16.0,14.0,0.0,65.0,5.0,52.0,10.0,41.0,15.0,21.0,35.0,31.0,42.0,44.0,9.0,33.0,17.0
3206,4.0,0.0,3.0,10.0,2.0,1.0,6.0,16.0,36.0,14.0,7.0,19.0,32.0,5.0,11.0,12.0,39.0,15.0,18.0,27.0,8.0,31.0,9.0,40.0,25.0,22.0,35.0,56.0,45.0,29.0
3255,3.0,0.0,11.0,9.0,2.0,6.0,5.0,1.0,15.0,28.0,7.0,27.0,12.0,61.0,24.0,4.0,55.0,8.0,42.0,41.0,20.0,30.0,16.0,37.0,22.0,47.0,31.0,19.0,13.0,26.0
3304,2.0,0.0,5.0,21.0,7.0,12.0,3.0,4.0,9.0,22.0,6.0,23.0,14.0,26.0,27.0,1.0,10.0,20.0,17.0,16.0,28.0,15.0,37.0,53.0,25.0,50.0,24.0,32.0,8.0,13.0
3353,0.0,1.0,5.0,41.0,3.0,12.0,6.0,37.0,18.0,19.0,8.0,7.0,9.0,34.0,36.0,2.0,65.0,10.0,16.0,23.0,47.0,4.0,14.0,52.0,28.0,50.0,24.0,40.0,32.0,17.0
3402,14.0,0.0,9.0,17.0,5.0,2.0,1.0,26.0,22.0,12.0,4.0,8.0,19.0,16.0,50.0,11.0,7.0,36.0,21.0,52.0,3.0,32.0,48.0,20.0,37.0,31.0,27.0,61.0,15.0,25.0
3451,1.0,2.0,4.0,0.0,26.0,31.0,20.0,27.0,9.0,18.0,14.0,6.0,12.0,16.0,5.0,59.0,28.0,57.0,33.0,13.0,44.0,3.0,47.0,24.0,17.0,7.0,41.0,19.0,30.0,11.0
3500,0.0,1.0,2.0,3.0,18.0,4.0,44.0,8.0,10.0,53.0,33.0,11.0,16.0,48.0,24.0,42.0,40.0,28.0,34.0,17.0,23.0,6.0,22.0,26.0,29.0,19.0,14.0,43.0,5.0,12.0
3549,4.0,1.0,8.0,0.0,11.0,2.0,9.0,3.0,5.0,21.0,14.0,24.0,46.0,12.0,7.0,37.0,48.0,10.0,40.0,17.0,30.0,6.0,13.0,25.0,34.0,28.0,16.0,18.0,32.0,54.0
3598,1.0,4.0,6.0,0.0,29.0,2.0,46.0,16.0,3.0,24.0,52.0,22.0,13.0,12.0,18.0,27.0,9.0,61.0,28.0,58.0,8.0,21.0,35.0,20.0,10.0,11.0,41.0,19.0,5.0,32.0
3647,0.0,1.0,5.0,2.0,48.0,26.0,31.0,4.0,7.0,34.0,53.0,22.0,35.0,33.0,6.0,39.0,28.0,14.0,30.0,9.0,56.0,3.0,17.0,16.0,8.0,11.0,15.0,18.0,10.0,29.0
3696,0.0,5.0,3.0,8.0,6.0,26.0,10.0,1.0,18.0,43.0,9.0,31.0,12.0,13.0,19.0,20.0,39.0,23.0,37.0,22.0,24.0,4.0,15.0,21.0,2.0,47.0,25.0,54.0,7.0,57.0
3745,0.0,1.0,7.0,4.0,19.0,5.0,20.0,3.0,10.0,17.0,27.0,29.0,2.0,36.0,15.0,21.0,41.0,6.0,37.0,22.0,51.0,9.0,11.0,13.0,26.0,30.0,16.0,18.0,54.0,59.0
3794,0.0,2.0,4.0,8.0,9.0,1.0,15.0,3.0,6.0,13.0,24.0,46.0,21.0,53.0,29.0,50.0,36.0,25.0,40.0,47.0,12.0,19.0,18.0,11.0,20.0,7.0,26.0,49.0,32.0,56.0
3843,1.0,0.0,28.0,2.0,14.0,4.0,16.0,8.0,3.0,12.0,32.0,11.0,6.0,13.0,24.0,47.0,54.0,25.0,9.0,19.0,58.0,7.0,33.0,5.0,10.0,39.0,36.0,34.0,35.0,50.0
3892,0.0,4.0,6.0,5.0,20.0,1.0,30.0,7.0,11.0,46.0,13.0,9.0,15.0,2.0,19.0,29.0,27.0,51.0,58.0,12.0,35.0,3.0,14.0,24.0,32.0,31.0,48.0,60.0,50.0,55.0
3941,1.0,7.0,2.0,0.0,16.0,32.0,49.0,43.0,40.0,23.0,41.0,11.0,22.0,39.0,14.0,4.0,8.0,5.0,10.0,35.0,27.0,26.0,30.0,24.0,13.0,25.0,6.0,15.0,65.0,45.0
3990,0.0,14.0,3.0,1.0,5.0,4.0,33.0,20.0,16.0,12.0,48.0,9.0,24.0,38.0,7.0,31.0,23.0,26.0,18.0,49.0,21.0,60.0,10.0,35.0,46.0,6.0,27.0,8.0,51.0,36.0
4039,0.0,1.0,43.0,11.0,2.0,10.0,14.0,16.0,5.0,13.0,37.0,12.0,32.0,25.0,3.0,17.0,9.0,8.0,15.0,38.0,33.0,7.0,34.0,26.0,4.0,18.0,28.0,42.0,48.0,36.0
4088,0.0,2.0,4.0,9.0,10.0,13.0,1.0,6.0,51.0,22.0,33.0,3.0,24.0,15.0,14.0,36.0,32.0,8.0,17.0,55.0,30.0,60.0,28.0,25.0,57.0,31.0,7.0,39.0,59.0,20.0
4137,9.0,0.0,2.0,1.0,22.0,8.0,4.0,12.0,15.0,49.0,37.0,32.0,25.0,55.0,3.0,7.0,24.0,26.0,53.0,45.0,23.0,19.0,10.0,18.0,14.0,11.0,63.0,46.0,56.0,41.0
4186,2.0,1.0,0.0,3.0,11.0,6.0,4.0,8.0,33.0,40.0,19.0,36.0,34.0,18.0,10.0,21.0,16.0,17.0,15.0,29.0,22.0,45.0,14.0,27.0,24.0,9.0,20.0,38.0,23.0,5.0
4235,2.0,9.0,0.0,1.0,6.0,21.0,12.0,58.0,66.0,16.0,26.0,32.0,10.0,40.0,23.0,3.0,19.0,35.0,5.0,55.0,39.0,49.0,27.0,15.0,24.0,29.0,65.0,30.0,50.0,48.0
4284,2.0,8.0,0.0,3.0,18.0,12.0,1.0,7.0,32.0,24.0,20.0,15.0,26.0,40.0,11.0,17.0,5.0,30.0,44.0,22.0,14.0,51.0,38.0,10.0,39.0,19.0,6.0,27.0,37.0,33.0
4333,0.0,3.0,1.0,2.0,22.0,4.0,10.0,7.0,13.0,12.0,64.0,34.0,17.0,21.0,14.0,20.0,32.0,45.0,30.0,23.0,49.0,26.0,52.0,25.0,15.0,5.0,8.0,19.0,42.0,50.0
4382,1.0,0.0,2.0,3.0,4.0,40.0,5.0,14.0,48.0,9.0,18.0,12.0,13.0,34.0,32.0,8.0,37.0,19.0,6.0,49.0,41.0,7.0,17.0,27.0,26.0,24.0,47.0,44.0,50.0,53.0
4431,2.0,1.0,0.0,6.0,10.0,4.0,19.0,13.0,3.0,11.0,29.0,7.0,25.0,41.0,26.0,5.0,17.0,12.0,28.0,30.0,20.0,27.0,9.0,8.0,18.0,23.0,53.0,14.0,56.0,24.0
4480,2.0,4.0,0.0,3.0,6.0,1.0,9.0,39.0,10.0,31.0,24.0,29.0,30.0,22.0,16.0,14.0,45.0,11.0,57.0,5.0,17.0,8.0,20.0,21.0,15.0,49.0,27.0,12.0,26.0,18.0
4529,1.0,3.0,0.0,2.0,10.0,36.0,22.0,39.0,8.0,12.0,19.0,21.0,30.0,7.0,13.0,20.0,4.0,23.0,16.0,17.0,15.0,32.0,6.0,46.0,5.0,14.0,24.0,40.0,28.0,58.0
4578,5.0,0.0,2.0,4.0,10.0,34.0,7.0,6.0,13.0,15.0,11.0,31.0,1.0,22.0,17.0,33.0,59.0,26.0,18.0,14.0,52.0,25.0,9.0,3.0,27.0,38.0,28.0,46.0,21.0,44.0
4627,20.0,1.0,4.0,0.0,7.0,2.0,9.0,17.0,31.0,53.0,5.0,11.0,13.0,34.0,58.0,22.0,66.0,3.0,14.0,18.0,52.0,26.0,6.0,8.0,12.0,39.0,15.0,10.0,37.0,65.0
4676,1.0,2.0,0.0,25.0,8.0,9.0,13.0,6.0,44.0,39.0,22.0,10.0,30.0,5.0,18.0,11.0,65.0,20.0,7.0,33.0,48.0,24.0,31.0,4.0,17.0,51.0,42.0,3.0,40.0,36.0
4725,13.0,8.0,1.0,0.0,2.0,19.0,32.0,7.0,35.0,40.0,3.0,9.0,15.0,4.0,17.0,39.0,21.0,11.0,16.0,14.0,59.0,44.0,10.0,43.0,45.0,30.0,24.0,38.0,26.0,53.0
4774,1.0,2.0,5.0,0.0,9.0,11.0,12.0,39.0,6.0,25.0,8.0,26.0,22.0,4.0,18.0,36.0,16.0,37.0,3.0,63.0,19.0,10.0,52.0,20.0,35.0,51.0,32.0,43.0,28.0,7.0
4823,8.0,1.0,2.0,3.0,0.0,4.0,7.0,19.0,34.0,21.0,5.0,9.0,12.0,10.0,43.0,57.0,6.0,15.0,14.0,16.0,60.0,58.0,11.0,13.0,23.0,27.0,37.0,61.0,33.0,18.0
4872,3.0,0.0,2.0,1.0,9.0,20.0,7.0,40.0,47.0,24.0,5.0,4.0,14.0,6.0,11.0,17.0,31.0,16.0,29.0,30.0,62.0,52.0,27.0,18.0,49.0,23.0,36.0,37.0,39.0,10.0
