,Bax,Caspase-7_cleavedD198,GAPDH,XBP1,YB-1_pS102,HER3,Notch1,CD49b,FRA1,ASNS,CDK1,p38_pT180_Y182,PEA15_pS116,RAD51,HSP70,PDCD4,14-3-3_zeta,G6PD,MEK1_pS217_S221,Beclin,Src_pY527,ACVRL1,FoxM1,PAI-1,NDRG1_pT346,Annexin 1,Chk2,PRAS40_pT246,MDMX_MDM4(BetIHC-00108),HER2
590,2.0,3.0,1.0,9.0,4.0,13.0,18.0,10.0,0.0,37.0,6.0,5.0,7.0,20.0,25.0,41.0,8.0,15.0,24.0,12.0,29.0,45.0,44.0,55.0,17.0,22.0,56.0,40.0,14.0,23.0
639,0.0,7.0,12.0,3.0,1.0,8.0,16.0,10.0,2.0,50.0,15.0,6.0,17.0,14.0,23.0,34.0,20.0,22.0,13.0,11.0,25.0,53.0,31.0,27.0,9.0,19.0,5.0,18.0,40.0,44.0
688,3.0,1.0,6.0,0.0,2.0,11.0,7.0,17.0,9.0,50.0,5.0,10.0,37.0,26.0,56.0,41.0,16.0,4.0,15.0,14.0,53.0,64.0,21.0,43.0,8.0,54.0,28.0,13.0,18.0,40.0
737,1.0,2.0,18.0,0.0,4.0,28.0,16.0,9.0,13.0,43.0,8.0,3.0,5.0,33.0,84.0,25.0,20.0,6.0,19.0,15.0,29.0,34.0,32.0,23.0,26.0,21.0,11.0,12.0,17.0,60.0
786,1.0,3.0,47.0,0.0,5.0,6.0,21.0,9.0,2.0,20.0,18.0,7.0,36.0,27.0,13.0,16.0,4.0,8.0,10.0,19.0,31.0,56.0,22.0,39.0,24.0,12.0,11.0,48.0,15.0,25.0
835,0.0,2.0,14.0,1.0,3.0,4.0,10.0,15.0,7.0,30.0,13.0,8.0,22.0,46.0,29.0,11.0,18.0,40.0,9.0,31.0,37.0,44.0,23.0,45.0,5.0,33.0,12.0,16.0,19.0,17.0
884,0.0,1.0,5.0,3.0,2.0,6.0,13.0,18.0,4.0,30.0,10.0,11.0,24.0,21.0,36.0,16.0,20.0,15.0,7.0,25.0,35.0,49.0,19.0,41.0,8.0,32.0,12.0,22.0,31.0,37.0
933,0.0,4.0,24.0,1.0,6.0,2.0,16.0,18.0,8.0,44.0,14.0,3.0,32.0,22.0,21.0,38.0,12.0,9.0,11.0,10.0,13.0,51.0,23.0,27.0,20.0,39.0,19.0,17.0,35.0,58.0
982,1.0,3.0,2.0,0.0,22.0,37.0,5.0,8.0,9.0,29.0,13.0,39.0,11.0,6.0,27.0,47.0,15.0,20.0,21.0,58.0,7.0,12.0,42.0,23.0,56.0,16.0,17.0,82.0,35.0,24.0
1031,0.0,1.0,3.0,2.0,7.0,6.0,12.0,9.0,5.0,4.0,14.0,19.0,24.0,8.0,39.0,36.0,10.0,11.0,37.0,53.0,13.0,42.0,28.0,21.0,38.0,71.0,43.0,61.0,74.0,27.0
1080,1.0,0.0,4.0,2.0,3.0,17.0,5.0,14.0,9.0,8.0,6.0,27.0,21.0,10.0,18.0,15.0,28.0,13.0,25.0,35.0,36.0,23.0,16.0,37.0,30.0,48.0,11.0,70.0,38.0,31.0
1129,0.0,1.0,12.0,6.0,8.0,10.0,3.0,2.0,5.0,4.0,16.0,23.0,15.0,22.0,38.0,20.0,7.0,18.0,9.0,44.0,43.0,25.0,21.0,24.0,37.0,40.0,49.0,72.0,47.0,19.0
1178,0.0,1.0,21.0,3.0,9.0,11.0,5.0,2.0,7.0,4.0,12.0,32.0,6.0,24.0,29.0,71.0,14.0,8.0,26.0,45.0,19.0,15.0,53.0,13.0,34.0,46.0,17.0,75.0,16.0,38.0
1227,0.0,2.0,4.0,5.0,11.0,20.0,1.0,3.0,6.0,7.0,14.0,18.0,15.0,8.0,19.0,33.0,13.0,10.0,38.0,47.0,21.0,41.0,28.0,25.0,16.0,39.0,27.0,74.0,50.0,22.0
1276,0.0,1.0,2.0,7.0,6.0,12.0,4.0,3.0,13.0,15.0,10.0,16.0,5.0,11.0,59.0,36.0,30.0,27.0,68.0,62.0,32.0,24.0,25.0,37.0,82.0,35.0,19.0,71.0,26.0,28.0
1325,0.0,2.0,4.0,3.0,8.0,13.0,7.0,6.0,32.0,5.0,19.0,39.0,16.0,11.0,14.0,41.0,17.0,9.0,15.0,26.0,12.0,10.0,27.0,18.0,46.0,49.0,52.0,67.0,29.0,54.0
1374,0.0,1.0,4.0,2.0,18.0,17.0,3.0,8.0,9.0,7.0,14.0,37.0,13.0,27.0,38.0,29.0,5.0,6.0,26.0,49.0,15.0,22.0,19.0,36.0,92.0,16.0,31.0,72.0,40.0,20.0
1423,0.0,2.0,8.0,3.0,7.0,22.0,6.0,1.0,5.0,4.0,19.0,23.0,14.0,18.0,20.0,49.0,17.0,27.0,11.0,24.0,42.0,9.0,38.0,34.0,29.0,61.0,59.0,104.0,21.0,44.0
1472,0.0,1.0,4.0,2.0,7.0,3.0,10.0,14.0,16.0,5.0,6.0,11.0,18.0,20.0,39.0,17.0,8.0,30.0,60.0,15.0,58.0,27.0,19.0,34.0,12.0,84.0,56.0,22.0,97.0,36.0
1521,0.0,1.0,4.0,7.0,5.0,8.0,2.0,12.0,6.0,3.0,16.0,14.0,10.0,11.0,15.0,19.0,18.0,45.0,26.0,17.0,13.0,20.0,34.0,58.0,23.0,49.0,44.0,59.0,46.0,22.0
1570,0.0,1.0,2.0,6.0,7.0,3.0,4.0,17.0,12.0,10.0,21.0,20.0,8.0,19.0,42.0,16.0,9.0,15.0,50.0,37.0,11.0,29.0,30.0,22.0,27.0,56.0,14.0,24.0,79.0,71.0
1619,0.0,1.0,4.0,7.0,3.0,14.0,6.0,2.0,30.0,18.0,11.0,16.0,20.0,8.0,28.0,10.0,13.0,24.0,33.0,29.0,38.0,5.0,34.0,45.0,12.0,46.0,9.0,36.0,88.0,22.0
1668,1.0,0.0,9.0,3.0,6.0,7.0,2.0,4.0,10.0,13.0,12.0,35.0,20.0,5.0,31.0,17.0,8.0,24.0,30.0,15.0,43.0,18.0,61.0,19.0,14.0,64.0,16.0,37.0,44.0,32.0
1717,0.0,1.0,10.0,4.0,14.0,3.0,2.0,11.0,13.0,5.0,9.0,8.0,17.0,18.0,21.0,26.0,6.0,24.0,54.0,19.0,32.0,23.0,42.0,49.0,27.0,34.0,15.0,30.0,20.0,57.0
1766,0.0,3.0,4.0,5.0,10.0,1.0,12.0,8.0,7.0,11.0,14.0,13.0,16.0,2.0,26.0,9.0,20.0,18.0,25.0,30.0,15.0,32.0,53.0,28.0,19.0,58.0,21.0,38.0,49.0,31.0
1815,0.0,3.0,4.0,5.0,6.0,7.0,2.0,9.0,14.0,11.0,13.0,15.0,18.0,16.0,78.0,1.0,10.0,24.0,42.0,43.0,17.0,22.0,50.0,36.0,32.0,69.0,8.0,25.0,64.0,20.0
1864,0.0,2.0,6.0,5.0,3.0,1.0,18.0,4.0,14.0,7.0,12.0,22.0,13.0,8.0,11.0,28.0,21.0,19.0,46.0,23.0,27.0,17.0,60.0,40.0,20.0,51.0,9.0,34.0,79.0,26.0
1913,0.0,1.0,8.0,16.0,2.0,7.0,6.0,3.0,5.0,13.0,21.0,9.0,14.0,15.0,27.0,4.0,11.0,24.0,51.0,26.0,25.0,19.0,40.0,49.0,10.0,57.0,12.0,17.0,37.0,23.0
1962,0.0,3.0,33.0,15.0,26.0,1.0,2.0,9.0,7.0,49.0,16.0,11.0,10.0,5.0,6.0,8.0,35.0,30.0,28.0,22.0,20.0,59.0,47.0,24.0,17.0,4.0,38.0,13.0,23.0,48.0
2011,0.0,4.0,21.0,13.0,22.0,1.0,18.0,3.0,12.0,48.0,9.0,7.0,17.0,28.0,6.0,2.0,49.0,26.0,27.0,8.0,31.0,44.0,42.0,14.0,16.0,11.0,47.0,32.0,10.0,52.0
2060,0.0,2.0,6.0,8.0,27.0,5.0,3.0,1.0,9.0,20.0,4.0,10.0,16.0,11.0,7.0,19.0,35.0,22.0,21.0,18.0,47.0,40.0,41.0,14.0,23.0,17.0,49.0,31.0,44.0,51.0
2109,0.0,1.0,56.0,9.0,24.0,2.0,8.0,4.0,3.0,26.0,10.0,7.0,17.0,6.0,5.0,29.0,51.0,48.0,27.0,23.0,49.0,82.0,52.0,19.0,30.0,11.0,14.0,33.0,25.0,53.0
2158,0.0,2.0,11.0,9.0,17.0,6.0,1.0,3.0,4.0,40.0,5.0,12.0,13.0,15.0,20.0,7.0,38.0,56.0,24.0,16.0,73.0,31.0,19.0,21.0,14.0,8.0,79.0,39.0,22.0,46.0
2207,0.0,6.0,17.0,5.0,27.0,8.0,2.0,3.0,4.0,62.0,32.0,9.0,11.0,12.0,10.0,7.0,20.0,36.0,29.0,13.0,45.0,44.0,31.0,18.0,33.0,1.0,49.0,21.0,14.0,90.0
2256,1.0,0.0,15.0,31.0,8.0,5.0,4.0,2.0,10.0,21.0,12.0,16.0,14.0,9.0,7.0,11.0,56.0,39.0,18.0,27.0,35.0,70.0,34.0,22.0,49.0,3.0,40.0,25.0,6.0,50.0
2305,0.0,1.0,18.0,17.0,15.0,30.0,3.0,6.0,2.0,69.0,21.0,12.0,28.0,13.0,9.0,8.0,36.0,22.0,16.0,5.0,60.0,40.0,53.0,10.0,37.0,24.0,52.0,43.0,7.0,48.0
2354,0.0,11.0,26.0,28.0,36.0,3.0,6.0,4.0,1.0,17.0,15.0,7.0,23.0,14.0,8.0,19.0,30.0,52.0,16.0,12.0,38.0,24.0,34.0,9.0,5.0,2.0,33.0,29.0,46.0,59.0
2403,0.0,7.0,6.0,5.0,14.0,2.0,8.0,1.0,13.0,31.0,20.0,9.0,19.0,10.0,3.0,12.0,30.0,25.0,38.0,4.0,40.0,29.0,35.0,41.0,11.0,16.0,66.0,27.0,43.0,63.0
2452,0.0,1.0,9.0,2.0,5.0,7.0,3.0,19.0,15.0,14.0,12.0,8.0,4.0,10.0,29.0,17.0,13.0,23.0,6.0,11.0,18.0,30.0,16.0,28.0,25.0,26.0,81.0,35.0,40.0,68.0
2501,0.0,1.0,4.0,3.0,2.0,7.0,6.0,23.0,20.0,14.0,16.0,11.0,5.0,13.0,56.0,19.0,22.0,25.0,8.0,12.0,24.0,48.0,10.0,46.0,18.0,17.0,85.0,31.0,38.0,52.0
2550,0.0,1.0,2.0,6.0,4.0,3.0,7.0,21.0,15.0,8.0,23.0,12.0,5.0,14.0,22.0,10.0,19.0,26.0,11.0,16.0,17.0,18.0,13.0,72.0,38.0,9.0,85.0,31.0,42.0,20.0
2599,0.0,1.0,3.0,5.0,8.0,4.0,7.0,15.0,32.0,9.0,20.0,6.0,2.0,17.0,68.0,10.0,21.0,11.0,18.0,26.0,55.0,23.0,52.0,24.0,47.0,29.0,59.0,31.0,13.0,28.0
2648,0.0,1.0,2.0,8.0,9.0,5.0,4.0,13.0,6.0,16.0,10.0,17.0,3.0,15.0,29.0,25.0,12.0,11.0,7.0,72.0,31.0,14.0,23.0,34.0,30.0,50.0,75.0,61.0,21.0,38.0
2697,0.0,1.0,2.0,5.0,8.0,10.0,4.0,33.0,30.0,27.0,12.0,7.0,3.0,16.0,11.0,24.0,26.0,17.0,6.0,9.0,14.0,31.0,41.0,21.0,35.0,18.0,82.0,37.0,15.0,23.0
2746,0.0,1.0,2.0,7.0,8.0,3.0,5.0,27.0,47.0,16.0,26.0,14.0,4.0,20.0,24.0,6.0,21.0,11.0,10.0,15.0,17.0,33.0,9.0,30.0,13.0,19.0,101.0,22.0,25.0,54.0
2795,0.0,1.0,9.0,4.0,2.0,11.0,3.0,10.0,21.0,13.0,5.0,8.0,7.0,32.0,46.0,53.0,18.0,14.0,6.0,37.0,30.0,26.0,12.0,17.0,19.0,40.0,47.0,20.0,34.0,69.0
2844,0.0,1.0,2.0,4.0,5.0,6.0,20.0,22.0,9.0,7.0,19.0,11.0,3.0,8.0,35.0,40.0,21.0,12.0,14.0,10.0,30.0,23.0,31.0,27.0,16.0,33.0,59.0,39.0,28.0,61.0
2893,0.0,1.0,5.0,2.0,14.0,7.0,4.0,9.0,25.0,17.0,30.0,8.0,3.0,24.0,12.0,34.0,19.0,31.0,6.0,23.0,16.0,11.0,15.0,22.0,20.0,27.0,111.0,45.0,29.0,37.0
2942,0.0,4.0,2.0,7.0,6.0,3.0,15.0,5.0,27.0,18.0,31.0,13.0,32.0,17.0,25.0,1.0,19.0,43.0,16.0,28.0,14.0,11.0,33.0,8.0,57.0,60.0,39.0,47.0,26.0,12.0
2991,0.0,3.0,2.0,4.0,5.0,19.0,15.0,9.0,17.0,1.0,25.0,10.0,28.0,26.0,14.0,7.0,43.0,29.0,11.0,12.0,36.0,13.0,23.0,6.0,32.0,97.0,95.0,37.0,33.0,35.0
3040,0.0,1.0,2.0,6.0,9.0,14.0,10.0,4.0,16.0,3.0,46.0,7.0,21.0,23.0,30.0,5.0,18.0,8.0,12.0,38.0,11.0,25.0,24.0,35.0,22.0,93.0,54.0,41.0,34.0,27.0
3089,0.0,5.0,6.0,9.0,4.0,1.0,2.0,8.0,35.0,7.0,29.0,12.0,13.0,31.0,11.0,3.0,26.0,42.0,18.0,15.0,10.0,19.0,33.0,14.0,24.0,68.0,47.0,16.0,22.0,51.0
3138,1.0,5.0,0.0,12.0,6.0,2.0,4.0,14.0,23.0,13.0,33.0,15.0,16.0,29.0,17.0,10.0,26.0,36.0,11.0,25.0,8.0,9.0,32.0,27.0,7.0,40.0,41.0,24.0,35.0,20.0
3187,0.0,5.0,4.0,7.0,3.0,1.0,9.0,11.0,32.0,24.0,17.0,10.0,21.0,26.0,14.0,2.0,16.0,12.0,31.0,36.0,13.0,6.0,15.0,29.0,20.0,51.0,57.0,19.0,43.0,27.0
3236,0.0,1.0,5.0,2.0,3.0,17.0,4.0,6.0,13.0,8.0,14.0,9.0,18.0,21.0,10.0,20.0,45.0,59.0,22.0,31.0,16.0,7.0,40.0,11.0,25.0,81.0,56.0,39.0,32.0,15.0
3285,0.0,2.0,1.0,3.0,11.0,9.0,4.0,5.0,24.0,7.0,36.0,20.0,39.0,14.0,8.0,6.0,25.0,12.0,18.0,35.0,15.0,19.0,41.0,17.0,23.0,80.0,57.0,10.0,40.0,22.0
3334,0.0,3.0,4.0,2.0,5.0,1.0,9.0,7.0,30.0,8.0,15.0,6.0,12.0,33.0,22.0,18.0,24.0,19.0,17.0,20.0,13.0,11.0,25.0,10.0,37.0,50.0,27.0,14.0,23.0,41.0
3383,0.0,2.0,1.0,20.0,5.0,6.0,7.0,4.0,22.0,3.0,26.0,18.0,24.0,13.0,9.0,10.0,16.0,29.0,51.0,19.0,34.0,11.0,35.0,14.0,17.0,39.0,122.0,8.0,31.0,15.0
3432,0.0,3.0,25.0,7.0,8.0,2.0,13.0,31.0,12.0,4.0,26.0,37.0,38.0,24.0,1.0,69.0,14.0,16.0,11.0,35.0,10.0,17.0,20.0,39.0,76.0,6.0,9.0,23.0,15.0,5.0
3481,1.0,0.0,13.0,4.0,5.0,7.0,12.0,11.0,2.0,6.0,32.0,10.0,20.0,16.0,3.0,40.0,15.0,22.0,25.0,23.0,47.0,64.0,17.0,45.0,78.0,9.0,41.0,31.0,21.0,19.0
3530,0.0,2.0,7.0,3.0,4.0,1.0,24.0,12.0,9.0,17.0,42.0,22.0,35.0,30.0,5.0,20.0,13.0,29.0,6.0,11.0,27.0,57.0,15.0,25.0,31.0,26.0,8.0,32.0,16.0,28.0
3579,0.0,1.0,8.0,3.0,4.0,2.0,5.0,22.0,9.0,6.0,10.0,32.0,27.0,15.0,7.0,46.0,18.0,11.0,12.0,39.0,23.0,26.0,20.0,24.0,50.0,34.0,25.0,19.0,30.0,14.0
3628,2.0,8.0,6.0,0.0,5.0,3.0,24.0,16.0,1.0,11.0,7.0,38.0,21.0,28.0,18.0,39.0,15.0,37.0,27.0,14.0,17.0,44.0,25.0,22.0,26.0,36.0,4.0,56.0,32.0,34.0
3677,0.0,2.0,8.0,3.0,4.0,1.0,18.0,13.0,10.0,29.0,22.0,27.0,14.0,39.0,9.0,19.0,6.0,23.0,12.0,16.0,5.0,43.0,17.0,20.0,32.0,45.0,7.0,25.0,11.0,15.0
3726,0.0,1.0,7.0,4.0,3.0,2.0,14.0,15.0,13.0,6.0,25.0,18.0,29.0,26.0,9.0,50.0,17.0,28.0,23.0,36.0,11.0,31.0,27.0,46.0,54.0,8.0,42.0,30.0,12.0,10.0
3775,1.0,3.0,4.0,7.0,12.0,0.0,14.0,11.0,5.0,21.0,41.0,35.0,43.0,24.0,6.0,31.0,9.0,37.0,22.0,25.0,8.0,23.0,46.0,17.0,10.0,2.0,13.0,20.0,50.0,15.0
3824,1.0,3.0,13.0,7.0,9.0,0.0,6.0,30.0,2.0,14.0,25.0,16.0,22.0,12.0,4.0,15.0,43.0,47.0,19.0,50.0,11.0,38.0,74.0,44.0,45.0,20.0,21.0,27.0,8.0,10.0
3873,0.0,1.0,6.0,5.0,4.0,2.0,59.0,11.0,7.0,3.0,14.0,23.0,22.0,38.0,12.0,45.0,26.0,21.0,67.0,34.0,9.0,37.0,18.0,17.0,20.0,24.0,15.0,32.0,25.0,8.0
3922,0.0,1.0,2.0,13.0,3.0,4.0,7.0,17.0,9.0,12.0,14.0,21.0,5.0,20.0,8.0,18.0,19.0,27.0,68.0,26.0,25.0,39.0,36.0,22.0,23.0,11.0,16.0,10.0,6.0,31.0
3971,0.0,1.0,3.0,9.0,6.0,4.0,2.0,18.0,5.0,28.0,12.0,15.0,11.0,7.0,14.0,21.0,47.0,46.0,26.0,44.0,36.0,17.0,39.0,16.0,25.0,13.0,8.0,22.0,10.0,19.0
4020,0.0,2.0,4.0,18.0,3.0,6.0,1.0,8.0,10.0,12.0,20.0,25.0,15.0,7.0,17.0,42.0,9.0,19.0,28.0,34.0,41.0,33.0,22.0,16.0,14.0,11.0,27.0,29.0,5.0,13.0
4069,0.0,1.0,2.0,7.0,22.0,3.0,11.0,17.0,4.0,8.0,5.0,28.0,12.0,9.0,18.0,15.0,23.0,21.0,42.0,62.0,26.0,25.0,31.0,14.0,16.0,10.0,6.0,29.0,30.0,13.0
4118,0.0,1.0,5.0,13.0,4.0,9.0,3.0,11.0,6.0,8.0,7.0,10.0,25.0,17.0,2.0,40.0,27.0,21.0,55.0,45.0,33.0,30.0,23.0,14.0,29.0,19.0,18.0,15.0,24.0,20.0
4167,0.0,2.0,19.0,22.0,5.0,3.0,13.0,14.0,1.0,35.0,6.0,15.0,16.0,11.0,8.0,4.0,34.0,40.0,44.0,17.0,50.0,20.0,84.0,18.0,7.0,30.0,12.0,26.0,24.0,9.0
4216,0.0,1.0,3.0,16.0,6.0,22.0,11.0,5.0,2.0,4.0,12.0,7.0,33.0,8.0,21.0,45.0,25.0,44.0,20.0,43.0,23.0,29.0,36.0,9.0,27.0,18.0,24.0,40.0,14.0,13.0
4265,0.0,1.0,8.0,3.0,13.0,10.0,4.0,17.0,2.0,12.0,11.0,28.0,15.0,18.0,7.0,64.0,6.0,36.0,19.0,37.0,26.0,23.0,44.0,30.0,70.0,9.0,21.0,31.0,5.0,14.0
4314,0.0,1.0,10.0,6.0,4.0,16.0,8.0,3.0,7.0,23.0,26.0,18.0,5.0,22.0,2.0,25.0,17.0,27.0,24.0,38.0,55.0,14.0,57.0,28.0,32.0,12.0,11.0,20.0,9.0,19.0
4363,0.0,3.0,2.0,36.0,5.0,9.0,21.0,7.0,20.0,30.0,18.0,4.0,1.0,8.0,37.0,26.0,44.0,13.0,45.0,40.0,34.0,14.0,16.0,12.0,59.0,15.0,11.0,29.0,10.0,22.0
4412,0.0,3.0,1.0,10.0,8.0,4.0,5.0,9.0,22.0,2.0,34.0,35.0,14.0,15.0,33.0,26.0,41.0,38.0,13.0,6.0,7.0,11.0,18.0,24.0,70.0,42.0,40.0,50.0,17.0,43.0
4461,0.0,1.0,7.0,16.0,5.0,28.0,8.0,14.0,21.0,9.0,22.0,20.0,15.0,27.0,6.0,3.0,11.0,17.0,10.0,2.0,4.0,13.0,36.0,18.0,84.0,35.0,48.0,33.0,46.0,60.0
4510,0.0,2.0,1.0,5.0,7.0,15.0,9.0,8.0,4.0,6.0,37.0,18.0,17.0,20.0,13.0,36.0,63.0,10.0,16.0,11.0,3.0,19.0,33.0,14.0,26.0,54.0,22.0,59.0,40.0,61.0
4559,0.0,1.0,6.0,10.0,5.0,11.0,3.0,26.0,27.0,17.0,22.0,4.0,2.0,19.0,7.0,9.0,43.0,23.0,8.0,16.0,14.0,41.0,13.0,38.0,40.0,21.0,36.0,42.0,24.0,31.0
4608,0.0,1.0,14.0,6.0,4.0,5.0,7.0,2.0,20.0,3.0,18.0,44.0,9.0,22.0,25.0,10.0,52.0,11.0,16.0,8.0,12.0,19.0,15.0,61.0,40.0,39.0,23.0,41.0,46.0,38.0
4657,4.0,0.0,5.0,1.0,2.0,27.0,18.0,15.0,14.0,12.0,3.0,6.0,10.0,35.0,23.0,29.0,61.0,55.0,21.0,9.0,37.0,32.0,11.0,30.0,90.0,16.0,17.0,38.0,53.0,60.0
4706,1.0,2.0,0.0,17.0,11.0,6.0,4.0,7.0,28.0,5.0,31.0,8.0,19.0,14.0,18.0,9.0,25.0,10.0,24.0,20.0,3.0,33.0,26.0,45.0,40.0,58.0,29.0,13.0,32.0,53.0
4755,0.0,1.0,9.0,15.0,12.0,5.0,2.0,3.0,10.0,4.0,53.0,14.0,13.0,29.0,21.0,19.0,23.0,30.0,8.0,11.0,6.0,22.0,7.0,20.0,59.0,24.0,16.0,25.0,28.0,61.0
4804,1.0,2.0,0.0,17.0,10.0,7.0,3.0,5.0,14.0,6.0,23.0,4.0,12.0,11.0,18.0,22.0,32.0,20.0,27.0,8.0,9.0,13.0,37.0,68.0,33.0,49.0,21.0,24.0,56.0,54.0
4853,0.0,4.0,7.0,18.0,6.0,1.0,26.0,9.0,12.0,8.0,31.0,14.0,2.0,10.0,13.0,17.0,39.0,5.0,19.0,11.0,3.0,20.0,24.0,33.0,45.0,27.0,66.0,28.0,42.0,55.0
