,hsa-miR-518b,hsa-miR-329,hsa-miR-28-3p,hsa-miR-1539,hsa-miR-1246,hsa-miR-30c,hsa-miR-1180,hsa-miR-671-5p,hsa-miR-216a,hsa-miR-339-5p,hsa-miR-615-3p,hsa-miR-9,hsa-miR-671-3p,hsa-miR-139-5p,hsa-miR-582-5p,hsa-miR-934,hsa-miR-1256,hsa-miR-103,hsa-miR-1185,hsa-miR-30e,hsa-miR-375,hsa-miR-582-3p,hsa-miR-1975,hsa-miR-384,hsa-miR-323-3p,hsa-miR-101,hsa-miR-662,hsa-miR-320d,hsa-miR-2053,hsa-miR-505
3645,22.0,102.0,57.0,51.0,448.0,85.0,50.0,69.0,66.0,111.0,155.0,347.0,27.0,63.0,108.0,42.0,40.0,49.0,461.0,574.0,613.0,212.0,25.0,46.0,83.0,121.0,61.0,101.0,158.0,119.0
3694,31.0,14.0,4.0,28.0,125.0,5.0,51.0,47.0,75.0,20.0,3.0,115.0,122.0,90.0,25.0,30.0,73.0,134.0,27.0,116.0,611.0,190.0,33.0,606.0,61.0,55.0,58.0,114.0,112.0,64.0
3743,12.0,423.0,49.0,159.0,101.0,0.0,68.0,73.0,53.0,36.0,254.0,387.0,90.0,54.0,66.0,157.0,65.0,45.0,109.0,407.0,166.0,227.0,470.0,47.0,28.0,149.0,50.0,33.0,23.0,613.0
3792,102.0,36.0,40.0,11.0,124.0,6.0,32.0,48.0,21.0,85.0,29.0,360.0,55.0,96.0,223.0,53.0,83.0,134.0,108.0,38.0,597.0,211.0,467.0,26.0,61.0,75.0,74.0,117.0,33.0,611.0
3841,46.0,105.0,38.0,376.0,21.0,2.0,48.0,28.0,65.0,86.0,64.0,43.0,85.0,63.0,203.0,149.0,107.0,132.0,35.0,1.0,0.0,41.0,416.0,80.0,42.0,101.0,363.0,567.0,140.0,113.0
3890,116.0,30.0,38.0,79.0,4.0,65.0,453.0,64.0,83.0,26.0,29.0,335.0,14.0,43.0,135.0,133.0,60.0,458.0,100.0,50.0,52.0,207.0,416.0,565.0,44.0,74.0,305.0,628.0,90.0,35.0
3939,14.0,20.0,23.0,375.0,41.0,1.0,120.0,68.0,176.0,54.0,345.0,82.0,67.0,47.0,38.0,76.0,152.0,36.0,97.0,25.0,94.0,221.0,414.0,528.0,126.0,77.0,139.0,624.0,34.0,70.0
3988,9.0,2.0,4.0,479.0,59.0,6.0,15.0,322.0,46.0,101.0,89.0,99.0,71.0,32.0,34.0,43.0,119.0,18.0,139.0,19.0,79.0,13.0,45.0,22.0,159.0,165.0,327.0,583.0,27.0,25.0
4037,14.0,90.0,582.0,162.0,55.0,113.0,18.0,16.0,43.0,13.0,40.0,39.0,22.0,41.0,32.0,80.0,100.0,53.0,116.0,5.0,156.0,4.0,65.0,604.0,567.0,97.0,72.0,31.0,30.0,154.0
4086,12.0,34.0,581.0,146.0,440.0,40.0,68.0,313.0,104.0,129.0,54.0,345.0,49.0,156.0,132.0,45.0,62.0,460.0,105.0,18.0,610.0,37.0,87.0,1.0,130.0,128.0,142.0,14.0,57.0,510.0
