,PTEN,MEK1_pS217_S221,Cyclin_D1,GAPDH,Bcl-2,Rab25,FOXO3a,FoxM1,GSK3_pS9,GSK-3-BETA,CDK1,IRS1,HER3,GATA3,MIG-6,VAV1,Smad3,Src_pY527,Transglutaminase,p38_pT180_Y182,HSP70,Bax,p27_pT157,N-Cadherin,Chk1,G6PD,FRA1,TIGAR,Rb_pS807_S811,JNK_pT183_Y185
541,6.0,1.0,3.0,2.0,12.0,0.0,9.0,17.0,8.0,11.0,10.0,4.0,14.0,7.0,5.0,33.0,29.0,15.0,21.0,19.0,16.0,24.0,26.0,13.0,41.0,31.0,32.0,20.0,57.0,78.0
590,0.0,1.0,10.0,3.0,24.0,2.0,6.0,5.0,11.0,23.0,7.0,17.0,8.0,4.0,53.0,12.0,15.0,21.0,14.0,9.0,39.0,25.0,22.0,19.0,37.0,20.0,42.0,38.0,58.0,57.0
639,9.0,2.0,4.0,14.0,7.0,0.0,13.0,3.0,8.0,11.0,10.0,16.0,1.0,5.0,30.0,27.0,12.0,19.0,32.0,25.0,36.0,26.0,17.0,21.0,48.0,75.0,33.0,23.0,49.0,46.0
688,1.0,8.0,15.0,2.0,21.0,0.0,3.0,5.0,4.0,22.0,6.0,13.0,12.0,16.0,10.0,23.0,18.0,11.0,38.0,17.0,7.0,34.0,31.0,24.0,39.0,50.0,29.0,19.0,81.0,43.0
737,1.0,3.0,19.0,5.0,8.0,0.0,6.0,2.0,4.0,22.0,11.0,10.0,14.0,9.0,25.0,7.0,29.0,23.0,27.0,21.0,20.0,38.0,24.0,13.0,59.0,55.0,17.0,39.0,28.0,45.0
786,1.0,15.0,6.0,7.0,12.0,0.0,5.0,3.0,4.0,16.0,13.0,10.0,9.0,2.0,18.0,19.0,34.0,38.0,33.0,8.0,22.0,25.0,32.0,11.0,36.0,39.0,26.0,27.0,28.0,23.0
835,0.0,2.0,8.0,9.0,19.0,1.0,6.0,5.0,4.0,27.0,11.0,12.0,10.0,7.0,18.0,24.0,13.0,20.0,43.0,29.0,15.0,41.0,26.0,55.0,54.0,50.0,49.0,23.0,42.0,56.0
884,1.0,15.0,10.0,5.0,7.0,0.0,3.0,13.0,8.0,11.0,12.0,4.0,6.0,2.0,14.0,26.0,24.0,56.0,31.0,23.0,9.0,51.0,34.0,22.0,59.0,57.0,45.0,38.0,73.0,61.0
933,7.0,16.0,6.0,8.0,14.0,0.0,13.0,12.0,10.0,35.0,9.0,32.0,5.0,2.0,18.0,4.0,1.0,21.0,20.0,30.0,23.0,40.0,31.0,26.0,62.0,24.0,37.0,45.0,39.0,36.0
982,0.0,2.0,3.0,5.0,1.0,14.0,4.0,17.0,7.0,10.0,16.0,12.0,9.0,6.0,11.0,44.0,15.0,13.0,26.0,20.0,22.0,21.0,18.0,28.0,35.0,72.0,27.0,30.0,31.0,48.0
1031,2.0,0.0,5.0,1.0,4.0,6.0,3.0,9.0,11.0,7.0,8.0,10.0,24.0,28.0,13.0,32.0,47.0,17.0,14.0,21.0,49.0,33.0,15.0,41.0,19.0,61.0,25.0,12.0,39.0,55.0
1080,1.0,0.0,3.0,8.0,9.0,2.0,7.0,4.0,15.0,5.0,6.0,35.0,30.0,14.0,13.0,34.0,16.0,17.0,11.0,38.0,86.0,50.0,10.0,56.0,21.0,73.0,43.0,33.0,29.0,45.0
1129,2.0,4.0,1.0,7.0,0.0,13.0,3.0,9.0,11.0,5.0,28.0,8.0,10.0,6.0,21.0,12.0,25.0,16.0,22.0,30.0,24.0,46.0,19.0,23.0,57.0,73.0,17.0,34.0,52.0,31.0
1178,1.0,3.0,5.0,7.0,4.0,9.0,11.0,0.0,2.0,8.0,14.0,17.0,46.0,10.0,12.0,37.0,31.0,21.0,6.0,20.0,48.0,60.0,26.0,16.0,29.0,40.0,18.0,32.0,25.0,39.0
1227,1.0,3.0,7.0,0.0,2.0,13.0,12.0,6.0,18.0,5.0,10.0,20.0,22.0,4.0,58.0,11.0,15.0,19.0,8.0,17.0,24.0,29.0,23.0,49.0,37.0,108.0,50.0,16.0,27.0,25.0
1276,1.0,6.0,2.0,0.0,3.0,8.0,7.0,4.0,10.0,18.0,29.0,12.0,16.0,17.0,11.0,9.0,21.0,74.0,13.0,46.0,47.0,31.0,54.0,23.0,27.0,30.0,14.0,22.0,33.0,58.0
1325,7.0,1.0,6.0,4.0,9.0,5.0,0.0,12.0,3.0,13.0,10.0,14.0,34.0,11.0,16.0,38.0,47.0,31.0,20.0,23.0,22.0,40.0,17.0,19.0,25.0,70.0,29.0,15.0,18.0,61.0
1374,0.0,4.0,1.0,2.0,3.0,8.0,6.0,5.0,9.0,7.0,10.0,12.0,35.0,13.0,30.0,36.0,22.0,15.0,16.0,42.0,40.0,20.0,25.0,37.0,47.0,19.0,63.0,17.0,49.0,56.0
1423,1.0,5.0,0.0,2.0,6.0,7.0,9.0,4.0,12.0,8.0,22.0,48.0,23.0,3.0,10.0,14.0,36.0,27.0,32.0,11.0,33.0,40.0,17.0,39.0,28.0,82.0,24.0,26.0,47.0,57.0
1472,3.0,0.0,5.0,2.0,8.0,4.0,1.0,6.0,10.0,27.0,11.0,9.0,7.0,13.0,34.0,16.0,30.0,35.0,21.0,12.0,40.0,22.0,14.0,57.0,26.0,66.0,18.0,43.0,29.0,23.0
1521,8.0,4.0,1.0,2.0,5.0,9.0,0.0,3.0,11.0,17.0,10.0,13.0,20.0,16.0,32.0,6.0,22.0,36.0,25.0,58.0,43.0,29.0,48.0,24.0,51.0,80.0,14.0,28.0,21.0,15.0
1570,4.0,2.0,0.0,15.0,3.0,5.0,6.0,8.0,12.0,26.0,1.0,9.0,13.0,21.0,33.0,19.0,34.0,45.0,32.0,11.0,57.0,18.0,37.0,17.0,27.0,7.0,40.0,10.0,42.0,22.0
1619,10.0,1.0,0.0,4.0,3.0,5.0,11.0,2.0,8.0,35.0,7.0,6.0,13.0,14.0,17.0,16.0,38.0,44.0,26.0,18.0,82.0,21.0,39.0,22.0,33.0,20.0,9.0,19.0,15.0,28.0
1668,6.0,0.0,1.0,7.0,3.0,10.0,2.0,4.0,8.0,28.0,5.0,30.0,17.0,19.0,34.0,12.0,21.0,18.0,48.0,15.0,23.0,29.0,25.0,32.0,37.0,31.0,14.0,35.0,9.0,33.0
1717,2.0,1.0,0.0,11.0,4.0,6.0,3.0,7.0,5.0,40.0,15.0,12.0,17.0,13.0,24.0,9.0,22.0,26.0,16.0,23.0,51.0,25.0,21.0,10.0,37.0,35.0,8.0,27.0,19.0,39.0
1766,9.0,0.0,2.0,4.0,6.0,3.0,1.0,10.0,5.0,27.0,7.0,32.0,13.0,11.0,49.0,8.0,24.0,26.0,25.0,20.0,36.0,23.0,47.0,22.0,33.0,17.0,15.0,29.0,16.0,18.0
1815,5.0,2.0,6.0,4.0,8.0,0.0,3.0,1.0,10.0,32.0,20.0,22.0,11.0,9.0,29.0,12.0,41.0,45.0,37.0,19.0,16.0,14.0,50.0,7.0,33.0,25.0,13.0,42.0,26.0,27.0
1864,5.0,0.0,1.0,2.0,15.0,12.0,4.0,8.0,16.0,27.0,14.0,11.0,3.0,13.0,47.0,6.0,49.0,30.0,34.0,7.0,28.0,24.0,41.0,18.0,33.0,29.0,9.0,39.0,10.0,17.0
1913,1.0,2.0,0.0,4.0,5.0,21.0,6.0,11.0,8.0,37.0,10.0,17.0,3.0,9.0,25.0,18.0,38.0,15.0,20.0,32.0,64.0,13.0,23.0,28.0,14.0,16.0,31.0,36.0,7.0,22.0
1962,1.0,3.0,2.0,0.0,13.0,6.0,4.0,10.0,5.0,7.0,16.0,8.0,18.0,14.0,20.0,15.0,22.0,49.0,34.0,83.0,17.0,87.0,42.0,41.0,11.0,19.0,26.0,29.0,12.0,9.0
2011,7.0,4.0,1.0,0.0,12.0,6.0,3.0,5.0,2.0,8.0,11.0,9.0,10.0,23.0,13.0,21.0,15.0,34.0,30.0,42.0,17.0,59.0,29.0,24.0,18.0,32.0,20.0,40.0,22.0,39.0
2060,1.0,4.0,11.0,0.0,16.0,2.0,5.0,35.0,15.0,19.0,9.0,7.0,17.0,10.0,3.0,14.0,31.0,12.0,27.0,23.0,20.0,42.0,18.0,33.0,29.0,25.0,6.0,43.0,32.0,38.0
2109,5.0,2.0,0.0,8.0,6.0,9.0,4.0,1.0,10.0,3.0,13.0,7.0,20.0,11.0,12.0,18.0,14.0,26.0,47.0,55.0,35.0,77.0,42.0,31.0,16.0,19.0,23.0,74.0,22.0,46.0
2158,0.0,2.0,5.0,7.0,15.0,11.0,8.0,9.0,4.0,13.0,3.0,10.0,30.0,19.0,17.0,1.0,16.0,57.0,25.0,58.0,12.0,60.0,86.0,33.0,27.0,21.0,6.0,38.0,14.0,18.0
2207,1.0,2.0,3.0,0.0,13.0,12.0,7.0,8.0,6.0,10.0,5.0,9.0,4.0,16.0,17.0,14.0,15.0,26.0,11.0,66.0,20.0,68.0,43.0,27.0,32.0,44.0,37.0,42.0,22.0,35.0
2256,0.0,11.0,7.0,1.0,5.0,3.0,2.0,4.0,13.0,12.0,10.0,9.0,31.0,16.0,8.0,20.0,15.0,111.0,56.0,62.0,6.0,53.0,30.0,65.0,27.0,80.0,21.0,33.0,14.0,43.0
2305,10.0,2.0,1.0,5.0,3.0,13.0,4.0,0.0,7.0,8.0,17.0,12.0,9.0,14.0,6.0,30.0,58.0,24.0,18.0,77.0,16.0,54.0,52.0,42.0,21.0,40.0,15.0,31.0,25.0,44.0
2354,4.0,3.0,6.0,1.0,10.0,2.0,0.0,11.0,9.0,5.0,7.0,12.0,17.0,15.0,8.0,22.0,20.0,19.0,53.0,45.0,18.0,34.0,40.0,39.0,26.0,13.0,25.0,28.0,23.0,33.0
2403,5.0,9.0,1.0,4.0,0.0,8.0,2.0,6.0,10.0,3.0,11.0,16.0,7.0,12.0,39.0,21.0,35.0,30.0,42.0,41.0,19.0,45.0,24.0,48.0,15.0,22.0,17.0,46.0,13.0,23.0
2452,1.0,5.0,3.0,21.0,0.0,10.0,6.0,14.0,2.0,4.0,16.0,7.0,20.0,11.0,26.0,28.0,13.0,44.0,8.0,15.0,9.0,40.0,27.0,19.0,23.0,22.0,33.0,52.0,45.0,42.0
2501,4.0,2.0,0.0,12.0,1.0,17.0,3.0,9.0,6.0,7.0,13.0,8.0,30.0,5.0,27.0,33.0,41.0,42.0,19.0,14.0,24.0,22.0,29.0,59.0,11.0,54.0,36.0,44.0,31.0,48.0
2550,8.0,1.0,0.0,13.0,2.0,16.0,5.0,21.0,12.0,10.0,3.0,4.0,9.0,6.0,15.0,20.0,30.0,18.0,17.0,22.0,14.0,29.0,11.0,92.0,27.0,45.0,23.0,28.0,19.0,38.0
2599,6.0,1.0,0.0,7.0,2.0,4.0,8.0,9.0,12.0,5.0,25.0,3.0,18.0,16.0,13.0,36.0,65.0,23.0,17.0,48.0,10.0,31.0,41.0,28.0,24.0,32.0,45.0,82.0,39.0,30.0
2648,2.0,3.0,0.0,9.0,1.0,5.0,27.0,11.0,6.0,4.0,21.0,7.0,10.0,13.0,28.0,67.0,33.0,15.0,17.0,12.0,35.0,14.0,18.0,46.0,25.0,34.0,78.0,53.0,42.0,30.0
2697,2.0,1.0,0.0,6.0,3.0,21.0,4.0,19.0,14.0,12.0,20.0,15.0,8.0,24.0,38.0,50.0,28.0,10.0,13.0,23.0,7.0,58.0,27.0,42.0,33.0,9.0,32.0,78.0,41.0,34.0
2746,0.0,3.0,2.0,20.0,1.0,6.0,14.0,12.0,4.0,21.0,8.0,5.0,34.0,10.0,24.0,19.0,15.0,63.0,31.0,56.0,13.0,25.0,16.0,57.0,11.0,22.0,27.0,37.0,43.0,58.0
2795,1.0,0.0,3.0,12.0,2.0,10.0,4.0,6.0,9.0,8.0,20.0,5.0,33.0,13.0,31.0,47.0,15.0,22.0,11.0,7.0,23.0,25.0,16.0,41.0,19.0,27.0,30.0,90.0,36.0,28.0
2844,4.0,0.0,2.0,8.0,6.0,12.0,5.0,18.0,9.0,7.0,10.0,1.0,22.0,3.0,44.0,42.0,31.0,27.0,26.0,38.0,21.0,39.0,14.0,49.0,15.0,11.0,45.0,54.0,46.0,30.0
2893,0.0,2.0,3.0,9.0,5.0,7.0,24.0,10.0,6.0,1.0,20.0,4.0,30.0,13.0,16.0,67.0,19.0,12.0,23.0,26.0,11.0,14.0,21.0,34.0,32.0,15.0,58.0,65.0,29.0,28.0
2942,1.0,6.0,0.0,13.0,2.0,4.0,5.0,3.0,8.0,10.0,38.0,11.0,14.0,25.0,20.0,26.0,7.0,22.0,32.0,37.0,23.0,28.0,12.0,31.0,54.0,36.0,70.0,66.0,15.0,55.0
2991,1.0,4.0,3.0,10.0,0.0,2.0,6.0,5.0,27.0,8.0,15.0,14.0,13.0,18.0,9.0,7.0,11.0,26.0,29.0,40.0,19.0,35.0,41.0,20.0,101.0,17.0,24.0,47.0,38.0,39.0
3040,0.0,8.0,3.0,15.0,5.0,2.0,12.0,4.0,20.0,18.0,13.0,27.0,6.0,42.0,22.0,10.0,1.0,49.0,14.0,26.0,63.0,24.0,30.0,58.0,51.0,37.0,25.0,28.0,11.0,46.0
3089,0.0,2.0,5.0,18.0,1.0,3.0,11.0,7.0,6.0,4.0,9.0,23.0,29.0,42.0,25.0,17.0,8.0,40.0,27.0,19.0,33.0,10.0,52.0,60.0,45.0,30.0,59.0,37.0,16.0,24.0
3138,5.0,0.0,2.0,6.0,1.0,10.0,8.0,7.0,9.0,3.0,16.0,17.0,4.0,21.0,15.0,11.0,14.0,18.0,19.0,30.0,52.0,29.0,36.0,64.0,32.0,12.0,78.0,62.0,22.0,42.0
3187,1.0,2.0,4.0,29.0,0.0,6.0,3.0,5.0,13.0,11.0,7.0,25.0,8.0,21.0,44.0,9.0,20.0,22.0,12.0,40.0,34.0,19.0,47.0,26.0,27.0,14.0,84.0,28.0,10.0,23.0
3236,0.0,2.0,3.0,21.0,6.0,5.0,19.0,12.0,13.0,9.0,31.0,8.0,11.0,4.0,26.0,18.0,1.0,16.0,17.0,10.0,28.0,15.0,47.0,42.0,70.0,29.0,49.0,89.0,24.0,35.0
3285,6.0,4.0,1.0,9.0,3.0,2.0,8.0,0.0,21.0,17.0,19.0,11.0,12.0,25.0,14.0,10.0,7.0,26.0,13.0,24.0,64.0,34.0,50.0,51.0,37.0,16.0,23.0,43.0,5.0,29.0
3334,1.0,4.0,0.0,18.0,2.0,3.0,7.0,11.0,33.0,5.0,6.0,14.0,9.0,15.0,13.0,19.0,8.0,28.0,29.0,69.0,41.0,31.0,37.0,46.0,23.0,17.0,84.0,59.0,10.0,30.0
3383,0.0,3.0,1.0,22.0,12.0,5.0,15.0,4.0,11.0,14.0,19.0,6.0,13.0,2.0,29.0,51.0,9.0,16.0,18.0,26.0,25.0,24.0,34.0,70.0,52.0,7.0,49.0,73.0,17.0,35.0
3432,2.0,5.0,0.0,8.0,1.0,3.0,17.0,4.0,9.0,16.0,7.0,33.0,11.0,30.0,12.0,6.0,38.0,18.0,10.0,96.0,14.0,22.0,34.0,25.0,21.0,31.0,44.0,23.0,24.0,13.0
3481,0.0,1.0,4.0,2.0,9.0,3.0,12.0,15.0,8.0,5.0,7.0,13.0,14.0,25.0,10.0,40.0,26.0,17.0,16.0,33.0,19.0,37.0,42.0,66.0,51.0,34.0,39.0,27.0,30.0,6.0
3530,1.0,2.0,0.0,7.0,8.0,3.0,14.0,10.0,4.0,9.0,12.0,15.0,39.0,5.0,6.0,32.0,13.0,20.0,17.0,40.0,11.0,23.0,41.0,47.0,42.0,24.0,44.0,26.0,33.0,27.0
3579,0.0,2.0,1.0,5.0,4.0,3.0,16.0,10.0,7.0,20.0,15.0,13.0,17.0,12.0,11.0,14.0,9.0,39.0,6.0,38.0,23.0,29.0,36.0,19.0,8.0,40.0,83.0,68.0,33.0,32.0
3628,0.0,1.0,7.0,5.0,2.0,4.0,17.0,11.0,8.0,15.0,9.0,47.0,3.0,25.0,27.0,12.0,26.0,41.0,13.0,32.0,24.0,14.0,74.0,20.0,16.0,38.0,58.0,23.0,28.0,6.0
3677,0.0,6.0,7.0,3.0,9.0,1.0,24.0,11.0,17.0,8.0,15.0,32.0,4.0,21.0,2.0,19.0,34.0,12.0,13.0,60.0,10.0,27.0,37.0,23.0,26.0,31.0,46.0,20.0,22.0,5.0
3726,0.0,3.0,8.0,1.0,5.0,2.0,7.0,4.0,21.0,15.0,14.0,47.0,6.0,9.0,10.0,20.0,11.0,28.0,17.0,46.0,16.0,32.0,30.0,13.0,23.0,53.0,38.0,22.0,42.0,12.0
3775,0.0,7.0,8.0,1.0,2.0,12.0,20.0,6.0,4.0,10.0,5.0,28.0,3.0,25.0,9.0,33.0,19.0,22.0,23.0,66.0,13.0,17.0,39.0,27.0,15.0,41.0,60.0,11.0,43.0,21.0
3824,0.0,1.0,14.0,2.0,6.0,13.0,39.0,3.0,12.0,15.0,8.0,30.0,4.0,16.0,35.0,7.0,27.0,28.0,5.0,32.0,37.0,23.0,10.0,19.0,11.0,34.0,58.0,18.0,56.0,9.0
3873,1.0,2.0,3.0,0.0,6.0,5.0,19.0,18.0,16.0,27.0,8.0,29.0,10.0,15.0,7.0,23.0,34.0,12.0,4.0,72.0,26.0,24.0,43.0,14.0,53.0,81.0,39.0,11.0,42.0,21.0
3922,1.0,4.0,2.0,8.0,10.0,0.0,6.0,14.0,9.0,3.0,30.0,5.0,26.0,12.0,17.0,7.0,13.0,16.0,32.0,18.0,11.0,22.0,15.0,41.0,27.0,24.0,19.0,43.0,66.0,49.0
3971,0.0,8.0,1.0,4.0,6.0,11.0,15.0,5.0,13.0,9.0,22.0,2.0,14.0,36.0,12.0,3.0,10.0,18.0,26.0,32.0,25.0,19.0,49.0,30.0,21.0,23.0,50.0,35.0,41.0,46.0
4020,4.0,10.0,2.0,3.0,7.0,5.0,21.0,13.0,12.0,9.0,36.0,1.0,23.0,8.0,22.0,17.0,6.0,15.0,30.0,0.0,14.0,31.0,24.0,42.0,11.0,16.0,18.0,61.0,64.0,26.0
4069,0.0,9.0,15.0,2.0,6.0,7.0,1.0,8.0,10.0,13.0,24.0,4.0,28.0,12.0,16.0,5.0,14.0,18.0,86.0,11.0,19.0,29.0,17.0,43.0,62.0,26.0,20.0,36.0,67.0,25.0
4118,4.0,5.0,1.0,11.0,3.0,2.0,9.0,6.0,16.0,7.0,21.0,0.0,20.0,14.0,18.0,15.0,8.0,40.0,41.0,19.0,26.0,32.0,23.0,13.0,35.0,12.0,37.0,51.0,45.0,42.0
4167,1.0,4.0,2.0,0.0,12.0,7.0,8.0,11.0,6.0,10.0,15.0,9.0,26.0,19.0,18.0,3.0,14.0,29.0,24.0,13.0,32.0,42.0,45.0,22.0,48.0,20.0,17.0,38.0,44.0,23.0
4216,1.0,4.0,0.0,5.0,12.0,6.0,2.0,8.0,14.0,3.0,18.0,11.0,37.0,16.0,19.0,7.0,13.0,26.0,34.0,15.0,23.0,24.0,29.0,75.0,33.0,10.0,17.0,48.0,56.0,20.0
4265,0.0,3.0,12.0,5.0,21.0,4.0,13.0,25.0,16.0,9.0,19.0,2.0,29.0,8.0,31.0,1.0,15.0,26.0,39.0,7.0,53.0,20.0,23.0,73.0,27.0,6.0,18.0,46.0,65.0,34.0
4314,0.0,20.0,45.0,2.0,10.0,8.0,5.0,14.0,15.0,7.0,22.0,3.0,27.0,25.0,30.0,1.0,9.0,44.0,13.0,4.0,19.0,16.0,24.0,36.0,26.0,6.0,18.0,28.0,34.0,29.0
4363,5.0,2.0,0.0,11.0,1.0,7.0,8.0,13.0,15.0,6.0,17.0,3.0,52.0,23.0,9.0,19.0,10.0,16.0,29.0,4.0,31.0,33.0,20.0,32.0,44.0,14.0,12.0,37.0,55.0,41.0
4412,1.0,4.0,19.0,0.0,7.0,5.0,6.0,2.0,11.0,15.0,3.0,16.0,18.0,12.0,10.0,29.0,36.0,22.0,39.0,23.0,37.0,9.0,44.0,49.0,25.0,50.0,46.0,8.0,28.0,40.0
4461,1.0,2.0,7.0,0.0,4.0,6.0,8.0,3.0,16.0,12.0,5.0,17.0,23.0,26.0,9.0,33.0,41.0,50.0,39.0,13.0,37.0,30.0,28.0,53.0,44.0,47.0,38.0,10.0,20.0,60.0
4510,5.0,1.0,12.0,0.0,6.0,3.0,2.0,8.0,7.0,9.0,4.0,18.0,25.0,15.0,32.0,34.0,16.0,19.0,54.0,13.0,20.0,10.0,30.0,63.0,33.0,26.0,42.0,11.0,51.0,22.0
4559,2.0,1.0,35.0,0.0,7.0,4.0,3.0,13.0,12.0,10.0,5.0,19.0,30.0,24.0,32.0,42.0,48.0,16.0,26.0,29.0,54.0,8.0,23.0,33.0,6.0,57.0,64.0,11.0,20.0,28.0
4608,1.0,3.0,14.0,0.0,4.0,2.0,6.0,9.0,11.0,8.0,5.0,27.0,18.0,7.0,26.0,16.0,20.0,22.0,12.0,10.0,38.0,17.0,34.0,21.0,54.0,87.0,58.0,13.0,30.0,32.0
4657,4.0,3.0,6.0,0.0,5.0,1.0,2.0,9.0,15.0,8.0,7.0,12.0,29.0,10.0,11.0,14.0,28.0,45.0,50.0,40.0,42.0,16.0,19.0,21.0,49.0,23.0,65.0,13.0,17.0,33.0
4706,3.0,12.0,13.0,2.0,7.0,0.0,1.0,5.0,11.0,16.0,4.0,10.0,23.0,21.0,14.0,31.0,18.0,6.0,54.0,25.0,43.0,8.0,9.0,29.0,72.0,28.0,32.0,22.0,35.0,51.0
4755,1.0,3.0,13.0,0.0,2.0,10.0,4.0,6.0,17.0,30.0,5.0,39.0,8.0,18.0,7.0,41.0,14.0,29.0,22.0,21.0,54.0,19.0,16.0,27.0,35.0,43.0,42.0,9.0,25.0,57.0
4804,2.0,6.0,25.0,0.0,10.0,4.0,1.0,3.0,15.0,17.0,5.0,20.0,7.0,12.0,13.0,21.0,27.0,38.0,41.0,22.0,26.0,14.0,29.0,59.0,30.0,24.0,39.0,8.0,19.0,9.0
4853,2.0,1.0,7.0,0.0,5.0,4.0,3.0,8.0,9.0,15.0,6.0,16.0,20.0,18.0,12.0,23.0,32.0,35.0,22.0,10.0,43.0,14.0,37.0,56.0,28.0,25.0,31.0,17.0,38.0,33.0
