,hsa-miR-148a,hsa-miR-581,hsa-miR-29c,hsa-miR-604,hsa-miR-378,hsa-miR-125a-3p,hsa-miR-331-5p,hsa-miR-34a,hsa-miR-609,hsa-miR-449b,hsa-miR-142-5p,hsv1-miR-H4-3p,hsa-miR-563,hsa-miR-220a,hsa-miR-615-3p,hsa-miR-187,hsa-miR-300,ebv-miR-BART15,kshv-miR-K12-7,hsa-miR-935,hsa-miR-1538,hcmv-miR-US25-1,hsa-miR-1911,hsa-miR-766,hsv1-miR-H2-3p,hsa-miR-27b,hsa-miR-662,hsa-miR-558,hsa-miR-557,hsa-miR-649
506,4.0,1.0,7.0,14.0,27.0,24.0,12.0,9.0,26.0,37.0,15.0,19.0,8.0,6.0,5.0,25.0,74.0,116.0,13.0,43.0,32.0,90.0,56.0,16.0,10.0,3.0,2.0,70.0,17.0,18.0
555,0.0,12.0,11.0,9.0,23.0,6.0,4.0,5.0,10.0,40.0,35.0,8.0,37.0,19.0,7.0,20.0,27.0,56.0,3.0,14.0,54.0,29.0,38.0,58.0,13.0,1.0,2.0,60.0,15.0,17.0
604,0.0,16.0,7.0,4.0,35.0,2.0,1.0,25.0,3.0,9.0,58.0,15.0,20.0,61.0,32.0,17.0,21.0,83.0,12.0,28.0,48.0,18.0,94.0,26.0,13.0,10.0,23.0,69.0,14.0,19.0
653,0.0,3.0,51.0,6.0,52.0,2.0,7.0,4.0,10.0,67.0,47.0,40.0,18.0,14.0,26.0,23.0,37.0,97.0,9.0,25.0,34.0,59.0,21.0,38.0,16.0,1.0,64.0,49.0,11.0,87.0
702,0.0,5.0,13.0,9.0,22.0,21.0,14.0,30.0,3.0,37.0,4.0,39.0,17.0,18.0,36.0,11.0,26.0,107.0,10.0,31.0,70.0,43.0,60.0,19.0,8.0,1.0,15.0,38.0,23.0,72.0
751,0.0,4.0,9.0,15.0,33.0,30.0,3.0,6.0,34.0,26.0,21.0,13.0,54.0,25.0,16.0,10.0,20.0,74.0,12.0,23.0,32.0,38.0,96.0,18.0,5.0,2.0,1.0,76.0,17.0,22.0
800,0.0,8.0,13.0,1.0,59.0,10.0,2.0,15.0,31.0,106.0,6.0,14.0,38.0,9.0,11.0,7.0,25.0,16.0,5.0,17.0,78.0,29.0,101.0,77.0,23.0,4.0,32.0,54.0,60.0,12.0
849,0.0,8.0,12.0,11.0,47.0,7.0,1.0,18.0,2.0,23.0,26.0,25.0,63.0,55.0,10.0,19.0,14.0,162.0,13.0,24.0,20.0,126.0,121.0,39.0,30.0,4.0,35.0,82.0,3.0,41.0
898,7.0,17.0,3.0,5.0,2.0,1.0,27.0,0.0,16.0,25.0,22.0,12.0,37.0,45.0,75.0,24.0,28.0,98.0,8.0,31.0,38.0,19.0,53.0,36.0,49.0,32.0,6.0,51.0,10.0,47.0
947,0.0,4.0,6.0,2.0,5.0,3.0,9.0,8.0,33.0,10.0,39.0,21.0,101.0,19.0,13.0,24.0,28.0,67.0,25.0,12.0,58.0,55.0,35.0,23.0,14.0,7.0,17.0,103.0,16.0,120.0
996,0.0,6.0,1.0,4.0,24.0,14.0,7.0,3.0,12.0,41.0,11.0,44.0,28.0,13.0,26.0,2.0,8.0,10.0,18.0,68.0,37.0,25.0,43.0,33.0,20.0,19.0,51.0,64.0,49.0,103.0
1045,0.0,3.0,2.0,11.0,25.0,10.0,13.0,1.0,7.0,18.0,15.0,79.0,8.0,39.0,4.0,12.0,6.0,5.0,59.0,51.0,35.0,27.0,56.0,82.0,31.0,24.0,53.0,16.0,61.0,17.0
1094,2.0,1.0,6.0,12.0,23.0,11.0,21.0,34.0,0.0,4.0,30.0,47.0,25.0,13.0,26.0,81.0,35.0,7.0,31.0,49.0,10.0,20.0,16.0,29.0,104.0,40.0,45.0,17.0,62.0,75.0
1143,0.0,1.0,4.0,3.0,12.0,2.0,9.0,7.0,5.0,24.0,44.0,77.0,22.0,11.0,6.0,10.0,45.0,8.0,30.0,34.0,13.0,27.0,38.0,66.0,47.0,17.0,20.0,16.0,63.0,73.0
1192,0.0,2.0,19.0,6.0,35.0,11.0,14.0,3.0,1.0,12.0,7.0,18.0,34.0,5.0,8.0,31.0,21.0,13.0,44.0,30.0,63.0,16.0,25.0,26.0,79.0,43.0,10.0,22.0,115.0,24.0
1241,2.0,4.0,5.0,11.0,12.0,68.0,9.0,1.0,0.0,18.0,13.0,35.0,14.0,41.0,25.0,22.0,32.0,10.0,42.0,52.0,7.0,75.0,21.0,45.0,61.0,44.0,20.0,8.0,19.0,31.0
1290,1.0,0.0,6.0,21.0,30.0,4.0,8.0,2.0,3.0,40.0,5.0,44.0,26.0,43.0,22.0,39.0,11.0,20.0,36.0,27.0,32.0,19.0,74.0,68.0,16.0,12.0,17.0,135.0,146.0,41.0
1339,1.0,4.0,5.0,8.0,10.0,2.0,17.0,61.0,0.0,9.0,13.0,40.0,15.0,23.0,6.0,50.0,19.0,48.0,30.0,12.0,39.0,20.0,22.0,29.0,34.0,11.0,88.0,116.0,144.0,25.0
1388,2.0,1.0,8.0,4.0,22.0,3.0,41.0,36.0,0.0,5.0,12.0,28.0,16.0,13.0,34.0,39.0,11.0,7.0,15.0,19.0,24.0,42.0,29.0,107.0,96.0,20.0,77.0,10.0,32.0,48.0
1437,2.0,3.0,1.0,31.0,24.0,12.0,25.0,10.0,0.0,83.0,11.0,38.0,22.0,5.0,37.0,33.0,23.0,6.0,34.0,35.0,15.0,17.0,45.0,26.0,72.0,20.0,65.0,55.0,171.0,28.0
1486,0.0,1.0,18.0,7.0,21.0,5.0,17.0,14.0,4.0,10.0,26.0,2.0,35.0,3.0,19.0,78.0,12.0,23.0,61.0,31.0,25.0,11.0,28.0,39.0,22.0,46.0,56.0,43.0,63.0,15.0
1535,4.0,8.0,6.0,17.0,12.0,7.0,9.0,19.0,13.0,37.0,23.0,11.0,31.0,2.0,49.0,77.0,20.0,69.0,30.0,50.0,39.0,14.0,1.0,15.0,32.0,5.0,41.0,165.0,38.0,18.0
1584,0.0,9.0,7.0,4.0,24.0,6.0,14.0,1.0,2.0,17.0,27.0,5.0,22.0,8.0,47.0,42.0,32.0,53.0,44.0,15.0,36.0,12.0,33.0,29.0,3.0,28.0,20.0,49.0,16.0,19.0
1633,1.0,0.0,15.0,6.0,4.0,10.0,40.0,2.0,29.0,9.0,44.0,18.0,22.0,19.0,77.0,26.0,33.0,21.0,36.0,66.0,8.0,16.0,54.0,103.0,109.0,12.0,7.0,14.0,5.0,48.0
1682,2.0,6.0,3.0,5.0,35.0,0.0,12.0,8.0,14.0,11.0,42.0,4.0,9.0,1.0,96.0,34.0,21.0,26.0,46.0,27.0,24.0,13.0,18.0,31.0,19.0,116.0,28.0,40.0,36.0,22.0
1731,0.0,5.0,2.0,10.0,19.0,12.0,26.0,9.0,20.0,28.0,29.0,3.0,17.0,6.0,33.0,35.0,47.0,30.0,43.0,44.0,22.0,25.0,7.0,15.0,1.0,190.0,39.0,32.0,14.0,51.0
1780,5.0,20.0,11.0,3.0,15.0,7.0,6.0,0.0,1.0,14.0,13.0,4.0,49.0,10.0,47.0,107.0,31.0,38.0,23.0,69.0,19.0,18.0,9.0,32.0,21.0,17.0,8.0,43.0,39.0,28.0
1829,0.0,6.0,13.0,4.0,29.0,23.0,15.0,28.0,10.0,2.0,87.0,3.0,12.0,5.0,71.0,81.0,46.0,22.0,70.0,57.0,11.0,7.0,9.0,33.0,17.0,58.0,18.0,26.0,43.0,55.0
1878,9.0,1.0,4.0,13.0,46.0,14.0,33.0,3.0,7.0,11.0,66.0,0.0,27.0,5.0,63.0,47.0,51.0,23.0,19.0,36.0,29.0,18.0,12.0,16.0,143.0,2.0,10.0,49.0,17.0,20.0
1927,0.0,5.0,1.0,3.0,26.0,9.0,7.0,13.0,11.0,22.0,76.0,4.0,21.0,10.0,34.0,49.0,66.0,25.0,27.0,37.0,53.0,16.0,30.0,32.0,8.0,2.0,18.0,205.0,12.0,17.0
1976,6.0,3.0,4.0,58.0,2.0,15.0,5.0,49.0,43.0,1.0,31.0,10.0,11.0,41.0,22.0,16.0,28.0,7.0,12.0,56.0,14.0,67.0,39.0,36.0,32.0,168.0,27.0,13.0,9.0,37.0
2025,0.0,9.0,4.0,22.0,1.0,40.0,19.0,6.0,56.0,35.0,2.0,26.0,3.0,64.0,38.0,5.0,30.0,10.0,71.0,23.0,28.0,39.0,31.0,18.0,17.0,50.0,25.0,8.0,16.0,27.0
2074,1.0,0.0,5.0,10.0,9.0,24.0,13.0,3.0,15.0,8.0,32.0,26.0,23.0,30.0,7.0,4.0,41.0,14.0,31.0,33.0,57.0,42.0,16.0,19.0,21.0,159.0,20.0,34.0,47.0,85.0
2123,4.0,14.0,2.0,6.0,5.0,3.0,10.0,79.0,20.0,26.0,1.0,37.0,100.0,38.0,22.0,17.0,74.0,19.0,12.0,124.0,33.0,15.0,8.0,7.0,29.0,120.0,62.0,23.0,50.0,13.0
2172,1.0,0.0,4.0,8.0,7.0,6.0,12.0,2.0,35.0,14.0,27.0,3.0,61.0,21.0,48.0,5.0,13.0,22.0,9.0,16.0,55.0,32.0,20.0,19.0,95.0,23.0,46.0,11.0,26.0,29.0
2221,1.0,0.0,2.0,19.0,7.0,66.0,4.0,6.0,83.0,17.0,18.0,12.0,30.0,39.0,34.0,3.0,25.0,10.0,31.0,47.0,23.0,53.0,14.0,13.0,50.0,52.0,5.0,27.0,56.0,11.0
2270,0.0,4.0,2.0,8.0,1.0,35.0,3.0,12.0,26.0,10.0,23.0,11.0,50.0,7.0,17.0,9.0,55.0,14.0,29.0,51.0,16.0,46.0,27.0,127.0,67.0,181.0,39.0,18.0,24.0,43.0
2319,0.0,2.0,1.0,4.0,3.0,5.0,8.0,16.0,19.0,32.0,15.0,38.0,6.0,22.0,13.0,14.0,34.0,11.0,27.0,23.0,54.0,29.0,65.0,20.0,18.0,75.0,45.0,33.0,40.0,9.0
2368,0.0,1.0,5.0,23.0,9.0,36.0,18.0,3.0,56.0,6.0,7.0,50.0,4.0,29.0,44.0,8.0,31.0,2.0,10.0,69.0,25.0,34.0,28.0,39.0,43.0,84.0,11.0,37.0,35.0,13.0
2417,1.0,9.0,11.0,16.0,3.0,21.0,4.0,6.0,33.0,27.0,0.0,63.0,86.0,23.0,18.0,7.0,46.0,8.0,100.0,44.0,12.0,34.0,92.0,35.0,13.0,26.0,20.0,15.0,29.0,5.0
2466,0.0,1.0,2.0,5.0,9.0,27.0,11.0,13.0,38.0,3.0,29.0,24.0,33.0,22.0,18.0,58.0,12.0,45.0,60.0,70.0,7.0,17.0,21.0,23.0,47.0,148.0,44.0,15.0,86.0,6.0
2515,0.0,7.0,1.0,3.0,5.0,2.0,27.0,24.0,16.0,6.0,19.0,13.0,47.0,37.0,28.0,49.0,44.0,21.0,52.0,48.0,50.0,38.0,8.0,23.0,35.0,78.0,88.0,60.0,64.0,31.0
2564,0.0,1.0,2.0,3.0,17.0,100.0,5.0,4.0,35.0,29.0,9.0,8.0,11.0,7.0,30.0,14.0,15.0,82.0,90.0,33.0,52.0,31.0,12.0,10.0,50.0,66.0,55.0,37.0,73.0,20.0
2613,0.0,6.0,2.0,5.0,3.0,11.0,25.0,53.0,27.0,7.0,17.0,9.0,49.0,10.0,15.0,28.0,19.0,46.0,90.0,14.0,44.0,37.0,12.0,26.0,23.0,85.0,89.0,1.0,104.0,13.0
2662,1.0,0.0,7.0,12.0,5.0,2.0,23.0,158.0,10.0,20.0,9.0,11.0,50.0,6.0,19.0,64.0,76.0,32.0,94.0,47.0,3.0,38.0,14.0,33.0,24.0,238.0,69.0,15.0,92.0,13.0
2711,0.0,3.0,1.0,5.0,9.0,7.0,63.0,44.0,6.0,2.0,36.0,12.0,96.0,21.0,28.0,64.0,58.0,45.0,16.0,29.0,101.0,37.0,8.0,19.0,32.0,38.0,90.0,15.0,93.0,33.0
2760,0.0,12.0,3.0,11.0,9.0,86.0,18.0,10.0,7.0,6.0,4.0,29.0,13.0,26.0,15.0,30.0,65.0,72.0,22.0,44.0,71.0,28.0,5.0,21.0,24.0,32.0,33.0,2.0,38.0,23.0
2809,0.0,1.0,3.0,2.0,4.0,11.0,13.0,38.0,31.0,20.0,6.0,56.0,53.0,27.0,26.0,15.0,16.0,10.0,29.0,28.0,30.0,46.0,17.0,18.0,8.0,58.0,122.0,22.0,79.0,33.0
2858,0.0,2.0,3.0,1.0,27.0,6.0,5.0,13.0,7.0,4.0,31.0,34.0,66.0,12.0,10.0,38.0,25.0,44.0,19.0,47.0,16.0,46.0,26.0,11.0,23.0,59.0,28.0,8.0,75.0,36.0
2907,0.0,2.0,3.0,4.0,5.0,71.0,11.0,16.0,1.0,7.0,29.0,12.0,101.0,27.0,53.0,62.0,15.0,36.0,42.0,10.0,6.0,43.0,13.0,28.0,18.0,24.0,152.0,8.0,32.0,47.0
2956,0.0,4.0,7.0,2.0,5.0,15.0,69.0,47.0,1.0,6.0,17.0,33.0,9.0,48.0,12.0,22.0,29.0,67.0,73.0,8.0,45.0,19.0,21.0,25.0,52.0,36.0,99.0,27.0,110.0,66.0
3005,0.0,4.0,14.0,1.0,54.0,2.0,18.0,7.0,11.0,6.0,9.0,29.0,51.0,23.0,3.0,17.0,19.0,74.0,16.0,21.0,28.0,33.0,47.0,41.0,48.0,36.0,110.0,31.0,26.0,81.0
3054,1.0,2.0,8.0,4.0,7.0,26.0,29.0,5.0,6.0,0.0,12.0,20.0,36.0,30.0,11.0,16.0,9.0,45.0,64.0,13.0,59.0,27.0,18.0,15.0,116.0,124.0,43.0,10.0,144.0,82.0
3103,0.0,1.0,11.0,3.0,9.0,80.0,90.0,12.0,15.0,2.0,21.0,23.0,41.0,26.0,8.0,18.0,30.0,27.0,43.0,4.0,28.0,40.0,36.0,37.0,144.0,25.0,55.0,7.0,33.0,164.0
3152,0.0,1.0,6.0,5.0,4.0,31.0,28.0,48.0,26.0,8.0,21.0,66.0,34.0,84.0,2.0,13.0,3.0,37.0,33.0,14.0,35.0,52.0,20.0,12.0,29.0,9.0,83.0,22.0,7.0,98.0
3201,6.0,2.0,15.0,4.0,5.0,24.0,33.0,21.0,8.0,0.0,18.0,41.0,36.0,51.0,26.0,32.0,7.0,55.0,69.0,17.0,13.0,12.0,46.0,35.0,44.0,14.0,45.0,28.0,39.0,67.0
3250,2.0,0.0,36.0,1.0,4.0,11.0,51.0,18.0,78.0,3.0,29.0,32.0,7.0,22.0,15.0,12.0,10.0,14.0,9.0,16.0,42.0,38.0,43.0,25.0,52.0,34.0,112.0,23.0,48.0,72.0
3299,9.0,3.0,18.0,7.0,2.0,4.0,37.0,146.0,1.0,8.0,23.0,16.0,83.0,15.0,11.0,50.0,30.0,29.0,31.0,19.0,17.0,24.0,34.0,27.0,25.0,46.0,103.0,122.0,82.0,65.0
3348,1.0,0.0,7.0,4.0,2.0,6.0,102.0,27.0,9.0,8.0,19.0,101.0,12.0,34.0,25.0,18.0,23.0,26.0,41.0,22.0,29.0,24.0,39.0,17.0,73.0,21.0,47.0,5.0,32.0,119.0
3397,0.0,2.0,15.0,4.0,11.0,5.0,138.0,31.0,19.0,9.0,3.0,44.0,23.0,24.0,6.0,14.0,10.0,37.0,80.0,29.0,65.0,17.0,39.0,8.0,20.0,61.0,283.0,28.0,34.0,73.0
3446,0.0,20.0,5.0,9.0,2.0,31.0,13.0,15.0,3.0,46.0,27.0,63.0,69.0,50.0,49.0,19.0,1.0,56.0,85.0,35.0,76.0,10.0,6.0,45.0,22.0,118.0,107.0,111.0,90.0,16.0
3495,2.0,16.0,0.0,6.0,7.0,4.0,5.0,23.0,21.0,71.0,11.0,57.0,10.0,15.0,34.0,13.0,3.0,29.0,8.0,90.0,19.0,20.0,35.0,24.0,78.0,113.0,108.0,25.0,60.0,14.0
3544,10.0,1.0,5.0,18.0,32.0,19.0,7.0,0.0,3.0,68.0,46.0,12.0,26.0,9.0,24.0,43.0,14.0,30.0,2.0,71.0,38.0,35.0,8.0,15.0,138.0,52.0,61.0,17.0,87.0,13.0
3593,0.0,15.0,1.0,3.0,4.0,11.0,5.0,17.0,14.0,57.0,2.0,58.0,20.0,23.0,69.0,29.0,30.0,27.0,33.0,53.0,52.0,18.0,13.0,96.0,121.0,7.0,44.0,43.0,71.0,9.0
3642,0.0,11.0,8.0,23.0,3.0,7.0,49.0,2.0,17.0,134.0,18.0,42.0,19.0,24.0,25.0,22.0,6.0,44.0,5.0,33.0,51.0,38.0,9.0,12.0,21.0,4.0,283.0,41.0,67.0,14.0
3691,0.0,4.0,14.0,5.0,9.0,7.0,6.0,17.0,27.0,23.0,51.0,24.0,1.0,3.0,57.0,20.0,2.0,39.0,11.0,15.0,61.0,12.0,33.0,25.0,41.0,38.0,69.0,43.0,53.0,8.0
3740,0.0,5.0,3.0,2.0,17.0,1.0,10.0,4.0,21.0,90.0,12.0,27.0,18.0,19.0,58.0,29.0,6.0,74.0,9.0,14.0,76.0,23.0,25.0,26.0,22.0,8.0,165.0,28.0,16.0,41.0
3789,7.0,8.0,3.0,1.0,6.0,11.0,2.0,0.0,4.0,59.0,5.0,18.0,15.0,10.0,21.0,12.0,16.0,41.0,53.0,48.0,23.0,27.0,46.0,45.0,14.0,44.0,22.0,34.0,89.0,31.0
3838,0.0,5.0,3.0,28.0,10.0,21.0,12.0,11.0,1.0,27.0,31.0,20.0,7.0,24.0,32.0,42.0,8.0,29.0,4.0,25.0,26.0,22.0,19.0,79.0,97.0,15.0,76.0,36.0,49.0,17.0
3887,1.0,8.0,3.0,4.0,5.0,18.0,12.0,0.0,11.0,95.0,41.0,7.0,19.0,2.0,21.0,27.0,17.0,34.0,6.0,15.0,98.0,9.0,13.0,55.0,63.0,23.0,71.0,52.0,119.0,31.0
3936,0.0,2.0,60.0,26.0,1.0,3.0,13.0,51.0,40.0,7.0,5.0,23.0,21.0,19.0,4.0,43.0,38.0,14.0,62.0,30.0,12.0,20.0,27.0,56.0,112.0,10.0,42.0,15.0,6.0,36.0
3985,6.0,0.0,12.0,15.0,1.0,32.0,26.0,8.0,9.0,13.0,21.0,10.0,25.0,50.0,78.0,40.0,28.0,34.0,18.0,29.0,54.0,56.0,27.0,52.0,84.0,3.0,30.0,35.0,5.0,37.0
4034,0.0,4.0,21.0,17.0,8.0,23.0,15.0,43.0,19.0,2.0,12.0,48.0,35.0,42.0,28.0,27.0,11.0,39.0,66.0,9.0,52.0,50.0,45.0,31.0,85.0,18.0,1.0,6.0,10.0,130.0
4083,0.0,13.0,22.0,16.0,11.0,1.0,6.0,34.0,8.0,4.0,49.0,20.0,24.0,60.0,21.0,63.0,39.0,17.0,27.0,14.0,36.0,18.0,41.0,84.0,111.0,72.0,10.0,23.0,7.0,102.0
4132,0.0,2.0,66.0,12.0,11.0,1.0,16.0,24.0,21.0,3.0,19.0,120.0,54.0,28.0,14.0,27.0,58.0,5.0,10.0,4.0,26.0,55.0,83.0,57.0,23.0,9.0,7.0,29.0,8.0,53.0
4181,0.0,14.0,10.0,9.0,7.0,1.0,3.0,41.0,11.0,20.0,24.0,31.0,37.0,23.0,35.0,43.0,72.0,17.0,2.0,151.0,12.0,38.0,121.0,49.0,102.0,80.0,18.0,74.0,15.0,60.0
4230,0.0,2.0,12.0,9.0,1.0,6.0,4.0,76.0,13.0,5.0,20.0,38.0,53.0,37.0,18.0,21.0,11.0,39.0,86.0,24.0,69.0,36.0,15.0,33.0,106.0,14.0,30.0,108.0,10.0,58.0
4279,0.0,16.0,34.0,22.0,1.0,3.0,13.0,6.0,38.0,12.0,96.0,55.0,18.0,53.0,57.0,61.0,5.0,26.0,19.0,40.0,24.0,31.0,27.0,82.0,97.0,11.0,60.0,47.0,4.0,67.0
4328,0.0,2.0,58.0,9.0,13.0,14.0,4.0,33.0,26.0,21.0,35.0,39.0,37.0,45.0,10.0,32.0,7.0,15.0,25.0,3.0,41.0,28.0,48.0,53.0,61.0,1.0,22.0,23.0,11.0,30.0
4377,0.0,1.0,47.0,17.0,9.0,37.0,6.0,7.0,40.0,23.0,5.0,12.0,48.0,10.0,20.0,26.0,11.0,16.0,27.0,31.0,24.0,42.0,3.0,46.0,140.0,28.0,13.0,35.0,18.0,79.0
4426,0.0,21.0,4.0,19.0,2.0,9.0,16.0,8.0,13.0,122.0,1.0,24.0,5.0,6.0,3.0,23.0,32.0,17.0,26.0,25.0,18.0,45.0,96.0,36.0,15.0,123.0,20.0,87.0,49.0,200.0
4475,1.0,6.0,11.0,19.0,2.0,3.0,44.0,14.0,21.0,108.0,12.0,16.0,0.0,9.0,65.0,15.0,46.0,13.0,8.0,4.0,30.0,24.0,125.0,64.0,18.0,56.0,54.0,260.0,17.0,147.0
4524,1.0,5.0,11.0,28.0,2.0,7.0,46.0,20.0,52.0,71.0,25.0,16.0,15.0,21.0,24.0,70.0,33.0,8.0,6.0,3.0,10.0,60.0,65.0,27.0,51.0,23.0,53.0,194.0,19.0,130.0
4573,2.0,1.0,23.0,31.0,12.0,6.0,56.0,0.0,19.0,35.0,37.0,14.0,9.0,21.0,17.0,42.0,32.0,27.0,43.0,4.0,7.0,66.0,108.0,74.0,11.0,39.0,13.0,55.0,3.0,142.0
4622,0.0,5.0,18.0,47.0,6.0,7.0,12.0,10.0,66.0,119.0,13.0,28.0,3.0,8.0,60.0,30.0,19.0,45.0,21.0,9.0,16.0,46.0,84.0,48.0,33.0,51.0,23.0,102.0,24.0,101.0
4671,0.0,4.0,10.0,11.0,3.0,2.0,13.0,9.0,38.0,72.0,17.0,57.0,1.0,14.0,31.0,8.0,19.0,12.0,18.0,15.0,20.0,48.0,159.0,56.0,5.0,55.0,29.0,155.0,32.0,47.0
4720,1.0,8.0,11.0,51.0,3.0,0.0,31.0,42.0,20.0,22.0,2.0,18.0,7.0,25.0,34.0,84.0,65.0,13.0,5.0,9.0,6.0,75.0,29.0,49.0,26.0,37.0,12.0,296.0,27.0,58.0
4769,0.0,7.0,5.0,26.0,11.0,1.0,12.0,22.0,20.0,53.0,31.0,10.0,3.0,13.0,30.0,38.0,71.0,15.0,4.0,14.0,44.0,43.0,76.0,51.0,2.0,32.0,37.0,133.0,29.0,34.0
4818,1.0,2.0,12.0,54.0,3.0,9.0,35.0,15.0,59.0,52.0,13.0,22.0,0.0,19.0,42.0,30.0,48.0,17.0,8.0,16.0,18.0,20.0,68.0,33.0,10.0,5.0,11.0,138.0,37.0,53.0
4867,0.0,9.0,1.0,16.0,3.0,44.0,45.0,23.0,41.0,83.0,5.0,32.0,2.0,36.0,62.0,31.0,22.0,30.0,10.0,13.0,7.0,28.0,29.0,66.0,6.0,145.0,11.0,159.0,55.0,162.0
