,GALC_DEL,DLG2_DEL,FAM75A6_AMP,FLNA_MUT,NLGN1_DEL,MYO3B_MUT,IFNA7_DEL,CASP1_DEL,LOC283585_DEL,TRIML2_DEL,CNTNAP3B_AMP,IFNA17_DEL,ETS1_DEL,NRXN3_DEL,IFNA16_DEL,GSTM1_DEL,GOLGA8DP_DEL,JAK2_AMP,SORL1_DEL,HSF2BP_DEL,LILRA3_DEL,IFNA4_DEL,KLHL9_DEL,IFNA22P_DEL,SOS1_MUT,PVRL1_DEL,TEX14_MUT,PTEN_DEL,IFNA21_DEL,SHANK2-AS1_AMP
2086,13.0,1790.0,13479.0,1490.0,794.0,10250.0,251.0,8124.0,673.0,136.0,158.0,3604.0,22.0,2724.0,494.0,131.0,19889.0,14365.0,12483.0,2219.0,479.0,197.0,11025.0,1151.0,79.0,2354.0,4150.0,212.0,323.0,16281.0
2135,45.0,25.0,1771.0,625.0,211.0,32.0,461.0,8583.0,26.0,402.0,185.0,3633.0,5558.0,107.0,2530.0,12.0,301.0,23.0,1.0,1223.0,20801.0,3691.0,10716.0,3646.0,11031.0,327.0,41.0,47.0,183.0,680.0
2184,38.0,2310.0,203.0,16679.0,19.0,366.0,244.0,9583.0,787.0,629.0,23835.0,4018.0,2.0,979.0,480.0,49.0,18578.0,15128.0,0.0,1493.0,606.0,3949.0,12445.0,4003.0,72.0,941.0,16957.0,12.0,3994.0,61.0
2233,201.0,43.0,1093.0,202.0,0.0,9.0,32.0,8639.0,312.0,5507.0,926.0,23.0,254.0,9217.0,240.0,18.0,18636.0,280.0,2.0,882.0,20073.0,306.0,12443.0,2879.0,7.0,1047.0,16950.0,253.0,1259.0,16156.0
2282,1552.0,4.0,26.0,16609.0,16.0,16524.0,253.0,9528.0,378.0,183.0,890.0,12.0,5943.0,9177.0,2813.0,1361.0,18583.0,15025.0,13.0,39.0,2434.0,80.0,12379.0,3087.0,1597.0,5.0,82.0,12645.0,1467.0,16144.0
2331,6915.0,5647.0,326.0,21.0,51.0,24.0,382.0,2457.0,647.0,7247.0,1391.0,294.0,1975.0,579.0,4970.0,710.0,7.0,1881.0,153.0,2134.0,1364.0,539.0,11595.0,144.0,438.0,8553.0,210.0,247.0,11.0,2215.0
2380,6986.0,15.0,186.0,13.0,614.0,185.0,1827.0,7703.0,11.0,5142.0,219.0,837.0,4904.0,9219.0,2818.0,3070.0,18628.0,282.0,8137.0,19944.0,89.0,3961.0,12479.0,21.0,5.0,12519.0,8.0,12738.0,4004.0,2028.0
2429,55.0,15.0,1905.0,756.0,517.0,253.0,5.0,228.0,215.0,5086.0,203.0,126.0,4.0,715.0,3666.0,2712.0,2001.0,15132.0,496.0,2571.0,131.0,349.0,1592.0,442.0,1.0,12520.0,258.0,745.0,136.0,20.0
2478,6.0,30.0,15626.0,7.0,20.0,16593.0,3925.0,9540.0,6229.0,252.0,533.0,1203.0,1584.0,115.0,2196.0,165.0,1893.0,1908.0,19.0,35.0,19936.0,116.0,34.0,2.0,1008.0,12484.0,1244.0,12676.0,13.0,16082.0
2527,48.0,200.0,81.0,16619.0,11.0,16578.0,37.0,51.0,6236.0,315.0,23791.0,65.0,30.0,9161.0,4464.0,722.0,18552.0,623.0,87.0,188.0,19953.0,108.0,56.0,15.0,16903.0,4.0,85.0,158.0,9.0,16131.0
2576,6975.0,4553.0,2136.0,682.0,28.0,7.0,518.0,7663.0,6191.0,24.0,23828.0,443.0,4888.0,1483.0,3624.0,705.0,46.0,15100.0,121.0,145.0,2703.0,327.0,5.0,3786.0,6.0,306.0,16945.0,3.0,20.0,120.0
2625,15.0,806.0,15575.0,86.0,142.0,0.0,3.0,9571.0,1866.0,2.0,23833.0,123.0,96.0,549.0,3877.0,39.0,145.0,231.0,33.0,338.0,418.0,8.0,1561.0,74.0,526.0,12611.0,16948.0,12655.0,270.0,804.0
2674,0.0,76.0,103.0,167.0,1157.0,439.0,434.0,291.0,1772.0,46.0,186.0,74.0,264.0,9187.0,609.0,75.0,121.0,15066.0,54.0,21.0,19968.0,7.0,3.0,2.0,344.0,37.0,16698.0,12709.0,82.0,2629.0
2723,1.0,5.0,44.0,22.0,28.0,971.0,2957.0,143.0,100.0,12.0,1936.0,2878.0,30.0,1911.0,706.0,3102.0,18504.0,1969.0,43.0,76.0,1574.0,6.0,12400.0,50.0,16897.0,67.0,298.0,619.0,52.0,16044.0
2772,2.0,9.0,26.0,49.0,164.0,57.0,32.0,4.0,769.0,8.0,23842.0,92.0,4886.0,153.0,6.0,2248.0,1372.0,15072.0,8100.0,0.0,616.0,3559.0,698.0,30.0,434.0,12505.0,16707.0,1831.0,561.0,31.0
2821,2.0,1102.0,15669.0,68.0,5.0,0.0,6.0,370.0,13.0,168.0,24080.0,34.0,699.0,9246.0,26.0,3477.0,579.0,845.0,22.0,163.0,1461.0,466.0,86.0,7.0,16937.0,12540.0,1660.0,1108.0,11.0,16070.0
2870,334.0,1072.0,15644.0,25.0,2247.0,36.0,723.0,9570.0,6277.0,793.0,24075.0,2618.0,422.0,3.0,15.0,869.0,1906.0,2198.0,8149.0,0.0,97.0,1858.0,132.0,211.0,16946.0,2062.0,16491.0,12748.0,144.0,16026.0
2919,4989.0,4.0,317.0,442.0,1014.0,9.0,137.0,9546.0,183.0,5338.0,675.0,55.0,18.0,643.0,413.0,289.0,69.0,15095.0,5.0,2716.0,108.0,285.0,17.0,517.0,16923.0,12472.0,1306.0,12712.0,0.0,16151.0
2968,6838.0,163.0,68.0,42.0,436.0,810.0,202.0,14.0,3818.0,1.0,24059.0,5174.0,7419.0,687.0,0.0,172.0,5.0,2730.0,9766.0,83.0,90.0,711.0,103.0,16.0,768.0,200.0,305.0,354.0,25.0,16089.0
3017,3.0,5503.0,793.0,239.0,4.0,1029.0,2916.0,10.0,6522.0,5.0,124.0,91.0,801.0,63.0,1189.0,3003.0,18513.0,57.0,1748.0,2446.0,683.0,18.0,275.0,0.0,29.0,12540.0,848.0,983.0,2946.0,24.0
3066,31.0,880.0,13.0,42.0,21.0,16568.0,2.0,9593.0,6341.0,124.0,9.0,660.0,5495.0,538.0,379.0,22.0,365.0,1167.0,8160.0,98.0,663.0,3191.0,460.0,33.0,83.0,209.0,517.0,12740.0,3146.0,2596.0
3115,399.0,351.0,28.0,119.0,97.0,1.0,18.0,20.0,6253.0,129.0,245.0,4482.0,4924.0,9226.0,32.0,66.0,18629.0,5.0,8155.0,2728.0,56.0,83.0,12433.0,4487.0,2098.0,43.0,1217.0,58.0,4484.0,375.0
3164,126.0,1245.0,0.0,192.0,266.0,16573.0,110.0,9592.0,7212.0,14.0,52.0,2506.0,6872.0,58.0,3.0,1461.0,18520.0,15122.0,987.0,5.0,16.0,265.0,12440.0,3724.0,16913.0,108.0,387.0,2.0,18.0,16056.0
3213,16.0,4557.0,15538.0,109.0,18.0,64.0,279.0,80.0,6281.0,23.0,24121.0,431.0,5135.0,2349.0,3.0,8.0,18574.0,136.0,415.0,133.0,20248.0,75.0,12500.0,3963.0,16936.0,2.0,312.0,832.0,235.0,16053.0
3262,697.0,4537.0,13.0,2.0,25.0,1238.0,0.0,117.0,6309.0,66.0,24084.0,42.0,5160.0,1049.0,12.0,3214.0,207.0,5.0,531.0,20200.0,20180.0,300.0,181.0,1712.0,759.0,11.0,561.0,3.0,3974.0,68.0
3311,31.0,383.0,509.0,350.0,681.0,1483.0,108.0,9602.0,53.0,151.0,24069.0,107.0,268.0,1569.0,10.0,61.0,18509.0,1144.0,595.0,392.0,2066.0,29.0,646.0,295.0,5.0,204.0,730.0,33.0,3121.0,2.0
3360,5054.0,1753.0,452.0,16654.0,1.0,180.0,5.0,8635.0,18.0,786.0,733.0,562.0,5376.0,940.0,139.0,743.0,14.0,64.0,8117.0,2750.0,51.0,55.0,12487.0,4.0,174.0,11.0,1230.0,301.0,1264.0,259.0
3409,88.0,229.0,70.0,105.0,33.0,11.0,29.0,7747.0,2145.0,207.0,191.0,3937.0,5144.0,238.0,154.0,2.0,18556.0,4.0,8164.0,2523.0,37.0,1360.0,12490.0,488.0,1677.0,12547.0,468.0,66.0,15.0,71.0
3458,2.0,35.0,1547.0,714.0,1234.0,4.0,200.0,8661.0,68.0,103.0,38.0,9.0,25.0,7.0,1273.0,2887.0,18586.0,15138.0,8163.0,428.0,6.0,2743.0,12443.0,294.0,190.0,2559.0,2681.0,2357.0,4529.0,16058.0
