,niacinamide,GABA,C56:5 TAG,beta-alanine,serotonin,pantothenate,adenosine,C18:0 LPE,isocitrate,DHAP/glyceraldehyde 3P,alpha-glycerophosphate,UMP,putrescine,inositol,alpha-glycerophosphocholine,dCMP,C18:0 LPC,glutamine,C22:6 LPE,cystathionine,oxalate,cis/trans-hydroxyproline,C34:2 DAG,phosphocreatine,C34:4 PC,C36:4 PC-B,malondialdehyde,valerylcarnitine,cytidine,acetylcholine
1934,1.0,0.0,4.0,10.0,3.0,2.0,9.0,11.0,17.0,5.0,12.0,13.0,21.0,22.0,7.0,8.0,18.0,14.0,38.0,6.0,16.0,28.0,37.0,15.0,30.0,23.0,46.0,29.0,51.0,33.0
1983,1.0,0.0,2.0,7.0,3.0,10.0,9.0,11.0,5.0,28.0,6.0,8.0,4.0,12.0,32.0,25.0,23.0,13.0,24.0,27.0,18.0,34.0,14.0,19.0,15.0,46.0,26.0,36.0,16.0,20.0
2032,2.0,1.0,0.0,11.0,3.0,7.0,13.0,5.0,21.0,14.0,4.0,12.0,6.0,37.0,19.0,22.0,9.0,16.0,8.0,31.0,20.0,27.0,15.0,42.0,25.0,39.0,24.0,17.0,30.0,18.0
2081,1.0,3.0,0.0,6.0,2.0,16.0,15.0,5.0,8.0,19.0,7.0,11.0,21.0,4.0,12.0,20.0,26.0,10.0,17.0,23.0,14.0,13.0,9.0,27.0,34.0,33.0,22.0,50.0,36.0,29.0
2130,2.0,0.0,1.0,12.0,3.0,6.0,11.0,4.0,5.0,13.0,7.0,8.0,9.0,31.0,19.0,22.0,32.0,16.0,15.0,14.0,28.0,10.0,18.0,23.0,29.0,50.0,30.0,24.0,39.0,17.0
2179,2.0,0.0,3.0,13.0,5.0,12.0,8.0,4.0,7.0,21.0,16.0,6.0,1.0,9.0,14.0,30.0,19.0,10.0,11.0,24.0,26.0,17.0,22.0,20.0,15.0,32.0,39.0,35.0,31.0,27.0
2228,0.0,1.0,2.0,13.0,12.0,14.0,4.0,25.0,7.0,18.0,8.0,3.0,6.0,5.0,15.0,33.0,35.0,17.0,23.0,10.0,22.0,9.0,16.0,31.0,28.0,34.0,27.0,46.0,19.0,21.0
2277,1.0,0.0,2.0,3.0,6.0,11.0,7.0,18.0,4.0,15.0,5.0,8.0,16.0,12.0,17.0,22.0,19.0,9.0,10.0,28.0,27.0,14.0,13.0,24.0,23.0,37.0,21.0,31.0,33.0,29.0
2326,2.0,1.0,0.0,10.0,3.0,7.0,5.0,4.0,8.0,24.0,6.0,11.0,14.0,19.0,9.0,34.0,20.0,18.0,12.0,28.0,13.0,16.0,25.0,26.0,23.0,33.0,41.0,29.0,43.0,35.0
2375,0.0,2.0,1.0,7.0,4.0,5.0,6.0,3.0,10.0,15.0,12.0,9.0,11.0,18.0,14.0,25.0,17.0,13.0,8.0,26.0,19.0,23.0,16.0,29.0,28.0,32.0,20.0,50.0,33.0,44.0
2424,1.0,0.0,2.0,14.0,6.0,4.0,3.0,8.0,9.0,23.0,13.0,5.0,10.0,7.0,15.0,28.0,25.0,11.0,24.0,12.0,18.0,20.0,16.0,22.0,21.0,41.0,36.0,34.0,29.0,42.0
2473,0.0,4.0,2.0,7.0,6.0,9.0,20.0,3.0,17.0,22.0,8.0,15.0,16.0,5.0,18.0,1.0,24.0,19.0,25.0,10.0,21.0,26.0,33.0,12.0,14.0,27.0,13.0,50.0,31.0,11.0
2522,0.0,5.0,2.0,13.0,1.0,8.0,10.0,6.0,11.0,22.0,3.0,9.0,24.0,4.0,21.0,12.0,7.0,17.0,31.0,14.0,15.0,20.0,34.0,23.0,16.0,26.0,19.0,41.0,18.0,27.0
2571,0.0,1.0,3.0,9.0,13.0,7.0,11.0,2.0,10.0,15.0,22.0,8.0,18.0,4.0,19.0,6.0,27.0,12.0,30.0,5.0,21.0,23.0,36.0,24.0,17.0,28.0,14.0,41.0,16.0,20.0
2620,0.0,2.0,1.0,4.0,13.0,18.0,14.0,3.0,8.0,7.0,9.0,12.0,16.0,5.0,6.0,11.0,15.0,19.0,27.0,10.0,34.0,20.0,31.0,25.0,17.0,24.0,23.0,49.0,22.0,32.0
2669,2.0,4.0,1.0,3.0,0.0,9.0,20.0,6.0,5.0,7.0,10.0,11.0,26.0,13.0,8.0,12.0,16.0,19.0,18.0,15.0,22.0,31.0,36.0,17.0,21.0,23.0,25.0,44.0,14.0,24.0
2718,0.0,3.0,1.0,4.0,5.0,10.0,13.0,8.0,20.0,6.0,12.0,18.0,29.0,2.0,7.0,9.0,14.0,19.0,37.0,11.0,22.0,25.0,30.0,21.0,23.0,17.0,15.0,41.0,26.0,16.0
2767,0.0,2.0,1.0,10.0,6.0,9.0,19.0,3.0,23.0,4.0,7.0,27.0,20.0,8.0,15.0,12.0,17.0,25.0,29.0,5.0,16.0,34.0,21.0,30.0,11.0,32.0,18.0,47.0,13.0,14.0
2816,0.0,3.0,1.0,9.0,4.0,7.0,14.0,11.0,6.0,12.0,8.0,15.0,17.0,2.0,24.0,5.0,28.0,16.0,26.0,19.0,22.0,27.0,30.0,18.0,29.0,25.0,13.0,32.0,10.0,20.0
2865,0.0,7.0,1.0,2.0,13.0,10.0,18.0,3.0,8.0,15.0,5.0,6.0,21.0,4.0,9.0,12.0,14.0,22.0,24.0,11.0,20.0,29.0,34.0,16.0,23.0,19.0,17.0,40.0,28.0,26.0
2914,0.0,9.0,1.0,4.0,7.0,3.0,15.0,11.0,14.0,18.0,2.0,6.0,21.0,5.0,22.0,8.0,13.0,16.0,23.0,10.0,30.0,28.0,32.0,17.0,24.0,25.0,20.0,46.0,19.0,12.0
2963,4.0,1.0,0.0,3.0,9.0,7.0,2.0,8.0,16.0,5.0,15.0,13.0,19.0,18.0,12.0,11.0,17.0,26.0,6.0,30.0,10.0,23.0,21.0,22.0,20.0,27.0,35.0,24.0,14.0,29.0
3012,0.0,4.0,3.0,2.0,7.0,5.0,1.0,12.0,19.0,11.0,6.0,15.0,17.0,8.0,16.0,18.0,23.0,31.0,10.0,14.0,13.0,20.0,9.0,44.0,22.0,27.0,25.0,34.0,32.0,24.0
3061,0.0,3.0,6.0,7.0,12.0,2.0,1.0,9.0,16.0,11.0,4.0,10.0,22.0,8.0,14.0,17.0,19.0,25.0,5.0,38.0,18.0,15.0,13.0,24.0,20.0,37.0,33.0,26.0,43.0,32.0
3110,0.0,6.0,1.0,5.0,7.0,3.0,2.0,12.0,31.0,8.0,11.0,14.0,16.0,22.0,19.0,10.0,26.0,17.0,4.0,13.0,15.0,9.0,18.0,23.0,20.0,34.0,21.0,39.0,24.0,30.0
3159,4.0,5.0,1.0,2.0,10.0,7.0,3.0,11.0,20.0,6.0,8.0,17.0,14.0,12.0,9.0,19.0,29.0,16.0,0.0,22.0,25.0,15.0,13.0,21.0,24.0,31.0,38.0,23.0,36.0,27.0
3208,1.0,3.0,2.0,5.0,7.0,6.0,0.0,12.0,16.0,11.0,9.0,13.0,21.0,22.0,15.0,10.0,25.0,19.0,4.0,20.0,17.0,14.0,8.0,18.0,31.0,30.0,27.0,28.0,45.0,24.0
3257,9.0,1.0,3.0,2.0,5.0,10.0,6.0,8.0,11.0,4.0,17.0,7.0,16.0,13.0,27.0,14.0,12.0,19.0,0.0,20.0,22.0,18.0,26.0,23.0,34.0,30.0,25.0,45.0,32.0,15.0
3306,0.0,3.0,2.0,4.0,15.0,11.0,1.0,7.0,32.0,8.0,6.0,5.0,31.0,14.0,17.0,9.0,28.0,20.0,12.0,10.0,18.0,29.0,23.0,19.0,16.0,42.0,33.0,26.0,24.0,43.0
3355,0.0,5.0,7.0,10.0,8.0,2.0,3.0,6.0,28.0,4.0,9.0,12.0,18.0,1.0,15.0,14.0,34.0,24.0,11.0,21.0,13.0,22.0,16.0,19.0,26.0,27.0,20.0,47.0,25.0,23.0
3404,1.0,0.0,2.0,5.0,8.0,3.0,7.0,10.0,12.0,6.0,4.0,9.0,13.0,14.0,29.0,16.0,28.0,18.0,11.0,27.0,19.0,24.0,21.0,23.0,20.0,22.0,26.0,17.0,45.0,25.0
3453,0.0,4.0,1.0,5.0,15.0,2.0,12.0,3.0,17.0,7.0,9.0,13.0,37.0,20.0,10.0,14.0,18.0,11.0,30.0,8.0,19.0,6.0,23.0,22.0,16.0,25.0,29.0,27.0,24.0,34.0
3502,0.0,4.0,1.0,11.0,7.0,3.0,2.0,6.0,10.0,18.0,15.0,12.0,16.0,5.0,13.0,22.0,14.0,8.0,29.0,36.0,20.0,17.0,19.0,33.0,9.0,24.0,21.0,26.0,27.0,38.0
3551,0.0,1.0,2.0,11.0,5.0,4.0,3.0,6.0,12.0,21.0,20.0,9.0,18.0,8.0,40.0,15.0,13.0,10.0,38.0,22.0,16.0,7.0,27.0,25.0,14.0,26.0,24.0,19.0,17.0,32.0
3600,0.0,5.0,3.0,13.0,8.0,1.0,2.0,4.0,7.0,9.0,10.0,12.0,14.0,6.0,20.0,16.0,22.0,11.0,43.0,26.0,18.0,23.0,19.0,24.0,17.0,29.0,25.0,21.0,28.0,35.0
3649,0.0,1.0,2.0,5.0,7.0,3.0,11.0,4.0,8.0,14.0,9.0,17.0,21.0,12.0,27.0,16.0,18.0,6.0,35.0,44.0,25.0,13.0,10.0,36.0,15.0,19.0,26.0,20.0,28.0,48.0
3698,0.0,4.0,1.0,5.0,7.0,2.0,6.0,3.0,14.0,12.0,8.0,11.0,13.0,21.0,16.0,15.0,23.0,9.0,26.0,19.0,18.0,10.0,29.0,17.0,33.0,22.0,24.0,20.0,27.0,31.0
3747,0.0,9.0,4.0,3.0,6.0,1.0,2.0,8.0,12.0,7.0,5.0,13.0,15.0,10.0,20.0,17.0,11.0,16.0,19.0,21.0,18.0,14.0,30.0,24.0,28.0,32.0,23.0,25.0,29.0,38.0
3796,0.0,2.0,1.0,5.0,19.0,4.0,3.0,6.0,10.0,8.0,9.0,11.0,12.0,21.0,16.0,22.0,14.0,20.0,30.0,31.0,13.0,7.0,17.0,15.0,28.0,18.0,25.0,27.0,23.0,34.0
3845,0.0,6.0,3.0,17.0,14.0,1.0,2.0,10.0,8.0,20.0,9.0,7.0,13.0,5.0,12.0,11.0,24.0,4.0,25.0,29.0,19.0,15.0,16.0,23.0,18.0,27.0,28.0,21.0,22.0,39.0
3894,0.0,2.0,1.0,6.0,12.0,3.0,4.0,5.0,13.0,25.0,10.0,8.0,7.0,14.0,16.0,21.0,23.0,27.0,37.0,17.0,26.0,9.0,15.0,22.0,19.0,11.0,28.0,30.0,38.0,45.0
3943,1.0,3.0,0.0,2.0,8.0,15.0,14.0,4.0,9.0,17.0,6.0,16.0,7.0,5.0,34.0,12.0,11.0,19.0,18.0,24.0,10.0,21.0,27.0,22.0,20.0,13.0,41.0,36.0,35.0,25.0
3992,1.0,0.0,2.0,5.0,26.0,10.0,11.0,3.0,22.0,8.0,17.0,12.0,4.0,16.0,19.0,14.0,7.0,29.0,18.0,9.0,21.0,15.0,25.0,28.0,13.0,6.0,23.0,41.0,24.0,20.0
4041,0.0,3.0,1.0,7.0,6.0,4.0,13.0,2.0,5.0,9.0,15.0,19.0,11.0,8.0,39.0,10.0,16.0,33.0,14.0,21.0,17.0,20.0,32.0,30.0,12.0,22.0,31.0,28.0,24.0,18.0
4090,3.0,2.0,1.0,12.0,13.0,6.0,31.0,0.0,14.0,4.0,9.0,7.0,8.0,11.0,21.0,20.0,19.0,15.0,16.0,10.0,5.0,18.0,22.0,38.0,37.0,17.0,36.0,30.0,32.0,40.0
4139,1.0,3.0,0.0,4.0,11.0,5.0,18.0,2.0,7.0,8.0,23.0,6.0,16.0,10.0,31.0,9.0,13.0,24.0,12.0,20.0,22.0,14.0,15.0,17.0,34.0,19.0,25.0,26.0,27.0,21.0
4188,0.0,3.0,1.0,8.0,10.0,12.0,9.0,2.0,14.0,4.0,16.0,21.0,7.0,5.0,17.0,18.0,6.0,19.0,23.0,11.0,20.0,15.0,24.0,36.0,30.0,22.0,34.0,13.0,26.0,31.0
4237,0.0,2.0,1.0,3.0,19.0,5.0,25.0,4.0,7.0,11.0,14.0,21.0,6.0,10.0,20.0,12.0,22.0,15.0,16.0,13.0,26.0,28.0,8.0,23.0,31.0,27.0,43.0,17.0,33.0,9.0
4286,1.0,0.0,2.0,4.0,7.0,15.0,13.0,3.0,5.0,8.0,19.0,12.0,6.0,14.0,36.0,35.0,10.0,24.0,11.0,18.0,20.0,27.0,26.0,17.0,30.0,9.0,31.0,23.0,21.0,16.0
4335,1.0,3.0,2.0,4.0,24.0,7.0,16.0,0.0,9.0,11.0,5.0,14.0,10.0,13.0,37.0,8.0,12.0,22.0,27.0,6.0,15.0,18.0,32.0,26.0,17.0,23.0,30.0,31.0,34.0,29.0
4384,2.0,1.0,0.0,4.0,9.0,8.0,16.0,3.0,5.0,7.0,24.0,12.0,13.0,14.0,19.0,6.0,28.0,10.0,18.0,11.0,23.0,39.0,21.0,27.0,15.0,17.0,42.0,20.0,26.0,30.0
4433,5.0,1.0,7.0,0.0,16.0,14.0,6.0,21.0,2.0,3.0,4.0,11.0,10.0,17.0,22.0,8.0,25.0,26.0,18.0,23.0,15.0,20.0,12.0,9.0,13.0,29.0,27.0,37.0,57.0,34.0
4482,0.0,4.0,1.0,6.0,14.0,7.0,12.0,8.0,11.0,3.0,5.0,16.0,2.0,9.0,18.0,22.0,28.0,10.0,27.0,17.0,20.0,13.0,15.0,23.0,19.0,26.0,21.0,55.0,39.0,38.0
4531,0.0,1.0,2.0,3.0,16.0,11.0,8.0,12.0,7.0,10.0,5.0,14.0,4.0,22.0,6.0,13.0,31.0,9.0,25.0,18.0,20.0,15.0,19.0,21.0,23.0,17.0,32.0,44.0,54.0,24.0
4580,1.0,0.0,2.0,3.0,12.0,8.0,7.0,9.0,6.0,5.0,13.0,17.0,14.0,15.0,4.0,26.0,19.0,18.0,20.0,29.0,16.0,11.0,10.0,22.0,27.0,21.0,32.0,49.0,46.0,44.0
4629,0.0,1.0,8.0,3.0,24.0,11.0,6.0,7.0,2.0,9.0,4.0,14.0,10.0,12.0,5.0,17.0,16.0,20.0,15.0,21.0,18.0,19.0,13.0,30.0,28.0,23.0,26.0,49.0,35.0,32.0
4678,0.0,4.0,3.0,2.0,15.0,10.0,13.0,9.0,1.0,12.0,6.0,19.0,7.0,11.0,8.0,5.0,22.0,21.0,20.0,25.0,16.0,14.0,18.0,17.0,29.0,26.0,33.0,24.0,47.0,39.0
4727,0.0,1.0,4.0,2.0,19.0,22.0,5.0,8.0,9.0,3.0,6.0,15.0,10.0,7.0,11.0,13.0,17.0,21.0,18.0,23.0,12.0,16.0,29.0,20.0,25.0,26.0,14.0,36.0,42.0,32.0
4776,2.0,0.0,1.0,3.0,8.0,7.0,4.0,13.0,5.0,11.0,14.0,19.0,17.0,16.0,6.0,10.0,20.0,12.0,24.0,23.0,18.0,9.0,15.0,21.0,22.0,25.0,37.0,49.0,33.0,54.0
4825,0.0,1.0,3.0,2.0,18.0,12.0,4.0,5.0,9.0,7.0,13.0,8.0,10.0,6.0,16.0,11.0,20.0,25.0,14.0,30.0,22.0,17.0,15.0,26.0,27.0,23.0,41.0,38.0,40.0,52.0
4874,1.0,0.0,3.0,4.0,24.0,15.0,8.0,10.0,2.0,11.0,6.0,21.0,7.0,5.0,9.0,23.0,19.0,13.0,20.0,22.0,17.0,12.0,16.0,27.0,14.0,18.0,34.0,50.0,42.0,56.0
