,hsa-miR-130a,hsa-miR-222,hsa-let-7c,hsa-miR-497,hsa-miR-34a,hsa-miR-582-5p,hsa-miR-9,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-miR-218,hsa-miR-345,hsa-miR-149,hsa-miR-99a,hsa-miR-195,hsa-miR-331-3p,hsa-miR-1260,hsa-miR-615-3p,hsa-miR-302f,hsa-miR-1302,hsa-miR-135b,hsa-miR-129-3p,hsa-miR-450a,hsa-miR-483-3p,hsa-let-7e,hsa-miR-29b,hsa-miR-631,hsa-miR-324-5p,hsa-miR-128,hsa-miR-214,hsa-miR-342-3p,hsa-miR-95
504,0.0,11.0,8.0,3.0,1.0,6.0,66.0,5.0,45.0,61.0,33.0,9.0,4.0,424.0,425.0,75.0,2.0,86.0,339.0,10.0,14.0,7.0,32.0,396.0,12.0,426.0,224.0,15.0,194.0,17.0
553,0.0,4.0,8.0,5.0,1.0,6.0,21.0,48.0,49.0,286.0,2.0,92.0,20.0,9.0,55.0,32.0,7.0,23.0,29.0,350.0,18.0,44.0,14.0,74.0,96.0,33.0,64.0,19.0,34.0,25.0
602,0.0,6.0,4.0,3.0,18.0,1.0,130.0,8.0,19.0,52.0,138.0,22.0,16.0,63.0,27.0,198.0,7.0,2.0,60.0,51.0,15.0,121.0,13.0,24.0,456.0,14.0,173.0,53.0,93.0,5.0
651,0.0,5.0,6.0,2.0,8.0,1.0,38.0,4.0,62.0,9.0,55.0,69.0,11.0,14.0,295.0,34.0,3.0,23.0,40.0,39.0,43.0,15.0,18.0,56.0,25.0,10.0,361.0,42.0,20.0,13.0
700,0.0,10.0,6.0,4.0,2.0,1.0,25.0,3.0,26.0,22.0,141.0,39.0,12.0,95.0,214.0,30.0,13.0,7.0,41.0,64.0,65.0,116.0,43.0,303.0,475.0,5.0,312.0,37.0,138.0,80.0
749,2.0,0.0,5.0,1.0,12.0,8.0,25.0,3.0,9.0,18.0,7.0,20.0,4.0,90.0,238.0,22.0,13.0,6.0,302.0,17.0,42.0,26.0,21.0,217.0,27.0,46.0,254.0,14.0,69.0,15.0
798,0.0,5.0,3.0,1.0,10.0,4.0,13.0,9.0,8.0,12.0,39.0,70.0,164.0,17.0,157.0,7.0,21.0,15.0,117.0,190.0,191.0,107.0,2.0,590.0,159.0,16.0,146.0,128.0,24.0,80.0
847,3.0,2.0,5.0,1.0,0.0,12.0,7.0,4.0,22.0,66.0,18.0,17.0,11.0,41.0,31.0,8.0,56.0,6.0,16.0,231.0,147.0,85.0,21.0,27.0,161.0,193.0,89.0,42.0,115.0,15.0
896,0.0,1.0,131.0,12.0,45.0,2.0,23.0,9.0,125.0,17.0,49.0,20.0,15.0,36.0,196.0,5.0,14.0,4.0,84.0,70.0,213.0,53.0,67.0,88.0,91.0,51.0,29.0,65.0,79.0,299.0
945,0.0,3.0,16.0,1.0,6.0,11.0,36.0,21.0,99.0,260.0,193.0,12.0,4.0,162.0,363.0,13.0,7.0,77.0,20.0,64.0,320.0,102.0,133.0,5.0,48.0,223.0,9.0,61.0,28.0,14.0
994,0.0,6.0,2.0,3.0,1.0,11.0,9.0,14.0,8.0,27.0,19.0,13.0,43.0,30.0,4.0,17.0,164.0,41.0,7.0,62.0,376.0,33.0,15.0,184.0,141.0,59.0,5.0,31.0,32.0,99.0
1043,0.0,10.0,4.0,2.0,1.0,8.0,60.0,3.0,5.0,14.0,137.0,31.0,65.0,12.0,115.0,38.0,28.0,15.0,13.0,44.0,74.0,6.0,16.0,59.0,36.0,27.0,7.0,37.0,255.0,83.0
1092,0.0,10.0,38.0,2.0,1.0,3.0,9.0,21.0,11.0,5.0,27.0,111.0,8.0,12.0,100.0,57.0,35.0,61.0,4.0,71.0,85.0,25.0,20.0,46.0,206.0,42.0,7.0,17.0,14.0,44.0
1141,0.0,3.0,10.0,6.0,1.0,4.0,32.0,8.0,2.0,13.0,104.0,35.0,64.0,12.0,40.0,7.0,38.0,24.0,5.0,27.0,240.0,21.0,373.0,110.0,61.0,58.0,11.0,14.0,18.0,65.0
1190,0.0,27.0,2.0,1.0,9.0,12.0,7.0,4.0,5.0,31.0,51.0,17.0,8.0,32.0,11.0,13.0,47.0,109.0,6.0,73.0,190.0,53.0,23.0,25.0,56.0,42.0,10.0,33.0,28.0,189.0
1239,0.0,4.0,8.0,5.0,2.0,6.0,362.0,12.0,9.0,3.0,7.0,11.0,27.0,47.0,66.0,14.0,70.0,25.0,13.0,48.0,159.0,1.0,17.0,105.0,34.0,46.0,37.0,19.0,119.0,20.0
1288,0.0,1.0,9.0,3.0,2.0,26.0,17.0,6.0,58.0,23.0,160.0,15.0,7.0,8.0,262.0,5.0,55.0,76.0,13.0,31.0,37.0,27.0,47.0,50.0,132.0,19.0,12.0,629.0,168.0,60.0
1337,0.0,1.0,12.0,5.0,2.0,6.0,62.0,56.0,8.0,4.0,301.0,3.0,464.0,10.0,13.0,27.0,26.0,15.0,36.0,9.0,22.0,35.0,57.0,221.0,31.0,14.0,11.0,130.0,250.0,297.0
1386,0.0,1.0,13.0,5.0,3.0,10.0,54.0,4.0,6.0,27.0,25.0,20.0,44.0,2.0,11.0,219.0,53.0,9.0,14.0,7.0,31.0,18.0,12.0,52.0,43.0,21.0,19.0,22.0,50.0,15.0
1435,1.0,3.0,14.0,2.0,0.0,13.0,12.0,29.0,7.0,9.0,18.0,10.0,55.0,23.0,173.0,4.0,25.0,20.0,11.0,16.0,15.0,5.0,19.0,342.0,21.0,113.0,6.0,37.0,329.0,27.0
1484,0.0,4.0,6.0,3.0,17.0,35.0,1.0,15.0,13.0,107.0,145.0,92.0,57.0,54.0,65.0,16.0,2.0,14.0,27.0,302.0,84.0,43.0,23.0,139.0,40.0,20.0,129.0,156.0,29.0,33.0
1533,0.0,5.0,4.0,1.0,3.0,11.0,6.0,21.0,25.0,18.0,19.0,29.0,2.0,36.0,34.0,192.0,141.0,23.0,81.0,57.0,267.0,15.0,13.0,101.0,110.0,33.0,177.0,76.0,108.0,327.0
1582,0.0,6.0,4.0,27.0,1.0,11.0,2.0,404.0,25.0,9.0,386.0,12.0,43.0,19.0,77.0,21.0,8.0,35.0,36.0,55.0,174.0,3.0,142.0,84.0,53.0,34.0,338.0,17.0,45.0,249.0
1631,0.0,4.0,3.0,8.0,2.0,24.0,1.0,94.0,122.0,47.0,118.0,52.0,17.0,80.0,22.0,27.0,16.0,58.0,51.0,9.0,13.0,36.0,7.0,260.0,521.0,623.0,15.0,5.0,28.0,20.0
1680,0.0,2.0,8.0,20.0,1.0,23.0,4.0,116.0,14.0,15.0,175.0,19.0,12.0,122.0,17.0,237.0,7.0,11.0,6.0,147.0,308.0,10.0,3.0,49.0,390.0,97.0,215.0,38.0,229.0,260.0
1729,2.0,0.0,10.0,9.0,1.0,7.0,28.0,14.0,60.0,57.0,6.0,49.0,117.0,87.0,19.0,281.0,33.0,62.0,4.0,580.0,52.0,22.0,551.0,27.0,172.0,103.0,79.0,308.0,13.0,155.0
1778,0.0,3.0,4.0,6.0,1.0,25.0,12.0,16.0,150.0,107.0,24.0,18.0,30.0,2.0,23.0,27.0,14.0,10.0,8.0,132.0,26.0,22.0,5.0,256.0,172.0,100.0,74.0,56.0,89.0,260.0
1827,1.0,0.0,2.0,12.0,5.0,11.0,6.0,4.0,421.0,3.0,21.0,36.0,37.0,40.0,10.0,58.0,18.0,57.0,17.0,38.0,77.0,15.0,20.0,27.0,14.0,66.0,32.0,16.0,46.0,43.0
1876,6.0,1.0,2.0,0.0,5.0,8.0,16.0,141.0,84.0,217.0,7.0,29.0,52.0,115.0,19.0,200.0,9.0,10.0,15.0,3.0,51.0,13.0,515.0,22.0,38.0,41.0,56.0,17.0,89.0,65.0
1925,0.0,3.0,2.0,6.0,4.0,5.0,1.0,68.0,151.0,16.0,10.0,95.0,379.0,163.0,22.0,67.0,15.0,50.0,86.0,169.0,281.0,297.0,14.0,60.0,37.0,279.0,39.0,27.0,440.0,344.0
1974,1.0,0.0,2.0,11.0,7.0,16.0,271.0,6.0,34.0,38.0,20.0,26.0,24.0,36.0,43.0,80.0,113.0,53.0,8.0,10.0,39.0,5.0,9.0,4.0,3.0,48.0,32.0,31.0,62.0,334.0
2023,1.0,2.0,0.0,29.0,4.0,5.0,17.0,23.0,10.0,36.0,52.0,6.0,9.0,21.0,170.0,471.0,153.0,53.0,18.0,12.0,14.0,20.0,7.0,39.0,3.0,46.0,467.0,122.0,74.0,381.0
2072,4.0,0.0,1.0,6.0,3.0,30.0,64.0,13.0,26.0,9.0,31.0,10.0,21.0,8.0,44.0,79.0,11.0,56.0,5.0,40.0,22.0,49.0,25.0,2.0,16.0,24.0,19.0,28.0,7.0,246.0
2121,6.0,8.0,0.0,13.0,2.0,5.0,77.0,7.0,192.0,17.0,16.0,25.0,4.0,11.0,18.0,121.0,14.0,10.0,3.0,210.0,67.0,244.0,1.0,15.0,9.0,149.0,238.0,21.0,33.0,619.0
2170,7.0,3.0,9.0,11.0,12.0,10.0,328.0,27.0,2.0,8.0,4.0,13.0,16.0,0.0,36.0,58.0,76.0,5.0,25.0,133.0,117.0,45.0,30.0,56.0,99.0,31.0,54.0,50.0,37.0,69.0
2219,3.0,1.0,0.0,9.0,2.0,14.0,15.0,35.0,60.0,6.0,20.0,11.0,27.0,7.0,151.0,72.0,19.0,8.0,5.0,51.0,74.0,31.0,18.0,12.0,10.0,185.0,431.0,43.0,114.0,212.0
2268,3.0,1.0,0.0,8.0,2.0,165.0,20.0,48.0,16.0,47.0,311.0,7.0,26.0,22.0,74.0,60.0,90.0,10.0,4.0,87.0,40.0,5.0,13.0,142.0,35.0,19.0,27.0,94.0,41.0,130.0
2317,1.0,16.0,0.0,28.0,3.0,257.0,27.0,30.0,182.0,5.0,38.0,9.0,14.0,6.0,15.0,8.0,21.0,4.0,7.0,22.0,49.0,2.0,44.0,99.0,41.0,114.0,157.0,43.0,358.0,46.0
2366,3.0,7.0,0.0,4.0,6.0,320.0,83.0,26.0,203.0,48.0,186.0,5.0,17.0,14.0,101.0,9.0,24.0,12.0,2.0,31.0,122.0,1.0,114.0,22.0,143.0,42.0,157.0,291.0,62.0,37.0
2415,1.0,3.0,0.0,16.0,15.0,10.0,268.0,29.0,57.0,8.0,13.0,5.0,204.0,12.0,25.0,11.0,6.0,7.0,26.0,21.0,18.0,2.0,72.0,32.0,4.0,22.0,145.0,49.0,119.0,109.0
2464,0.0,1.0,40.0,2.0,16.0,13.0,4.0,5.0,24.0,3.0,7.0,140.0,41.0,6.0,84.0,20.0,21.0,11.0,74.0,31.0,33.0,483.0,22.0,23.0,42.0,141.0,37.0,56.0,154.0,17.0
2513,0.0,1.0,2.0,8.0,6.0,4.0,13.0,36.0,23.0,9.0,14.0,11.0,44.0,3.0,30.0,7.0,79.0,20.0,81.0,39.0,72.0,139.0,123.0,42.0,109.0,140.0,78.0,574.0,199.0,16.0
2562,0.0,2.0,8.0,30.0,1.0,5.0,7.0,12.0,3.0,14.0,22.0,63.0,547.0,535.0,72.0,149.0,23.0,377.0,448.0,15.0,58.0,124.0,56.0,11.0,129.0,13.0,81.0,435.0,10.0,34.0
2611,0.0,2.0,18.0,7.0,1.0,17.0,6.0,4.0,25.0,15.0,5.0,44.0,39.0,3.0,105.0,114.0,9.0,162.0,47.0,11.0,16.0,196.0,246.0,10.0,19.0,12.0,108.0,88.0,23.0,31.0
2660,0.0,9.0,43.0,4.0,7.0,62.0,2.0,19.0,8.0,10.0,3.0,54.0,293.0,12.0,382.0,16.0,22.0,260.0,111.0,274.0,6.0,108.0,105.0,5.0,11.0,40.0,15.0,52.0,13.0,1.0
2709,0.0,4.0,95.0,325.0,2.0,45.0,10.0,6.0,28.0,9.0,11.0,270.0,44.0,1.0,440.0,3.0,205.0,53.0,72.0,22.0,12.0,452.0,20.0,42.0,14.0,7.0,71.0,126.0,25.0,5.0
2758,0.0,1.0,12.0,23.0,11.0,2.0,20.0,7.0,14.0,3.0,96.0,4.0,335.0,13.0,38.0,22.0,121.0,248.0,6.0,15.0,73.0,355.0,130.0,10.0,16.0,21.0,84.0,560.0,18.0,51.0
2807,0.0,1.0,17.0,12.0,7.0,111.0,8.0,35.0,11.0,9.0,13.0,6.0,204.0,3.0,20.0,2.0,172.0,245.0,146.0,10.0,73.0,54.0,299.0,23.0,98.0,21.0,625.0,61.0,4.0,25.0
2856,0.0,2.0,18.0,10.0,13.0,22.0,5.0,276.0,11.0,4.0,6.0,14.0,77.0,1.0,8.0,23.0,526.0,98.0,55.0,175.0,200.0,80.0,31.0,9.0,24.0,40.0,134.0,100.0,15.0,39.0
2905,0.0,1.0,12.0,8.0,3.0,71.0,7.0,13.0,4.0,11.0,2.0,150.0,80.0,9.0,31.0,14.0,56.0,48.0,322.0,57.0,27.0,76.0,531.0,20.0,90.0,128.0,520.0,5.0,73.0,18.0
2954,2.0,1.0,5.0,7.0,3.0,94.0,0.0,22.0,4.0,11.0,13.0,6.0,74.0,21.0,15.0,32.0,319.0,326.0,12.0,27.0,44.0,20.0,103.0,327.0,18.0,52.0,199.0,178.0,17.0,37.0
3003,0.0,2.0,9.0,1.0,115.0,21.0,3.0,32.0,6.0,4.0,7.0,454.0,54.0,8.0,14.0,158.0,319.0,96.0,16.0,37.0,377.0,86.0,103.0,18.0,19.0,254.0,50.0,170.0,20.0,26.0
3052,0.0,2.0,21.0,1.0,7.0,4.0,3.0,14.0,30.0,24.0,8.0,19.0,22.0,11.0,18.0,25.0,15.0,188.0,44.0,83.0,139.0,28.0,69.0,184.0,31.0,63.0,60.0,26.0,5.0,39.0
3101,4.0,2.0,68.0,1.0,5.0,13.0,7.0,8.0,141.0,3.0,9.0,157.0,65.0,0.0,6.0,15.0,192.0,28.0,95.0,338.0,12.0,44.0,102.0,60.0,415.0,14.0,71.0,46.0,10.0,104.0
3150,1.0,0.0,31.0,2.0,9.0,43.0,68.0,7.0,51.0,143.0,14.0,77.0,82.0,5.0,6.0,181.0,85.0,54.0,21.0,17.0,34.0,44.0,223.0,95.0,48.0,339.0,10.0,18.0,52.0,367.0
3199,1.0,3.0,4.0,0.0,9.0,78.0,17.0,2.0,5.0,11.0,12.0,16.0,215.0,15.0,20.0,8.0,169.0,44.0,153.0,115.0,38.0,21.0,460.0,315.0,27.0,281.0,88.0,19.0,7.0,57.0
3248,0.0,2.0,4.0,1.0,13.0,11.0,9.0,3.0,46.0,6.0,5.0,8.0,22.0,10.0,284.0,63.0,52.0,77.0,86.0,15.0,96.0,169.0,469.0,37.0,71.0,23.0,111.0,48.0,139.0,21.0
3297,0.0,10.0,12.0,1.0,25.0,7.0,13.0,15.0,6.0,4.0,5.0,11.0,89.0,3.0,33.0,78.0,250.0,35.0,247.0,23.0,255.0,320.0,111.0,45.0,50.0,17.0,21.0,27.0,31.0,16.0
3346,0.0,3.0,11.0,1.0,12.0,7.0,13.0,4.0,5.0,6.0,34.0,9.0,28.0,2.0,8.0,14.0,71.0,43.0,24.0,38.0,285.0,54.0,185.0,39.0,489.0,286.0,164.0,55.0,70.0,20.0
3395,0.0,3.0,5.0,1.0,25.0,4.0,148.0,7.0,102.0,122.0,9.0,8.0,2.0,6.0,99.0,87.0,62.0,89.0,65.0,13.0,63.0,180.0,32.0,22.0,139.0,114.0,348.0,18.0,38.0,17.0
3444,0.0,9.0,5.0,3.0,11.0,1.0,2.0,6.0,54.0,294.0,4.0,12.0,7.0,206.0,521.0,229.0,29.0,14.0,74.0,20.0,8.0,64.0,103.0,85.0,72.0,105.0,22.0,57.0,228.0,226.0
3493,0.0,5.0,2.0,1.0,3.0,9.0,10.0,81.0,158.0,88.0,12.0,6.0,13.0,60.0,4.0,23.0,16.0,62.0,340.0,40.0,11.0,211.0,15.0,94.0,90.0,8.0,290.0,141.0,109.0,129.0
3542,0.0,13.0,3.0,1.0,5.0,17.0,2.0,14.0,199.0,81.0,4.0,19.0,11.0,107.0,34.0,18.0,73.0,7.0,415.0,8.0,96.0,16.0,43.0,24.0,9.0,88.0,92.0,547.0,405.0,125.0
3591,0.0,3.0,13.0,1.0,2.0,7.0,10.0,9.0,140.0,12.0,26.0,4.0,15.0,31.0,29.0,5.0,281.0,106.0,28.0,33.0,76.0,52.0,51.0,136.0,8.0,19.0,21.0,86.0,20.0,67.0
3640,0.0,1.0,3.0,2.0,30.0,6.0,5.0,11.0,15.0,16.0,10.0,17.0,25.0,495.0,13.0,7.0,180.0,12.0,155.0,162.0,45.0,20.0,130.0,58.0,360.0,240.0,23.0,4.0,63.0,550.0
3689,2.0,1.0,0.0,3.0,25.0,6.0,4.0,18.0,10.0,11.0,45.0,28.0,5.0,93.0,50.0,107.0,478.0,30.0,34.0,47.0,27.0,103.0,42.0,332.0,14.0,62.0,39.0,71.0,300.0,131.0
3738,0.0,3.0,25.0,1.0,7.0,4.0,17.0,21.0,11.0,65.0,39.0,140.0,151.0,24.0,9.0,112.0,419.0,10.0,8.0,86.0,29.0,157.0,147.0,5.0,30.0,57.0,16.0,6.0,22.0,277.0
3787,0.0,1.0,6.0,2.0,3.0,9.0,7.0,54.0,384.0,30.0,107.0,10.0,70.0,103.0,13.0,50.0,64.0,259.0,209.0,26.0,29.0,4.0,79.0,23.0,38.0,157.0,59.0,219.0,16.0,572.0
3836,3.0,1.0,0.0,2.0,4.0,9.0,10.0,98.0,39.0,29.0,12.0,8.0,63.0,22.0,31.0,26.0,193.0,66.0,30.0,18.0,24.0,14.0,13.0,5.0,53.0,438.0,88.0,351.0,16.0,314.0
3885,3.0,0.0,77.0,1.0,23.0,2.0,54.0,25.0,213.0,8.0,35.0,28.0,17.0,5.0,4.0,6.0,62.0,91.0,15.0,33.0,43.0,64.0,7.0,326.0,160.0,36.0,42.0,498.0,19.0,402.0
3934,0.0,6.0,2.0,8.0,4.0,84.0,21.0,80.0,19.0,53.0,1.0,18.0,9.0,555.0,136.0,469.0,10.0,12.0,56.0,13.0,30.0,17.0,97.0,39.0,32.0,278.0,37.0,23.0,252.0,52.0
3983,0.0,16.0,1.0,5.0,2.0,15.0,17.0,80.0,10.0,160.0,11.0,14.0,13.0,300.0,27.0,18.0,8.0,4.0,136.0,3.0,12.0,134.0,244.0,25.0,42.0,135.0,171.0,31.0,374.0,37.0
4032,0.0,23.0,3.0,15.0,1.0,2.0,8.0,10.0,46.0,34.0,14.0,194.0,80.0,113.0,7.0,263.0,24.0,16.0,11.0,42.0,26.0,32.0,121.0,248.0,9.0,53.0,13.0,56.0,58.0,174.0
4081,0.0,6.0,1.0,35.0,5.0,48.0,3.0,9.0,15.0,45.0,20.0,525.0,12.0,117.0,13.0,38.0,30.0,274.0,58.0,43.0,4.0,319.0,141.0,84.0,52.0,49.0,33.0,433.0,199.0,24.0
4130,5.0,10.0,1.0,9.0,2.0,96.0,13.0,4.0,16.0,40.0,211.0,63.0,14.0,573.0,0.0,6.0,78.0,56.0,18.0,21.0,3.0,133.0,87.0,272.0,57.0,26.0,8.0,158.0,79.0,190.0
4179,15.0,10.0,8.0,7.0,35.0,13.0,20.0,18.0,4.0,11.0,422.0,6.0,42.0,453.0,1.0,36.0,16.0,144.0,37.0,38.0,0.0,46.0,163.0,56.0,78.0,34.0,2.0,49.0,9.0,14.0
4228,2.0,9.0,0.0,5.0,20.0,16.0,62.0,10.0,13.0,257.0,12.0,17.0,29.0,390.0,4.0,164.0,1.0,8.0,120.0,182.0,6.0,246.0,11.0,118.0,247.0,411.0,42.0,121.0,111.0,7.0
4277,0.0,1.0,8.0,2.0,5.0,12.0,63.0,9.0,18.0,69.0,32.0,126.0,7.0,474.0,11.0,62.0,4.0,31.0,74.0,114.0,26.0,362.0,87.0,160.0,495.0,180.0,38.0,89.0,205.0,56.0
4326,0.0,8.0,2.0,101.0,1.0,5.0,14.0,47.0,316.0,429.0,43.0,38.0,9.0,545.0,3.0,121.0,11.0,20.0,25.0,110.0,12.0,236.0,50.0,16.0,51.0,29.0,6.0,280.0,48.0,235.0
4375,1.0,2.0,0.0,14.0,5.0,347.0,13.0,49.0,211.0,48.0,60.0,3.0,96.0,402.0,82.0,24.0,105.0,45.0,6.0,368.0,12.0,128.0,65.0,19.0,78.0,77.0,259.0,236.0,305.0,27.0
4424,0.0,1.0,6.0,7.0,2.0,16.0,18.0,9.0,17.0,23.0,14.0,25.0,4.0,30.0,19.0,26.0,8.0,21.0,3.0,36.0,12.0,15.0,24.0,10.0,63.0,20.0,11.0,40.0,239.0,263.0
4473,0.0,5.0,1.0,12.0,3.0,31.0,20.0,27.0,11.0,13.0,41.0,15.0,6.0,141.0,18.0,165.0,21.0,22.0,8.0,215.0,4.0,140.0,16.0,7.0,127.0,17.0,68.0,38.0,36.0,2.0
4522,4.0,0.0,1.0,7.0,15.0,68.0,9.0,122.0,5.0,74.0,17.0,20.0,8.0,21.0,52.0,107.0,19.0,14.0,2.0,106.0,16.0,6.0,3.0,10.0,228.0,11.0,80.0,150.0,27.0,38.0
4571,24.0,4.0,0.0,47.0,13.0,40.0,170.0,30.0,14.0,5.0,6.0,37.0,2.0,31.0,1.0,252.0,44.0,3.0,67.0,207.0,70.0,279.0,22.0,7.0,324.0,101.0,20.0,34.0,35.0,25.0
4620,0.0,5.0,1.0,12.0,6.0,42.0,16.0,66.0,2.0,7.0,63.0,33.0,3.0,14.0,297.0,103.0,32.0,8.0,18.0,29.0,101.0,332.0,15.0,20.0,269.0,53.0,4.0,268.0,548.0,17.0
4669,1.0,2.0,0.0,13.0,9.0,8.0,22.0,4.0,11.0,12.0,15.0,35.0,21.0,86.0,160.0,32.0,162.0,33.0,6.0,51.0,423.0,24.0,66.0,7.0,98.0,69.0,122.0,363.0,3.0,5.0
4718,2.0,7.0,0.0,15.0,6.0,123.0,4.0,22.0,58.0,3.0,29.0,271.0,27.0,36.0,31.0,72.0,25.0,110.0,10.0,42.0,5.0,9.0,47.0,12.0,11.0,243.0,18.0,230.0,43.0,1.0
4767,1.0,0.0,4.0,3.0,13.0,44.0,101.0,72.0,22.0,7.0,11.0,16.0,63.0,36.0,26.0,45.0,61.0,29.0,9.0,244.0,47.0,19.0,2.0,42.0,46.0,146.0,12.0,415.0,194.0,14.0
4816,0.0,1.0,2.0,26.0,50.0,234.0,12.0,39.0,46.0,237.0,9.0,11.0,128.0,76.0,22.0,8.0,15.0,69.0,176.0,36.0,3.0,6.0,5.0,10.0,110.0,35.0,18.0,458.0,197.0,16.0
4865,0.0,4.0,23.0,11.0,5.0,196.0,1.0,26.0,13.0,6.0,2.0,14.0,30.0,12.0,3.0,87.0,76.0,49.0,53.0,534.0,61.0,16.0,8.0,70.0,27.0,10.0,9.0,7.0,556.0,18.0
