,TNFRSF1B,C14orf37,LMCD1,RP11-875O11.1,ARID3A,TFAP2A,MRPS31P5,RP6-109B7.3,RGL4,KIF2A,SYNC,RABGEF1,SEC14L2,PPIC,MTMR14,FLI1,KAL1,SLC39A7,SLC10A7,GLB1L2,RP11-537E18.1,KCNIP3,C16orf54,COX5BP6,RP11-227D13.2,RP11-483F11.7,FAM189A2,GALNT18,GLUL,RP11-1069G10.2
2902,86.0,69.0,556.0,19177.0,24.0,41.0,33.0,97.0,4.0,11.0,16.0,110.0,8825.0,61.0,68.0,89.0,9.0,6.0,2.0,7.0,141.0,57.0,10577.0,226.0,135.0,184.0,51.0,3.0,121.0,3701.0
2951,12.0,1.0,0.0,21.0,26.0,39.0,30.0,3.0,8.0,31.0,20.0,35.0,48.0,64.0,18.0,107.0,9036.0,16.0,63.0,367.0,5.0,16928.0,32.0,206.0,23.0,509.0,18435.0,28.0,142.0,7.0
3000,1.0,0.0,2254.0,17.0,4.0,18.0,9.0,27.0,29.0,49.0,6.0,349.0,48.0,15.0,57.0,62.0,213.0,21154.0,14508.0,31.0,70.0,10.0,106.0,77.0,28.0,3.0,366.0,426.0,67.0,35.0
3049,4.0,7.0,24.0,12.0,5.0,43.0,29.0,116.0,107.0,129.0,150.0,9.0,136.0,48.0,62.0,21.0,28.0,21017.0,14458.0,8.0,17030.0,16991.0,91.0,146.0,27.0,19872.0,81.0,112.0,613.0,188.0
3098,7.0,49.0,89.0,13.0,1.0,39.0,6.0,38.0,51.0,59.0,2.0,4.0,166.0,23.0,12.0,263.0,210.0,187.0,14536.0,19.0,75.0,978.0,116.0,130.0,283.0,1031.0,225.0,0.0,270.0,167.0
3147,0.0,2.0,4.0,405.0,1.0,76.0,10.0,56.0,24.0,88.0,8.0,3.0,158.0,93.0,58.0,94.0,9604.0,11.0,69.0,41.0,485.0,16933.0,103.0,123.0,44.0,45.0,18409.0,5320.0,17327.0,3929.0
3196,0.0,129.0,3.0,25.0,66.0,51.0,8.0,184.0,29.0,63.0,33.0,2.0,274.0,38.0,95.0,21.0,291.0,198.0,14164.0,1.0,28.0,16873.0,4687.0,100.0,250.0,19426.0,171.0,45.0,40.0,280.0
3245,2.0,346.0,4.0,18.0,31.0,14.0,17.0,16.0,77.0,67.0,8.0,13.0,9287.0,71.0,94.0,114.0,203.0,93.0,14519.0,34.0,155.0,10.0,10649.0,41.0,95.0,19.0,18457.0,0.0,174.0,253.0
3294,33.0,43.0,145.0,15.0,5.0,23.0,9.0,86.0,66.0,38.0,105.0,3.0,12.0,58.0,19.0,84.0,29.0,2005.0,134.0,53.0,117.0,16948.0,92.0,108.0,151.0,155.0,18423.0,11.0,47.0,623.0
3343,4.0,465.0,38.0,2.0,58.0,89.0,9.0,206.0,26.0,72.0,171.0,1.0,68.0,15.0,47.0,65.0,76.0,97.0,74.0,0.0,17037.0,16937.0,39.0,160.0,192.0,19899.0,290.0,59.0,221.0,180.0
