,SLCO4A1_AMP,GID8_AMP,EP300_MUT,MIR1-1_AMP,C20orf151_AMP,LOC100506384_AMP,TSSC1_DEL,NTSR1_AMP,CHRNA4_AMP,PCK1_AMP,SLMO2-ATP5E_AMP,MMP2_MUT,NBN_MUT,KCNG1_AMP,FAM92A1P2_DEL,OGFR_AMP,ATP9A_AMP,MSH3_MUT,ZNF521_MUT,DIDO1_AMP,PPP1R3D_AMP,LINC00029_AMP,NEU3_AMP,GTPBP5_AMP,PSPC1_DEL,C20orf20_AMP,XRRA1_AMP,C20orf166-AS1_AMP,FAM74A1_AMP,DPH3P1_AMP
1012,14.0,12.0,0.0,8.0,6.0,20.0,8895.0,44.0,45.0,56.0,21.0,64.0,110.0,245.0,3.0,53.0,202.0,954.0,73.0,92.0,141.0,103.0,18292.0,137.0,13.0,26.0,22.0,121.0,171.0,104.0
1061,28.0,18.0,8.0,14.0,12.0,35.0,118.0,6.0,52.0,229.0,57.0,130.0,154.0,42.0,7.0,155.0,90.0,455.0,0.0,133.0,50.0,32.0,201.0,227.0,78.0,3527.0,261.0,70.0,232.0,16049.0
1110,21.0,54.0,9.0,8.0,1.0,20.0,120.0,332.0,49.0,36.0,39.0,342.0,582.0,31.0,1473.0,135.0,29.0,158.0,0.0,109.0,37.0,110.0,2853.0,161.0,18.0,89.0,17558.0,34.0,15587.0,84.0
1159,3.0,4.0,17.0,1.0,2.0,10.0,124.0,163.0,20.0,13732.0,19253.0,2182.0,9.0,311.0,304.0,36.0,241.0,117.0,24.0,44.0,25.0,136.0,26.0,12.0,287.0,137.0,46.0,97.0,13.0,138.0
1208,39.0,9.0,0.0,7.0,2.0,45.0,292.0,27.0,82.0,401.0,295.0,500.0,84.0,367.0,20.0,88.0,242.0,52.0,12.0,143.0,69.0,171.0,31.0,241.0,28.0,21.0,65.0,210.0,89.0,172.0
1257,18.0,7.0,8.0,70.0,102.0,80.0,179.0,28.0,56.0,122.0,7568.0,8918.0,97.0,63.0,390.0,50.0,42.0,21.0,0.0,19912.0,176.0,129.0,180.0,173.0,88.0,140.0,607.0,71.0,568.0,4896.0
1306,152.0,23.0,26.0,32.0,183.0,17.0,241.0,188.0,33.0,65.0,11.0,29.0,105.0,59.0,130.0,18008.0,158.0,146.0,0.0,124.0,98.0,16126.0,174.0,193.0,95.0,16.0,56.0,191.0,156.0,88.0
1355,4.0,8.0,114.0,3.0,1.0,16.0,43.0,21.0,36.0,55.0,10.0,146.0,7.0,17.0,37.0,24.0,189.0,40.0,2.0,82.0,100.0,96.0,46.0,27.0,126.0,94.0,17529.0,109.0,6.0,95.0
1404,9.0,25.0,19.0,3.0,1.0,33.0,78.0,67.0,82.0,83.0,52.0,44.0,5.0,70.0,13.0,41.0,16501.0,101.0,97.0,156.0,58.0,185.0,59.0,262.0,605.0,133.0,71.0,214.0,2813.0,60.0
1453,5.0,15.0,0.0,4.0,3.0,115.0,8905.0,169.0,37.0,17.0,16422.0,217.0,520.0,26.0,33.0,51.0,86.0,7.0,1.0,58.0,112.0,9.0,18164.0,8.0,441.0,27.0,17538.0,92.0,83.0,16.0
1502,7.0,27.0,4.0,12.0,45.0,64.0,0.0,29.0,205.0,305.0,17049.0,128.0,63.0,244.0,51.0,124.0,42.0,250.0,111.0,2178.0,15016.0,66.0,90.0,40.0,16.0,14998.0,6.0,123.0,49.0,323.0
1551,0.0,27.0,729.0,6.0,2.0,35.0,208.0,64.0,87.0,283.0,258.0,8.0,38.0,282.0,367.0,149.0,280.0,314.0,16853.0,26.0,34.0,176.0,390.0,172.0,10.0,36.0,181.0,150.0,116.0,147.0
1600,295.0,72.0,0.0,15658.0,53.0,377.0,1.0,294.0,3282.0,14674.0,16516.0,80.0,23.0,605.0,73.0,18038.0,1473.0,16753.0,773.0,55.0,483.0,71.0,37.0,14230.0,1014.0,136.0,184.0,293.0,5.0,292.0
1649,27.0,4.0,235.0,7.0,23.0,15.0,1.0,13948.0,48.0,54.0,38.0,32.0,69.0,26.0,12.0,148.0,16.0,10.0,359.0,106.0,24.0,150.0,181.0,25.0,36.0,15945.0,16331.0,146.0,13747.0,141.0
1698,283.0,25.0,1.0,14.0,9.0,55.0,35.0,335.0,18046.0,14619.0,16470.0,348.0,119.0,342.0,7.0,81.0,285.0,16711.0,0.0,239.0,343.0,286.0,40.0,347.0,325.0,56.0,17.0,284.0,68.0,16124.0
1747,130.0,7.0,38.0,14.0,8.0,131.0,9006.0,55.0,21.0,247.0,31.0,75.0,376.0,28.0,333.0,124.0,158.0,36.0,44.0,11.0,23.0,117.0,39.0,360.0,33.0,10.0,915.0,129.0,1501.0,122.0
1796,49.0,34.0,17.0,12.0,41.0,89.0,0.0,97.0,48.0,323.0,232.0,2.0,16.0,243.0,415.0,190.0,29.0,69.0,346.0,31.0,14.0,50.0,77.0,233.0,43.0,127.0,1696.0,86.0,15592.0,38.0
1845,4.0,22.0,10.0,16.0,25.0,26.0,33.0,87.0,45.0,39.0,38.0,18.0,40.0,17.0,4186.0,130.0,62.0,103.0,11.0,111.0,156.0,131.0,517.0,34.0,2.0,133.0,489.0,129.0,15535.0,132.0
1894,157.0,16.0,3.0,2.0,5.0,26.0,291.0,188.0,53.0,292.0,68.0,0.0,17.0,46.0,19.0,34.0,81.0,663.0,139.0,135.0,6.0,158.0,1043.0,190.0,8.0,159.0,17468.0,42.0,1587.0,66.0
1943,0.0,8.0,56.0,2.0,1.0,18.0,11.0,46.0,37.0,58.0,33.0,98.0,4.0,32.0,12.0,24.0,141.0,9.0,125.0,85.0,144.0,107.0,339.0,26.0,14.0,108.0,337.0,69.0,13709.0,6304.0
1992,0.0,7.0,3.0,116.0,15.0,25.0,6.0,56.0,219.0,11.0,44.0,17.0,16698.0,190.0,151.0,65.0,16.0,477.0,135.0,127.0,170.0,145.0,49.0,14158.0,19.0,24.0,101.0,173.0,8.0,27.0
2041,1.0,6.0,0.0,25.0,10.0,20.0,28.0,11.0,34.0,2.0,46.0,130.0,59.0,256.0,5428.0,147.0,254.0,140.0,179.0,120.0,41.0,64.0,35.0,16796.0,18.0,146.0,4.0,53.0,9.0,27.0
2090,20.0,6.0,45.0,77.0,69.0,214.0,46.0,42.0,48.0,17.0,16445.0,8.0,681.0,268.0,1199.0,161.0,115.0,4.0,58.0,17962.0,256.0,53.0,2113.0,14263.0,71.0,22141.0,674.0,170.0,1.0,1310.0
2139,1.0,26.0,47.0,49.0,28.0,20989.0,9621.0,245.0,50.0,83.0,82.0,80.0,966.0,255.0,693.0,215.0,220.0,3.0,6.0,174.0,15830.0,208.0,391.0,18386.0,18.0,81.0,17110.0,247.0,2.0,218.0
2188,0.0,23.0,3.0,204.0,76.0,33.0,4.0,166.0,46.0,47.0,66.0,55.0,1062.0,298.0,920.0,78.0,243.0,49.0,54.0,92.0,241.0,164.0,11.0,14276.0,12095.0,167.0,12.0,121.0,1.0,48.0
2237,4.0,16.0,0.0,165.0,164.0,11.0,119.0,120.0,24.0,9.0,229.0,1.0,1534.0,200.0,1132.0,133.0,172.0,33.0,429.0,18034.0,20.0,76.0,302.0,14240.0,22.0,22355.0,17475.0,56.0,6.0,3.0
2286,0.0,18.0,5.0,14.0,36.0,108.0,155.0,33.0,16.0,21.0,115.0,24.0,351.0,123.0,391.0,17.0,407.0,6.0,22.0,4.0,118.0,73.0,294.0,14271.0,11021.0,71.0,648.0,87.0,1.0,72.0
2335,4.0,15.0,3.0,29.0,139.0,21.0,9223.0,28.0,36.0,2.0,37.0,1.0,91.0,153.0,83.0,120.0,72.0,0.0,102.0,97.0,14.0,118.0,55.0,18455.0,270.0,15786.0,465.0,149.0,177.0,7675.0
2384,0.0,3.0,32.0,8.0,2.0,138.0,1.0,41.0,23.0,24.0,25.0,486.0,1221.0,58.0,3091.0,18001.0,79.0,220.0,1031.0,122.0,174.0,969.0,49.0,13.0,10786.0,65.0,584.0,142.0,45.0,140.0
2433,5.0,15.0,1.0,8.0,6.0,18.0,477.0,50.0,23.0,9.0,56.0,46.0,1415.0,184.0,2889.0,17984.0,183.0,24.0,0.0,72.0,141.0,146.0,215.0,14194.0,175.0,82.0,30.0,77.0,255.0,91.0
2482,4.0,12.0,1.0,93.0,0.0,6.0,129.0,8.0,45.0,15.0,165.0,13.0,41.0,293.0,4150.0,96.0,94.0,11.0,23.0,40.0,2.0,116.0,10.0,138.0,37.0,22095.0,132.0,115.0,15519.0,44.0
2531,0.0,38.0,85.0,191.0,36.0,14.0,181.0,31.0,343.0,317.0,253.0,583.0,189.0,57.0,1.0,166.0,102.0,436.0,71.0,94.0,54.0,190.0,21.0,55.0,562.0,22128.0,11.0,126.0,840.0,44.0
2580,5.0,27.0,15.0,12.0,11.0,4.0,1393.0,38.0,361.0,32.0,13.0,168.0,1425.0,76.0,0.0,139.0,63.0,163.0,25.0,17972.0,1.0,174.0,28.0,39.0,12947.0,140.0,59.0,175.0,1092.0,78.0
2629,20.0,19.0,34.0,138.0,136.0,161.0,384.0,1.0,43.0,14095.0,2531.0,100.0,23.0,14198.0,275.0,5.0,29.0,26.0,166.0,1895.0,164.0,6600.0,145.0,7.0,59.0,235.0,348.0,51.0,92.0,1693.0
2678,1.0,23.0,15.0,17.0,9.0,39.0,46.0,4.0,70.0,35.0,60.0,10.0,226.0,48.0,0.0,105.0,52.0,3.0,94.0,110.0,11.0,187.0,18164.0,40.0,10678.0,499.0,17530.0,28.0,61.0,163.0
2727,0.0,33.0,10.0,24.0,38.0,22.0,46.0,5.0,433.0,13.0,52.0,266.0,18.0,60.0,65.0,197.0,8.0,43.0,140.0,198.0,9.0,236.0,42.0,51.0,12280.0,14347.0,1.0,234.0,531.0,118.0
2776,1.0,2.0,357.0,12.0,4.0,5.0,309.0,20.0,33.0,19.0,7.0,1494.0,17.0,29.0,23.0,13.0,6.0,217.0,22.0,51.0,8.0,87.0,1818.0,27.0,410.0,22077.0,43.0,86.0,684.0,3243.0
2825,0.0,11.0,1.0,16.0,12.0,20.0,27.0,8.0,54.0,15044.0,59.0,172.0,9.0,15210.0,38.0,10.0,345.0,33.0,56.0,168.0,5.0,65.0,63.0,40.0,163.0,22149.0,222.0,196.0,15829.0,34.0
2874,3.0,7.0,8.0,23.0,0.0,52.0,24.0,2.0,55.0,15038.0,20.0,549.0,48.0,332.0,39.0,27.0,331.0,6.0,11.0,153.0,14.0,95.0,91.0,10.0,2912.0,22109.0,17434.0,151.0,512.0,152.0
2923,0.0,11.0,175.0,23.0,4.0,6.0,71.0,5.0,17.0,18.0,8.0,225.0,510.0,58.0,1.0,125.0,42.0,9.0,2.0,83.0,184.0,84.0,3.0,30.0,977.0,381.0,272.0,156.0,447.0,126.0
2972,2.0,7.0,9.0,19.0,17611.0,13.0,9627.0,214.0,218.0,56.0,291.0,16732.0,61.0,66.0,22.0,176.0,213.0,293.0,526.0,144.0,215.0,16095.0,15.0,286.0,352.0,40.0,8.0,217.0,397.0,101.0
3021,20.0,10.0,1.0,15553.0,247.0,45.0,19.0,510.0,18107.0,572.0,371.0,129.0,62.0,302.0,16.0,214.0,303.0,77.0,204.0,182.0,22347.0,215.0,796.0,14287.0,703.0,22137.0,17536.0,248.0,1156.0,328.0
3070,0.0,24.0,135.0,13.0,23.0,212.0,3149.0,17.0,75.0,14635.0,184.0,16604.0,926.0,160.0,154.0,30.0,130.0,1978.0,55.0,52.0,248.0,171.0,34.0,250.0,14.0,865.0,1.0,79.0,968.0,44.0
3119,232.0,50.0,2.0,160.0,40.0,15.0,208.0,14582.0,18055.0,440.0,525.0,16676.0,0.0,15482.0,91.0,24.0,244.0,169.0,1124.0,272.0,411.0,182.0,956.0,475.0,9.0,65.0,2501.0,66.0,276.0,14.0
3168,2.0,12.0,0.0,6.0,4.0,24.0,8872.0,164.0,48.0,18.0,40.0,16611.0,14.0,245.0,41.0,133.0,32.0,16655.0,16873.0,108.0,34.0,59.0,62.0,33.0,16.0,132.0,77.0,95.0,5.0,155.0
3217,0.0,4.0,77.0,3.0,2.0,12.0,39.0,166.0,32.0,2485.0,52.0,108.0,1.0,210.0,476.0,6.0,167.0,4541.0,13067.0,127.0,63.0,69.0,24.0,1344.0,25.0,5.0,45.0,165.0,310.0,26.0
3266,6.0,8.0,4.0,12.0,33.0,22.0,586.0,27.0,32.0,15472.0,45.0,1191.0,78.0,163.0,655.0,59.0,234.0,564.0,441.0,123.0,129.0,50.0,182.0,17488.0,36.0,1181.0,1.0,176.0,70.0,71.0
3315,0.0,8.0,7.0,4.0,1.0,18.0,29.0,40.0,34.0,58.0,37.0,937.0,22.0,21.0,1047.0,55.0,122.0,42.0,92.0,79.0,32.0,36.0,2.0,17.0,317.0,86.0,12.0,98.0,19.0,10.0
3364,1.0,2.0,22.0,5.0,29.0,87.0,42.0,7.0,158.0,18.0,16443.0,187.0,30.0,112.0,159.0,52.0,8.0,1419.0,34.0,17988.0,107.0,72.0,391.0,12.0,235.0,1167.0,78.0,88.0,48.0,16083.0
3413,0.0,8.0,30.0,2.0,5.0,27.0,1442.0,62.0,73.0,90.0,40.0,1632.0,96.0,253.0,14.0,139.0,213.0,219.0,16818.0,137.0,32.0,164.0,251.0,28.0,166.0,138.0,141.0,165.0,122.0,13.0
3462,28.0,16.0,0.0,11.0,49.0,214.0,2.0,13.0,26.0,15022.0,16405.0,1099.0,21.0,87.0,10.0,30.0,316.0,230.0,105.0,1784.0,260.0,139.0,179.0,14299.0,1402.0,51.0,150.0,165.0,252.0,212.0
3511,3.0,78.0,0.0,12.0,143.0,15970.0,2.0,24.0,384.0,14986.0,16408.0,4.0,271.0,15271.0,76.0,25.0,483.0,139.0,485.0,17898.0,557.0,184.0,291.0,275.0,268.0,185.0,1.0,14395.0,1125.0,454.0
3560,21.0,8.0,0.0,4.0,82.0,113.0,3.0,1.0,26.0,12.0,8541.0,264.0,137.0,54.0,61.0,22.0,42.0,39.0,10808.0,95.0,136.0,92.0,19143.0,15.0,1051.0,36.0,13807.0,66.0,245.0,230.0
3609,24.0,5.0,2.0,184.0,34.0,84.0,0.0,6.0,56.0,346.0,210.0,794.0,777.0,82.0,4.0,97.0,43.0,230.0,28.0,1203.0,54.0,146.0,65.0,31.0,399.0,147.0,15.0,178.0,20.0,16089.0
3658,12.0,11.0,1.0,17.0,134.0,159.0,5.0,6.0,54.0,29.0,16443.0,25.0,223.0,64.0,4.0,111.0,15.0,135.0,759.0,488.0,161.0,132.0,368.0,27.0,1679.0,110.0,8.0,133.0,13.0,114.0
3707,49.0,9.0,0.0,20.0,23.0,141.0,21.0,13.0,53.0,58.0,17269.0,267.0,87.0,47.0,11.0,30.0,48.0,501.0,3693.0,166.0,15236.0,43.0,27.0,24.0,1264.0,92.0,2.0,7.0,1027.0,799.0
3756,57.0,7.0,1.0,231.0,25.0,173.0,2.0,21.0,4.0,96.0,16473.0,193.0,104.0,468.0,41.0,89.0,576.0,559.0,2421.0,340.0,1885.0,144.0,5.0,10.0,10735.0,145.0,9.0,18.0,15574.0,86.0
3805,8.0,7.0,0.0,34.0,165.0,124.0,1.0,5.0,262.0,62.0,1357.0,192.0,176.0,329.0,103.0,27.0,274.0,16566.0,3193.0,396.0,52.0,68.0,3.0,33.0,10758.0,136.0,29.0,164.0,81.0,16093.0
3854,141.0,5.0,118.0,12.0,15.0,25.0,195.0,28.0,11.0,414.0,16388.0,16570.0,185.0,458.0,0.0,144.0,299.0,2233.0,16838.0,79.0,78.0,143.0,22.0,99.0,10773.0,145.0,1.0,171.0,120.0,16096.0
3903,66.0,14.0,0.0,5.0,164.0,85.0,1.0,11.0,214.0,13686.0,9712.0,56.0,105.0,468.0,242.0,12.0,12800.0,338.0,357.0,359.0,15790.0,130.0,24.0,18520.0,159.0,69.0,78.0,63.0,3314.0,352.0
3952,12.0,5.0,46.0,15621.0,16.0,11.0,20.0,14563.0,29.0,23.0,17.0,1223.0,19.0,10.0,181.0,80.0,167.0,16693.0,16589.0,58.0,18.0,26.0,17951.0,14281.0,248.0,35.0,33.0,109.0,15577.0,38.0
4001,36.0,26.0,35.0,15519.0,125.0,191.0,759.0,14553.0,348.0,356.0,56.0,75.0,77.0,64.0,257.0,193.0,63.0,151.0,12.0,113.0,53.0,166.0,1392.0,14127.0,14.0,10.0,291.0,247.0,217.0,47.0
4050,23.0,18.0,206.0,272.0,31.0,5.0,1.0,14477.0,22.0,49.0,33.0,15.0,1029.0,48.0,91.0,122.0,169.0,53.0,2.0,17927.0,29.0,45.0,98.0,32.0,617.0,459.0,277.0,144.0,183.0,44.0
4099,21.0,49.0,2.0,15523.0,17557.0,66.0,36.0,312.0,306.0,15045.0,342.0,7.0,33.0,15158.0,4257.0,83.0,170.0,1.0,0.0,213.0,197.0,212.0,851.0,14286.0,249.0,269.0,53.0,14450.0,15565.0,270.0
4148,40.0,31.0,15.0,15597.0,39.0,49.0,6.0,14505.0,48.0,41.0,38.0,113.0,7.0,29.0,27.0,171.0,119.0,133.0,1463.0,147.0,14.0,146.0,209.0,360.0,10.0,22135.0,696.0,14324.0,36.0,15973.0
4197,1.0,23.0,48.0,13923.0,2.0,42.0,62.0,1113.0,399.0,328.0,245.0,387.0,0.0,323.0,4768.0,203.0,64.0,3.0,8.0,202.0,246.0,200.0,3087.0,238.0,57.0,199.0,126.0,242.0,71.0,201.0
4246,210.0,176.0,89.0,15481.0,261.0,178.0,2.0,14580.0,88.0,15043.0,212.0,63.0,13.0,148.0,914.0,209.0,334.0,22.0,133.0,179.0,207.0,177.0,1370.0,14178.0,1.0,22136.0,1704.0,259.0,1168.0,208.0
4295,26.0,18.0,13.0,15489.0,37.0,6.0,2.0,14560.0,234.0,52.0,24.0,11.0,469.0,29.0,11437.0,135.0,1551.0,0.0,345.0,67.0,41.0,112.0,1869.0,14091.0,140.0,46.0,95.0,169.0,7.0,137.0
4344,3.0,18.0,138.0,258.0,30.0,21.0,23.0,1601.0,41.0,42.0,29.0,1.0,9.0,209.0,3919.0,22.0,64.0,16565.0,219.0,109.0,28.0,3044.0,11.0,2727.0,52.0,128.0,238.0,156.0,45.0,265.0
4393,2.0,8.0,386.0,15511.0,217.0,128.0,206.0,19.0,162.0,15031.0,103.0,27.0,26.0,231.0,452.0,32.0,57.0,5.0,16789.0,85.0,142.0,84.0,18166.0,14241.0,289.0,22142.0,17553.0,129.0,99.0,64.0
4442,11.0,28.0,31.0,14.0,215.0,269.0,508.0,32.0,83.0,15099.0,16414.0,54.0,16661.0,490.0,90.0,190.0,72.0,19.0,362.0,49.0,22120.0,101.0,0.0,58.0,251.0,51.0,4.0,225.0,204.0,47.0
4491,4.0,25.0,38.0,6.0,191.0,190.0,63.0,66.0,42.0,368.0,61.0,7.0,776.0,37.0,4601.0,156.0,30.0,100.0,16786.0,29.0,67.0,157.0,1.0,14169.0,122.0,113.0,2.0,192.0,144.0,77.0
4540,9.0,20.0,22.0,11.0,10.0,25.0,6.0,140.0,39.0,38.0,15.0,123.0,159.0,31.0,246.0,114.0,26.0,2033.0,16785.0,13.0,184.0,51.0,2.0,14210.0,32.0,73.0,5.0,141.0,28.0,52.0
4589,0.0,8.0,2319.0,5.0,24.0,18.0,15.0,135.0,50.0,66.0,35.0,6.0,229.0,59.0,4525.0,118.0,43.0,47.0,113.0,103.0,23.0,119.0,11.0,25.0,26.0,120.0,2.0,70.0,3139.0,10.0
4638,23.0,27.0,4.0,48.0,229.0,28.0,0.0,970.0,16769.0,91.0,89.0,8.0,5.0,14702.0,396.0,96.0,282.0,225.0,3207.0,30.0,312.0,21068.0,11.0,90.0,19.0,313.0,3.0,311.0,26.0,77.0
4687,0.0,10.0,14.0,5.0,1.0,23.0,284.0,35.0,42.0,16.0,39.0,36.0,231.0,55.0,2191.0,41.0,46.0,177.0,401.0,34.0,31.0,59.0,2.0,33.0,15.0,106.0,29.0,118.0,50.0,811.0
4736,1.0,14.0,11.0,18.0,17487.0,66.0,24.0,165.0,302.0,88.0,84.0,13.0,846.0,252.0,4735.0,140.0,34.0,4.0,90.0,37.0,205.0,141.0,22.0,49.0,39.0,139.0,2.0,166.0,40.0,44.0
4785,28.0,14.0,1.0,5.0,16.0,18.0,49.0,35.0,93.0,20.0,60.0,131.0,10.0,22.0,280.0,166.0,38.0,342.0,1200.0,67.0,217.0,188.0,69.0,46.0,304.0,127.0,2.0,189.0,15527.0,111.0
4834,6.0,2.0,1.0,10.0,121.0,77.0,30.0,124.0,155.0,54.0,5999.0,20.0,368.0,17935.0,64.0,105.0,35.0,188.0,325.0,23487.0,159.0,107.0,21.0,156.0,245.0,14277.0,0.0,128.0,28.0,1664.0
4883,0.0,2.0,13.0,23.0,6.0,18.0,48.0,36.0,31.0,17.0,34.0,32.0,12841.0,47.0,3762.0,56.0,21.0,9463.0,3.0,19.0,33.0,69.0,7.0,26.0,28.0,55.0,61.0,136.0,3071.0,109.0
