,Bax,Caspase-7_cleavedD198,HER3,Notch1,YB-1_pS102,CD49b,XBP1,GAPDH,14-3-3_zeta,Bap1 c-4,MEK1_pS217_S221,CDK1,Chk2,G6PD,ASNS,PRAS40_pT246,PDCD4,p38_pT180_Y182,FRA1,FoxM1,HER2,Beclin,ACVRL1,PAI-1,NDRG1_pT346,RAD51,C-Raf(BD610151),Smad4,PEA15_pS116,Src_pY527
834,0.0,3.0,4.0,2.0,1.0,22.0,5.0,37.0,18.0,42.0,10.0,28.0,11.0,24.0,67.0,7.0,17.0,13.0,34.0,19.0,20.0,64.0,39.0,50.0,6.0,59.0,49.0,53.0,94.0,45.0
883,0.0,1.0,5.0,3.0,2.0,38.0,14.0,7.0,15.0,4.0,10.0,12.0,19.0,16.0,60.0,9.0,20.0,11.0,21.0,25.0,13.0,26.0,44.0,64.0,17.0,22.0,40.0,47.0,45.0,34.0
932,0.0,11.0,2.0,10.0,3.0,27.0,4.0,51.0,14.0,16.0,20.0,15.0,7.0,1.0,50.0,5.0,49.0,6.0,23.0,33.0,53.0,8.0,65.0,41.0,28.0,22.0,17.0,21.0,55.0,9.0
981,0.0,3.0,30.0,5.0,18.0,21.0,2.0,7.0,23.0,4.0,15.0,28.0,1.0,6.0,52.0,90.0,37.0,27.0,61.0,41.0,26.0,74.0,12.0,8.0,47.0,9.0,10.0,44.0,38.0,16.0
1030,0.0,1.0,8.0,7.0,3.0,17.0,13.0,6.0,2.0,5.0,82.0,39.0,18.0,10.0,9.0,59.0,67.0,22.0,32.0,36.0,25.0,56.0,43.0,21.0,46.0,12.0,57.0,23.0,61.0,11.0
1079,0.0,1.0,40.0,3.0,2.0,25.0,4.0,7.0,10.0,15.0,42.0,16.0,6.0,9.0,22.0,59.0,46.0,37.0,29.0,12.0,21.0,18.0,36.0,20.0,19.0,13.0,78.0,47.0,43.0,44.0
1128,0.0,1.0,7.0,3.0,17.0,11.0,12.0,26.0,2.0,25.0,5.0,36.0,47.0,16.0,8.0,65.0,35.0,10.0,14.0,20.0,6.0,31.0,22.0,18.0,27.0,37.0,21.0,46.0,51.0,81.0
1177,0.0,1.0,13.0,8.0,7.0,3.0,9.0,39.0,5.0,11.0,33.0,28.0,2.0,4.0,14.0,79.0,93.0,42.0,34.0,55.0,44.0,48.0,24.0,16.0,21.0,50.0,52.0,35.0,25.0,27.0
1226,0.0,3.0,8.0,1.0,37.0,21.0,13.0,6.0,9.0,10.0,48.0,50.0,4.0,5.0,18.0,81.0,67.0,28.0,16.0,23.0,42.0,41.0,55.0,12.0,17.0,11.0,51.0,15.0,39.0,29.0
1275,0.0,4.0,9.0,1.0,10.0,11.0,15.0,3.0,26.0,19.0,70.0,30.0,6.0,32.0,39.0,33.0,62.0,28.0,46.0,17.0,48.0,58.0,41.0,51.0,86.0,7.0,34.0,8.0,12.0,49.0
1324,0.0,2.0,9.0,5.0,10.0,4.0,14.0,7.0,36.0,21.0,11.0,52.0,24.0,13.0,3.0,76.0,44.0,65.0,125.0,20.0,49.0,16.0,8.0,33.0,25.0,19.0,32.0,18.0,68.0,12.0
1373,0.0,3.0,7.0,1.0,14.0,8.0,5.0,35.0,4.0,12.0,61.0,28.0,13.0,2.0,11.0,63.0,33.0,31.0,60.0,10.0,17.0,30.0,29.0,24.0,83.0,36.0,21.0,26.0,43.0,32.0
1422,0.0,2.0,27.0,3.0,8.0,1.0,6.0,21.0,5.0,47.0,11.0,53.0,30.0,37.0,12.0,108.0,67.0,18.0,22.0,23.0,29.0,25.0,7.0,41.0,10.0,13.0,20.0,9.0,52.0,46.0
1471,0.0,1.0,4.0,9.0,3.0,19.0,8.0,12.0,2.0,23.0,63.0,7.0,55.0,21.0,5.0,22.0,20.0,38.0,40.0,10.0,56.0,11.0,43.0,30.0,15.0,32.0,61.0,14.0,24.0,44.0
1520,1.0,2.0,8.0,3.0,10.0,16.0,9.0,21.0,13.0,11.0,28.0,6.0,32.0,37.0,0.0,46.0,14.0,20.0,4.0,39.0,23.0,31.0,5.0,66.0,29.0,22.0,18.0,24.0,15.0,26.0
1569,0.0,5.0,1.0,2.0,18.0,25.0,13.0,6.0,7.0,3.0,48.0,34.0,4.0,38.0,10.0,9.0,14.0,44.0,20.0,21.0,73.0,39.0,42.0,11.0,19.0,36.0,43.0,80.0,30.0,12.0
1618,0.0,1.0,13.0,5.0,7.0,2.0,25.0,26.0,19.0,6.0,35.0,11.0,3.0,39.0,12.0,28.0,23.0,51.0,45.0,17.0,27.0,31.0,4.0,59.0,8.0,30.0,24.0,44.0,38.0,32.0
1667,0.0,1.0,6.0,4.0,11.0,10.0,17.0,20.0,2.0,7.0,45.0,5.0,3.0,22.0,19.0,28.0,24.0,48.0,26.0,16.0,35.0,8.0,13.0,32.0,18.0,15.0,23.0,81.0,38.0,39.0
1716,0.0,2.0,3.0,1.0,16.0,22.0,11.0,9.0,14.0,10.0,54.0,6.0,15.0,25.0,4.0,21.0,33.0,7.0,13.0,18.0,58.0,8.0,26.0,47.0,24.0,29.0,49.0,50.0,20.0,43.0
1765,0.0,3.0,2.0,5.0,25.0,13.0,10.0,18.0,16.0,8.0,31.0,24.0,6.0,11.0,1.0,32.0,14.0,20.0,12.0,53.0,39.0,26.0,50.0,34.0,23.0,4.0,45.0,21.0,28.0,7.0
1814,0.0,2.0,13.0,3.0,10.0,19.0,6.0,5.0,7.0,15.0,14.0,17.0,4.0,12.0,9.0,16.0,1.0,34.0,11.0,23.0,18.0,35.0,21.0,26.0,25.0,36.0,20.0,29.0,33.0,30.0
1863,0.0,5.0,1.0,14.0,4.0,3.0,19.0,42.0,21.0,16.0,39.0,25.0,2.0,6.0,7.0,18.0,35.0,34.0,23.0,64.0,29.0,26.0,40.0,43.0,10.0,33.0,65.0,17.0,13.0,32.0
1912,0.0,2.0,8.0,1.0,9.0,7.0,29.0,16.0,3.0,37.0,45.0,38.0,15.0,22.0,21.0,6.0,5.0,13.0,4.0,31.0,17.0,24.0,27.0,49.0,10.0,23.0,18.0,59.0,39.0,14.0
1961,0.0,6.0,1.0,2.0,34.0,24.0,40.0,46.0,33.0,78.0,36.0,15.0,26.0,9.0,77.0,5.0,14.0,13.0,20.0,29.0,49.0,17.0,84.0,11.0,23.0,19.0,39.0,80.0,22.0,27.0
2010,0.0,5.0,1.0,23.0,37.0,15.0,19.0,57.0,64.0,27.0,17.0,3.0,40.0,28.0,46.0,21.0,4.0,13.0,10.0,29.0,11.0,14.0,54.0,18.0,31.0,72.0,44.0,32.0,36.0,53.0
2059,0.0,6.0,1.0,3.0,30.0,15.0,12.0,16.0,51.0,28.0,9.0,8.0,41.0,19.0,29.0,25.0,18.0,7.0,4.0,21.0,62.0,13.0,63.0,11.0,33.0,17.0,54.0,32.0,27.0,94.0
2108,0.0,1.0,3.0,6.0,38.0,9.0,10.0,84.0,76.0,21.0,19.0,24.0,4.0,37.0,59.0,47.0,26.0,35.0,2.0,33.0,52.0,15.0,103.0,12.0,25.0,16.0,8.0,30.0,34.0,57.0
2157,0.0,5.0,8.0,1.0,15.0,3.0,11.0,14.0,53.0,42.0,13.0,9.0,58.0,41.0,87.0,30.0,4.0,28.0,6.0,12.0,20.0,21.0,27.0,10.0,24.0,38.0,18.0,44.0,32.0,88.0
2206,0.0,4.0,3.0,1.0,36.0,5.0,7.0,38.0,29.0,55.0,8.0,42.0,37.0,34.0,85.0,9.0,6.0,12.0,14.0,15.0,84.0,22.0,68.0,21.0,47.0,25.0,74.0,33.0,19.0,52.0
2255,0.0,1.0,3.0,5.0,19.0,6.0,32.0,40.0,76.0,33.0,31.0,7.0,26.0,38.0,14.0,24.0,9.0,50.0,15.0,25.0,56.0,21.0,52.0,13.0,65.0,28.0,27.0,49.0,39.0,61.0
2304,0.0,7.0,16.0,5.0,20.0,21.0,30.0,55.0,19.0,35.0,4.0,15.0,37.0,13.0,93.0,29.0,3.0,17.0,2.0,40.0,33.0,22.0,36.0,8.0,54.0,14.0,18.0,47.0,51.0,90.0
2353,0.0,15.0,3.0,5.0,36.0,6.0,23.0,49.0,18.0,30.0,9.0,10.0,26.0,68.0,19.0,27.0,20.0,14.0,7.0,39.0,60.0,17.0,37.0,8.0,2.0,34.0,32.0,87.0,33.0,40.0
2402,0.0,3.0,1.0,6.0,19.0,2.0,11.0,20.0,21.0,43.0,33.0,35.0,50.0,45.0,56.0,25.0,24.0,14.0,26.0,18.0,51.0,9.0,29.0,59.0,12.0,17.0,86.0,7.0,32.0,70.0
2451,0.0,3.0,5.0,4.0,16.0,9.0,2.0,15.0,11.0,20.0,1.0,14.0,81.0,6.0,27.0,31.0,21.0,13.0,25.0,7.0,22.0,18.0,23.0,39.0,42.0,12.0,30.0,43.0,26.0,34.0
2500,0.0,3.0,4.0,5.0,2.0,21.0,6.0,14.0,9.0,22.0,1.0,43.0,74.0,17.0,45.0,26.0,32.0,19.0,38.0,7.0,47.0,27.0,62.0,29.0,18.0,20.0,8.0,60.0,11.0,35.0
2549,0.0,2.0,1.0,4.0,3.0,18.0,11.0,7.0,9.0,47.0,5.0,40.0,62.0,26.0,24.0,21.0,12.0,6.0,29.0,17.0,14.0,23.0,13.0,82.0,50.0,19.0,33.0,78.0,20.0,30.0
2598,0.0,2.0,1.0,4.0,8.0,10.0,29.0,3.0,23.0,43.0,19.0,35.0,44.0,7.0,38.0,15.0,6.0,20.0,40.0,42.0,13.0,31.0,39.0,27.0,52.0,26.0,25.0,65.0,9.0,70.0
2647,0.0,1.0,2.0,3.0,6.0,12.0,11.0,8.0,9.0,10.0,4.0,17.0,75.0,14.0,28.0,35.0,43.0,15.0,5.0,29.0,23.0,71.0,7.0,49.0,34.0,24.0,59.0,79.0,13.0,69.0
2696,0.0,1.0,3.0,7.0,10.0,40.0,17.0,6.0,20.0,53.0,2.0,11.0,59.0,4.0,68.0,27.0,23.0,8.0,66.0,49.0,16.0,5.0,19.0,12.0,30.0,48.0,32.0,26.0,9.0,29.0
2745,0.0,2.0,1.0,8.0,14.0,16.0,20.0,12.0,7.0,19.0,5.0,21.0,87.0,4.0,22.0,18.0,3.0,32.0,70.0,11.0,28.0,10.0,24.0,47.0,13.0,34.0,6.0,64.0,9.0,41.0
2794,0.0,4.0,5.0,3.0,2.0,9.0,19.0,16.0,11.0,12.0,1.0,13.0,36.0,6.0,28.0,21.0,33.0,7.0,57.0,14.0,37.0,31.0,17.0,20.0,29.0,61.0,15.0,62.0,8.0,30.0
2843,0.0,2.0,1.0,13.0,3.0,14.0,20.0,5.0,21.0,8.0,17.0,49.0,44.0,12.0,15.0,9.0,33.0,18.0,6.0,60.0,40.0,4.0,26.0,29.0,27.0,23.0,10.0,30.0,7.0,72.0
2892,0.0,1.0,4.0,7.0,19.0,10.0,13.0,11.0,5.0,8.0,2.0,28.0,111.0,16.0,12.0,25.0,26.0,9.0,61.0,14.0,18.0,30.0,3.0,17.0,35.0,51.0,6.0,53.0,20.0,21.0
2941,0.0,6.0,3.0,16.0,2.0,11.0,35.0,5.0,14.0,29.0,19.0,31.0,15.0,28.0,38.0,43.0,1.0,37.0,25.0,39.0,10.0,22.0,8.0,7.0,55.0,18.0,32.0,17.0,58.0,20.0
2990,1.0,6.0,23.0,38.0,4.0,10.0,34.0,3.0,46.0,40.0,17.0,25.0,59.0,29.0,0.0,24.0,2.0,13.0,31.0,28.0,27.0,9.0,5.0,7.0,32.0,33.0,19.0,16.0,60.0,43.0
3039,0.0,1.0,22.0,16.0,14.0,7.0,24.0,6.0,9.0,54.0,2.0,71.0,40.0,4.0,5.0,49.0,3.0,17.0,11.0,25.0,18.0,35.0,20.0,32.0,10.0,27.0,21.0,28.0,36.0,19.0
3088,0.0,6.0,3.0,5.0,2.0,4.0,15.0,14.0,8.0,40.0,9.0,37.0,34.0,52.0,7.0,17.0,1.0,31.0,59.0,55.0,67.0,10.0,20.0,13.0,39.0,42.0,26.0,25.0,21.0,12.0
3137,2.0,1.0,5.0,9.0,3.0,12.0,47.0,0.0,24.0,20.0,6.0,27.0,33.0,22.0,14.0,19.0,10.0,32.0,43.0,59.0,11.0,26.0,4.0,13.0,17.0,29.0,16.0,30.0,35.0,7.0
3186,0.0,3.0,5.0,8.0,1.0,13.0,25.0,10.0,19.0,69.0,11.0,16.0,36.0,6.0,64.0,9.0,2.0,18.0,70.0,29.0,21.0,41.0,4.0,17.0,31.0,35.0,37.0,14.0,32.0,26.0
3235,0.0,1.0,14.0,4.0,2.0,5.0,10.0,13.0,35.0,8.0,16.0,18.0,36.0,56.0,6.0,26.0,24.0,17.0,9.0,39.0,7.0,27.0,3.0,12.0,28.0,41.0,48.0,32.0,34.0,29.0
3284,0.0,4.0,1.0,5.0,11.0,6.0,27.0,3.0,15.0,26.0,12.0,60.0,29.0,18.0,7.0,10.0,2.0,39.0,30.0,56.0,19.0,37.0,14.0,8.0,17.0,20.0,35.0,9.0,85.0,21.0
3333,0.0,10.0,3.0,12.0,1.0,8.0,28.0,4.0,9.0,36.0,14.0,32.0,18.0,6.0,7.0,15.0,13.0,24.0,60.0,31.0,30.0,33.0,2.0,5.0,51.0,45.0,23.0,26.0,17.0,29.0
3382,0.0,2.0,11.0,8.0,1.0,3.0,50.0,4.0,10.0,19.0,34.0,48.0,97.0,22.0,5.0,7.0,9.0,26.0,30.0,47.0,14.0,25.0,17.0,12.0,15.0,18.0,16.0,21.0,43.0,44.0
3431,0.0,20.0,1.0,26.0,27.0,34.0,25.0,49.0,5.0,22.0,9.0,29.0,3.0,21.0,4.0,18.0,69.0,85.0,40.0,14.0,2.0,73.0,7.0,30.0,93.0,55.0,64.0,31.0,60.0,11.0
3480,0.0,6.0,2.0,9.0,24.0,10.0,14.0,38.0,1.0,8.0,27.0,43.0,30.0,21.0,7.0,26.0,33.0,25.0,17.0,23.0,12.0,19.0,84.0,46.0,71.0,60.0,58.0,5.0,63.0,48.0
3529,0.0,2.0,1.0,17.0,13.0,7.0,15.0,46.0,9.0,20.0,3.0,23.0,4.0,27.0,22.0,30.0,25.0,48.0,24.0,8.0,16.0,21.0,81.0,12.0,33.0,71.0,47.0,40.0,58.0,26.0
3578,1.0,3.0,0.0,2.0,7.0,28.0,12.0,22.0,19.0,10.0,9.0,11.0,16.0,4.0,14.0,24.0,47.0,62.0,23.0,21.0,15.0,26.0,27.0,36.0,55.0,51.0,82.0,13.0,52.0,17.0
3627,1.0,10.0,3.0,15.0,19.0,9.0,4.0,7.0,8.0,46.0,18.0,2.0,0.0,22.0,35.0,60.0,37.0,82.0,6.0,23.0,34.0,16.0,70.0,5.0,30.0,63.0,45.0,28.0,33.0,26.0
3676,0.0,4.0,1.0,8.0,2.0,29.0,15.0,14.0,11.0,21.0,10.0,30.0,3.0,19.0,53.0,12.0,23.0,46.0,27.0,16.0,17.0,18.0,50.0,39.0,13.0,69.0,81.0,25.0,37.0,5.0
3725,0.0,2.0,1.0,22.0,11.0,24.0,9.0,30.0,6.0,8.0,12.0,36.0,31.0,23.0,26.0,19.0,52.0,40.0,39.0,17.0,4.0,41.0,37.0,59.0,34.0,61.0,67.0,10.0,46.0,21.0
3774,1.0,2.0,0.0,11.0,18.0,6.0,35.0,8.0,7.0,14.0,4.0,43.0,3.0,40.0,28.0,23.0,19.0,49.0,26.0,31.0,10.0,38.0,39.0,12.0,13.0,55.0,74.0,9.0,81.0,17.0
3823,0.0,4.0,1.0,2.0,41.0,42.0,29.0,25.0,28.0,5.0,11.0,15.0,13.0,32.0,43.0,18.0,16.0,50.0,7.0,65.0,9.0,71.0,48.0,36.0,44.0,33.0,81.0,21.0,40.0,10.0
3872,0.0,2.0,1.0,76.0,4.0,8.0,24.0,10.0,14.0,12.0,70.0,21.0,15.0,22.0,3.0,40.0,66.0,36.0,30.0,32.0,6.0,45.0,39.0,7.0,11.0,71.0,60.0,31.0,79.0,17.0
3921,0.0,3.0,6.0,9.0,4.0,18.0,25.0,10.0,15.0,1.0,59.0,12.0,5.0,37.0,29.0,8.0,33.0,45.0,14.0,52.0,32.0,27.0,23.0,16.0,20.0,38.0,41.0,42.0,11.0,35.0
3970,0.0,4.0,3.0,1.0,15.0,54.0,26.0,9.0,40.0,29.0,16.0,6.0,2.0,39.0,51.0,11.0,25.0,45.0,23.0,47.0,12.0,33.0,7.0,8.0,19.0,10.0,13.0,14.0,55.0,31.0
4019,0.0,2.0,4.0,1.0,3.0,18.0,21.0,13.0,9.0,6.0,30.0,16.0,19.0,10.0,29.0,35.0,54.0,28.0,34.0,22.0,7.0,20.0,31.0,11.0,15.0,14.0,38.0,57.0,33.0,47.0
4068,0.0,1.0,9.0,7.0,30.0,31.0,38.0,10.0,12.0,6.0,27.0,3.0,5.0,19.0,17.0,32.0,18.0,62.0,14.0,41.0,4.0,82.0,21.0,11.0,13.0,2.0,23.0,35.0,20.0,29.0
4117,0.0,2.0,3.0,5.0,6.0,14.0,25.0,16.0,18.0,1.0,31.0,15.0,4.0,22.0,13.0,9.0,23.0,33.0,36.0,42.0,17.0,43.0,32.0,8.0,46.0,29.0,37.0,60.0,38.0,41.0
4166,0.0,3.0,5.0,13.0,7.0,19.0,54.0,31.0,28.0,10.0,41.0,6.0,8.0,38.0,77.0,17.0,2.0,18.0,4.0,93.0,1.0,15.0,14.0,9.0,22.0,23.0,11.0,70.0,25.0,58.0
4215,0.0,1.0,31.0,10.0,8.0,5.0,35.0,16.0,9.0,3.0,19.0,4.0,17.0,63.0,13.0,26.0,59.0,18.0,11.0,54.0,6.0,41.0,25.0,2.0,23.0,12.0,7.0,36.0,64.0,48.0
4264,0.0,1.0,13.0,3.0,6.0,30.0,9.0,12.0,7.0,11.0,20.0,15.0,16.0,27.0,29.0,17.0,79.0,28.0,5.0,36.0,8.0,32.0,18.0,38.0,55.0,26.0,44.0,24.0,37.0,39.0
4313,0.0,1.0,11.0,7.0,2.0,13.0,20.0,34.0,5.0,3.0,14.0,18.0,9.0,39.0,30.0,10.0,25.0,21.0,26.0,57.0,8.0,53.0,6.0,15.0,44.0,38.0,17.0,55.0,23.0,61.0
4362,0.0,3.0,18.0,6.0,9.0,21.0,71.0,7.0,20.0,12.0,35.0,26.0,1.0,2.0,44.0,14.0,30.0,24.0,61.0,19.0,15.0,53.0,4.0,13.0,66.0,10.0,25.0,67.0,11.0,38.0
4411,0.0,3.0,4.0,7.0,9.0,23.0,15.0,14.0,36.0,5.0,11.0,41.0,26.0,44.0,1.0,55.0,39.0,40.0,45.0,30.0,29.0,6.0,2.0,21.0,65.0,34.0,48.0,38.0,27.0,10.0
4460,0.0,12.0,32.0,8.0,3.0,23.0,27.0,33.0,11.0,13.0,4.0,24.0,39.0,10.0,6.0,31.0,2.0,36.0,30.0,47.0,69.0,1.0,14.0,16.0,68.0,60.0,7.0,21.0,29.0,5.0
4509,0.0,5.0,1.0,19.0,11.0,8.0,2.0,12.0,82.0,15.0,17.0,45.0,4.0,14.0,7.0,65.0,26.0,22.0,6.0,28.0,64.0,18.0,16.0,10.0,23.0,51.0,31.0,25.0,36.0,3.0
4558,0.0,2.0,3.0,5.0,4.0,25.0,6.0,57.0,51.0,1.0,9.0,24.0,8.0,18.0,29.0,34.0,16.0,17.0,76.0,7.0,66.0,31.0,56.0,52.0,46.0,72.0,23.0,40.0,10.0,21.0
4607,0.0,1.0,4.0,5.0,2.0,10.0,16.0,75.0,86.0,8.0,11.0,30.0,20.0,18.0,3.0,34.0,6.0,63.0,28.0,15.0,33.0,12.0,21.0,55.0,37.0,57.0,17.0,41.0,23.0,7.0
4656,4.0,2.0,6.0,35.0,1.0,16.0,3.0,22.0,67.0,27.0,5.0,11.0,0.0,48.0,29.0,32.0,24.0,26.0,30.0,20.0,73.0,9.0,41.0,40.0,115.0,106.0,12.0,34.0,25.0,43.0
4705,0.0,9.0,1.0,3.0,10.0,18.0,33.0,7.0,19.0,17.0,12.0,45.0,26.0,2.0,4.0,15.0,5.0,11.0,64.0,23.0,81.0,22.0,67.0,37.0,28.0,57.0,8.0,21.0,34.0,6.0
4754,0.0,8.0,3.0,2.0,12.0,6.0,11.0,24.0,13.0,46.0,1.0,81.0,5.0,16.0,4.0,25.0,15.0,10.0,31.0,7.0,62.0,21.0,23.0,17.0,64.0,79.0,22.0,36.0,32.0,9.0
4803,0.0,4.0,2.0,13.0,10.0,5.0,33.0,12.0,56.0,23.0,14.0,24.0,1.0,31.0,6.0,17.0,21.0,9.0,25.0,32.0,76.0,15.0,8.0,103.0,29.0,26.0,42.0,18.0,19.0,3.0
4852,0.0,3.0,1.0,27.0,4.0,8.0,22.0,15.0,42.0,9.0,20.0,51.0,46.0,5.0,2.0,21.0,7.0,23.0,43.0,29.0,62.0,12.0,17.0,30.0,57.0,24.0,19.0,60.0,18.0,6.0
