,Porin,Caspase-7_cleavedD198,C-Raf_pS338,STAT5-alpha,IRS1,Beclin,Acetyl-a-Tubulin (Lys40),p90RSK_pT359_S363,P-Cadherin,CD49b,Cyclin_E2,GATA3,IGFBP2,FRA1,Claudin-7,4E-BP1_pT37_T46,PAI-1,Rb_pS807_S811,ETS-1,HSP70,G6PD,PRDX1,Bcl-2,Bap1 c-4,CD31,NDRG1_pT346,PI3K-p110-alpha,C-Raf(BD610151),Src_pY416,PEA15_pS116
640,3.0,1.0,9.0,5.0,0.0,16.0,106.0,14.0,12.0,4.0,7.0,2.0,6.0,8.0,27.0,21.0,46.0,70.0,25.0,15.0,28.0,77.0,11.0,23.0,10.0,26.0,17.0,112.0,24.0,38.0
689,4.0,5.0,7.0,3.0,0.0,12.0,8.0,15.0,17.0,9.0,14.0,2.0,6.0,16.0,24.0,27.0,13.0,39.0,28.0,25.0,31.0,10.0,36.0,33.0,20.0,23.0,1.0,89.0,37.0,86.0
738,1.0,4.0,23.0,2.0,0.0,6.0,5.0,9.0,26.0,12.0,7.0,3.0,8.0,19.0,31.0,16.0,52.0,24.0,11.0,17.0,18.0,25.0,14.0,30.0,32.0,13.0,22.0,96.0,39.0,70.0
787,1.0,4.0,3.0,7.0,0.0,2.0,21.0,27.0,9.0,8.0,5.0,6.0,13.0,14.0,29.0,19.0,15.0,73.0,11.0,28.0,122.0,10.0,12.0,25.0,98.0,49.0,17.0,101.0,64.0,38.0
836,1.0,2.0,4.0,8.0,0.0,9.0,23.0,10.0,17.0,6.0,21.0,3.0,24.0,5.0,28.0,26.0,29.0,33.0,22.0,12.0,126.0,19.0,7.0,99.0,36.0,14.0,16.0,87.0,30.0,84.0
885,1.0,4.0,2.0,9.0,0.0,7.0,26.0,6.0,3.0,10.0,11.0,5.0,16.0,19.0,109.0,15.0,12.0,17.0,22.0,29.0,8.0,33.0,94.0,32.0,21.0,44.0,14.0,23.0,27.0,81.0
934,2.0,8.0,6.0,17.0,0.0,1.0,4.0,7.0,10.0,12.0,21.0,5.0,3.0,9.0,11.0,18.0,23.0,28.0,20.0,38.0,116.0,16.0,25.0,27.0,36.0,22.0,14.0,32.0,13.0,82.0
983,0.0,1.0,2.0,6.0,13.0,11.0,10.0,4.0,23.0,15.0,16.0,5.0,14.0,33.0,22.0,27.0,19.0,3.0,120.0,12.0,8.0,25.0,98.0,7.0,21.0,9.0,38.0,111.0,26.0,18.0
1032,0.0,3.0,22.0,12.0,6.0,10.0,17.0,2.0,28.0,1.0,4.0,134.0,13.0,24.0,89.0,23.0,27.0,18.0,9.0,5.0,8.0,72.0,19.0,11.0,118.0,7.0,25.0,96.0,64.0,20.0
1081,0.0,4.0,9.0,23.0,13.0,36.0,5.0,1.0,12.0,14.0,7.0,3.0,11.0,2.0,32.0,37.0,22.0,33.0,21.0,17.0,6.0,24.0,28.0,35.0,31.0,29.0,10.0,93.0,34.0,8.0
1130,0.0,2.0,5.0,1.0,4.0,99.0,12.0,6.0,10.0,3.0,7.0,19.0,18.0,21.0,112.0,8.0,42.0,16.0,37.0,24.0,13.0,29.0,28.0,9.0,23.0,31.0,14.0,114.0,15.0,27.0
1179,0.0,1.0,4.0,20.0,3.0,14.0,17.0,2.0,7.0,15.0,9.0,5.0,23.0,19.0,27.0,36.0,18.0,6.0,28.0,13.0,10.0,16.0,35.0,8.0,24.0,30.0,25.0,94.0,38.0,26.0
1228,0.0,6.0,13.0,19.0,4.0,29.0,38.0,1.0,8.0,2.0,10.0,5.0,18.0,12.0,45.0,42.0,34.0,21.0,24.0,7.0,17.0,15.0,110.0,3.0,23.0,26.0,27.0,93.0,9.0,14.0
1277,1.0,0.0,5.0,9.0,8.0,18.0,2.0,4.0,13.0,6.0,3.0,11.0,10.0,16.0,24.0,115.0,20.0,36.0,37.0,25.0,117.0,15.0,33.0,7.0,14.0,30.0,81.0,99.0,38.0,22.0
1326,1.0,4.0,3.0,5.0,2.0,15.0,6.0,0.0,13.0,10.0,11.0,14.0,20.0,9.0,27.0,16.0,22.0,17.0,130.0,8.0,24.0,29.0,23.0,12.0,32.0,18.0,72.0,114.0,7.0,19.0
1375,0.0,1.0,15.0,3.0,5.0,16.0,17.0,2.0,10.0,11.0,9.0,6.0,124.0,4.0,37.0,110.0,21.0,12.0,128.0,23.0,13.0,18.0,31.0,14.0,7.0,19.0,38.0,30.0,65.0,8.0
1424,0.0,2.0,3.0,7.0,5.0,36.0,22.0,1.0,29.0,8.0,4.0,6.0,21.0,9.0,33.0,17.0,19.0,12.0,20.0,26.0,14.0,80.0,98.0,11.0,91.0,27.0,15.0,92.0,13.0,10.0
1473,2.0,1.0,15.0,0.0,18.0,4.0,12.0,8.0,9.0,3.0,7.0,23.0,20.0,11.0,5.0,13.0,44.0,38.0,22.0,39.0,17.0,24.0,27.0,10.0,95.0,14.0,81.0,33.0,36.0,25.0
1522,3.0,0.0,22.0,1.0,7.0,2.0,16.0,4.0,12.0,6.0,9.0,24.0,10.0,5.0,18.0,8.0,28.0,29.0,26.0,23.0,33.0,25.0,105.0,27.0,38.0,20.0,32.0,11.0,67.0,68.0
1571,3.0,2.0,28.0,0.0,1.0,4.0,14.0,6.0,13.0,7.0,24.0,5.0,8.0,10.0,16.0,33.0,21.0,11.0,18.0,15.0,26.0,12.0,32.0,22.0,121.0,25.0,55.0,17.0,113.0,20.0
1620,5.0,0.0,14.0,2.0,9.0,4.0,7.0,1.0,11.0,10.0,6.0,26.0,16.0,3.0,8.0,32.0,24.0,25.0,13.0,29.0,108.0,31.0,17.0,28.0,118.0,33.0,62.0,22.0,76.0,30.0
1669,4.0,3.0,32.0,0.0,9.0,7.0,23.0,2.0,15.0,10.0,11.0,5.0,33.0,1.0,24.0,120.0,29.0,12.0,8.0,36.0,22.0,18.0,19.0,13.0,98.0,17.0,53.0,21.0,54.0,87.0
1718,1.0,0.0,6.0,2.0,30.0,7.0,33.0,3.0,8.0,15.0,11.0,27.0,17.0,4.0,12.0,18.0,24.0,28.0,20.0,16.0,14.0,10.0,124.0,31.0,93.0,9.0,81.0,19.0,62.0,26.0
1767,1.0,4.0,9.0,2.0,14.0,3.0,11.0,5.0,7.0,0.0,28.0,35.0,17.0,23.0,10.0,108.0,30.0,21.0,19.0,13.0,8.0,75.0,24.0,18.0,29.0,12.0,80.0,38.0,63.0,37.0
1816,0.0,1.0,6.0,5.0,4.0,3.0,24.0,12.0,11.0,7.0,32.0,9.0,26.0,2.0,10.0,37.0,8.0,20.0,16.0,118.0,39.0,18.0,30.0,100.0,29.0,15.0,82.0,27.0,66.0,83.0
1865,2.0,0.0,14.0,1.0,25.0,3.0,34.0,18.0,6.0,10.0,12.0,31.0,15.0,5.0,4.0,21.0,16.0,7.0,33.0,115.0,28.0,29.0,13.0,22.0,87.0,24.0,84.0,9.0,65.0,19.0
1914,1.0,5.0,10.0,0.0,4.0,6.0,7.0,13.0,20.0,12.0,3.0,16.0,37.0,2.0,27.0,119.0,23.0,29.0,17.0,14.0,15.0,33.0,28.0,40.0,91.0,11.0,26.0,18.0,62.0,30.0
1963,0.0,2.0,17.0,1.0,14.0,15.0,5.0,4.0,8.0,18.0,13.0,3.0,9.0,37.0,11.0,23.0,46.0,83.0,24.0,26.0,20.0,27.0,32.0,29.0,28.0,40.0,43.0,10.0,69.0,41.0
2012,0.0,2.0,8.0,1.0,9.0,6.0,12.0,10.0,13.0,5.0,4.0,3.0,18.0,26.0,16.0,31.0,40.0,72.0,121.0,14.0,25.0,15.0,24.0,102.0,93.0,22.0,34.0,36.0,33.0,84.0
2061,2.0,0.0,7.0,1.0,8.0,14.0,16.0,13.0,4.0,12.0,5.0,3.0,9.0,30.0,23.0,11.0,26.0,17.0,25.0,20.0,6.0,19.0,97.0,99.0,29.0,36.0,37.0,27.0,15.0,35.0
2110,10.0,0.0,8.0,2.0,5.0,15.0,30.0,14.0,11.0,6.0,1.0,25.0,27.0,23.0,31.0,26.0,52.0,41.0,34.0,113.0,13.0,3.0,18.0,108.0,40.0,16.0,57.0,9.0,67.0,85.0
2159,8.0,1.0,10.0,0.0,17.0,13.0,5.0,16.0,4.0,23.0,3.0,19.0,28.0,125.0,18.0,30.0,12.0,31.0,126.0,6.0,2.0,77.0,9.0,103.0,25.0,21.0,54.0,22.0,39.0,82.0
2208,2.0,0.0,4.0,1.0,21.0,3.0,11.0,8.0,5.0,6.0,15.0,7.0,27.0,34.0,16.0,19.0,17.0,12.0,125.0,28.0,13.0,10.0,36.0,109.0,24.0,51.0,80.0,18.0,31.0,81.0
2257,4.0,1.0,24.0,0.0,17.0,8.0,7.0,21.0,13.0,2.0,6.0,15.0,19.0,3.0,5.0,131.0,36.0,71.0,129.0,116.0,25.0,20.0,28.0,101.0,14.0,32.0,74.0,42.0,43.0,75.0
2306,0.0,2.0,19.0,1.0,8.0,23.0,3.0,5.0,15.0,9.0,6.0,21.0,16.0,26.0,28.0,11.0,33.0,24.0,17.0,35.0,14.0,12.0,106.0,109.0,95.0,30.0,77.0,7.0,67.0,51.0
2355,2.0,0.0,9.0,1.0,12.0,21.0,8.0,6.0,19.0,3.0,5.0,7.0,15.0,13.0,26.0,22.0,61.0,11.0,111.0,17.0,4.0,20.0,18.0,28.0,14.0,29.0,81.0,16.0,77.0,82.0
2404,1.0,0.0,9.0,5.0,8.0,3.0,2.0,7.0,29.0,4.0,6.0,13.0,20.0,24.0,12.0,28.0,11.0,36.0,35.0,122.0,10.0,16.0,27.0,112.0,23.0,18.0,40.0,15.0,34.0,41.0
2453,0.0,2.0,1.0,11.0,10.0,16.0,7.0,3.0,5.0,23.0,6.0,8.0,29.0,14.0,28.0,38.0,41.0,80.0,93.0,24.0,26.0,25.0,9.0,96.0,4.0,39.0,13.0,17.0,70.0,48.0
2502,5.0,14.0,7.0,9.0,8.0,6.0,0.0,1.0,3.0,90.0,113.0,2.0,116.0,4.0,20.0,107.0,25.0,27.0,123.0,31.0,12.0,62.0,10.0,99.0,24.0,23.0,19.0,13.0,28.0,22.0
2551,0.0,2.0,1.0,7.0,5.0,6.0,8.0,3.0,12.0,10.0,9.0,16.0,27.0,4.0,18.0,108.0,31.0,63.0,28.0,20.0,26.0,13.0,19.0,99.0,22.0,24.0,14.0,11.0,75.0,36.0
2600,2.0,0.0,5.0,6.0,3.0,18.0,11.0,10.0,1.0,20.0,13.0,16.0,121.0,12.0,88.0,23.0,35.0,7.0,120.0,27.0,8.0,29.0,15.0,99.0,28.0,33.0,37.0,4.0,30.0,17.0
2649,2.0,5.0,1.0,26.0,0.0,15.0,4.0,9.0,8.0,25.0,6.0,7.0,27.0,12.0,20.0,18.0,38.0,69.0,104.0,30.0,14.0,16.0,11.0,118.0,22.0,29.0,17.0,13.0,31.0,79.0
2698,2.0,12.0,1.0,14.0,0.0,4.0,18.0,11.0,8.0,33.0,7.0,6.0,112.0,13.0,38.0,118.0,49.0,16.0,24.0,39.0,90.0,20.0,17.0,43.0,29.0,46.0,34.0,3.0,80.0,27.0
2747,7.0,2.0,0.0,20.0,14.0,1.0,4.0,9.0,3.0,12.0,19.0,10.0,36.0,8.0,32.0,33.0,35.0,77.0,34.0,6.0,22.0,81.0,5.0,97.0,17.0,46.0,25.0,15.0,18.0,30.0
2796,2.0,3.0,0.0,6.0,8.0,5.0,11.0,4.0,1.0,7.0,12.0,15.0,25.0,14.0,29.0,110.0,37.0,67.0,126.0,23.0,120.0,77.0,35.0,98.0,21.0,50.0,19.0,26.0,9.0,85.0
2845,0.0,11.0,3.0,22.0,7.0,13.0,5.0,1.0,6.0,4.0,8.0,25.0,29.0,26.0,30.0,125.0,48.0,28.0,117.0,24.0,12.0,81.0,33.0,128.0,9.0,16.0,38.0,14.0,23.0,42.0
2894,0.0,9.0,3.0,19.0,5.0,6.0,16.0,29.0,2.0,34.0,4.0,21.0,123.0,1.0,36.0,107.0,18.0,31.0,119.0,20.0,25.0,78.0,15.0,96.0,8.0,7.0,23.0,12.0,38.0,27.0
2943,0.0,18.0,6.0,36.0,4.0,15.0,2.0,12.0,7.0,5.0,3.0,8.0,9.0,20.0,1.0,10.0,21.0,28.0,26.0,115.0,125.0,33.0,16.0,13.0,19.0,25.0,41.0,94.0,35.0,23.0
2992,0.0,7.0,3.0,11.0,14.0,13.0,5.0,15.0,2.0,9.0,1.0,22.0,12.0,6.0,4.0,10.0,57.0,27.0,20.0,111.0,123.0,23.0,18.0,17.0,91.0,34.0,26.0,94.0,31.0,78.0
3041,4.0,22.0,6.0,35.0,3.0,34.0,1.0,9.0,2.0,5.0,18.0,13.0,10.0,26.0,0.0,11.0,24.0,19.0,110.0,28.0,126.0,73.0,7.0,31.0,33.0,49.0,39.0,12.0,65.0,40.0
3090,3.0,10.0,1.0,32.0,17.0,37.0,9.0,4.0,0.0,5.0,6.0,35.0,7.0,28.0,33.0,16.0,12.0,22.0,20.0,114.0,122.0,81.0,21.0,2.0,14.0,36.0,47.0,24.0,65.0,38.0
3139,0.0,3.0,4.0,18.0,20.0,14.0,1.0,7.0,9.0,32.0,2.0,30.0,8.0,16.0,5.0,12.0,52.0,21.0,110.0,117.0,25.0,81.0,101.0,26.0,6.0,46.0,39.0,27.0,22.0,40.0
3188,1.0,17.0,12.0,45.0,8.0,19.0,0.0,4.0,2.0,7.0,10.0,31.0,11.0,22.0,3.0,5.0,86.0,26.0,27.0,121.0,20.0,73.0,33.0,9.0,16.0,54.0,30.0,15.0,64.0,18.0
3237,1.0,33.0,0.0,24.0,16.0,14.0,7.0,6.0,9.0,17.0,3.0,11.0,8.0,12.0,2.0,23.0,10.0,36.0,22.0,15.0,37.0,73.0,41.0,13.0,29.0,35.0,18.0,99.0,38.0,34.0
3286,4.0,10.0,0.0,17.0,3.0,13.0,2.0,14.0,6.0,5.0,8.0,28.0,21.0,7.0,1.0,11.0,29.0,19.0,34.0,126.0,125.0,76.0,26.0,15.0,25.0,46.0,31.0,18.0,63.0,43.0
3335,3.0,19.0,2.0,34.0,7.0,9.0,1.0,13.0,5.0,6.0,4.0,17.0,14.0,23.0,0.0,10.0,21.0,12.0,16.0,25.0,127.0,83.0,22.0,11.0,15.0,37.0,27.0,18.0,67.0,42.0
3384,0.0,6.0,7.0,3.0,14.0,13.0,11.0,25.0,1.0,2.0,4.0,8.0,23.0,118.0,5.0,15.0,19.0,22.0,124.0,128.0,117.0,34.0,21.0,26.0,12.0,17.0,33.0,93.0,32.0,58.0
3433,0.0,3.0,2.0,4.0,14.0,11.0,27.0,6.0,15.0,5.0,8.0,31.0,16.0,9.0,17.0,23.0,1.0,74.0,13.0,29.0,28.0,30.0,7.0,104.0,40.0,47.0,55.0,35.0,20.0,36.0
3482,0.0,10.0,1.0,4.0,2.0,5.0,8.0,15.0,25.0,6.0,96.0,125.0,7.0,34.0,32.0,22.0,18.0,28.0,9.0,24.0,19.0,16.0,11.0,99.0,14.0,17.0,49.0,38.0,3.0,36.0
3531,3.0,5.0,1.0,17.0,2.0,4.0,10.0,8.0,0.0,6.0,119.0,120.0,13.0,18.0,31.0,107.0,25.0,7.0,21.0,23.0,122.0,28.0,12.0,100.0,112.0,26.0,44.0,29.0,19.0,9.0
3580,1.0,2.0,13.0,8.0,4.0,0.0,7.0,19.0,6.0,5.0,11.0,17.0,29.0,18.0,16.0,110.0,9.0,31.0,26.0,40.0,36.0,27.0,20.0,23.0,10.0,57.0,82.0,33.0,30.0,12.0
3629,0.0,8.0,4.0,7.0,3.0,1.0,9.0,6.0,15.0,2.0,16.0,18.0,11.0,33.0,31.0,25.0,12.0,79.0,5.0,23.0,21.0,72.0,10.0,27.0,90.0,40.0,47.0,93.0,24.0,14.0
3678,0.0,9.0,5.0,7.0,4.0,1.0,14.0,10.0,3.0,2.0,17.0,121.0,24.0,8.0,27.0,21.0,20.0,72.0,29.0,32.0,12.0,13.0,100.0,11.0,18.0,26.0,39.0,38.0,6.0,16.0
3727,0.0,3.0,4.0,7.0,23.0,1.0,5.0,13.0,9.0,2.0,39.0,22.0,123.0,24.0,87.0,37.0,6.0,17.0,15.0,43.0,121.0,26.0,14.0,31.0,21.0,25.0,75.0,32.0,12.0,8.0
3776,1.0,11.0,6.0,3.0,5.0,2.0,8.0,7.0,13.0,0.0,9.0,127.0,29.0,16.0,93.0,34.0,26.0,12.0,4.0,33.0,130.0,22.0,20.0,28.0,27.0,31.0,10.0,101.0,35.0,18.0
3825,2.0,13.0,7.0,12.0,3.0,1.0,8.0,5.0,15.0,0.0,10.0,124.0,117.0,28.0,14.0,111.0,22.0,40.0,6.0,31.0,128.0,4.0,25.0,33.0,35.0,38.0,83.0,98.0,11.0,20.0
3874,0.0,7.0,4.0,19.0,1.0,2.0,23.0,25.0,11.0,6.0,20.0,29.0,13.0,27.0,3.0,109.0,5.0,14.0,15.0,33.0,115.0,8.0,36.0,9.0,87.0,45.0,66.0,26.0,17.0,12.0
3923,2.0,35.0,29.0,3.0,5.0,8.0,1.0,0.0,22.0,4.0,11.0,19.0,15.0,34.0,21.0,9.0,17.0,20.0,25.0,6.0,112.0,16.0,14.0,24.0,36.0,23.0,10.0,106.0,31.0,33.0
3972,0.0,1.0,13.0,2.0,4.0,10.0,108.0,5.0,25.0,24.0,33.0,17.0,6.0,123.0,7.0,20.0,26.0,3.0,31.0,37.0,120.0,29.0,100.0,9.0,90.0,12.0,36.0,115.0,23.0,39.0
4021,2.0,0.0,27.0,7.0,14.0,15.0,10.0,6.0,3.0,23.0,35.0,8.0,21.0,13.0,17.0,20.0,11.0,1.0,25.0,16.0,36.0,30.0,28.0,5.0,96.0,37.0,24.0,32.0,26.0,12.0
4070,0.0,2.0,9.0,6.0,37.0,3.0,1.0,15.0,18.0,7.0,35.0,4.0,5.0,34.0,24.0,13.0,20.0,12.0,29.0,8.0,10.0,22.0,128.0,11.0,103.0,25.0,23.0,106.0,28.0,21.0
4119,0.0,14.0,20.0,2.0,16.0,6.0,5.0,3.0,10.0,31.0,118.0,8.0,1.0,30.0,87.0,104.0,15.0,7.0,11.0,12.0,17.0,33.0,40.0,9.0,90.0,28.0,4.0,85.0,26.0,22.0
4168,0.0,3.0,10.0,11.0,5.0,1.0,2.0,8.0,7.0,24.0,21.0,6.0,9.0,117.0,4.0,20.0,33.0,19.0,119.0,16.0,116.0,13.0,98.0,14.0,27.0,39.0,17.0,112.0,12.0,30.0
4217,0.0,5.0,2.0,3.0,6.0,1.0,22.0,9.0,19.0,16.0,27.0,7.0,14.0,23.0,15.0,8.0,11.0,21.0,117.0,93.0,113.0,66.0,30.0,4.0,24.0,45.0,12.0,39.0,46.0,20.0
4266,1.0,3.0,5.0,22.0,0.0,6.0,12.0,19.0,2.0,17.0,15.0,34.0,7.0,26.0,25.0,39.0,21.0,13.0,27.0,14.0,37.0,30.0,92.0,9.0,96.0,11.0,4.0,99.0,10.0,79.0
4315,1.0,4.0,5.0,0.0,25.0,3.0,8.0,6.0,2.0,14.0,15.0,12.0,19.0,34.0,86.0,13.0,9.0,29.0,16.0,7.0,32.0,76.0,21.0,26.0,90.0,47.0,17.0,31.0,18.0,66.0
4364,0.0,10.0,8.0,13.0,21.0,7.0,31.0,1.0,2.0,15.0,117.0,37.0,3.0,22.0,18.0,23.0,5.0,4.0,125.0,16.0,24.0,40.0,100.0,14.0,92.0,9.0,6.0,29.0,32.0,19.0
4413,1.0,17.0,0.0,12.0,10.0,6.0,3.0,19.0,24.0,4.0,14.0,2.0,16.0,20.0,13.0,23.0,18.0,27.0,5.0,34.0,8.0,15.0,92.0,94.0,31.0,28.0,80.0,22.0,32.0,81.0
4462,9.0,16.0,2.0,18.0,5.0,8.0,1.0,6.0,10.0,17.0,14.0,4.0,11.0,20.0,0.0,15.0,7.0,36.0,3.0,22.0,12.0,77.0,13.0,23.0,87.0,21.0,24.0,90.0,33.0,19.0
4511,2.0,0.0,4.0,6.0,1.0,5.0,3.0,9.0,8.0,24.0,14.0,17.0,7.0,16.0,10.0,29.0,12.0,75.0,11.0,26.0,28.0,21.0,31.0,30.0,32.0,44.0,27.0,19.0,23.0,25.0
4560,6.0,10.0,0.0,2.0,4.0,1.0,3.0,24.0,14.0,25.0,13.0,7.0,20.0,5.0,15.0,16.0,17.0,27.0,11.0,23.0,19.0,22.0,97.0,12.0,37.0,52.0,30.0,9.0,64.0,83.0
4609,1.0,4.0,6.0,11.0,5.0,7.0,0.0,21.0,30.0,14.0,8.0,19.0,10.0,16.0,2.0,32.0,9.0,26.0,20.0,119.0,22.0,15.0,25.0,18.0,88.0,46.0,66.0,116.0,33.0,23.0
4658,1.0,10.0,0.0,8.0,5.0,13.0,7.0,30.0,6.0,27.0,2.0,12.0,116.0,19.0,9.0,31.0,18.0,32.0,4.0,11.0,15.0,75.0,24.0,94.0,17.0,50.0,80.0,16.0,65.0,34.0
4707,5.0,2.0,1.0,20.0,4.0,13.0,0.0,27.0,12.0,8.0,7.0,24.0,10.0,22.0,11.0,19.0,3.0,23.0,15.0,6.0,39.0,18.0,30.0,9.0,32.0,47.0,70.0,94.0,25.0,35.0
4756,1.0,4.0,0.0,7.0,3.0,13.0,15.0,19.0,10.0,6.0,12.0,17.0,18.0,32.0,8.0,33.0,29.0,27.0,30.0,2.0,16.0,35.0,100.0,95.0,14.0,44.0,80.0,21.0,22.0,71.0
4805,1.0,17.0,0.0,2.0,9.0,7.0,13.0,47.0,23.0,21.0,3.0,8.0,14.0,31.0,4.0,18.0,6.0,32.0,5.0,16.0,19.0,10.0,22.0,25.0,28.0,50.0,20.0,26.0,65.0,30.0
4854,6.0,3.0,0.0,2.0,11.0,10.0,1.0,21.0,5.0,14.0,7.0,22.0,17.0,15.0,8.0,18.0,31.0,72.0,20.0,123.0,24.0,13.0,96.0,25.0,87.0,45.0,29.0,12.0,63.0,16.0
