,hsa-miR-548d-5p,hsa-miR-96,hsa-miR-320b,ebv-miR-BART12,hsa-miR-563,hsa-miR-136,hsa-miR-1,hsa-miR-548d-3p,hsa-miR-625,hsa-miR-567,hsa-miR-518c,hsa-miR-663b,hsa-miR-424,hsa-miR-214,hsa-miR-323-5p,hsa-miR-508-3p,hsa-miR-1178,hsa-miR-515-3p,hsa-miR-574-5p,hsa-miR-591,hsa-miR-224,hsa-miR-186,hsa-miR-361-5p,hcmv-miR-UL148D,ebv-miR-BART9,hsa-miR-335,ebv-miR-BART21-5p,hsa-miR-519e,hsa-miR-198,hsa-miR-654-5p
2175,55.0,16.0,17.0,21.0,66.0,47.0,458.0,39.0,1.0,10.0,74.0,83.0,139.0,401.0,115.0,529.0,72.0,44.0,78.0,205.0,88.0,23.0,96.0,4.0,24.0,620.0,97.0,548.0,117.0,104.0
2224,14.0,16.0,5.0,65.0,53.0,126.0,23.0,34.0,77.0,50.0,106.0,131.0,172.0,78.0,45.0,533.0,86.0,31.0,44.0,214.0,111.0,144.0,20.0,153.0,255.0,617.0,57.0,549.0,415.0,32.0
2273,13.0,39.0,24.0,50.0,132.0,100.0,41.0,30.0,112.0,131.0,73.0,27.0,528.0,499.0,134.0,531.0,52.0,14.0,87.0,155.0,81.0,110.0,8.0,67.0,244.0,626.0,251.0,161.0,44.0,129.0
2322,22.0,30.0,14.0,17.0,19.0,59.0,40.0,42.0,27.0,13.0,77.0,343.0,124.0,89.0,150.0,524.0,119.0,44.0,50.0,142.0,120.0,52.0,10.0,113.0,32.0,590.0,274.0,538.0,407.0,135.0
2371,38.0,28.0,5.0,58.0,175.0,79.0,54.0,56.0,31.0,0.0,73.0,226.0,137.0,510.0,41.0,45.0,88.0,1.0,110.0,92.0,125.0,130.0,104.0,36.0,102.0,97.0,25.0,533.0,472.0,146.0
2420,62.0,43.0,11.0,98.0,0.0,21.0,289.0,91.0,17.0,226.0,82.0,32.0,580.0,494.0,47.0,78.0,7.0,536.0,146.0,265.0,70.0,26.0,35.0,278.0,104.0,439.0,132.0,71.0,76.0,59.0
2469,28.0,10.0,14.0,23.0,65.0,11.0,3.0,59.0,79.0,88.0,172.0,99.0,26.0,63.0,93.0,94.0,73.0,70.0,138.0,58.0,60.0,98.0,89.0,80.0,41.0,624.0,128.0,25.0,39.0,122.0
2518,15.0,22.0,24.0,65.0,255.0,14.0,3.0,63.0,21.0,68.0,171.0,64.0,84.0,42.0,97.0,532.0,126.0,69.0,155.0,81.0,76.0,44.0,28.0,105.0,30.0,623.0,222.0,41.0,417.0,142.0
2567,29.0,150.0,20.0,10.0,136.0,65.0,147.0,48.0,320.0,85.0,145.0,11.0,30.0,590.0,99.0,116.0,66.0,12.0,43.0,64.0,63.0,106.0,82.0,134.0,68.0,37.0,98.0,59.0,402.0,142.0
2616,26.0,73.0,20.0,10.0,58.0,8.0,9.0,133.0,77.0,40.0,140.0,18.0,68.0,171.0,79.0,116.0,108.0,87.0,111.0,22.0,41.0,103.0,149.0,97.0,35.0,57.0,34.0,65.0,491.0,187.0
2665,18.0,83.0,3.0,103.0,19.0,138.0,137.0,123.0,183.0,198.0,25.0,15.0,85.0,60.0,110.0,84.0,104.0,559.0,93.0,10.0,76.0,91.0,180.0,140.0,6.0,624.0,101.0,73.0,126.0,134.0
2714,36.0,90.0,9.0,19.0,246.0,15.0,150.0,62.0,13.0,50.0,107.0,92.0,14.0,586.0,124.0,108.0,134.0,37.0,118.0,27.0,42.0,151.0,54.0,77.0,148.0,119.0,85.0,75.0,409.0,111.0
2763,32.0,23.0,620.0,11.0,69.0,114.0,112.0,109.0,148.0,93.0,5.0,42.0,518.0,61.0,100.0,144.0,130.0,12.0,216.0,202.0,583.0,95.0,601.0,68.0,57.0,16.0,62.0,91.0,403.0,143.0
2812,35.0,52.0,126.0,26.0,33.0,30.0,460.0,84.0,9.0,73.0,132.0,65.0,38.0,588.0,77.0,75.0,455.0,4.0,60.0,100.0,50.0,57.0,606.0,337.0,88.0,36.0,356.0,29.0,408.0,72.0
2861,54.0,3.0,78.0,13.0,28.0,32.0,7.0,52.0,314.0,241.0,82.0,48.0,520.0,64.0,87.0,41.0,454.0,61.0,230.0,154.0,112.0,97.0,37.0,44.0,127.0,629.0,81.0,29.0,404.0,47.0
2910,75.0,76.0,21.0,97.0,187.0,27.0,313.0,103.0,182.0,194.0,100.0,49.0,50.0,127.0,120.0,515.0,110.0,10.0,71.0,219.0,116.0,66.0,598.0,282.0,34.0,582.0,92.0,24.0,143.0,149.0
2959,68.0,141.0,5.0,18.0,1.0,32.0,20.0,84.0,77.0,96.0,82.0,19.0,101.0,34.0,105.0,83.0,64.0,35.0,71.0,55.0,125.0,116.0,86.0,299.0,11.0,574.0,65.0,2.0,76.0,104.0
3008,43.0,22.0,77.0,67.0,9.0,50.0,35.0,33.0,16.0,75.0,44.0,84.0,11.0,104.0,36.0,66.0,56.0,536.0,47.0,3.0,450.0,546.0,423.0,282.0,15.0,437.0,291.0,126.0,74.0,95.0
3057,6.0,58.0,84.0,48.0,221.0,46.0,12.0,59.0,3.0,141.0,61.0,177.0,598.0,479.0,51.0,33.0,117.0,526.0,122.0,66.0,118.0,62.0,591.0,81.0,8.0,423.0,125.0,514.0,156.0,64.0
3106,19.0,137.0,1.0,127.0,210.0,109.0,38.0,57.0,302.0,13.0,135.0,47.0,525.0,94.0,51.0,33.0,149.0,20.0,79.0,53.0,146.0,23.0,609.0,118.0,10.0,41.0,80.0,143.0,98.0,86.0
3155,10.0,248.0,19.0,88.0,6.0,23.0,456.0,42.0,36.0,76.0,77.0,66.0,519.0,590.0,70.0,41.0,95.0,4.0,104.0,71.0,578.0,51.0,17.0,106.0,91.0,86.0,293.0,160.0,9.0,58.0
3204,36.0,13.0,91.0,138.0,19.0,42.0,9.0,129.0,63.0,44.0,85.0,94.0,32.0,150.0,61.0,95.0,68.0,560.0,49.0,96.0,499.0,147.0,69.0,242.0,72.0,125.0,131.0,73.0,71.0,332.0
3253,31.0,10.0,25.0,60.0,119.0,140.0,37.0,43.0,316.0,233.0,59.0,73.0,98.0,138.0,39.0,131.0,146.0,552.0,133.0,57.0,99.0,137.0,602.0,332.0,17.0,13.0,129.0,542.0,403.0,76.0
3302,32.0,26.0,121.0,70.0,9.0,144.0,28.0,109.0,117.0,65.0,67.0,91.0,82.0,62.0,36.0,35.0,168.0,0.0,147.0,131.0,145.0,123.0,61.0,124.0,273.0,53.0,87.0,93.0,167.0,141.0
3351,80.0,18.0,45.0,30.0,44.0,112.0,1.0,161.0,122.0,48.0,62.0,63.0,94.0,69.0,46.0,532.0,83.0,41.0,129.0,66.0,155.0,153.0,611.0,25.0,88.0,92.0,65.0,156.0,138.0,75.0
3400,20.0,16.0,34.0,122.0,241.0,28.0,457.0,4.0,3.0,212.0,149.0,85.0,108.0,586.0,101.0,560.0,123.0,80.0,26.0,143.0,573.0,150.0,602.0,140.0,160.0,56.0,74.0,540.0,404.0,103.0
3449,2.0,21.0,17.0,13.0,111.0,25.0,36.0,72.0,22.0,214.0,142.0,76.0,105.0,79.0,74.0,143.0,20.0,512.0,30.0,243.0,124.0,494.0,575.0,41.0,256.0,82.0,139.0,28.0,441.0,115.0
3498,11.0,107.0,12.0,105.0,52.0,123.0,101.0,47.0,77.0,210.0,122.0,306.0,78.0,31.0,95.0,20.0,164.0,29.0,94.0,24.0,100.0,426.0,605.0,152.0,74.0,617.0,168.0,131.0,403.0,57.0
3547,9.0,33.0,415.0,23.0,102.0,465.0,13.0,53.0,54.0,55.0,29.0,88.0,49.0,14.0,108.0,146.0,70.0,43.0,34.0,48.0,119.0,499.0,59.0,257.0,258.0,18.0,266.0,20.0,442.0,112.0
3596,12.0,13.0,42.0,10.0,78.0,120.0,165.0,25.0,37.0,54.0,121.0,303.0,82.0,41.0,133.0,57.0,110.0,40.0,73.0,127.0,81.0,423.0,605.0,107.0,103.0,83.0,101.0,114.0,144.0,153.0
3645,15.0,14.0,625.0,1.0,70.0,66.0,65.0,76.0,0.0,44.0,5.0,90.0,517.0,29.0,78.0,75.0,61.0,551.0,130.0,153.0,74.0,424.0,604.0,175.0,166.0,35.0,205.0,144.0,87.0,140.0
3694,8.0,17.0,62.0,18.0,196.0,110.0,12.0,33.0,298.0,13.0,82.0,302.0,100.0,4.0,120.0,56.0,98.0,41.0,25.0,212.0,71.0,421.0,68.0,132.0,128.0,129.0,238.0,27.0,403.0,30.0
3743,10.0,20.0,624.0,26.0,103.0,33.0,457.0,95.0,42.0,31.0,110.0,1.0,28.0,5.0,621.0,130.0,62.0,555.0,56.0,165.0,84.0,425.0,12.0,16.0,164.0,100.0,30.0,134.0,162.0,357.0
3792,7.0,33.0,627.0,43.0,41.0,97.0,14.0,78.0,109.0,212.0,132.0,108.0,63.0,92.0,47.0,58.0,98.0,68.0,129.0,214.0,82.0,64.0,604.0,153.0,267.0,87.0,239.0,89.0,144.0,71.0
3841,14.0,32.0,598.0,78.0,84.0,54.0,462.0,56.0,23.0,58.0,133.0,128.0,47.0,9.0,129.0,13.0,60.0,559.0,53.0,218.0,38.0,62.0,608.0,49.0,106.0,621.0,95.0,549.0,0.0,153.0
3890,6.0,10.0,626.0,18.0,151.0,37.0,4.0,106.0,62.0,184.0,138.0,238.0,45.0,8.0,624.0,149.0,88.0,86.0,161.0,221.0,117.0,432.0,70.0,144.0,103.0,67.0,121.0,158.0,153.0,66.0
3939,19.0,54.0,51.0,163.0,48.0,15.0,24.0,128.0,57.0,210.0,84.0,336.0,135.0,62.0,66.0,526.0,129.0,93.0,116.0,248.0,27.0,137.0,570.0,30.0,159.0,71.0,127.0,537.0,3.0,115.0
3988,42.0,28.0,54.0,57.0,72.0,430.0,318.0,94.0,20.0,134.0,40.0,63.0,60.0,53.0,74.0,23.0,96.0,6.0,97.0,159.0,75.0,35.0,27.0,41.0,287.0,85.0,162.0,106.0,9.0,67.0
4037,24.0,8.0,435.0,51.0,227.0,33.0,45.0,65.0,91.0,224.0,57.0,354.0,599.0,47.0,86.0,46.0,48.0,108.0,99.0,263.0,147.0,64.0,592.0,73.0,276.0,130.0,124.0,59.0,490.0,89.0
4086,27.0,58.0,574.0,74.0,25.0,42.0,171.0,66.0,76.0,170.0,139.0,81.0,0.0,43.0,104.0,508.0,26.0,32.0,141.0,33.0,23.0,151.0,617.0,10.0,103.0,597.0,100.0,145.0,95.0,118.0
4135,22.0,123.0,597.0,161.0,214.0,140.0,457.0,56.0,150.0,252.0,59.0,6.0,15.0,58.0,106.0,26.0,80.0,71.0,44.0,5.0,72.0,154.0,57.0,255.0,89.0,8.0,124.0,170.0,103.0,62.0
4184,14.0,33.0,597.0,126.0,25.0,117.0,96.0,27.0,127.0,186.0,75.0,239.0,523.0,17.0,37.0,59.0,102.0,19.0,90.0,159.0,68.0,397.0,82.0,13.0,298.0,63.0,41.0,23.0,407.0,65.0
4233,11.0,31.0,81.0,181.0,36.0,41.0,464.0,136.0,186.0,217.0,23.0,98.0,116.0,29.0,73.0,504.0,97.0,561.0,126.0,117.0,72.0,103.0,609.0,254.0,128.0,58.0,178.0,113.0,12.0,71.0
4282,28.0,6.0,47.0,108.0,235.0,53.0,37.0,38.0,179.0,232.0,94.0,69.0,72.0,80.0,30.0,100.0,52.0,20.0,226.0,120.0,32.0,153.0,5.0,46.0,106.0,445.0,96.0,528.0,57.0,14.0
4331,44.0,45.0,14.0,39.0,20.0,473.0,315.0,120.0,32.0,21.0,169.0,352.0,75.0,89.0,92.0,47.0,6.0,40.0,112.0,8.0,27.0,83.0,38.0,274.0,276.0,79.0,144.0,123.0,419.0,161.0
4380,34.0,15.0,598.0,11.0,252.0,18.0,460.0,98.0,26.0,6.0,69.0,97.0,3.0,31.0,81.0,23.0,33.0,560.0,122.0,128.0,75.0,154.0,124.0,172.0,190.0,109.0,28.0,115.0,39.0,44.0
4429,7.0,59.0,40.0,135.0,37.0,2.0,92.0,27.0,18.0,1.0,100.0,44.0,83.0,5.0,130.0,509.0,23.0,532.0,78.0,38.0,89.0,126.0,110.0,260.0,61.0,25.0,29.0,552.0,56.0,84.0
4478,22.0,12.0,625.0,45.0,26.0,36.0,52.0,43.0,51.0,3.0,116.0,34.0,103.0,128.0,11.0,76.0,59.0,550.0,66.0,79.0,122.0,110.0,41.0,290.0,89.0,50.0,93.0,541.0,75.0,24.0
4527,12.0,45.0,28.0,51.0,33.0,14.0,18.0,130.0,126.0,249.0,118.0,89.0,91.0,383.0,106.0,11.0,66.0,512.0,85.0,158.0,34.0,116.0,26.0,36.0,58.0,585.0,80.0,6.0,10.0,77.0
4576,11.0,33.0,21.0,26.0,196.0,12.0,39.0,92.0,20.0,1.0,74.0,46.0,38.0,78.0,27.0,49.0,452.0,551.0,67.0,105.0,65.0,48.0,609.0,34.0,28.0,98.0,95.0,541.0,60.0,106.0
4625,64.0,31.0,5.0,86.0,32.0,13.0,14.0,41.0,79.0,93.0,115.0,2.0,34.0,43.0,113.0,521.0,15.0,511.0,88.0,7.0,124.0,87.0,574.0,29.0,264.0,135.0,62.0,536.0,403.0,141.0
4674,31.0,34.0,4.0,26.0,25.0,13.0,461.0,185.0,119.0,197.0,100.0,89.0,42.0,22.0,85.0,502.0,10.0,558.0,56.0,107.0,102.0,50.0,60.0,48.0,12.0,620.0,23.0,549.0,82.0,88.0
4723,22.0,29.0,619.0,24.0,141.0,18.0,454.0,128.0,20.0,36.0,100.0,41.0,34.0,71.0,133.0,87.0,121.0,551.0,150.0,47.0,110.0,83.0,600.0,316.0,92.0,90.0,151.0,540.0,37.0,101.0
4772,25.0,43.0,4.0,23.0,10.0,15.0,302.0,40.0,58.0,21.0,57.0,16.0,62.0,59.0,54.0,160.0,46.0,78.0,56.0,79.0,66.0,98.0,625.0,254.0,11.0,575.0,102.0,559.0,387.0,48.0
4821,5.0,25.0,16.0,104.0,24.0,19.0,21.0,79.0,10.0,43.0,64.0,110.0,526.0,45.0,26.0,134.0,457.0,557.0,150.0,57.0,139.0,36.0,609.0,169.0,73.0,131.0,89.0,547.0,54.0,114.0
4870,32.0,51.0,55.0,100.0,41.0,9.0,132.0,106.0,13.0,208.0,73.0,68.0,31.0,122.0,53.0,16.0,5.0,553.0,72.0,140.0,97.0,83.0,79.0,36.0,80.0,629.0,128.0,66.0,110.0,156.0
